query_table,data_lake_table,unionable,num_union_cols
Art-History_YZMEPGTH.csv,Art-History_CL472RL1.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_W0VUGKV0.csv,1,5
Art-History_YZMEPGTH.csv,Art-History_9C3FUQUH.csv,0,0
Science_DNR9IS25.csv,Science_HBPKT9A9.csv,1,8
Science_DNR9IS25.csv,Science_3HJ5S6R0.csv,0,0
Science_DNR9IS25.csv,Science_9JYM6IER.csv,1,5
Science_DNR9IS25.csv,Science_RAST5J28.csv,0,0
Science_DNR9IS25.csv,Science_8Y3UMPYO.csv,1,8
Science_DNR9IS25.csv,Science_YYJ5CI6V.csv,0,0
Science_DNR9IS25.csv,Science_73AJ0JE4.csv,1,2
Science_DNR9IS25.csv,Science_FV8YU58C.csv,0,0
Science_DNR9IS25.csv,Science_G2KTBCUD.csv,1,8
Science_DNR9IS25.csv,Science_KLFYP5JO.csv,0,0
Science_DNR9IS25.csv,Science_A3S8KE2W.csv,1,4
Science_DNR9IS25.csv,Science_Q3TMY4GP.csv,0,0
Science_DNR9IS25.csv,Science_SBZRAD5S.csv,1,4
Science_DNR9IS25.csv,Science_OMQIGCT2.csv,0,0
Science_DNR9IS25.csv,Science_SU0LMI8X.csv,1,2
Science_DNR9IS25.csv,Science_SVH3EJOZ.csv,0,0
Science_DNR9IS25.csv,Science_Q8H3XQYX.csv,1,2
Science_DNR9IS25.csv,Science_B9UOE3T0.csv,0,0
Science_DNR9IS25.csv,Science_5HGP8IY3.csv,1,4
Science_DNR9IS25.csv,Science_0J0G50RC.csv,0,0
Technology_3FNBDVPI.csv,Technology_NE9NNOVJ.csv,1,2
Technology_3FNBDVPI.csv,Technology_I8QLHBIA.csv,0,0
Technology_3FNBDVPI.csv,Technology_UBLQDI07.csv,1,6
Technology_3FNBDVPI.csv,Technology_OC7T3BD4.csv,0,0
Technology_3FNBDVPI.csv,Technology_2EFUJEIR.csv,1,5
Technology_3FNBDVPI.csv,Technology_UY7S361G.csv,0,0
Technology_3FNBDVPI.csv,Technology_V3Z0GU1U.csv,1,5
Technology_3FNBDVPI.csv,Technology_I9D99VH0.csv,0,0
Technology_3FNBDVPI.csv,Technology_DSTWG6NJ.csv,1,8
Technology_3FNBDVPI.csv,Technology_W9XHRO19.csv,0,0
Technology_3FNBDVPI.csv,Technology_RBLRTVWA.csv,1,2
Technology_3FNBDVPI.csv,Technology_ZEJBF7NY.csv,0,0
Technology_3FNBDVPI.csv,Technology_TUFDJKDF.csv,1,4
Technology_3FNBDVPI.csv,Technology_RN6HW1HS.csv,0,0
Technology_3FNBDVPI.csv,Technology_TCOZDANT.csv,1,6
Technology_3FNBDVPI.csv,Technology_SUHA51LI.csv,0,0
Technology_3FNBDVPI.csv,Technology_ZC1B3EU1.csv,1,2
Technology_3FNBDVPI.csv,Technology_7FZTVOVK.csv,0,0
Technology_3FNBDVPI.csv,Technology_6MWWJPGJ.csv,1,6
Technology_3FNBDVPI.csv,Technology_JEL532UU.csv,0,0
Economics_XSEF6Y39.csv,Economics_C2MU46JD.csv,1,2
Economics_XSEF6Y39.csv,Economics_F6LCP227.csv,0,0
Economics_XSEF6Y39.csv,Economics_SY0VDVEV.csv,1,4
Economics_XSEF6Y39.csv,Economics_TZIFT9YV.csv,0,0
Economics_XSEF6Y39.csv,Economics_16XBXTLN.csv,1,2
Economics_XSEF6Y39.csv,Economics_687CVIYJ.csv,0,0
Economics_XSEF6Y39.csv,Economics_K2C0XP2S.csv,1,8
Economics_XSEF6Y39.csv,Economics_MX23SY67.csv,0,0
Economics_XSEF6Y39.csv,Economics_IQD4X9G7.csv,1,8
Economics_XSEF6Y39.csv,Economics_FXOBUGVJ.csv,0,0
Economics_XSEF6Y39.csv,Economics_I42AFBQN.csv,1,7
Economics_XSEF6Y39.csv,Economics_P03EH58B.csv,0,0
Economics_XSEF6Y39.csv,Economics_WP0LF7XE.csv,1,6
Economics_XSEF6Y39.csv,Economics_CYXQBWEW.csv,0,0
Economics_XSEF6Y39.csv,Economics_VICW8VL3.csv,1,8
Economics_XSEF6Y39.csv,Economics_IE3CSMCM.csv,0,0
Economics_XSEF6Y39.csv,Economics_Z84QCMSW.csv,1,6
Economics_XSEF6Y39.csv,Economics_55X7RF1F.csv,0,0
Economics_XSEF6Y39.csv,Economics_SUGFUST2.csv,1,6
Economics_XSEF6Y39.csv,Economics_2W2CW1RD.csv,0,0
Politics_XXYCJ2XX.csv,Politics_2EI7XZUR.csv,1,8
Politics_XXYCJ2XX.csv,Politics_L57Y9HQQ.csv,0,0
Politics_XXYCJ2XX.csv,Politics_5MHIE2L2.csv,1,4
Politics_XXYCJ2XX.csv,Politics_WE98STKL.csv,0,0
Politics_XXYCJ2XX.csv,Politics_IP5BX9X3.csv,1,3
Politics_XXYCJ2XX.csv,Politics_700EIUE2.csv,0,0
Politics_XXYCJ2XX.csv,Politics_9LI16DH7.csv,1,3
Politics_XXYCJ2XX.csv,Politics_UOW7SFQM.csv,0,0
Politics_XXYCJ2XX.csv,Politics_T8F6KJKV.csv,1,3
Politics_XXYCJ2XX.csv,Politics_FCQN0B58.csv,0,0
Politics_XXYCJ2XX.csv,Politics_PZT3EDK2.csv,1,5
Politics_XXYCJ2XX.csv,Politics_VJUUWZIX.csv,0,0
Politics_XXYCJ2XX.csv,Politics_3HR2PJGD.csv,1,3
Politics_XXYCJ2XX.csv,Politics_UUMK5635.csv,0,0
Politics_XXYCJ2XX.csv,Politics_63PNWDDS.csv,1,5
Politics_XXYCJ2XX.csv,Politics_XZXCZD9M.csv,0,0
Politics_XXYCJ2XX.csv,Politics_629RHIGZ.csv,1,5
Politics_XXYCJ2XX.csv,Politics_9XJM6Z6C.csv,0,0
Politics_XXYCJ2XX.csv,Politics_473J6IUU.csv,1,8
Politics_XXYCJ2XX.csv,Politics_TV6685T4.csv,0,0
Culture_4QOD4K7Y.csv,Culture_JPCHMB2U.csv,1,6
Culture_4QOD4K7Y.csv,Culture_I7N9U47Y.csv,0,0
Culture_4QOD4K7Y.csv,Culture_V8WQ4MPR.csv,1,6
Culture_4QOD4K7Y.csv,Culture_RSH8YZWJ.csv,0,0
Culture_4QOD4K7Y.csv,Culture_2Q4NM8R9.csv,1,4
Culture_4QOD4K7Y.csv,Culture_PPD7OODG.csv,0,0
Culture_4QOD4K7Y.csv,Culture_IA9K044M.csv,1,2
Culture_4QOD4K7Y.csv,Culture_FO8CL0LC.csv,0,0
Culture_4QOD4K7Y.csv,Culture_SCATGVS3.csv,1,7
Culture_4QOD4K7Y.csv,Culture_RMHVK3QL.csv,0,0
Culture_4QOD4K7Y.csv,Culture_MLZ16UFZ.csv,1,6
Culture_4QOD4K7Y.csv,Culture_4UPAQYP2.csv,0,0
Culture_4QOD4K7Y.csv,Culture_XPDH3TKZ.csv,1,7
Culture_4QOD4K7Y.csv,Culture_HSXOOI4J.csv,0,0
Culture_4QOD4K7Y.csv,Culture_8NPF727X.csv,1,8
Culture_4QOD4K7Y.csv,Culture_D96M8JKU.csv,0,0
Culture_4QOD4K7Y.csv,Culture_5F62D3I6.csv,1,7
Culture_4QOD4K7Y.csv,Culture_BZQANEC1.csv,0,0
Culture_4QOD4K7Y.csv,Culture_E4CS0LI0.csv,1,2
Culture_4QOD4K7Y.csv,Culture_2YYF8IWH.csv,0,0
Music_ABT3818Y.csv,Music_OP3WJRMH.csv,1,8
Music_ABT3818Y.csv,Music_BPNEGC2D.csv,0,0
Music_ABT3818Y.csv,Music_UUPTJ7O0.csv,1,8
Music_ABT3818Y.csv,Music_5DWY7U00.csv,0,0
Music_ABT3818Y.csv,Music_J3D90097.csv,1,4
Music_ABT3818Y.csv,Music_NVF2XF8M.csv,0,0
Music_ABT3818Y.csv,Music_4NVTANMH.csv,1,3
Music_ABT3818Y.csv,Music_ZP9USY38.csv,0,0
Music_ABT3818Y.csv,Music_653G4UNX.csv,1,4
Music_ABT3818Y.csv,Music_JMVOYP59.csv,0,0
Music_ABT3818Y.csv,Music_553KWKI8.csv,1,4
Music_ABT3818Y.csv,Music_DA0IOEJA.csv,0,0
Music_ABT3818Y.csv,Music_45BA890A.csv,1,2
Music_ABT3818Y.csv,Music_7QWRZFXZ.csv,0,0
Music_ABT3818Y.csv,Music_FCFZYY94.csv,1,4
Music_ABT3818Y.csv,Music_G7CON4RC.csv,0,0
Music_ABT3818Y.csv,Music_CLUBNJZE.csv,1,6
Music_ABT3818Y.csv,Music_WDG1OEVZ.csv,0,0
Music_ABT3818Y.csv,Music_25OW9Y1L.csv,1,8
Music_ABT3818Y.csv,Music_FSPEFRJY.csv,0,0
Sports_IFL12996.csv,Sports_0GBFW9FU.csv,1,2
Sports_IFL12996.csv,Sports_YF9P7KYK.csv,0,0
Sports_IFL12996.csv,Sports_JEK1R0T4.csv,1,5
Sports_IFL12996.csv,Sports_M3GITAZV.csv,0,0
Sports_IFL12996.csv,Sports_V1ITUM4U.csv,1,5
Sports_IFL12996.csv,Sports_PUYRZXHM.csv,0,0
Sports_IFL12996.csv,Sports_9B3N2SE0.csv,1,7
Sports_IFL12996.csv,Sports_PQJ1YE24.csv,0,0
Sports_IFL12996.csv,Sports_08CX8FGP.csv,1,8
Sports_IFL12996.csv,Sports_CZV1GAGQ.csv,0,0
Sports_IFL12996.csv,Sports_O2XZ36JW.csv,1,6
Sports_IFL12996.csv,Sports_0FHJWTV3.csv,0,0
Sports_IFL12996.csv,Sports_G22UETCH.csv,1,5
Sports_IFL12996.csv,Sports_KP7L9KV9.csv,0,0
Sports_IFL12996.csv,Sports_1ZBM21YA.csv,1,7
Sports_IFL12996.csv,Sports_EG8LXUM3.csv,0,0
Sports_IFL12996.csv,Sports_ZHWW3LTF.csv,1,6
Sports_IFL12996.csv,Sports_PTHLXJ6Y.csv,0,0
Sports_IFL12996.csv,Sports_1L58L9K5.csv,1,5
Sports_IFL12996.csv,Sports_2DWA5IMY.csv,0,0
Environment_CRO8SK35.csv,Environment_96HHR8X8.csv,1,4
Environment_CRO8SK35.csv,Environment_8N1GPTC2.csv,0,0
Environment_CRO8SK35.csv,Environment_USSR6GI0.csv,1,3
Environment_CRO8SK35.csv,Environment_IPJUPZ5J.csv,0,0
Environment_CRO8SK35.csv,Environment_2EFZ6RX3.csv,1,5
Environment_CRO8SK35.csv,Environment_F3WE8ZN1.csv,0,0
Environment_CRO8SK35.csv,Environment_SV9I5VDC.csv,1,8
Environment_CRO8SK35.csv,Environment_BHK23A1M.csv,0,0
Environment_CRO8SK35.csv,Environment_1I4EOYFG.csv,1,8
Environment_CRO8SK35.csv,Environment_IYIJE7AK.csv,0,0
Environment_CRO8SK35.csv,Environment_YW1UIPRF.csv,1,6
Environment_CRO8SK35.csv,Environment_SBTN76MZ.csv,0,0
Environment_CRO8SK35.csv,Environment_X8L4EBEA.csv,1,5
Environment_CRO8SK35.csv,Environment_Z6S601ZF.csv,0,0
Environment_CRO8SK35.csv,Environment_UZET1PDP.csv,1,6
Environment_CRO8SK35.csv,Environment_3DTLHAIA.csv,0,0
Environment_CRO8SK35.csv,Environment_GHO6ACAP.csv,1,4
Environment_CRO8SK35.csv,Environment_JLC90OUP.csv,0,0
Environment_CRO8SK35.csv,Environment_DLO7CZE3.csv,1,6
Environment_CRO8SK35.csv,Environment_UF93AXMS.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_8WAVAYTG.csv,1,5
Astronomy_M8PJA0BO.csv,Astronomy_05DJRFCO.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_IZED1IPS.csv,1,6
Astronomy_M8PJA0BO.csv,Astronomy_UU2ROEMI.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_23U0H8WN.csv,1,3
Astronomy_M8PJA0BO.csv,Astronomy_HFKTCNUJ.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_LBZ299PG.csv,1,4
Astronomy_M8PJA0BO.csv,Astronomy_HADOIMZX.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_QEBEM2IF.csv,1,6
Astronomy_M8PJA0BO.csv,Astronomy_DK1Z5BY1.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_R2JCPS50.csv,1,4
Astronomy_M8PJA0BO.csv,Astronomy_RYI0M7P8.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_85W6UYRL.csv,1,5
Astronomy_M8PJA0BO.csv,Astronomy_BRD47WOK.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_8DOYWLLP.csv,1,4
Astronomy_M8PJA0BO.csv,Astronomy_JM58TL5C.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_B74AVMIV.csv,1,3
Astronomy_M8PJA0BO.csv,Astronomy_DBJJH7XE.csv,0,0
Astronomy_M8PJA0BO.csv,Astronomy_GVTUIK15.csv,1,6
Astronomy_M8PJA0BO.csv,Astronomy_WOLYTSIL.csv,0,0
Literature_FYGWWQC3.csv,Literature_8HYF9SXM.csv,1,2
Literature_FYGWWQC3.csv,Literature_SFOGYR3X.csv,0,0
Literature_FYGWWQC3.csv,Literature_REK8PK3Y.csv,1,7
Literature_FYGWWQC3.csv,Literature_OUDOCUZR.csv,0,0
Literature_FYGWWQC3.csv,Literature_UN5Z3JQI.csv,1,7
Literature_FYGWWQC3.csv,Literature_Q1ZXOI65.csv,0,0
Literature_FYGWWQC3.csv,Literature_K1EYY37Q.csv,1,3
Literature_FYGWWQC3.csv,Literature_H8RVHS1K.csv,0,0
Literature_FYGWWQC3.csv,Literature_L6GT6MJX.csv,1,6
Literature_FYGWWQC3.csv,Literature_AU5BHXTP.csv,0,0
Literature_FYGWWQC3.csv,Literature_F5E8II49.csv,1,2
Literature_FYGWWQC3.csv,Literature_MTZX272H.csv,0,0
Literature_FYGWWQC3.csv,Literature_9OOAEDOE.csv,1,2
Literature_FYGWWQC3.csv,Literature_03DGDZVG.csv,0,0
Literature_FYGWWQC3.csv,Literature_I1LR3PE2.csv,1,5
Literature_FYGWWQC3.csv,Literature_NZDKYAYQ.csv,0,0
Literature_FYGWWQC3.csv,Literature_5JMSND8D.csv,1,7
Literature_FYGWWQC3.csv,Literature_467KD6FL.csv,0,0
Literature_FYGWWQC3.csv,Literature_HPCF07UQ.csv,1,5
Literature_FYGWWQC3.csv,Literature_T3UEA3GE.csv,0,0
Math_XSK28T7A.csv,Math_9TGIQHG9.csv,1,3
Math_XSK28T7A.csv,Math_NVNQ65QD.csv,0,0
Math_XSK28T7A.csv,Math_AVIQK291.csv,1,2
Math_XSK28T7A.csv,Math_J8CX9J1I.csv,0,0
Math_XSK28T7A.csv,Math_NPGW90JP.csv,1,4
Math_XSK28T7A.csv,Math_0BLV0PRK.csv,0,0
Math_XSK28T7A.csv,Math_4OM3WTOO.csv,1,8
Math_XSK28T7A.csv,Math_VRERW6Z8.csv,0,0
Math_XSK28T7A.csv,Math_LQCG1WU1.csv,1,4
Math_XSK28T7A.csv,Math_YMQC1A78.csv,0,0
Math_XSK28T7A.csv,Math_UHT6T0UZ.csv,1,6
Math_XSK28T7A.csv,Math_M0YLTZ9A.csv,0,0
Math_XSK28T7A.csv,Math_U322N64K.csv,1,8
Math_XSK28T7A.csv,Math_VFPTOMJB.csv,0,0
Math_XSK28T7A.csv,Math_E30MY5ZP.csv,1,6
Math_XSK28T7A.csv,Math_G1OL73D9.csv,0,0
Math_XSK28T7A.csv,Math_I379U261.csv,1,5
Math_XSK28T7A.csv,Math_42QPR75P.csv,0,0
Math_XSK28T7A.csv,Math_RVU8FIJO.csv,1,3
Math_XSK28T7A.csv,Math_E00V830D.csv,0,0
Religion_8F1CBFNO.csv,Religion_6B9M80O2.csv,1,7
Religion_8F1CBFNO.csv,Religion_WWQC38HY.csv,0,0
Religion_8F1CBFNO.csv,Religion_XMECOSFO.csv,1,8
Religion_8F1CBFNO.csv,Religion_XKXWNREK.csv,0,0
Religion_8F1CBFNO.csv,Religion_YR9OUDOC.csv,1,5
Religion_8F1CBFNO.csv,Religion_UN5Z3JQI.csv,0,0
Religion_8F1CBFNO.csv,Religion_1ZXOI65F.csv,1,4
Religion_8F1CBFNO.csv,Religion_37Q9AH8R.csv,0,0
Religion_8F1CBFNO.csv,Religion_K3AQ6L6G.csv,1,5
Religion_8F1CBFNO.csv,Religion_BHXTPDPF.csv,0,0
Religion_8F1CBFNO.csv,Religion_8II49KQ7.csv,1,8
Religion_8F1CBFNO.csv,Religion_EDOECVE6.csv,0,0
Religion_8F1CBFNO.csv,Religion_8I4P40MG.csv,1,3
Religion_8F1CBFNO.csv,Religion_GPMM82I1.csv,0,0
Religion_8F1CBFNO.csv,Religion_E29GD8AF.csv,1,8
Religion_8F1CBFNO.csv,Religion_DKYAYQ3S.csv,0,0
Religion_8F1CBFNO.csv,Religion_5JMSND8D.csv,1,7
Religion_8F1CBFNO.csv,Religion_KD6FLEEP.csv,0,0
Religion_8F1CBFNO.csv,Religion_07UQNUPQ.csv,1,2
Religion_8F1CBFNO.csv,Religion_3UEA3GE8.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_TGIQHG9J.csv,1,4
Philosophy_SK28T7A9.csv,Philosophy_65QDF1RC.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_19AHEJ8C.csv,1,6
Philosophy_SK28T7A9.csv,Philosophy_WNPGW90J.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_BLV0PRKG.csv,1,5
Philosophy_SK28T7A9.csv,Philosophy_WTOOBMZV.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_6Z8VBHQL.csv,1,4
Philosophy_SK28T7A9.csv,Philosophy_CG1WU16H.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_C1A78MX1.csv,1,4
Philosophy_SK28T7A9.csv,Philosophy_UHT6T0UZ.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_0YLTZ9AT.csv,1,3
Philosophy_SK28T7A9.csv,Philosophy_VFPTOMJB.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_E30MY5ZP.csv,1,6
Philosophy_SK28T7A9.csv,Philosophy_L73D9PH3.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_U26192K4.csv,1,6
Philosophy_SK28T7A9.csv,Philosophy_R75PR2ES.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_00V830DN.csv,1,2
Philosophy_SK28T7A9.csv,Philosophy_Y4AWTY08.csv,0,0
Philosophy_SK28T7A9.csv,Philosophy_5OR15BYV.csv,1,3
Philosophy_SK28T7A9.csv,Philosophy_K3I8BZBF.csv,0,0
Psychology_NO6B9M80.csv,Psychology_O2RAK1VR.csv,1,2
Psychology_NO6B9M80.csv,Psychology_F9SXMECO.csv,0,0
Psychology_NO6B9M80.csv,Psychology_GYR3XKXW.csv,1,8
Psychology_NO6B9M80.csv,Psychology_PK3YR9OU.csv,0,0
Psychology_NO6B9M80.csv,Psychology_UZRENUN5.csv,1,8
Psychology_NO6B9M80.csv,Psychology_HJK1EYY3.csv,0,0
Psychology_NO6B9M80.csv,Psychology_8RVHS1K3.csv,1,7
Psychology_NO6B9M80.csv,Psychology_GT6MJXK8.csv,0,0
Psychology_NO6B9M80.csv,Psychology_5BHXTPDP.csv,1,4
Psychology_NO6B9M80.csv,Psychology_KQ71N8MT.csv,0,0
Psychology_NO6B9M80.csv,Psychology_72HPOEVB.csv,1,5
Psychology_NO6B9M80.csv,Psychology_OAEDOECV.csv,0,0
Psychology_NO6B9M80.csv,Psychology_5N8I4P40.csv,1,7
Psychology_NO6B9M80.csv,Psychology_DZVGPMM8.csv,0,0
Psychology_NO6B9M80.csv,Psychology_3PE29GD8.csv,1,4
Psychology_NO6B9M80.csv,Psychology_MSND8DUD.csv,0,0
Psychology_NO6B9M80.csv,Psychology_7KD6FLEE.csv,1,8
Psychology_NO6B9M80.csv,Psychology_HPCF07UQ.csv,0,0
Psychology_NO6B9M80.csv,Psychology_UEA3GE8N.csv,1,5
Psychology_NO6B9M80.csv,Psychology_EPXSK28T.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_SNVNQ65Q.csv,1,4
Sociology_GIQHG9JR.csv,Sociology_RCAVIQK2.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_HEJ8CX9J.csv,1,2
Sociology_GIQHG9JR.csv,Sociology_XCWNPGW9.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_KL0BLV0P.csv,1,3
Sociology_GIQHG9JR.csv,Sociology_YC4OM3WT.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_VRERW6Z8.csv,1,5
Sociology_GIQHG9JR.csv,Sociology_QLQCG1WU.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_YMQC1A78.csv,1,2
Sociology_GIQHG9JR.csv,Sociology_X1EVUHT6.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_S9IM0YLT.csv,1,5
Sociology_GIQHG9JR.csv,Sociology_TSN1U322.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_KFS6VFPT.csv,1,8
Sociology_GIQHG9JR.csv,Sociology_BCP4E30M.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_PJAG1OL7.csv,1,5
Sociology_GIQHG9JR.csv,Sociology_H3I379U2.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_92K42QPR.csv,1,5
Sociology_GIQHG9JR.csv,Sociology_R2ESPRVU.csv,0,0
Sociology_GIQHG9JR.csv,Sociology_YJNE00V8.csv,1,3
Sociology_GIQHG9JR.csv,Sociology_0YBY4AWT.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_6B9M80O2.csv,1,7
Mythology_8F1CBFNO.csv,Mythology_RJNVGFYG.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_C38HYF9S.csv,1,4
Mythology_8F1CBFNO.csv,Mythology_COSFOGYR.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_XWNREK8P.csv,1,3
Mythology_8F1CBFNO.csv,Mythology_9OUDOCUZ.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_UN5Z3JQI.csv,1,7
Mythology_8F1CBFNO.csv,Mythology_Q1ZXOI65.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_K1EYY37Q.csv,1,3
Mythology_8F1CBFNO.csv,Mythology_RVHS1K3A.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_L6GT6MJX.csv,1,6
Mythology_8F1CBFNO.csv,Mythology_AU5BHXTP.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_F5E8II49.csv,1,2
Mythology_8F1CBFNO.csv,Mythology_1N8MTZX2.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_EVB9OOAE.csv,1,3
Mythology_8F1CBFNO.csv,Mythology_ECVE6PR5.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_4P40MGG1.csv,1,6
Mythology_8F1CBFNO.csv,Mythology_DGDZVGPM.csv,0,0
Mythology_8F1CBFNO.csv,Mythology_E29GD8AF.csv,1,8
Mythology_8F1CBFNO.csv,Mythology_DKYAYQ3S.csv,0,0
Poetry_NO6B9M80.csv,Poetry_O2RAK1VR.csv,1,2
Poetry_NO6B9M80.csv,Poetry_QC38HYF9.csv,0,0
Poetry_NO6B9M80.csv,Poetry_XMECOSFO.csv,1,8
Poetry_NO6B9M80.csv,Poetry_XKXWNREK.csv,0,0
Poetry_NO6B9M80.csv,Poetry_YR9OUDOC.csv,1,5
Poetry_NO6B9M80.csv,Poetry_NUN5Z3JQ.csv,0,0
Poetry_NO6B9M80.csv,Poetry_Q1ZXOI65.csv,1,6
Poetry_NO6B9M80.csv,Poetry_JK1EYY37.csv,0,0
