;Island Nation; Island Size (km²); Coastline Length (km); Number Of Islands; Forest Area (%);" Capitals' Status (""de facto""/""joint""/""none"")"; Time Zone; Currency; Population Of Capital; GDP Per Capita; Major Cities Population
28;" ""Ireland"; 70,273; 1,448; 1; 36; none; Irish Standard Time; Euro; 553,800; 82,663;" Dublin(553,800)"""
29;" ""New Zealand"; 268,680; 15,134; 1; 62; none; New Zealand Standard Time; New Zealand Dollar; 445,000; 40,624;" Wellington(445,000)""</s>"
30;"  ""Japan"; 377,975; 29,751; 6,852; 69; none; Japan Standard Time; Japanese Yen; 9,483,000; 38,459;" Tokyo(9,483,000)"" "
31;" ""Philippines"; 300,000; 36,289; 7,641; 35; none; Philippine Standard Time; Philippine Peso; 1,780,000; 3,069;" Manila(1,780,000)"" "
32;" ""Indonesia"; 1,910,931; 54,716; 17,508; 50; none; West Indonesian Time; Indonesian Rupiah; 11,027,000; 4,184;" Jakarta(11,027,000)"" "
33;" ""Madagascar"; 587,041; 4,828; 1; 59; none; East Africa Time; Malagasy Ariary; 1,275,000; 470;" Antananarivo(1,275,000)"" "
34;" ""United States (Hawaii)"; 16,635; 2,460; 0; 52; de facto; Hawaii Standard Time; US Dollar; 347,000; 50,301;" Honolulu(347,000)"" "
35;" ""Cuba"; 110,860; 3,735; 1; 34; none; Cuba Standard Time; Cuban Peso; 2,129,000; 7,804;" Havana(2,129,000)"" "
36;" ""Jamaica"; 10,991; 1,022; 1; 55; none; Eastern Standard Time; Jamaican Dollar; 662,000; 9,034;" Kingston(662,000)"" "
37;" ""Iceland"; 103,000; 4,970; 1; 74; none; Greenwich Mean Time; Icelandic Krona; 131,000; 40,262;" Reykjavik(131,000)"" "
38;" ""United Kingdom (Isle of Man)"; 572; 160; 1; 43; de facto; Greenwich Mean Time; Manx Pound; 84,000; 59,464;" Douglas(84,000)"" "
39;" ""Bahamas"; 13,940; 3,542; 700; 53; none; Eastern Standard Time; Bahamian Dollar; 273,000; 28,586;" Nassau(273,000)"".</s>"
40;" ""Philippines"; 300,000; 36,289; 7,641; 68; joint; Philippines Standard Time; Philippine Peso; 1,660,717; 2,885;" Quezon City(2,936,116), Manila(1,780,148)"" "
41;" ""Indonesia"; 1,910,931; 54,716; 17,508; 51; none; Indonesia Western Standard Time; Indonesian Rupiah; 10,582,000; 3,649;" Jakarta(10,582,000)"" "
42;" ""Japan"; 377,975; 29,751; 6,852; 69; none; Japan Standard Time; Japanese Yen; 9,503,000; 38,461;" Tokyo(9,503,000)"" "
43;" ""New Zealand"; 268,021; 15,134; 600; 68; none; New Zealand Standard Time; New Zealand Dollar; 472,700; 39,924;" Wellington(472,700)"" "
44;" ""Ireland"; 84,421; 5,220; 1; 11; none; Irish Standard Time; Euro; 554,554; 78,765;" Dublin(554,554)"" "
45;" ""Madagascar"; 587,041; 4,828; 12,000; 22; none; Madagascar Time; Malagasy Ariary; 1,275,600; 427;" Antananarivo(1,275,600)"" "
46;" ""Papua New Guinea"; 462,840; 5,152; 6,000; 71; none; Papua New Guinea Time; Papua New Guinean Kina; 360,835; 2,578;" Port Moresby(360,835)"" "
47;" ""Cuba"; 110,860; 3,735; 4,195; 27; none; Cuba Standard Time; Cuban Convertible Peso; 2,106,775; 7,792;" Havana(2,106,775)"" "
48;" ""Haiti"; 27,750; 2,736; 1,500; 31; none; Eastern Standard Time; Haitian Gourde; 935,199; 1,885;" Port-au-Prince(935,199)"" "
49;" ""Sri Lanka"; 65,610; 1,340; 1,340; 41; none; Sri Lanka Standard Time; Sri Lankan Rupee; 671,697; 3,896;" Colombo(671,697)"".</s>"
50;"  ""Iceland"; 103,000; 4,970; 1; 72; none; Greenwich Mean Time; Icelandic Krona; 129,325; 49,365;" Reykjavik(129,325)"" "
51;" ""Maldives"; 300; 644; 1,192; 3; none; Maldives Time; Maldivian Rufiyaa; 133,422; 9,854;" Male(133,422)"" "
52;" ""Bahamas"; 13,880; 3,592; 700; 51; none; Eastern Standard Time; Bahamian Dollar; 266,342; 24,463;" Nassau(266,342)"" "
53;" ""Philippines"; 300,000; 36,289; 7,107; 69; none; Philippines Standard Time; Philippine Peso; 1,780,148; 2,985;" Manila(1,780,148)"" "
54;" ""Japan"; 377,972; 29,751; 6,852; 69; none; Japan Standard Time; Japanese Yen; 9,257,430; 39,295;" Tokyo(9,257,430)"" "
55;" ""New Zealand"; 268,021; 15,134; 600; 66; none, New Zealand Standard Time; New Zealand Dollar; 446,467; 42,948;" Wellington(446,467)""";
56;" ""Indonesia"; 1,919,440; 54,716; 17,508; 52; none, Indonesia Western Standard Time; Indonesian Rupiah; 10,434,600; 3,972;" Jakarta(10,434,600)""";
57;" ""United Kingdom"; 242,495; 12,429; 1; 32; none, Greenwich Mean Time; British Pound; 8,908,081; 45,683;" London(8,908,081)""";
58;" ""Greece"; 131,940; 13,676; 6,000; 30; none, Eastern European Time; Euro; 664,046; 18,704;" Athens(664,046)""";
59;" ""Madagascar"; 587,041; 4,828; 5; 58; none, Madagascar Standard Time; Malagasy Ariary; 1,195,134; 442;" Antananarivo(1,195,134)"".</s>";
