;1. Most Famous Works;2. Number Of Major Exhibitions;3. Average Visitor Rating;4. Average Size (m²);5. Museums Owning Artwork;6. Artwork Condition;7. Restoration History;8. Artwork Provenance;9. Symbolism In Artwork;10. Cultural Significance
40;"""The Scream"""; 8; 4.5/5; 91x60cm; National Gallery; Good; Some loss of pigment, minor tears; Painted by Edvard Munch, owned by the museum; Expression of intense anxiety and existential despair, symbolizing the isolation and vulnerability of the human condition;
41;"""The Mona Lisa"""; 12; 4.9/5; 77x53cm; Louvre; Excellent; Cleaned and restored multiple times, last work in 2019; Painted by Leonardo da Vinci, owned by the museum; Iconic portrait with enigmatic smile, symbolizing the power of human fascination and mystery;
42;"""The Last Supper"""; 2; 4.7/5; 460x880cm; Santa Maria delle Grazie; Poor; Fragments remaining, extensive restoration attempts; Painted by Leonardo da Vinci, owned by the Italian government; Depiction of the biblical last meal, symbolizing the betrayal and sacrifice of Jesus Christ;
43;"""Guernica"""; 3; 4.8/5; 349.3x776.6cm; Reina Sofia Museum; Good; Small areas repaired, major cleanings in 1981 and 1990s; Painted by Pablo Picasso, owned by the museum; Powerful anti-war statement, symbolizing the horrors of modern warfare and political madness;
44;"""The Night Watch"""; 4; 4.6/5; 363x437cm; Rijksmuseum; Good; Extensive cleaning and restoration since 1990s; Painted by Rembrandt, owned by the museum; Iconic group portrait of the civic guard, symbolizing the importance of community and civic duty.;
45;"""The Arnolfini Portrait"""; 1; 4.6/5; 82x60cm; National Gallery; Good; Minimal cleaning and consolidation; Painted by Jan van Eyck, owned by the museum; Intimate portrait of a wealthy merchant couple, symbolizing marriage, fidelity, and wealth.;
46;"""The Birth of Venus"""; 5; 4.5/5; 172.5x278.9cm; Uffizi Gallery; Good; Cleaning and restoration efforts in the 1990s; Painted by Sandro Botticelli, owned by the gallery; Iconic representation of the goddess Venus, symbolizing love, beauty, and the power of nature.;
47;"""The Garden of Earthly Delights"""; 0; 4.4/5; 220x380cm; Prado Museum; Good; Minor areas restored, cleaned in 2019; Painted by Hieronymus Bosch, owned by the museum; Symbolic triptych depicting Heaven, Earth, and Hell, symbolizing moral and spiritual struggle.</s>;
48;" ""The Starry Night"""; 3; 4.7/5; 73.7x92.1cm; Museum of Modern Art; Good; Limited touch-ups, major restoration in 1941; Painted by Vincent van Gogh, owned by the museum; Emotional portrayal of van Gogh's mental turmoil, symbolizing the power of nature over human existence.;
49;"""The Persistence of Memory"""; 4; 4.8/5; 24.1x33cm; Museum of Modern Art; Good; Minimal conservation, major cleaning in 1958; Painted by Salvador Dalí, owned by the museum; Iconic surrealist masterpiece depicting melting clocks, symbolizing the fluidity and relativity of time.;
50;"""The Scream"""; 2; 4.9/5; 91x60cm; National Gallery and Munch Museum; Fair; Substantial repainting in 1910, 1930, and 1944; Painted by Edvard Munch, owned jointly by the National Gallery and Munch Museum; Expressionist depiction of anxiety and despair, symbolizing the modern urban experience.;
51;"""Girl with a Pearl Earring"""; 2; 4.8/5; 44.5x39cm; Mauritshuis; Good; Restored in 1994 and 2018; Painted by Johannes Vermeer, owned by the museum; Intimate portrait of a young woman with a pearl earring, symbolizing the enigmatic nature of beauty and desire.;
52;"""The Last Supper"""; 1; 4.5/5; 460x880cm; Santa Maria delle Grazie; Poor; Extensive restorations in 1900, 1924, 1947, 1954, and 1986; Painted by Leonardo da Vinci, owned by the Dominican Republic; Iconic portrayal of the Last Supper, symbolizing betrayal and sacrifice.;
53;"""The Night Watch"""; 4; 4.7/5; 363x437cm; Rijksmuseum; Good; Restored in 1652, 1852, 1916, 1930, and 1975; Painted by Rembrandt van Rijn, owned by the museum; Iconic portrayal of a company of civic guards, symbolizing the power of the Dutch bourgeoisie.;
54;"""Guernica"""; 3; 4.9/5; 349.3x776.6cm; Reina Sofia Museum; Fair; Restored in 1981 and 2018; Painted by Pablo Picasso, owned by the museum; Expressionist portrayal of the bombing of Guernica, symbolizing the horrors of war and fascism.;
55;"""The Mona Lisa"""; 1; 5/5; 77x53cm; Louvre Museum; Good; Restored in 1809 and 1954; Painted by Leonardo da Vinci, owned by the museum; Iconic portrait of a woman, symbolizing the enigmatic nature of beauty and human existence.;
56;"""The Hay Wain"""; 2; 4.6/5; 130.2x185.4cm; National Gallery; Good; Restored in 1920, 1950, and 1963; Painted by John Constable, owned by the museum; Iconic portrayal of a rural landscape, symbolizing the connection between human existence and nature.;
57;"""The Fighting Temeraire"""; 2; 4.6/5; 91x122cm; National Gallery; Good; Restored in 1959 and 1974; Painted by J.M.W. Turner, owned by the museum; Romantic portrayal of a ship's final voyage, symbolizing the end of an era and the power of human ingenuity.</s>;
