;"""City Name""";"""Country of Belonging""";"""City Area (km2)""";"""City Population""";"""City Population Density""";"""City Climate""";"""City Terrain""";"""City Highest Point""";"""City Major River""";"""City Major Lake"""
12;"""Beijing""";"""China""";"""16,410.5""";"""21,516,000""";"""1,311 persons/km2""";"""Humid Continental""";"""Plains, Mountains""";"""Mt. Wangjing (1,922m)""";"""Yongding River""";"""None"""
13;"""Mumbai""";"""India""";"""603.4""";"""20,712,475""";"""34,338 persons/km2""";"""Tropical""";"""Hills""";"""None""";"""Ulhas River""";"""None"""
14;"""Moscow""";"""Russia""";"""2,511""";"""12,407,553""";"""4,942 persons/km2""";"""Humid Continental""";"""Plains""";"""None""";"""Moscow River""";"""None"""
15;"""Istanbul""";"""Turkey""";"""5,343""";"""15,519,267""";"""2,906 persons/km2""";"""Humid Subtropical""";"""Plains, Hills""";"""None""";"""Golden Horn Inlet""";"""None"""
16;"""Tokyo""";"""Japan""";"""2,188.5""";"""13,617,445""";"""6,225 persons/km2""";"""Humid Subtropical""";"""Plains""";"""Mt. Fuji (3,776m)""";"""Tokyo Bay""";"""None"""
17;"""Lagos""";"""Nigeria""";"""1,171.3""";"""21,000,000""";"""17,932 persons/km2""";"""Tropical""";"""Coastal Plains""";"""None""";"""Lagos Lagoon""";"""None"""
18;"""São Paulo""";"""Brazil""";"""1,521.1""";"""21,846,507""";"""14,362 persons/km2""";"""Tropical""";"""Hills""";"""None""";"""Tietê River""";"""None"""
19;"""Bangkok""";"""Thailand""";"""1,569""";"""10,065,093""";"""6,407 persons/km2""";"""Tropical""";"""Plains""";"""None""";"""Chao Phraya River""";"""None""</s>"
20;" ""New York""";"""USA""";"""1,214.4""";"""8,622,698""";"""7,101 persons/km2""";"""Humid Subtropical""";"""Coastal Plains, Hills""";"""None""";"""Hudson River""";"""None"""
21;"""Los Angeles""";"""USA""";"""1,302.1""";"""3,976,322""";"""3,050 persons/km2""";"""Mediterranean""";"""Mountains, Plains""";"""Mount Lee (508m)""";"""Los Angeles River""";"""None"""
22;"""Chicago""";"""USA""";"""606.1""";"""2,720,546""";"""4,489 persons/km2""";"""Humid Continental""";"""Plains""";"""None""";"""Chicago River""";"""None"""
23;"""Houston""";"""USA""";"""1,627.8""";"""2,320,268""";"""1,425 persons/km2""";"""Humid Subtropical""";"""Plains""";"""None""";"""Buffalo Bayou""";"""None"""
24;"""Philadelphia""";"""USA""";"""369.4""";"""1,584,134""";"""4,292 persons/km2""";"""Humid Continental""";"""Coastal Plains""";"""None""";"""Schuylkill River, Delaware River""";"""None"""
25;"""Phoenix""";"""USA""";"""1,341.7""";"""1,746,512""";"""1,302 persons/km2""";"""Arid""";"""Desert, Mountains""";"""Piestewa Peak (868m)""";"""Salt River, Gila River""";"""None"""
26;"""San Antonio""";"""USA""";"""1,206.6""";"""1,565,938""";"""1,298 persons/km2""";"""Humid Subtropical""";"""Plains""";"""None""";"""San Antonio River""";"""None"""
27;"""San Diego""";"""USA""";"""964.5""";"""1,429,791""";"""1,481 persons/km2""";"""Mediterranean""";"""Coastal Plains""";"""None""";"""San Diego River""";"""None"""
28;"""Dallas""";"""USA""";"""998.1""";"""1,343,573""";"""1,346 persons/km2""";"""Humid Subtropical""";"""Plains""";"""None""";"""Trinity River""";"""None"""
29;"""San Jose""";"""USA""";"""466.1""";"""1,035,957""";"""2,222 persons/km2""";"""Mediterranean""";"""Hills, Mountains""";"""None""";"""Guadalupe River""";"""None""</s>"
30;" ""Seoul""";"""South Korea""";"""605.2""";"""9,775,421""";"""16,154 persons/km2""";"""Humid Continental""";"""Mountains, Plains""";"""Mt. Bukhan (836m)""";"""Han River""";"""None"""
31;"""Shanghai""";"""China""";"""6,340.5""";"""24,153,200""";"""3,810 persons/km2""";"""Humid Subtropical""";"""Plains, Rivers""";"""None""";"""Yangtze River""";"""None"""
32;"""Tokyo""";"""Japan""";"""2,188.0""";"""37,400,068""";"""17,095 persons/km2""";"""Humid Subtropical""";"""Coastal Plains, Hills""";"""Mt. Fuji (3,776m)""";"""Tama River""";"""None"""
33;"""Mumbai""";"""India""";"""603.4""";"""20,712,875""";"""34,335 persons/km2""";"""Tropical Wet and Dry""";"""Coastal Plains""";"""None""";"""Ulhas River""";"""None"""
34;""" Sao Paulo""";"""Brazil""";"""1,521.1""";"""21,846,507""";"""14,363 persons/km2""";"""Tropical""";"""Plateau, Hills""";"""None""";"""Tiete River""";"""None"""
35;"""Mexico City""";"""Mexico""";"""1,485.0""";"""21,671,908""";"""14,601 persons/km2""";"""Temperate Highland""";"""Mountains, Plains""";"""Ajusco (3,930m)""";"""None""";"""None"""
36;"""Osaka""";"""Japan""";"""223.0""";"""19,281,000""";"""86,457 persons/km2""";"""Humid Subtropical""";"""Plains, Hills""";"""Mt. Ikoma (643m)""";"""Yodo River""";"""None"""
37;"""Cairo""";"""Egypt""";"""453.0""";"""20,484,965""";"""45,265 persons/km2""";"""Hot Desert""";"""Desert, River Valley""";"""None""";"""Nile River""";"""None"""
38;"""Dhaka""";"""Bangladesh""";"""306.4""";"""20,283,552""";"""66,188 persons/km2""";"""Tropical Savanna""";"""River Plains""";"""None""";"""Buriganga River""";"""None"""
39;"""Bogota""";"""Colombia""";"""1,587.2""";"""8,969,761""";"""5,658 persons/km2""";"""Tropical Rainforest""";"""Mountains, Plains""";"""Mt. Monserrate (3,152m)""";"""None""";"""None""</s>"
40;" ""Lagos""";"""Nigeria""";"""1,171.3""";"""21,097,062""";"""18,022 persons/km2""";"""Tropical Savanna""";"""Coastal Plains, Lagoons""";"""None""";"""Lagos Lagoon""";"""None"""
41;"""Sao Paulo""";"""Brazil""";"""1,521.1""";"""21,716,533""";"""14,279 persons/km2""";"""Tropical Rainforest""";"""Mountains, Hills""";"""Mt. Marumbi (2,095m)""";"""Tiete River""";"""None"""
42;"""Mumbai""";"""India""";"""603.4""";"""20,712,875""";"""34,344 persons/km2""";"""Tropical Wet and Dry""";"""Coastal Plains""";"""None""";"""Ulhas River""";"""None"""
43;"""Shanghai""";"""China""";"""6,341.5""";"""26,317,104""";"""4,151 persons/km2""";"""Humid Subtropical""";"""Plains, River Delta""";"""None""";"""Yangtze River""";"""East China Sea"""
44;"""Istanbul""";"""Turkey""";"""5,343.0""";"""15,519,267""";"""2,907 persons/km2""";"""Humid Subtropical""";"""Strait, Peninsula""";"""None""";"""Bosphorus Strait""";"""Black Sea"""
45;"""Karachi""";"""Pakistan""";"""3,527.0""";"""14,910,352""";"""4,226 persons/km2""";"""Hot Desert, Arid""";"""Coastal Plains, Hills""";"""None""";"""Indus River""";"""None"""
46;"""Paris""";"""France""";"""105.4""";"""10,858,113""";"""103,294 persons/km2""";"""Oceanic Climate""";"""Plains, Hills""";"""None""";"""Seine River""";"""None"""
47;"""Tokyo""";"""Japan""";"""2,188.6""";"""13,515,033""";"""6,172 persons/km2""";"""Humid Subtropical""";"""Islands, Mountains""";"""Mt. Fuji (3,776m)""";"""Sumida River""";"""Pacific Ocean"""
48;"""Moscow""";"""Russia""";"""2,512.0""";"""12,408,814""";"""4,941 persons/km2""";"""Humid Continental""";"""Plains, Forests""";"""None""";"""Moskva River""";"""None"""
49;"""Osaka""";"""Japan""";"""223.0""";"""19,281,000""";"""86,457 persons/km2""";"""Humid Subtropical""";"""Plains, Hills""";"""None""";"""Yodo River""";"""Osaka Bay""</s>"
50;" ""São Paulo""";"""Brazil""";"""1,521.1""";"""21,265,00</s>";;;;;;
51;" ""Beijing";China;16,410.5;21,516,000;1,311 persons/km2;Humid Continental;Plains, Mountains;None;Yongding River;"None"""
52;"""Cairo";Egypt;453.0;20,484,965;45,265 persons/km2;Hot Desert;Desert, Nile River Delta;None;Nile River;"None"""
53;"""Dhaka";Bangladesh;306.4;20,283,557;66,219 persons/km2;Tropical Monsoon;Plains;None;Buriganga River;"None"""
54;"""Istanbul";Turkey;5,343.0;15,519,267;2,907 persons/km2;Humid Subtropical;Plains, Hills;None;Bosphorus Strait;"None"""
55;"""Karachi";Pakistan;3,530.0;14,910,352;4,224 persons/km2;Hot Semi-Arid;Plains;None;Indus River Delta;"None"""
56;"""Lagos";Nigeria;1,171.3;13,903,419;11,881 persons/km2;Tropical Wet & Dry;Coastal Plains;None;None;"Lagos Lagoon"""
57;"""Los Angeles";USA;1,302.1;13,353,080;10,252 persons/km2;Mediterranean;Plains, Hills;None;Los Angeles River;"None"""
58;"""Mumbai";India;603.4;19,980,072;33,115 persons/km2;Tropical Wet & Dry;Plains;None;Ulhas River;"None"""
59;"""New York";USA;789.6;18,804,113;23,873 persons/km2;Humid Subtropical;Coastal Plains;None;Hudson River;"None"""
60;"""Paris";France;105.4;12,108,089;115,019 persons/km2;Oceanic;Plains, Hills;None;Seine River;"None""</s>"
61;" ""Beijing";China;16,808;21,516,000;1,280 persons/km2;Humid Continental;Plateaus, Mountains;Jade Mountain;Yongding River;"None"""
62;"""Cairo";Egypt;453;20,484,965;45,221 persons/km2;Hot Desert;Plains;Mokattam Hills;Nile River;"None"""
63;"""Lagos";Nigeria;1,171.3;21,009,000;17,934 persons/km2;Tropical Wet & Dry;Coastal Plains;Lagos Island;Ogun River;"Lagos Lagoon"""
64;"""Rio de Janeiro";Brazil;1,226.7;13,039,261;10,616 persons/km2;Tropical;Coastal Plains, Mountains;Pedra da Gávea;Jequitinhonha River;"Lagoa Rodrigo de Freitas"""
65;"""Bangkok";Thailand;1,568.7;10,044,278;6,405 persons/km2;Tropical Wet & Dry;Plains;Khao Luang;Chao Phraya River;"None"""
66;"""Tokyo";Japan;2,187.8;37,400,068;17,091 persons/km2;Humid Subtropical;Plains, Hills;Mount Fuji;Tone River;"None"""
67;"""Istanbul";Turkey;5,343;15,390,128;2,880 persons/km2;Humid Subtropical;Plains, Hills;Cammali Tepe;Danube River;"None"""
68;"""Sydney";Australia;12,368;5,312,163;429 persons/km2;Humid Subtropical;Coastal Plains;Mount Kosciuszko;Hawkesbury River;"None"""
69;"""Mexico City";Mexico;1,485;21,782,378;14,668 persons/km2;Subtropical Highland;Plateaus;Pico de Orizaba;Río de las Américas;"None"""
70;"""Jakarta";Indonesia;661.5;30,362,918;45,908 persons/km2;Tropical;Coastal Plains;Gunung Semeru;Ciliwung River;"None""</s>"
71;" ""Beijing";China;16,808;21,540,000;1,281 persons/km2;Humid Continental;Plateaus;Mount Everest;Yongding River;"None"""
72;"""Mumbai";India;603.4;20,712,536;34,344 persons/km2;Tropical;Coastal Plains;Kalsubai;Ulhas River;"None"""
73;"""Tokyo";Japan;2,188;37,400,068;17,088 persons/km2;Humid Subtropical;Coastal Plains;Fuji;Tama River;"Lake Kasumigaura"""
74;"""Cairo";Egypt;453;20,484,965;45,221 persons/km2;Hot Desert;Desert;Saint Catherine;Nile River;"None"""
75;"""Dhaka";Bangladesh;306.4;21,006,127;68,565 persons/km2;Tropical Monsoon;Coastal Plains;Keokradong;Buriganga River;"None"""
76;""" oslo";Norway;454.1;1,019,513;2,245 persons/km2;Humid Continental;Hills;Galdhøpiggen;Drammen River;"None"""
77;"""Seoul";South Korea;605.2;9,733,903;15,758 persons/km2;Humid Continental;Mountains;Hallasan;Han River;"None"""
78;"""Lagos";Nigeria;1,171.3;21,374,680;18,255 persons/km2;Tropical Wet and Dry;Coastal Plains;Chappal Waddi;Osun River;"None"""
79;"""Bangkok";Thailand;1,568.7;10,489,576;6,689 persons/km2;Tropical;Plains;Doi Inthanon;Chao Phraya River;"None"""
80;"""New York";USA;1,213.4;8,622,698;7,105 persons/km2;Humid Subtropical;Coastal Plains;Mount Mitchell;Hudson River;"None""</s>"
81;" ""Beijing";China;16,410.5;21,516,000;1,311 persons/km2;Humid Continental;Plateau;Mount Everest;Yongding River;"None"""
82;"""Cairo";Egypt;453;21,764,033;48,062 persons/km2;Hot Desert;Desert;Mount Catherine;Nile River;"None"""
83;"""Moscow";Russia;2,512.0;12,506,468;4,979 persons/km2;Humid Continental;Plains;Mount Elbrus;Moskva River;"None"""
84;"""Istanbul";Turkey;5,343.0;15,519,267;2,907 persons/km2;Humid Subtropical;Coastal Plains;Mount Ararat;Golden Horn;"None"""
85;"""Paris";France;105.4;10,858,000;103,280 persons/km2;Oceanic;Hilly;Mont Blanc;Seine River;"Lac Daumesnil"""
86;"""London";UK;1,572.0;9,304,000;5,915 persons/km2;Oceanic;Hilly;Scafell Pike;Thames River;"Lake Serpentine"""
87;"""Tokyo";Japan;2,187.6;9,273,215;4,240 persons/km2;Humid Subtropical;Mountains;Mount Fuji;Sumida River;"Lake Kasumigaura"""
88;"""São Paulo";Brazil;1,521.1;21,846,507;14,362 persons/km2;Tropical;Plains;Nevado de Toluca;Tietê River;"Billings Reservoir"""
89;"""Mumbai";India;603.4,20,715,000,34,340 persons/km2;Tropical Wet and Dry;Coastal Plains;Anna Salai;Ulhas River;"None""";;
90;"""Seoul";South Korea;605.2,9,794,304,16,186 persons/km2;Humid Continental;Mountains;Hallasan;Han River;"None""</s>";;
91;" ""Tokyo";Japan;2,188.0;9,615,308;4,394 persons/km2;Humid Subtropical;Hills;Mount Fuji;Tama River;"None""   "
92;"""New York";United States;1,214.4,8,622,698,7,102 persons/km2;Humid Subtropical;Coastal Plains;Hartfield-Jackson Atlanta International Airport;Hudson River;"None"" ";;
93;"""Cairo";Egypt;453.0,20,500,000,45,254 persons/km2;Hot Desert;Desert;Mohamed Ali;Nile River;"None"" ";;
94;"""Mexico City";Mexico;1,485.0,21,782,378,14,678 persons/km2;Subtropical Highland;Mountains;Pico de Orizaba;Río de los Remedios;"None"" ";;
95;"""Osaka";Japan;223.0,19,281,000,86,453 persons/km2;Humid Subtropical;Plains;Mount Fuji;Yodo River;"None"" ";;
96;"""Shanghai";China;6,341.0,27,058,000,4,267 persons/km2;Humid Subtropical;Plains;Mount Everest;Yangtze River;"None"" ";;
97;"""Istanbul";Turkey;5,343.0,15,519,000,2,907 persons/km2;Humid Subtropical;Plains;Mount Ararat;Golden Horn;"None"" ";;
98;"""Lagos";Nigeria;1,172.0,21,000,000,17,942 persons/km2;Tropical;Coastal Plains;Chappal Waddi;None;"Lagos Lagoon"" ";;
99;"""Los Angeles";United States;1,302.0,4,000,000,3,063 persons/km2;Mediterranean;Coastal Plains;Mount Whitney;Los Angeles River;"None"" ";;
100;"""Calcutta";India;188.4,14,112,000,75,016 persons/km2;Tropical Wet and Dry;Coastal Plains;Kanchenjunga;Hooghly River;"None"" ";;</s>
