;"""City Names""";"""Countries containing the city""";"""Metropolitan Area (km²)""";"""World Cities Status""";"""Total Population""";"""Urban Population""";"""Greater Metro Density""";"""Language Spoken by Majority""";"""Average Salary""";"""Coordinates (Latitude, Longitude)""";"""Timezone Offset from UTC""";"""Underground System?""";"""Landmarks & Tourist Attractions""";"""Educational Institutions""";"""Political Structures""";"""Religious Buildings and Sites""";"""(Infamous or Notable Events)""";"""Current International Relations""";"""Transportation Hub?""";"""Airports near City""";"""Trains going to major cities outside country if applicable""";"""Buses serving nearby towns""";"""Shopping Centers and Markets""";"""$$$ Average Cost Of Living $$$"""
10;" ""São Paulo""";"""Brazil""";"""1,521""";"""Alpha-""";"""22,043,028""";"""21,772,339""";"""4,431""";"""Portuguese""";"""9,501""";"""-23.5505, -46.6333""";"""-3""";"""Yes""";"""Pão de Açúcar, Ibirapuera Park, Copan Building""";"""University of São Paulo, São Paulo State University""";"""Federal presidential representative democratic republic""";"""São Paulo Cathedral, Metropolitan Cathedral""";"""1924 Revolution, 2016 Summer Olympics""";"""Close relations with Mercosur countries, United States, Portugal""";"""Yes""";"""Guarulhos International Airport, Congonhas-São Paulo Airport""";"""Trains to Rio de Janeiro, Brasília, Curitiba, Belo Horizonte""";"""Regular buses to nearby towns""";"""Rua 25 de Março, Jardins street""";"""$$-$$$"""
11;"""Mumbai""";"""India""";"""603""";"""Alpha-""";"""20,712,875""";"""20,163,242""";"""9,572""";"""Marathi, Hindi""";"""4,781""";"""19.0760, 72.8777""";"""5""";"""Yes""";"""Gateway of India, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Elephanta Caves""";"""University of Mumbai, Indian Institute of Technology Bombay""";"""Federal parliamentary democratic republic""";"""Haji Ali Dargah, Basilica of Our Lady of the Mount""";"""2008 Mumbai attacks, Indian independence movement""";"""Close relations with South Asian Association for Regional Cooperation countries, United States, Portugal""";"""Yes""";"""Chhatrapati Shivaji Maharaj International Airport""";"""Trains to New Delhi, Chennai, Hyderabad, Kolkata""";"""Regular buses to nearby towns""";"""Colaba Causeway, Chor Bazaar""";"""$$-$$$"""
12;"""Beijing""";"""China""";"""16,410.5""";"""Alpha+""";"""21,516,000""";"""18,360,000""";"""1,118""";"""Mandarin""";"""11,279""";"""39.9042, 116.4074""";"""8""";"""Yes""";"""Forbidden City, Great Wall of China, Temple of Heaven""";"""Peking University, Tsinghua University""";"""People's Republic, socialist one-party system""";"""Beijing National Stadium, Niujie Mosque""";"""2008 Summer Olympics, 2022 Winter Olympics""";"""Close relations with Association of Southeast Asian Nations countries, United States, Russia""";"""Yes""";"""Beijing Capital International Airport, Beijing Daxing International Airport""";"""Trains to Shanghai, Guangzhou, Chongqing, Xi'an""";"""Regular buses to nearby towns""";"""Wangfujing, Xidan""";"""$$-$$$"""
13;"""Cairo""";"""Egypt""";"""2,140""";"""Alpha-""";"""20,500,000""";"""18,379,067""";"""9,378""";"""Arabic""";"""5,738""";"""30.0444, 31.2357""";"""2""";"""Yes""";"""Pyramids of Giza, Egyptian Museum, Khan el-Khalili""";"""Cairo University, Ain Shams University""";"""Semi-presidential republic""";"""Al-Azhar Mosque, Coptic Cairo""";"""January 25 Revolution, North Yemen and South Yemen unification""";"""Close relations with African countries, United States, Arab League nations""";"""Yes""";"""Cairo International Airport""";"""Trains to Alexandria, Luxor, Aswan""";"""Regular buses to nearby towns""";"""Kasr el-Nil Street, City Stars Mall""";"""$$-$$$"""
14;"""Delhi""";"""India""";"""1,484""";"""Beta+""";"""29,399,141""";"""26,454,567""";"""7,007""";"""Hindi, Punjabi""";"""6,868""";"""28.6139, 77.2090""";"""5""";"""Yes""";"""Red Fort, Qutub Minar, Humayun's Tomb""";"""University of Delhi, Jawaharlal Nehru University""";"""Federal parliamentary democratic republic""";"""Akshardham, Lotus Temple""";"""Indian independence movement, 1984 anti-Sikh riots""";"""Close relations with South Asian Association for Regional Cooperation countries, United States, Russia""";"""Yes""";"""Indira Gandhi International Airport""";"""Trains to Mumbai, Kolkata, Chennai, Bengaluru""";"""Regular buses to nearby towns""";"""Chandni Chowk, Connaught Place""";"""$$-$$$"""
15;"""Los Angeles""";"""United States""";"""1,302""";"""Beta+""";"""13,353,437""";"""12,413,616""";"""3,255""";"""English""";"""59,302""";"""34.0522, -118.2437""";"""8""";"""Yes""";"""Hollywood Sign, Griffith Observatory, Universal Studios Hollywood""";"""University of California, Los Angeles, University of Southern California""";"""Federal presidential constitutional republic""";"""Staples Center, Dolby Theatre""";"""1992 Los Angeles riots, 1994 Northridge earthquake""";"""Close relations with Canada, Mexico, Australia, Europe""";"""Yes""";"""Los Angeles International Airport, Hollywood Burbank Airport, Long Beach Airport""";"""Trains to San Francisco, Las Vegas, Seattle, Denver""";"""Regular buses to nearby towns""";"""The Grove, Rodeo Drive""";"""$$-$$$"""
16;"""Shanghai""";"""China""";"""6,340.5""";"""Alpha+""";"""27,058,480""";"""24,247,000""";"""2,160""";"""Mandarin""";"""11,940""";"""31.2304, 121.4737""";"""8""";"""Yes""";"""The Bund, Oriental Pearl Tower, Yu Garden""";"""Fudan University, Shanghai Jiao Tong University""";"""People's Republic, socialist one-party system""";"""Shanghai World Financial Center, Longhua Temple""";"""2010 World Expo, 2010 Shanghai IAAF World Athletics Championships""";"""Close relations with Association of Southeast Asian Nations countries, United States, Russia""";"""Yes""";"""Shanghai Pudong International Airport, Shanghai Hongqiao International Airport""";"""Trains to Beijing, Guangzhou, Chongqing, Xi'an""";"""Regular buses to nearby towns""";"""Nanjing Road, Xintiandi""";"""$$-$$$"""
17;"""Osaka""";"""Japan""";"""223""";"""Beta-""";"""19,281,000""";"""17,034,088""";"""5,306""";"""Japanese""";"""29,107""";"""34.6937, 135.5022""";"""9""";"""Yes""";"""Osaka Castle, Universal Studios Japan, Dōtonbori""";"""Osaka University, Kansai University""";"""Unitary parliamentary constitutional monarchy""";"""Sumiyoshi Taisha, Shitennō-ji""";"""1923 Great Kantō earthquake, 1995 Hanshin earthquake""";"""Close relations with United States, South Korea, Europe""";"""Yes""";"""Kansai International Airport, Osaka International Airport (Itami)""";"""Trains to Tokyo, Kyoto, Nagoya, Fukuoka""";"""Regular buses to nearby towns""";"""Shinsaibashi, Umeda district""";"""$$-$$$"""
18;"""New York""";"""United States""";"""1,214""";"""Alpha++""";"""23,876,155""";"""20,324,574""";"""2,791""";"""English""";"""65,561""";"""40.7128, -74.0060""";"""5""";"""Yes""";"""Statue of Liberty, Central Park, Times Square""";"""Columbia University, New York University""";"""Federal presidential constitutional republic""";"""One World Trade Center, New York Public Library""";"""September 11 attacks, 2003 New York City blackout""";"""Close relations with Canada, Mexico, Australia, Europe""";"""Yes""";"""John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport""";"""Trains to Chicago, Washington D.C., Boston, Philadelphia, Toronto, Montreal""";"""Regular buses to nearby towns""";"""Fifth Avenue, Rockefeller Center""";"""$$-$$$"""
19;"""Paris""";"""France""";"""105.4""";"""Alpha++""";"""12,142,343""";"""10,768,707""";"""2,114""";"""French""";"""37,544""";"""48.8566, 2.3522""";"""1""";"""Yes""";"""Eiffel Tower, Louvre Museum, Notre-Dame Cathedral""";"""Sorbonne University, Pierre and Marie Curie University""";"""Unitary semi-presidential constitutional republic""";"""Sacré-Cœur, Palace of Versailles""";"""May 1968 events, November 2015 Paris attacks""";"""Close relations with European Union member states, United States, Canada, Australia""";"""Yes""";"""Charles de Gaulle Airport, Orly Airport""";"""Trains to London, Berlin, Brussels, Barcelona, Rome, Amsterdam, Geneva, Moscow, Saint Petersburg, Zurich""";"""Regular buses to nearby towns""";"""Champs-Élysées, La Défense""";"""$$-$$$""</s>"
20;" ""Berlin""";"""Germany""";"""891.8""";"""Alpha-""";"""6,029,366""";"""4,916,580""";"""1,787""";"""German""";"""48,387""";"""52.5200, 13.4050""";"""1""";"""Yes""";"""Brandenburg Gate, Reichstag building, Museum Island""";"""Humboldt Universität zu Berlin, Freie Universität Berlin""";"""Federal parliamentary republic""";"""Berlin Cathedral, Berlin Wall""";"""July 20, 1944 plot, May Day Riots""";"""Close relations with European Union member states, United States, Canada, Australia""";"""Yes""";"""Brandenburg Airport, Tegel Airport""";"""Trains to Munich, Hamburg, Cologne, Frankfurt, Stuttgart, Vienna, Zurich""";"""Regular buses to nearby towns""";"""Kurfürstendamm, Alexanderplatz""";"""$$-$$$"""
21;"""Shanghai""";"""China""";"""6,340.5""";"""Alpha+""";"""27,058,480""";"""24,247,711""";"""1,473""";"""Mandarin""";"""13,467""";"""31.2304, 121.4737""";"""8""";"""Yes""";"""The Bund, Shanghai Tower, Yuyuan Garden""";"""Fudan University, Shanghai Jiao Tong University""";"""Socialist one-party state""";"""Jades Heaven and Earth, Shanghai Museum""";"""2008 Chinese milk scandal, 2013 Shanghai Chemical Plant explosion""";"""Close relations with Taiwan, Japan, United States, European Union member states""";"""Yes""";"""Shanghai Pudong International Airport, Shanghai Hongqiao International Airport""";"""Trains to Beijing, Guangzhou, Shenzhen, Hong Kong, Hangzhou, Chengdu, Xi'an, Chongqing, Kunming""";"""Regular buses to nearby towns""";"""Nanjing Road, People's Square""";"""$$-$$$"""
22;"""Mumbai""";"""India""";"""603.4""";"""Beta-""";"""20,712,466""";"""20,712,466""";"""11,114""";"""Marathi, Hindi""";"""4,106""";"""19.0760, 72.8777""";"""5.5""";"""Yes""";"""Gateway of India, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Marine Drive""";"""University of Mumbai, Indian Institute of Technology Bombay""";"""Federal parliamentary democratic republic""";"""Haji Ali Dargah, Siddhivinayak Temple""";"""2006 Mumbai train bombings, 2008 Mumbai attacks""";"""Close relations with Bhutan, Sri Lanka, United States, European Union member states""";"""Yes""";"""Chhatrapati Shivaji Maharaj International Airport""";"""Trains to New Delhi, Chennai, Hyderabad, Bangalore, Kolkata, Ahmedabad, Pune, Jaipur, Goa, Coimbatore""";"""Regular buses to nearby towns""";"""Colaba Causeway, High Street Phoenix""";"""$$-$$$"""
23;"""São Paulo""";"""Brazil""";"""1,521.1""";"""Alpha-""";"""22,043,028""";"""21,016,523""";"""3,532""";"""Portuguese""";"""8,824""";"""-23.5505, -46.6333""";"""3""";"""Yes""";"""Pátio do Colégio, Catedral da Sé, Parque Ibirapuera""";"""University of São Paulo, São Paulo State University""";"""Federal presidential representative democratic republic""";"""Igreja de São Francisco de Paula, Cemitério da Consolação""";"""1964 Brazilian coup d'état, 1993 São Paulo Forum""";"""Close relations with Argentina, United States, European Union member states, Portugal""";"""Yes""";"""Guarulhos International Airport, Congonhas-São Paulo Airport""";"""Trains to Rio de Janeiro, Brasília, Belo Horizonte""";"""Regular buses to nearby towns""";"""Rua 25 de Março, Avenida Paulista""";"""$$-$$$"""
24;"""Moscow""";"""Russia""";"""2,512""";"""Alpha+""";"""21,729,563""";"""19,365,381""";"""2,549""";"""Russian""";"""17,672""";"""55.7558, 37.6176""";"""3""";"""Yes""";"""Red Square, Moscow Kremlin, Saint Basil's Cathedral""";"""Lomonosov Moscow State University, Moscow State Institute of International Relations""";"""Federal semi-presidential semi-parliamentary constitutional republic""";"""Cathedral of Christ the Saviour, Novodevichy Convent""";"""1941 German invasion of the Soviet Union, 1991 coup d'état attempt, 2010 Moscow bombings""";"""Close relations with Belarus, Kazakhstan, United States, European Union member states""";"""Yes""";"""Sheremetyevo International Airport, Domodedovo International Airport, Vnukovo International Airport, Zhukovsky International Airport""";"""Trains to Saint Petersburg, Nizhny Novgorod, Yekaterinburg, Novosibirsk, Kazan, Samara, Rostov-on-Don, Sochi, Vladivostok, Ulaanbaatar, Minsk, Tallinn, Helsinki, Prague, Warsaw, Bucharest, Kiev, Sofia, Vienna, Berlin, Paris, Nice, Rome, Naples, Baku, Tbilisi, Yerevan""";"""Regular buses to nearby towns""";"""Tverskaya Street, Arbat Street""";"""$$-$$$"""
25;"""Beijing""";"""China""";"""16,808""";"""Alpha+""";"""21,516,000""";"""18,232,000""";"""1,316""";"""Mandarin""";"""15,371""";"""39.9042, 116.4074""";"""8""";"""Yes""";"""Forbidden City, Temple of Heaven, Summer Palace""";"""Peking University, Tsinghua University""";"""Socialist one-party state""";"""Great Wall of China, Ming Tombs""";"""2008 Summer Olympics, 2022 Winter Olympics""";"""Close relations with Taiwan, United States, European Union member states, Japan""";"""Yes""";"""Beijing Capital International Airport, Beijing Daxing International Airport""";"""Trains to Shanghai, Guangzhou, Shenzhen, Hong Kong, Tianjin, Hangzhou, Chengdu, Xi'an, Chongqing, Kunming, Lhasa""";"""Regular buses to nearby towns""";"""Wangfujing, Xidan""";"""$$-$$$"""
26;"""Cairo""";"""Egypt""";"""2,140""";"""Alpha-""";"""22,602,189""";"""20,064,377""";"""1,264""";"""Arabic""";"""2,717""";"""30.0444, 31.2357""";"""2""";"""Yes""";"""Egyptian Museum, Pyramids of Giza, Sphinx of Giza""";"""Cairo University, American University in Cairo""";"""Semi-presidential representative democratic republic""";"""Al-Azhar Mosque, Khan el-Khalili""";"""2011 Egyptian revolution, 2012–13 Egyptian protests, 2013–14 Egyptian protests, 2019 Egyptian protests""";"""Close relations with United States, European Union member states, Gulf Cooperation Council""";"""Yes""";"""Cairo International Airport""";"""Trains to Alexandria, Luxor, Aswan, Hurghada""";"""Regular buses to nearby towns""";"""Tahrir Square, Khan el-Khalili""";"""$$-$$$"""
27;"""Istanbul""";"""Turkey""";"""5,343""";"""Alpha-""";"""15,519,267""";"""14,535,905""";"""2,214""";"""Turkish""";"""10,145""";"""41.0082, 28.9784""";"""3""";"""Yes""";"""Hagia Sophia, Blue Mosque, Topkapi Palace""";"""Istanbul University, Boğaziçi University""";"""Parliamentary representative democratic republic""";"""Süleymaniye Mosque, Chora Church""";"""1999 İzmit earthquake, 2013 Istanbul protests, 2016 Istanbul bombing, 2016 Istanbul airport attack""";"""Close relations with United States, European Union member states, Russia, Iran""";"""Yes""";"""Istanbul Atatürk Airport, Istanbul Sabiha Gökçen International Airport, Istanbul Airport""";"""Trains to Ankara, Izmir, Bursa, Adana""";"""Regular buses to nearby towns""";"""Istiklal Avenue, Grand Bazaar""";"""$$-$$$"""
28;"""Lagos""";"""Nigeria""";"""1,171""";"""Alpha-""";"""21,374,688""";"""18,637,042""";"""2,479""";"""English, Yoruba""";"""2,550""";"""6.4544, 3.4358""";"""1""";"""Yes""";"""National Museum Lagos, Lekki Conservation Centre, Freedom Park""";"""University of Lagos, Lagos State University""";"""Federal presidential representative democratic republic""";"""Lagos Central Mosque, Cathedral Church of Christ""";"""1967–70 Biafran War, 1993 Nigerian coup d'état, 1996 Nigerian Sharia court crisis, 2000 FESTAC riots, 2001 Lagos nightclub stampede, 2008 Nigerian religious riots, 2011 Lagos church bombings, 2012 Nigerian fuel subsidy crisis, 2014 kidnapping of 276 Chibok schoolgirls, 2018 Nigerian presidential election protests, 2019 Nigerian church attacks, 2019 Electoral Act Amendment Bill protests""";"""Close relations with United States, European Union member states, China, Russia""";"""Yes""";"""Murtala Muhammed International Airport""";"""Trains to Abuja, Kano, Port Harcourt""";"""Regular buses to nearby towns""";"""Oshodi, Ikeja""";"""$$-$$$"""
29;"""Buenos Aires""";"""Argentina""";"""203""";"""Alpha-""";"""15,160,084""";"""13,927,914""";"""7,856""";"""Spanish""";"""8,725""";"""-34.6037, -58.3816""";"""3""";"""Yes""";"""Teatro Colón, Casa Rosada, Obelisk of Buenos Aires""";"""University of Buenos Aires, University of Palermo""";"""Federal presidential representative democratic republic""";"""Metropolitan Cathedral, Basilica of Nuestra Señora del Pilar""";"""1955 Argentine coup d'état, 1976 Argentine coup d'état, 2001 Argentine economic crisis, 2012–13 Argentine protests, 2017–18 Argentine protests, 2019 Argentine protests""";"""Close relations with Brazil, Chile, United States, European Union member states, Spain""";"""Yes""";"""Ministro Pistarini International Airport""";"""Trains to Córdoba, Rosario, Mendoza, La Plata""";"""Regular buses to nearby towns""";"""Avenida Florida, Calle Lavalle""";"""$$-$$$""</s>"
30;" ""São Paulo""";"""Brazil""";"""1,523""";"""Alpha-""";"""22,043,028""";"""20,154,329""";"""14,093""";"""Portuguese""";"""9,755""";"""-23.5505, -46.6333""";"""3""";"""Yes""";"""Pátio do Colégio, São Paulo Cathedral, Municipal Theatre of São Paulo""";"""University of São Paulo, Pontifical Catholic University of São Paulo""";"""Federal presidential representative democratic republic""";"""Igreja de Nossa Senhora do Rosário, Catedral da Sé""";"""1932 Constitutionalist Revolution, 1964 Brazilian coup d'état, 1968 AI-5, 2013 protests in Brazil, 2014 FIFA World Cup, 2016 Summer Olympics, 2017 Brazilian protests""";"""Close relations with Argentina, United States, European Union member states, China, Russia, South Africa""";"""Yes""";"""Guarulhos International Airport, Viracopos International Airport, Congonhas-São Paulo Airport""";"""Trains to Rio de Janeiro, Belo Horizonte, Curitiba, Campinas, Ribeirão Preto""";"""Regular buses to nearby towns""";"""Rua Oscar Freire, Rua 25 de Março""";"""$$-$$$"""
31;"""Mumbai""";"""India""";"""603""";"""Alpha-""";"""20,712,875""";"""20,567,617""";"""33,503""";"""Marathi, Hindi""";"""4,296""";"""19.0760, 72.8777""";"""5""";"""Yes""";"""Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India, Elephanta Caves""";"""University of Mumbai, Indian Institute of Technology Bombay""";"""Federal parliamentary democratic republic""";"""Haji Ali Dargah, Siddhivinayak Temple""";"""2006 Mumbai train bombings, 2008 Mumbai attacks, 2011 Mumbai bombings, 2013 Mumbai gang rape, 2016 Indian banknote demonetisation, 2018 Bharipa Bahujan Mahasangh protests""";"""Close relations with United States, European Union member states, Japan, Russia, China""";"""Yes""";"""Chhatrapati Shivaji Maharaj International Airport""";"""Trains to Delhi, Chennai, Hyderabad, Kolkata""";"""Regular buses to nearby towns""";"""Colaba Causeway, Linking Road, Bandra""";"""$$-$$$"""
32;"""Seoul""";"""South Korea""";"""605.2""";"""Alpha++""";"""9,794,304""";"""9,657,111""";"""17,567""";"""Korean""";"""33,496""";"""37.5703, 126.9780""";"""9""";"""Yes""";"""Gyeongbokgung Palace, N Seoul Tower, Changdeokgung Palace""";"""Seoul National University, Korea University""";"""Democratic presidential representative republic""";"""Myeongdong Cathedral, Jongmyo Shrine""";"""1980 Gwangju uprising, 1997 Asian financial crisis, 2002 South Korean heat wave, 2003 South Korean cable car accident, 2008 Seoul Global Financial Crisis, 2014 Sewol ferry disaster, 2016 South Korean political scandal, 2019 South Korean protests""";"""Close relations with United States, European Union member states, China, Japan""";"""Yes""";"""Incheon International Airport, Gimpo International Airport""";"""Trains to Busan, Daegu, Daejeon, Gwangju""";"""Regular buses to nearby towns""";"""Myeong-dong, Namdaemun Market, Dongdaemun Design Plaza""";"""$$-$$$"""
33;"""Tokyo""";"""Japan""";"""2,188.2""";"""Alpha++""";"""13,927,088""";"""13,561,028""";"""6,158""";"""Japanese""";"""37,154""";"""35.6895, 139.6917""";"""9""";"""Yes""";"""Tokyo Imperial Palace, Meiji Shrine, Tokyo Skytree""";"""University of Tokyo, Keio University""";"""Parliamentary constitutional monarchy""";"""Sensō-ji, Yasukuni Shrine""";"""1923 Great Kantō earthquake, 1945 atomic bombings of Hiroshima and Nagasaki, 1964 Summer Olympics, 1970 Black Mist, 1995 Tokyo subway sarin attack, 2011 Tōhoku earthquake and tsunami, 2020 Summer Olympics""";"""Close relations with United States, European Union member states, South Korea, China, Russia""";"""Yes""";"""Haneda Airport, Narita International Airport""";"""Trains to Osaka, Nagoya, Yokohama, Sapporo, Fukuoka""";"""Regular buses to nearby towns""";"""Ginza, Akihabara, Shibuya""";"""$$-$$$"""
