;Visual Arts; Performing Arts; Literature Genres; Holidays & Celebrations; Sports; Architecture Style; Historical Sites; Museums & Galleries; National Symbols; Education System; Famous Personalities; Cultural Influences; Cuisine
51; Pastel, Intaglio; Reggae, Rap; Mythology, Satire; Labor Day, Hanami; Chess, Billiards; Deconstructivism, Hyperrealism; Eiffel Tower, Colosseum; Metropolitan Museum, Prado Museum; Mango, Papaya; Dissertation, Flipped Classroom; Luther, Rousseau; Hermeneutics, Analytic Philosophy; Quiche, Pierogi 
52; Fresco, Woodcut; Classical, Jazz; Biography, Dystopia; Memorial Day, Dusshera; Sailing, Fencing; Abstract Expressionism, Fluxus; Burj Khalifa, Great Wall; Guggenheim, Louvre; Watermelon, Durian; Group Project, Blended Learning; Locke, Nietzsche; Structuralism, Post-structuralism; Paella, Pad Thai 
53; Sgraffito, Aquatint; Blues Rock, Grunge; Science Fiction, Bildungsroman; Veterans Day, Day of the Dead; Swimming, Gymnastics; Art Deco, Graffiti; Angkor Wat, Easter Island; National Gallery, Vatican Museum; Strawberry, Guava; Student Exchange, Distance Learning; Russell, Heidegger; Empiricism, Pragmatism; Ravioli, Ricotta Cheese 
54; Tempera, Lithograph; Pop, House; Fantasy, Crime; Columbus Day, Eid al-Fitr; Martial Arts, Paragliding; Neo-expressionism, Baroque; Petra, Great Pyramid; Hermitage, Asian Art Museum; Passion Fruit, Lychee; Internship, Simulation; Cantor, Derrida; Marxism, Deconstruction; Churrasco, Yakitori 
55; Digital, Serigraph; Ska, Techno; Tragedy, Memoir; Thanksgiving, Ramadan; Climbing, Golf; Postmodernism, Happening; Gaudi's Sagrada Familia, Chartres Cathedral; Pergamon Museum, Museum of Modern Art; Avocado, Kumquat; Field Study, MOOC; Hegel, Foucault; Social Constructivism, Semiotics; Falafel, Goulash 
56; Encaustic, Photogravure; Opera, Salsa; Essay, Romance; Presidents' Day, Pongal; Tennis, Archery; Surrealist Abstraction, Photomontage; Potala Palace, Valley of the Kings; Uffizi, Art Institute; Banana, Pomegranate; Debate, Laboratory; Montaigne, Wittgenstein; Behaviorism, Cognitivism; Croissant, Cannoli 
57; Charcoal, Screen Print; Disco, EDM; Mystery, Ghost Story; Flag Day, Lantern Festival; Wrestling, Aerobics; Minimalism, Minimalist Design; Acropolis, Mecca; Australian Museum, Smithsonian; Lemon, Lime; Online Tutoring, Game-based Learning; Feynman, Derrida; Postcolonial Theory, Postcolonial Literature; Jambalaya, Jollof Rice 
58; Pastel, Intaglio; Funk, Heavy Metal; Satire, Cyberpunk; Armed Forces Day, Eid al-Adha; Horseback Riding, Shooting; Cubism, De Stijl; Hagia Sophia, Notre Dame; Orsay, Frick Collection; Grapefruit, Loquat; Learning Contract, Flipped Classroom; Descartes, Sartre; Humanism, Transcendentalism; Bruschetta, Blini 
59; Fresco, Woodcut; Country Rock, New Wave; Adventure, Magical Realism; Independence from Japan, Bastille Day; Chessboxing, Surfing; Late Gothic, Pop Art; Teotihuacan, Chichen Itza; Hermitage, Getty; Blueberry, Elderberry; Student Exchange, Service Learning; Machiavelli, Nietzsche; Psychoanalysis, Existentialism; Chilaquiles, Chow Mein 
60; Sgraffito, Aquatint; Celtic, Industrial; Children's, Epic; Labor Thanksgiving, Assumption of Mary; Jump Rope, Cheerleading; Romantic Neoclassicism, Kinetic; Moai, Giant's Causeway; British Museum, Rijksmuseum; Mango, Salak; Dissertation, Team-based Learning; Hume, Derrida; Semiotics, Speech Acts; Tiramisu, Baklava.</s>
61;  Pointillism, Lithography; Reggae, Punk Rock; Science Fiction, Dystopian; Navy Day, Diwali; Skateboarding, Fencing; Renaissance, Minimalism; Petra, Angkor Wat; Prado, Guggenheim; Passion Fruit, Star Fruit; Critical Discourse, Experiential Learning; Cervantes, Camus; Surrealism, Postmodernism; Pad Thai, Ramen 
62; Inlay, Etching; Jazz, Techno; Horror, Noir; Presidents' Day, Hanukkah; Martial Arts, DanceSport; Neo-Expressionism, Conceptual; Sphinx, Stonehenge; Louvre, Metropolitan; Papaya, Kiwi; Problem-based Learning, Blended Learning; Goethe, Barthes; Structuralism, Post-structuralism; Sushi, Dim Sum 
63; Tempera, Linocut; Bluegrass, Grunge; Fantasy, Steampunk; Thanksgiving, Christmas; Basketball, Paragliding; Art Nouveau, Op Art; Machu Picchu, Taj Mahal; Uffizi, Tate; Durian, Longan; Cooperative Learning, Self-directed Learning; Plato, Dewey; Essentialism, Perennialism; Taco, Burrito 
64; Fresco Secco, Mezzotint; Hip Hop, Ambient; Crime, Satire; Citizenship Day, Ramadan; Ice Hockey, Gymnastics; Post-impressionism, Hard-edge; Easter Island, Great Wall; Hermitage, Smithsonian; Peach, Guava; Simulation-based Learning, Connectivism; Aristotle, Foucault; Marxism, Liberalism; Fried Rice, Jambalaya 
65; Encaustic, Drypoint; Ska, House; Mythology, Cyberpunk; Columbus Day, All Saints' Day; Table Tennis, Sailing; Byzantine, Abstract; Pyramids, Colosseum; State Hermitage, National Gallery; Apricot, Persimmon; Mastery Learning, Personalized Learning; Aquinas, Arendt; Human Capital Theory, Transformative Learning; Ratatouille, Paella.</s>
66;  Oil Painting, Lithography; Jazz, Trance; Sci-fi, Surrealism; Valentine's Day, Diwali; Boxing, Fencing; Gothic, Cubism; Sistine Chapel, Prado; MoMA, Guggenheim; Pomegranate, Cherry; Direct Instruction, Flipped Classroom; Copernicus, Locke; Behaviorism, Constructivism; Gumbo, Cioppino 
67; Acrylic, Screen Printing; Blues, Reggae; Historical Fiction, Noir; Chinese New Year, Bastille Day; Cricket, Polo; Baroque, Surreal; Petra, Angkor Wat; Louvre, Hermitage; Mango, Papaya; Problem-based Learning, Experiential Learning; Socrates, Rousseau; Social Contract Theory, Existentialism; Quiche, Strudel 
68; Watercolor, Etching; Techno, Drum & Bass; Horror, Magical Realism; April Fool's, Day of the Dead; Volleyball, Archery; Rococo, Deconstructivism; Hagia Sophia, Neuschwanstein; Met, Orsay; Blueberry, Cranberry; Inquiry-based Learning, Blended Learning; Kant, Nietzsche; Absurdism, Pragmatism; Clambake, Crawfish Boil 
69; Gouache, Serigraphy; Country, Disco; Biographies, Bildungsroman; Independence Day, Hanukkah; Golf, Swimming; Renaissance, Pop Art; Great Mosque, Hagia Sophia; National Gallery, Getty; Raspberry, Kiwi; Team-based Learning, Game-based Learning; Hume, Popper; Falsificationism, Critical Realism; Borscht, Goulash 
70; Ink Wash, Woodcut; Salsa, Rap; Adventure, Fairy Tales; Christmas, Eid al-Fitr; Tennis, Badminton; Ancient, Minimalism; Giza Pyramids, Moai; Uffizi, NEMO; Pineapple, Coconut; Flipped Classroom, Mobile Learning; Leibniz, Habermas; Critical Theory, Analytic Philosophy; Jambalaya, Étouffée 
71; Charcoal, Lithograph; Folk, Tech House; Travel Writing, Dystopia; Thanksgiving, Lunar New Year; Rugby, Weightlifting; Mannerism, Conceptual Art; Chichen Itza, Statue of Liberty; Rijksmuseum, V&A Museum; Lemon, Lime; Personalized Learning, Adaptive Learning; Mill, Bentham; Utilitarianism, Communitarianism; Bouillabaisse, Chowder 
72; Pastel, Monotype; Metal, Grime; Satire, Epic; Easter, Pesach; Baseball, Track & Field; Romanticism, Op Art; Stonehenge, Leaning Tower; Tate Modern, Tate Britain; Grape, Melon; Self-directed Learning, Cooperative Development; Descartes, Heidegger; Hermeneutics, Structuralism; Ratatouille, Moussaka 
73; Digital, Aquatint; Samba, Gabber; Noir, Solarpunk; Halloween, Hanami; Chess, Bridge; Impressionism, Kinetic; Terracotta Army, Chichen Itza; British Museum, Ashmolean; Plum, Olive; Connectivism, Heutagogy; Locke, Berlin; Contextualism, Postmodernism; Paella, Pella 
74; Bloodline, Conté; Symphonic Metal, Speed Metal; Cultural Essays, Cyberpunk; Boxing Day, Nowruz; Wrestling, Judo; Modernism, Land Art; Eiffel Tower, Sydney Opera House; Hermitage Museum, Tretyakov Gallery; Cucumber, Lychee; Mastery Learning, Learning Study; Hegel, Dewey; Critical Pedagogy, Situated Learning; Coq au Vin, Osso Buco 
75; Casein, Mezzotint; R&B, Dream Pop; Memoirs, Steampunk; Labor Day, Carnival; Skiing, Skateboarding; Classical, Digital; Sphinx, Moai; MoMA, MoCA; Pomegranate, Quince; Direct Instruction, Precision Teaching; Nietzsche, Derrida; Deconstruction, Post-structuralism; Tacos, Enchiladas.</s>
76;  Photography, Linocut; Jazz, Lo-fi; Epistolary Novels, Magical Realism; Diwali, Ramadan; MMA, Capoeira; Surrealism, Conceptual; Great Wall of China, Petra; Louvre Museum, Rijksmuseum; Lemon, Kiwi; Blended Learning, Personalized Learning; Sartre, Foucault; Semiotics, Hermeneutics; Chilaquiles, Quesadillas 
77; Tempera, Woodcut; Hip Hop, Trap; Satire, Science Fiction; Thanksgiving, Day of the Dead; Rugby, Surfing; Cubism, Street; Colosseum, Taj Mahal; Guggenheim, Tate Modern; Grapes, Rambutan; Inquiry-based Learning, Flipped Classroom; Heidegger, Lyotard; Marxism, Psychoanalysis; Arroz con Pollo, Sopaipillas 
78; Charcoal, Etching; Bluegrass, Vaporwave; Screenplays, Techno-thriller; Bastille Day, Obon; Billiards, Bodyboarding; Art Nouveau, Pop Art; Stonehenge, Timbuktu; National Gallery, Uffizi; Guava, Salak; Differentiated Instruction, Project-based Learning; Adorno, Zizek; Structuralism, Postcolonialism; Lomo Saltado, Mole 
79; Pastel, Lithograph; EDM, Witch House; Autobiographies, Space Opera; Chinese New Year, Hanukkah; Netball, Paragliding; Impressionism, Hyperrealism; Machu Picchu, Angkor Wat; Centre Pompidou, Van Gogh Museum; Blueberry, Star Fruit; Mastery Learning, Problem-based Learning; Habermas, Gadamer; Phenomenology, Pragmatism; Mofongo, Feijoada 
80; Ink, Screen Printing; Folk, Trance; Graphic Novels, Biopunk; Christmas, Eid al-Fitr; Ice Hockey, Windsurfing; Abstract Expressionism, Op Art; Easter Island, Chichen Itza; Metropolitan Museum, Vatican Museums; Pear, Durian; Direct Instruction, Explicit Teaching; Dewey, Skinner; Behaviorism, Radical Behaviorism; Goulash, Bigos.</s>
81;  Watercolor, Woodcut; Hip Hop, Reggaeton; Epics, Noir; Diwali, Day of the Dead; Lacrosse, Kitesurfing; Rococo, Surrealism; Giza Pyramids, Petra; Tate Modern, Hermitage Museum; Raspberry, Rambutan; Inquiry-based Learning, Blended Learning; Plato, Aristotle; Essentialism, Perennialism; Tacos, Pierogi 
82; Gouache, Mezzotint; Grunge, Dark Ambient; High Fantasy, Mystery; Holi, Mardi Gras; Rock Climbing, Skateboarding; Cubism, Conceptual Art; Moai, Giant's Causeway; British Museum, Rijksmuseum; Cherry, Lychee; Flipped Classroom, Personalized Learning; Kant, Hegel; Transcendentalism, Marxism; Cassoulet, Paella 
83; Tempera, Cyanotype; Opera, Jazz; Satire, Horror; Ramadan, Hanami; Surfing, Rafting; Baroque, Street Art; Colosseum, Taj Mahal; Guggenheim, Egyptian Museum; Pomegranate, Mangosteen; Integrated Learning, Cooperative Learning; Heidegger, Nietzsche; Hermeneutics, Existentialism; Coq au Vin, Wiener Schnitzel 
