;"""Number Type""";"""Identities""";"""Fractions & Decimals""";"""Algebraic Expressions""";"""Geometry - Shapes""";"""Geometry - Measurements""";"""Measurement Tools""";"""Historical Context""";"""Key Figures""";"""Misconceptions"""
48;"49)""Differential Geometry""";"""Differential geometry is the study of the properties of geometric objects that are preserved under differentiable transformations""";"""Manifold - A topological space that is locally Euclidean, meaning that it looks like a Euclidean space when viewed in small enough neighborhoods""";"""Tangent space - The space of all tangent vectors to a manifold at a given point""";"""Riemannian manifold - A manifold with a Riemannian metric, which assigns a positive definite inner product to each tangent space""";"""Curvature - A measure of how much a manifold deviates from being flat""";"""Geodesic - The shortest path between two points on a manifold that minimizes the length functional""";"""Covariant derivative - A derivative operation on tensor fields that takes into account the curvature of the manifold""";"""Bernhard Riemann - German mathematician who made fundamental contributions to differential geometry""";"""Differential geometry has applications in general relativity, fluid dynamics, and computer graphics"" "
49;"50)""Abstract Algebra""";"""Abstract algebra is the study of algebraic structures such as groups, rings, and fields""";"""Group - A set with an associative binary operation and an identity element, such that every element has an inverse""";"""Subgroup - A subset of a group that is also a group under the same binary operation""";"""Normal subgroup - A subgroup that is closed under conjugation by elements of the group""";"""Quotient group - A group formed by identifying normal subgroups of a larger group""";"""Ring - A set with two binary operations, addition and multiplication, that satisfy certain axioms""";"""Field - A ring in which every nonzero element has a multiplicative inverse""";"""Emmy Noether - German mathematician who made fundamental contributions to abstract algebra""";"""Abstract algebra has applications in number theory, geometry, and physics"".</s>"
50;" 51)""Probability Theory""";"""Probability theory is the study of random phenomena and their quantification""";"""Probability space - A triple consisting of a sample space, a set of events, and a probability measure""";"""Random variable - A real-valued function defined on a sample space""";"""Expected value - The average value of a random variable over many repeated trials""";"""Variance - A measure of how much the values of a random variable differ from its expected value""";"""Conditional probability - The probability of an event given that another event has occurred""";"""Bayes' theorem - A formula that relates the conditional probabilities of two events""";"""Andrey Kolmogorov - Russian mathematician who founded modern probability theory""";"""Probability theory has applications in finance, insurance, and engineering""."
51;"52)""Topology""";"""Topology is the study of properties of spaces that are preserved under continuous transformations""";"""Homeomorphism - A continuous and invertible function between topological spaces that preserves the topological properties""";"""Compactness - A property of topological spaces that generalizes the notion of a space being closed and bounded""";"""Connectedness - A property of topological spaces that describes whether they consist of a single piece or are made up of several disconnected pieces""";"""Convergence - A property of sequences of points in a topological space that describes whether they approach a limiting point""";"""Homotopy - A continuous deformation of one function into another that preserves the topological properties""";"""Henri Poincaré - French mathematician who made fundamental contributions to topology""";"""Topology has applications in data analysis, computer graphics, and physics"".";
52;"53)""Number Theory""";"""Number theory is the study of properties of integers and their relationships""";"""Prime number - A positive integer greater than 1 that cannot be expressed as the product of two smaller positive integers""";"""Divisibility - The property of an integer being divisible by another integer""";"""Congruence - A relation between integers that is defined in terms of divisibility""";"""Quadratic residue - An integer that is the square of another integer modulo a given prime""";"""Diophantine equation - An equation whose solutions are required to be integers""";"""Carl Friedrich Gauss - German mathematician who made fundamental contributions to number theory""";"""Number theory has applications in cryptography, coding theory, and physics"".";
53;"54)""Graph Theory""";"""Graph theory is the study of properties of graphs, which are mathematical structures consisting of nodes and edges""";"""Degree - The number of edges that are incident to a given node""";"""Connectedness - A property of graphs that describes whether there is a path between any two nodes""";"""Planarity - A property of graphs that describes whether they can be embedded in a plane without crossings""";"""Coloring - The assignment of colors to nodes or edges of a graph such that no two adjacent nodes or edges have the same color""";"""Isomorphism - A relation between two graphs that describes whether they are structurally identical but possibly with different labels on the nodes or edges""";"""Leonhard Euler - Swiss mathematician who solved the famous Königsberg bridge problem""";"""Graph theory has applications in computer science, sociology, and transportation engineering"".";
54;"55)""Logic""";"""Logic is the study of reasoning and argumentation""";"""Propositional logic - The study of logical arguments based on propositions, which are statements that can be true or false""";"""Predicate logic - The study of logical arguments based on predicates, which are functions that map objects to truth values""";"""Deduction - The process of deriving conclusions from premises that are known to be true""";"""Induction - The process of making generalizations based on specific examples""";"""Abductive reasoning - The process of forming explanations based on limited evidence""";"""Aristotle - Greek philosopher who made fundamental contributions to logic""";"""Logic has applications in artificial intelligence, philosophy, and linguistics"".";
55;"56)""Game Theory""";"""Game theory is the study of strategic decision-making in situations where the outcomes depend on the actions of multiple agents""";"""Game - A mathematical model of a strategic decision-making situation that involves multiple agents and their preferences""";"""Strategy - A complete plan of actions that an agent can take in a game""";"""Nash equilibrium - A situation in which no agent can improve their outcome by unilaterally changing their strategy""";"""Prisoner's dilemma - A famous game in which non-cooperation is a dominant strategy for both agents, but mutual cooperation results in a better outcome for both""";"""Minimax - A strategy that minimizes the maximum possible loss""";"""John Nash - American mathematician who made fundamental contributions to game theory""";"""Game theory has applications in economics, political science, and computer science"".";
56;"57)""Set Theory""";"""Set theory is the foundation of modern mathematics and provides a framework for defining mathematical objects and their properties""";"""Set - A collection of distinct objects, called elements or members""";"""Set operations - The operations of union, intersection, complement, and difference, which are defined on sets""";"""Cardinality - The number of elements in a set""";"""Ordered pair - A mathematical object consisting of two elements, called coordinates, that are arranged in a fixed order""";"""Relation - A set of ordered pairs that satisfies certain properties, such as reflexivity, symmetry, or transitivity""";"""Georg Cantor - German mathematician who made fundamental contributions to set theory""";"""Set theory has applications in computer science, economics, and statistics"".";
57;"58)""Operator Theory""";"""Operator theory is the study of properties of mathematical operations, such as linear transformations and differential equations""";"""Operator - A mathematical object that acts on a vector space to produce another vector in the same space""";"""Linear operator - An operator that satisfies certain properties, such as additivity and homogeneity""";"""Self-adjoint operator - An operator that is equal to its adjoint""";"""Eigenvalue - A scalar value that satisfies a certain equation involving an operator and a vector""";"""Spectral theorem - A theorem that describes the decomposition of a self-adjoint operator into a sum of eigenvalues and eigenvectors""";"""John von Neumann - Hungarian-American mathematician who made fundamental contributions to operator theory""";"""Operator theory has applications in physics, engineering, and computer science"".";
58;"59)""Partial Differential Equations""";"""Partial differential equations (PDEs) are mathematical equations that describe physical phenomena involving continuous variables and their rates of change""";"""Linear PDE - A PDE that can be expressed as a linear combination of the independent variables and their partial derivatives""";"""Nonlinear PDE - A PDE that cannot be expressed as a linear combination of the independent variables and their partial derivatives""";"""Boundary value problem - A PDE with boundary conditions, which are conditions that the solution must satisfy on the boundary of the domain""";"""Eigenvalue problem - A linear PDE with eigenvalue conditions, which are conditions that the solution must satisfy in order to be a non-trivial solution""";"""Wave equation - A linear PDE that describes the propagation of waves, such as sound or light""";"""Jean Baptiste Joseph Fourier - French mathematician who made fundamental contributions to the theory of PDEs""";"""PDEs have applications in physics, engineering, and finance"".";
59;"60)""Functional Analysis""";"""Functional analysis is the study of properties of functions and their relationships, especially in infinite-dimensional spaces""";"""Banach space - A complete normed vector space, which satisfies certain properties, such as completeness and linearity""";"""Hilbert space - A Banach space with an inner product, which satisfies certain properties, such as symmetry and positivity""";"""Operator - A mathematical object that acts on a Banach or Hilbert space to produce another element in the same space""";"""Self-adjoint operator - An operator that satisfies certain conditions, such as being Hermitian and having real eigenvalues""";"""Spectral theorem - A theorem that describes the decomposition of a self-adjoint operator into a sum of eigenvalues and eigenvectors""";"""David Hilbert - German mathematician who made fundamental contributions to functional analysis""";"""Functional analysis has applications in physics, engineering, and computer science"".</s>";
60;" 61)""Calculus""";"""Calculus is the study of rates of change and accumulation of quantities""";"""Derivative - A measure of how a function changes as its input changes""";"""Integral - A measure of the accumulation of a quantity over an interval""";"""Limit - A mathematical concept that describes how a function approaches a value as the input approaches a certain point""";"""Fundamental theorem of calculus - A theorem that establishes the relationship between differentiation and integration""";"""Sir Isaac Newton - English mathematician and physicist who made fundamental contributions to calculus""";"""Calculus has applications in physics, engineering, and economics"".";;
61;"62)""Graph Theory""";"""Graph theory is the study of properties of graphs, which are mathematical structures used to model relationships between objects""";"""Vertex - A node or point in a graph, representing an object""";"""Edge - A connection between two vertices, representing a relationship""";"""Directed graph - A graph where the edges have a direction, representing a one-way relationship""";"""Undirected graph - A graph where the edges do not have a direction, representing a two-way relationship""";"""Connected graph - A graph where every vertex is connected to every other vertex by a path""";"""Leonhard Euler - Swiss mathematician who made fundamental contributions to graph theory""";"""Graph theory has applications in computer science, operations research, and social network analysis"".";
62;"63)""Number Theory""";"""Number theory is the study of properties of integers and their relationships""";"""Prime number - A positive integer that is divisible only by itself and 1""";"""Composite number - A positive integer that is not a prime number and can be expressed as a product of prime numbers""";"""Even number - A number that is divisible by 2""";"""Odd number - A number that is not divisible by 2""";"""Fermat's Last Theorem - A theorem that states that there are no positive integers x, y, z such that x^n + y^n = z^n for any n greater than 2""";"""Carl Friedrich Gauss - German mathematician who made fundamental contributions to number theory""";"""Number theory has applications in cryptography, coding theory, and combinatorics"".";
63;"64)""Topology""";"""Topology is the study of properties of spaces that are preserved under continuous transformations""";"""Homeomorphism - A continuous transformation between two topological spaces that is invertible and has a continuous inverse""";"""Compact space - A topological space that is closed and bounded and has the property that every open cover has a finite subcover""";"""Connected space - A topological space that cannot be expressed as the union of two non-trivial disjoint open sets""";"""Convex space - A topological space that has the property that for any two points in the space, the line segment connecting them is contained in the space""";"""Henri Poincaré - French mathematician who made fundamental contributions to topology""";"""Topology has applications in physics, engineering, and computer science"".";;
64;"65)""Differential Geometry""";"""Differential geometry is the study of properties of geometric shapes using calculus and linear algebra""";"""Curvature - A measure of how much a shape bends or curves""";"""Tangent space - A vector space associated with a point on a curve or surface, representing the directions in which the curve or surface can be locally approximated by a plane""";"""Gaussian curvature - A measure of the curvature of a surface at a point, taking into account both the curvature in the plane of the surface and the curvature perpendicular to the surface""";"""Geodesic - A curve on a surface that minimizes the distance between two points on the surface""";"""Bernhard Riemann - German mathematician who made fundamental contributions to differential geometry""";"""Differential geometry has applications in physics, engineering, and computer graphics"".";;
65;"66)""Combinatorics""";"""Combinatorics is the study of counting and arranging objects in various ways""";"""Permutation - An arrangement of a set of objects in a specific order""";"""Combination - A selection of a subset of objects from a larger set, without regard to order""";"""Pigeonhole principle - A principle that states that if n objects are distributed among m boxes, and n is greater than m, then at least one box must contain more than one object""";"""Graph coloring - The assignment of colors to the vertices of a graph, such that no two adjacent vertices have the same color""";"""Péter Lax - Hungarian-American mathematician who made fundamental contributions to combinatorics""";"""Combinatorics has applications in computer science, statistics, and probability theory"".";;
66;"67)""Logic""";"""Logic is the study of valid reasoning and inference""";"""Propositional logic - A branch of logic that deals with propositions or statements that are either true or false""";"""Predicate logic - A branch of logic that deals with predicates or properties that can be true or false of objects""";"""First-order logic - A type of logic that allows for quantification over individuals, but not over predicates""";"""Second-order logic - A type of logic that allows for quantification over predicates, as well as over individuals""";"""Georg Boole - English mathematician and philosopher who made fundamental contributions to logic""";"""Logic has applications in computer science, philosophy, and artificial intelligence"".";;
67;"68)""Probability Theory""";"""Probability theory is the study of uncertainty and randomness""";"""Probability space - A mathematical space consisting of a sample space, a set of events, and a probability measure""";"""Random variable - A function from a sample space to the real numbers, representing a uncertain quantity""";"""Expected value - A measure of the central tendency of a random variable, representing the weighted average of possible values""";"""Variance - A measure of the dispersion of a random variable, representing the average of the squared differences from the expected value""";"""Andrey Kolmogorov - Russian mathematician who made fundamental contributions to probability theory""";"""Probability theory has applications in statistics, finance, and engineering"".";;
68;"69)""Optimization""";"""Optimization is the study of finding the best solution among a set of alternatives""";"""Linear programming - A method of optimization that deals with linear objectives and constraints""";"""Nonlinear programming - A method of optimization that deals with nonlinear objectives and constraints""";"""Gradient descent - A method of optimization that uses the gradient of the objective function to iteratively improve the solution""";"""Simplex algorithm - A method of optimization that solves linear programming problems using a series of pivot operations""";"""Leonid Kantorovich - Soviet mathematician who made fundamental contributions to optimization""";"""Optimization has applications in economics, engineering, and computer science"".";;
69;"70)""Game Theory""";"""Game theory is the study of strategic decision-making in situations of conflict or competition""";"""Game - A mathematical model of a situation of conflict or competition, consisting of a set of players, a set of strategies, and a set of payoffs""";"""Nash equilibrium - A concept in game theory that describes a set of strategies such that no player can improve their payoff by unilaterally changing their strategy""";"""Minimax - A strategy in game theory that minimizes the maximum possible loss""";"""Prisoner's dilemma - A classic game in game theory that illustrates the concept of cooperation and defection""";"""John Nash - American mathematician who made fundamental contributions to game theory""";"""Game theory has applications in economics, political science, and psychology"".";</s>;
70;" 71)""Combinatorics""";"""Combinatorics is the study of counting, arranging, and combining objects""";"""Combination - A selection of objects without regard to order, described by the formula C(n, k) = n! / (k!(n-k)!)""";"""Permutation - A arrangement of objects in a specific order, described by the formula P(n) = n!""";"""Graph theory - A branch of combinatorics that studies graphs, consisting of vertices and edges""";"""Matroid theory - A branch of combinatorics that studies independence, basis, and closure in sets""";"""Leonhard Euler - Swiss mathematician who made fundamental contributions to combinatorics""";"""Combinatorics has applications in computer science, cryptography, and optimization"".";;
71;"72)""Topology""";"""Topology is the study of the properties of spaces that are preserved under continuous transformations""";"""Homeomorphism - A continuous and invertible function between topological spaces, preserving the topological properties""";"""Compactness - A property of topological spaces that allows for the existence of finite subcovers of open covers""";"""Connectedness - A property of topological spaces that allows for the movement between any two points without leaving the space""";"""Homotopy - A continuous deformation of one function into another, preserving the topological properties""";"""Henri Poincaré - French mathematician who made fundamental contributions to topology""";"""Topology has applications in physics, engineering, and computer science"".";;
72;"73)""Differential Equations""";"""Differential equations are equations that describe the relationship between a function and its derivatives""";"""Ordinary differential equation - An equation that describes the relationship between a function of one variable and its derivatives""";"""Partial differential equation - An equation that describes the relationship between a function of several variables and its derivatives""";"""Existence and uniqueness theorems - Theorems that describe conditions under which a differential equation has a unique solution""";"""Stability theory - A branch of differential equations that studies the stability of solutions to differential equations""";"""Leonhard Euler - Swiss mathematician who made fundamental contributions to differential equations""";"""Differential equations have applications in physics, engineering, and economics"".";;
73;"74)""Number Theory""";"""Number theory is the study of the properties of integers and their relationships""";"""Divisibility - The property of integers to be divisible by other integers, described by the greatest common divisor and the least common multiple""";"""Prime number - An integer greater than 1 that is divisible only by itself and 1, described by the prime number theorem""";"""Congruences - The property of integers to have the same remainder when divided by another integer, described by the Chinese remainder theorem""";"""Modular forms - Functions that have a periodicity property with respect to congruences, used in the proof of Fermat's Last Theorem""";"""Carl Friedrich Gauss - German mathematician who made fundamental contributions to number theory""";"""Number theory has applications in cryptography, coding theory, and physics"".";;
74;"75)""Logic""";"""Logic is the study of reasoning and argumentation""";"""Propositional logic - A branch of logic that studies the truth value of statements, described by truth tables and logical connectives""";"""Predicate logic - A branch of logic that studies the truth value of statements with quantifiers, described by quantifier rules and logical inference""";"""Set theory - A branch of logic that studies the properties of sets, described by axioms and theorems""";"""Model theory - A branch of logic that studies the relationship between formal languages and mathematical structures, described by the completeness and compactness theorems""";"""Bertrand Russell - British mathematician and philosopher who made fundamental contributions to logic""";"""Logic has applications in computer science, artificial intelligence, and linguistics"".";;
75;"76)""Differential Geometry""";"""Differential geometry is the study of the properties of curves and surfaces in geometric spaces""";"""Tangent space - A geometric space that is tangent to a curve or a surface, described by the directional derivative and the normal vector""";"""Curvature - A measure of the bending or twisting of a curve or a surface, described by the first and the second fundamental forms""";"""Riemannian manifold - A geometric space with a smoothly varying inner product, used in the general relativity theory""";"""Geodesic - A curve on a surface that is the shortest distance between two points, used in the navigation problem""";"""Bernhard Riemann - German mathematician who made fundamental contributions to differential geometry""";"""Differential geometry has applications in physics, engineering, and computer graphics"".";;
76;"77)""Functional Analysis""";"""Functional analysis is the study of the properties of functions and function spaces""";"""Banach space - A complete normed vector space, described by the Hahn-Banach theorem and the open mapping theorem""";"""Hilbert space - A complete inner product space, described by the Riesz representation theorem and the spectral theorem""";"""Fourier analysis - A branch of functional analysis that studies the decomposition of functions into sinusoidal components, described by the Fourier series and the Fourier transform""";"""Fredholm theory - A branch of functional analysis that studies the solvability of integral equations, described by the Fredholm alternative and the index theorem""";"""David Hilbert - German mathematician who made fundamental contributions to functional analysis""";"""Functional analysis has applications in partial differential equations, quantum mechanics, and image processing"".";;
77;"78)""Category Theory""";"""Category theory is the study of the relationships between mathematical structures and their properties""";"""Category - A mathematical structure that consists of objects and morphisms, described by the commutative diagrams and the functors""";"""Functor - A mapping between categories that preserves the structure of morphisms, described by the natural transformations and the adjoint functors""";"""Universal property - A property of objects in a category that describes their uniqueness and universal mapping properties, described by the limits and colimits""";"""Topos - A category that has the properties of a set, used in the foundation of mathematics and quantum physics""";"""Samuel Eilenberg and Saunders Mac Lane - American mathematicians who made fundamental contributions to category theory""";"""Category theory has applications in computer science, physics, and linguistics"".";;
78;"79)""Algebraic Geometry""";"""Algebraic geometry is the study of the geometric properties of algebraic equations""";"""Algebraic variety - A geometric space that is defined by polynomial equations, described by the projective space and the Grassmannian""";"""Scheme - A generalization of the algebraic variety that includes the concept of structure sheaf, used in the study of singularities and moduli spaces""";"""Intersection theory - A branch of algebraic geometry that studies the intersection of algebraic varieties, described by the intersection numbers and the Chern classes""";"""Elliptic curve - An algebraic variety with a group structure, used in the proof of Fermat's Last Theorem and the cryptography""";"""Alexander Grothendieck - French mathematician who made fundamental contributions to algebraic geometry""";"""Algebraic geometry has applications in physics, computer graphics, and cryptography"".";;
79;"80)""Set Theory""";"""Set theory is the foundation of modern mathematics, studying the properties of sets and their relationships""";"""Zermelo-Fraenkel axioms - A set of axioms for set theory, including the axiom of infinity and the axiom of choice""";"""Cardinality - The measure of the size of a set, described by the aleph numbers and the continuum hypothesis""";"""Ordinal number - A well-ordered set, used in the definition of transfinite induction and the constructible universe""";"""Forcing - A technique for creating new models of set theory, used in the independence proofs of the continuum hypothesis and the axiom of choice""";"""Paul Cohen - American mathematician who made fundamental contributions to set theory""";"""Set theory has applications in topology, logic, and computer science"".";</s>;
80;" 81)"" Number Theory""";"""Number theory is the study of the properties of integers and their relationships""";"""Prime number - A positive integer that is divisible only by itself and 1, described by the prime factorization and the primality test""";""" Congruence - A relation between integers that is defined by a modulus, described by the Euler's theorem and the Chinese remainder theorem""";"""Quadratic residue - A square integer modulo a prime number, used in the quadratic reciprocity law and the quadratic sieve""";"""Public-key cryptography - A cryptographic system that is based on the difficulty of factoring large integers, used in the RSA algorithm and the Diffie-Hellman key exchange""";"""Carl Friedrich Gauss - German mathematician who made fundamental contributions to number theory""";"""Number theory has applications in coding theory, cryptography, and quantum physics"".";;
81;"82)""Analytic Geometry""";"""Analytic geometry is the study of the geometric properties of algebraic equations in a coordinate system""";"""Translation - A transformation of a geometric figure that shifts its position, described by the vector and the matrix""";"""Rotation - A transformation of a geometric figure that changes its orientation, described by the angle and the axis""";"""Reflection - A transformation of a geometric figure that mirrors its image, described by the line and the plane""";"""Parametric equation - An equation that defines a curve or a surface by its coordinates, used in the calculation of tangents and normals""";"""René Descartes - French mathematician and philosopher who invented analytic geometry""";"""Analytic geometry has applications in physics, engineering, and computer graphics"".";;
82;"83)""Probability Theory""";"""Probability theory is the study of the likelihood of events and their relationships""";"""Probability space - A measure space that satisfies the axioms of probability, described by the sample space and the sigma-algebra""";"""Random variable - A variable that takes values on a sample space, described by the probability density function and the cumulative distribution function""";"""Expected value - The average value of a random variable, described by the variance and the standard deviation""";"""Central limit theorem - A fundamental theorem in probability theory that states that the sum of independent random variables is approximately normal, used in the hypothesis testing and the statistical inference""";"""Andrey Kolmogorov - Russian mathematician who founded modern probability theory""";"""Probability theory has applications in finance, risk management, and artificial intelligence"".";;
83;"84)""Combinatorics""";"""Combinatorics is the study of the counting and arranging of objects and their relationships""";"""Permutation - An arrangement of objects in a specific order, described by the factorial and the circular permutation""";"""Combination - A selection of objects without regard to order, described by the binomial coefficient and the multinomial theorem""";"""Graph theory - A branch of combinatorics that studies the properties of graphs and their applications, described by the adjacency matrix and the graph coloring""";"""Partitions - A decomposition of a positive integer into smaller integers, used in the number theory and the representation theory""";"""Leonhard Euler - Swiss mathematician who made fundamental contributions to combinatorics""";"""Combinatorics has applications in computer science, genetics, and cryptography"".";;
84;"85)""Differential Equations""";"""Differential equations are equations that describe the relations between the rates of change of functions and their variables""";"""Ordinary differential equation - An equation that involves a single independent variable, described by the Picard-Lindelöf theorem and the stability analysis""";"""Partial differential equation - An equation that involves multiple independent variables, described by the Fourier analysis and the Green's function""";"""Eigenvalue - A special value of a parameter that determines the behavior of a system, used in the stability theory and the spectral theory""";"""Computational methods - Numerical techniques for solving differential equations, used in the weather forecasting and the fluid dynamics""";"""Isaac Newton - English mathematician and physicist who invented differential calculus and solved the famous differential equation of motion""";"""Differential equations have applications in physics, engineering, and economics"".";;
85;"86)""Complex Analysis""";"""Complex analysis is the study of the functions and their properties on the complex plane""";"""Complex number - A number that consists of a real part and an imaginary part, described by the modulus and the argument""";"""Analytic function - A function that is differentiable at every point of its domain, described by the Cauchy-Riemann equations and the Taylor series""";"""Contour integration - A technique for evaluating definite integrals of complex functions, described by the residue theorem and the Jordan curve theorem""";"""Conformal mapping - A transformation that preserves the angles and the shapes of small regions, used in the cartography and the fluid dynamics""";"""Leonhard Euler - Swiss mathematician who made fundamental contributions to complex analysis""";"""Complex analysis has applications in physics, engineering, and signal processing"".";;
86;"87)""Topology""";"""Topology is the study of the properties of spaces and their transformations that are invariant under continuous deformations""";"""Homeomorphism - A continuous and invertible transformation between two topological spaces, described by the invariance of domain and the invariance of dimension""";"""Compactness - A property of spaces that is defined by the open covers and the sequential compactness""";"""Connectedness - A property of spaces that is defined by the paths and the components, described by the connected sum and the fundamental group""";"""Homotopy - A deformation of continuous functions that preserves their homotopy class, used in the classification of spaces and the algebraic topology""";"""Henri Poincaré - French mathematician who founded topology and introduced the fundamental group""";"""Topology has applications in robotics, computer vision, and data analysis"".";;
87;"88)""Algebraic Topology""";"""Algebraic topology is the study of the algebraic structures and their relations that arise from topological spaces and their maps""";"""Homology - A theory that studies the cycles and the boundaries of topological spaces, described by the chain complex and the Betti numbers""";"""Cohomology - A theory that studies the dual of homology, described by the cocycle and the cup product""";"""Fibration - A map between topological spaces that has the homotopy lifting property, used in the spectral sequences and the obstruction theory""";"""Homotopy type - An equivalence relation between topological spaces that is defined by the homotopy, used in the shape theory and the homotopy theory""";"""Henri Poincaré - French mathematician who invented algebraic topology and introduced the fundamental group""";"""Algebraic topology has applications in physics, computer science, and dynamical systems"".";;
88;"89)""Functional Analysis""";"""Functional analysis is the study of the properties of functions and their spaces that are invariant under linear transformations""";"""Banach space - A complete normed vector space, described by the Hahn-Banach theorem and the open mapping theorem""";"""Hilbert space - A complete inner product space, described by the Riesz representation theorem and the spectral theorem""";"""Fourier analysis - A theory that studies the representation of functions by trigonometric series, described by the orthogonality and the Parseval's identity""";"""Operator theory - A theory that studies the linear transformations on function spaces, described by the spectral decomposition and the Fredholm theory""";"""David Hilbert - German mathematician who founded functional analysis and solved the famous Hilbert's fifth problem""";"""Functional analysis has applications in quantum mechanics, partial differential equations, and harmonic analysis"".";;
89;"90)""Category Theory""";"""Category theory is the study of the relationships between mathematical structures and their morphisms, described by the categories, the functors, and the natural transformations""";"""Category - A mathematical structure that consists of objects and morphisms, described by the commutative diagrams and the functors""";"""Functor - A mapping between categories that preserves the structure of morphisms, described by the natural transformations and the adjoint functors""";"""Universal property - A property of objects in a category that describes their uniqueness and universal mapping properties, described by the limits and colimits""";"""Topos - A category that has the properties of a set, used in the foundation of mathematics and quantum physics""";"""George Mackey - American mathematician who applied category theory to representation theory and ergodic theory""";"""Category theory has applications in computer science, physics, and linguistics"".";</s>;
90;" 91)""Complex Analysis""";"""Complex analysis is the study of the properties of complex functions and their spaces that are invariant under holomorphic transformations""";"""Complex plane - A two-dimensional plane that is used to represent complex numbers, described by the complex conjugation and the modulus""";"""Conformal mapping - A holomorphic function that preserves the angles and the shapes of infinitesimal figures, used in the Riemann mapping theorem and the Schwarz-Christoffel mapping""";"""Residue theorem - A theorem that relates the contour integrals of meromorphic functions to the sum of their residues, used in the calculation of definite integrals and the proof of the prime number theorem""";"""Analytic continuation - A process of extending the domain of a holomorphic function by using its power series or its functional equations, used in the proof of the Picard's great theorem and the theory of elliptic functions""";"""Augustin-Louis Cauchy - French mathematician who founded complex analysis and formulated the Cauchy's integral theorem and the Cauchy's residue theorem""";"""Complex analysis has applications in engineering, physics, and differential equations"".";;
91;"92)""Graph Theory""";"""Graph theory is the study of the properties of graphs and their networks that are related to their vertices, edges, and paths""";"""Degree - The number of edges that are incident to a vertex, described by the handshaking lemma and the Euler's formula""";"""Connectivity - The property of a graph that determines whether it is connected or disconnected, described by the cut vertices and the cut edges""";"""Planarity - The property of a graph that determines whether it can be drawn on a plane without crossing its edges, described by the Kuratowski's theorem and the Fáry's theorem""";"""Coloring - The process of assigning colors to the vertices or the edges of a graph such that no two adjacent vertices or edges have the same color, described by the chromatic number and the Four Color Theorem""";"""Leonhard Euler - Swiss mathematician who founded graph theory and solved the famous Königsberg bridge problem""";"""Graph theory has applications in computer science, operations research, and social networks"".";;
92;"93)""Number Theory""";"""Number theory is the study of the properties of integers and their arithmetic operations that are related to their prime factorization, congruences, and Diophantine equations""";"""Prime number - A positive integer that is divisible only by itself and one, described by the Euclid's proof and the Prime Number Theorem""";"""Congruence - An equivalence relation between integers that is defined by a modulus, described by the Chinese Remainder Theorem and the Quadratic Reciprocity Law""";"""Diophantine equation - An equation that has integer solutions, described by the Fermat's Last Theorem and the Mordell's theorem""";"""Continued fraction - A representation of a real number as an infinite sequence of integers that are separated by a fraction bar, described by the convergents and the regular continued fractions""";"""Modular form - A complex function that has certain transformation properties under the modular group, used in the theory of elliptic curves and the proof of the Fermat's Last Theorem""";"""Carl Friedrich Gauss - German mathematician who contributed to number theory and formulated the quadratic reciprocity law and the prime number theorem""";"""Number theory has applications in cryptography, coding theory, and combinatorics""."; 
93;"94)""Probability Theory""";"""Probability theory is the study of the properties of random events and their distributions that are related to their probability measure, expectation, and variance""";"""Probability space - A triplet that consists of a sample space, an event algebra, and a probability measure, described by the Kolmogorov's axioms and the Radon-Nikodym theorem""";"""Random variable - A function that maps the sample space to a measurable space, described by the cumulative distribution function and the probability density function""";"""Central Limit Theorem - A theorem that states that the sum of a large number of independent and identically distributed random variables converges to a normal distribution, described by the De Moivre-Laplace theorem and the Berry-Esseen theorem""";"""Law of Large Numbers - A theorem that states that the average of a large number of independent and identically distributed random variables converges to their expectation, described by the weak law and the strong law""";"""Andrey Kolmogorov - Russian mathematician who founded probability theory and formulated the Kolmogorov's axioms and the continuity theorem""";"""Probability theory has applications in statistics, finance, and physics"".";;
94;"95)""Differential Geometry""";"""Differential geometry is the study of the properties of smooth manifolds and their differentiable maps that are related to their tangent spaces, curvature, and topology""";"""Tangent space - A vector space that is associated with each point of a manifold, described by the differential and the pushforward""";"""Curvature - A quantity that measures the non-parallelism of the tangent spaces at different points of a manifold, described by the Riemann curvature tensor and the Ricci curvature""";"""Chern class - A characteristic class that is associated with a vector bundle over a manifold, described by the Chern-Weil theory and the Chern-Simons theory""";"""Spectral geometry - The study of the relations between the spectrum of a Laplace-Beltrami operator on a manifold and its geometry, described by the Weyl law and the Hodge theorem""";"""Shiing-Shen Chern - Chinese mathematician who contributed to differential geometry and formulated the Chern-Gauss-Bonnet theorem and the Chern character""";"""Differential geometry has applications in general relativity, theoretical physics, and geometric analysis"".";;
95;"96)""Differential Equations""";"""Differential equations are the equations that relate the derivatives of functions to their variables and their values, described by the order, the degree, and the type""";"""Ordinary differential equation - An equation that involves only one independent variable and its derivatives, described by the existence and uniqueness theorem and the Picard-Lindelöf theorem""";"""Partial differential equation - An equation that involves more than one independent variable and their derivatives, described by the classification and the method of characteristics""";"""Sturm-Liouville problem - A boundary value problem that involves a second-order linear ordinary differential equation and two boundary conditions, described by the orthogonal functions and the Fredholm alternative""";"""Integral equation - An equation that involves an integral operator that maps a function to another function, described by the kernel and the resolvent""";"""Leonhard Euler - Swiss mathematician who contributed to differential equations and formulated the Euler's method and the Euler-Lagrange equation""";"""Differential equations have applications in physics, engineering, and economics"".";;
