;`Artwork;Artist;Date Created;Medium;Width;Height;Depth;Additional Details;Provenance;Exhibition History;Literature;Conservation;Citations;Location;Image`
12;"""Citations: Salvador Dalí Museum, St. Petersburg, FL, inv. no. S.D""";\;;;;;;;;;;;;;
14;"""La Gioconda (Mona Lisa)""";Leonardo da Vinci;1503-1506;Oil on poplar panel;77 cm x 53 cm;None;"None:""Enigmatic smile, subtle facial expression, and her clothing with many complex details.""";\;;;;;;;
15;"""Provenance: Francesco del Giocondo in Florence"; King Francis I of France;" Royal collections of France, Paris, France""";\;;;;;;;;;;;
16;"""Exhibition History: Paris, France, 1815, Musée Napoléon";" Milan, Italy, 1911, Pinacoteca di Brera""";\;;;;;;;;;;;;
17;"""Literature: A. Vasari, Le vite de' più eccellenti pittori, scultori, e architettori, vol. 6 (Milan: Giovan Battista da Serravalle, 1568), pp. 458-466";" R. Kemp, La Gioconda di Leonardo da Vinci, Florence: Giunti Editore, 2007""";\;;;;;;;;;;;;
18;"""Conservation: Cleanings between 1750, 1790, 1800, 1806, 1850 and major treatments were conducted in 1900, 1913, 1952, 1954 and 1962 with minor works performed in 1969 and """;\;;;;;;;;;;;;;
19;"""Citations: Inv. No. 779, Musée du Louvre, Paris, France""";\;;;;;;;;;;;;;
20;"""Location: Musée du Louvre, Paris, France""";\;;;;;;;;;;;;;
21;"""Guernica""";Pablo Picasso;1937;Oil on canvas;349.3 cm x 776.6 cm;None;"None:""Depicts a scene of violence and chaos, featuring disembodied human and animal forms.""";\;;;;;;;
22;"""Provenance: Donated by Picasso to the Spanish State in 1937 under the condition that it cannot leave Spanish territory for 99 years.""";\;;;;;;;;;;;;;
23;"""Exhibition History: Paris, France, 1937, Spanish Pavilion, World's Fair";" New York, New York, 1939, Museum of Modern Art""";\;;;;;;;;;;;;
24;"""Literature: P. Gassier and J. Vergne. Pablo Picasso. New York: Harry N. Abrams, 2000, pp.282-283""";\;;;;;;;;;;;;;
25;"""Conservation: Noted conservation in 1949 due to the use of poor-quality canvas.""";\;;;;;;;;;;;;;
26;"""Citations: Inv. No. Pablo Picasso, Guernica, Museo Nacional Centro de Arte Reina Sofia, Madrid, Spain.""";\;;;;;;;;;;;;;
27;"""Location: Museo Nacional Centro de Arte Reina Sofia, Madrid, Spain""";\;;;;;;;;;;;;;
28;"""The Arnolfini Portrait""";Jan van Eyck;1434;Oil on oak panel;82.2 cm x 60 cm;None;"None:""Realistic portrayal of a wealthy merchant couple with high attention to detail.""";\;;;;;;;
29;"""Provenance: Sold to Giovanni Arnolfini"; Crown of Spain in 1516;" Spanish royal collection in Madrid.""";\;;;;;;;;;;;
30;"""Exhibition History: London, England, 1842, National Gallery of Art";" Madrid, Spain, 1862, Museo Nacional del Prado""";\;;;;;;;;;;;;
31;"""Literature: M.J. Friedländer, Early Netherlandish Painting, vol. 5 (Leiden: E. J. Brill, 1967), pp. 29-35""";\;;;;;;;;;;;;;
32;"""Conservation: Linen backing (1857) and relined (1954).""";\;;;;;;;;;;;;;
33;"""Citations: Inv. No. 186, The National Gallery, London, UK.""";\;;;;;;;;;;;;;
34;"""Location: The National Gallery, London, UK""";\;;;;;;;;;;;;;
35;"""The Night Watch""";Rembrandt Harmenszoon van Rijn;1642;Oil on canvas;363 cm x 437 cm;None;"None:""Militia officers and men preparing to march, bathed in soft light.""";\;;;;;;;
36;"""Provenance: The Amsterdam Civic Guard (kloveniersdoelen)"; Prinsenhof Museum, Delft;" Amsterdam City Hall.""";\;;;;;;;;;;;
37;"""Exhibition History: Amsterdam, Netherlands, 1842, City Hall";" Paris, France, 1871, Palais de l'Industrie""";\;;;;;;;;;;;;
38;"""Literature: B. W. Reddick, et al. Rembrandt's Nightwatch. Amsterdam: Amsterdam Historical Museum, 1990""";\;;;;;;;;;;;;;
39;"""Conservation: Cleaned or restored in 1815, 1830, 1841, 1871 and """;\;;;;;;;;;;;;;
40;"""Citations: Inv. No. A 121, Rijksmuseum, Amsterdam, Netherlands.""";\;;;;;;;;;;;;;
41;"""Location: Rijksmuseum, Amsterdam, Netherlands""";\;;;;;;;;;;;;;
42;"""The Scream""";Edvard Munch;1893;Pastel on cardboard;91 cm x 73.5 cm;None;"None:""An individual expressing unbearable anxiety and agony against a turbulent background.""";\;;;;;;;
43;"""Provenance: Riis, Thomas Olsen, Kristiania (Oslo), Norway"; Koller Auctions, Zurich Switzerland; Peterson, Norwegian collector;" Nasjonalgalleriet (National Gallery), Norway""";\;;;;;;;;;;
44;"""Exhibition History: Oslo, Norway, 1895, Oslo Vinterutstilling";" San Francisco, California, 1960""";\;;;;;;;;;;;;
45;"""Literature: K. von Trepka. Edvard Munch: The Complete Graphic Works, 1894- Munich, Berlin, London, New York: Prestel, 1976, pp.42-45""";\;;;;;;;;;;;;;
46;"""Conservation: No extensive cleanings or restorations.""";\;;;;;;;;;;;;;
47;"""Citations: Inv. No. NG.M.00913, Nasjonalgalleriet, Oslo, Norway.""";\;;;;;;;;;;;;;
48;"""Location: Nasjonalgalleriet, Oslo, Norway""";\;;;;;;;;;;;;;
49;"""The Fighting Temeraire""";J.M.W. Turner;1838;Oil on canvas;30 in x 48 in;None;"None:""Depicts the HMS Temeraire being towed to its final berth near London's Rotherhithe, marking the end of the British Age of Sail.""";\;;;;;;;
50;"""Provenance: Joseph Gillott, Birmingham, England"; Wertheimer, London; Alma Tichborne; Edward Levy-Lawson, 1st Viscount Burnham;" sold 1915 to National Gallery, UK.""";\;;;;;;;;;
51;"""Exhibition History: Royal Academy Exhibition, London, England,  Displayed in several other exhibitions throughout the 19th and 20th centuries.""";\;;;;;;;;;;;;;
52;"""Literature: The Life and Works of J.M.W. Turner, by Walter Thornbury, P. 319""";\;;;;;;;;;;;;;
53;"""Conservation: Several restorations throughout the centuries.""";\;;;;;;;;;;;;;
54;"""Citations: Inv. No. NG422, National Gallery, London, UK.""";\;;;;;;;;;;;;;
55;"""Location: National Gallery, London, UK""";\;;;;;;;;;;;;;
56;"""Les Demoiselles d'Avignon""";Pablo Picasso;1907;Oil on canvas;243.9 cm x 233.7 cm;None;"None:""Revolutionary painting that marked a turning point in Picasso's career and has been considered a first major work of Cubism.""";\;;;;;;;
57;"""Provenance: Pablo Picasso, Paris, France"; Ambroise Vollard, Paris, France;" Gertrude Stein, Paris, France and New York, New York""";\;;;;;;;;;;;
58;"""Exhibition History: First displayed at 'Der Blaue Reiter' exhibition in Munich, Germany,  Later shown in various museums worldwide.""";\;;;;;;;;;;;;;
59;"""Literature: John Richardson. A Life of Picasso: The Prodigy, 1881- New York: Alfred A Knopf, 1991, pp. 402-414""";\;;;;;;;;;;;;;
60;"""Conservation: Slightly restored in """;\;;;;;;;;;;;;;
61;"""Citations: Inv. No. 14, The Museum of Modern Art, New York, NY, USA.""";\;;;;;;;;;;;;;
62;"""Location: MOMA - Museum of Modern Art, New York, NY, USA""";\;;;;;;;;;;;;;
63;"""The Raft of the Medusa""";Théodore Géricault;1819;Oil on canvas;491 cm x 716 cm;None;"None:""An iconic image of human tragedy and resistance during a disaster at sea.""";\;;;;;;;
64;"""Provenance: Commissioned by Frédéric Villot, Paris, France"; Sold at auction to Laffitte, Paris, France; Musée du Luxembourg, 1856;" Museum of Versailles, 1874. Musée du Louvre, Paris, France.""";\;;;;;;;;;;
65;"""Exhibition History: Displayed at Salon of 1819, Palais du Louvre, Paris, France"; Shown in London, England, 1820; Exhibited in Vienna, Austria, 1824;" Boston, Massachusetts, USA, 1971.""";\;;;;;;;;;;
66;"""Literature: Louis-Antoine Prat. Théodore Géricault: 1791- 1991, ISBN 978-8434307770""";\;;;;;;;;;;;;;
67;"""Conservation: Restored twice (1876, 2001).""";\;;;;;;;;;;;;;
68;"""Citations: Inv. # RF 1819-8""";\;;;;;;;;;;;;;
