;`Ar Workcode;Created Location;Preserved Museum;Restoration Details;Artist;Date Created;Medium;Width;Height;Depth;Period;Style;Subject Matter;Notes`
10;" ""011L60""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Cleaned and humidified in 1991.""";"""Attributed to Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""143.5 cm""";"""137 cm""";"""""";"""Baroque""";"""Portrait (Aristocrat)""";"""One of the last and finest portraits by Rembrandt.""";""""
11;"""012P75""";"""Paris, France""";"""Louvre Museum""";"""Restoration completed in 2000.""";"""Leonardo da Vinci""";"""1503-16""";"""Oil on poplar""";"""77 cm""";"""53 cm""";"""""";"""Renaissance""";"""Portrait (Mona Lisa)""";"""The world's most famous painting with its enigmatic smile.""";""""
12;"""013N92""";"""Rome, Italy""";"""Vatican Museums""";"""Stabilized and cleaned in 1983.""";"""Michelangelo Buonarroti""";"""1508-12""";"""Fresco""";"""520 cm""";"""880 cm""";"""""";"""Renaissance""";"""Religious (The Last Judgment)""";"""A masterpiece of Western art located in the Sistine Chapel.""";""""
13;"""014M21""";"""St. Petersburg, Russia""";"""State Hermitage Museum""";"""Restored between 1962-70.""";"""Peter Paul Rubens""";"""1610""";"""Oil on canvas""";"""225 cm""";"""142 cm""";"""""";"""Baroque""";"""Mythological (Leda and the Swan)""";"""One of the many versions depicting this myth.""";""""
14;"""015T68""";"""Madrid, Spain""";"""Museo del Prado""";"""Restored between 1996-99.""";"""Diego Velázquez""";"""1656""";"""Oil on canvas""";"""318 cm""";"""276 cm""";"""""";"""Baroque""";"""Historical (Las Meninas)""";"""Considered one of the greatest masterpieces in Western painting.""";""""
15;"""016U90""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Cleaned and varnished in 2019.""";"""Vincent van Gogh""";"""1889""";"""Oil on canvas""";"""92 cm""";"""73 cm""";"""""";"""Post-Impressionism""";"""Self-Portrait""";"""One of the 36 self-portraits by van Gogh.""";""""
16;"""017I23""";"""Cairo, Egypt""";"""Egyptian Museum""";"""Restoration efforts ongoing since the 1970s.""";"""Unknown (Attributed to Ancient Egyptian artisans)""";"""2500-2350 BC""";"""Limestone""";"""61 cm""";"""192 cm""";"""36 cm""";"""Ancient Egyptian""";"""Religious (Seated Scribe)""";"""An exquisite example of the sculptural arts of Ancient Egypt.""";""""
17;"""018K01""";"""Athens, Greece""";"""National Archaeological Museum""";"""Restored in 2018.""";"""Unknown (Attributed to Greek artisans)""";"""440-430 BC""";"""Marble""";"""210 cm""";"""95 cm""";"""""";"""Classical Greek""";"""Mythological (Aphrodite of Knidos)""";"""The first life-size nude statue of a woman in Greek art.""";""""
18;"""019F45""";"""Istanbul, Turkey""";"""Archaeological Museum""";"""Cleaned in 2017.""";"""Unknown (Attributed to the Ancient Romans)""";"""200-250 AD""";"""Glass""";"""29 cm""";"""18 cm""";"""7 cm""";"""Roman Empire""";"""Historical (Portrait Bust)""";"""A stunning example of the Roman's skill in casting glass.""";""""
19;"""020J89""";"""London, England""";"""Victoria and Albert Museum""";"""Restored in 2001.""";"""Gustav Klimt""";"""1909""";"""Oil on canvas""";"""180 cm""";"""180 cm""";"""""";"""Art Nouveau""";"""Decorative Arts ('The Tree of Life')""";"""A fusion of symbolism and decoration of the fin de siècle Vienna.""</s>";
20;" ""021P12""";"""Florence, Italy""";"""Uffizi Gallery""";"""Restored in 2015.""";"""Sandro Botticelli""";"""1482""";"""Tempera on canvas""";"""118 cm""";"""80 cm""";"""""";"""Early Renaissance""";"""Mythological ('The Birth of Venus')""";"""An iconic masterpiece of the Italian Renaissance, symbolizing the emergence of Venus from the sea as a fully grown woman.""";
21;"""022L65""";"""Paris, France""";"""Louvre Museum""";"""Cleaned in 2010.""";"""Leonardo da Vinci""";"""1503-1506""";"""Oil on poplar""";"""77 cm""";"""53 cm""";"""""";"""High Renaissance""";"""Religious ('Mona Lisa')""";"""Arguably the most famous painting in the world, known for its captivating subject and sfumato technique.""";
22;"""023Q38""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Restored in 2007.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""121.9 cm""";"""143.5 cm""";"""""";"Baroque""";"""Historical ('The Night Watch')""";"""A celebrated group portrait, renowned for its dramatic use of light and shadow, as well as its intricate composition.""";
23;"""024H60""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Cleaned in 2013.""";"""Joseph Mallord William Turner""";"""1842""";"""Oil on canvas""";"""91 cm""";"""122 cm""";"""""";"Romanticism""";"""Landscape ('The Fighting Temeraire')""";"""A poignant depiction of the ageing ship 'Temeraire' being towed to its final berth before being broken up for scrap.""";
24;"""025Z17""";"""Moscow, Russia""";"""State Hermitage Museum""";"""Restored in 2009.""";"""Ilya Yefimovich Repin""";"""1885""";"""Oil on canvas""";"""358 cm""";"""551 cm""";"""""";"Realism""";"""Historical ('Ivan the Terrible and His Son Ivan')""";"""An intense and dramatic portrayal of the reportedly remorseful Tsar Ivan IV after killing his own son.""";
25;"""026X90""";"""Barcelona, Spain""";"""Picasso Museum""";"""Cleaned in 2016.""";"""Pablo Picasso""";"""1907""";"""Oil on canvas""";"""243.9 cm""";"""233.7 cm""";"""""";"Cubism""";"""Figure ('Les Demoiselles d'Avignon')""";"""A groundbreaking avant-garde painting, pioneering the Cubist movement and challenging artistic convention through its fragmented depiction of five nude women.""";
26;"""027V54""";"""Berlin, Germany""";"""Gemäldegalerie""";"""Restored in 2005.""";"""Jan van Eyck""";"""1434""";"""Oil on oak""";"""82 cm""";"""60 cm""";"""""";"Northern Renaissance""";"""Religious ('The Ghent Altarpiece: The Adoration of the Mystic Lamb')""";"""Often hailed as one of the most important works of the early Renaissance, this intricate and monumental polyptych showcases the detailed technique van Eyck brought to oil painting.""";
27;"""028B21""";"""Vienna, Austria""";"""Kunsthistorisches Museum""";"""Cleaned in 2012.""";"""Titian""";"""1538""";"""Oil on canvas""";"""119 cm""";"""146 cm""";"""""";"Mannerism""";"""Religious ('Venus of Urbino')""";"""An iconic depiction of a reclining Venus, embracing a sensual depiction of the female form and displaying Titian's mastery of colour and texture.""";
28;"""029N65""";"""St. Petersburg, Russia""";"""State Russian Museum""";"""Restored in 2015.""";"""Vasily Kandinsky""";"""1913""";"""Oil on canvas""";"""120 cm""";"""150 cm""";"""""";Expressionism;"""Abstract ('Improvisation 27 (Garden of Love II)')""";"""This lyrical and non-representative painting marked a pivotal moment in the artist's oeuvre, transitioning away from figuration towards an abstract expression of emotion and colour.""";
29;"""030M01""";"""Ottawa, Canada""";"""National Gallery of Canada""";"""Cleaned in 2018.""";"""Emily Carr""";"""1931-1932""";"""Oil on canvas""";"""101 cm""";"""127 cm""";"""""";Modernism;"""Landscape ('Totem Poles at Alert Bay')""";"""An icon of Canadian art, Carr's Totem Poles at Alert Bay captures the powerful presence of Indigenous heritage through the interplay of light and shadow in the dense Northwest Pacific coastal rainforest.""</s>";
30;" ""031R90""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Restored in 2010.""";"""Jackson Pollock""";"""1948""";"""Drip painting on canvas""";"""243 cm""";"""121 cm""";"""""";Abstract Expressionism;"""Abstract ('No. 5, 1948')""";"""One of the most famous paintings by Pollock, this drip painting is a significant representation of the artist's unique style, embodying the spirit of post-war America through its chaotic and energetic brushstrokes.""";
31;"""032Q01""";"""Paris, France""";"""Musée d'Orsay""";"""Cleaned in 2017.""";"""Claude Monet""";"""1877""";"""Oil on canvas""";"""60 cm""";"""80 cm""";"""""";Impressionism;"""Landscape ('Argenteuil')""";"""Monet's vibrant depiction of the small town Argenteuil on the banks of the Seine River perfectly encapsulates the essence of Impressionism with its loose brushstrokes and vivid colours.""";
32;"""033F77""";"""Berlin, Germany""";"""Gemäldegalerie""";"""Restored in 2014.""";"""Albrecht Dürer""";"""1500""";"""Tempera on linen""";"""67 cm""";"""53 cm""";"""""";Northern Renaissance;"""Self-Portrait""";"""Dürer's meticulously rendered self-portrait showcases his mastery of detailed realism during the Northern Renaissance and provides fascinating insight into the appearance and self-perception of the artist.""";
33;"""034E28""";"""London, UK""";"""National Gallery""";"""Cleaned in 2019.""";"""Leonardo da Vinci""";"""1503-1506""";"""Oil on poplar""";"""77 cm""";"""53 cm""";"""""";High Renaissance;"""Portrait ('Mona Lisa')""";"""An instantly recognizable masterpiece, the Mona Lisa embodies Leonardo da Vinci's enigmatic charm through her subtle smile and intriguing gaze, reflecting the brilliance of High Renaissance art.""";
34;"""035S49""";"""Rome, Italy""";"""Galleria Borghese""";"""Restored in 2013.""";"""Giovanni Bellini""";"""1490""";"""Tempera on canvas""";"""80 cm""";"""120 cm""";"""""";Italian Renaissance;"""Madonna and Child""";"""Bellini's serene portrayal of the Madonna and child features beautifully rendered soft faces, golden halos, and lush fabrics, perfectly capturing the essence of the Italian Renaissance.""";
35;"""036N11""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Cleaned in 2011.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""147 cm""";"""127 cm""";"""""";Dutch Golden Age;"""Portrait ('The Night Watch')""";"""Rembrandt's The Night Watch is a remarkable example of Dutch Realism, capturing a group of Amsterdam's civil militia in dramatic detail, with its innovative use of light, shadows and natural poses.""";
36;"""037H55""";"""WashingtonD.C, USA""";"""National Gallery of Art""";"""Restored in 2016.""";"""Georgia O'Keeffe""";"""1932""";"""Oil on canvas""";"""90 cm""";"""75 cm""";"""""";Modernism;"""Flower ('Black Iris III')""";"""O'Keeffe's captivating floral painting features a bold close-up view of a black iris, expressing a heightened sense of intimacy and emotion, becoming an emblem of her unique modern style.""";
37;"""038P22""";"""Tokyo, Japan""";"""National Museum of Western Art""";"""Cleaned in 2018.""";"""Paul Cézanne""";"""1895""";"""Oil on canvas""";"""66 cm""";"""92 cm""";"""""";Post-Impressionism;"""Still Life""";"""This still life composition by Cézanne features simple objects – such as fruit, a tablecloth, and a vase – arranged in a harmonious display that emphasizes volume and shape, embodying the essence of Post-Impressionism.""";
38;"""039K78""";"""Moscow, Russia""";"""State Tretyakov Gallery""";"""Restored in 2015.""";"""Ilya Repin""";"""1885""";"""Oil on canvas""";"""131 cm""";"""191 cm""";"""""Realism";"""Portrait ('Ivan the Terrible and His Son Ivan')""";"""Repin's dramatic and powerful depiction of Ivan the Terrible and his son after the tsar struck his child showcases the mastery of Realist painting through its emotion and intricate detail.""";;
39;"""040L91""";"""Vienna, Austria""";"""Belvedere Palace""";"""Cleaned in 2009.""";"""Gustav Klimt""";"""1907""";"""Gold, silver, and oil on canvas""";"""180 cm""";"""180 cm""";"""""";Art Nouveau;"""Portrait ('The Kiss')""";"""An iconic masterpiece of the Art Nouveau movement, The Kiss features an embracing couple draped in lavishly decorated robes, with a glittering gold surface reflecting Klimt's dedication to ornamentation.""</s>";
40;" ""041A14""";"""Paris, France""";"""Musée d'Orsay""";"""Restored in 2010.""";"""Vincent van Gogh""";"""1889""";"""Oil on canvas""";"""50 cm""";"""100 cm""";"""""";Post-Impressionism;"""Landscape ('Starry Night Over the Rhone')""";"""Starry Night Over the Rhone displays van Gogh's extraordinary talent for rendering swirling, radiant night scenes with vibrant blues, cyans, and yellows, revealing his emotional connection to the natural world.""";
41;"""042Q27""";"""Berlin, Germany""";"""Alte Nationalgalerie""";"""Cleaned in 2017.""";"""Caspar David Friedrich""";"""1818""";"""Oil on canvas""";"""74 cm""";"""94 cm""";"""""";Romanticism;"""Landscape ('The Wanderer Above the Sea of Fog')""";"""An iconic work of German Romanticism, The Wanderer Above the Sea of Fog features a lone figure contemplating the vast, misty landscape before him, invoking themes of the sublime and human insignificance.""";
42;"""043F90""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Restored in 2012.""";"""Edward Hopper""";"""1942""";"""Oil on canvas""";"""104 cm""";"""153 cm""";"""""";American Realism;"""Cityscape ('Nighthawks')""";"""Nighthawks is a haunting, enigmatic portrayal of urban life, capturing the loneliness and isolation of four patrons in a diner late at night, reflecting Hopper's exploration of human emotion and the modern world.""";
43;"""044X55""";"""Florence, Italy""";"""Uffizi Gallery""";"""Cleaned in 2005.""";"""Sandro Botticelli""";"""1485""";"""Tempera on canvas""";"""119 cm""";"""85 cm""";"""""";Early Renaissance;"""Mythology ('The Birth of Venus')""";"""The Birth of Venus is renowned for its idealized beauty and allegorical representation of the goddess Venus emerging from the sea, encapsulating the humanist values of the Early Renaissance.""";
44;"""045L02""";"""St. Petersburg, Russia""";"""Hermitage Museum""";"""Restored in 2016.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""147 cm""";"""122 cm""";"""""";Baroque;"""Portrait ('Arnold on Jurriaan Oosthuysen')""";"""Arnold on Jurriaan Oosthuysen is a striking depiction of the father and son duo in the Oosthuysen family, showcasing Rembrandt's mastery of chiaroscuro, texture, and detailed expression.""";
45;"""046N68""";"""Madrid, Spain""";"""Prado Museum""";"""Cleaned in 2014.""";"""Diego Velázquez""";"""1656""";"""Oil on canvas""";"""318 cm""";"""276 cm""";"""""";Baroque;"""History Painting ('Las Meninas')""";"""Las Meninas is a complex, captivating portrayal of the Spanish court, revealing Velázquez's expert use of perspective, light, and composition to create a fascinating glimpse into 17th-century life.""";
46;"""047M38""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Restored in 2009.""";"""Johannes Vermeer""";"""1665""";"""Oil on canvas""";"""112 cm""";"""91 cm""";"""""";Dutch Golden Age;"""Genre Painting ('Girl with a Pearl Earring')""";"""Girl with a Pearl Earring is a mesmerizing, intimate portrayal of a young woman, exemplifying Vermeer's extraordinary ability to capture a moment of subtle beauty and contemplation.""";
47;"""048K01""";"""London, UK""";"""National Gallery""";"""Cleaned in 2004.""";"""Leonardo da Vinci""";"""1503-1506""";"""Oil on poplar""";"""77 cm""";"""53 cm""";"""""";High Renaissance;"""Portrait ('Mona Lisa')""";"""The Mona Lisa remains among the most enigmatic and renowned portraits of all time, revealing Leonardo's unparalleled skill in capturing a complex interplay of emotion, detail, and atmospheric perspective.""";
48;"""049L96""";"""Philadelphia, USA""";"""Philadelphia Museum of Art""";"""Restored in 2011.""";"""Mary Cassatt""";"""1877-1878""";"""Drypoint and aquatint on paper""";"""30 cm""";"""41 cm""";"""""";Impressionism;"""Mother and Child ('The Oval Mirror')""";"""Mother and Child embodies Cassatt's innovative approach to printmaking, as she combines delicate lines and rich textures to convey the tender relationship between a mother and her child.""";
49;"""050P71""";"""Washington, USA""";"""National Gallery of Art""";"""Cleaned in 2013.""";"""Georgia O'Keeffe""";"""1932""";"""Oil on canvas""";"""100 cm""";"""121 cm""";"""""";Modernism;"""Flower Abstraction ('Black Iris III')""";"""Black Iris III showcases O'Keeffe's masterful use of color, form, and composition to transform a simple flower into an abstract, captivating exploration of the natural world.""</s>";
50;" ""051A35""";"""Paris, France""";"""Musée d'Orsay""";"""Restored in 2008.""";"""Claude Monet""";"""1872""";"""Oil on canvas""";"""61 cm""";"""92 cm""";"""""";Impressionism;"""Boulevard des Capucines""";"""Monet's striking depiction of modern Parisian life features meticulous details, as he playfully captures the interplay of light, shadow, and movement on the bustling boulevard.""";
51;"""052Q99""";"""Brussels, Belgium""";"""Royal Museums of Fine Arts""";"""Cleaned in 2005.""";"""Pieter Bruegel the Elder""";"""1568""";"""Oil on oak panel""";"""114 cm""";"""155 cm""";"""""";Renaissance;"""The Procession to Calvary""";"""Bruegel's complex narrative offers an unparalleled exploration of both religious and secular life, masterfully integrating up to 500 individual figures within a singular, intricate composition.""";
52;"""053T20""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Restored in 2015.""";"""Jackson Pollock""";"""1948""";"""Oil and enamel on canvas""";"""244 cm""";"""122 cm""";"""""";Abstract Expressionism;"""No. 5, 1948""";"""As a seminal work of abstract expressionism, No. 5, 1948 embodies Pollock's distinctive drip technique, exhibiting a rich tapestry of color and form for viewers to explore and interpret.""";
53;"""054U68""";"""St. Petersburg, Russia""";"""Hermitage Museum""";"""Cleaned in 2012.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""141 cm""";"""131 cm""";"""""";Baroque;"""The Return of the Prodigal Son""";"""Rembrandt's captivating portrayal of compassion and forgiveness reveals his mastery of emotion and atmosphere, as he expertly weaves together depth, texture, and color in this renowned narrative painting.""";
54;"""055I12""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Restored in 2006.""";"""Vincent van Gogh""";"""1889""";"""Oil on canvas""";"""72 cm""";"""92 cm""";"""""";Post-Impressionism;"""Wheat Field with Cypresses""";"""Van Gogh's swirling brushwork and vivid color choices create a visual feast in Wheat Field with Cypresses, as he transforms an unassuming scene into a dynamic, powerful expression of the natural world.""";
55;"""056O45""";"""London, UK""";"""Tate Modern""";"""Cleaned in 2010.""";"""Pablo Picasso""";"""1937""";"""Oil on canvas""";"""349 cm""";"""776 cm""";"""""";Cubism;"""Guernica""";"""As a powerful response to the bombing of the Spanish town of Guernica, Picasso's monumental work conveys the chaos, tragedy, and desperation of war, employing fragmented forms, dissonant colors, and striking juxtapositions.""";
56;"""057N02""";"""Rome, Italy""";"""Vatican Museums""";"""Restored in 2017.""";"""Michelangelo Buonarroti""";"""1508-1512""";"""Fresco""";"""520 cm""";"""883 cm""";"""""";High Renaissance;"""The Creation of Adam""";"""Michelangelo's timeless masterpiece adorns the ceiling of the Sistine Chapel, as he vividly captures the moment of divine creation and imbues the scene with a profound sense of awe, reverence, and emotion.""";
57;"""058M39""";"""Tokyo, Japan""";"""Tokyo National Museum""";"""Cleaned in 2016.""";"""Katsushika Hokusai""";"""1830-1833""";"""Woodblock print""";"""25 cm""";"""37 cm""";"""""";Ukiyo-e;"""The Great Wave off Kanagawa""";"""Hokusai's iconic work symbolizes the raw and untamed power of the natural world, as he harnesses the dynamism of line and form to create an indelible image of the vast, sprawling ocean.""";
58;"""059K66""";"""Madrid, Spain""";"""Museo del Prado""";"""Restored in 2009.""";"""Diego Velázquez""";"""1656""";"""Oil on canvas""";"""318 cm""";"""276 cm""";"""""";Baroque;"""Las Meninas""";"""Velázquez's intricate, multi-layered composition immerses viewers in the Spanish court, as he skillfully manipulates the use of light, shadow, and detail to engage and intrigue the viewer, inviting them to explore the scene further.""";
59;"""060E50""";"""Oslo, Norway""";"""Nasjonalmuseet""";"""Cleaned in 2014.""";"""Edvard Munch""";"""1893""";"""Oil, tempera, and pastel on cardboard""";"""91 cm""";"""74 cm""";"""""";Expressionism;"""The Scream""";"""Munch's evocative masterpiece embodies a profound sense of emotional and psychological turmoil, as he employs swirling lines, jarring colors, and primal motifs to convey a deep sense of anxiety and fear within the human condition.""</s>";
60;" ""061C78""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Restored in 2</s>";;;;;;;;;;
61;" ""062A33""";"""Florence, Italy""";"""Galleria degli Uffizi""";"""Minor touch-ups in 2012.""";"""Sandro Botticelli""";"""1485""";"""Tempera on panel""";"""170 cm""";"""278 cm""";"""""";Early Renaissance;"""The Birth of Venus""";"""Botticelli's iconic masterpiece showcases his mastery of the Early Renaissance style, as he employs delicate colors, elegant lines, and mythological themes to create a serene and harmonious composition celebrating beauty and love.""";
62;"""063Q99""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Full restoration in 2010.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""142 cm""";"""199 cm""";"""""";Baroque;"""The Night Watch""";"""Rembrandt's innovative use of light and shadow elevates this group portrait to a masterpiece of the Baroque period, revealing his exceptional skill in capturing the character and emotion of each individual within the ensemble.""";
63;"""064J11""";"""Paris, France""";"""Musée d'Orsay""";"""Thorough cleaning in 2015.""";"""Claude Monet""";"""1872""";"""Oil on canvas""";"""61 cm""";"""89 cm""";"""""";Impressionism;"""Impression, Sunrise""";"""Monet's groundbreaking work laid the foundation for the Impressionist movement, capturing the transient beauty of a moment through his innovative use of color, light, and loose brushstrokes, immortalizing the ephemeral quality of dawn.""";
64;"""065X55""";"""London, UK""";"""National Gallery""";"""Re-varnished in 2004.""";"""Leonardo da Vinci""";"""1503-1506""";"""Oil on poplar panel""";"""77 cm""";"""53 cm""";"""""";High Renaissance;"""Mona Lisa""";"""Unquestionably one of the most famous and intriguing artworks of all time, the Mona Lisa embodies Leonardo da Vinci's mastery of the High Renaissance style, as he expertly employs sfumato, asymmetry, and compelling psychological depth to captivate viewers worldwide.""";
65;"""066N22""";"""Vienna, Austria""";"""Kunsthistorisches Museum""";"""Restored in 2016.""";"""Gustav Klimt""";"""1907""";"""Oil, silver, and gold leaf on canvas""";"""180 cm""";"""180 cm""";"""""";Art Nouveau;"""The Kiss""";"""An iconic example of the Art Nouveau style, The Kiss showcases Gustav Klimt's extraordinary use of texture and ornamentation, featuring intricate patterns, and luxurious materials to create a sumptuous, golden dreamscape, expressing the depth of human emotion and desire.""";
66;"""067M00""";"""St. Petersburg, Russia""";"""Hermitage Museum""";"""Extensive cleaning in 2017.""";"""Ivan Aivazovsky""";"""1850""";"""Oil on canvas""";"""114 cm""";"""197 cm""";"""""";Romanticism;"""The Ninth Wave""";"""Aivazovsky's magnum opus embodies the Romantic fascination with the powerful and sublime forces of nature, as he masterfully captures the turmoil of a stormy sea and the resilience of the human spirit, evoking a sense of awe and wonderment.""";
67;"""068F19""";"""Rome, Italy""";"""Vatican Museums""";"""Conservation in 2019.""";"""Michelangelo Buonarroti""";"""1512""";"""Fresco""";"""520 cm""";"""880 cm""";"""""";High Renaissance;"""The Sistine Chapel Ceiling""";"""In this defining work of the High Renaissance, Michelangelo reveals his extraordinary mastery of fresco technique, combining anatomical precision, dramatic perspective, vivid coloring, and emotive storytelling to create a visual symphony that transcends time and remains influential to this day.""";
68;"""069K36""";"""Washington D.C., USA""";"""National Gallery of Art""";"""Restored in 2018.""";"""Georgia O'Keeffe""";"""1932""";"""Oil on canvas""";"""102 cm""";"""76 cm""";"""""";Modernism;"""Black Iris III""";"""In this captivating floral masterpiece, Georgia O'Keeffe embraces the principles of Modernism, skillfully employing bold colors, exaggerated forms, and a highly personal interpretation of nature, to evoke a heightened sense of beauty and intimacy.""";
69;"""070P44""";"""Berlin, Germany""";"""Gemäldegalerie""";"""Conservation in 2020.""";"""Caspar David Friedrich""";"""1823-1824""";"""Oil on canvas""";"""110 cm""";"""171 cm""";"""""";Romanticism;"""The Wanderer Above the Sea of Fog""";"""A paradigmatic example of the Romantic spirit, Friedrich's landscape masterpiece captivates viewers through its atmospheric rendering of nature, inviting contemplation and introspection, and expressing the profound relationship between humanity and the sublime wilderness.""";
70;"""071R55""";"""Tokyo, Japan""";"""Tokyo National Museum""";"""Restoration in 2021.""";"""Katsushika Hokusai""";"""1831""";"""Polychrome woodblock print""";"""64 cm""";"""46 cm""";"""""";Ukiyo-e;"""The Great Wave off Kanagawa""";"""Hokusai's most iconic work, The Great Wave off Kanagawa, embodies the grace and beauty of the Ukiyo-e tradition, capturing the raw power of the sea and the delicate balance between tranquility and chaos.""</s>";
71;" ""072T66""";"""Florence, Italy""";"""Uffizi Gallery""";"""Restoration in 2019.""";"""Sandro Botticelli""";"""1485""";"""Tempera on panel""";"""120 cm""";"""91 cm""";"""""";Early Renaissance;"""The Birth of Venus""";"""Botticelli's The Birth of Venus vividly illustrates the Early Renaissance ideals of harmony, beauty, and grace, showcasing the goddess Venus emerging from the sea as a symbol of love and renewal.""";
72;"""073Y77""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Conservation in 2018.""";"""Jackson Pollock""";"""1948""";"""Oil and enamel on canvas""";"""244 cm""";"""122 cm""";"""""";Abstract Expressionism;"""No. 5, 1948""";"""As a quintessential work of Abstract Expressionism, Pollock's No. 5, 1948, demonstrates the artist's revolutionary drip technique and explores the themes of action painting and non-representational art.""";
73;"""074H88""";"""Paris, France""";"""Musée d'Orsay""";"""Restoration in 2020.""";"""Claude Monet""";"""1872""";"""Oil on canvas""";"""101 cm""";"""82 cm""";"""""";Impressionism;"""Impression, Sunrise""";"""Monet's groundbreaking masterpiece, Impression, Sunrise, marks the birth of Impressionism and displays the artist's innovative use of loose brushwork and bright colors to capture the transient effects of light.""";
