;FavoritePsychologist;FavoriteBookOnPsychology;YearsOfPsychologyStudy;AdditionalTrainingCourses;MostInfluentialPsychologist;FamousQuoteByFavPsych;DisagreedWithPsychologicalConcept;FavoritePsychologicalConcept;PsychologicalQuestionStillUnanswered;FutureOfPsychologyInterest;PreferedPsychologyResearchMethod;RoleModelInPsychologyCareer;CurrentPsychologyCareerGoals;MembershipInPsychologicalAssociations
82; Bowlby, John;"""Attachment and Loss""";50;Attachment Theory;Ainsworth;"""In the course of growing up, the child must resolve the oedipal complex, must become separate from the mother, must learn to cope with the father, must acquire a gender identity, and must learn the incest taboo"" ";Attachment;Loss;Separation anxiety;Secure base;Safe haven;Strange situation;Application of attachment principles in clinical settings;APA, APSAC member
83; Seligman, Martin;"""Learned Optimism""";40;Positive Psychology;Peterson;"""Other people are the most potent stimuli for change or continued growth"" ";Explanatory style;Learned helplessness;Learned optimism;Hopelessness;Pessimistic explanatory style;Optimistic explanatory style;Promotion of optimism and well-being through learned optimism;APA, IPPA member
84; Frankl, Viktor;"""Man's Search for Meaning""";45;Logotherapy;Adler;"""The meaning of life is to live life as if it were a work of art"" ";Meaning;Purpose;Existential frustration;Will to meaning;Freedom to choose one's attitude;Paradoxical intention;Logotherapy as a path to meaning and purpose;APA, VSP member</s>
85;  Jung, Carl;"""Man and His Symbols""";60;Analytical Psychology;Freud;"""Everything that irritates us about others can lead us to an understanding of ourselves"" ";Collective unconscious;Archetypes;Persona;Shadow;Self;Anima/Animus;Individuation;Synthesis of consciousness and unconsciousness Application of analytical psychology in therapy APA, IAAP member
86; Skinner, B.F;"""Beyond Freedom and Dignity""";40;Radical Behaviorism;Watson;"""The real problem is not whether machines think but whether men do"" ";Operant conditioning;Radical behaviorism;Reinforcement;Positive reinforcement;Negative reinforcement;Shaping;Verbal behavior;Use of operant conditioning in education and mental health treatment APA, ABA member
87; Pavlov, Ivan;"""Conditioned Reflexes""";50;Classical Conditioning;Sechenov;"""Consciousness is the result of the brain's activity, not its cause"" ";Classical conditioning;Reflex;Unconditioned stimulus;Conditioned stimulus;Unconditioned response;Conditioned response;Secondary reinforcement;Use of classical conditioning in psychotherapy and learning APA, RSA member
88; Ellis, Albert;"""Reason and Emotion in Psychotherapy""";55;Rational Emotive Behavior Therapy (REBT);Adler;"""It's not what happens to us that causes us to suffer";" it's what we say to ourselves about what happens"" ";Cognitive restructuring;Irrational beliefs;ABC model;Disputing irrational beliefs;Acceptance;REBT in psychotherapy;APA, AABT member
89; Maslow, Abraham;"""Motivation and Personality""";45;Humanistic Psychology;Rogers;"""The curious paradox is that when I accept myself just as I am, then I can change"" ";Self-actualization;Peak experiences;Hierarchy of needs;Metamotivation;Jonas Salk;Promotion of humanistic psychology and the study of exceptional human beings;APA, AHP member;
90; Bandura, Albert;"""Social Learning Theory""";50;Social Cognitive Theory;Rotter;"""The basic proposition of social learning theory is that people learn from one another, via observation, imitation, and modeling"" ";Self-efficacy;Reciprocal determinism;Observational learning;Modeling;Bobo doll experiment;Use of social cognitive theory in education and therapy;APA, SRCD member;
91; Vygotsky, Lev;"""Mind in Society""";35;Sociocultural Psychology;Piaget;"""Every function in the child's cultural development appears twice: first, on the social level, and later, on the individual level"" ";Zone of proximal development;Scaffolding;Mediation;Inner speech;Higher mental functions;Cultural influences on cognitive development;APA, APS member;
92; Erikson, Erik;"""Childhood and Society""";50;Ego Psychology;Freud;"""I am what survives of me"" ";Ego development;Identity crisis;Psychosocial stages;Epigenetic principle;Trust versus mistrust;Autonomy versus shame and doubt;Initiative versus guilt;Industry versus inferiority APA, APS member
93; Kahneman, Daniel;"""Thinking, Fast and Slow""";40;Behavioral Economics;Tversky;"""Nothing in life is as important as you think it is while you're thinking about it"" ";Heuristics and biases;Prospect theory;Experimental economics;Behavioral finance;Decision-making;Behavioral economics in public policy;APA, ESA member;
94; Harlow, Harry;"""Learning to Love""";50;Primate Behavior;Lorenz;"""The first relation of the human being is with other human beings"" ";Maternal separation;Contact comfort;Attachment;Love;Abnormal behavior;Use of primates in psychological research;APA, AAB member</s>;
95;  Skinner, B.F.;"""Beyond Freedom and Dignity""";30;Operant Conditioning;Watson;"""If you want to teach surprises, you better have some tricks up your sleeve"" ";Reinforcement;Shaping;Schedules of reinforcement;Radical behaviorism;Applied behavior analysis;Ethics in behavioral research;APA, ABA member;
96; Bowlby, John;"""Attachment and Loss""";45;Developmental Psychology;Freud;"""To be loved is the ultimate and usually the first human need"" ";Attachment theory;Maternal deprivation;Internal working models;Mary Ainsworth;Secure base;APA, APS member;;
97; Pavlov, Ivan;"""Conditioned Reflexes""";60;Classical Conditioning;Wundt;"""The world does not exist for the sake of one man or one nation"" ";Salivary conditioning;Second signal system;Higher nervous activity;Biological psychiatry;Neuropsychology;Russian Psychological Society member;;
98; Maslow, Abraham;"""Motivation and Personality""";40;Humanistic Psychology;Rogers;"""One can choose to go back toward safety or forward toward growth"" ";Hierarchy of needs;Self-actualization;Peak experiences;Jonathan Adler;Transpersonal psychology;APA, AHP member;;
99; Jung, Carl;"""Man and His Symbols""";55;Analytical Psychology;Freud;"""Your vision will become clear only when you look into your heart"" ";Collective unconscious;Archetypes;Persona;Shadow;Anima and Animus;Existential therapy;Depth psychology;IAAP member
100; Vygotsky, Lev;"""Mind in Society""";35;Sociocultural Theory;Leont'ev;"""Every function in the child's cultural development appears twice"" ";Zone of proximal development;Scaffolding;Mediation;Private speech;Cultural tools;Mikhail Bakhtin;APA, AERA member;
101; Bandura, Albert;"""Social Learning Theory""";50;Social Cognitive Theory;Rotter;"""People's actions are largely determined by what they believe and expect"" ";Observational learning;Self-efficacy;Cognitive processes;Reciprocal determinism;Health promotion;APA, SPSSI member;;
102; Cattell, Raymond;"""The Scientific Analysis of Personality""";60;Personality Traits;Eysenck;"""The only way to make sense out of change is to plunge into it, move with it, and join the dance"" ";16PF Questionnaire;Factor analysis;Taxonomy;Genetics and personality;Adaptive Behavior;APA, APS member;;
103; Ellis, Albert;"""Reason and Emotion in Psychotherapy""";45;Rational Emotive Behavior Therapy (REBT);Dollard;"""The best years of your life are the ones in which you decide your problems are your own"" ";Unconditional self-acceptance;ABC model;Irrational beliefs;Cognitive restructuring;APA, AABT member;;;
104; Mischel, Walter;"""Personality and Assessment""";50;Cognitive Social Learning Theory;Rotter;"""The only thing that makes life possible is permanent,intolerable uncertainty";" not knowing what comes next"" ";Cognitive appraisal;Situational variability;Self-regulation;Willpower;APA, SPSSI member</s>;;
