;`Artwork Number; Alternate Artwork Titles; Artist Name; Date Created; Medium; Dimensions In CM; Period; Style; Subject Matter Details; Cultural Context; Additional Details`
25;26;" ""The Kiss"""; Gustav Klimt; 1907-1908; Oil on canvas; 180 x 180 cm; Art Nouveau; Austrian; Sensuous depiction of a couple entwined in an intimate embrace, adorned with intricate gold leaf decorations; Austrian; Known for its luxurious ornamentation, and its exploration of the powerful connection between two lovers.
26;27;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Northern Renaissance; Flemish; Realistic portrait of a wealthy Italian merchant and his wife, showing off their prosperity in an ornate setting; Flemish; Renowned for its precise details and mastery of perspective, and for its enigmatic meaning surrounding the placement of a convex mirror.
27;28;" ""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 379.5 x 450.5 cm; Dutch Golden Age; Dutch; Epic group portrait of an Amsterdam civic guard, featuring Rembrandt's innovative use of light and shadow; Dutch; Known for its dramatic atmosphere and individualized depictions of each watchman, showcasing Rembrandt's mastery of the human form.
28;29;" ""The Raft of the Medusa"""; Théodore Géricault; 1818-1819; Oil on canvas; 491 x 716 cm; Romanticism; French; Monumental depiction of survivors of a shipwreck, struggling for survival on a makeshift raft; French; Celebrated for its intense emotion, realism, and allegory of hope and despair in the face of adversity.
29;30;" ""The Garden of Earthly Delights"""; Hieronymus Bosch; 1500-1510; Oil on oak panel; Triptych, each panel measuring 190 x 382 cm; Early Netherlandish; Flemish; Surrealistic triptych envisioning the creation of humans, their indulgences, and the consequences of sinful behavior; Flemish; Known for its imaginative details and its exploration of the relationship between humanity, pleasure, and mortality.</s>
30; 31;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Powerful anti-war statement depicting the bombing of the Basque town of Guernica during the Spanish Civil War; Spanish; Renowned for its fragmented forms, monochromatic palette, and evocation of the horrors of war.
31;32;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Iconic dreamscape featuring melting clocks in a desolate landscape, reflecting the fluidity and instability of time; Spanish; Celebrated for its enigmatic imagery and exploration of the subconscious mind.
32;33;" ""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 x 770 cm; Renaissance; Italian; Classic representation of ancient Greek philosophers and scholars, engaging in intellectual discourse under a classical architectural setting; Italian; Praised for its harmony, detail, and celebration of human reason.
33;34;" ""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; Renaissance; Italian; Iconic depiction of Jesus Christ's last meal with his disciples before his crucifixion; Italian; Noted for its innovative composition, detailed expressions, and exploration of human emotion.
34;35;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Netherlandish; Flemish; Intimate portrayal of Italian merchant Giovanni di Nicolao Arnolfini and his wife, showcasing van Eyck's mastery of oil paint; Flemish; Admired for its realism, attention to detail, and layered symbolism.
35;36;" ""The Swing"""; Jean-Honoré Fragonard; 1767; Oil on canvas; 81.3 x 64.2 cm; Rococo; French; Seductive portrayal of a young woman on a swing, being pushed by a bishop, while her lover secretly watches from the bushes; French; Celebrated for its light-hearted eroticism and mastery of color.
36;37;" ""The Birth of Venus"""; Sandro Botticelli; 1485-1486; Tempera on canvas; 172.5 x 278.9 cm; Early Renaissance; Italian; Mythological portrayal of the goddess Venus emerging from the sea, surrounded by personifications of the elements; Italian; Known for its delicate grace, poetic sensibility, and exploration of beauty.
37;38;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Dutch; Swirling, emotional portrayal of the night sky over the artist's asylum in Saint-Rémy-de-Provence; Dutch; Renowned for its vivid colors, bold brushwork, and exploration of the psychological landscape.
38;39;" ""The Scream"""; Edvard Munch; 1893; Paint, tempera, and pastel on cardboard; 91 x 73.5 cm; Expressionism; Norwegian; Iconic portrayal of a figure with an agonized expression against a turbulent, abstracted landscape; Norwegian; Celebrated for its raw emotion, distorted forms, and exploration of the human condition.
39;40;" ""The Thinker"""; Auguste Rodin; 1903; Bronze; 189 cm (without base); Modern; French; Iconic nude male sculpture, depicted lost in thought, embodying the intellectual and artistic struggle; French; Acclaimed for its sense of depth and emotion, and its exploration of the human form and experience.</s>
40; 41;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Iconic dream-like painting featuring melting clocks in a desert landscape, exploring the fluidity of time; Spanish; Renowned for its unsettling imagery, precise technique, and exploration of the subconscious.
41;42;" ""The Last Supper"""; Leonardo da Vinci; 1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; Renaissance; Italian; Depiction of Jesus' last meal with his disciples, showcasing perspective, proportion, and emotion; Italian; Celebrated for its innovative composition, lifelike figures, and exploration of narrative.
42;43;" ""The School of Athens"""; Raphael; 1511; Fresco; 500 x 770 cm; Renaissance; Italian; Iconic gathering of philosophers and scientists engaging in discourse, showcasing classical architecture and harmony; Italian; Acclaimed for its detailed composition, lifelike figures, and exploration of knowledge.
43;44;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Monochromatic painting depicting the bombing of Guernica during the Spanish Civil War, using fragmented forms; Spanish; Renowned for its powerful anti-war statement, stark imagery, and exploration of form and perspective.
44;45;" ""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 379.5 x 450.5 cm; Baroque; Dutch; Group portrait of a civic militia, using dramatic lighting and emotional depth; Dutch; Celebrated for its innovative composition, masterful technique, and exploration of character.
45;46;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Netherlandish; Flemish; Intimate portrait of a married couple, using intricate detail and symbolism; Flemish; Acclaimed for its meticulous technique, lifelike figures, and exploration of the private sphere.
46;47;" ""The Birth of Venus"""; Sandro Botticelli; 1486; Tempera on canvas; 172.5 x 278.9 cm; Early Renaissance; Italian; Iconic depiction of the goddess Venus emerging from the sea, using allegory and symbolism; Italian; Renowned for its graceful figures, delicate coloration, and exploration of mythology.
47;48;" ""The Judgment of Paris"""; Peter Paul Rubens; 1639; Oil on canvas; 205 x 279 cm; Baroque; Flemish; Mythological scene depicting the goddesses Hera, Athena, and Aphrodite vying for Paris' favor, using dynamic composition and rich color; Flemish; Celebrated for its sensuous figures, dramatic action, and exploration of power.
48;49;" ""The Dance"""; Henri Matisse; 1910; Oil on canvas; 260 x 390 cm; Fauvism; French; Bold and colorful depiction of dancers in a landscape, using simplified forms and vibrant hues; French; Acclaimed for its innovative technique, expressive energy, and exploration of movement and color.
49;50;" ""The Wise and Foolish Virgins"""; Rogier van der Weyden; 1435; Oil on oak panel; 188 x 161 cm; Early Netherlandish; Flemish; Parable of the ten virgins, using detailed realism and symbolic meaning; Flemish; Renowned for its masterful technique, lifelike figures, and exploration of faith and wisdom.</s>
50; 51;" ""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 x 770 cm; Renaissance; Italian; Philosophers and scientists gathered together, embodying the humanistic spirit of the High Renaissance; Italian; Celebrated for its grandeur, architectural setting, and intellectual depth.
51;52;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24 x 33 cm; Surrealism; Spanish; Melting clocks in a desert landscape, exploring dreams, time, and the subconscious mind; Spanish; Acclaimed for its dreamlike imagery, innovative technique, and exploration of the human psyche.
52;53;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82 x 60 cm; Early Netherlandish; Flemish; Intimate depiction of a merchant couple, using extraordinary detail and realism; Flemish; Renowned for its masterful technique, lifelike figures, and exploration of wealth and status.
53;54;" ""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; Renaissance; Italian; Depiction of Jesus and his disciples at the Last Supper, using emotive gestures and a sense of spatial depth; Italian; Celebrated for its groundbreaking composition, innovative technique, and exploration of faith and human emotion.
54;55;" ""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 363 x 437 cm; Dutch Golden Age; Dutch; Group portrait of a civic guard company, using dramatic lighting and a sense of movement; Dutch; Acclaimed for its masterful technique, lifelike figures, and exploration of civic pride and duty.
55;56;" ""The Fighting Temeraire"""; J.M.W. Turner; 1839; Oil on canvas; 91 x 122 cm; Romanticism; British; Depiction of a famous ship being towed to its final berth, using poetic imagery and a sense of atmosphere; British; Celebrated for its innovative technique, expressive energy, and exploration of the power of nature and industry.
56;57;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73 x 92 cm; Post-Impressionism; Dutch; Swirling night sky over a small village, using expressive brushstrokes and vibrant color; Dutch; Acclaimed for its dreamlike imagery, innovative technique, and exploration of the human experience and emotion.
57;58;" ""The Scream"""; Edvard Munch; 1893; Pastel on cardboard; 91 x 73 cm; Expressionism; Norwegian; Iconic figure with a distorted face, expressing the anxiety and alienation of modern life; Norwegian; Celebrated for its innovative technique, expressive energy, and exploration of the human psyche and emotion.
58;59;" ""The Three Musicians"""; Pablo Picasso; 1921; Oil on canvas; 201 x 186 cm; Cubism; Spanish; Stylized depiction of three musicians, using geometric shapes and fragmented forms; Spanish; Acclaimed for its innovative technique, expressive power, and exploration of modern identity and culture.
59;60;" ""The Birth of Venus"""; Sandro Botticelli; 1485-1486; Tempera on canvas; 172.5 x 278.5 cm; Early Renaissance; Italian; Mythological scene of the goddess Venus emerging from the sea, using delicate color and graceful lines; Italian; Celebrated for its beauty, poetic imagery, and exploration of love and beauty in the natural world.</s>
60; 61;" ""The Persistence of Memory"""; Salvador Dali; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Iconic melting clocks in a barren landscape, evoking a sense of dreamlike unease and the fluidity of time; Spanish; Celebrated for its innovative technique, dreamlike imagery, and exploration of the human subconscious.
61;62;" ""Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 x 39 cm; Dutch Golden Age; Dutch; Intimate and enigmatic portrait of a young woman in a turban, with a lustrous pearl earring; Dutch; Celebrated for its beauty, technical mastery, and exploration of individual identity and the human condition.
62;63;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Netherlandish; Flemish; Realistic and symbolic depiction of a married couple in an interior, with intricate details and a convex mirror reflecting the scene; Flemish; Celebrated for its technical mastery, realism, and exploration of domestic life and social status.
63;64;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Dutch; Expressive and evocative depiction of a starry night over a small town, using swirling brushstrokes and vivid colors; Dutch; Celebrated for its emotional power, innovative technique, and exploration of the natural world and the human experience.
64;65;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Monumental and powerful anti-war statement, depicting the bombing of the town of Guernica during the Spanish Civil War; Spanish; Celebrated for its political significance, innovative technique, and exploration of violence, trauma, and the human condition.
65;66;" ""The Son of Man"""; René Magritte; 1964; Oil on canvas; 116 x 89 cm; Surrealism; Belgian; Iconic self-portrait with a green apple covering the face, challenging perceptions of identity and reality; Belgian; Celebrated for its enigmatic imagery, innovative technique, and exploration of the human psyche and the nature of representation.
66;67;" ""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 x 770 cm; High Renaissance; Italian; Classical and harmonious depiction of philosophers and scientists in a grand architectural setting, embodying the ideals of the Renaissance; Italian; Celebrated for its beauty, technical mastery, and exploration of knowledge, reason, and human potential.
67;68;" ""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; High Renaissance; Italian; Iconic depiction of Jesus and his disciples at the Last Supper, with expressive figures and intricate details; Italian; Celebrated for its beauty, technical mastery, and exploration of faith, community, and the human experience.
68;69;" ""The Night Watch"""; Rembrandt; 1642; Oil on canvas; 379.5 x 450.5 cm; Dutch Golden Age; Dutch; Dramatic and evocative group portrait of a civic guard company, with innovative use of light and shadow; Dutch; Celebrated for its realism, emotional power, and exploration of civic identity and social status.
69;70;" ""The Hay Wain"""; John Constable; 1821; Oil on canvas; 130.2 x 185.4 cm; Romanticism; English; Pastoral and evocative depiction of a rural scene, with a horse-drawn cart crossing a river; English; Celebrated for its beauty, technical mastery, and exploration of the natural world and the human experience in a rapidly changing society.</s>
70; 71;" ""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 x 770 cm; High Renaissance; Italian; Iconic depiction of classical philosophers and scientists, including Plato, Aristotle, and Euclid, in a architectural setting; Italian; Celebrated for its beauty, technical mastery, and exploration of knowledge, wisdom, and the human spirit.
71;72;" ""Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 x 39 cm; Dutch Golden Age; Dutch; Intimate and captivating portrait of a young woman, with virtuosic use of light and color; Dutch; Celebrated for its beauty, technical mastery, and exploration of individual identity and the human experience.
72;73;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Dreamlike and enigmatic depiction of melting clocks in a barren landscape, with a sense of unease and mystery; Spanish; Celebrated for its beauty, technical mastery, and exploration of time, memory, and the subconscious mind.
73;74;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Netherlandish; Flemish; Realistic and intricate depiction of a wealthy couple in a domestic setting, with a sense of intimacy and symbolism; Flemish; Celebrated for its beauty, technical mastery, and exploration of wealth, status, and the human experience.
74;75;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Dutch; Expressive and emotional depiction of a night sky over a small village, with swirling patterns and vibrant colors; Dutch; Celebrated for its beauty, technical mastery, and exploration of nature, emotion, and the human experience.
75;76;" ""The Birth of Venus"""; Sandro Botticelli; 1485-1486; Tempera on canvas; 172.5 x 278.9 cm; Early Renaissance; Italian; Iconic depiction of the goddess Venus emerging from the sea, surrounded by mythological figures and elegant landscapes; Italian; Celebrated for its beauty, technical mastery, and exploration of love, beauty, and the human experience.
76;77;" ""The Dance"""; Henri Matisse; 1910; Oil on canvas; 260 x 390 cm; Fauvism; French; Vibrant and colorful depiction of dancers in a natural setting, with a sense of joy and freedom; French; Celebrated for its beauty, technical mastery, and exploration of movement, emotion, and the human experience.
77;78;" ""The Scream"""; Edvard Munch; 1893; Pastel on cardboard; 91 x 73.5 cm; Expressionism; Norwegian; Emotional and disturbing depiction of a figure in a landscape, with a sense of existential dread and anxiety; Norwegian; Celebrated for its beauty, technical mastery, and exploration of emotion, identity, and the human experience.
78;79;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Monumental and powerful depiction of the bombing of the town of Guernica during the Spanish Civil War, with fragmented figures and a sense of chaos and violence; Spanish; Celebrated for its beauty, technical mastery, and exploration of war, power, and the human experience.
79;80;" ""American Gothic"""; Grant Wood; 1930; Oil on Beaverboard; 78 x 65.3 cm; American Regionalism; American; Iconic depiction of a farmer and his daughter in front of a Gothic-style house, with a sense of stoicism and Americana; American; Celebrated for its beauty, technical mastery, and exploration of American identity, culture, and the human experience.</s>
