;Biological entity name; Role or function within system; Genetic information (type); Cellular location(s)/compartmentalization; Protein tertiary structure; Post-translational modifications; Expression patterns across tissues / life stages; Evolutionary history; Interactions with other entities; Mutations and their effects; Protein-protein interaction networks; Pathway annotations**
43; Ribosomes; Protein synthesis; RNA, transcribed in nucleolus; Cytoplasm; Complex structure with various domains; Modifications include rRNA modifications, subunit association, and post-translational modifications of associated proteins; Broadly expressed in all cells; Orthologs in all organisms; Interact with mRNA, tRNA, and translation factors; Mutations associated with various diseases and disorders; Translation pathway; Protein synthesis pathway
44; p53; Tumor suppression and DNA repair; DNA, transcribed into nuclear genome; Nucleus and cytosol; Intrinsically disordered structure; Modifications include phosphorylation, acetylation, and ubiquitination; Broadly expressed in all cells; Orthologs in many animals; Interact with DNA, transcription factors, and other regulatory proteins; Mutations associated with many types of cancer; DNA repair pathway; Cell cycle pathway
45; G Protein-Coupled Receptors (GPCRs); Signal transduction and cellular responses; DNA, transcribed into nuclear genome; Cell membrane; Seven transmembrane helices; Modifications include glycosylation, palmitoylation, and phosphorylation; Broadly expressed in many tissues; Orthologs in many species; Interact with G proteins and other signal transduction proteins; Mutations associated with various diseases and disorders; G protein-coupled receptor pathway; Signal transduction pathway
46; Ubiquitin; Protein degradation and regulation; RNA, transcribed into nuclear genome; Multiple cellular locations; Globular structure; Modifications include conjugation to target proteins or other ubiquitin molecules; Broadly expressed in all cells; Orthologs in all eukaryotes; Interact with ubiquitination machinery and target proteins; Mutations associated with various diseases and disorders; Ubiquitin-proteasome pathway; Protein degradation pathway
47; Catalase; Antioxidant defense and detoxification; DNA, transcribed into nuclear genome; Peroxisome; Heme-containing enzyme; Modifications include glycosylation and dimerization; Broadly expressed in many tissues; Orthologs in many organisms; Interact with hydrogen peroxide and other reactive oxygen species; Mutations associated with various diseases and disorders; Hydrogen peroxide detoxification pathway; Antioxidant defense pathway
48; Estrogen receptors (ERs); Hormone signaling and gene regulation; DNA, transcribed into nuclear genome; Nucleus; Structural domains for DNA binding, ligand binding, and ligand-dependent transcriptional activation; Modifications include phosphorylation, acetylation, and ubiquitination; Expressed in reproductive, cardiovascular, and skeletal tissues; Orthologs in vertebrates; Interact with estrogen hormones and other regulatory proteins; Mutations associated with various diseases and disorders; Estrogen signaling pathway; Gene regulation pathway</s>
49;  Actin; Cell structure and motility; RNA, transcribed into nuclear genome; Cytoskeleton; Helical structure; Modifications include polymerization and ATP-binding; Broadly expressed in all cells; Orthologs in all eukaryotes; Interact with myosin and other cytoskeletal components; Mutations associated with various diseases and disorders; Actin-myosin interaction pathway; Cytoskeleton organization pathway
50; Tubulin; Cell structure and division; RNA, transcribed into nuclear genome; Microtubules; Tube-like structure; Modifications include tyrosination and detyrosination; Broadly expressed in all cells; Orthologs in all eukaryotes; Interact with motor proteins such as kinesin and dynein; Mutations associated with various diseases and disorders; Microtubule-based movement pathway; Cell division pathway
51; Histones; Chromatin organization and gene regulation; RNA, transcribed into nuclear genome; Nucleosomes; Structural proteins; Modifications include methylation, acetylation, and phosphorylation; Expressed in all cell types; Orthologs in eukaryotes; Interact with DNA and other histone proteins; Mutations associated with various diseases and disorders; Chromatin remodeling pathway; Epigenetic regulation pathway
52; Ferritin; Iron storage and detoxification; RNA, transcribed into mitochondrial genome; Mitochondria; Spherical protein complex; Modifications include metal ion binding; Expressed in all cells; Orthologs in many organisms; Interact with iron and other metal ions; Mutations associated with various diseases and disorders; Iron homeostasis pathway; Metal ion detoxification pathway
53; Collagen; Extracellular matrix structure and function; RNA, transcribed into nuclear genome; Extracellular matrix; Triple helix structure; Modifications include hydroxylation and glycosylation; Expressed in connective tissues; Orthologs in many animals; Interact with other extracellular matrix proteins; Mutations associated with various diseases and disorders; Extracellular matrix organization pathway; Connective tissue development pathway
54; Cytochrome c; Electron transport and energy production; RNA, transcribed into mitochondrial genome; Inner mitochondrial membrane; Heme-containing protein; Modifications include oxidation-reduction reactions; Expressed in all cells; Orthologs in many organisms; Interact with electron transport chain complexes; Mutations associated with various diseases and disorders; Electron transport chain pathway; Energy production pathway
55; Integrins; Cell adhesion and signaling; RNA, transcribed into nuclear genome; Cell membrane; Heterodimeric structure; Modifications include glycosylation and phosphorylation; Expressed in many tissues; Orthologs in many animals; Interact with extracellular matrix proteins and cytoplasmic signaling molecules; Mutations associated with various diseases and disorders; Cell adhesion pathway; Signal transduction pathway
56; Transferrin; Iron transport and homeostasis; RNA, transcribed into nuclear genome; Plasma; Bilobed structure; Modifications include glycosylation and metal ion binding; Expressed in many tissues; Orthologs in many animals; Interact with iron and transferrin receptors; Mutations associated with various diseases and disorders; Iron transport pathway; Metal ion homeostasis pathway
57; Aldolase; Glycolysis and gluconeogenesis; RNA, transcribed into nuclear genome; Cytoplasm; Tetrameric structure; Modifications include phosphorylation; Expressed in many tissues; Orthologs in many organisms; Interact with glycolytic intermediates and enzymes; Mutations associated with various diseases and disorders; Glycolysis pathway; Gluconeogenesis pathway
58; Clathrin; Endocytosis and vesicle trafficking; RNA, transcribed into nuclear genome; Cytoplasm; Trimeric structure; Modifications include phosphorylation; Expressed in many tissues; Orthologs in many animals; Interact with endocytic vesicles and adaptor proteins; Mutations associated with various diseases and disorders; Endocytosis pathway; Vesicle trafficking pathway</s>
59;  Tubulin; Microtubule dynamics and cell division; RNA, transcribed into nuclear genome; Cytoplasm; Heterodimer structure; Modifications include acetylation, glycosylation, and polyglutamylation; Expressed in many tissues; Orthologs in many eukaryotes; Interact with microtubules, motor proteins, and MAPs; Mutations associated with various diseases and disorders; Microtubule pathway; Cell division pathway
60; Actin; Cell structure and motility; RNA, transcribed into nuclear genome; Cytoplasm; Monomeric (G-actin) and polymeric (F-actin) structures; Modifications include phosphorylation and acetylation; Expressed in many tissues; Orthologs in many organisms; Interact with myosin, actin-binding proteins, and membrane structures; Mutations associated with various diseases and disorders; Cytoskeleton pathway; Cell motility pathway
61; Collagen; Extracellular matrix structure and function; RNA, transcribed into nuclear genome; Extracellular space; Triple helix structure; Modifications include hydroxylation and glycosylation; Expressed in many tissues; Orthologs in many animals; Interact with other extracellular matrix proteins and cell surface receptors; Mutations associated with various diseases and disorders; Extracellular matrix pathway; Cell adhesion pathway
62; Histones; Chromatin organization and gene regulation; DNA, part of nucleosome structure; Nucleus; Heterodimer structure; Modifications include methylation, acetylation, and phosphorylation; Expressed in all cell types; Orthologs in many eukaryotes; Interact with DNA, other histones, and regulatory proteins; Mutations associated with various diseases and disorders; Chromatin remodeling pathway; Gene regulation pathway
63; Ribosome; Protein synthesis; RNA, composed of rRNA and mRNA; Cytoplasm (or organelles in prokaryotes); Complex structure; Modifications include various post-translational modifications on associated proteins; Expressed in all cell types; Orthologs in all organisms; Interact with mRNA, tRNA, and translation factors; Mutations associated with various diseases and disorders; Translation pathway; Protein synthesis pathway
64; Cytochrome c; Electron transport and cellular respiration; RNA, transcribed into mitochondrial genome; Mitochondria; Helical structure; Modifications include heme binding; Expressed in many tissues; Orthologs in many eukaryotes; Interact with electron transport chain components and apoptotic factors; Mutations associated with various diseases and disorders; Electron transport pathway; Cellular respiration pathway
65; Ferritin; Iron storage and detoxification; RNA, transcribed into nuclear genome; Cytoplasm (or mitochondria for mitochondrial ferritin); Spherical shell structure; Modifications include Metal ion binding; Expressed in many tissues; Orthologs in many organisms; Interact with iron and iron-binding proteins; Mutations associated with various diseases and disorders; Iron storage pathway; Metal ion homeostasis pathway
66; Hemoglobin; Oxygen transport and carbon dioxide exchange; RNA, transcribed into nuclear and mitochondrial genome; Erythrocytes (red blood cells); Quaternary structure; Modifications include Metal ion binding; Expressed primarily in erythroid tissues; Orthologs in many animals; Interact with oxygen, carbon dioxide, and allosteric regulators; Mutations associated with various diseases and disorders; Oxygen transport pathway; Carbon dioxide exchange pathway
67; Glycogenin; Glycogen biosynthesis and metabolism; RNA, transcribed into nuclear genome; Cytoplasm (or nucleus for plant glycogenin); Dimer structure; Modifications include phosphorylation; Expressed in many tissues; Orthologs in many organisms; Interact with glycogen, glycogen synthase, and glycogen phosphorylase; Mutations associated with various diseases and disorders; Glycogen metabolism pathway; Glucose homeostasis pathway
68; Integrin; Cell adhesion and signaling; RNA, transcribed into nuclear genome; Cell membrane; Heterodimer structure; Modifications include glycosylation; Expressed in many tissues; Orthologs in many animals; Interact with extracellular matrix proteins, cytoskeletal proteins, and signaling molecules; Mutations associated with various diseases and disorders; Cell adhesion pathway; Cell signaling pathway</s>
69;  Tubulin; Microtubule structure and dynamics; RNA, transcribed into nuclear genome; Cytoplasm (microtubule organizing centers); Alpha-beta heterodimer structure; Modifications include tyrosination, acetylation, and polyglutamylation; Expressed in all eukaryotic cells; Orthologs in many eukaryotes; Interact with microtubule-associated proteins, motor proteins, and other tubulins; Mutations associated with various diseases and disorders; Microtubule-based transport pathway; Cell division pathway
70; Insulin; Glucose homeostasis and energy metabolism; RNA, transcribed into nuclear genome; Secretory vesicles of pancreatic beta cells; Single-chain peptide structure; Modifications include sulfation and disulfide bonds; Expressed primarily in pancreatic beta cells; Orthologs in many animals; Interact with insulin receptor and IGF-1 receptor; Mutations associated with diabetes and related disorders; Insulin signaling pathway; Glucose homeostasis pathway
71; Ribosome; Protein synthesis; RNA, transcribed into nuclear and cytoplasmic genomes (rRNA and ribosomal proteins); Cytoplasm (ribosomes); Complex structure with many subunits; Modifications include various post-translational modifications on ribosomal proteins; Expressed in all cells; Orthologs in all organisms; Interact with mRNA and tRNA; Mutations associated with various diseases and disorders; Protein synthesis pathway; RNA processing pathway
72; Collagen; Extracellular matrix structure and function; RNA, transcribed into nuclear genome (multiple genes); Extracellular matrix (collagen fibrils); Triple helix structure; Modifications include hydroxylation and glycosylation; Expressed in many tissues; Orthologs in many animals; Interact with other extracellular matrix proteins, integrins, and growth factors; Mutations associated with various connective tissue disorders; Extracellular matrix pathway; Cell adhesion pathway
73; Histone; Chromatin structure and gene regulation; RNA, transcribed into nuclear genome; Nucleus (chromatin); Structural proteins with alpha-helical domains; Modifications include methylation, acetylation, phosphorylation, and ubiquitination; Expressed in all eukaryotic cells; Orthologs in all eukaryotes; Interact with DNA, other histones, and non-histone proteins; Mutations associated with various developmental and neurological disorders; Chromatin remodeling pathway; Gene regulation pathway
74; Transferrin; Iron transport and homeostasis; RNA, transcribed into nuclear genome; Circulatory system (plasma); Bilobed structure; Modifications include glycosylation; Expressed primarily in liver; Orthologs in many animals; Interact with iron, transferrin receptor, and other iron-binding proteins; Mutations associated with various iron metabolism disorders; Iron transport pathway; Cellular homeostasis pathway
75; Catalase; Antioxidant defense and metabolism; RNA, transcribed into nuclear genome; Peroxisomes; Tetrameric structure; Modifications include heme binding; Expressed in many tissues; Orthologs in many organisms; Interact with hydrogen peroxide, other antioxidant enzymes, and substrates; Mutations associated with various metabolic disorders; Antioxidant defense pathway; Metabolic pathway
76; Actin; Cytoskeleton and cell motility; RNA, transcribed into nuclear genome; Cytoplasm (cytoskeleton); Globular structure; Modifications include phosphorylation and ATP binding; Expressed in all eukaryotic cells; Orthologs in all eukaryotes; Interact with other cytoskeletal proteins, myosins, and signaling molecules; Mutations associated with various developmental and neurological disorders; Cytoskeleton pathway; Cell motility pathway
77; Myosin; Muscle contraction and cell motility; RNA, transcribed into nuclear genome; Myofibrils (muscle cells) or cytoplasm (other cells); Complex structure with heavy chain and light chain components; Modifications include phosphorylation and ATP binding; Expressed primarily in muscle cells or other motile cells; Orthologs in many animals; Interact with actin, other myosins, and signaling molecules; Mutations associated with various muscle and cardiovascular disorders; Muscle contraction pathway; Cell motility pathway
78; Casein; Milk protein and nutrition; RNA, transcribed into nuclear genome; Secretory vesicles of mammary gland epithelial cells; Multimeric structure with phosphorylated residues; Modifications include phosphorylation and glycosylation; Expressed primarily in lactating mammary glands; Orthologs in many mammals; Interact with calcium, other caseins, and lipids; Mutations associated with milk production and digestion; Nutrient transport pathway; Lactation pathway</s>
79;  Tubulin; Cytoskeleton and intracellular transport; RNA, transcribed into nuclear genome; Cytoplasm (microtubules); Tubular structure; Modifications include tyrosination, acetylation, and tubulin-binding protein association; Widely expressed in eukaryotic cells; Orthologs in all eukaryotes; Interact with motor proteins (kinesin, dynein) and other microtubule-associated proteins; Mutations associated with neurodegenerative disorders and cytoskeletal defects; Microtubule-based transport pathway; Cell division pathway
