;"""Country Code""";"""Country Name""";"""Continent""";"""Population""";"""Currency""";"""Capital""";"""Latitude""";"""Longitude""";"""GDP (per capita)""";"""Language(s)""";"""Religion(s)""";"""Independence Day""";"""Internet Users""";"""Literacy Rate""";"""Calling Code"""
28;"""CYM""";"""Cayman Islands""";"""North America""";"""65,722""";"""Cayman Islands Dollar""";"""George Town""";"""19.3""";"""-81.2""";"""49,757.716""";"""English""";"""11th June 1962""";"""58,928""";"""98.9%""";"""+1345""";
29;"""CZE""";"""Czech Republic""";"""Europe""";"""10,675,924""";"""Czech Koruna""";"""Prague""";"""50.1""";"""14.4""";"""37,399.766""";"""Czech""";"""1st January 1993""";"""8,207,745""";"""99%""";"""+420""</s>";
30;" ""DNK""";"""Denmark""";"""Europe""";"""5,822,763""";"""Danish Krone""";"""Copenhagen""";"""56""";"""10""";"""58,396.228""";"""Danish""";"""5th June 1849""";"""5,588,342""";"""99%""";"""+45""";
31;"""FLK""";"""Falkland Islands (Malvinas)""";"""South America""";"""2,921""";"""Falkland Islands Pound""";"""Stanley""";"""-51.8""";"""-57.8""";"""23,495.25""";"""English""";"""1st January 1833""";"""2,500""";"""98%""";"""+500""";
32;"""GUF""";"""French Guiana""";"""South America""";"""298,911""";"""Euro""";"""Cayenne""";"""4.9""";"""-53.1""";"""30,834.938""";"""French""";"""10th August 1946""";"""242,883""";"""93%""";"""+594""";
33;"""HRV""";"""Croatia""";"""Europe""";"""4,290,612""";"""Croatian Kuna""";"""Zagreb""";"""45.2""";"""15.3""";"""20,135.033""";"""Croatian""";"""25th June 1991""";"""3,209,695""";"""99.3%""";"""+385""";
34;"""HUN""";"""Hungary""";"""Europe""";"""9,751,951""";"""Hungarian Forint""";"""Budapest""";"""47.2""";"""19.1""";"""32,427.6""";"""Hungarian""";"""16th June 1989 (declared)""";"""7,699,808""";"""99.1%""";"""+36""";
35;"""ISL""";"""Iceland""";"""Europe""";"""341,242""";"""Icelandic Krona""";"""Reykjavik""";"""64.9""";"""-19.1""";"""55,494.111""";"""Icelandic""";"""17th June 1944""";"""340,028""";"""99.9%""";"""+354""";
36;"""LUX""";"""Luxembourg""";"""Europe""";"""632,732""";"""Euro""";"""Luxembourg City""";"""49.8""";"""6.1""";"""120,168.835""";"""French, German, Luxembourgish""";"""18th June 1815 (Treaty of Paris)""";"""587,580""";"""99%""";"""+352""";
37;"""MCO""";"""Monaco""";"""Europe""";"""39,242""";"""Euro""";"""Monaco City""";"""43.7""";"""7.4""";"""173,774.171""";"""French""";"""4th April 1297 (Monaco became a vassal state of France and gained independence with the signing of the Treaty of Peronne in 1641)""";"""35,820""";"""99%""";"""+377""";
38;"""NLD""";"""Netherlands""";"""Europe""";"""17,134,872""";"""Euro""";"""Amsterdam""";"""52.5""";"""5.8""";"""58,917.706""";"""Dutch""";"""23rd January 1579 (Plakkaat van Verlatinghe)""";"""17,239,536""";"""99%""";"""+31""";
39;"""SWE""";"""Sweden""";"""Europe""";"""10,330,939""";"""Swedish Krona""";"""Stockholm""";"""60.1""";"""18.1""";"""55,398.351""";"""Swedish""";"""6th June 1523 (Gustav Vasa crowned King of Sweden)""";"""9,892,515""";"""99%""";"""+46""</s>";
40;" ""AUT""";"""Austria""";"""Europe""";"""8,935,112""";"""Euro""";"""Vienna""";"""47.5""";"""14.5""";"""51,796.217""";"""German, Turkish, Serbian""";"""Christianity (majority Roman Catholic), Islam, Eastern Orthodox""";"""12th November 1918 (declaration of republic)""";"""8,075,361""";"""99%""";"""+43"""
41;"""GBR""";"""United Kingdom""";"""Europe""";"""66,650,539""";"""Pound Sterling""";"""London""";"""55.4""";"""-3.6""";"""43,647.619""";"""English""";"""Christianity""";"""1st January 1801 (Act of Union)""";"""64,070,374""";"""99%""";"""+44"""
42;"""DEU""";"""Germany""";"""Europe""";"""83,231,274""";"""Euro""";"""Berlin""";"""51.2""";"""10.4""";"""51,795.133""";"""German""";"""Christianity (majority Roman Catholic and Protestant)""";"""18th January 1871 (unification)""";"""73,018,394""";"""99%""";"""+49"""
43;"""CHE""";"""Switzerland""";"""Europe""";"""8,660,034""";"""Swiss Franc""";"""Bern""";"""47.1""";"""8.2""";"""83,832.135""";"""German, French, Italian, Romansh""";"""Christianity (majority Protestant and Roman Catholic)""";"""12th September 1848 (foundation of federal state)""";"""8,629,082""";"""99%""";"""+41"""
44;"""AUS""";"""Australia""";"""Australia""";"""25,687,041""";"""Australian Dollar""";"""Canberra""";"""-25.3""";"""133.8""";"""53,799.409""";"""English""";"""Christianity (majority Roman Catholic, Protestant)""";"""1st January 1901 (establishment of federal commonwealth)""";"""20,768,130""";"""99%""";"""+61"""
45;"""CAN""";"""Canada""";"""North America""";"""37,742,204""";"""Canadian Dollar""";"""Ottawa""";"""56.2""";"""-106.4""";"""46,199.693""";"""English, French""";"""Christianity (majority Roman Catholic, Protestant)""";"""1st July 1867 (British North America Act)""";"""35,097,134""";"""99%""";"""+1"""
46;"""USA""";"""United States""";"""North America""";"""332,682,679""";"""United States Dollar""";"""Washington, D.C.""";"""38.9""";"""-77.1""";"""62,598.062""";"""English""";"""Christianity (majority Protestant, Roman Catholic)""";"""4th July 1776 (Declaration of Independence)""";"""312,316,323""";"""99%""";"""+1"""
47;"""ZAF""";"""South Africa""";"""Africa""";"""59,308,690""";"""Rand""";"""Pretoria""";"""-25.7""";"""28.2""";"""12,563.667""";"""Afrikaans, English, Zulu, Xhosa, Southern Sotho, Tswana, Northern Sotho, Venda, Tsonga, Swazi, Ndebele, Southern African English (South African English is a variant of English spoken in South Africa), indigenous languages""";"""Christianity, Islam, Hinduism, Judaism, African traditional religions""";"""31st May 1910 (union of South Africa)""";"""37,254,629""";"""94%""";"""+27"""
48;"""CHN""";"""China""";"""Asia""";"""1,439,323,776""";"""Yuan Renminbi""";"""Beijing""";"""39.9""";"""116.4""";"""16,636.169""";"""Mandarin, Wu, Yue, Min Nan, Min Dong, Xiang, Gan, Hakka, Tibetan, Uighur, Mongolian, others""";"""Chinese folk religions, Buddhism, Taoism, Islam, Christianity, Pentecostal""";"""1st October 1949 (People's Republic of China founded)""";"""854,109,591""";"""96%""";"""+86"""
49;"""BRA""";"""Brazil""";"""South America""";"""213,564,519""";"""Real""";"""Brasília""";"""-15.8""";"""-47.9""";"""8,469.566""";"""Portuguese""";"""Christianity (majority Roman Catholic), Spiritism, Afro-Brazilian religions""";"""15th November 1889 (Imperial Constitution of 1824 and the Emperor Pedro II was deposed in 1889)""";"""151,304,428""";"""93%""";"""+55""</s>"
50;" ""GBR""";"""United Kingdom""";"""Europe""";"""67,886,011""";"""Pound sterling""";"""London""";"""51.5""";"""-0.1""";"""42,544.417""";"""English, Welsh, Scottish Gaelic, Irish, others""";"""Christianity (majority Protestant, minority Catholic), Islam, Hinduism, Sikhism, Judaism, others""";"""1st January 1801 (Act of Union)""";"""64,190,422""";"""99%""";"""+44"""
51;"""IND""";"""India""";"""Asia""";"""1,380,004,385""";"""Indian rupee""";"""New Delhi""";"""28.6""";"""77.2""";"""1,903.709""";"""Hindi, English, Bengali, Marathi, Telugu, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Maithili, other""";"""Hinduism, Islam, Christianity, Sikhism, Buddhism, Jainism""";"""15th August 1947 (Indian Independence Act 1947)""";"""636,713,843""";"""74%""";"""+91"""
52;"""IDN""";"""Indonesia""";"""Asia""";"""273,523,615""";"""Rupiah""";"""Jakarta""";"""-6.2""";"""106.8""";"""3,887.842""";"""Indonesian, Javanese, Sundanese, Madurese, Minangkabau, Balinese, Malay, other""";"""Islam, Christianity, Hinduism, Buddhism, others""";"""17th August 1945 (Proclamation of Indonesian Independence)""";"""144,001,240""";"""96%""";"""+62"""
53;"""PAK""";"""Pakistan""";"""Asia""";"""220,892,340""";"""Pakistani rupee""";"""Islamabad""";"""33.7""";"""69.3""";"""1,561.621""";"""Punjabi, Pashto, Sindhi, Saraiki, Urdu, Balochi, others""";"""Islam""";"""14th August 1947 (independence from the British Empire, as a dominion)""";"""46,370,826""";"""58%""";"""+92"""
54;"""RUS""";"""Russian Federation""";"""Europe""";"""145,934,462""";"""Russian ruble""";"""Moscow""";"""55.7""";"""37.6""";"""11,212.791""";"""Russian, Tatar, Chechen, Chuvash, Bashkir, Armenian, Avar, other""";"""Christianity (majority Russian Orthodox), Islam, others""";"""24th August 1991 (Declaration of Independence)""";"""110,253,509""";"""99%""";"""+7"""
55;"""MEX""";"""Mexico""";"""North America""";"""130,759,074""";"""Mexican peso""";"""Mexico City""";"""19.4""";"""-99.1""";"""9,539.607""";"""Spanish""";"""Christianity (majority Roman Catholic), others""";"""27th September 1821 (Hidalgo's revolt and the Declaration of Independence)""";"""79,203,027""";"""95%""";"""+52"""
56;"""TUR""";"""Turkey""";"""Asia""";"""84,339,067""";"""Turkish lira""";"""Ankara""";"""39.9""";"""32.8""";"""9,004.456""";"""Turkish, Kurdish, other""";"""Islam (majority Sunni), others""";"""29th October 1923 (Establishment of the Republic of Turkey)""";"""64,490,599""";"""95%""";"""+90"""
57;"""FRA""";"""France""";"""Europe""";"""66,990,435""";"""Euro""";"""Paris""";"""46.2""";"""2.2""";"""39,640.378""";"""French""";"""Christianity (majority Roman Catholic), others""";"""4th October 1958 (Constitution of the Fifth Republic)""";"""55,595,313""";"""99%""";"""+33"""
58;"""DEU""";"""Germany""";"""Europe""";"""83,166,711""";"""Euro""";"""Berlin""";"""51.2""";"""10.4""";"""50,800.097""";"""German""";"""Christianity (majority Protestant and Roman Catholic), others""";"""3rd October 1990 (Reunification of Germany)""";"""77,037,436""";"""99%""";"""+49"""
59;"""ITA""";"""Italy""";"""Europe""";"""60,461,826""";"""Euro""";"""Rome""";"""41.9""";"""12.5""";"""30,154.942""";"""Italian""";"""Christianity (majority Roman Catholic), others""";"""17th March 1861 (Establishment of Italy)""";"""48,890,257""";"""99%""";"""+39""</s>"
60;" ""GBR""";"""United Kingdom""";"""Europe""";"""66,650,007""";"""Pound sterling""";"""London""";"""55.4""";"""-3.6""";"""42,113.972""";"""English""";"""Christianity (majority Protestant, Roman Catholic), others""";"""1st January 1801 (Act of Union)""";"""63,609,075""";"""99%""";"""+44"""
61;"""USA""";"""United States""";"""North America""";"""331,002,651""";"""US Dollar""";"""Washington, D.C.""";"""38.0""";"""-97.0""";"""62,606.176""";"""English, Spanish, others""";"""Christianity (majority Protestant, Roman Catholic), others""";"""4th July 1776 (Declaration of Independence)""";"""303,813,330""";"""99%""";"""+1"""
62;"""CHN""";"""China""";"""Asia""";"""1,439,323,776""";"""Renminbi""";"""Beijing""";"""39.9""";"""116.4""";"""10,261.089""";"""Mandarin, others""";"""Buddhism, Taoism, Islam, Protestantism, Roman Catholicism, others""";"""1st October 1949 (Establishment of the People's Republic of China)""";"""854,101,999""";"""96.4%""";"""+86"""
63;"""IND""";"""India""";"""Asia""";"""1,380,004,385""";"""Indian Rupee""";"""New Delhi""";"""28.7""";"""77.1""";"""2,125.436""";"""Hindi, English, Bengali, Telugu, Marathi, Tamil""";"""Hinduism, Islam, Christianity, Sikhism, Buddhism, Jainism""";"""15th August 1947 (Independence from British rule)""";"""560,083,519""";"""74.04%""";"""+91"""
64;"""BRA""";"""Brazil""";"""South America""";"""212,559,417""";"""Real""";"""Brasília""";"""-15.8""";"""-47.9""";"""8,951.457""";"""Portuguese""";"""Christianity (majority Roman Catholic), others""";"""7th September 1822 (Independence from Portugal)""";"""145,673,614""";"""92.6%""";"""+55"""
65;"""RUS""";"""Russian Federation""";"""Europe, Asia""";"""145,934,462""";"""Russian ruble""";"""Moscow""";"""55.8""";"""37.6""";"""11,927.954""";"""Russian, others""";"""Christianity (majority Russian Orthodox), others""";"""24th August 1991 (Independence from Soviet Union)""";"""109,636,587""";"""99.7%""";"""+7"""
66;"""JPN""";"""Japan""";"""Asia""";"""126,476,461""";"""Japanese yen""";"""Tokyo""";"""35.7""";"""139.7""";"""38,428.356""";"""Japanese""";"""Shinto, Buddhism, others""";"""3rd May 1947 (New Constitution)""";"""114,624,061""";"""99%""";"""+81"""
67;"""IDN""";"""Indonesia""";"""Asia""";"""273,523,615""";"""Indonesian rupiah""";"""Jakarta""";"""5.1""";"""106.8""";"""4,037.66""";"""Indonesian, Javanese, Sundanese, others""";"""Islam, Christianity, Hinduism, Buddhism, others""";"""17th August 1945 (Proclamation of Indonesian Independence)""";"""143,249,009""";"""93.9%""";"""+62"""
68;"""MEX""";"""Mexico""";"""North America""";"""130,759,074""";"""Mexican peso""";"""Mexico City""";"""23.6""";"""-102.5""";"""9,970.342""";"""Spanish""";"""Christianity (majority Roman Catholic), others""";"""27th September 1821 (Independence from Spain)""";"""79,694,025""";"""94.8%""";"""+52"""
69;"""PKR""";"""Pakistan""";"""Asia""";"""220,892,340""";"""Pakistani rupee""";"""Islamabad""";"""30.4""";"""69.4""";"""1,561.031""";"""Urdu, English, Punjabi, Sindhi, Pashto, Balochi, others""";"""Islam, others""";"""14th August 1947 (Independence from British rule)""";"""59,109,473""";"""58.8%""";"""+92""</s>"
70;" ""PRT""";"""Portugal""";"""Europe""";"""10,302,162""";"""Euro""";"""Lisbon""";"""39.4""";"""-8.2""";"""22,232.541""";"""Portuguese""";"""Christianity (majority Roman Catholic), others""";"""1st December 1640 (Restoration of Independence)""";"""7,857,991""";"""96.3%""";"""+35"""
71;"""ZAF""";"""South Africa""";"""Africa""";"""59,308,690""";"""South African rand""";"""Pretoria, Bloemfontein, Cape Town, and Pietermaritzburg""";"""-30.6""";"""22.9""";"""12,054.344""";"""Afrikaans, English, Zulu, Xhosa, Southern Sotho, Tswana, Northern Sotho, Tsonga, Swati, Venda, Southern Ndebele, and Hindi""";"""Christianity, Islam, Hinduism, other""";"""31st May 1910 (Union of South Africa)""";"""31,414,745""";"""94.3%""";"""+27"""
72;"""AUS""";"""Australia""";"""Australia""";"""25,499,884""";"""Australian dollar""";"""Canberra""";"""-27""";"""133""";"""50,465.742""";"""English""";"""1st January 1901 (Establishment of the Commonwealth of Australia)""";"""20,444,105""";"""99%""";"""+61""";
73;"""ESP""";"""Spain""";"""Europe""";"""47,329,981""";"""Euro""";"""Madrid""";"""40.5""";"""-4""";"""25,885.04""";"""Spanish, Catalan, Galician, and Basque""";"""Christianity (majority Roman Catholic), others""";"""12th October 1492 (Columbus's Landing in America)""";"""38,158,103""";"""97.9%""";"""+34"""
74;"""AUT""";"""Austria""";"""Europe""";"""8,901,979""";"""Euro""";"""Vienna""";"""47.5""";"""16.3""";"""42,859.386""";"""German""";"""Christianity (majority Roman Catholic), others""";"""27th April 1945 (Proclamation of Independence)""";"""7,822,274""";"""98.4%""";"""+43"""
75;"""GRC""";"""Greece""";"""Europe""";"""10,423,018""";"""Euro""";"""Athens""";"""39.7""";"""22.9""";"""18,914.143""";"""Greek""";"""Christianity (majority Greek Orthodox), others""";"""3rd March 1821 (Independence from Ottoman rule)""";"""6,469,435""";"""97.7%""";"""+30"""
76;"""NLD""";"""Netherlands""";"""Europe""";"""17,280,238""";"""Euro""";"""Amsterdam""";"""52.5""";"""5.7""";"""46,698.142""";"""Dutch""";"""Christianity, others""";"""23rd January 1579 (Dutch Revolt)""";"""14,126,020""";"""97.5%""";"""+31"""
77;"""POL""";"""Poland""";"""Europe""";"""37,846,611""";"""Polish złoty""";"""Warsaw""";"""52.2""";"""21""";"""15,177.412""";"""Polish""";"""Christianity (majority Roman Catholic), others""";"""11th November 1918 (Independence Regained)""";"""28,816,204""";"""99.7%""";"""+48"""
78;"""CZE""";"""Czech Republic""";"""Europe""";"""10,674,724""";"""Czech koruna""";"""Prague""";"""50""";"""14.5""";"""20,155.174""";"""Czech""";"""Christianity (majority Roman Catholic), others""";"""28th October 1918 (Independence from Austria-Hungary)""";"""8,391,570""";"""99%""";"""+42"""
79;"""FIN""";"""Finland""";"""Europe""";"""5,535,797""";"""Euro""";"""Helsinki""";"""64.2""";"""26""";"""41,132.488""";"""Finnish, Swedish""";"""Christianity (majority Evangelical Lutheran), others""";"""6th December 1917 (Independence from Russia)""";"""5,196,613""";"""99.9%""";"""+35""</s>"
80;" ""DEU""";"""Germany""";"""Europe""";"""82,791,641""";"""Euro""";"""Berlin""";"""51.16""";"""10.45""";"""49,344.412""";"""German""";"""Christianity (majority Protestant and Roman Catholic), others""";"""18th January 1871 (Unification)""";"""73,173,129""";"""99%""";"""+49"""
81;"""FRA""";"""France""";"""Europe""";"""66,991,017""";"""Euro""";"""Paris""";"""46.23""";"""2.21""";"""36,568.608""";"""French""";"""Christianity (majority Roman Catholic), others""";"""22nd September 1792 (Republic declared)""";"""57,045,327""";"""99%""";"""+33"""
82;"""GBR""";"""United Kingdom""";"""Europe""";"""66,650,014""";"""Pound sterling""";"""London""";"""55.38""";"""-3.43""";"""39,654.284""";"""English""";"""Christianity (majority Protestant and Roman Catholic), others""";"""1st January 1801 (Act of Union established the UK)""";"""63,128,912""";"""99%""";"""+44"""
83;"""ITA""";"""Italy""";"""Europe""";"""60,317,734""";"""Euro""";"""Rome""";"""41.87""";"""12.57""";"""30,279.304""";"""Italian""";"""Christianity (majority Roman Catholic), others""";"""17th March 1861 (Unification)""";"""55,318,142""";"""98.4%""";"""+39"""
84;"""ESP""";"""Spain""";"""Europe""";"""46,815,916""";"""Euro""";"""Madrid""";"""40.42""";"""-3.7""";"""25,647.224""";"""Spanish""";"""Christianity (majority Roman Catholic), others""";"""14th April 1931 (Republic declared)""";"""42,542,198""";"""98.4%""";"""+34"""
85;"""BEL""";"""Belgium""";"""Europe""";"""11,552,566""";"""Euro""";"""Brussels""";"""50.51""";"""4.44""";"""40,632.808""";"""Dutch, French, German""";"""Christianity (majority Roman Catholic), others""";"""4th October 1830 (Independence from the Netherlands)""";"""11,191,651""";"""99%""";"""+32"""
86;"""NLD""";"""Netherlands""";"""Europe""";"""17,273,694""";"""Euro""";"""Amsterdam""";"""52.13""";"""5.27""";"""47,430.168""";"""Dutch""";"""Christianity (majority Protestant and Roman Catholic), others""";"""23rd January 1814 (Independence)""";"""16,978,261""";"""99%""";"""+31"""
87;"""SWE""";"""Sweden""";"""Europe""";"""10,230,181""";"""Swedish krona""";"""Stockholm""";"""60.13""";"""18.07""";"""44,145.832""";"""Swedish""";"""Christianity (majority Evangelical Lutheran), others""";"""6th June 1523 (Reformation)""";"""9,810,212""";"""99%""";"""+46"""
88;"""GRC""";"""Greece""";"""Europe""";"""10,423,071""";"""Euro""";"""Athens""";"""37.98""";"""23.73""";"""17,914.026""";"""Greek""";"""Christianity (majority Greek Orthodox), others""";"""3rd February 1830 (Independence from the Ottoman Empire)""";"""7,598,670""";"""97.7%""";"""+30"""
89;"""POR""";"""Portugal""";"""Europe""";"""10,313,229""";"""Euro""";"""Lisbon""";"""38.71""";"""-9.14""";"""20,190.36""";"""Portuguese""";"""Christianity (majority Roman Catholic), others""";"""1st December 1640 (Restoration of Independence)""";"""8,024,527""";"""95.4%""";"""+35""</s>"
90;" ""AUT""";"""Austria""";"""Europe""";"""8,902,600""";"""Euro""";"""Vienna""";"""48.21""";"""16.37""";"""41,639.012""";"""German""";"""Christianity (majority Roman Catholic), others""";"""26th October 1955 (Declaration of Neutrality)""";"""8,058,141""";"""98%""";"""+43"""
91;"""FRA""";"""France""";"""Europe""";"""66,990,578""";"""Euro""";"""Paris""";"""46.23""";"""2.21""";"""36,516.648""";"""French""";"""28th September 1791 (Constitution adopted)""";"""67,526,541""";"""99%""";"""+33""";
92;"""HUN""";"""Hungary""";"""Europe""";"""9,730,000""";"""Hungarian forint""";"""Budapest""";"""47.5""";"""19.04""";"""19,186.001""";"""Hungarian""";"""16th June 1989 (Rehabilitation of Imre Nagy)""";"""7,718,542""";"""99%""";"""+36""";
93;"""ITA""";"""Italy""";"""Europe""";"""60,367,938""";"""Euro""";"""Rome""";"""41.87""";"""12.57""";"""28,241.413""";"""Italian""";"""17th March 1861 (Proclamation of the Kingdom of Italy)""";"""53,580,724""";"""98.5%""";"""+39""";
94;"""NLD""";"""Netherlands""";"""Europe""";"""17,284,135""";"""Euro""";"""Amsterdam""";"""52.37""";"""4.9""";"""43,472.047""";"""Dutch""";"""23rd January 1579 (Union of Utrecht)""";"""18,935,059""";"""99%""";"""+31""";
95;"""NOR""";"""Norway""";"""Europe""";"""5,382,778""";"""Norwegian krone""";"""Oslo""";"""60.43""";"""8.47""";"""66,977.523""";"""Norwegian""";"""7th June 1905 (Dissolution of the union with Sweden)""";"""5,397,933""";"""99%""";"""+47""";
