;"""City Names""";"""Country Name""";"""Continent""";"""Population""";"""Population Density""";"""Latitude""";"""Longitude""";"""Climate""";"""Terrain""";"""Timezone""";"""UTC Offset""";"""Internet TLD"""
24;"""São Paulo""";"""Brazil""";"""South America""";"""21846000""";"""7983.8 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plains, coastal""";"""America/Sao_Paulo""";"""-3""";""".br"""
25;"""Seoul""";"""South Korea""";"""Asia""";"""10253000""";"""16654.7 /sq mi""";"""37.57""";"""126.98""";"""Humid continental""";"""Plains, coastal""";"""Asia/Seoul""";"""9""";""".kr"""
26;"""Istanbul""";"""Turkey""";"""Europe""";"""15519000""";"""2962.2 /sq mi""";"""41.01""";"""28.97""";"""Humid subtropical""";"""Plains, coastal""";"""Europe/Istanbul""";"""3""";""".tr"""
27;"""Paris""";"""France""";"""Europe""";"""12405000""";"""20932.0 /sq mi""";"""48.87""";"""2.35""";"""Oceanic""";"""Plains, hilly""";"""Europe/Paris""";"""1""";""".fr"""
28;"""Cairo""";"""Egypt""";"""Africa""";"""20500000""";"""19156.8 /sq mi""";"""30.06""";"""31.25""";"""Hot desert""";"""Desert, coastal""";"""Africa/Cairo""";"""2""";""".eg"""
29;"""Lagos""";"""Nigeria""";"""Africa""";"""21000100""";"""7621.7 /sq mi""";"""6.45""";"""3.39""";"""Tropical wet and dry""";"""Coastal, lowlands""";"""Africa/Lagos""";"""1""";""".ng""</s>"
30;" ""Mumbai""";"""India""";"""Asia""";"""20691000""";"""31254.6 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Coastal, lowlands""";"""Asia/Kolkata""";"""5.5""";""".in"""
31;"""Beijing""";"""China""";"""Asia""";"""21540000""";"""3854.1 /sq mi""";"""39.91""";"""116.41""";"""Humid continental""";"""Plains, mountains""";"""Asia/Shanghai""";"""8""";""".cn"""
32;"""New York""";"""United States""";"""North America""";"""20061000""";"""27029.2 /sq mi""";"""40.71""";"""-74.01""";"""Humid subtropical""";"""Plains, hills""";"""America/New_York""";"""-5""";""".us"""
33;"""São Paulo""";"""Brazil""";"""South America""";"""22043000""";"""12387.3 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plains, hills""";"""America/Sao_Paulo""";"""-3""";""".br"""
34;"""Mexico City""";"""Mexico""";"""North America""";"""22070000""";"""15533.5 /sq mi""";"""19.43""";"""-99.13""";"""Humid subtropical""";"""Mountains, plateaus""";"""America/Mexico_City""";"""-6""";""".mx"""
35;"""Osaka""";"""Japan""";"""Asia""";"""19281000""";"""13341.7 /sq mi""";"""34.69""";"""135.50""";"""Humid subtropical""";"""Plains, hills""";"""Asia/Tokyo""";"""9""";""".jp"""
36;"""Chennai""";"""India""";"""Asia""";"""10359000""";"""15642.8 /sq mi""";"""13.09""";"""80.28""";"""Tropical wet and dry""";"""Coastal, lowlands""";"""Asia/Kolkata""";"""5.5""";""".in"""
37;"""Seoul""";"""South Korea""";"""Asia""";"""10305000""";"""16971.7 /sq mi""";"""37.57""";"""126.98""";"""Humid continental""";"""Plains, hills""";"""Asia/Seoul""";"""9""";""".kr"""
38;"""Dhaka""";"""Bangladesh""";"""Asia""";"""22081000""";"""93129.9 /sq mi""";"""23.71""";"""90.41""";"""Tropical wet and dry""";"""Plains, coastal""";"""Asia/Dhaka""";"""6""";""".bd"""
39;"""Bangkok""";"""Thailand""";"""Asia""";"""10355000""";"""13665.0 /sq mi""";"""13.75""";"""100.49""";"""Tropical wet and dry""";"""Plains, delta""";"""Asia/Bangkok""";"""7""";""".th""</s>"
40;" ""New York City""";"""United States""";"""North America""";"""20183000""";"""27055.0 /sq mi""";"""40.71""";"""-74.01""";"""Humid subtropical""";"""Coastal plain, hills""";"""America/New_York""";"""-5""";""".us""  "
41;"""Sao Paulo""";"""Brazil""";"""South America""";"""22277000""";"""8342.2 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plains, hills""";"""America/Sao_Paulo""";"""-3""";""".br""  "
42;"""Mumbai""";"""India""";"""Asia""";"""21686000""";"""31833.6 /sq mi""";"""18.97""";"""72.82""";"""Tropical wet and dry""";"""Coastal""";"""Asia/Kolkata""";"""5";"5"" "".in""  "
43;"""Shanghai""";"""China""";"""Asia""";"""27244000""";"""10453.1 /sq mi""";"""31.25""";"""121.47""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Shanghai""";"""8""";""".cn""  "
44;"""Istanbul""";"""Turkey""";"""Europe""";"""15562000""";"""7489.9 /sq mi""";"""41.01""";"""28.98""";"""Humid subtropical""";"""Coastal, hills""";"""Europe/Istanbul""";"""3""";""".tr""  "
45;"""Lagos""";"""Nigeria""";"""Africa""";"""21161000""";"""7815.5 /sq mi""";"""6.45""";"""3.39""";"""Tropical wet and dry""";"""Coastal""";"""Africa/Lagos""";"""1""";""".ng""  "
46;"""Cairo""";"""Egypt""";"""Africa""";"""21316000""";"""23652.1 /sq mi""";"""30.06""";"""31.25""";"""Hot desert""";"""Plains, desert""";"""Africa/Cairo""";"""2""";""".eg""  "
47;"""Buenos Aires""";"""Argentina""";"""South America""";"""15761000""";"""7367.4 /sq mi""";"""-34.61""";"""-58.42""";"""Humid subtropical""";"""Plains""";"""America/Argentina/Buenos_Aires""";"""-3""";""".ar""  "
48;"""Mexico City""";"""Mexico""";"""North America""";"""22070000""";"""6093.9 /sq mi""";"""19.43""";"""-99.13""";"""Subtropical""";"""Plains, hills""";"""America/Mexico_City""";"""-6""";""".mx""  "
49;"""Osaka""";"""Japan""";"""Asia""";"""19301000""";"""12982.3 /sq mi""";"""34.69""";"""135.50""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp""</s>"
50;" ""São Paulo""";"""Brazil""";"""South America""";"""22042000""";"""11946.3 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plateau, hills""";"""America/Sao_Paulo""";"""-3""";""".br""  "
51;"""Mumbai""";"""India""";"""Asia""";"""20712000""";"""31085.2 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Plains""";"""Asia/Kolkata""";"""5";""" "".in""  "
52;"""Beijing""";"""China""";"""Asia""";"""21540000""";"""4062.3 /sq mi""";"""39.92""";"""116.40""";"""Humid continental""";"""Plains, mountains""";"""Asia/Shanghai""";"""8""";""".cn""  "
53;"""Cairo""";"""Egypt""";"""Africa""";"""20500000""";"""19433.5 /sq mi""";"""30.04""";"""31.23""";"""Hot desert""";"""Desert, Nile delta""";"""Africa/Cairo""";"""2""";""".eg""  "
54;"""Dhaka""";"""Bangladesh""";"""Asia""";"""21006000""";"""44733.7 /sq mi""";"""23.71""";"""90.41""";"""Tropical monsoon""";"""Plains""";"""Asia/Dhaka""";"""6""";""".bd""  "
55;"""Tokyo""";"""Japan""";"""Asia""";"""37406009""";"""16509.9 /sq mi""";"""35.68""";"""139.69""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp""  "
56;"""New York""";"""United States""";"""North America""";"""20608000""";"""2781.4 /sq mi""";"""40.71""";"""-74.01""";"""Humid subtropical""";"""Coastal plain, hills""";"""America/New_York""";"""-5""";""".us""  "
57;"""Shanghai""";"""China""";"""Asia""";"""26317000""";"""11022.1 /sq mi""";"""31.23""";"""121.48""";"""Humid subtropical""";"""Plains, delta""";"""Asia/Shanghai""";"""8""";""".cn""  "
58;"""Lagos""";"""Nigeria""";"""Africa""";"""21000000""";"""7004.0 /sq mi""";"""6.45""";"""3.39""";"""Tropical wet and dry""";"""Coastal plain, lagoons""";"""Africa/Lagos""";"""1""";""".ng""  "
59;"""Shenzhen""";"""China""";"""Asia""";"""20397000""";"""19494.5 /sq mi""";"""22.54""";"""114.07""";"""Subtropical""";"""Coastal plain""";"""Asia/Shanghai""";"""8""";""".cn""</s>"
60;" ""Buenos Aires""";"""Argentina""";"""South America""";"""15430000""";"""13638.7 /sq mi""";"""-34.61""";"""-58.38""";"""Humid subtropical""";"""Plains, low hills""";"""America/Argentina/Buenos_Aires""";"""-3""";""".ar""  "
61;"""Tokyo""";"""Japan""";"""Asia""";"""13929000""";"""6133.8 /sq mi""";"""35.68""";"""139.69""";"""Humid subtropical""";"""Plains, hills""";"""Asia/Tokyo""";"""9""";""".jp""  "
62;"""Cairo""";"""Egypt""";"""Africa""";"""20435000""";"""21978.4 /sq mi""";"""30.06""";"""31.25""";"""Hot desert""";"""Desert, riverbank""";"""Africa/Cairo""";"""2""";""".eg""  "
63;"""Mumbai""";"""India""";"""Asia""";"""20663000""";"""31454.3 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Plains, coast""";"""Asia/Kolkata""";"""5""";""".in""  "
64;"""Seoul""";"""South Korea""";"""Asia""";"""9982000""";"""16955.9 /sq mi""";"""37.57""";"""126.98""";"""Humid continental""";"""Hills, mountains""";"""Asia/Seoul""";"""9""";""".kr""  "
65;"""Istanbul""";"""Turkey""";"""Europe""";"""14651000""";"""2751.6 /sq mi""";"""41.01""";"""28.97""";"""Humid subtropical""";"""Coastal plain, hills""";"""Europe/Istanbul""";"""3""";""".tr""  "
66;"""Jakarta""";"""Indonesia""";"""Asia""";"""30080000""";"""13520.9 /sq mi""";"""-6.21""";"""106.85""";"""Tropical rainforest""";"""Coastal plain""";"""Asia/Jakarta""";"""7""";""".id""  "
67;"""Dhaka""";"""Bangladesh""";"""Asia""";"""21006000""";"""70121.8 /sq mi""";"""23.71""";"""90.41""";"""Tropical wet and dry""";"""Plains""";"""Asia/Dhaka""";"""6""";""".bd""  "
68;"""Osaka""";"""Japan""";"""Asia""";"""19341000""";"""12517.0 /sq mi""";"""34.69""";"""135.50""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp""  "
69;"""Manila""";"""Philippines""";"""Asia""";"""16936000""";"""37061.6 /sq mi""";"""14.6""";"""120.98""";"""Tropical wet and dry""";"""Coastal plain""";"""Asia/Manila""";"""8""";""".ph""  </s>"
70;" ""São Paulo""";"""Brazil""";"""South America""";"""21846507""";"""11434.4 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical wet and dry""";"""Plains, hills""";"""America/Sao_Paulo""";"""-3""";""".br""  "
71;"""Mumbai""";"""India""";"""Asia""";"""20712744""";"""31605.4 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Coastal plain""";"""Asia/Kolkata""";"""5""";""".in""  "
72;"""Seoul""";"""South Korea""";"""Asia""";"""9983940""";"""16959.8 /sq mi""";"""37.57""";"""126.98""";"""Humid continental""";"""Mountains, hills""";"""Asia/Seoul""";"""9""";""".kr""  "
73;"""Jakarta""";"""Indonesia""";"""Asia""";"""10607900""";"""13636.4 /sq mi""";"""-6.17""";"""106.83""";"""Tropical wet""";"""Coastal plain""";"""Asia/Jakarta""";"""7""";""".id""  "
74;"""Cairo""";"""Egypt""";"""Africa""";"""20267000""";"""22142.8 /sq mi""";"""30.04""";"""31.24""";"""Hot desert""";"""Plains, desert""";"""Africa/Cairo""";"""2""";""".eg""  "
75;"""Lagos""";"""Nigeria""";"""Africa""";"""21000500""";"""8918.4 /sq mi""";"""6.45""";"""3.39""";"""Tropical wet and dry""";"""Coastal plain""";"""Africa/Lagos""";"""1""";""".ng""  "
76;"""Los Angeles""";"""United States""";"""North America""";"""3971883""";"""8892.3 /sq mi""";"""34.05""";"""-118.24""";"""Mediterranean""";"""Coastal, mountains""";"""America/Los_Angeles""";"""-8""";""".us""  "
77;"""New York""";"""United States""";"""North America""";"""18879053""";"""27822.8 /sq mi""";"""40.71""";"""-74.01""";"""Humid subtropical""";"""Coastal, islands""";"""America/New_York""";"""-5""";""".us""  "
78;"""Shanghai""";"""China""";"""Asia""";"""24256000""";"""18314.2 /sq mi""";"""31.23""";"""121.48""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Shanghai""";"""8""";""".cn""  "
79;"""Tokyo""";"""Japan""";"""Asia""";"""13566000""";"""15913.4 /sq mi""";"""35.68""";"""139.69""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp""  </s>"
80;" ""Mumbai""";"""India""";"""Asia""";"""20712000""";"""31343.2 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Urban"", ""coastal""";"""Asia/Kolkata""";"""5.5""";""".in""  "
81;"""São Paulo""";"""Brazil""";"""South America""";"""21235000""";"""7852.1 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plateau, coastal""";"""America/Sao_Paulo""";"""-3""";""".br""  "
82;"""Beijing""";"""China""";"""Asia""";"""21540000""";"""3929.2 /sq mi""";"""39.91""";"""116.39""";"""Humid continental""";"""Plains, plateau""";"""Asia/Shanghai""";"""8""";""".cn""  "
83;"""Cairo""";"""Egypt""";"""Africa""";"""20283000""";"""22374.9 /sq mi""";"""30.04""";"""31.23""";"""Hot desert""";"""Desert, Nile River valley""";"""Africa/Cairo""";"""2""";""".eg""  "
84;"""Dhaka""";"""Bangladesh""";"""Asia""";"""21006000""";"""112165.4 /sq mi""";"""23.71""";"""90.41""";"""Tropical""";"""Plains, rivers""";"""Asia/Dhaka""";"""6""";""".bd""  "
85;"""Mexico City""";"""Mexico""";"""North America""";"""21679000""";"""15782.8 /sq mi""";"""19.43""";"""-99.14""";"""Subtropical highland""";"""Mountains, valleys""";"""America/Mexico_City""";"""-6""";""".mx""  "
86;"""Osaka""";"""Japan""";"""Asia""";"""19281000""";"""13742.6 /sq mi""";"""34.69""";"""135.50""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp""  "
87;"""Buenos Aires""";"""Argentina""";"""South America""";"""15430000""";"""7476.1 /sq mi""";"""-34.61""";"""-58.38""";"""Humid subtropical""";"""Plains, coast, hills""";"""America/Argentina/Buenos_Aires""";"""-3""";""".ar""  "
88;"""Istanbul""";"""Turkey""";"""Europe""";"""15029000""";"""2952.5 /sq mi""";"""41.01""";"""28.97""";"""Humid subtropical""";"""Marmara Sea coast, hills""";"""Europe/Istanbul""";"""3""";""".tr""  "
89;"""Karachi""";"""Pakistan""";"""Asia""";"""23500000""";"""14356.8 /sq mi""";"""24.88""";"""67.01""";"""Arid""";"""Coastal, flat terrain""";"""Asia/Karachi""";"""5""";""".pk""  </s>"
90;" ""Lahore""";"""Pakistan""";"""Asia""";"""11126285""";"""10838.7 /sq mi""";"""31.55""";"""74.35""";"""Humid subtropical""";"""Plains""";"""Asia/Karachi""";"""5""";""".pk""  "
91;"""Shanghai""";"""China""";"""Asia""";"""26317104""";"""9455.9 /sq mi""";"""31.23""";"""121.48""";"""Humid subtropical""";"""Plains, wetlands""";"""Asia/Shanghai""";"""8""";""".cn""  "
92;"""Mumbai""";"""India""";"""Asia""";"""20712743""";"""31780.8 /sq mi""";"""19.07""";"""72.87""";"""Tropical wet and dry""";"""Coastal, hills""";"""Asia/Kolkata""";"""5.5""";""".in""  "
93;"""Beijing""";"""China""";"""Asia""";"""21540000""";"""3925.6 /sq mi""";"""39.92""";"""116.40""";"""Humid continental""";"""Plains""";"""Asia/Shanghai""";"""8""";""".cn""  "
94;"""Cairo""";"""Egypt""";"""Africa""";"""20293000""";"""22379.8 /sq mi""";"""30.04""";"""31.23""";"""Hot desert""";"""Desert, Nile River""";"""Africa/Cairo""";"""2""";""".eg""  "
95;"""Dhaka""";"""Bangladesh""";"""Asia""";"""21006168""";"""43665.1 /sq mi""";"""23.71""";"""90.41""";"""Tropical""";"""River plains""";"""Asia/Dhaka""";"""6""";""".bd""  "
96;"""Tokyo""";"""Japan""";"""Asia""";"""37435192""";"""15525.1 /sq mi""";"""35.68""";"""139.69""";"""Humid subtropical""";"""Islands, mountains""";"""Asia/Tokyo""";"""9""";""".jp""  "
97;"""Osaka""";"""Japan""";"""Asia""";"""19281272""";"""15345.6 /sq mi""";"""34.69""";"""135.50""";"""Humid subtropical""";"""Islands, mountains""";"""Asia/Tokyo""";"""9""";""".jp""  "
98;"""Mexico City""";"""Mexico""";"""North America""";"""21671908""";"""6216.3 /sq mi""";"""19.43""";"""-99.13""";"""Temperate highland""";"""Mountain basin""";"""America/Mexico_City""";"""-6""";""".mx""  "
99;"""São Paulo""";"""Brazil""";"""South America""";"""21846507""";"""7915.2 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical""";"""Plains, hills""";"""America/Sao_Paulo""";"""-3""";""".br""  </s>"
