;1. Religions and Belief Systems;2. Philosophical Thoughts;3. Historiography;4. Primary Sources;5. Secondary Resources;6. Military Conflicts;7. Alliances and Treaties;8. Art and Architecture;9. Cultural Practices;10. Economic Systems;11. Political Structures
58; Modern Middle East (Ottoman Decline, Arab Nationalism, Gulf War); Islam, Secularism;" ""Description of Egypt"" by Napoleon Bonaparte, ""Open Letters"" by Sayyid Qutb"; World War I, Sykes-Picot Agreement; Camp David Accords, Iraq War; Dome of the Rock, Abu Simbel; Falafel, hookah; Monarchies, republics; Oil cartels, militarized conflicts.;;
59; Latin American History (Colonial, Independence, Modern); Catholicism, Syncretism;" ""General History of the Indies"" by Gonzalo Fernández de Oviedo, ""Facundo"" by Domingo Faustino Sarmiento"; Spanish-American War, Argentine-Brazilian War; Simon Bolivar, Che Guevara; Mayan temples, Iglesia de Santo Domingo; Empanadas, salsa; Personalism, social justice.</s>;;;
60;  Chinese History (Three Kingdoms, Tang Dynasty, RoC, PRC); Buddhism, Confucianism, Taoism;" ""Records of the Three Kingdoms,"" ""Selected Works of Mao Zedong"""; Warring States Period, Opium Wars; Sino-Japanese Friendship Treaty, Pingxi Agreement; Forbidden City, Great Wall; Tea ceremony, calligraphy; Feudalism, socialist construction; Red Guard, hukou system.;;
61; Indian History (Maurya Empire, Mughal Empire, British Raj, Modern India); Hinduism, Buddhism, Jainism, Sikhism;" ""Arthashastra"" by Kautilya, ""Discovery of India"" by Jawaharlal Nehru"; Kalinga War, Indian Rebellion of 1857; Partition of India, Shimla Agreement; Taj Mahal, Qutub Minar; Yoga, biryani; Parliamentary democracy, centralized planning; Caste system, green revolution.;;
62; African History (Pre-Colonial, Colonial, Post-Colonial); Traditional Religions, Islam, Christianity;" ""The Muqaddimah"" by Ibn Khaldun, ""Long Walk to Freedom"" by Nelson Mandela"; Abyssinian-Adal War, Scramble for Africa; Cairo Declaration, Lusaka Accord; Egyptian Pyramids, Great Zimbabwe; Djembe drumming, Ubuntu philosophy; Post-colonial governments, informal economies; Tribalism, Pan-Africanism.;;
63; Sub-Saharan African History (Pre-Colonial, Colonial, Independence); Animism, Christianity;" ""The Epic of Son-Jara,"" ""Things Fall Apart"" by Chinua Achebe"; Zulu Wars, Biafran War; Lancaster House Agreement, Abuja Treaty; Timbuktu manuscripts, Rock art of Tsodilo; Kente cloth, Jollof Rice; Military dictatorship, post-independence political systems; Polygyny, female genital mutilation.;;
64; Medieval European History (Fall of Rome, Middle Ages, Renaissance, Reformation); Catholicism, Protestantism, Judaism;" ""The City of God"" by Augustine, ""Two Treatises of Government"" by John Locke"; Hundred Years' War, Thirty Years' War; Treaty of Westphalia, Peace of Augsburg; Notre Dame Cathedral, Sistine Chapel; Chivalry, Gregorian Chant; Feudalism, city-states; Inquisition, witch trials.;;
65; Ancient Egyptian History (Early Dynastic, New Kingdom, Ptolemaic, Roman); Ancient Egyptian Polytheism;" ""Ebers Papyrus,"" ""The Satire of the Trades"""; Nubian-Egyptian Wars, Alexandrian War; Rosetta Stone, Fayum mummy portraits; Pyramids of Giza, Temple of Karnak; Bread, beer; Theocracy, pharaonic rule; Slave labor, embalming.;;
66; Japanese History (Jomon, Yayoi, Edo, Modern); Shinto, Buddhism;" ""Kojiki,"" ""In Search of a Distant Land"" by Banana Yoshimoto"; Genpei War, Sino-Japanese War; Ansei Treaties, Shimonoseki Treaty; Himeji Castle, Tokyo Skytree; Kabuki, haiku; Tokugawa Shogunate, imperial restoration; Yakuza, salaryman.;;
67; Ancient Mesopotamian History (Sumerians, Babylonians, Assyrians, Persians); Polytheism, Zoroastrianism;" ""Epic of Gilgamesh,"" ""Cyropaedia"" by Xenophon"; Amorite-Isin War, Greco-Persian Wars; Peace of Callias, Treaty of Susa; Etemenanki, Persepolis; Beer, kebab; Monarchy, satrapies; Scribes, slavery.;;
68; Ottoman History (Early, Classical, Late, Dissolution); Islam, Sufism, Christianity;" ""Book of Travels"" by Evliya Çelebi, ""Hayy ibn Yaqdhan"" by Ibn Tufail"; Ottoman-Habsburg Wars, Crimean War; Treaty of Karlowitz, Treaty of Sèvres; Hagia Sophia, Topkapi Palace; Turkish bath, coffee culture; Millet system, authoritarianism; Devshirme system, Kislar Ağası.;;
69; Indigenous American History (Pre-Columbian, Contact, Resistance, Modern); Native American Polytheism, Christianity;" ""Popol Vuh,"" ""Black Elk Speaks"" by John G. Neihardt"; Aztec-Purépecha War, Iroquois-Huron Wars; Treaty of Tordesillas, Fort Laramie Treaty; Machu Picchu, Mesa Verde; Corn bread, pemmican; Tribal governance, assimilation; Longhouse, Sundance.;;</s>
70;  Ancient Egyptian History (Predynastic, Old, Middle, New Kingdom, Third Intermediate Period, Late Period); Ancient Egyptian polytheism, Christianity, Islam;" ""Book of the Dead,"" ""Description of Egypt"" by Vivant Denon"; Nine Bowships, Libyan Wars; Treaty of Thermum, Peace of Amada; Great Sphinx, Luxor Temple; Bread, beer; Theocratic monarchy, nomarchy; Scribes, slavery.;;
71; Medieval European History (Early, High, Late); Christianity, Islam;" ""Chronicle of Fredegar,"" ""Decameron"" by Giovanni Boccaccio"; Hundred Years' War, Crusades; Treaty of Troyes, Magna Carta; Notre-Dame de Paris, Durham Cathedral; Feudalism, manorialism; Papal supremacy, feudal monarchy; Serfdom, guilds.;;
72; Chinese History (Ancient, Imperial, Republican, Modern); Confucianism, Taoism, Buddhism, Christianity;" ""Records of the Grand Historian"" by Sima Qian, ""Dream of the Red Chamber"" by Cao Xueqin"; Warring States Period, Taiping Rebellion; Treaty of Nanking, Shanghai Cooperation Organisation; Forbidden City, Great Wall of China; Silk, tea; Mandarinate, constitutional monarchy; Eunuchs, concubinage.;;
73; Sub-Saharan African History (Precolonial, Colonial, Postcolonial); Traditional religions, Christianity, Islam;" ""The Legend of Sundiata,"" ""Things Fall Apart"" by Chinua Achebe"; Biafran War, Congo Crisis; Brussels Conference Act, African Union; Timbuktu, Great Zimbabwe; Millet porridge, fufu; Centralized monarchy, tribal federations; Griots, age sets.;;
74; Classical Indian History (Vedic, Maurya, Gupta); Hinduism, Buddhism, Jainism, Islam;" ""Mahābhārata,"" ""Arthashastra"" by Chanakya"; Magadha Empire, Satavahana Dynasty; Treaty of Chittor, Treaty of Purandar; Ajanta Caves, Ellora Caves; Curry, rice; Feudalism, oligarchy; Brahmins, warriors.;;
75; Japanese History (Jomon, Yayoi, Kofun, Asuka, Nara, Heian, Kamakura, Muromachi, Azuchi-Momoyama, Edo, Meiji, Showa, Heisei); Shinto, Buddhism, Confucianism, Christianity;" ""The Tale of Genji,"" ""Nihon Shoki"""; Gempei War, Sengoku period; Treaty of Amity and Commerce, Treaty of Kanagawa; Horyuji Temple, Kinkakuji; Sushi, sake; Military dictatorship, constitutional monarchy; Samurai, court nobles.;;
76; Ancient Greek History (Mycenaean, Dark Age, Archaic, Classical, Hellenistic); Ancient Greek polytheism, Christianity;" ""The Iliad,"" ""History of the Peloponnesian War"" by Thucydides"; Trojan War, Peloponnesian War; Peace of Nicias, Treaty of Antalcidas; Parthenon, Acropolis; Olive oil, wine; Monarchy, tyranny, oligarchy, democracy; Philosophers, slaves.;;
77; Roman History (Regal, Republic, Principate, Dominate); Ancient Roman polytheism, Christianity;" ""Aeneid,"" ""Annales"" by Tacitus"; Samnite Wars, Punic Wars; Treaty of Vere, Treaty of Baiae; Colosseum, Pantheon; Wine, bread; Monarchy, oligarchy, autocracy; Patricians, plebeians; Scribes, slaves.; 
78; Islamic History (Rashidun, Umayyad, Abbasid, Fatimid, Mughal, Ottoman, Modern); Islam;" ""Quran,"" ""Al-Tabiqat al-Kubra"" by Al-Ghazali"; Ridda Wars, Crusades; Treaty of Hudaybiyyah, Treaty of Karlowitz; Alhambra, Taj Mahal; Halal; Caliphate, sultanate; Ulama, harems; Mamelukes, eunuchs.; 
79; Modern World History (Postcolonial, Cold War, Globalization); Christianity, Secularism, Islam, Buddhism, Hinduism, Atheism;" ""Animal Farm"" by George Orwell, ""Brave New World"" by Aldous Huxley"; World War I, World War II; Treaty of Versailles, United Nations Charter; Hiroshima Peace Memorial, European Union; Fast food, smartphones; Representative democracy, oligarchy; Technocrats, migrants; Celebrities, hackers.</s>;
