;"""Religious Group"; Core Beliefs; Foundational Texts & Teachings; Divine Entities or Concepts of Worshipped & Their Attributes; Key Historical Figures; Geographical Spread & Historical Range; Demographics Distribution; Socioeconomic Status; Challenges Faced; Important Holidays; Representative Symbolism;" Major Subgroups & Estimated Adherents"""
10;"  ""Religious Group: Sikhism"; Core Beliefs: Ik Onkar, Miri-Piri, Five Thieves; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar; Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, Western countries; Demographics: 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Accommodation in secular societies, misunderstandings; Important Holidays: Vaisakhi, Gurpurbs; Representative Symbolism: Khanda;" Major Subgroups: Sahajdhari, Sehajdhari, 25 million, 5 million"""
11;" ""Religious Group: Bahá'í Faith"; Core Beliefs: Unity of God, Unity of Religions, Unity of Humanity; Foundational Texts: Kitáb-i-Aqdas, Bahá'u'lláh's writings; Divine Entities: Baha'u'llah, The Bab; Key Figures: Bahá'u'lláh, The Bab, Abdul'l-Bahá; Geographical Spread: Worldwide; Demographics: 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, misconceptions; Important Holidays: Naw-Rúz, Ridván; Representative Symbolism: Nine-pointed star;" Major Subgroups: None"""
12;" ""Religious Group: Shinto"; Core Beliefs: Kami, Magokoro, Masakari; Foundational Texts: Kojiki, Nihon Shoki; Divine Entities: Kami; Key Figures: Amaterasu, Izanami, Susanoo; Geographical Spread: Japan; Demographics: 4 million adherents; Socioeconomic Status: Varied; Challenges Faced: Secularization, decreased public interest; Important Holidays: New Year, Obon; Representative Symbolism: Torii;" Major Subgroups: State Shinto, Shrine Shinto, Sect Shinto, Folk Shinto, 3 million, 1 million"""
13;" ""Religious Group: Cao Dai"; Core Beliefs: Unity of God, Three Teachings, Reincarnation; Foundational Texts: Kinh Thiên Diên Reh, Tánh Thư, Đại Thừa; Divine Entities: Dài Đạo Tai Phán Đào; Key Figures: Ngô Văn Chiêu, Phạm Công Tác; Geographical Spread: Vietnam; Demographics: 4 million adherents; Socioeconomic Status: Varied; Challenges Faced: Government restrictions, integration with modern society; Important Holidays: Anniversary of the Founding, New Year; Representative Symbolism: Divine Eye;" Major Subgroups: None"""
14;" ""Religious Group: Tenrikyo"; Core Beliefs: Parent-Child Relationship, Gratitude, Purification; Foundational Texts: Ofudesaki, Mikagura-Uta; Divine Entities: Tenri-Ō-no-Mikoto; Key Figures: Nakayama Miki, Iburi Izo; Geographical Spread: Japan; Demographics: 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Decreased number of followers, aging population; Important Holidays: Oyasama's Birthday; Representative Symbolism: Red Sun;" Major Subgroups: None"""
15;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Freedom, Reason; Foundational Texts: Seven Principles; Divine Entities: Various based on individual beliefs; Key Figures: Theodore Parker, Ralph Waldo Emerson; Geographical Spread: USA, Canada, Europe; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Diversity of beliefs, defining themselves; Important Holidays: None; Representative Symbolism: Flaming Chalice;" Major Subgroups: None"""
16;" ""Religious Group: Rastafari"; Core Beliefs: Black Liberation, Haile Selassie, Jah; Foundational Texts: Kebra Nagast, Holy Piby; Divine Entities: Haile Selassie, Jah; Key Figures: Marcus Garvey, Haile Selassie, Bob Marley; Geographical Spread: Jamaica, worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Criminalization, marginalization; Important Holidays: Birthday of Haile Selassie, Rastafari Earthday; Representative Symbolism: Lion of Judah;" Major Subgroups: Nyabinghi, Bobo Ashanti, Twelve Tribes of Israel, 600,000, 250,000, 100,000"""
17;" ""Religious Group: Neo-Paganism"; Core Beliefs: Polytheism, Nature, Reincarnation; Foundational Texts: Varied sources based on individual paths; Divine Entities: Various deities based on individual beliefs; Key Figures: Gerald Gardner, Starhawk, Isaac Bonewits; Geographical Spread: Worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Marginalization, misconceptions; Important Holidays: Wheel of the Year; Representative Symbolism: Triple Moon;" Major Subgroups: Wicca, Druidry, Heathenry, 800,000, 150,000, 50,000"""
18;" ""Religious Group: Scientology"; Core Beliefs: Eight Dynamics, Thetan, Auditing; Foundational Texts: Dianetics: The Modern Science of Mental Health, Theology of Scientology; Divine Entities: Thetan; Key Figures: L. Ron Hubbard, David Miscavige; Geographical Spread: Worldwide; Demographics: 600,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Controversy, human rights concerns; Important Holidays: Scientology New Year, Anniversary of Dianetics, L. Ron Hubbard's Birthday; Representative Symbolism: Sea Org symbol;" Major Subgroups: None"""
19;" ""Religious Group: Spiritualism"; Core Beliefs: Continuous Life, Communication with Spirits, Personal Responsibility; Foundational Texts: The Key to Theosophy, The Medium's Book; Divine Entities: Spirit Guides; Key Figures: Allan Kardec, Andrew Jackson Davis; Geographical Spread: Worldwide; Demographics: 3 million adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in interest, fraudulent practitioners; Important Holidays: Spiritualist's Day of Prayer; Representative Symbolism: Globe;" Major Subgroups: Spiritism, American Spiritualism, 2 million, 1 million""</s>"
20;"  ""Religious Group: Zoroastrianism"; Core Beliefs: Good vs Evil, Fire, Water, Earth; Foundational Texts: Avesta, Zend-Avesta; Divine Entities: Ahura Mazda, Angra Mainyu; Key Figures: Zoroaster, Rostam; Geographical Spread: Iran, India; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in population, preservation of traditions; Important Holidays: Nowruz, Sadeh; Representative Symbolism: Faravahar;" Major Subgroups: Parsis, Iranis, 150,000, 50,000"""
21;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Family, Education, Social Harmony; Foundational Texts: Analects, Mencius, Great Learning; Divine Entities: None; Key Figures: Confucius, Mencius, Xunzi; Geographical Spread: China, Korea, Japan; Demographics: 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Sinicization, secularism; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin and Yang;" Major Subgroups: None"""
22;" ""Religious Group: Sikhism"; Core Beliefs: Equality, Devotion, Granth, Social Justice; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar; Key Figures: Guru Nanak Dev Ji, Guru Arjan Dev Ji, Guru Gobind Singh Ji; Geographical Spread: India, United Kingdom, Canada; Demographics: 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Preservation of Identity; Important Holidays: Vaisakhi, Gurpurab; Representative Symbolism: Khanda;" Major Subgroups: Nanaksar, Nihang, 5 million, 1 million"""
23;" ""Religious Group: Jainism"; Core Beliefs: Non-violence, Asceticism, Reincarnation, Karma; Foundational Texts: Agamas, Purvas, Sutras; Divine Entities: Arihants, Siddhas, Acharyas; Key Figures: Mahavira, Parshvanath, Neminath; Geographical Spread: India; Demographics: 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Preservation of traditions, caste system; Important Holidays: Mahavir Jayanti, Paryushan; Representative Symbolism: Jain Emblem;" Major Subgroups: Digambara, Shwetambara, 3 million, 3 million"""
24;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Freedom, Reason, Tolerance; Foundational Texts: Unitarian Universalist Principles and Purposes; Divine Entities: Varied; Key Figures: Ralph Waldo Emerson; Geographical Spread: United States, Canada; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Identity, growth; Important Holidays: Ingathering, Flower Communion; Representative Symbolism: Flaming Chalice;" Major Subgroups: Christian Unitarians, Humanist Unitarians, 160,000, 40,000"""
25;" ""Religious Group: Rastafarianism"; Core Beliefs: Ethiopianism, African Redemption, One Love; Foundational Texts: Holy Piby, Kebra Nagast; Divine Entities: Haile Selassie I, Jesus Christ; Key Figures: Marcus Garvey, Leonard Howell, Haile Selassie I; Geographical Spread: Worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Stigmatization, legal issues; Important Holidays: Ethiopian Christmas; Representative Symbolism: Lion of Judah;" Major Subgroups: Bobo Ashanti, Nyabinghi, 400,000, 300,000"""
26;" ""Religious Group: Cao Dai"; Core Beliefs: Worship of deities, Reincarnation, Destiny; Foundational Texts: Kinh Thiên Đạo và Pháp Chánh Truyền; Divine Entities: Cao Đài Triune God; Key Figures: Ngô Văn Chiêu, Phạm Công Tắc; Geographical Spread: Vietnam; Demographics: 4.5 million adherents; Socioeconomic Status: Varied; Challenges Faced: Government restrictions, assimilation; Important Holidays: Cao Dai Anniversary; Representative Symbolism: Divine Eye;" Major Subgroups: None"""
27;" ""Religious Group: Tenrikyo"; Core Beliefs: Eternal Life, Gratitude, Service; Foundational Texts: Ofudesaki, Mikagura-uta; Divine Entities: Tenri-O-no-Mikoto; Key Figures: Nakayama Miki, Iburi Izo; Geographical Spread: Japan; Demographics: 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Shrinking population, aging community; Important Holidays: Tenrikyo New Year; Representative Symbolism: Red Kanrodai;" Major Subgroups: None"""
28;" ""Religious Group: Eckankar"; Core Beliefs: Reincarnation, Soul Travel, Sudden Illumination; Foundational Texts: Shariyat-Ki-Sugmad; Divine Entities: God, Spiritual Master; Key Figures: Paul Twitchell, Harold Klemp; Geographical Spread: Worldwide; Demographics: 50,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Misconceptions, skepticism; Important Holidays: Eckankar New Year; Representative Symbolism: Circle with Eck;" Major Subgroups: None"""
29;" ""Religious Group: Neo-Humanism"; Core Beliefs: Spiritual evolution, Ecological consciousness; Foundational Texts: PROUT, Neo-Humanist Education; Divine Entities: Universal Consciousness; Key Figures: Prabhat Rainjan Sarkar; Geographical Spread: Worldwide; Demographics: 10,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Recognition, global dialogue; Important Holidays: None; Representative Symbolism: Red Sun;" Major Subgroups: None""</s>"
30;"  ""Religious Group: Rastafari"; Core Beliefs: Love, Unity, Self-reliance; Foundational Texts: Kebra Nagast, The Holy Piby; Divine Entities: Jah, Haile Selassie I; Key Figures: Marcus Garvey, Haile Selassie I; Geographical Spread: Jamaica, Africa, Worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Criminalization, Discrimination; Important Holidays: Rastafari Earthday; Representative Symbolism: Lion of Judah;" Major Subgroups: Bobo Ashanti, Nyabinghi"""
31;" ""Religious Group: Cao Dai"; Core Beliefs: Love, Justice, Peace; Foundational Texts: Kinh Thiên Cảm, Thánh Ngọc Phận; Divine Entities: Cao Đài; Key Figures: Ngô Văn Chiêu, Phạm Công Tắc; Geographical Spread: Vietnam; Demographics: 4-6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Government restrictions, misconceptions; Important Holidays: Cao Dai New Year; Representative Symbolism: Left Eye of God;" Major Subgroups: Caodai Spiritual Research Institute"""
32;" ""Religious Group: Iglesia ni Cristo"; Core Beliefs: Salvation through Jesus Christ, Obedience, Unity; Foundational Texts: Bible; Divine Entities: God, Jesus Christ; Key Figures: Felix Manalo; Geographical Spread: Philippines, North America, Australia, Europe, Asia; Demographics: 2.5-4 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, perception of sectarianism; Important Holidays: Arias de Salvacion, Fiesta ng Kapatiran; Representative Symbolism: Red, Blue, Green, and White symbol;" Major Subgroups: None"""
33;" ""Religious Group: Scientology"; Core Beliefs: Spiritual Reality, Thetan, Self-improvement; Foundational Texts: Dianetics, Scientology; Divine Entities: N/A; Key Figures: L. Ron Hubbard; Geographical Spread: Worldwide; Demographics: 500,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Controversy, legal challenges; Important Holidays: L. Ron Hubbard's Birthday, Scientology New Year; Representative Symbolism: Eight-pointed cross;" Major Subgroups: Sea Org, IAS"""
34;" ""Religious Group: Yazidism"; Core Beliefs: Monotheistic, Reincarnation, Seven Angels; Foundational Texts: Kitêba Cilwe, Mishefa Re; Divine Entities: God, Malak Taus, Sheikh Adi; Key Figures: Sheikh Adi, Prince Tahseen Said; Geographical Spread: Iraq, Kurdistan, Germany, Russia, Armenia; Demographics: 700,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, ISIL genocide; Important Holidays: Feast of the Assembly; Representative Symbolism: Peacock;" Major Subgroups: Qezelbash, Shingal, Miridikhan"""
35;" ""Religious Group: Yoruba Religion"; Core Beliefs: Iwa, Ancestors, Reincarnation; Foundational Texts: Odu Ifá; Divine Entities: Orisha, Olorun, Olodumare; Key Figures: Orunmila, Obatala, Yemaya; Geographical Spread: Africa, Latin America, Caribbean; Demographics: 50 million adherents; Socioeconomic Status: Varied; Challenges Faced: Colonization, misappropriation; Important Holidays: Ogun Festival; Representative Symbolism: Irunmole;" Major Subgroups: Santeria, Ifa, Candomblé, Umbanda"""
36;" ""Religious Group: Confucianism"; Core Beliefs: Morality, Education, Respect; Foundational Texts: Five Classics, Analects; Divine Entities: Ancestral Spirits; Key Figures: Confucius, Mencius; Geographical Spread: China, Japan, Korea, Southeast Asia; Demographics: 6-10 million adherents; Socioeconomic Status: Varied; Challenges Faced: State suppression, modernization; Important Holidays: Confucius' Birthday; Representative Symbolism: Lunar New Year;" Major Subgroups: Neo-Confucianism, New Confucianism"""
37;" ""Religious Group: Zoroastrianism"; Core Beliefs: Ahura Mazda, Free Will, Good Deeds; Foundational Texts: Avesta, Zend-Avesta; Divine Entities: Ahura Mazda, Angra Mainyu; Key Figures: Zoroaster, Rostam; Geographical Spread: India, Iran; Demographics: 190,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Population decline, marriage issues; Important Holidays: Gahambar, Nowruz; Representative Symbolism: Faravahar;" Major Subgroups: Parsi, Irani"""
38;" ""Religious Group: Jainism"; Core Beliefs: Karma, Reincarnation, Ahiṃsā; Foundational Texts: Agamas, Sutras, Purvas; Divine Entities: Tirthankaras, Siddhas, Arihants; Key Figures: Mahavira, Parshva; Geographical Spread: India, Worldwide; Demographics: 4.2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Cultural assimilation, population decline; Important Holidays: Paryushan; Representative Symbolism: Wheel;" Major Subgroups: Digambara, Shwetambara"""
39;" ""Religious Group: Shinto"; Core Beliefs: Kami, Harmony, Natural Order; Foundational Texts: Nihongi, Kojiki; Divine Entities: Kami; Key Figures: Amaterasu, Tenson; Geographical Spread: Japan; Demographics: 3-10 million adherents; Socioeconomic Status: Varied; Challenges Faced: State-shinto separation, modernization; Important Holidays: Obon, New Year; Representative Symbolism: Torii;" Major Subgroups: State Shinto, Sect Shinto""</s>"
40;"  ""Religious Group: Cao Dai"; Core Beliefs: Unity of God, Reincarnation, Moral Living; Foundational Texts: Kinh Ly Trieu, Kinh Thien Ly; Divine Entities: Deity, Saints; Key Figures: Ngo Van Chieu, Pham Cong Tac; Geographical Spread: Vietnam, Worldwide; Demographics: 4-6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Discrimination; Important Holidays: Tet Nguyen Tieu, Cao Dai Festival; Representative Symbolism: Divine Eye;" Major Subgroups: Caodaiism, Dao Cao Dai"""
41;" ""Religious Group: Rastafarianism"; Core Beliefs: God in Human, Return to Africa, Living Naturally; Foundational Texts: Kebra Nagast, Holy Piby; Divine Entities: Jah, Haile Selassie; Key Figures: Marcus Garvey, Haile Selassie; Geographical Spread: Jamaica, Worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Criminalization, Discrimination; Important Holidays: Ethiopian New Year, Groundation Day; Representative Symbolism: Lion of Judah;" Major Subgroups: Bobo Ashanti, Nyabinghi"""
42;" ""Religious Group: Neo-Paganism"; Core Beliefs: Polytheism, Nature-based, Pantheism; Foundational Texts: Various, Depending on Subgroup; Divine Entities: Gods and Goddesses; Key Figures: Gerald Gardner, Starhawk; Geographical Spread: Worldwide; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Discrimination; Important Holidays: Eight Sabbats; Representative Symbolism: Pentacle;" Major Subgroups: Wicca, Druidism"""
43;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Human-heartedness, Filial Piety; Foundational Texts: Analects, Mencius; Divine Entities: Ancestors; Key Figures: Confucius, Mencius; Geographical Spread: China, Worldwide; Demographics: 6-10 million adherents; Socioeconomic Status: Varied; Challenges Faced: Modernization, Secularism; Important Holidays: Confucius' Birthday, Chinese New Year; Representative Symbolism: Yin Yang;" Major Subgroups: Ruism, New Confucianism"""
44;" ""Religious Group: Baháʼí Faith"; Core Beliefs: Unity of God, Prophets, Humanity; Foundational Texts: Kitáb-i-Aqdas, Hidden Words; Divine Entities: God, Prophets; Key Figures: Baháʼu'lláh, `Abdu'l-Bahá; Geographical Spread: Worldwide; Demographics: 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Discrimination; Important Holidays: Naw-Rúz, Ridván; Representative Symbolism: Nine-pointed Star;" Major Subgroups: Spiritual Assembly, Local Spiritual Assembly"""
45;" ""Religious Group: Sikhism"; Core Beliefs: Monotheism, Equality, Human Values; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar; Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, Worldwide; Demographics: 27 million adherents; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Discrimination; Important Holidays: Vaisakhi, Diwali; Representative Symbolism: Khanda;" Major Subgroups: Sahajdhari, Khalsa"""
46;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Freedom, Reason, Tolerance; Foundational Texts: Seven Principles; Divine Entities: Various; Key Figures: John Murray, Hosea Ballou; Geographical Spread: United States, Canada; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Membership decline, Funding; Important Holidays: Winter Solstice, Easter; Representative Symbolism: Flaming Chalice;" Major Subgroups: Unitarian, Universalist"""
47;" ""Religious Group: Tenrikyo"; Core Beliefs: God the Parent, Tenri-O-no-Mikoto, Hinokishin; Foundational Texts: Ofudesaki, Mikagura-uta; Divine Entities: God the Parent, Tsukihi; Key Figures: Nakayama Miki, Iburi Izo; Geographical Spread: Japan, Worldwide; Demographics: 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Membership decline, Discrimination; Important Holidays: Anniversary of the Founding, New Year's Day; Representative Symbolism: Red Sun;" Major Subgroups: Kanrodai, Church Headquarters"""
48;" ""Religious Group: Scientology"; Core Beliefs: Spiritual Reality, Self-determinism, Ethics; Foundational Texts: Dianetics, L. Ron Hubbard Series; Divine Entities: Thetans; Key Figures: L. Ron Hubbard, David Miscavige; Geographical Spread: United States, Worldwide; Demographics: 500,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Legal Issues, Criticism; Important Holidays: Anniversary of L. Ron Hubbard's Birth; Representative Symbolism: Sea Org Symbol;" Major Subgroups: Sea Org, Church of Scientology"""
49;" ""Religious Group: Raelism"; Core Beliefs: Extraterrestrial Origin of Life, Science, Peace; Foundational Texts: Intelligent Design, Geniocracy; Divine Entities: Elohim; Key Figures: Claude Vorilhon, Rael; Geographical Spread: France, Worldwide; Demographics: 90,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Persecution; Important Holidays: Raelian New Year; Representative Symbolism: Swastika;" Major Subgroups: Raelian Movement, Raelian Schools"".</s>"
50;"  ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Freedom of Belief; Foundational Texts: Unitarian Universalist Principles; Divine Entities: Various concepts; Key Figures: Ralph Waldo Emerson, Susan B. Anthony; Geographical Spread: United States, Canada; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Membership decline, Financial difficulties; Important Holidays: Winter Solstice, Earth Day; Representative Symbolism: Flaming Chalice;" Major Subgroups: Unitarian Universalist Association, Canadian Unitarian Council"""
51;" ""Religious Group: Neo-Paganism"; Core Beliefs: Nature worship, Polytheism, Reincarnation; Foundational Texts: Various mythologies, Books of Shadows; Divine Entities: Goddesses, Gods; Key Figures: Gerald Gardner, Starhawk; Geographical Spread: Europe, United States; Demographics: 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Misunderstanding; Important Holidays: Eight Sabbats; Representative Symbolism: Triple Moon;" Major Subgroups: Wicca, Druidry"""
52;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Filial Piety, Humaneness; Foundational Texts: Analects, Mencius; Divine Entities: Heaven, Ancestors; Key Figures: Confucius, Mencius; Geographical Spread: China, East Asia; Demographics: 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: State atheism, Modernization; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin Yang;" Major Subgroups: Neo-Confucianism, New Confucianism"""
53;" ""Religious Group: Sikhism"; Core Beliefs: Monotheism, Equality, Service; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar; Key Figures: Guru Nanak Dev Ji, Guru Gobind Singh Ji; Geographical Spread: India, Worldwide; Demographics: 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Stereotypes, Discrimination; Important Holidays: Vaisakhi, Guru Nanak's Birthday; Representative Symbolism: Khanda;" Major Subgroups: Sikh Coalition, Sikh Dharma"""
54;" ""Religious Group: Shinto"; Core Beliefs: Nature worship, Kami spirits, Ancestors; Foundational Texts: Kojiki, Nihon Shoki; Divine Entities: Kami; Key Figures: Amaterasu, Izanagi; Geographical Spread: Japan; Demographics: 110 million adherents; Socioeconomic Status: Varied; Challenges Faced: Shrine closures, State secularization; Important Holidays: New Year, Obon; Representative Symbolism: Torii gate;" Major Subgroups: Inari Shinto, Tenrikyo"""
55;" ""Religious Group: Jainism"; Core Beliefs: Ahimsa, Karma, Reincarnation; Foundational Texts: Agamas, Purvas; Divine Entities: Arihants, Siddhas; Key Figures: Mahavira, Parsvanath; Geographical Spread: India, Worldwide; Demographics: 4.9 million adherents; Socioeconomic Status: Varied; Challenges Faced: Temple desecration, Misunderstanding; Important Holidays: Paryushana; Representative Symbolism: Jina;" Major Subgroups: Digambara, Shwetambara"""
