;Title; Author; Figures of Speech Extensiveness; Use of Synesthesia; Allusion Type; Sentiment Analysis Results; Overall Poem Length; Average Word Count per Stanza; Rare Words List; Spanish Vocabulary Percentage; Noun Gender Parity Score; Enjambments; Disrupted Rhymes; Unusual Syllable Sequences; Special Character Incorporation; Formatted Text Decorative Techniques; Visuo-Local Color Change Frequency; Symbol Density Overlaid Images Opacity Rate; Bilingual Sensory Appeals; Music Type Embeddedness; Free Verse?; Concrete Poem?
25;"""Ode to a Nightingale"""; John Keats; Intensive; None; Mortality, Nature; Melancholic; 64 lines; 11.6; nightingale, joy, death, shadows; 0%; 2.1; 4; 0; 0; Uniform stanzas, varied line lengths; Low; No; No.;;;;
26;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; None; Power, Decay; Reflective; 14 lines; 9.8; Ozymandias, sculptor, desert, legs; 0%; 1.3; 2; 0; 0; Uniform stanza, uniform line lengths; Low; No; No.;;;;
27;"""The Raven"""; Edgar Allan Poe; Intensive; Some; Loss, Madness; Haunting; 108 lines; 10.2; Raven, Nevermore,midnight, darkness; 0%; 2.3; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
28;"""Ode to the West Wind"""; Percy Bysshe Shelley; Extensive; None; Nature, Revolution; Impassioned; 148 lines; 12.1; West Wind, leaves, clouds, volcanoes; 0%; 3.2; 15; 7; 1; Free verse, varied indents; High; Yes; No.;;;;
29;"""My Last Duchess"""; Robert Browning; Intensive; Some; Renaissance Art, Power; Suspicious; 56 lines; 10.5; Duchess, portrait, eyes, draughts; 0%; 1.8; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;</s>;
30;" ""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Some; Modernism, Isolation; Melancholic; 131 lines; 9.5; Prufrock, streets, coffee spoons, evening; 1.5%; 2.1; 6; 2; 1; Free verse, varied line lengths; High; No; No.;;;;
31;"""The Waste Land"""; T.S. Eliot; Extensive; Some; The Bible, Greek Mythology; Disillusioned; 433 lines; 11.3; Waste land, bones, thunder, Shantih; 2.1%; 15; 18; 3; Free verse, varied line lengths; High; Yes; No.;;;;;
32;"""When I Have Fears"""; John Keats; Intensive; None; Mortality, Love; Yearning; 20 lines; 9.3; Fears, stars, sea, darkness; 0%; 1.5; 3; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
33;"""Kubla Khan"""; Samuel Taylor Coleridge; Intensive; Heavy; Orientalism, Dreams; Rapturous; 54 lines; 16.8; Khan, caves, sunny pleasure-dome, fountain; 0%; 4.1; 7; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
34;"""The Tyger"""; William Blake; Intensive; None; Divine, Creation; Awe; 16 lines; 8.1; Tyger, fire, chains, fearful; 0%; 1.3; 4; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
35;"""The Blessed Damozel"""; Dante Gabriel Rossetti; Intensive; Some; Religion, Love; Longing; 102 lines; 9.8; Damozel, stars, angels, goldent hair; 0%; 3.5; 7; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
36;"""The Song of Wandering Aengus"""; William Butler Yeats; Intensive; Some; Celtic Mythology, Love; Enchantment; 48 lines; 10.9; Aengus, net, trout, silver apple tree; 0%; 2.5; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
37;"""The Lake Isle of Innisfree"""; William Butler Yeats; Intensive; Some; Irish Landscape, Solitude; Idyllic; 24 lines; 8.8; Isle, lake, bee-loud glade, blue hills; 0%; 1.1; 3; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
38;"""La Belle Dame Sans Merci"""; John Keats; Intensive; Some; Medieval Romance, Love; Lament; 70 lines; 8.9; Belle Dame, knight, squalid place, poppies; 0%; 2.4; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
39;"""Porphyria's Lover"""; Robert Browning; Intensive; Some; Victorian Society, Obsession; Disturbing; 64 lines; 9.5; Porphyria, hair, brook, hands; 0%; 1.9; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;</s>
40;" ""Among School Children"""; William Butler Yeats; Intensive; Some; Irish Education, Aging; Contemplative; 40 lines; 9.1; Children, teachers, Yeats himself, roses; 0%; 1.5; 4; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
41;"""Ode to a Nightingale"""; John Keats; Intensive; Many; Classical Mythology, Mortality; Reflective; 64 lines; 9.6; Nightingale, flowers, wine, shades; 0%; 2.1; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
42;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Many; Modernism, Alienation; Introspective; 131 lines; 10.3; Prufrock, streets, women, fog; 5%; 2.9; 6; 1; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
43;"""When I Have Fears That I May Cease to Be"""; John Keats; Intensive; Some; Mortality, Love; Melancholic; 20 lines; 8.5; Fears, poet, immortality, love; 0%; 2.5; 5; 0; 0; Uniform quatrains, uniform line lengths; High; No; No.;;;;
44;"""My Last Duchess"""; Robert Browning; Intensive; Some; Italian Nobility, Possession; Ominous; 56 lines; 9.3; Last duchess, Duke, Neuralgic spot; 0%; 2.3; 4; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
45;"""The Rime of the Ancient Mariner"""; Samuel Taylor Coleridge; Intensive; Many; Romanticism, Sin and Atonement; Parable; 143 lines; 12.1; Mariner, albatross, wedding guest, ship; 0%; 3.2; 7; 0; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
46;"""The Tyger"""; William Blake; Intensive; Few; God's Creation, Fear and Wonder; Philosophical; 16 lines; 8.2; Tyger, forests, creator; 0%; 1.8; 4; 0; 0; Uniform quatrains, uniform line lengths; High; No; No.;;;;
47;"""The Waste Land"""; T.S. Eliot; Intensive; Many; Modernism, Despair; Fragmented; 435 lines; 16.7; Waste land, drowned Phoenician Sailor, Tiresias; 7%; 3.5; 8; 2; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
48;"""Ode to the West Wind"""; Percy Bysshe Shelley; Intensive; Many; Nature, Power and Transformation; Epic; 138 lines; 11.5; West wind, leaves, clouds, dead leaves; 0%; 3.1; 6; 0; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
49;"""Kubla Khan"""; Samuel Taylor Coleridge; Intensive; Few; Romanticism, Power and Paradise; Visionary; 54 lines; 9.8; Kubla Khan, Alph, sacred river, caves; 0%; 2.7; 5; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;</s>
50;" ""When I Have Fears"""; John Keats; Intensive; Many; Love and Mortality; Melancholic; 24 lines; 8.2; Stars, sea, sighs, spirits; 0%; 2.3; 2; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
51;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; Few; Power and Decline; Desolate; 14 lines; 7.2; Sands, wreck, pedestal, sculptor; 0%; 2.1; 1; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
52;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Extensive; Many; Modernism, Alienation; Ambiguous; 131 lines; 6.4; Evening, fog, yellow smoke, coffee spoons; 5%; 2.6; 5; 2; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
53;"""The Raven"""; Edgar Allan Poe; Intensive; Few; Grief, Madness; Haunting; 108 lines; 7.9; Lenore, midnight, raven, chamber door; 0%; 2.4; 6; 3; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
54;"""The Tyger"""; William Blake; Intensive; None; God and Creation; Questioning; 16 lines; 6.7; Tyger, fire, forest, chains; 0%; 2.2; 0; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
55;"""Ode to Nightingale"""; John Keats; Intensive; Many; Beauty, Melancholy; Contemplative; 60 lines; 10.2; Nightingale, flowers, wine, joy; 0%; 3.2; 6; 1; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
56;"""The Borderers"""; Samuel Taylor Coleridge; Extensive; Many; Human Passions and Conflict; Dramatic; 506 lines; 8.6; Borderers, mountains, love, deception; 2%; 3.4; 12; 2; 0; Varying stanza lengths, uniform line lengths; High; No; No.;;;;
57;"""To His Coy Mistress"""; Andrew Marvell; Intensive; Few; Love and Time; Amorous; 74 lines; 5.4; Vegetable love, gilded coaches, worms; 0%; 2.8; 3; 1; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
58;"""The Tiger"""; William Blake; Intensive; None; God and Evil; Contrasting; 14 lines; 7.6; Tiger, fire, forest, chains; 0%; 2.2; 0; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
59;"""The Chimney Sweeper"""; William Blake; Intensive; Few; Social Injustice, Innocence; Innocent; 56 lines; 6.1; Chimney sweeper, soot, angels, sky; 0%; 2.1; 1; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;</s>
60;" ""Ode to a Nightingale"""; John Keats; Intensive; Few; Nature, Mortality; Contemplative; 55 lines; 6.5; Nightingale, flowers, wine, shadows; 0%; 2.4; 2; 1; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
61;"""When I Have Fears"""; John Keats; Intensive; None; Love and Mortality; Melancholic; 14 lines; 7.4; Fears, poetry, west, immortality; 0%; 2.6; 0; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
62;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; None; Power and Decay; Reflective; 14 lines; 7.5; Sands, pedestal, sculpture, desert; 0%; 2.3; 0; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
63;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Many; Self, Time, Women; Ambiguous; 131 lines; 6.6; Coffee spoons, evening, fog, yellow smoke; 0.2%; 2.1; 5; 2; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
64;"""My Last Duchess"""; Robert Browning; Intensive; Few; Power, Art, Love; Cynical; 56 lines; 5.3; Duchess, portrait, tapestry, stairs; 0%; 2.7; 3; 2; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
65;"""The Raven"""; Edgar Allan Poe; Intensive; Few; Loss, Despair; Horror; 108 lines; 5.1; Raven, midnight, chamber, heart; 0%; 2.3; 4; 2; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
66;"""The Tyger"""; William Blake; Intensive; None; God and Evil; Contrasting; 12 lines; 6.7; Tyger, fire, forests, chains; 0%; 2.5; 0; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
67;"""The Waste Land"""; T.S. Eliot; Intensive; Many; Civilization, Myth, Culture; Fragmented; 433 lines; 5.3; Wasteland, London, April, bodies; 0.1%; 2.2; 12; 4; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
68;"""Kubla Khan"""; Samuel Taylor Coleridge; Intensive; Few; Power, Imagination, Dream; Visionary; 54 lines; 6.1; Kubla Khan, caves, sunny dome, river; 0%; 2.6; 3; 1; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
69;"""Annabel Lee"""; Edgar Allan Poe; Intensive; None; Love, Loss; Passionate; 35 lines; 5.3; Annabel Lee, sea, kingdom, breeze; 0%; 2.3; 1; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;</s>
70;" ""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Few; Modernity, Self; Introspective; 131 lines; 6.2; Prufrock, women, evening, coffee spoons; 0.8%; 3.1; 6; 2; 1; Variable stanzas, varying line lengths; High; No; No.;;;;
71;"""Ode to a Nightingale"""; John Keats; Intensive; Many; Death, Immortality, Nature; Melancholic; 109 lines; 5.8; Nightingale, flowers, wine, joy; 0.9%; 2.5; 7; 3; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
72;"""The Raven"""; Edgar Allan Poe; Intensive; Few; Loss, Madness; Despairing; 108 lines; 5.1; Raven, nevermore, midnight, Lenore; 0%; 2.8; 4; 1; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
73;"""When I Have Fears That I May Cease to Be"""; John Keats; Intensive; None; Love, Mortality, Beauty; Yearning; 20 lines; 5.5; Fears, poetry, immortality, heart; 0%; 2.4; 2; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;
74;"""The Rime of the Ancient Mariner"""; Samuel Taylor Coleridge; Intensive; Many; Nature, Sin, Redemption; Redemptive; 625 lines; 5.7; Mariner, albatross, water, sun; 0.3%; 2.7; 10; 5; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
75;"""Ode to the West Wind"""; Percy Bysshe Shelley; Intensive; Many; Nature, Revolution, Transience; Inspiring; 143 lines; 6.5; Wind, leaves, clouds, rain; 0.6%; 2.4; 8; 3; 0; Variable stanzas, varying line lengths; High; No; No.;;;;
76;"""Song of Myself"""; Walt Whitman; Extensive; None; Self, Nature, America; Celebratory; 52 sections; 12.9; Body, grass, universe, democracy; 1.1%; 4.8; 15; 5; 1; Free verse, varying line lengths; Low; Yes; No.;;;;
77;"""The Tyger"""; William Blake; Intensive; None; Creation, Divinity, Fear; Provocative; 16 lines; 4.1; Tyger, fire, forest, maker; 0%; 3.0; 1; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
78;"""Do Not Go Gentle into That Good Night"""; Dylan Thomas; Intensive; None; Death, Defiance, Love; Defiant; 19 lines; 4.9; Gentle, night, brightness, grace; 0%; 2.8; 2; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
79;"""My Last Duchess"""; Robert Browning; Intensive; Few; Power, Art, Possession; Manipulative; 56 lines; 5.6; Duchess, portrait, gifts, stairs; 0%; 2.7; 3; 0; 0; Uniform stanzas, uniform line lengths; High; No; No.;;;;</s>
80;" ""The Waste Land"""; T.S. Eliot; Intensive; Few; Modernism, Mythology, Fragmentation; Melancholic; 433 lines; 5.4; Waste, land, April, voices; 2%; 2.6; 32; 4; 6; Varied stanza lengths, varied line lengths; High; No; No.;;;;
81;"""When I Have Fears That I May Cease To Be"""; John Keats; Intensive; None; Love, Mortality, Nature; Contemplative; 14 lines; 3.5; Fears, cease, be, stars; 0%; 3.1; 2; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
82;"""Ode to a Nightingale"""; John Keats; Intensive; Few; Mythology, Mortality, Nature; Melancholic; 64 lines; 5.2; Nightingale, grief, soul, wine; 1%; 2.9; 7; 1; 3; Varied stanza lengths, varied line lengths; High; No; No.;;;;
83;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Many; Modernism, Self, Society; Introspective; 131 lines; 6.0; Love, song, Prufrock, coffee spoons; 0%; 2.5; 16; 2; 0; Varied stanza lengths, varied line lengths; High; No; No.;;;;
84;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; None; Power, Decay, Vanity; Reflective; 14 lines; 3.3; Ozymandias, sculpture, sands, shade; 0%; 3.0; 0; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
85;"""La Belle Dame sans Merci"""; John Keats; Intensive; None; Chivalry, Love, Supernatural; Haunting; 32 lines; 3.7; La Belle Dame, knight, Merci, winds; 0%; 2.7; 2; 0; 1; Uniform stanza, uniform line lengths; High; No; No.;;;;
86;"""Kubla Khan"""; Samuel Taylor Coleridge; Intensive; Many; Mythology, Creativity, Power; Visionary; 54 lines; 4.9; Kubla Khan, pleasure dome, river, sunny dell; 1%; 2.4; 5; 0; 2; Varied stanza lengths, varied line lengths; High; No; No.;;;;
87;"""The Rime of the Ancient Mariner"""; Samuel Taylor Coleridge; Intensive; Few; Nature, Supernatural, Redemption; Parabolical; 625 lines; 5.4; Mariner, albatross, spectres, moon; 0%; 2.2; 23; 3; 1; Varied stanza lengths, varied line lengths; High; No; No.;;;;
88;"""To His Coy Mistress"""; Andrew Marvell; Intensive; None; Love, Time, Mortality; Seductive; 64 lines; 5.1; Coy, mistress, minutes, worm; 0%; 2.8; 8; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
89;"""Resolution and Independence"""; William Wordsworth; Intensive; None; Nature, Poverty, Perseverance; Reflective; 146 lines; 4.6; Resolution, Independence, leech-gatherer, hope; 0%; 2.7; 8; 0; 0; Varied stanza lengths, varied line lengths; High; No; No.;;;;</s>
90;" ""The Tyger"""; William Blake; Intensive; None; Nature, Divine, Creatorship; Awe-struck; 126 lines; 4.5; Tyger, fearful, symmetry, forest; 0%; 2.5; 7; 0; 0; Uniform stanza, varied line lengths; High; No; No.;;;;
91;"""I Wandered Lonely as a Cloud"""; William Wordsworth; Intensive; None; Nature, Beauty, Memory; Contemplative; 182 lines; 4.8; Cloud, daffodils, golden, waves; 0%; 2.3; 6; 0; 0; Uniform stanza, varied line lengths; High; No; No.;;;;
92;"""The Waste Land"""; T.S. Eliot; Intensive; Few; Civilization, Mythology, Redemption; Despairing; 433 lines; 5.1; Waste land, April, Shantih, fragments; 0%; 2.7; 13; 7; 2; Varied stanza, varied line lengths; High; No; No.;;;;
93;"""Ode to a Nightingale"""; John Keats; Intensive; Few; Nature, Mortality, Art; Melancholic; 109 lines; 4.3; Nightingale, joy, melancholy, immortality; 0%; 2.5; 8; 0; 0; Varied stanza, varied line lengths; High; No; No.;;;;
94;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; None; Power, Decay, Vanity; Disdainful; 16 lines; 3.5; Sands, pedestal, traveller, sculptor; 0%; 2.2; 3; 0; 0; Uniform stanza, uniform line lengths; High; No; No.;;;;
95;"""My Last Duchess"""; Robert Browning; Intensive; Few; Power, Love, Jealousy; Condemning; 56 lines; 5.2; Duchess, portrait, smiles, gifts; 0%; 3.1; 9; 0; 0; Uniform stanza, varied line lengths; High; No; No.;;;;
96;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Intensive; Many; Self, Society, Alienation; D doubtful; 131 lines; 4.1; Streets, coffee spoons, evenings, mermaids; 0%; 2.8; 6; 2; 0; Varied stanza, varied line lengths; High; No; No.;;;;
97;"""The Raven"""; Edgar Allan Poe; Intensive; Few; Loss, Love, Despair; Gloomy; 108 lines; 4; Raven, midnight, nevermore, Lenore; 0%; 2.4; 5; 0; 1; Uniform stanza, varied line lengths; High; No; No.;;;;
98;"""Kubla Khan"""; Samuel Taylor Coleridge; Intensive; Many; Creation, Fantasy, Power; Visionary; 54 lines; 4.6; Kubla Khan, Xanadu, caves, sunny dome; 0%; 2.8; 7; 1; 0; Varied stanza, varied line lengths; High; No; No.;;;;
99;"""La Belle Dame sans Merci"""; John Keats; Intensive; None; Love, Beauty, Deception; Lamenting; 64 lines; 4.5; Lady, knight, love, farewell; 0%; 2.7; 6; 0; 0; Varied stanza, varied line lengths; High; No; No.;;;;</s>
100;" ""Ode to a Nightingale"""; John Keats; Intensive; Few; Nature, Mortality, Celebration; Melancholic; 130 lines; 5.2; Nightingale, flowers, joy, poetry; 0%; 2.5; 8; 0; 1; Varied stanza, varied line lengths; High; No; No.;;;;
101;"""Ozymandias"""; Percy Bysshe Shelley; Intensive; Few; Power, Decay, Legacy; Reflective; 14 lines; 3.3; Sands, traveller, sculpture, visible; 0%; 3.2; 3; 0; 0; Short, uniform stanzas; High; No; No.;;;;
102;"""When I Have Fears"""; John Keats; Intensive; Few; Love, Art, Mortality; Longing; 20 lines; 3.3; Fears, poetry, death, heart; 0%; 2.9; 4; 0; 0; Short, uniform stanzas; High; No; No.;;;;
103;"""The Tyger"""; William Blake; Intensive; None; Creation, Fear, Divinity; Inquisitive; 16 lines; 2.2; Tyger, fire, forest, creator; 0%; 3.1; 5; 0; 0; Short, uniform stanzas; High; No; No.;;;;
104;"""Jerusalem"""; William Blake; Intensive; Many; Religion, History, Prophecy; Visionary; 100 lines; 4.3; Jerusalem, Albion, chariot, Emanation; 15%; 2.8; 6; 0; 0; Varied stanza, varied line lengths; High; No; No.;;;;
105;"""Ode to Psyche"""; John Keats; Intensive; Few; Mythology, Nature, Romance; Adoration; 64 lines; 4.2; Psyche, love, shrine, air; 0%; 2.7; 6; 0; 0; Varied stanza, varied line lengths; High; No; No.;;;;
106;"""My Last Duchess"""; Robert Browning; Intensive; Few; Deception, Power, Art; Menace; 56 lines; 4; Duchess, portrait, eyes, stair; 0%; 2.3; 5; 0; 0; Uniform stanza, varied line lengths; High; No; No.;;;;
107;"""The Chimney Sweeper"""; William Blake; Intensive; Few; Social Injustice, Childhood, Innocence; Protest; 32 lines; 2.6; Chimney sweeper, angel, soot, sky; 0%; 2.1; 3; 0; 0; Short, uniform stanzas; High; No; No.;;;;
108;"""The Tiger"""; William Blake; Intensive; None; Creation, Fear, Divinity; Inquisitive; 14 lines; 2.2; Tiger, forest, fear, fire; 0%; 3.2; 4; 0; 0; Short, uniform stanzas; High; No; No.;;;;
109;"""To His Coy Mistress"""; Andrew Marvell; Intensive; Few; Love, Time, Passion; Amorous; 76 lines; 3.9; Mistress, love, minutes, grave; 0%; 2.4; 4; 0; 0; Varied stanza, varied line lengths; High; No; No.;;;;</s>
