;Phylogeny;Conservation Status;Habitat Preferences;Climate Factors;Food Source;Mating System;Predators;Parasites;Symbiotic Relationships;Diseases;Epidemiology;Population Genetics;Phylogeography;Community Ecology
10; Phylogeny: Arthropoda; Conservation Status: Some Species Endangered; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Omnivore; Mating System: Varied; Predators: Birds, Reptiles, and Mammals; Parasites: Bacteria, Viruses, and Protozoans; Symbiotic Relationships: Cleaner Shrimp and Fish; Diseases: Lyme Disease, Dengue Fever; Epidemiology: Vector-borne transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
11;Phylogeny: Mammalia; Conservation Status: Some Species Endangered; Habitat Preferences: Terrestrial, Arboreal, Aquatic; Climate Factors: Varied; Food Source: Herbivore, Carnivore, Omnivore; Mating System: Polygynous, Monogamous; Predators: Carnivores and Humans; Parasites: Fleas, Ticks, and Tapeworms; Symbiotic Relationships: Oxpeckers and Large Mammals; Diseases: Rabies, Influenza; Epidemiology: Animal-to-human transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
12;Phylogeny: Echinodermata; Conservation Status: Not Evaluated; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Sea Stars and Fish; Parasites: Barnacles; Symbiotic Relationships: None; Diseases: Sea Star Wasting Disease; Epidemiology: Unknown; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of marine ecosystems.
13;Phylogeny: Pisces; Conservation Status: Some Species Endangered; Habitat Preferences: Marine and Freshwater; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Varied; Predators: Humans, Sharks, and Seals; Parasites: Trematodes, Cestodes, and Nematodes; Symbiotic Relationships: Remora Fish and Sharks; Diseases: Whirling Disease, Furunculosis; Epidemiology: Aquatic transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of aquatic ecosystems.
14;Phylogeny: Reptilia; Conservation Status: Some Species Endangered; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Carnivore and Herbivore; Mating System: Polygynous; Predators: Humans and Carnivores; Parasites: Ticks, Mites, and Flukes; Symbiotic Relationships: Oxpeckers and Rhinos; Diseases: Salmonella, Leptospirosis; Epidemiology: Animal-to-human transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
15;Phylogeny: Angiospermae; Conservation Status: Some Species Endangered; Habitat Preferences: Terrestrial and Aquatic; Climate Factors: Varied; Food Source: Autotroph; Mating System: Self-pollinating, Cross-pollinating; Predators: Insects and Herbivores; Parasites: Fungi, Viruses, and Bacteria; Symbiotic Relationships: Mycorrhizal Fungi; Diseases: Various plant diseases; Epidemiology: Seed and airborne transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of terrestrial and aquatic ecosystems.
16;Phylogeny: Chordata; Conservation Status: Some Species Endangered; Habitat Preferences: Aquatic and Terrestrial; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore, and Detritivore; Mating System: Varied; Predators: Carnivores and Humans; Parasites: Various parasites specific to taxa; Symbiotic Relationships: Cleaner Fish and Clients; Diseases: Various diseases specific to taxa; Epidemiology: Animal-to-human transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
17;Phylogeny: Annelida; Conservation Status: Not Evaluated; Habitat Preferences: Terrestrial and Aquatic; Climate Factors: Varied; Food Source: Detritivore; Mating System: Varied; Predators: Birds, Fish, and Amphibians; Parasites: Nematodes and Flukes; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
18;Phylogeny: Fungi; Conservation Status: Not Evaluated; Habitat Preferences: Terrestrial and Aquatic; Climate Factors: Varied; Food Source: Saprophyte, Parasite, and Symbiotic; Mating System: Varied; Predators: None; Parasites: None; Symbiotic Relationships: Mycorrhizal Fungi; Diseases: None; Epidemiology: None; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
19;Phylogeny: Protozoa; Conservation Status: Not Evaluated; Habitat Preferences: Varied; Climate Factors: Varied; Food Source: Heterotroph; Mating System: Varied; Predators: Varied; Parasites: Varied; Symbiotic Relationships: None; Diseases: Various diseases specific to taxa; Epidemiology: Water and foodborne transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
20; Phylogeny: Mollusca; Conservation Status: Vulnerable; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore, Filter feeder, and Carnivore; Mating System: Varied; Predators: Birds, Fish, and Mammals; Parasites: Trematodes, Cestodes, and Nematodes; Symbiotic Relationships: None; Diseases: Shell disease and parasitic infections; Epidemiology: Direct contact and waterborne transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
21;Phylogeny: Arthropoda; Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Varied; Parasites: Varied; Symbiotic Relationships: None; Diseases: Various diseases specific to taxa; Epidemiology: Direct contact and environment-mediated transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
22;Phylogeny: Echinodermata; Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Suspension feeder and Carnivore; Mating System: Varied; Predators: Fish, Crustaceans, and Starfish; Parasites: Varied; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
23;Phylogeny: Chordata; Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Varied; Parasites: Varied; Symbiotic Relationships: None; Diseases: Various diseases specific to taxa; Epidemiology: Direct contact, foodborne, and environment-mediated transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
24;Phylogeny: Cnidaria; Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Suspension feeder and Carnivore; Mating System: Varied; Predators: Varied; Parasites: Varied; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
25;Phylogeny: Bryozoa; Conservation Status: Varied; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore, Filter feeder, and Carnivore; Mating System: Varied; Predators: Fish, Crustaceans, and Mollusks; Parasites: Varied; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
26;Phylogeny: Porifera; Conservation Status: Varied; Habitat Preferences: Marine and Freshwater; Climate Factors: Varied; Food Source: Suspension feeder; Mating System: Varied; Predators: Fish, Crustaceans, and Mollusks; Parasites: Varied; Symbiotic Relationships: Symbiotic algae and bacteria; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
27;Phylogeny: Platyhelminthes; Conservation Status: Not Evaluated; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Parasite, and Predator; Mating System: Varied; Predators: Fish, Birds, and Mammals; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: Foodborne transmission; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
28;Phylogeny: Nematoda; Conservation Status: Not Evaluated; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Bacterivore, Omnivore, and Parasite; Mating System: Varied; Predators: Varied; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: Soil-transmitted and foodborne transmission; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
29;Phylogeny: Chordata (Tunicata); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Varied; Predators: Fish, Crustaceans, and Mollusks; Parasites: Varied; Symbiotic Relationships: Symbiotic bacteria; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
30; Phylogeny: Arthropoda (Insecta); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Predator; Mating System: Varied; Predators: Birds, Mammals, and Reptiles; Parasites: Protozoans, Nematodes, and Bacteria; Symbiotic Relationships: Endosymbiotic bacteria; Diseases: Viral, Bacterial, and Fungal; Epidemiology: Multiple transmission routes; Population Genetics: High Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Dominant members of many ecosystems.
31;Phylogeny: Mollusca; Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Predator; Mating System: Varied; Predators: Birds, Mammals, and Fish; Parasites: Trematodes, Cestodes, and Nematodes; Symbiotic Relationships: Symbiotic algae; Diseases: Viral, Bacterial, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
32;Phylogeny: Echinodermata; Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Predator; Mating System: Varied; Predators: Fish and Crustaceans; Parasites: None; Symbiotic Relationships: Symbiotic Bacteria; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
33;Phylogeny: Annelida; Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Predator; Mating System: Varied; Predators: Fish, Birds, and Mammals; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
34;Phylogeny: Chordata (Cephalochordata); Conservation Status: Not Evaluated; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Varied; Predators: Fish and Mammals; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
35;Phylogeny: Chordata (Urochordata); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Varied; Predators: Fish and Mammals; Parasites: None; Symbiotic Relationships: Symbiotic bacteria; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
36;Phylogeny: Chordata (Aves); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Omnivore; Mating System: Polygynous and Monogamous; Predators: Mammals; Parasites: Protozoans, Nematodes, and Trematodes; Symbiotic Relationships: None; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Keystone species in many ecosystems.
37;Phylogeny: Chordata (Mammalia); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Varied; Parasites: Protozoans, Nematodes, Trematodes, and Cestodes; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Keystone species in many ecosystems.
38;Phylogeny: Cnidaria (Scyphozoa); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Varied; Predators: Fish and Turtles; Parasites: None; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
39;Phylogeny: Porifera; Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Unknown; Predators: Fish and Sea turtles; Parasites: None; Symbiotic Relationships: Symbiotic bacteria; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
40; Phylogeny: Echinodermata (Asteroidea); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Sea Otters, Starfish, and Fish; Parasites: None; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
41;Phylogeny: Mollusca (Bivalvia); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Filter feeder and Herbivore; Mating System: Varied; Predators: Fish, Birds, and Humans; Parasites: Trematodes and Nematodes; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Keystone species in many ecosystems.
42;Phylogeny: Arthropoda (Insecta); Conservation Status: Varied; Habitat Preferences: Terrestrial and Freshwater; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Birds, Reptiles, Amphibians, and Arachnids; Parasites: Protozoans, Nematodes, Fungi, and Bacteria; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
43;Phylogeny: Chordata (Actinopterygii); Conservation Status: Varied; Habitat Preferences: Marine and Freshwater; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Fish, Marine mammals, and Birds; Parasites: Protozoans, Nematodes, Trematodes, Cestodes, and Bacteria; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
44;Phylogeny: Chordata (Aves); Conservation Status: Varied; Habitat Preferences: Terrestrial and Freshwater; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Humans and Other Birds; Parasites: Protozoans, Nematodes, Trematodes, Cestodes, and Bacteria; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
45;Phylogeny: Chordata (Reptilia); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Omnivore, and Carnivore; Mating System: Varied; Predators: Humans and Other Animals; Parasites: Protozoans, Nematodes, Trematodes, Cestodes, Bacteria, and Viruses; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
46;Phylogeny: Chordata (Amphibia); Conservation Status: Varied; Habitat Preferences: Terrestrial and Freshwater; Climate Factors: Varied; Food Source: Herbivore, Carnivore, and Insectivore; Mating System: Varied; Predators: Birds, Reptiles, and Fish; Parasites: Protozoans, Nematodes, Trematodes, Cestodes, Bacteria, and Viruses; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, Fungal, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
47;Phylogeny: Echinodermata (Echinoidea); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Herbivore and Carnivore; Mating System: Varied; Predators: Fish and Seastars; Parasites: None; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
48;Phylogeny: Annelida (Polychaeta); Conservation Status: Varied; Habitat Preferences: Marine and Freshwater; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Fish and Crustaceans; Parasites: Nematodes, Trematodes, and Cestodes; Symbiotic Relationships: Microbial symbionts; Diseases: Viral, Bacterial, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
49;Phylogeny: Platyhelminthes (Turbellaria); Conservation Status: N/A; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Carnivore and Omnivore; Mating System: Varied; Predators: Fish, Arthropods, and Amphibians; Parasites: None; Symbiotic Relationships: Bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
50; Phylogeny: Arthropoda (Crustacea); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore, Carnivore, and Omnivore; Mating System: Varied; Predators: Fish, Birds, and Reptiles; Parasites: Barnacles, Protozoans, and Flatworms; Symbiotic Relationships: Algae and Bacteria; Diseases: Fungal and Bacterial; Epidemiology: Multiple transmission routes; Population Genetics: High Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Important members of various ecosystems.
51;Phylogeny: Mollusca (Bivalvia); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater, and Brackish; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Varied; Predators: Fish, Birds, and Starfish; Parasites: Digenea and Cestoda; Symbiotic Relationships: None; Diseases: Viral, Bacterial, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
52;Phylogeny: Echinodermata (Asteroidea); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Fish, Starfish, and Crabs; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
53;Phylogeny: Chordata (Chondrichthyes); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Sharks, Seals, and Humans; Parasites: Isopods and Flatworms; Symbiotic Relationships: None; Diseases: Viral, Bacterial, and Parasitic; Epidemiology: Multiple transmission routes; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
54;Phylogeny: Cnidaria (Anthozoa); Conservation Status: Varied; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Suspension feeder and Carnivore; Mating System: Varied; Predators: Fish and Starfish; Parasites: None; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: N/A; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
55;Phylogeny: Pontarctica (Oligochaeta); Conservation Status: Least Concern; Habitat Preferences: Freshwater and Terrestrial; Climate Factors: Cold temperatures; Food Source: Detritivore and Herbivore; Mating System: Sexual; Predators: Birds, Amphibians, and Arthropods; Parasites: Protozoa, Nematodes, and Trematodes; Symbiotic Relationships: Bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
56;Phylogeny: Protozoa (Ciliates); Conservation Status: N/A; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Bacteria and Other Protozoa; Mating System: Varied; Predators: N/A; Parasites: N/A; Symbiotic Relationships: Endosymbiotic algae; Diseases: None; Epidemiology: N/A; Population Genetics: Low Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Important members of various ecosystems.
57;Phylogeny: Rotifera (Seisonidea); Conservation Status: N/A; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Planktonic organisms; Mating System: Varied; Predators: Fish and Jellyfish; Parasites: Nematodes and Ciliates; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
58;Phylogeny: Nematoda (Secernentea); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Bacteria, and Fungi; Mating System: Seldom sexual; Predators: Birds, Arthropods, and Amphibians; Parasites: N/A; Symbiotic Relationships: Endosymbiotic bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
59;Phylogeny: Echiura (Echiuroidea); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Detritus and Suspension feeder; Mating System: Varied; Predators: Fish and Crustaceans; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
60; Phylogeny: Platyhelminthes (Turbellaria); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Carnivore, Herbivore, and Omnivore; Mating System: Sexual and Asexual; Predators: Birds, Arthropods, and Amphibians; Parasites: Trematodes and Cestodes; Symbiotic Relationships: None; Diseases: Schistosomiasis and Echinococcosis; Epidemiology: Found in diverse habitats, can cause diseases in humans and animals; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
