;Artist Birthplace; Year of birth; Deathyear; Ethnicity; Religion; Training/School; Major Works/Exhibitions; Influenced; Influential on; Career Highlights; Preferred Medias; Themes
11; Artist Birthplace: New York, USA; Year of birth: 1928; Deathyear: 2019; Ethnicity: American; Religion: Agnostic; Training/School: The Cooper Union, Yale University; Major Works/Exhibitions: Flag, Orange, Red, Yellow; Influenced: Ellsworth Kelly, Frank Stella; Influential on: Gerhard Richter, Julie Mehretu; Career Highlights: One of the most influential artists of the late 20th century; Preferred Medias: Oil on canvas; Themes: Perception, color, form.
12; Artist Birthplace: Florence, Italy; Year of birth: 1475; Deathyear: 1564; Ethnicity: Italian; Religion: Catholic; Training/School: Workshop of Andrea del Verrocchio; Major Works/Exhibitions: The Birth of Venus, Primavera; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Jean-Auguste-Dominique Ingres, Gustav Klimt; Career Highlights: Helped define the High Renaissance style; Preferred Medias: Tempera on panel; Themes: Mythology, beauty, the female form.
13; Artist Birthplace: Amsterdam, Netherlands; Year of birth: 1606; Deathyear: 1669; Ethnicity: Dutch; Religion: Protestant; Training/School: Studio of Rembrandt; Major Works/Exhibitions: The Night Watch, Self-Portrait as the Apostle Paul; Influenced: Joshua Reynolds, Francisco Goya; Influential on: John Singer Sargent, Élisabeth Vigée Le Brun; Career Highlights: Master of the Dutch Golden Age of painting; Preferred Medias: Oil on canvas; Themes: Portraiture, genre scenes, history painting.
14; Artist Birthplace: Vienna, Austria; Year of birth: 1862; Deathyear: 1939; Ethnicity: Austrian; Religion: Jewish; Training/School: Kunstgewerbeschule; Major Works/Exhibitions: The Kiss, The Three Ages of Woman; Influenced: Pablo Picasso, Henri Matisse; Influential on: Max Ernst, Yayoi Kusama; Career Highlights: Co-founded the Vienna Secession; Preferred Medias: Paintings, frescoes, drawings; Themes: Love, human development, psychology.
15; Artist Birthplace: Mumbai, India; Year of birth: 1875; Deathyear: 1941; Ethnicity: Indian; Religion: Hindu; Training/School: Sir J.J. School of Art; Major Works/Exhibitions: Dandi March, The Pickers of Cotton; Influenced: Frida Kahlo, Diego Rivera; Influential on: M.F. Husain, Tyeb Mehta; Career Highlights: Pioneered modern Indian art and nationalist themes; Preferred Medias: Watercolor, oil, lithography; Themes: Nationalism, rural life, social justice.
16; Artist Birthplace: Mexico City, Mexico; Year of birth: 1907; Deathyear: 1970; Ethnicity: Mexican; Religion: Catholic; Training/School: La Esmeralda; Major Works/Exhibitions: The Dream, The Nightmare; Influenced: Salvador Dalí, Joan Miró; Influential on: Graciela Iturbide, Kati Horna; Career Highlights: Important Surrealist artist; Preferred Medias: Oil on canvas, lithography, etching; Themes: Mythology, dreams, the subconscious.
17; Artist Birthplace: Tokyo, Japan; Year of birth: 1876; Deathyear: 1956; Ethnicity: Japanese; Religion: Buddhist; Training/School: Tokyo Fine Arts School; Major Works/Exhibitions: The Great Wave, Red Fuji; Influenced: Georgia O'Keeffe, Mark Rothko; Influential on: David Hockney, Roy Lichtenstein; Career Highlights: Pioneered modern Japanese art; Preferred Medias: Woodblock prints, paintings; Themes: Nature, landscapes, traditional Japanese themes.
18; Artist Birthplace: St. Petersburg, Russia; Year of birth: 1904; Deathyear: 1988; Ethnicity: Russian; Religion: Atheist; Training/School: Vkhutemas; Major Works/Exhibitions: Black Square, Suprematist Composition; Influenced: Yves Klein, Ellsworth Kelly; Influential on: Frank Stella, Bridget Riley; Career Highlights: Foundational figure in 20th-century abstract art; Preferred Medias: Painting, design, printmaking; Themes: Pure geometric form, abstraction, materiality.
19; Artist Birthplace: Ottawa, Canada; Year of birth: 1930; Deathyear: 2007; Ethnicity: Canadian; Religion: Anglican; Training/School: University of British Columbia; Major Works/Exhibitions: Composition VII (White), Composition VIII (Black); Influenced: Agnes Martin, Robert Ryman; Influential on: Christopher Wool, Richard Aldrich; Career Highlights: Developed hard-edge abstract painting in Canada; Preferred Medias: Oil on canvas, prints; Themes: Optical illusions, form, line.</s>
20;  Artist Birthplace: Beijing, China; Year of birth: 1911; Deathyear: 2003; Ethnicity: Chinese; Religion: Confucianist; Training/School: Lu Xun Academy of Fine Arts; Major Works/Exhibitions: Along the River During the Qingming Festival, The Twelve Beauties of Jinling; Influenced: Ai Weiwei, Zhang Xiaogang; Influential on: David Diao, Hung Liu; Career Highlights: Pioneered modern Chinese painting; Preferred Medias: Ink and watercolor, oil painting; Themes: Chinese culture, society, landscapes.
21; Artist Birthplace: Mexico City, Mexico; Year of birth: 1907; Deathyear: 1954; Ethnicity: Mexican; Religion: Catholic; Training/School: San Carlos Academy of Fine Arts; Major Works/Exhibitions: The Temptation of St. Anthony, The Dream of a Sunday Afternoon in Alameda Park; Influenced: Salvador Dalí, Jean Dubuffet; Influential on: Francisco Toledo, José Luis Cuevas; Career Highlights: Major figure in Mexican Surrealism; Preferred Medias: Oil painting, lithography; Themes: Mexican history, mythology, surrealism.
22; Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1903; Ethnicity: French; Religion: Agnostic; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Scream, Madonna; Influenced: Edvard Munch, Ernst Ludwig Kirchner; Influential on: Jackson Pollock, Willem de Kooning; Career Highlights: Pioneered expressionist movement; Preferred Medias: Painting, printmaking, pastels; Themes: Human emotion, anxiety, contemporary life.
23; Artist Birthplace: New York, USA; Year of birth: 1928; Deathyear: 2019; Ethnicity: American; Religion: Jewish; Training/School: Cooper Union; Major Works/Exhibitions: Flag, Eat; Influenced: Barbara Kruger, Jenny Holzer; Influential on: Damien Hirst, Takashi Murakami; Career Highlights: Major figure in American pop art; Preferred Medias: Painting, assemblage; Themes: Consumerism, politics, sexuality.
24; Artist Birthplace: Barcelona, Spain; Year of birth: 1904; Deathyear: 1989; Ethnicity: Spanish; Religion: Catholic; Training/School: Real Academia de Bellas Artes de San Fernando; Major Works/Exhibitions: Guernica, The Weeping Woman; Influenced: Francis Bacon, Lucian Freud; Influential on: Gerhard Richter, Anselm Kiefer; Career Highlights: Leading figure in 20th-century art; Preferred Medias: Painting, printmaking; Themes: Politics, war, human condition.
25; Artist Birthplace: Florence, Italy; Year of birth: 1475; Deathyear: 1564; Ethnicity: Italian; Religion: Catholic; Training/School: Workshop of Andrea del Verrocchio; Major Works/Exhibitions: The Birth of Venus, Mona Lisa; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Rembrandt van Rijn, Jean Auguste Dominique Ingres; Career Highlights: Defined Renaissance Master; Preferred Medias: Fresco, oil painting; Themes: Mythology, religion, portrait.
26; Artist Birthplace: Amsterdam, Netherlands; Year of birth: 1606; Deathyear: 1669; Ethnicity: Dutch; Religion: Protestant; Training/School: Workshop of Peter Paul Rubens; Major Works/Exhibitions: The Night Watch, The Syndics of the Drapers' Guild; Influenced: Jean-Antoine Watteau, Thomas Gainsborough; Influential on: John Singer Sargent, James Abbott McNeill Whistler; Career Highlights: Influential Dutch Golden Age Painter; Preferred Medias: Oil painting; Themes: History, portrait, still life.
27; Artist Birthplace: Vienna, Austria; Year of birth: 1867; Deathyear: 1918; Ethnicity: Austrian; Religion: Atheist; Training/School: Vienna Academy of Fine Arts; Major Works/Exhibitions: The Kiss, The Tower of Babel; Influenced: Marcel Duchamp, Max Ernst; Influential on: Mark Rothko, Jackson Pollock; Career Highlights: Foundational figure in expressionism; Preferred Medias: Painting, sculpture; Themes: Human condition, sexuality, spirituality.
28; Artist Birthplace: Edinburgh, Scotland; Year of birth: 1725; Deathyear: 1807; Ethnicity: Scottish; Religion: Presbyterian; Training/School: Self-taught; Major Works/Exhibitions: Old College Edinburgh; Influenced: John Soane, William Playfair; Influential on: Charles Bulfinch, Alexander Jackson Davis; Career Highlights: Influential architect of Neoclassicism in Scotland; Preferred Medias: Architecture, landscape design; Themes: Ancient Greece, Rome, Enlightenment values.
29; Artist Birthplace: Athens, Greece; Year of birth: 480 BC; Deathyear: 406 BC; Ethnicity: Greek; Religion: Ancient Greek; Training/School: Workshop of his father; Major Works/Exhibitions: Parthenon, Temple of Hephaestus; Influenced: Roman architects, early Christian architects; Influential on: Renaissance architects, Neoclassical architects; Career Highlights: Defined classical Greek architecture; Preferred Medias: Architecture; Themes: Ancient Greek mythology, religion.</s>
30;  Artist Birthplace: Barcelona, Spain; Year of birth: 1883; Deathyear: 1950; Ethnicity: Spanish; Religion: Roman Catholic; Training/School: Barcelona School of Fine Arts; Major Works/Exhibitions: Sagrada Familia, Park Güell; Influenced: Zaha Hadid, Santiago Calatrava; Influential on: Frank Gehry, Norman Foster; Career Highlights: Pioneer of Catalan Modernism; Preferred Medias: Architecture, sculpture; Themes: Nature, religion.
31; Artist Birthplace: New York, USA; Year of birth: 1928; Deathyear: 2019; Ethnicity: American; Religion: Agnostic; Training/School: Black Mountain College, Philadelphia Museum School of Art; Major Works/Exhibitions: Flag, Needle; Influenced: Yoko Ono, Felix Gonzalez-Torres; Influential on: Barbara Kruger, Cindy Sherman; Career Highlights: Key figure in American conceptual art; Preferred Medias: Painting, sculpture; Themes: Politics, gender, identity.
32; Artist Birthplace: Philadelphia, USA; Year of birth: 1840; Deathyear: 1917; Ethnicity: American; Religion: Quaker; Training/School: Pennsylvania Academy of the Fine Arts; Major Works/Exhibitions: Centennial Exhibition, 1876; Influenced: Cecilia Beaux, William Merritt Chase; Influential on: John Singer Sargent, Daniel Chester French; Career Highlights: Renowned portrait painter of Gilded Age; Preferred Medias: Painting; Themes: Wealth, power, social status.
33; Artist Birthplace: Coyoacán, Mexico; Year of birth: 1907; Deathyear: 1954; Ethnicity: Mexican; Religion: Roman Catholic; Training/School: National Autonomous University of Mexico; Major Works/Exhibitions: The Dream, The Persistence of Memory; Influenced: René Magritte, Salvador Dalí; Influential on: Jean-Michel Basquiat, Francis Bacon; Career Highlights: Pioneer of surrealism; Preferred Medias: Painting; Themes: Time, memory, dreams.
34; Artist Birthplace: Florence, Italy; Year of birth: 1475; Deathyear: 1564; Ethnicity: Italian; Religion: Roman Catholic; Training/School: Workshop of Verrocchio; Major Works/Exhibitions: David, The Birth of Venus; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Michelangelo, Raphael; Career Highlights: Influential Renaissance artist; Preferred Medias: Sculpture, painting; Themes: Mythology, beauty, religion.
35; Artist Birthplace: Mumbai, India; Year of birth: 1869; Deathyear: 1906; Ethnicity: Indian; Religion: Hinduism; Training/School: Sir J.J. School of Art; Major Works/Exhibitions: Waterfall, Lady in White; Influenced: Frida Kahlo, Diego Rivera; Influential on: Amrita Sher-Gil, M.F. Husain; Career Highlights: Pioneer of modern Indian art; Preferred Medias: Painting; Themes: Nature, colonialism, identity.
36; Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1903; Ethnicity: French; Religion: Roman Catholic; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Thinker, The Sudden Gust of Wind; Influenced: Constantin Brancusi, Pablo Picasso; Influential on: Henry Moore, Jacques Lipchitz; Career Highlights: Leading French sculptor of the late 19th century; Preferred Medias: Sculpture, drawing; Themes: Human condition, labor, nature.
37; Artist Birthplace: Cincinnati, USA; Year of birth: 1907; Deathyear: 1999; Ethnicity: American; Religion: Protestant; Training/School: Art Institute of Chicago; Major Works/Exhibitions: American Gothic, Young Corn; Influenced: Jasper Johns, Andy Warhol; Influential on: Chuck Close, Julian Schnabel; Career Highlights: Iconic American Regionalist; Preferred Medias: Painting; Themes: Rural life, American identity, social commentary.
38; Artist Birthplace: Brussels, Belgium; Year of birth: 1832; Deathyear: 1900; Ethnicity: Belgian; Religion: Roman Catholic; Training/School: Académie Royale des Beaux-Arts; Major Works/Exhibitions: The Enigma of William Tell, The Scream; Influenced: Edward Munch, James Ensor; Influential on: Max Ernst, Salvador Dalí; Career Highlights: Pioneer of expressionism and symbolism; Preferred Medias: Painting, printmaking; Themes: Human psychology, mythology, literature.
39; Artist Birthplace: Hastings, England; Year of birth: 1770; Deathyear: 1844; Ethnicity: English; Religion: Anglican; Training/School: Royal Academy; Major Works/Exhibitions: The Battle of Trafalgar, The Fighting Temeraire; Influenced: J.M.W. Turner, Caspar David Friedrich; Influential on: Winslow Homer, Thomas Cole; Career Highlights: Preeminent British Romantic painter; Preferred Medias: Painting; Themes: Marine subjects, history painting, the sublime.</s>
40;  Artist Birthplace: Cordoba, Spain; Year of birth: 1931; Deathyear: 2013; Ethnicity: Spanish; Religion: Catholic; Training/School: San Fernando Academy of Fine Arts; Major Works/Exhibitions: Ladies of Amarcord, The Garden of Earthly Delights revisited; Influenced: Francesco Clemente, Julian Schnabel; Influential on: Marlene Dumas, Julie Mehretu; Career Highlights: Renowned for figurative and surrealist paintings; Preferred Medias: Painting; Themes: Memory, desire, transience.
41; Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1903; Ethnicity: French; Religion: Agnostic; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Starry Night, Self-Portrait with Bandaged Ear; Influenced: Max Ernst, Vincent van Gogh; Influential on: Jackson Pollock, Mark Rothko; Career Highlights: Pioneer of post-impressionist style; Preferred Medias: Painting; Themes: The human psyche, nature, landscapes.
42; Artist Birthplace: Kyoto, Japan; Year of birth: 1760; Deathyear: 1818; Ethnicity: Japanese; Religion: Shinto; Training/School: Kano School; Major Works/Exhibitions: Bamboo Grove, The Great Wave off Kanagawa; Influenced: Utagawa Hiroshige, Katsushika Hokusai; Influential on: Vincent van Gogh, Claude Monet; Career Highlights: Master of ukiyo-e woodblock prints; Preferred Medias: Printmaking; Themes: Landscapes, nature, water.
43; Artist Birthplace: Nuremberg, Germany; Year of birth: 1471; Deathyear: 1528; Ethnicity: German; Religion: Protestant; Training/School: Workshop of Michael Wolgemut; Major Works/Exhibitions: Small Courtesan, The Knight, Death, and the Devil; Influenced: Hans Holbein the Younger, Albrecht Altdorfer; Influential on: Lucas Cranach the Elder, Matthias Grünewald; Career Highlights: Pioneer of German Renaissance art; Preferred Medias: Painting, printmaking; Themes: Religious iconography, portraiture, allegory.
44; Artist Birthplace: Guangdong, China; Year of birth: 1887; Deathyear: 1973; Ethnicity: Chinese; Religion: Buddhist; Training/School: Lingnan School; Major Works/Exhibitions: Ten Thousand Miles of the Yangtze River, Southern Mountain; Influenced: Zhang Daqian, Lin Fengmian; Influential on: Wu Guanzhong, Zhou Chunya; Career Highlights: Renowned Chinese modernist painter; Preferred Medias: Painting; Themes: Landscapes, Chinese culture, modernity.
45; Artist Birthplace: Naples, Italy; Year of birth: 1656; Deathyear: 1734; Ethnicity: Italian; Religion: Catholic; Training/School: Workshop of Francesco Solimena; Major Works/Exhibitions: The Election of St. Genarius, The Marriage of St. Catherine; Influenced: Giacomo Del Po, Corrado Giaquinto; Influential on: François Boucher, Giovanni Battista Tiepolo; Career Highlights: Pioneer of late Baroque painting; Preferred Medias: Painting; Themes: Religious scenes, mythology, history.
46; Artist Birthplace: Edinburgh, Scotland; Year of birth: 1780; Deathyear: 1851; Ethnicity: Scottish; Religion: Presbyterian; Training/School: Trustees' Academy; Major Works/Exhibitions: Modern Athens, The Skating Minister; Influenced: William Dyce, John Everett Millais; Influential on: Thomas Joshua Cooper, Richard Gorman; Career Highlights: Leading figure in the Scottish Enlightenment; Preferred Medias: Painting; Themes: Industrial society, the sublime, classical subjects.
47; Artist Birthplace: Boston, USA; Year of birth: 1866; Deathyear: 1941; Ethnicity: American; Religion: Unitarian; Training/School: Museum of Fine Arts, Boston; Major Works/Exhibitions: Westward the Course of Empire Takes Its Way, The Art of Drawing and Painting; Influenced: Norman Rockwell, Maxfield Parrish; Influential on: N.C. Wyeth, Charles Schulz; Career Highlights: American muralist and illustrator; Preferred Medias: Painting; Themes: American history, identity, progress.
48; Artist Birthplace: Madrid, Spain; Year of birth: 1881; Deathyear: 1976; Ethnicity: Spanish; Religion: Catholic; Training/School: Real Academia de Bellas Artes de San Fernando; Major Works/Exhibitions: Guernica, The Weeping Woman; Influenced: Francis Bacon, Frank Auerbach; Influential on: Jenny Saville, Gerhard Richter; Career Highlights: Traumatic imagery during the Spanish Civil War; Preferred Medias: Painting; Themes: War, anguish, suffering.
49; Artist Birthplace: Rio de Janeiro, Brazil; Year of birth: 1931; Deathyear: 2014; Ethnicity: Brazilian; Religion: Spiritist; Training/School: National School of Fine Arts in Rio de Janeiro; Major Works/Exhibitions: Neo-concrete Manifesto, Marries Woman; Influenced: Lygia Clark, Hélio Oiticica; Influential on: Olafur Eliasson, Ernesto Neto; Career Highlights: Pioneer of neo-concrete art in Brazil; Preferred Medias: Sculpture, installation; Themes: Sensory perception, space, body.</s>
50;  Artist Birthplace: Hangzhou, China; Year of birth: 1880; Deathyear: 1957; Ethnicity: Chinese; Religion: Buddhist; Training/School: Shanghai Art School; Major Works/Exhibitions: Along the River During the Qingming Festival, Ten Scrolls of a Landscape; Influenced: Zhang Daqian, Liu Haisu; Influential on: Wu Guanzhong, Yang Shaobin; Career Highlights: Traditional Chinese painting master; Preferred Medias: Ink wash painting; Themes: Landscape, nature, tradition.
51; Artist Birthplace: New York, USA; Year of birth: 1928; Deathyear: 2018; Ethnicity: American; Religion: Agnostic; Training/School: Black Mountain College; Major Works/Exhibitions: Flag, Eat; Influenced: Jenny Holzer, Barbara Kruger; Influential on: Ai Weiwei, Banksy; Career Highlights: Pioneer of pop art and appropriation; Preferred Medias: Painting, sculpture, printmaking, conceptual art; Themes: American culture, consumerism, politics.
52; Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1919; Ethnicity: French; Religion: Atheist; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Dance, The Kiss; Influenced: Henri Matisse, Pablo Picasso; Influential on: Edward Hopper, Jeff Koons; Career Highlights: Symbolist and post-impressionist painter; Preferred Medias: Painting; Themes: Sensuality, aesthetics, beauty.
53; Artist Birthplace: Copenhagen, Denmark; Year of birth: 1839; Deathyear: 1925; Ethnicity: Danish; Religion: Lutheran; Training/School: Royal Danish Academy of Fine Arts; Major Works/Exhibitions: The Little Mermaid, The Thinker; Influenced: Auguste Rodin, Antoine Bourdelle; Influential on: Henry Moore, Alberto Giacometti; Career Highlights: Pioneer of modern sculpture; Preferred Medias: Sculpture; Themes: Mythology, humanity, nature.
54; Artist Birthplace: Ottawa, Canada; Year of birth: 1904; Deathyear: 1986; Ethnicity: Canadian; Religion: Anglican; Training/School: Royal Canadian Academy of Arts; Major Works/Exhibitions: The Fiddle Player, The Iceberg; Influenced: Jean-Paul Riopelle, Alex Colville; Influential on: David Milne, Christopher Pratt; Career Highlights: Established Group of Seven; Preferred Medias: Painting; Themes: Canadian landscape, wilderness.
55; Artist Birthplace: Mexico City, Mexico; Year of birth: 1907; Deathyear: 1978; Ethnicity: Mexican; Religion: Spiritualist; Training/School: Academy of San Carlos; Major Works/Exhibitions: The Dream, The Two Fridas; Influenced: Frida Kahlo, Diego Rivera; Influential on: Judy Chicago, Cindy Sherman; Career Highlights: Major figure in Mexican modern art; Preferred Medias: Painting; Themes: Identity, gender, politics, symbolism.
56; Artist Birthplace: Tokyo, Japan; Year of birth: 1862; Deathyear: 1935; Ethnicity: Japanese; Religion: Shinto; Training/School: Tokyo Fine Arts School; Major Works/Exhibitions: The Great Wave off Kanagawa, Red Fuji; Influenced: Yokoyama Taikan, Hiroshige II; Influential on: Katsushika Hokusai, Marc Chagall; Career Highlights: Pioneer of ukiyo-e; Preferred Medias: Woodblock prints; Themes: Nature, transience, landscape.
57; Artist Birthplace: Moscow, Russia; Year of birth: 1872; Deathyear: 1934; Ethnicity: Russian; Religion: Russian Orthodox; Training/School: Imperial Academy of Arts; Major Works/Exhibitions: The Ninth Wave, The Raft of the Medusa; Influenced: Pavel Filonov, Kazimir Malevich; Influential on: Jasper Johns, Robert Rauschenberg; Career Highlights: Major figure in Russian realism; Preferred Medias: Painting; Themes: Seascape, history, salvation.
58; Artist Birthplace: Tehran, Iran; Year of birth: 1974; Deathyear: -; Ethnicity: Iranian; Religion: Muslim; Training/School: Central Saint Martins; Major Works/Exhibitions: My House, My Tent; Influenced: Shirin Neshat, Mona Hatoum; Influential on: Iranian contemporary art; Career Highlights: Conceptual artist and filmmaker; Preferred Medias: Performance, installation, film; Themes: Identity, memory, displacement.
59; Artist Birthplace: Sydney, Australia; Year of birth: 1922; Deathyear: 2016; Ethnicity: Australian; Religion: Anglican; Training/School: East Sydney Technical College; Major Works/Exhibitions: Blue Poles, Nude Descending a Staircase; Influenced: Namatjira, Fred Williams; Influential on: Brett Whitely, John Olsen; Career Highlights: Established abstract expressionism in Australia; Preferred Medias: Painting; Themes: Landscape, color, form.</s>
60;  Artist Birthplace: Paris, France; Year of birth: 1848; Deathyear: 1903; Ethnicity: French; Religion: Atheist; Training/School: École des Beaux-Arts; Major Works/Exhibitions: Starry Night, The Scream; Influenced: Wassily Kandinsky, Marc Chagall; Influential on: Jackson Pollock, Mark Rothko; Career Highlights: Pioneer of Symbolism and Expressionism; Preferred Medias: Painting; Themes: Landscape, emotion, dreams.
61; Artist Birthplace: Mexico City, Mexico; Year of birth: 1907; Deathyear: 1954; Ethnicity: Mexican; Religion: Roman Catholic; Training/School: San Carlos Academy of Fine Arts; Major Works/Exhibitions: The Two Fridas, The Dream; Influenced: Frida Kahlo, Diego Rivera; Influential on: Cindy Sherman, Kara Walker; Career Highlights: Feminist icon and surrealist painter; Preferred Medias: Painting; Themes: Identity, Mexican culture, self-portrait.
62; Artist Birthplace: New York, USA; Year of birth: 1930; Deathyear: -; Ethnicity: American; Religion: Jewish; Training/School: Cooper Union; Major Works/Exhibitions: Campbell's Soup Cans, Marilyn Diptych; Influenced: Jeff Koons, Damien Hirst; Influential on: Pop art, Appropriation art; Career Highlights: Pioneer of Pop Art movement; Preferred Medias: Painting, silkscreen; Themes: Consumerism, popular culture, mass media.
63; Artist Birthplace: Beijing, China; Year of birth: 1962; Deathyear: -; Ethnicity: Chinese; Religion: Buddhist; Training/School: Central Academy of Fine Arts; Major Works/Exhibitions: Untitled (House), Sunflower Seeds; Influenced: Ai Weiwei, Cai Guo-Qiang; Influential on: Chinese contemporary art; Career Highlights: Conceptual artist and activist; Preferred Medias: Installation, sculpture; Themes: Politics, memory, labor.
64; Artist Birthplace: Cape Town, South Africa; Year of birth: 1934; Deathyear: 2018; Ethnicity: South African; Religion: Christian; Training/School: Michaelis School of Fine Art; Major Works/Exhibitions: The Burghers of Calais, Disa; Influenced: Marlene Dumas, William Kentridge; Influential on: South African contemporary art; Career Highlights: Sculptor and human rights activist; Preferred Medias: Sculpture; Themes: Political injustice, identity, memory.
