query_table,data_lake_table,unionable,intent_col_name
World History_31X8LNYS.csv,World History_6THJ11FG.csv,1, Events
World History_31X8LNYS.csv,World History_B210B5UQ.csv,0,
Art History_XEJNANHA.csv,Art History_SXBOJL3H.csv,1, Cubism
Art History_XEJNANHA.csv,Art History_IBNXV4SS.csv,0,
Art History_XEJNANHA.csv,Art History_8TKYJIOU.csv,1, Piece of Work
Art History_XEJNANHA.csv,Art History_X0CIBZEE.csv,0,
Art History_XEJNANHA.csv,Art History_1TWFP2X7.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_U2NXS4FL.csv,0,
Art History_XEJNANHA.csv,Art History_2ZL01LP3.csv,1, Art Movement
Art History_XEJNANHA.csv,Art History_F4NSA23A.csv,0,
Art History_XEJNANHA.csv,Art History_14F5O8ZR.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_AQZ7Z2GQ.csv,0,
Art History_XEJNANHA.csv,Art History_CEQT8VH7.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_S7I7N8G0.csv,0,
Art History_XEJNANHA.csv,Art History_2XIKHHYZ.csv,1, Art Movement
Art History_XEJNANHA.csv,Art History_W40N456U.csv,0,
Art History_XEJNANHA.csv,Art History_J5DNBW4Z.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_ZAXCHARS.csv,0,
Art History_XEJNANHA.csv,Art History_KV01J2J7.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_2WY15YOM.csv,0,
Art History_XEJNANHA.csv,Art History_COFLXDLO.csv,1, Picasso
Art History_XEJNANHA.csv,Art History_SW03D791.csv,0,
Science_KWASAIE1.csv,Science_OZ9O3MVG.csv,1, Atom
Science_KWASAIE1.csv,Science_UQB7CMXF.csv,0,
Science_KWASAIE1.csv,Science_4WPCT9EA.csv,1, Atom
Science_KWASAIE1.csv,Science_0532HFFP.csv,0,
Science_KWASAIE1.csv,Science_E19ZCLP5.csv,1, Atom
Science_KWASAIE1.csv,Science_WU1G9S8M.csv,0,
Science_KWASAIE1.csv,Science_ROBHGL0P.csv,1, Atom
Science_KWASAIE1.csv,Science_861DHYRH.csv,0,
Science_KWASAIE1.csv,Science_OPE7TUOX.csv,1, Atom
Science_KWASAIE1.csv,Science_A96UXBIZ.csv,0,
Science_KWASAIE1.csv,Science_N5NPIOYW.csv,1, Atom
Science_KWASAIE1.csv,Science_B7W53TAO.csv,0,
Science_KWASAIE1.csv,Science_FQIZMUSY.csv,1, Atom
Science_KWASAIE1.csv,Science_V2OQWKTB.csv,0,
Science_KWASAIE1.csv,Science_B5DBPCAO.csv,1, Atom
Science_KWASAIE1.csv,Science_1IN21JWT.csv,0,
Science_KWASAIE1.csv,Science_A0Q883CH.csv,1, Atom
Science_KWASAIE1.csv,Science_I6JFVPLP.csv,0,
Science_KWASAIE1.csv,Science_F1G3JCQV.csv,1, Atom
Science_KWASAIE1.csv,Science_5FWSJ3P6.csv,0,
Technology_T7S94C89.csv,Technology_QC3ZHZW5.csv,1, Tech
Technology_T7S94C89.csv,Technology_QSN77VYQ.csv,0,
Technology_T7S94C89.csv,Technology_8WKJVADJ.csv,1, Tech
Technology_T7S94C89.csv,Technology_U5Z1KAJC.csv,0,
Technology_T7S94C89.csv,Technology_QME91RL7.csv,1, Tech
Technology_T7S94C89.csv,Technology_H68Y1RTS.csv,0,
Technology_T7S94C89.csv,Technology_879UVM1J.csv,1, Tech
Technology_T7S94C89.csv,Technology_YX3C90OB.csv,0,
Technology_T7S94C89.csv,Technology_W5BPPRL0.csv,1, Tech
Technology_T7S94C89.csv,Technology_6GMK2E1Z.csv,0,
Technology_T7S94C89.csv,Technology_FTB5AQMZ.csv,1, Tech
Technology_T7S94C89.csv,Technology_C3WIRUBZ.csv,0,
Technology_T7S94C89.csv,Technology_XAEMH84C.csv,1, Tech
Technology_T7S94C89.csv,Technology_R0JJZT6D.csv,0,
Technology_T7S94C89.csv,Technology_7C9YLWFF.csv,1, Feature
Technology_T7S94C89.csv,Technology_UQQ73J29.csv,0,
Technology_T7S94C89.csv,Technology_UEM3P37K.csv,1, Tech
Technology_T7S94C89.csv,Technology_D8F7VAFG.csv,0,
Technology_T7S94C89.csv,Technology_Y6XHIUBL.csv,1, Tech
Technology_T7S94C89.csv,Technology_MC0DTYDK.csv,0,
Economics_30LB3QMY.csv,Economics_EWGHBWBL.csv,1, Supply & Demand
Economics_30LB3QMY.csv,Economics_U3954FD8.csv,0,
Economics_30LB3QMY.csv,Economics_FVWG4CJ7.csv,1, Supply
Economics_30LB3QMY.csv,Economics_K9JKLKPV.csv,0,
Economics_30LB3QMY.csv,Economics_OPSVKPWO.csv,1, Supply
Economics_30LB3QMY.csv,Economics_IYAKAYLJ.csv,0,
Economics_30LB3QMY.csv,Economics_CDHJJYB0.csv,1, Supply
Economics_30LB3QMY.csv,Economics_PIX6N8ZE.csv,0,
Economics_30LB3QMY.csv,Economics_11P4YOZP.csv,1, Competition
Economics_30LB3QMY.csv,Economics_QR7X8B4P.csv,0,
Economics_30LB3QMY.csv,Economics_8DJZB0Z1.csv,1, Supply
Economics_30LB3QMY.csv,Economics_KKV40KS6.csv,0,
Economics_30LB3QMY.csv,Economics_7DMQLUSY.csv,1, Supply
Economics_30LB3QMY.csv,Economics_0RYNWIIH.csv,0,
Economics_30LB3QMY.csv,Economics_3EE189IK.csv,1, Supply
Economics_30LB3QMY.csv,Economics_7I5WSVH0.csv,0,
Economics_30LB3QMY.csv,Economics_8JY9TPYW.csv,1, Supply
Economics_30LB3QMY.csv,Economics_0GJJA7GN.csv,0,
Economics_30LB3QMY.csv,Economics_YFCAHX4U.csv,1, Supply
Economics_30LB3QMY.csv,Economics_Q5OK99E6.csv,0,
Politics_QBIYK2DY.csv,Politics_FZVO63C4.csv,1, Party
Politics_QBIYK2DY.csv,Politics_9Z4QLO8X.csv,0,
Politics_QBIYK2DY.csv,Politics_EE4Z09FQ.csv,1, Party
Politics_QBIYK2DY.csv,Politics_JXGIDI9M.csv,0,
Politics_QBIYK2DY.csv,Politics_G49WVGAP.csv,1, Election
Politics_QBIYK2DY.csv,Politics_ROA5W6VF.csv,0,
Politics_QBIYK2DY.csv,Politics_YJOSM4WS.csv,1, Party
Politics_QBIYK2DY.csv,Politics_ZW64OXW1.csv,0,
Politics_QBIYK2DY.csv,Politics_4SH2JWPL.csv,1, Year
Politics_QBIYK2DY.csv,Politics_Y363OZ6T.csv,0,
Politics_QBIYK2DY.csv,Politics_4UZO1DC0.csv,1, Year
Politics_QBIYK2DY.csv,Politics_LHLXBOCA.csv,0,
Politics_QBIYK2DY.csv,Politics_F3MA70E8.csv,1, Year
Politics_QBIYK2DY.csv,Politics_Y4A1NYCR.csv,0,
Politics_QBIYK2DY.csv,Politics_3I7FQGGR.csv,1,  Year
Politics_QBIYK2DY.csv,Politics_YNUM066H.csv,0,
Politics_QBIYK2DY.csv,Politics_4L39VI0Q.csv,1, Party
Politics_QBIYK2DY.csv,Politics_O3PW40B2.csv,0,
Politics_QBIYK2DY.csv,Politics_1PQ44JO2.csv,1, Party
Politics_QBIYK2DY.csv,Politics_J7FMT7HD.csv,0,
Culture_5MKZDV7M.csv,Culture_UL781J5N.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_U9MACDIP.csv,0,
Culture_5MKZDV7M.csv,Culture_SV5MKX9W.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_3EJOHJZ3.csv,0,
Culture_5MKZDV7M.csv,Culture_NF008NAI.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_EF5AN0XT.csv,0,
Culture_5MKZDV7M.csv,Culture_6XJ3QH2R.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_VOQFCJU5.csv,0,
Culture_5MKZDV7M.csv,Culture_BH1IJBH1.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_YHWSXM88.csv,0,
Culture_5MKZDV7M.csv,Culture_5BQVIWG9.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_7EI5C7OW.csv,0,
Culture_5MKZDV7M.csv,Culture_OZM2WKRW.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_IR9AFUTU.csv,0,
Culture_5MKZDV7M.csv,Culture_KRM69W2F.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_HF3ULSP1.csv,0,
Culture_5MKZDV7M.csv,Culture_EUU9SDP7.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_0ROQU852.csv,0,
Culture_5MKZDV7M.csv,Culture_O4YBPFTG.csv,1, Culture
Culture_5MKZDV7M.csv,Culture_X70H7P5S.csv,0,
Music_MPJOTJL9.csv,Music_Q8BLO0KP.csv,1, Note
Music_MPJOTJL9.csv,Music_7TB3MD0K.csv,0,
Music_MPJOTJL9.csv,Music_GIF8AFAP.csv,1, Octave
Music_MPJOTJL9.csv,Music_WZQEKPNC.csv,0,
Music_MPJOTJL9.csv,Music_2I6SAJWW.csv,1, Musician
Music_MPJOTJL9.csv,Music_IB4MZV4T.csv,0,
Music_MPJOTJL9.csv,Music_WYZZ6TPM.csv,1, Instrument
Music_MPJOTJL9.csv,Music_6I7864VQ.csv,0,
Music_MPJOTJL9.csv,Music_MQ3EBMGQ.csv,1, Musician
Music_MPJOTJL9.csv,Music_LXRABBKT.csv,0,
Music_MPJOTJL9.csv,Music_F1HBLA8R.csv,1, Note
Music_MPJOTJL9.csv,Music_MULL5J60.csv,0,
Music_MPJOTJL9.csv,Music_I6F0TVMD.csv,1, Melody
Music_MPJOTJL9.csv,Music_54VRE3KG.csv,0,
Music_MPJOTJL9.csv,Music_0K0IHHL4.csv,1, Note
Music_MPJOTJL9.csv,Music_QRHW68EA.csv,0,
Music_MPJOTJL9.csv,Music_0Y4BUIFZ.csv,1, Note
Music_MPJOTJL9.csv,Music_DZI9T0Z8.csv,0,
Music_MPJOTJL9.csv,Music_9INKF4SR.csv,1, Note
Music_MPJOTJL9.csv,Music_D7EASJJ6.csv,0,
Sports_XNQ2V548.csv,Sports_7FFU2YZ8.csv,1, Sports
Sports_XNQ2V548.csv,Sports_OJZ6UJEJ.csv,0,
Sports_XNQ2V548.csv,Sports_E7RTW4ZU.csv,1, Sports
Sports_XNQ2V548.csv,Sports_CYXV6APE.csv,0,
Sports_XNQ2V548.csv,Sports_8B76HCWC.csv,1, Sports
Sports_XNQ2V548.csv,Sports_40AP4WKC.csv,0,
Sports_XNQ2V548.csv,Sports_S4NB3L2U.csv,1, Sports
Sports_XNQ2V548.csv,Sports_61ZPXYSP.csv,0,
Sports_XNQ2V548.csv,Sports_3PVJUPJQ.csv,1, Sports
Sports_XNQ2V548.csv,Sports_H24NLWPF.csv,0,
Sports_XNQ2V548.csv,Sports_W0UBCMMK.csv,1, Sports
Sports_XNQ2V548.csv,Sports_50UYDHDV.csv,0,
Sports_XNQ2V548.csv,Sports_T904XOFF.csv,1, Sports
Sports_XNQ2V548.csv,Sports_6VGPBCGT.csv,0,
Sports_XNQ2V548.csv,Sports_RSKLOIIO.csv,1, Sports
Sports_XNQ2V548.csv,Sports_RNFI0LMB.csv,0,
Sports_XNQ2V548.csv,Sports_FROAJNA0.csv,1, Sports
Sports_XNQ2V548.csv,Sports_6UOL3U2O.csv,0,
Sports_XNQ2V548.csv,Sports_5RW8SNS9.csv,1, Sports
Sports_XNQ2V548.csv,Sports_G7I3J1Q8.csv,0,
Environment_YY9I8JCT.csv,Environment_270N3NZF.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_3KCMOPGY.csv,0,
Environment_YY9I8JCT.csv,Environment_7MN5FMG6.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_71ZQ4BWW.csv,0,
Environment_YY9I8JCT.csv,Environment_P34FRSZV.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_5XFOI0PB.csv,0,
Environment_YY9I8JCT.csv,Environment_H6UUEXMM.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_ZCJ2ESJ7.csv,0,
Environment_YY9I8JCT.csv,Environment_1QNHKI28.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_4FXGG5P7.csv,0,
Environment_YY9I8JCT.csv,Environment_3QQ9YKPH.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_AOJJJLEG.csv,0,
Environment_YY9I8JCT.csv,Environment_0CEJ2DWV.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_SPNFJP7N.csv,0,
Environment_YY9I8JCT.csv,Environment_079IV8YM.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_PQTFXJ2B.csv,0,
Environment_YY9I8JCT.csv,Environment_37MKARGY.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_Q6ZI5RLA.csv,0,
Environment_YY9I8JCT.csv,Environment_1TUMV0IH.csv,1, Environment
Environment_YY9I8JCT.csv,Environment_2LW110XG.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_TR7H9VAJ.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_2MPX3Q8K.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_VNT8H6TF.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_PHK2KK3Q.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_9YBHGTFY.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_369XL1A0.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_3QWRKLO3.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_SPBG37LM.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_5IF79ZRN.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_VAMS026S.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_YOS5Z9A1.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_1ZT49XT0.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_TEOVOYBV.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_EGLCOLA7.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_2T8CK4KG.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_TTZCRV3E.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_3T9NYE1C.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_TDACCJK4.csv,0,
Astronomy_4PZG0DSK.csv,Astronomy_GEEHMG51.csv,1, Planet
Astronomy_4PZG0DSK.csv,Astronomy_6K8GIX16.csv,0,
Literature_7U98ZTPF.csv,Literature_JZXSW6XB.csv,1, Author
Literature_7U98ZTPF.csv,Literature_ILH54IRQ.csv,0,
Literature_7U98ZTPF.csv,Literature_MG65JQUM.csv,1, Author
Literature_7U98ZTPF.csv,Literature_WZGRY9WC.csv,0,
Literature_7U98ZTPF.csv,Literature_KQCRFV0A.csv,1, Author
Literature_7U98ZTPF.csv,Literature_QX7HK5ME.csv,0,
Literature_7U98ZTPF.csv,Literature_ABKVLZO9.csv,1, Author
Literature_7U98ZTPF.csv,Literature_382VWXHB.csv,0,
Literature_7U98ZTPF.csv,Literature_AM50ZKJ1.csv,1, Author
Literature_7U98ZTPF.csv,Literature_QEKATLGJ.csv,0,
Literature_7U98ZTPF.csv,Literature_U8153HQU.csv,1, Author
Literature_7U98ZTPF.csv,Literature_6B566M1R.csv,0,
Literature_7U98ZTPF.csv,Literature_9FRBB5Y8.csv,1, Author
Literature_7U98ZTPF.csv,Literature_94LBWNT1.csv,0,
Literature_7U98ZTPF.csv,Literature_I5U2J5Q5.csv,1, Author
Literature_7U98ZTPF.csv,Literature_CX6QZ8GT.csv,0,
Literature_7U98ZTPF.csv,Literature_MCB54E7D.csv,1, Author
Literature_7U98ZTPF.csv,Literature_QFTWI3XC.csv,0,
Literature_7U98ZTPF.csv,Literature_TTXLA4ZZ.csv,1, Author
Literature_7U98ZTPF.csv,Literature_515YJ1N1.csv,0,
Math_PK3IVO5J.csv,Math_G82ULFUK.csv,1, Expression
Math_PK3IVO5J.csv,Math_HYUUTVAM.csv,0,
Math_PK3IVO5J.csv,Math_4PF7QGDY.csv,1, Expression
Math_PK3IVO5J.csv,Math_JDHJHZGS.csv,0,
Math_PK3IVO5J.csv,Math_ZL72RVLZ.csv,1, Expression
Math_PK3IVO5J.csv,Math_N7W3FV71.csv,0,
Math_PK3IVO5J.csv,Math_L5OOEI21.csv,1, Expression
Math_PK3IVO5J.csv,Math_UIMP9U5V.csv,0,
Math_PK3IVO5J.csv,Math_BLRM69HT.csv,1, Expression
Math_PK3IVO5J.csv,Math_7798Y0UV.csv,0,
Math_PK3IVO5J.csv,Math_4IAF9BIH.csv,1, Expression
Math_PK3IVO5J.csv,Math_EDOLXY7X.csv,0,
Math_PK3IVO5J.csv,Math_A2A0JMEI.csv,1, Expression
Math_PK3IVO5J.csv,Math_V705VR7T.csv,0,
Math_PK3IVO5J.csv,Math_RAN3TZ1I.csv,1, Expression
Math_PK3IVO5J.csv,Math_MER66KL5.csv,0,
Math_PK3IVO5J.csv,Math_HD7CFGIJ.csv,1, Expression
Math_PK3IVO5J.csv,Math_GY5IV7NO.csv,0,
Math_PK3IVO5J.csv,Math_GMILRRUK.csv,1, Expression
Math_PK3IVO5J.csv,Math_FZADMV1P.csv,0,
Religion_YDWVKF9R.csv,Religion_3AKJ9V3E.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_ZB3HITVT.csv,0,
Religion_YDWVKF9R.csv,Religion_J0BTLKF0.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_0VI9XKFF.csv,0,
Religion_YDWVKF9R.csv,Religion_YVQWQ27C.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_4A7ZVNWS.csv,0,
Religion_YDWVKF9R.csv,Religion_HWYJTQKZ.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_LY0FEP8E.csv,0,
Religion_YDWVKF9R.csv,Religion_KKD2QN8D.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_MK5M7SFJ.csv,0,
Religion_YDWVKF9R.csv,Religion_T8OTA0WE.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_GTJWCAZA.csv,0,
Religion_YDWVKF9R.csv,Religion_SAL38EAC.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_LO9GBCZZ.csv,0,
Religion_YDWVKF9R.csv,Religion_07M6WPC0.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_MV3LMNCM.csv,0,
Religion_YDWVKF9R.csv,Religion_JL0RDYH5.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_YI92XC7O.csv,0,
Religion_YDWVKF9R.csv,Religion_8HJKTBUH.csv,1, Religion
Religion_YDWVKF9R.csv,Religion_L80QAXIC.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_DQGWSMVO.csv,1, gods
Philosophy_RMVGR5XS.csv,Philosophy_H8QKWZB8.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_M6TFG619.csv,1, Ages
Philosophy_RMVGR5XS.csv,Philosophy_SSL5SP8P.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_RUGI3W6I.csv,1, Ages
Philosophy_RMVGR5XS.csv,Philosophy_UT4JSC0E.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_OSG1S8BD.csv,1, Texts
Philosophy_RMVGR5XS.csv,Philosophy_OPKGH8JS.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_G9G475SV.csv,1, Sources
Philosophy_RMVGR5XS.csv,Philosophy_Q6VOVQE2.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_VQ2BVUPW.csv,1, Sources
Philosophy_RMVGR5XS.csv,Philosophy_MBZ8TZB8.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_MXPFO1US.csv,1, Actions
Philosophy_RMVGR5XS.csv,Philosophy_NK2AKAKD.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_5QTX8U56.csv,1, Ages
Philosophy_RMVGR5XS.csv,Philosophy_OGIGC9F1.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_7NIT9SZ7.csv,1, Ages
Philosophy_RMVGR5XS.csv,Philosophy_ZQ9THUQ6.csv,0,
Philosophy_RMVGR5XS.csv,Philosophy_AGVG9MAB.csv,1, Sources
Philosophy_RMVGR5XS.csv,Philosophy_7B5PR6TQ.csv,0,
Psychology_GVFJY3QW.csv,Psychology_ROL933Q4.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_9DQXVXDY.csv,0,
Psychology_GVFJY3QW.csv,Psychology_86TURUEW.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_WSQ5A2KP.csv,0,
Psychology_GVFJY3QW.csv,Psychology_2YCUBA3Q.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_Z9DQGIDA.csv,0,
Psychology_GVFJY3QW.csv,Psychology_EV4VQVOD.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_YUC7MH9P.csv,0,
Psychology_GVFJY3QW.csv,Psychology_P5851L2Q.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_VROZADGI.csv,0,
Psychology_GVFJY3QW.csv,Psychology_0YBXSWBP.csv,1, Brain Area
Psychology_GVFJY3QW.csv,Psychology_VFXXE0MX.csv,0,
Psychology_GVFJY3QW.csv,Psychology_I6HU9GKW.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_Z0XGUJQL.csv,0,
Psychology_GVFJY3QW.csv,Psychology_RWJ0NMK3.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_AXIB20GD.csv,0,
Psychology_GVFJY3QW.csv,Psychology_AOZ551ZZ.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_H62KYOIQ.csv,0,
Psychology_GVFJY3QW.csv,Psychology_W6OTB5IR.csv,1, Theory
Psychology_GVFJY3QW.csv,Psychology_1OAOYIQ9.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_QZP3ML53.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_M7S1GTRK.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_NKDGIQSS.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_G0QV97QG.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_UOH10FQ8.csv,1, Authority
Sociology_BZ1WTJS5.csv,Sociology_CAIYXBXV.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_9MNU9ZJC.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_0H0NVFGI.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_Y1MNA7R0.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_XVQ6O5ND.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_GPTEGZ4J.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_CD3499P1.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_LSG22M4Q.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_NZW1QYKI.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_RAT2NZOS.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_1B9BDD0T.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_CDWHA7G8.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_RGGLHJ9P.csv,0,
Sociology_BZ1WTJS5.csv,Sociology_ND775EOI.csv,1, Group
Sociology_BZ1WTJS5.csv,Sociology_EPOHJ150.csv,0,
Mythology_5IDTY430.csv,Mythology_V8OET86P.csv,1, Word
Mythology_5IDTY430.csv,Mythology_1RSYUUNG.csv,0,
Mythology_5IDTY430.csv,Mythology_8KUN03PR.csv,1, Word
Mythology_5IDTY430.csv,Mythology_42GKH7RQ.csv,0,
Mythology_5IDTY430.csv,Mythology_D01V1YCR.csv,1, Word
Mythology_5IDTY430.csv,Mythology_AFCJ9PKV.csv,0,
Mythology_5IDTY430.csv,Mythology_ERJMPIAB.csv,1, Word
Mythology_5IDTY430.csv,Mythology_BY3KCKA7.csv,0,
Mythology_5IDTY430.csv,Mythology_36OQYD12.csv,1, Word
Mythology_5IDTY430.csv,Mythology_87G7N9ZU.csv,0,
Mythology_5IDTY430.csv,Mythology_RFLG3B4W.csv,1, Word
Mythology_5IDTY430.csv,Mythology_7LK1MT8D.csv,0,
Mythology_5IDTY430.csv,Mythology_3SR7VXIE.csv,1, Word
Mythology_5IDTY430.csv,Mythology_JKV0N8QW.csv,0,
Mythology_5IDTY430.csv,Mythology_0H03EG3J.csv,1, Word
Mythology_5IDTY430.csv,Mythology_CW1RSJF2.csv,0,
Mythology_5IDTY430.csv,Mythology_260I98CM.csv,1, Word
Mythology_5IDTY430.csv,Mythology_6XSYICMT.csv,0,
Mythology_5IDTY430.csv,Mythology_19AKGX0O.csv,1, Word
Mythology_5IDTY430.csv,Mythology_JFUNCZYR.csv,0,
Poetry_KL2OCFOZ.csv,Poetry_Z1BJSTCN.csv,1, Rhyme
Poetry_KL2OCFOZ.csv,Poetry_WF3XOCGW.csv,0,
Poetry_KL2OCFOZ.csv,Poetry_E1M5N59Z.csv,1, Rhyme
Poetry_KL2OCFOZ.csv,Poetry_73E0ULFV.csv,0,
Poetry_KL2OCFOZ.csv,Poetry_DKQS8S1A.csv,1, Stanza
