,query_table,data_lake_table,unionable,num_union_cols,intent_col_name
64,Science_DNR9IS25.csv,Science_8Y3UMPYO.csv,1,8,Scientific Discipline
65,Science_DNR9IS25.csv,Science_YYJ5CI6V.csv,0,0,N/A
66,Science_DNR9IS25.csv,Science_73AJ0JE4.csv,1,2,Concept Name
67,Science_DNR9IS25.csv,Science_FV8YU58C.csv,0,0,N/A
68,Science_DNR9IS25.csv,Science_G2KTBCUD.csv,1,8,Scientific Discipline
69,Science_DNR9IS25.csv,Science_KLFYP5JO.csv,0,0,N/A
70,Science_DNR9IS25.csv,Science_A3S8KE2W.csv,1,4,Concept Name
71,Science_DNR9IS25.csv,Science_Q3TMY4GP.csv,0,0,N/A
72,Science_DNR9IS25.csv,Science_SBZRAD5S.csv,1,4,Scientific Discipline
73,Science_DNR9IS25.csv,Science_OMQIGCT2.csv,0,0,N/A
74,Science_DNR9IS25.csv,Science_SU0LMI8X.csv,1,2,Scientific Discipline
75,Science_DNR9IS25.csv,Science_SVH3EJOZ.csv,0,0,N/A
76,Science_DNR9IS25.csv,Science_Q8H3XQYX.csv,1,2,Scientific Discipline
77,Science_DNR9IS25.csv,Science_B9UOE3T0.csv,0,0,N/A
78,Science_DNR9IS25.csv,Science_5HGP8IY3.csv,1,4,Scientific Discipline
79,Science_DNR9IS25.csv,Science_0J0G50RC.csv,0,0,N/A
80,Technology_3FNBDVPI.csv,Technology_NE9NNOVJ.csv,1,2, Technological Advancement
81,Technology_3FNBDVPI.csv,Technology_I8QLHBIA.csv,0,0,N/A
82,Technology_3FNBDVPI.csv,Technology_UBLQDI07.csv,1,6, Technological Advancement
83,Technology_3FNBDVPI.csv,Technology_OC7T3BD4.csv,0,0,N/A
84,Technology_3FNBDVPI.csv,Technology_2EFUJEIR.csv,1,5,Innovations
85,Technology_3FNBDVPI.csv,Technology_UY7S361G.csv,0,0,N/A
86,Technology_3FNBDVPI.csv,Technology_V3Z0GU1U.csv,1,5, Ethical Considerations & Regulations
87,Technology_3FNBDVPI.csv,Technology_I9D99VH0.csv,0,0,N/A
88,Technology_3FNBDVPI.csv,Technology_DSTWG6NJ.csv,1,8,Innovations
89,Technology_3FNBDVPI.csv,Technology_W9XHRO19.csv,0,0,N/A
90,Technology_3FNBDVPI.csv,Technology_RBLRTVWA.csv,1,2,Innovations
91,Technology_3FNBDVPI.csv,Technology_ZEJBF7NY.csv,0,0,N/A
92,Technology_3FNBDVPI.csv,Technology_TUFDJKDF.csv,1,4,Innovations
93,Technology_3FNBDVPI.csv,Technology_RN6HW1HS.csv,0,0,N/A
94,Technology_3FNBDVPI.csv,Technology_TCOZDANT.csv,1,6,Innovations
95,Technology_3FNBDVPI.csv,Technology_SUHA51LI.csv,0,0,N/A
96,Technology_3FNBDVPI.csv,Technology_ZC1B3EU1.csv,1,2,Innovations
97,Technology_3FNBDVPI.csv,Technology_7FZTVOVK.csv,0,0,N/A
98,Technology_3FNBDVPI.csv,Technology_6MWWJPGJ.csv,1,6, Artificial Intelligence & Machine Learning
99,Technology_3FNBDVPI.csv,Technology_JEL532UU.csv,0,0,N/A
100,Economics_XSEF6Y39.csv,Economics_C2MU46JD.csv,1,2,time\_period
101,Economics_XSEF6Y39.csv,Economics_F6LCP227.csv,0,0,N/A
102,Economics_XSEF6Y39.csv,Economics_SY0VDVEV.csv,1,4, GDP
103,Economics_XSEF6Y39.csv,Economics_TZIFT9YV.csv,0,0,N/A
104,Economics_XSEF6Y39.csv,Economics_16XBXTLN.csv,1,2,time\_period
105,Economics_XSEF6Y39.csv,Economics_687CVIYJ.csv,0,0,N/A
106,Economics_XSEF6Y39.csv,Economics_K2C0XP2S.csv,1,8, $ billion
107,Economics_XSEF6Y39.csv,Economics_MX23SY67.csv,0,0,N/A
108,Economics_XSEF6Y39.csv,Economics_IQD4X9G7.csv,1,8,time\_period
109,Economics_XSEF6Y39.csv,Economics_FXOBUGVJ.csv,0,0,N/A
110,Economics_XSEF6Y39.csv,Economics_I42AFBQN.csv,1,7,time\_period
111,Economics_XSEF6Y39.csv,Economics_P03EH58B.csv,0,0,N/A
112,Economics_XSEF6Y39.csv,Economics_WP0LF7XE.csv,1,6, GDP
113,Economics_XSEF6Y39.csv,Economics_CYXQBWEW.csv,0,0,N/A
114,Economics_XSEF6Y39.csv,Economics_VICW8VL3.csv,1,8, GDP
115,Economics_XSEF6Y39.csv,Economics_IE3CSMCM.csv,0,0,N/A
116,Economics_XSEF6Y39.csv,Economics_Z84QCMSW.csv,1,6, GDP
117,Economics_XSEF6Y39.csv,Economics_55X7RF1F.csv,0,0,N/A
118,Economics_XSEF6Y39.csv,Economics_SUGFUST2.csv,1,6,time\_period
119,Economics_XSEF6Y39.csv,Economics_2W2CW1RD.csv,0,0,N/A
120,Politics_XXYCJ2XX.csv,Politics_2EI7XZUR.csv,1,8, Policy Focus
121,Politics_XXYCJ2XX.csv,Politics_L57Y9HQQ.csv,0,0,N/A
122,Politics_XXYCJ2XX.csv,Politics_5MHIE2L2.csv,1,4, Membership Criteria
123,Politics_XXYCJ2XX.csv,Politics_WE98STKL.csv,0,0,N/A
124,Politics_XXYCJ2XX.csv,Politics_IP5BX9X3.csv,1,3,`Political Party
125,Politics_XXYCJ2XX.csv,Politics_700EIUE2.csv,0,0,N/A
126,Politics_XXYCJ2XX.csv,Politics_9LI16DH7.csv,1,3, Politicians Count
127,Politics_XXYCJ2XX.csv,Politics_UOW7SFQM.csv,0,0,N/A
128,Politics_XXYCJ2XX.csv,Politics_T8F6KJKV.csv,1,3, Policy Focus
129,Politics_XXYCJ2XX.csv,Politics_FCQN0B58.csv,0,0,N/A
130,Politics_XXYCJ2XX.csv,Politics_PZT3EDK2.csv,1,5,`Political Party
131,Politics_XXYCJ2XX.csv,Politics_VJUUWZIX.csv,0,0,N/A
132,Politics_XXYCJ2XX.csv,Politics_3HR2PJGD.csv,1,3,`Political Party
133,Politics_XXYCJ2XX.csv,Politics_UUMK5635.csv,0,0,N/A
134,Politics_XXYCJ2XX.csv,Politics_63PNWDDS.csv,1,5,`Political Party
135,Politics_XXYCJ2XX.csv,Politics_XZXCZD9M.csv,0,0,N/A
136,Politics_XXYCJ2XX.csv,Politics_629RHIGZ.csv,1,5, Policy Focus
137,Politics_XXYCJ2XX.csv,Politics_9XJM6Z6C.csv,0,0,N/A
138,Politics_XXYCJ2XX.csv,Politics_473J6IUU.csv,1,8,`Political Party
139,Politics_XXYCJ2XX.csv,Politics_TV6685T4.csv,0,0,N/A
140,Culture_4QOD4K7Y.csv,Culture_JPCHMB2U.csv,1,6,Cultural Values
141,Culture_4QOD4K7Y.csv,Culture_I7N9U47Y.csv,0,0,N/A
142,Culture_4QOD4K7Y.csv,Culture_V8WQ4MPR.csv,1,6,Cultural Values
143,Culture_4QOD4K7Y.csv,Culture_RSH8YZWJ.csv,0,0,N/A
144,Culture_4QOD4K7Y.csv,Culture_2Q4NM8R9.csv,1,4,Cultural Values
145,Culture_4QOD4K7Y.csv,Culture_PPD7OODG.csv,0,0,N/A
146,Culture_4QOD4K7Y.csv,Culture_IA9K044M.csv,1,2,Cultural Values
147,Culture_4QOD4K7Y.csv,Culture_FO8CL0LC.csv,0,0,N/A
148,Culture_4QOD4K7Y.csv,Culture_SCATGVS3.csv,1,7, Preferred Communication Style
149,Culture_4QOD4K7Y.csv,Culture_RMHVK3QL.csv,0,0,N/A
150,Culture_4QOD4K7Y.csv,Culture_MLZ16UFZ.csv,1,6,Cultural Values
151,Culture_4QOD4K7Y.csv,Culture_4UPAQYP2.csv,0,0,N/A
152,Culture_4QOD4K7Y.csv,Culture_XPDH3TKZ.csv,1,7,Cultural Values
153,Culture_4QOD4K7Y.csv,Culture_HSXOOI4J.csv,0,0,N/A
154,Culture_4QOD4K7Y.csv,Culture_8NPF727X.csv,1,8,Cultural Values
155,Culture_4QOD4K7Y.csv,Culture_D96M8JKU.csv,0,0,N/A
156,Culture_4QOD4K7Y.csv,Culture_5F62D3I6.csv,1,7, Preferred Communication Style
157,Culture_4QOD4K7Y.csv,Culture_BZQANEC1.csv,0,0,N/A
158,Culture_4QOD4K7Y.csv,Culture_E4CS0LI0.csv,1,2,Cultural Values
159,Culture_4QOD4K7Y.csv,Culture_2YYF8IWH.csv,0,0,N/A
160,Music_ABT3818Y.csv,Music_OP3WJRMH.csv,1,8, Producer(s)
161,Music_ABT3818Y.csv,Music_BPNEGC2D.csv,0,0,N/A
162,Music_ABT3818Y.csv,Music_UUPTJ7O0.csv,1,8,Title
163,Music_ABT3818Y.csv,Music_5DWY7U00.csv,0,0,N/A
164,Music_ABT3818Y.csv,Music_J3D90097.csv,1,4, Artist(s)
165,Music_ABT3818Y.csv,Music_NVF2XF8M.csv,0,0,N/A
166,Music_ABT3818Y.csv,Music_4NVTANMH.csv,1,3,Title
167,Music_ABT3818Y.csv,Music_ZP9USY38.csv,0,0,N/A
168,Music_ABT3818Y.csv,Music_653G4UNX.csv,1,4, Genre
169,Music_ABT3818Y.csv,Music_JMVOYP59.csv,0,0,N/A
170,Music_ABT3818Y.csv,Music_553KWKI8.csv,1,4,Title
171,Music_ABT3818Y.csv,Music_DA0IOEJA.csv,0,0,N/A
172,Music_ABT3818Y.csv,Music_45BA890A.csv,1,2, Artist(s)
173,Music_ABT3818Y.csv,Music_7QWRZFXZ.csv,0,0,N/A
174,Music_ABT3818Y.csv,Music_FCFZYY94.csv,1,4,Title
175,Music_ABT3818Y.csv,Music_G7CON4RC.csv,0,0,N/A
176,Music_ABT3818Y.csv,Music_CLUBNJZE.csv,1,6, Genre
177,Music_ABT3818Y.csv,Music_WDG1OEVZ.csv,0,0,N/A
178,Music_ABT3818Y.csv,Music_25OW9Y1L.csv,1,8,Title
179,Music_ABT3818Y.csv,Music_FSPEFRJY.csv,0,0,N/A
180,Sports_IFL12996.csv,Sports_0GBFW9FU.csv,1,2,Match ID
181,Sports_IFL12996.csv,Sports_YF9P7KYK.csv,0,0,N/A
182,Sports_IFL12996.csv,Sports_JEK1R0T4.csv,1,5,Sport
183,Sports_IFL12996.csv,Sports_M3GITAZV.csv,0,0,N/A
184,Sports_IFL12996.csv,Sports_V1ITUM4U.csv,1,5,Player Name
185,Sports_IFL12996.csv,Sports_PUYRZXHM.csv,0,0,N/A
186,Sports_IFL12996.csv,Sports_9B3N2SE0.csv,1,7,Sport
187,Sports_IFL12996.csv,Sports_PQJ1YE24.csv,0,0,N/A
188,Sports_IFL12996.csv,Sports_08CX8FGP.csv,1,8,Player Name
189,Sports_IFL12996.csv,Sports_CZV1GAGQ.csv,0,0,N/A
190,Sports_IFL12996.csv,Sports_O2XZ36JW.csv,1,6,Sport
191,Sports_IFL12996.csv,Sports_0FHJWTV3.csv,0,0,N/A
192,Sports_IFL12996.csv,Sports_G22UETCH.csv,1,5,Player Name
193,Sports_IFL12996.csv,Sports_KP7L9KV9.csv,0,0,N/A
194,Sports_IFL12996.csv,Sports_1ZBM21YA.csv,1,7,Sport
195,Sports_IFL12996.csv,Sports_EG8LXUM3.csv,0,0,N/A
196,Sports_IFL12996.csv,Sports_ZHWW3LTF.csv,1,6,Sport
197,Sports_IFL12996.csv,Sports_PTHLXJ6Y.csv,0,0,N/A
198,Sports_IFL12996.csv,Sports_1L58L9K5.csv,1,5,Goals Scored
199,Sports_IFL12996.csv,Sports_2DWA5IMY.csv,0,0,N/A
200,Environment_CRO8SK35.csv,Environment_96HHR8X8.csv,1,4,Air\_Quality
201,Environment_CRO8SK35.csv,Environment_8N1GPTC2.csv,0,0,N/A
202,Environment_CRO8SK35.csv,Environment_USSR6GI0.csv,1,3,Species\_Count
203,Environment_CRO8SK35.csv,Environment_IPJUPZ5J.csv,0,0,N/A
204,Environment_CRO8SK35.csv,Environment_2EFZ6RX3.csv,1,5,Biodiversity\_Index
205,Environment_CRO8SK35.csv,Environment_F3WE8ZN1.csv,0,0,N/A
206,Environment_CRO8SK35.csv,Environment_SV9I5VDC.csv,1,8,Air\_Quality
207,Environment_CRO8SK35.csv,Environment_BHK23A1M.csv,0,0,N/A
208,Environment_CRO8SK35.csv,Environment_1I4EOYFG.csv,1,8,Pollution\_Level
209,Environment_CRO8SK35.csv,Environment_IYIJE7AK.csv,0,0,N/A
210,Environment_CRO8SK35.csv,Environment_YW1UIPRF.csv,1,6,Pollution\_Level
211,Environment_CRO8SK35.csv,Environment_SBTN76MZ.csv,0,0,N/A
212,Environment_CRO8SK35.csv,Environment_X8L4EBEA.csv,1,5,Legislation\_Status
213,Environment_CRO8SK35.csv,Environment_Z6S601ZF.csv,0,0,N/A
214,Environment_CRO8SK35.csv,Environment_UZET1PDP.csv,1,6,Public\_Engagement\_Score
215,Environment_CRO8SK35.csv,Environment_3DTLHAIA.csv,0,0,N/A
216,Environment_CRO8SK35.csv,Environment_GHO6ACAP.csv,1,4,Pollution\_Level
217,Environment_CRO8SK35.csv,Environment_JLC90OUP.csv,0,0,N/A
218,Environment_CRO8SK35.csv,Environment_DLO7CZE3.csv,1,6,Air\_Quality
219,Environment_CRO8SK35.csv,Environment_UF93AXMS.csv,0,0,N/A
220,Astronomy_M8PJA0BO.csv,Astronomy_8WAVAYTG.csv,1,5,`Star
221,Astronomy_M8PJA0BO.csv,Astronomy_05DJRFCO.csv,0,0,N/A
222,Astronomy_M8PJA0BO.csv,Astronomy_IZED1IPS.csv,1,6,`Star
223,Astronomy_M8PJA0BO.csv,Astronomy_UU2ROEMI.csv,0,0,N/A
224,Astronomy_M8PJA0BO.csv,Astronomy_23U0H8WN.csv,1,3,`Star
225,Astronomy_M8PJA0BO.csv,Astronomy_HFKTCNUJ.csv,0,0,N/A
226,Astronomy_M8PJA0BO.csv,Astronomy_LBZ299PG.csv,1,4,`Star
227,Astronomy_M8PJA0BO.csv,Astronomy_HADOIMZX.csv,0,0,N/A
228,Astronomy_M8PJA0BO.csv,Astronomy_QEBEM2IF.csv,1,6,`Star
229,Astronomy_M8PJA0BO.csv,Astronomy_DK1Z5BY1.csv,0,0,N/A
230,Astronomy_M8PJA0BO.csv,Astronomy_R2JCPS50.csv,1,4,`Star
231,Astronomy_M8PJA0BO.csv,Astronomy_RYI0M7P8.csv,0,0,N/A
232,Astronomy_M8PJA0BO.csv,Astronomy_85W6UYRL.csv,1,5,`Star
233,Astronomy_M8PJA0BO.csv,Astronomy_BRD47WOK.csv,0,0,N/A
234,Astronomy_M8PJA0BO.csv,Astronomy_8DOYWLLP.csv,1,4,`Star
235,Astronomy_M8PJA0BO.csv,Astronomy_JM58TL5C.csv,0,0,N/A
236,Astronomy_M8PJA0BO.csv,Astronomy_B74AVMIV.csv,1,3,`Star
237,Astronomy_M8PJA0BO.csv,Astronomy_DBJJH7XE.csv,0,0,N/A
238,Astronomy_M8PJA0BO.csv,Astronomy_GVTUIK15.csv,1,6,`Star
239,Astronomy_M8PJA0BO.csv,Astronomy_WOLYTSIL.csv,0,0,N/A
240,Literature_FYGWWQC3.csv,Literature_8HYF9SXM.csv,1,2, Genre
241,Literature_FYGWWQC3.csv,Literature_SFOGYR3X.csv,0,0,N/A
242,Literature_FYGWWQC3.csv,Literature_REK8PK3Y.csv,1,7, Author Background
243,Literature_FYGWWQC3.csv,Literature_OUDOCUZR.csv,0,0,N/A
244,Literature_FYGWWQC3.csv,Literature_UN5Z3JQI.csv,1,7,Literary Analysis
245,Literature_FYGWWQC3.csv,Literature_Q1ZXOI65.csv,0,0,N/A
246,Literature_FYGWWQC3.csv,Literature_K1EYY37Q.csv,1,3, Author Background
247,Literature_FYGWWQC3.csv,Literature_H8RVHS1K.csv,0,0,N/A
248,Literature_FYGWWQC3.csv,Literature_L6GT6MJX.csv,1,6, Genre
249,Literature_FYGWWQC3.csv,Literature_AU5BHXTP.csv,0,0,N/A
250,Literature_FYGWWQC3.csv,Literature_F5E8II49.csv,1,2,Literary Analysis
251,Literature_FYGWWQC3.csv,Literature_MTZX272H.csv,0,0,N/A
252,Literature_FYGWWQC3.csv,Literature_9OOAEDOE.csv,1,2, Genre
253,Literature_FYGWWQC3.csv,Literature_03DGDZVG.csv,0,0,N/A
254,Literature_FYGWWQC3.csv,Literature_I1LR3PE2.csv,1,5, Genre
255,Literature_FYGWWQC3.csv,Literature_NZDKYAYQ.csv,0,0,N/A
256,Literature_FYGWWQC3.csv,Literature_5JMSND8D.csv,1,7,Literary Analysis
257,Literature_FYGWWQC3.csv,Literature_467KD6FL.csv,0,0,N/A
258,Literature_FYGWWQC3.csv,Literature_HPCF07UQ.csv,1,5, Author Background
259,Literature_FYGWWQC3.csv,Literature_T3UEA3GE.csv,0,0,N/A
260,Math_XSK28T7A.csv,Math_9TGIQHG9.csv,1,3,"""Historical Context"""
261,Math_XSK28T7A.csv,Math_NVNQ65QD.csv,0,0,N/A
262,Math_XSK28T7A.csv,Math_AVIQK291.csv,1,2,"""Math Concept"""
263,Math_XSK28T7A.csv,Math_J8CX9J1I.csv,0,0,N/A
264,Math_XSK28T7A.csv,Math_NPGW90JP.csv,1,4,"""Math Concept"""
265,Math_XSK28T7A.csv,Math_0BLV0PRK.csv,0,0,N/A
266,Math_XSK28T7A.csv,Math_4OM3WTOO.csv,1,8,"""Math Concept"""
267,Math_XSK28T7A.csv,Math_VRERW6Z8.csv,0,0,N/A
268,Math_XSK28T7A.csv,Math_LQCG1WU1.csv,1,4,"""Math Concept"""
269,Math_XSK28T7A.csv,Math_YMQC1A78.csv,0,0,N/A
270,Math_XSK28T7A.csv,Math_UHT6T0UZ.csv,1,6,"""Math Concept"""
271,Math_XSK28T7A.csv,Math_M0YLTZ9A.csv,0,0,N/A
272,Math_XSK28T7A.csv,Math_U322N64K.csv,1,8,"""Math Concept"""
273,Math_XSK28T7A.csv,Math_VFPTOMJB.csv,0,0,N/A
274,Math_XSK28T7A.csv,Math_E30MY5ZP.csv,1,6,"""Definition"""
275,Math_XSK28T7A.csv,Math_G1OL73D9.csv,0,0,N/A
276,Math_XSK28T7A.csv,Math_I379U261.csv,1,5,"""Math Concept"""
277,Math_XSK28T7A.csv,Math_42QPR75P.csv,0,0,N/A
278,Math_XSK28T7A.csv,Math_RVU8FIJO.csv,1,3,"""Math Concept"""
279,Math_XSK28T7A.csv,Math_E00V830D.csv,0,0,N/A
280,Religion_8F1CBFNO.csv,Religion_6B9M80O2.csv,1,7,"""Religion Name"
281,Religion_8F1CBFNO.csv,Religion_WWQC38HY.csv,0,0,N/A
282,Religion_8F1CBFNO.csv,Religion_XMECOSFO.csv,1,8,"""Religion Name"
283,Religion_8F1CBFNO.csv,Religion_XKXWNREK.csv,0,0,N/A
284,Religion_8F1CBFNO.csv,Religion_YR9OUDOC.csv,1,5,"""Religion Name"
285,Religion_8F1CBFNO.csv,Religion_UN5Z3JQI.csv,0,0,N/A
286,Religion_8F1CBFNO.csv,Religion_1ZXOI65F.csv,1,4,"""Religion Name"
287,Religion_8F1CBFNO.csv,Religion_37Q9AH8R.csv,0,0,N/A
288,Religion_8F1CBFNO.csv,Religion_K3AQ6L6G.csv,1,5,"""Religion Name"
289,Religion_8F1CBFNO.csv,Religion_BHXTPDPF.csv,0,0,N/A
290,Religion_8F1CBFNO.csv,Religion_8II49KQ7.csv,1,8,"""Religion Name"
291,Religion_8F1CBFNO.csv,Religion_EDOECVE6.csv,0,0,N/A
292,Religion_8F1CBFNO.csv,Religion_8I4P40MG.csv,1,3,"""Religion Name"
293,Religion_8F1CBFNO.csv,Religion_GPMM82I1.csv,0,0,N/A
294,Religion_8F1CBFNO.csv,Religion_E29GD8AF.csv,1,8,"""Religion Name"
295,Religion_8F1CBFNO.csv,Religion_DKYAYQ3S.csv,0,0,N/A
296,Religion_8F1CBFNO.csv,Religion_5JMSND8D.csv,1,7," Socioeconomic Status"""
297,Religion_8F1CBFNO.csv,Religion_KD6FLEEP.csv,0,0,N/A
298,Religion_8F1CBFNO.csv,Religion_07UQNUPQ.csv,1,2,"""Religion Name"
299,Religion_8F1CBFNO.csv,Religion_3UEA3GE8.csv,0,0,N/A
300,Philosophy_SK28T7A9.csv,Philosophy_TGIQHG9J.csv,1,4,Philosophical Concept
301,Philosophy_SK28T7A9.csv,Philosophy_65QDF1RC.csv,0,0,N/A
302,Philosophy_SK28T7A9.csv,Philosophy_19AHEJ8C.csv,1,6,Philosophical Concept
303,Philosophy_SK28T7A9.csv,Philosophy_WNPGW90J.csv,0,0,N/A
304,Philosophy_SK28T7A9.csv,Philosophy_BLV0PRKG.csv,1,5,Major Theorist
305,Philosophy_SK28T7A9.csv,Philosophy_WTOOBMZV.csv,0,0,N/A
306,Philosophy_SK28T7A9.csv,Philosophy_6Z8VBHQL.csv,1,4,Philosophical Concept
307,Philosophy_SK28T7A9.csv,Philosophy_CG1WU16H.csv,0,0,N/A
308,Philosophy_SK28T7A9.csv,Philosophy_C1A78MX1.csv,1,4,Philosophical Concept
309,Philosophy_SK28T7A9.csv,Philosophy_UHT6T0UZ.csv,0,0,N/A
310,Philosophy_SK28T7A9.csv,Philosophy_0YLTZ9AT.csv,1,3,Philosophical Concept
311,Philosophy_SK28T7A9.csv,Philosophy_VFPTOMJB.csv,0,0,N/A
312,Philosophy_SK28T7A9.csv,Philosophy_E30MY5ZP.csv,1,6,Philosophical Concept
313,Philosophy_SK28T7A9.csv,Philosophy_L73D9PH3.csv,0,0,N/A
314,Philosophy_SK28T7A9.csv,Philosophy_U26192K4.csv,1,6,Philosophical Concept
315,Philosophy_SK28T7A9.csv,Philosophy_R75PR2ES.csv,0,0,N/A
316,Philosophy_SK28T7A9.csv,Philosophy_00V830DN.csv,1,2,Philosophical Concept
317,Philosophy_SK28T7A9.csv,Philosophy_Y4AWTY08.csv,0,0,N/A
318,Philosophy_SK28T7A9.csv,Philosophy_5OR15BYV.csv,1,3,Philosophical Concept
319,Philosophy_SK28T7A9.csv,Philosophy_K3I8BZBF.csv,0,0,N/A
320,Psychology_NO6B9M80.csv,Psychology_O2RAK1VR.csv,1,2,SubjectID
321,Psychology_NO6B9M80.csv,Psychology_F9SXMECO.csv,0,0,N/A
