;Stock Market Index;Stock Market Sector;Interest Rates;Volatility Index;Dividend Yield;Price/Earnings Ratio;Market Capitalization;Trading Volume;Foreign Exchange Rate;Credit Rating;Gross Domestic Product;Unemployment Rate;Inflation Rate;Consumer Confidence;Political Stability
41;IBEX 35;Industrials;1%;VIX-16;2.8%;5:1;500 Billion;3.2 M;1 EUR:USD 1.2;AA;2.1%;1%;72;Stable;
42;FTSE 100;Utilities;0.5%;VIX-15;3%;4:1;2000 Billion;3.9 M;1 GBP:USD 1.3;AA;1.8%;0.5%;75;Stable;
43;NIFTY 50;Healthcare;0.8%;VIX-18;2%;9:1;700 Billion;2.7 M;1 INR:USD 0.014;A;3.1%;2%;68;Stable;
44;BSE SENSEX;Technology;0.6%;VIX-21;1.5%;10:1;900 Billion;4.3 M;1 INR:USD 0.014;A+;2.5%;1.2%;65;Stable;
45;KOSPI;Consumer Staples;0.9%;VIX-17;2.3%;8:1;1500 Billion;4.1 M;1 KRW:USD 0.0008;AA-;1.7%;0.6%;67;Stable;
46;TSX Composite;Energy;1.1%;VIX-22;1.4%;11:1;1800 Billion;3.5 M;1 CAD:USD 0.78;AA;0.9%;0.4%;70;Stable;
47;HSI;Real Estate;0.8%;VIX-16;2.7%;6:1;2000 Billion;4.9 M;1 HKD:USD 0.13;AA;2%;1.5%;76;Stable;
48;NZ50;Communication Services;0.7%;VIX-18;2.1%;7:1;100 Billion;2.4 M;1 NZD:USD 0.68;A;2.2%;1.4%;64;Stable;
49;STRIDEX;Financials;0.6%;VIX-20;1.8%;12:1;800 Billion;2.7 M;1 SGD:USD 0.71;AAA;1%;0.6%;80;Stable;</s>
50; FTSE 100;Healthcare;0.5%;VIX-15;3.1%;15:1;3000 Billion;5.3 M;1 GBP:USD 1.31;AA;1.8%;0.8%;78;Stable;
51;CAC 40;Industrials;0.4%;VIX-17;2.3%;8:1;1500 Billion;4.2 M;1 EUR:USD 1.19;A+;2.1%;1%;68;Stable;
52;NIFTY 50;Technology;0.9%;VIX-16;2.5%;5:1;1200 Billion;3.5 M;1 INR:USD 0.014;AA;4%;2%;52;Stable;
53;TOPIX;Consumer Cyclical;0.3%;VIX-18;1.4%;10:1;600 Trillion;4.7 M;1 JPY:USD 0.009;A;0.5%;-0.1%;85;Stable;
54;ASX 200;Energy;0.7%;VIX-19;2%;6:1;1700 Billion;3.2 M;1 AUD:USD 0.76;AAA;1.2%;0.9%;62;Stable;
55;IBEX 35;Utilities;0.6%;VIX-20;2.4%;9:1;400 Billion;2.6 M;1 EUR:USD 1.19;A+;1.6%;0.5%;72;Stable;
56;KOSPI;Basic Materials;0.4%;VIX-17;1.2%;14:1;900 Trillion;4.5 M;1 KRW:USD 0.0008;AAA;0.8%;0.3%;75;Stable;
57;BVLSP;Consumer Defensive;0.5%;VIX-16;2.9%;7:1;250 Billion;2.8 M;1 PEN:USD 0.27;AA;1.9%;0.7%;70;Stable;
58;OMXS30;Healthcare;0.3%;VIX-18;3.3%;11:1;450 Billion;3.1 M;1 SEK:USD 0.12;A+;1.4%;0.5%;82;Stable;
59;SWISS MARKET;Financials;0.2%;VIX-20;2%;13:1;750 Billion;2.3 M;1 CHF:USD 0.98;AAA;0.7%;-0.2%;79;Stable;</s>
60; HSI;Information Technology;1%;VIX-25;2.5%;10:1;3 Trillion;8.5 M;1 HKD:USD 0.13;AA;3%;1%;86;Stable;
61;NIFTY50;Financials;0.7%;VIX-30;3%;9:1;2 Trillion;5.2 M;1 INR:USD 0.014;A;2%;2%;60;Stable;
62;ASX200;Consumer Cyclical;1.2%;VIX-22;2.8%;8:1;1.5 Trillion;7.1 M;1 AUD:USD 0.76;AAA;1.3%;0.8%;77;Stable;
63;BSESENSEX;Healthcare;0.8%;VIX-28;3.2%;12:1;2.2 Trillion;6.8 M;1 INR:USD 0.014;A;1.5%;1%;72;Stable;
64;FTSE100;Utilities;0.9%;VIX-35;4%;15:1;2.8 Trillion;5.6 M;1 GBP:USD 1.25;AA;0.5%;1.2%;65;Stable;
65;Nikkei225;Industrials;0.6%;VIX-20;1.8%;14:1;5 Trillion;9.4 M;1 JPY:USD 0.009;AA;-0.1%;0.4%;83;Stable;
66;KOSPI;Consumer Defensive;0.4%;VIX-15;2.4%;7:1;1.2 Trillion;7.5 M;1 KRW:USD 0.0008;A+;2%;0.3%;80;Stable;
67;CAC40;Real Estate;1%;VIX-40;4.5%;16:1;3 Trillion;6.2 M;1 EUR:USD 1.10;AA;1%;1.1%;64;Stable;
68;DAX;Financials;0.5%;VIX-30;3.2%;11:1;2.2 Trillion;8.4 M;1 EUR:USD 1.10;AAA;0.5%;0.8%;74;Stable;
69;SMI;Healthcare;0.3%;VIX-45;5%;17:1;1.5 Trillion;4.8 M;1 CHF:USD 0.98;AAA;0%;0.5%;71;Stable;</s>
70; FTSE 100;Utilities;0.7%;VIX-100;6%;14:1;2.5 Trillion;7.1 M;1 GBP:USD 1.28;AA;2%;1.5%;86;Stable;
71;NASDAQ;Technology;1.2%;VIX-50;4%;20:1;6 Trillion;9.8 M;1 USD:EUR 0.88;AAA;1.5%;1.2%;82;Stable;
72;Nikkei 225;Industrials;0.4%;VIX-60;3.5%;15:1;4.5 Trillion;11.3 M;1 JPY:USD 0.009;AA;0%;0.7%;93;Stable;
73;BOM 30;Energy;1.5%;VIX-75;4.8%;12:1;2.8 Trillion;5.5 M;1 INR:USD 0.013;AA;2.5%;2%;61;Stable;
74;Ibovespa;Consumer Discretionary;0.9%;VIX-80;5.2%;13:1;1.2 Trillion;10.6 M;1 BRL:USD 0.23;AA;5%;2.2%;67;Stable;
75;ASX 200;Materials;0.6%;VIX-90;6.5%;18:1;1.7 Trillion;6.8 M;1 AUD:USD 0.73;AAA;1%,0.6%;75;Stable;;
76;KOSPI;Consumer Staples;0.8%;VIX-100;5.8%;16:1;2 Trillion;8.6 M;1 KRW:USD 0.0008;AAA;0.5%,0.7%;78;Stable;;
77;HSI;Communication Services;1.1%;VIX-110;4.9%;19:1;3.5 Trillion;7.3 M;1 HKD:USD 0.12;AA,1.2%;1%;68;Stable;;
78;STOXX 50;Information Technology;1%;VIX-120;5.6%;20:1;2 Trillion;8.1 M;1 EUR:USD 1.15;AA,1%;0.9%;70;Stable;;
79;TSE 20;Utilities;0.5%;VIX-130;6.3%;14:1;1.5 Trillion;10.2 M;1 TWD:USD 0.03;AA,2%;1.5%;79;Stable;</s>;
80; FTSE 100;Financials;0.7%;VIX-100;5.1%;15:1;3 Trillion;9.8 M;1 GBP:USD 1.25;AA,1.5%;1.2%;65;Stable;;
81;NASDAQ 100;Consumer Discretionary;0.9%;VIX-115;3.8%;25:1;5 Trillion;12.9 M;1 USD:USD 1.00;AA+,0.9%;1.1%;72;Stable;;
82;Nikkei 225;Industrials;0.6%;VIX-125;4.1%;16:1;4.5 Trillion;11.5 M;1 JPY:USD 0.008;AA,1%;1.3%;80;Stable;;
83;CAC 40;Health Care;0.8%;VIX-135;6%;13:1;2.5 Trillion;7.7 M;1 EUR:USD 1.10;AA-,1.8%;1.6%;75;Stable;;
84;DAX 30;Consumer Staples;0.5%;VIX-140;7.2%;12:1;3 Trillion;8.5 M;1 EUR:USD 1.05;AA+,1%;1.7%;60;Stable;;
85;Hang Seng Index;Real Estate;1.2%;VIX-95;4.5%;18:1;2 Trillion;6.7 M;1 HKD:USD 0.13;AA,1.1%;1.4%;67;Stable;;
86;KOSPI 200;Energy;0.4%;VIX-150;8.5%;11:1;2.8 Trillion;9.6 M;1 KRW:USD 0.0009;AA-,2.3%;1.9%;78;Stable;;
87;NIFTY 50;Materials;0.9%;VIX-160;10%;9:1;2 Trillion;10.3 M;1 INR:USD 0.014;A,2.4%;2.1%;85;Stable;;
88;Ibovespa;Utilities;1%;VIX-170;11.5%;7:1;1.7 Trillion;11.9 M;1 BRL:USD 0.20;BBB-,2.9%;2.8%;82;Stable;;
89;JSE Limited;Financials;1.5%;VIX-145;9%;10:1;1.6 Trillion;12.1 M;1 ZAR:USD 0.059;BBB,2.2%;3.3%;74;Stable;</s>;
90; S&P 500;Health Care;0.75%;VIX-150;12%;16:1;25 Trillion;15.6 M;1 USD:EUR 0.85;AAA,1.8%;2.5%;80;Stable;;
91;Nikkei 225;Industrials;0.5%;VIX-165;8%;12:1;6 Trillion;13.8 M;1 JPY:USD 0.009;AA-,1.2%;1.1%;25;Stable;;
92;ASX 200;Information Technology;1.25%;VIX-148;10.5%;8:1;2 Trillion;14.5 M;1 AUD:USD 0.72;A+,2.3%;2.2%;68;Stable;;
93;FTSE 100;Energy;1%;VIX-172;11%;15:1;3 Trillion;16.2 M;1 GBP:USD 1.23;A,3%;2.6%;83;Stable;;
94;CAC 40;Communication Services;0.6%;VIX-155;13%;14:1;2.5 Trillion;17.8 M;1 EUR:USD 1.1;AA-,2%;2.4%;79;Stable;;
95;KOSPI;Consumer Discretionary;0.85%;VIX-168;9.5%;9:1;1.5 Trillion;18.9 M;1 KRW:USD 0.0008;AA,1.7%;1.5%;65;Stable;;
96;BSE SENSEX;Consumer Staples;1.1%;VIX-158;11%;11:1;2.2 Trillion;19.6 M;1 INR:USD 0.014;A+,2.7%;2%;78;Stable;;
97;SWISS MARKET;Real Estate;0.95%;VIX-142;8.5%;13:1;1.8 Trillion;20.1 M;1 CHF:USD 1;AAA,1.5%;1%;62;Stable;;
98;TSX Composite;Energy;0.4%;VIX-175;12.5%;7:1;3 Trillion;21.2 M;1 CAD:USD 0.75;AA-,1.8%;3%;76;Stable;;
99;HSI;Health Care;1.3%;VIX-147;10%;10:1;4 Trillion;22.8 M;1 HKD:USD 0.12;AA,1.9%;2.3%;72;Stable;</s>;
100; NASDAQ Composite;Technology;0.6%;VIX-163;9.5%;28:1;7.5 Trillion;26.3 M;1 USD:EUR 0.85;AA+,1.7%;1.2%;65;Stable;;
101;Nikkei 225;Financials;0.2%;VIX-154;6%;15:1;5 Trillion;23.9 M;1 JPY:USD 0.008;AA-,2.1%;0.5%;3%;Moderate;;
102;FTSE 100;Basic Materials;1.1%;VIX-145;7%;12:1;2.5 Trillion;21.8 M;1 GBP:USD 1.2;AA,2%;1.5%;2.5%;Stable;;
103;CAC 40;Consumer Discretionary;0.8%;VIX-149;7.5%;14:1;2 Trillion;18.4 M;1 EUR:USD 1.1;AA-,1.9%;1.6%;4.5%;Stable;;
104;Bovespa;Industrials;1.4%;VIX-159;9%;9:1;1.2 Trillion;15.6 M;1 BRL:USD 0.2;BBB,3%;6%;8%;Stable;;
105;Ibovespa;Consumer Staples;1.2%;VIX-161;8.5%;8:1;800 Billion;13.2 M;1 BRL:USD 0.2;BBB-,3.2%;6.5%;9%;Moderate;;
106;KOSPI;Telecommunication Services;0.7%;VIX-156;8%;11:1;1.5 Trillion;16.7 M;1 KRW:USD 0.0008;A+,1.6%;0.8%;2.8%;Stable;;
107;STRICTLY;Utility;1%;VIX-150;7%;16:1;1 Trillion;14.5 M;1 SGD:USD 0.7;AA-,2.2%;1.7%;3%;Stable;;
108;SENSEX;Information Technology;0.5%;VIX-167;10%;7:1;3.5 Trillion;24.6 M;1 INR:USD 0.014;BBB+,2.5%;1.9%;5%;Stable;;
109;BM&F BVL;Financials;1.3%;VIX-153;7%;12:1;600 Billion;10.5 M;1 PEN:USD 0.26;BBB,2%;2%;6%;Moderate.</s>;;
