;Type of Geometry;Shape Attributes;Elemental Associations;Cultural Context;Significance in Theory;Methods of Divination;Possible Outcomes;Interpretation & Ritual Use;Limitation on Alphanumeric Readability;Frequency Used by Culture;Inherited vs Innovative Methods;Zodiac Sign Symbolism;Planetary Connections
18; Type of Geometry: Octadecagram; Shape Attributes: Eighteen-pointed star, Abundance; Elemental Associations: Eighteen Arhats, Enlightenment; Cultural Context: Buddhist; Significance in Theory: Represents abundance, prosperity, and enlightenment; Methods of Divination: I Ching; Possible Outcomes: Abundance, Prosperity, Enlightenment; Interpretation & Ritual Use: Use in rituals promoting prosperity and seeking enlightenment; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Sagittarius, the adventurous and optimistic sign; Planetary Connections: Jupiter, the planet of expansion and abundance.
19; Type of Geometry: Icosagram; Shape Attributes: Twenty-pointed star, Unity; Elemental Associations: Twenty Elements, Creation; Cultural Context: Alchemical; Significance in Theory: Represents unity, connection, and creation; Methods of Divination: Alchemical divination; Possible Outcomes: Unity, Connection, Creation; Interpretation & Ritual Use: Use in rituals promoting unity and creating change; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Pisces, the imaginative and spiritual sign; Planetary Connections: Neptune, the planet of spirituality and illusion.</s>
20;  Type of Geometry: Icositetragram; Shape Attributes: Twenty-four-pointed star, Balance; Elemental Associations: Twenty-four Elements, Harmony; Cultural Context: Taoist; Significance in Theory: Represents balance, harmony, and equilibrium; Methods of Divination: Taoist divination; Possible Outcomes: Balance, Harmony, Equilibrium; Interpretation & Ritual Use: Use in rituals promoting balance and harmony; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the diplomatic and balanced sign; Planetary Connections: Venus, the planet of love and beauty.
21; Type of Geometry: Triacontagram; Shape Attributes: Thirty-pointed star, Wisdom; Elemental Associations: Thirty Seers, Vision; Cultural Context: Celtic; Significance in Theory: Represents wisdom, foresight, and vision; Methods of Divination: Ogham divination; Possible Outcomes: Wisdom, Foresight, Vision; Interpretation & Ritual Use: Use in rituals promoting wisdom and gaining insight; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aquarius, the intellectual and unique sign; Planetary Connections: Uranus, the planet of innovation and revolution.
22; Type of Geometry: Tetracontagram; Shape Attributes: Forty-pointed star, Transformation; Elemental Associations: Forty Symbols, Change; Cultural Context: Hermetic; Significance in Theory: Represents transformation, change, and metamorphosis; Methods of Divination: Hermetic divination; Possible Outcomes: Transformation, Change, Metamorphosis; Interpretation & Ritual Use: Use in rituals promoting transformation and personal growth; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Capricorn, the strategic and ambitious sign; Planetary Connections: Saturn, the planet of limitation and structure.
23; Type of Geometry: Pentacontagram; Shape Attributes: Fifty-pointed star, Direction; Elemental Associations: Fifty Winds, Movement; Cultural Context: Native American; Significance in Theory: Represents direction, movement, and change; Methods of Divination: Smoke divination; Possible Outcomes: Direction, Movement, Change; Interpretation & Ritual Use: Use in rituals seeking guidance and direction; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aries, the adventurous and courageous sign; Planetary Connections: Mars, the planet of action and energy.
24; Type of Geometry: Hexacontagram; Shape Attributes: Sixty-pointed star, Communication; Elemental Associations: Sixty Tones, Communication; Cultural Context: Mayan; Significance in Theory: Represents communication, expression, and understanding; Methods of Divination: Mayan numerology; Possible Outcomes: Communication, Expression, Understanding; Interpretation & Ritual Use: Use in rituals promoting communication and expression; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Taurus, the patient and resourceful sign; Planetary Connections: Mercury, the planet of communication and intellect.
25; Type of Geometry: Heptacontagram; Shape Attributes: Seventy-pointed star, Empathy; Elemental Associations: Seventy Spirits, Healing; Cultural Context: African; Significance in Theory: Represents empathy, healing, and compassion; Methods of Divination: Ancestral spirit divination; Possible Outcomes: Empathy, Healing, Compassion; Interpretation & Ritual Use: Use in rituals promoting healing and compassion; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Gemini, the adaptable and versatile sign; Planetary Connections: Venus, the planet of love and beauty.
26; Type of Geometry: Octacontagram; Shape Attributes: Eighty-pointed star, Inspiration; Elemental Associations: Eighty Muses, Creativity; Cultural Context: Greek; Significance in Theory: Represents inspiration, creativity, and artistic expression; Methods of Divination: Bibliomancy; Possible Outcomes: Inspiration, Creativity, Expression; Interpretation & Ritual Use: Use in rituals promoting creativity and artistic expression; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the emotional and nurturing sign; Planetary Connections: Moon, the planet of emotion and intuition.
27; Type of Geometry: Enneacontagram; Shape Attributes: Ninety-pointed star, Purification; Elemental Associations: Ninety Angels, Cleansing; Cultural Context: Jewish; Significance in Theory: Represents purification, cleansing, and renewal; Methods of Divination: Kabbalah numerology; Possible Outcomes: Purification, Cleansing, Renewal; Interpretation & Ritual Use: Use in rituals promoting purification and renewal; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Leo, the confident and charismatic sign; Planetary Connections: Sun, the planet of ego and identity.
28; Type of Geometry: Hectogram; Shape Attributes: Hundred-pointed star, Unity; Elemental Associations: Hundred Elements, Completeness; Cultural Context: Chinese; Significance in Theory: Represents unity, completeness, and wholeness; Methods of Divination: Chinese oracle bones; Possible Outcomes: Unity, Completeness, Wholeness; Interpretation & Ritual Use: Use in rituals promoting unity and completeness; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Virgo, the organized and analytical sign; Planetary Connections: Mercury, the planet of communication and intellect.
29; Type of Geometry: Chiliagram; Shape Attributes: Thousand-pointed star, Perfection; Elemental Associations: Thousand Archangels, Divinity; Cultural Context: Christian; Significance in Theory: Represents perfection, divinity, and enlightenment; Methods of Divination: Christian numerology; Possible Outcomes: Perfection, Divinity, Enlightenment; Interpretation & Ritual Use: Use in rituals promoting perfection and enlightenment; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Capricorn, the strategic and ambitious sign; Planetary Connections: Saturn, the planet of limitation and structure.</s>
30;  Type of Geometry: Deltagram; Shape Attributes: Triangular, Balance; Elemental Associations: Three Elements, Harmony; Cultural Context: Greek; Significance in Theory: Represents balance, harmony, and stability; Methods of Divination: Gyromancy; Possible Outcomes: Balance, Harmony, Stability; Interpretation & Ritual Use: Use in rituals promoting balance and harmony; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the balanced and diplomatic sign; Planetary Connections: Venus, the planet of love and beauty.
31; Type of Geometry: Tetragrammaton; Shape Attributes: Four-lettered name of God, Divine Name; Elemental Associations: Four Elements, Creation; Cultural Context: Jewish; Significance in Theory: Represents creation, divinity, and power; Methods of Divination: Meditative visualization; Possible Outcomes: Creation, Empowerment, Illumination; Interpretation & Ritual Use: Use in rituals promoting creation and empowerment; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aries, the pioneering and energetic sign; Planetary Connections: Mars, the planet of action and energy.
32; Type of Geometry: Sexagram; Shape Attributes: Six-pointed star, Union; Elemental Associations: Six Elements, Harmonization; Cultural Context: Hindu; Significance in Theory: Represents union, harmonization, and balance; Methods of Divination: Shastras; Possible Outcomes: Union, Harmonization, Balance; Interpretation & Ritual Use: Use in rituals promoting union and harmonization; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Taurus, the reliable and patient sign; Planetary Connections: Venus, the planet of love and beauty.
33; Type of Geometry: Heptagram; Shape Attributes: Seven-pointed star, Spirituality; Elemental Associations: Seven Planets, Astrological Influence; Cultural Context: Islamic; Significance in Theory: Represents spirituality, mysticism, and guidance; Methods of Divination: Dream interpretation; Possible Outcomes: Spirituality, Mysticism, Guidance; Interpretation & Ritual Use: Use in rituals promoting spirituality and mysticism; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Sagittarius, the adventurous and philosophical sign; Planetary Connections: Jupiter, the planet of wisdom and abundance.
34; Type of Geometry: Octagram; Shape Attributes: Eight-pointed star, Regeneration; Elemental Associations: Eight Winds, New Beginnings; Cultural Context: African; Significance in Theory: Represents regeneration, adaptability, and resilience; Methods of Divination: Throwing bones; Possible Outcomes: Regeneration, Renewal, New Beginnings; Interpretation & Ritual Use: Use in rituals promoting regeneration and adaptability; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Scorpio, the resourceful and determined sign; Planetary Connections: Pluto, the planet of transformation and rebirth.
35; Type of Geometry: Enneagram; Shape Attributes: Nine-pointed star, Transformation; Elemental Associations: Nine Realms, Spiritual Evolution; Cultural Context: Celtic; Significance in Theory: Represents transformation, spiritual growth, and self-discovery; Methods of Divination: Ogham divination; Possible Outcomes: Transformation, Spiritual Growth, Self-Discovery; Interpretation & Ritual Use: Use in rituals promoting transformation and self-discovery; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the nurturing and emotional sign; Planetary Connections: Moon, the planet of emotions and intuition.
36; Type of Geometry: Decagram; Shape Attributes: Ten-pointed star, Completion; Elemental Associations: Ten Elements, Wholeness; Cultural Context: Native American; Significance in Theory: Represents completion, wholeness, and unity; Methods of Divination: Smoke divination; Possible Outcomes: Completion, Wholeness, Unity; Interpretation & Ritual Use: Use in rituals promoting completion and unity; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Gemini, the adaptable and versatile sign; Planetary Connections: Mercury, the planet of communication and intellect.
37; Type of Geometry: Hendecagram; Shape Attributes: Eleven-pointed star, Innovation; Elemental Associations: Eleven Dimensions, New Possibilities; Cultural Context: Modern; Significance in Theory: Represents innovation, new possibilities, and progression; Methods of Divination: Technomancy; Possible Outcomes: Innovation, New Possibilities, Progression; Interpretation & Ritual Use: Use in rituals promoting innovation and progression; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Aquarius, the progressive and innovative sign; Planetary Connections: Uranus, the planet of originality and invention.
38; Type of Geometry: Dodecagram; Shape Attributes: Twelve-pointed star, Duality; Elemental Associations: Twelve Elements, Cycles; Cultural Context: Eastern; Significance in Theory: Represents duality, cycles, and harmony; Methods of Divination: Yijing; Possible Outcomes: Duality, Balance, Harmony; Interpretation & Ritual Use: Use in rituals promoting duality and harmony; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Pisces, the intuitive and compassionate sign; Planetary Connections: Neptune, the planet of dreams and illusions.
39; Type of Geometry: Icosagram; Shape Attributes: Twenty-pointed star, Integration; Elemental Associations: Twenty Elements, Synthesis; Cultural Context: New Age; Significance in Theory: Represents integration, synthesis, and unity; Methods of Divination: Tarot cards; Possible Outcomes: Integration, Synthesis, Unity; Interpretation & Ritual Use: Use in rituals promoting integration and unity; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Leo, the confident and charismatic sign; Planetary Connections: Sun, the planet of ego and identity.</s>
40;  Type of Geometry: Octagram; Shape Attributes: Eight-pointed star, Balance; Elemental Associations: Eight Directions, Cycles; Cultural Context: Western; Significance in Theory: Represents balance, cycles, and harmony; Methods of Divination: Astrology; Possible Outcomes: Balance, Stability, Harmony; Interpretation & Ritual Use: Use in rituals promoting balance and stability; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Capricorn, the disciplined and responsible sign; Planetary Connections: Saturn, the planet of discipline and responsibility.
41; Type of Geometry: Enneagram; Shape Attributes: Nine-pointed star, Transformation; Elemental Associations: Nine Realms, Change; Cultural Context: Celtic; Significance in Theory: Represents transformation, change, and growth; Methods of Divination: Runes; Possible Outcomes: Transformation, Change, Growth; Interpretation & Ritual Use: Use in rituals promoting change and transformation; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Scorpio, the intense and passionate sign; Planetary Connections: Pluto, the planet of transformation and power.
42; Type of Geometry: Hexagram; Shape Attributes: Six-pointed star, Union; Elemental Associations: Six Elements, Connection; Cultural Context: Jewish; Significance in Theory: Represents union, connection, and protection; Methods of Divination: Kabbalah; Possible Outcomes: Union, Connection, Protection; Interpretation & Ritual Use: Use in rituals promoting union and protection; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Gemini, the adaptable and intellectual sign; Planetary Connections: Mercury, the planet of communication and intellect.
43; Type of Geometry: Pentagram; Shape Attributes: Five-pointed star, Balance; Elemental Associations: Five Elements, Harmony; Cultural Context: Pagan; Significance in Theory: Represents balance, harmony, and protection; Methods of Divination: Pendulum; Possible Outcomes: Balance, Harmony, Protection; Interpretation & Ritual Use: Use in rituals promoting balance and protection; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Taurus, the reliable and patient sign; Planetary Connections: Venus, the planet of love and beauty.
44; Type of Geometry: Decagram; Shape Attributes: Ten-pointed star, Completion; Elemental Associations: Ten Numbers, Wholeness; Cultural Context: Hindu; Significance in Theory: Represents completion, wholeness, and spiritual growth; Methods of Divination: Numerology; Possible Outcomes: Completion, Wholeness, Spiritual Growth; Interpretation & Ritual Use: Use in rituals promoting completion and spiritual growth; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Virgo, the analytical and detail-oriented sign; Planetary Connections: Mercury, the planet of communication and intellect.
45; Type of Geometry: Heptagram; Shape Attributes: Seven-pointed star, Spirituality; Elemental Associations: Seven Colors, Divine Light; Cultural Context: Islamic; Significance in Theory: Represents spirituality, divine light, and knowledge; Methods of Divination: Dream interpretation; Possible Outcomes: Spirituality, Divine Light, Knowledge; Interpretation & Ritual Use: Use in rituals promoting spirituality and divine knowledge; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the diplomatic and sociable sign; Planetary Connections: Venus, the planet of love and beauty.
46; Type of Geometry: Triskaidecagram; Shape Attributes: Thirteen-pointed star, Transformation; Elemental Associations: Thirteen Moons, Cycles; Cultural Context: Native American; Significance in Theory: Represents transformation, cycles, and intuition; Methods of Divination: Smoke reading; Possible Outcomes: Transformation, Cycles, Intuition; Interpretation & Ritual Use: Use in rituals promoting transformation and intuition; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Sagittarius, the adventurous and optimistic sign; Planet</s>
47;  Type of Geometry: Icosahedron; Shape Attributes: Twelve vertices, Dodecahedron dual; Elemental Associations: Water, Emotion; Cultural Context: Greek; Significance in Theory: Symbolizes fluidity, adaptability, and intuition; Methods of Divination: Hydromancy; Possible Outcomes: Emotional balance, Adaptability, Intuition; Interpretation & Ritual Use: Use in rituals promoting emotional healing and growth; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the emotional and nurturing sign; Planetary Connections: Moon, the planet of emotions and cycles.
48; Type of Geometry: Enneagram; Shape Attributes: Nine-pointed star, Inner wisdom; Elemental Associations: Nine Muses, Inspiration; Cultural Context: Western; Significance in Theory: Represents inner wisdom, personal growth, and transformation; Methods of Divination: Enneagram personality tests; Possible Outcomes: Personal growth, Self-awareness, Inner wisdom; Interpretation & Ritual Use: Use in therapy and personal development practices; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Scorpio, the intuitive and secretive sign; Planetary Connections: Pluto, the planet of transformation and rebirth.
