;BotanicalName;ScientificClassification;NativeOrIntroduced;OptimalSunlight;pHarDiNeSS;LeAFArRANGEmeNT;SoilTyPe;WateRIngNeEd;SuGaRSPrUNInGGTeChniQUE;PRoPErCoUlsCOde;CollecTIOnValuEs
12;Papaver somniferum;Papaveraceae;Introduced;Full Sun;pH 6.0-7.0; Annual;Well-drained, loamy;Medium;Remove spent flowers to encourage more blooming;4H4;Edible seeds, ornamental
13;Rosa 'Peace';Rosaceae;Introduced;Full Sun;pH 6.0-8.0; Deciduous;Well-drained, loamy;Medium;Prune for shape and air circulation, remove dead or dying foliage;5I5;Edible hips, ornamental
14;Dahlia 'Bishop of Llandaff';Asteraceae;Introduced;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, loamy;Medium;Deadhead to encourage reblooming, cut back in fall;6J6;Ornamental
15;Helianthus annuus;Asteraceae;Native;Full Sun;pH 6.0-7.0; Annual;Well-drained, loamy;High;Stake tall varieties, allow lower varieties to self-seed;7G7;Edible seeds, ornamental
16;Lilium 'Stargazer';Liliaceae;Introduced;Partial Shade;pH 6.0-7.0; Bulb;Well-drained, loamy;Medium-high;Remove spent flowers, divide every 3-4 years;8H8;Ornamental
17;Fuchsia 'Gartenmeister Bonstedt';Onagraceae;Introduced;Partial Shade;pH 5.5-6.5; Evergreen;Well-drained, sandy loam;Medium;Prune in early spring, pinch back to encourage branching;9I9;Ornamental, supports pollinators
18;Passiflora edulis;Passifloraceae;Introduced;Full Sun;pH 6.0-7.0; Perennial vine;Well-drained, loamy;Medium-high;Prune in spring for shape, remove dead or dying foliage;10J10;Edible fruit, ornamental
19;Viola 'Heartsease';Violaceae;Native;Partial Shade;pH 6.0-8.0; Herbaceous perennial;Well-drained, loamy;Medium;Deadhead to encourage reblooming, divide every 2-3 years;11G11;Edible flowers, ornamental</s>
20; Rosa 'Madame Hardy';Rosaceae;Introduced;Full Sun;pH 6.0-6.5; Shrub;Well-drained, loamy;Medium;Prune in early spring, deadhead spent flowers;12H12;Ornamental, supports pollinators
21;Helleborus 'Winter Jewels';Ranunculaceae;Native;Partial Shade;pH 6.5-8.0; Herbaceous perennial;Well-drained, loamy;Low;Divide every 4-5 years, remove dead or dying foliage;13J13;Ornamental, winter blooming
22;Heuchera 'Palace Purple';Saxifragaceae;Native;Partial Shade;pH 6.0-7.0; Herbaceous perennial;Well-drained, humus-rich;Medium;Shear back foliage in late winter, remove dead leaves;14R14;Ornamental, long blooming season
23;Echinacea purpurea 'Magnus';Asteraceae;Native;Full Sun;pH 6.0-7.5; Herbaceous perennial;Well-drained, sandy loam;Medium-high;Deadhead to encourage reblooming, divide every 2-3 years;15N15;Medicinal, ornamental
24;Digitalis purpurea 'Strawberry Ice';Plantaginaceae;Native;Partial Shade;pH 5.5-6.5; Biennial;Well-drained, humus-rich;Medium;Shear back foliage in late winter, collect seed for next year;16T16;Ornamental, medicinal
25;Delphinium elatum 'Blue Mirror';Ranunculaceae;Introduced;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, humus-rich;Medium-high;Stake for support, remove dead flowers;17F17;Ornamental, cut flowers
26;Clematis 'Duchess of Albany';Ranunculaceae;Introduced;Partial Shade;pH 6.5-7.5; Woody vine;Well-drained, sandy loam;Medium;Prune in early spring, remove dead leaves;18S18;Ornamental, supports pollinators
27;Campanula persicifolia 'Alba';Campanulaceae;Native;Partial Shade;pH 6.0-7.5; Herbaceous perennial;Well-drained, humus-rich;Medium;Shear back foliage in late winter, remove dead leaves;19D19;Ornamental, long blooming season
28;Astrantia major 'Shaggy';Apiaceae;Native;Partial Shade;pH 6.0-7.0; Herbaceous perennial;Well-drained, humus-rich;Medium;Divide every 3-4 years, remove dead leaves;20L20;Ornamental, supports pollinators
29;Actaea racemosa 'Black Negligee';Ranunculaceae;Native;Partial Shade;pH 5.5-7.5; Herbaceous perennial;Moist, humus-rich;Medium;Divide every 4-5 years, remove dead leaves;21P21;Ornamental, attracts butterflies</s>
30; Echinacea purpurea 'Magnus';Asteraceae;Native;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, average;Medium;Deadhead spent flowers, divide every 2-3 years;22Q22;Ornamental, attracts birds and butterflies
31;Helianthus tuberosus 'Lemon Queen';Asteraceae;Native;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, lift tubers in fall;23R23;Ornamental, edible tubers and seeds
32;Rudbeckia fulgida 'Goldsturm';Asteraceae;Native;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, average;Medium;Deadhead spent flowers, divide every 4-5 years;24S24;Ornamental, attracts butterflies
33;Coreopsis verticillata 'Moonbeam';Asteraceae;Native;Full Sun;pH 5.5-7.5; Herbaceous perennial;Well-drained, average;Low;Shear back foliage in late winter, divide every 2-3 years;25T25;Ornamental, long blooming season
34;Penstemon digitalis 'Husker Red';Plantaginaceae;Native;Full Sun;pH 5.5-7.0; Herbaceous perennial;Well-drained, average;Medium;Cut back after blooming, divide every 3-4 years;26U26;Ornamental, attracts hummingbirds
35;Veronica spicata 'Royal Candles';Plantaginaceae;Native;Full Sun;pH 6.0-7.5; Herbaceous perennial;Well-drained, average;Low;Shear back foliage in late winter, divide every 4-5 years;27V27;Ornamental, long blooming season
36;Sedum 'Autumn Joy';Crassulaceae;Native;Full Sun;pH 6.0-7.5; Succulent perennial;Well-drained, average;Low;Cut back stems in late winter, divide every 4-5 years;28W28;Ornamental, attracts butterflies
37;Hylotelephium spectabile 'Herbstfreude';Crassulaceae;Native;Full Sun;pH 6.0-7.5; Succulent perennial;Well-drained, average;Low;Cut back stems in late winter, divide every 4-5 years;29X29;Ornamental, attracts butterflies
38;Geranium 'Rozanne';Geraniaceae;Introduced;Partial Shade;pH 5.5-7.5; Herbaceous perennial;Well-drained, average;Medium;Pinch back in early summer to promote bushiness, divide every 4-5 years;30Y30;Ornamental, long blooming season
39;Heuchera 'Palace Purple';Saxifragaceae;Native;Partial Shade;pH 6.0-7.5; Herbaceous perennial;Well-drained, humus-rich;Low;Remove spent leaves, divide every 3-4 years;31Z31;Ornamental, supports pollinators</s>
40; Aquilegia canadensis;Ranunculaceae;Native;Partial Shade;pH 5.5-7.0; Herbaceous perennial;Moist, well-drained;Medium;Deadhead spent flowers, divide every 4-5 years;40A40;Ornamental, supports pollinators
41;Echinacea purpurea;Asteraceae;Native;Full Sun;pH 5.5-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 2-3 years, cut back in fall;41B41;Medicinal, ornamental
42;Helianthus annuus;Asteraceae;Native;Full Sun;pH 6.0-7.5; Annual or biennial;Well-drained, average;High;Stake tall varieties, harvest seeds in fall;42C42;Ornamental, edible
43;Lobelia cardinalis;Campanulaceae;Native;Full Sun to Partial Shade;pH 6.0-7.5; Herbaceous perennial;Moist to wet, organically rich;Medium;Divide clumps every 3-4 years, cut back in late winter;43D43;Ornamental, attracts hummingbirds
44;Monarda didyma;Lamiaceae;Native;Partial Shade;pH 6.0-7.5; Herbaceous perennial;Moist, well-drained;Medium;Divide every 2-3 years, cut back after flowering;44E44;Ornamental, culinary
45;Penstemon digitalis;Plantaginaceae;Native;Full Sun;pH 6.0-7.5; Herbaceous perennial;Well-drained, average;Medium;Deadhead spent flowers, cut back in late winter;45F45;Ornamental, attracts pollinators
46;Rudbeckia fulgida;Asteraceae;Native;Full Sun;pH 5.5-7.5; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, deadhead spent flowers;46G46;Ornamental, long blooming season
47;Sedum 'Autumn Joy';Crassulaceae;Introduced;Full Sun;pH 6.0-7.5; Succulent perennial;Well-drained, average;Low;Cut back stems in late winter, divide every 4-5 years;47H47;Ornamental, attracts butterflies
48;Veronicastrum virginicum;Caprifoliaceae;Native;Full Sun to Partial Shade;pH 5.5-7.5; Herbaceous perennial;Moist to wet, well-drained;Medium;Deadhead spent flowers, divide every 3-4 years;48I48;Ornamental, supports pollinators
49;Viola sororia;Violaceae;Native;Partial Shade;pH 5.5-7.5; Herbaceous perennial;Moist, well-drained;Medium;Divide congested clumps, remove spent flowers;49J49;Ornamental, early spring blooms</s>
50; Helianthus annuus;Asteraceae;Native;Full Sun;pH 6.0-7.0; Herbaceous annual;Well-drained, average;High;Stake tall varieties, pinch back to encourage branching;50K50;Ornamental, edible seeds
51;Rhododendron maximum;Ericaceae;Native;Partial Shade;pH 4.5-6.0; Shrub;Moist, well-drained;Medium;Prune dead or damaged branches, fertilize in early spring;51L51;Ornamental, attracts hummingbirds
52;Achillea millefolium;Asteraceae;Introduced;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, average;Low;Divide clumps every 2-3 years, remove dead flowers;52M52;Ornamental, drought tolerant
53;Echinacea purpurea;Asteraceae;Native;Full Sun;pH 5.5-6.8; Herbaceous perennial;Well-drained, average;Medium;Deadhead spent flowers, divide every 3-4 years;53N53;Ornamental, medicinal uses
54;Fothergilla gardenii;Hamamelidaceae;Native;Partial Shade;pH 4.5-6.5; Shrub;Well-drained, acidic;Medium;Prune lightly to shape, fertilize in early spring;54O54;Ornamental, fall color
55;Hibiscus syriacus;Malvaceae;Introduced;Full Sun;pH 6.0-7.0; Shrub;Well-drained, average;Medium;Prune in late winter, remove spent flowers;55P55;Ornamental, attracts hummingbirds
56;Liriodendron tulipifera;Magnoliaceae;Native;Partial Shade;pH 4.5-7.0; Tree;Well-drained, moist;Medium;Prune dead or damaged branches, fertilize in early spring;56Q56;Ornamental, spring blooms
57;Penstemon digitalis;Plantaginaceae;Native;Full Sun;pH 6.0-7.5; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, deadhead spent flowers;57R57;Ornamental, supports pollinators
58;Solidago rugosa 'Fireworks';Asteraceae;Native;Full Sun;pH 5.0-8.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 4-5 years, cut back in late winter;58S58;Ornamental, fall color
59;Hemerocallis fulva;Asphodelaceae;Introduced;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 2-3 years, remove dead leaves;59T59;Ornamental, long blooming period</s>
60; Aquilegia canadensis;Ranunculaceae;Native;Partial Shade;pH 6.0-7.5; Herbaceous perennial;Moist, well-drained;Medium;Divide every 4-5 years, deadhead spent flowers;60U60;Ornamental, attracts hummingbirds
61;Rudbeckia hirta;Asteraceae;Native;Full Sun;pH 5.5-6.5; Herbaceous perennial;Well-drained, average;Medium;Shear back after first flush of blooms, divide every 3-4 years;61V61;Ornamental, cut flowers
62;Echinacea purpurea;Asteraceae;Native;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 2-3 years, deadhead spent flowers;62W62;Ornamental, medicinal, supports pollinators
63;Liriope spicata;Asparagaceae;Introduced;Partial Shade;pH 5.5-7.0; Perennial grass;Well-drained;Medium;Divide every 3-4 years, cut back in late winter;63X63;Groundcover, erosion control
64;Sedum spectabile;Crassulaceae;Introduced;Full Sun;pH 6.0-7.0; Succulent;Well-drained, average;Low;Divide every 4-5 years, remove old leaves;64Y64;Ornamental, attracts butterflies
65;Monarda didyma;Lamiaceae;Native;Partial Shade;pH 6.0-7.0; Herbaceous perennial;Moist, well-drained;Medium;Divide every 3-4 years, cut back in spring;65Z65;Ornamental, culinary, supports pollinators
66;Hibiscus syriacus;Malvaceae;Introduced;Full Sun;pH 5.5-7.5; Deciduous shrub;Well-drained, average;Medium;Prune in late winter, deadhead spent flowers;66166;Ornamental, attracts hummingbirds
67;Amsonia tabernaemontana;Apocynaceae;Native;Full Sun;pH 4.5-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 4-5 years, cut back in late winter;67267;Ornamental, fall color, supports pollinators
68;Coreopsis verticillata;Asteraceae;Native;Full Sun;pH 5.5-7.5; Herbaceous perennial;Well-drained, average;Low;Divide every 2-3 years, deadhead spent flowers;68368;Ornamental, long blooming period
69;Veronica spicata;Plantaginaceae;Introduced;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, deadhead spent flowers;69469;Ornamental, attracts butterflies</s>
70; Helianthus annuus;Asteraceae;Native;Full Sun;pH 6.0-7.5; Herbaceous annual;Well-drained, average;High;Pinch back for bushier plants, deadhead spent flowers;70570;Ornamental, edible seeds, supports pollinators
71;Achillea millefolium;Asteraceae;Introduced;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 2-3 years, deadhead spent flowers;71671;Ornamental, attracts butterflies
72;Echinacea purpurea;Asteraceae;Native;Full Sun;pH 6.0-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, deadhead spent flowers;72772;Ornamental, medicinal, supports pollinators
73;Rudbeckia fulgida;Asteraceae;Native;Full Sun;pH 5.5-7.0; Herbaceous perennial;Well-drained, average;Medium;Divide every 3-4 years, deadhead spent flowers;73873;Ornamental, long blooming period, supports pollinators
74;Sedum spectabile;Crassulaceae;Introduced;Full Sun;pH 6.0-7.5; Succulent herbaceous perennial;Well-drained, average;Low;Divide every 4-5 years;74974;Ornamental, attracts butterflies, drought tolerant
75;Helleborus orientalis;Ranunculaceae;Introduced;Partial Shade;pH 6.0-8.0; Herbaceous perennial;Well-drained, humus-rich;Medium;Lift and divide overcrowded plants in early spring;75075;Ornamental, winter blooming, deer resistant
76;Aconitum napellus;Ranunculaceae;Introduced;Partial Shade;pH 5.0-6.5; Herbaceous perennial;Well-drained, humus-rich;High;Lift and divide overcrowded plants in early spring;76176;Ornamental, tall spikes, poisonous
77;Dicentra spectabilis;Papaveraceae;Introduced;Partial Shade;pH 5.5-7.5; Herbaceous perennial;Well-drained, humus-rich;Medium;Lift and divide overcrowded plants in early spring;77277;Ornamental, showy flowers, short lived
78;Anemone hupehensis;Ranunculaceae;Introduced;Partial Shade;pH 5.5-7.0; Herbaceous perennial;Well-drained, humus-rich;Medium;Lift and divide overcrowded plants in early spring;78378;Ornamental, late summer blooming, deer resistant
79;Hosta sieboldii;Asparagaceae;Introduced;Partial Shade;pH 6.0-8.0; Herbaceous perennial;Well-drained, humus-rich;Medium;Divide in spring, remove tattered leaves in fall;79479;Ornamental, attractive foliage, shade loving</s>
80; Rosa rugosa;Rosaceae;Introduced;Full Sun;pH 6.0-7.0; Shrub;Well-drained, sandy or loamy;Medium;Prune in early spring to remove dead wood and promote bushiness;80580;Ornamental, edible hips, salt tolerant, disease resistant
81;Penstemon digitalis;Plantaginaceae;Native;Full Sun;pH 6.0-8.0; Herbaceous perennial;Well-drained, average;Medium;Divide clumps every 2-3 years, deadhead spent flowers for rebloom;81681;Ornamental, tall spikes of flowers, attracts hummingbirds
82;Liriodendron tulipifera;Magnoliaceae;Native;Full Sun to Partial Shade;pH 4.5-7.0; Tree;Well-drained, moist;Medium;Prune in winter for structure, remove dead or diseased branches;82782;Ornamental, unique leaf shape, yellow fall color, tulip-shaped flowers
83;Hydrangea quercifolia;Hydrangeaceae;Native;Partial Shade;pH 5.0-6.5; Shrub;Well-drained, moist, acidic;High;Prune in late winter, remove spent flowers for rebloom;83883;Ornamental, large leaves, big clusters of flowers, drought tolerant
84;Fothergilla gardenii;Hamamelidaceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune after flowering to maintain shape and size;84984;Ornamental, spring blooms, fall color, deer resistant
85;Cornus alternifolia;Cornaceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune after flowering to encourage branching, remove dead or diseased wood;85085;Ornamental, horizontal branching pattern, white flowers, blue fruit
86;Aesculus parviflora;Hippocastanaceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune in late winter, remove dead or diseased wood;86186;Ornamental, yellow fall color, showy white flowers, tolerant of heat and drought
87;Clethra alnifolia;Clethraceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune in late winter to encourage bushiness, remove dead or diseased wood;87287;Ornamental, fragrant spikes of flowers, attracts bees and butterflies, salt tolerant
88;Ilex opaca;Aquifoliaceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Low;Prune for shape in late winter, remove dead or diseased wood;88388;Ornamental, evergreen, red berries, wildlife value, fall color
89;Lonicera sempervirens;Caprifoliaceae;Native;Full Sun to Partial Shade;pH 4.0-7.0; Shrub;Well-drained, average;Medium;Prune to maintain shape and encourage blooming, remove dead or diseased wood;89489;Ornamental, tubular red flowers, attracts hummingbirds, tolerates heat and drought</s>
90; Camellia japonica;Theaceae;Introduced;Partial Shade;pH 5.0-6.5; Shrub;Well-drained, acidic;Medium;Prune after flowering to maintain shape, remove dead or diseased wood;90590;Ornamental, showy flowers, evergreen, wide variety of cultivars
91;Hamamelis virginiana;Hamamelidaceae;Native;Partial Shade;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune to maintain shape, can be done in late winter or after flowering;91691;Ornamental, yellow-to-red drooping flowers, fall color, medicinal uses
92;Magnolia grandiflora;Magnoliaceae;Native;Partial Shade;pH 5.5-6.5; Tree;Well-drained, moist, acidic;Medium;Prune to maintain shape, remove dead or diseased wood, can be trained as a screen or espalier;92792;Ornamental, large fragrant white flowers, evergreen, wide variety of cultivars
93;Photinia x fraseri;Rosaceae;Introduced;Partial Shade to Full Sun;pH 5.5-7.5; Shrub;Well-drained, slightly acidic;Medium;Prune in late winter or early spring, shear to maintain size and shape, remove dead or diseased wood;93893;Ornamental, showy white flowers, red color on new growth, widely used in landscaping
94;Rhododendron maximum;Ericaceae;Native;Partial Shade;pH 4.5-6.0; Shrub;Well-drained, acidic;Medium;Prune after flowering, maintain size and shape, remove dead or diseased wood;94994;Ornamental, large trusses of pink-to-white flowers, evergreen, attracts butterflies, wetland value
95;Sorbus aucuparia;Rosaceae;Introduced;Partial Shade to Full Sun;pH 5.0-7.0; Tree;Well-drained, slightly acidic;Medium;Prune in late winter or early spring, can be pruned heavily to encourage new growth, remove dead or diseased wood;95095;Ornamental, white flowers, clusters of red berries, wildlife value
96;Vaccinium corymbosum;Ericaceae;Native;Partial Shade to Full Sun;pH 4.0-5.5; Shrub;Well-drained, acidic;Medium;Prune after fruiting to maintain shape and encourage new growth, remove dead or diseased wood;96196;Edible, blueberries, ornamental, attracts birds and butterflies, supports pollinators
97;Weigela florida;Caprifoliaceae;Introduced;Partial Shade to Full Sun;pH 5.5-8.0; Shrub;Well-drained, average;Medium;Prune after flowering to maintain size and encourage new growth, remove dead or diseased wood;97297;Ornamental, tubular pink or white flowers, attracts hummingbirds, deer resistant
98;Cornus alternifolia;Cornaceae;Native;Partial Shade to Full Sun;pH 4.5-7.0; Shrub;Well-drained, acidic;Medium;Prune after flowering to maintain size and encourage new growth, remove dead or diseased wood, supports pollinators;98398;Ornamental, showy white flowers, horizontal branching pattern, wildlife value
99;Fothergilla gardenii;Hamamelidaceae;Native;Partial Shade to Full Sun;pH 4.0-6.5; Shrub;Well-drained, acidic;Medium;Prune to maintain size and encourage new growth;99499;Ornamental, fragrant white bottlebrush flowers, showy fall color, attracts butterflies, supports pollinators</s>
100; Malus angustifolia;Rosaceae;Native;Full Sun;pH 6.0-8.0; Tree;Well-drained, average;Medium;Prune in late winter or early spring, remove dead or diseased wood;11510;Ornamental, attractive pink-white flowers, small edible fruits, supports pollinators, wildlife value
101;Liquidambar styraciflua;Altingiaceae;Native;Full Sun;pH 4.5-7.5; Tree;Well-drained, acidic;Medium;Prune to maintain shape and remove dead or diseased wood;12611;Ornamental, stunning fall color, dye production, supports pollinators, wildlife value
102;Heuchera villosa;Saxifragaceae;Native;Partial Shade;pH 5.5-8.0; Perennial;Well-drained, average;Medium;Prune to remove faded foliage and spent flowers;13712;Ornamental, evergreen foliage, flower spikes, attracts butterflies, deer resistant
103;Penstemon digitalis;Plantaginaceae;Native;Full Sun;pH 5.5-7.5; Herbaceous perennial;Well-drained, average;Medium;Prune after flowering to remove dead foliage and encourage new growth;14813;Ornamental, tall spikes of white or pink flowers, attracts hummingbirds, supports pollinators
104;Rudbeckia fulgida;Asteraceae;Native;Full Sun;pH 5.5-8.0; Herbaceous perennial;Well-drained, average;Medium;Prune to remove spent flowers and promote new blooms;15914;Ornamental, bright yellow or orange flowers, long blooming season, supports pollinators
105;Hydrangea quercifolia;Hydrangeaceae;Native;Partial Shade to Full Sun;pH 5.0-6.5; Shrub;Well-drained, acidic;Medium;Prune in late winter or early spring, remove dead or diseased wood, supports pollinators;16015;Ornamental, large oak-like leaves, white or pink flowers, attracts butterflies, wildlife value
106;Clethra alnifolia;Clethraceae;Native;Partial Shade to Full Sun;pH 4.5-7.5; Shrub;Well-drained, average;Medium;Prune to maintain size and encourage new growth, remove spent flowers for reblooming;17116;Ornamental, fragrant white flowers, attracts butterflies, deer resistant
107;Spigelia marilandica;Loganiaceae;Native;Partial Shade;pH 5.5-6.5; Herbaceous perennial;Well-drained, acidic;Medium;Prune to remove spent flower stems;17217;Ornamental, tubular red flowers, attracts hummingbirds, supports pollinators
108;Symphoricarpos orbiculatus;Caprifoliaceae;Native;Partial Shade to Full Sun;pH 5.5-8.0; Shrub;Well-drained, average;Low;Prune to maintain size and encourage new growth, supports pollinators, wildlife value;18318;Ornamental, clusters of small white or pink flowers, edible fruits, attracts birds, wildlife value
109;Ptilanthus tuberculatus;Acanthaceae;Introduced;Full Sun;pH 6.0-7.5; Annual;Well-drained, average;Low;Prune dead or dying foliage as needed;19419;Ornamental, delicate pink or white flowers, attracts butterflies, annual, low maintenance plant.</s>
