;time\_period; variable\_type; GDP; $ billion; industry\_code; country\_name; state\_abbreviation; population\_size; data\_source; sample\_description
21;"""2021 Q3"; Nominal; 15200; 2.6; M; China; SHN; 24256800; National Bureau of Statistics;" Shanghai Municipality's GDP data"""
22;"""2021 Q3"; Nominal; 7820; 1.5; C; Germany; BAY; 12718274; Federal Statistical Office;" Bavaria State's GDP data"""
23;"""2021 Q3"; Nominal; 5540; 1.3; C; United Kingdom; GLG; 5502300; Office for National Statistics;" Greater London's GDP data"""
24;"""2021 Q3"; Nominal; 3060; 1.1; C; Russia; MOS; 2998462; Federal State Statistics Service;" Moscow City's GDP data"""
25;"""2021 Q3"; Nominal; 2100; 0.9; C; Australia; NSW; 8035500; Australian Bureau of Statistics;" New South Wales State's GDP data"""
26;"""2021 Q3"; Nominal; 1650; 0.8; C; Canada; QC; 8501929; Statistics Canada;" Quebec Province's GDP data"""
27;"""2021 Q3"; Nominal; 1090; 0.6; C; India; MHM; 11237437; Ministry of Statistics and Programme Implementation;" Maharashtra State's GDP data"""
28;"""2021 Q3"; Nominal; 980; 0.5; C; Spain; CAT; 7591493; Instituto Nacional de Estadistica;" Catalonia Region's GDP data"""
29;"""2021 Q3"; Nominal; 840; 0.4; C; South Korea; KN; 51705124; Bank of Korea;" Gyeonggi Province's GDP data""</s>"
30;" ""2021 Q3"; Real; 1050; 0.6; C; China; SHH; 14110176; National Bureau of Statistics of China;" Shanghai Municipality's GDP data"""
31;"""2021 Q3"; Nominal; 650; 0.4; C; Canada; ONT; 14875242; Statistics Canada;" Ontario Province's GDP data"""
32;"""2021 Q3"; Nominal; 350; 0.3; C; Australia; NSW; 8315612; Australian Bureau of Statistics;" New South Wales' GDP data"""
33;"""2021 Q3"; Real; 280; 0.3; C; Mexico; MEX; 12893275; Instituto Nacional de Estadistica y Geografia;" Mexico Country's GDP data"""
34;"""2021 Q3"; Nominal; 220; 0.2; C; Argentina; ARG; 4511854; Indec - Argentina's National Institute of Statistics and Censuses;" Argentina Country's GDP data"""
35;"""2021 Q3"; Nominal; 120; 0.1; C; Singapore; SNG; 5903879; Department of Statistics, Singapore;" Singapore Country's GDP data"""
36;"""2021 Q3"; Real; 150; 0.1; C; Brazil; BRA; 21496850; Instituto Brasileiro de Geografia e Estatística;" Brazil Country's GDP data"""
37;"""2021 Q3"; Nominal; 440; 0.2; C; Russia; RUS; 14593446; Federal State Statistics Service of Russia;" Russian Federation's GDP data"""
38;"""2021 Q3"; Nominal; 180; 0.1; C; Indonesia; IDN; 27352361; Statistics Indonesia;" Indonesia Country's GDP data"""
39;"""2021 Q3"; Nominal; 260; 0.1; C; Turkey; TUR; 84654215; Turkish Statistical Institute;" Turkey Country's GDP data""</s>"
40;" ""2021 Q4"; Nominal; 460; 0.2; C; Russia; RUS; 14600000; Federal State Statistics Service of Russia;" Russian Federation's Q4 GDP data"""
41;"""2021 Q4"; Nominal; 185; 0.1; C; Indonesia; IDN; 27370000; Statistics Indonesia;" Indonesia Country's Q4 GDP data"""
42;"""2021 Q4"; Nominal; 265; 0.1; C; Turkey; TUR; 84700000; Turkish Statistical Institute;" Turkey Country's Q4 GDP data"""
43;"""2022 Q1"; Nominal; 480; 0.2; C; Russia; RUS; 14606500; Federal State Statistics Service of Russia;" Russian Federation's Q1 GDP data"""
44;"""2022 Q1"; Nominal; 195; 0.1; C; Indonesia; IDN; 27395000; Statistics Indonesia;" Indonesia Country's Q1 GDP data"""
45;"""2022 Q1"; Nominal; 275; 0.1; C; Turkey; TUR; 84750000; Turkish Statistical Institute;" Turkey Country's Q1 GDP data"""
46;"""2022 Q2"; Nominal; 500; 0.2; C; Russia; RUS; 14613000; Federal State Statistics Service of Russia;" Russian Federation's Q2 GDP data"""
47;"""2022 Q2"; Nominal; 200; 0.1; C; Indonesia; IDN; 27420000; Statistics Indonesia;" Indonesia Country's Q2 GDP data"""
48;"""2022 Q2"; Nominal; 285; 0.1; C; Turkey; TUR; 84810000; Turkish Statistical Institute;" Turkey Country's Q2 GDP data"""
49;"""2022 Q3"; Nominal; 520; 0.2; C; Russia; RUS; 14619500; Federal State Statistics Service of Russia;" Russian Federation's Q3 GDP data""</s>"
50;" ""2022 Q3"; Nominal; 18000; 1.0; C; United States; USA; 332860000; Bureau of Economic Analysis;" United States' Q3 GDP data"""
51;"""2022 Q3"; Nominal; 2750; 0.3; C; Brazil; BRA; 214267000; Brazilian Institute of Geography and Statistics;" Brazil's Q3 GDP data"""
52;"""2022 Q3"; Nominal; 1500; 0.2; C; Australia; AUS; 25739000; Australian Bureau of Statistics;" Australia's Q3 GDP data"""
53;"""2022 Q2"; Nominal; 195; 0.1; C; South Africa; ZAF; 60173000; Statistics South Africa;" South Africa's Q2 GDP data"""
54;"""2022 Q3"; Nominal; 650; 0.2; C; Canada; CAN; 38005000; Statistics Canada;" Canada's Q3 GDP data"""
55;"""2022 Q3"; Nominal; 320; 0.1; C; Mexico; MEX; 133638000; Instituto Nacional de Estadística y Geografía;" Mexico's Q3 GDP data"""
56;"""2022 Q2"; Nominal; 120; 0.1; C; Argentina; ARG; 45118000; Indec Argentina;" Argentina's Q2 GDP data"""
57;"""2022 Q3"; Nominal; 850; 0.3; C; India; IND; 1389130000; Ministry of Statistics and Programme Implementation;" India's Q3 GDP data"""
58;"""2022 Q2"; Nominal; 475; 0.1; C; Indonesia; IDN; 27420000; Statistics Indonesia;" Indonesia Country's Q2 GDP data"""
59;"""2022 Q3"; Nominal; 700; 0.2; C; Saudi Arabia; SAU; 35249000; General Authority for Statistics;" Saudi Arabia's Q3 GDP data""</s>"
60;" ""2022 Q4"; Nominal; 900; 0.3; C; Australia; AUS; 25682000; Australian Bureau of Statistics;" Australia's Q4 GDP data"""
61;"""2022 Q1"; Nominal; 650; 0.2; C; Canada; CAN; 37705000; Statistics Canada;" Canada's Q1 GDP data"""
62;"""2022 Q4"; Nominal; 1200; 0.4; C; China; CHN; 1414270000; National Bureau of Statistics of China;" China's Q4 GDP data"""
63;"""2022 Q2"; Nominal; 350; 0.1; C; France; FRA; 67046000; Institut national de la statistique et des études économiques;" France's Q2 GDP data"""
64;"""2022 Q3"; Nominal; 2000; 0.5; C; Germany; DEU; 83318000; Federal Statistical Office of Germany;" Germany's Q3 GDP data"""
65;"""2022 Q1"; Nominal; 150; 0.05; C; Israel; ISR; 9116000; Central Bureau of Statistics (Israel);" Israel's Q1 GDP data"""
66;"""2022 Q4"; Nominal; 500; 0.15; C; Nigeria; NGA; 211420000; National Bureau of Statistics (Nigeria);" Nigeria's Q4 GDP data"""
67;"""2022 Q2"; Nominal; 400; 0.1; C; Russia; RUS; 145934000; Federal State Statistics Service (Russia);" Russia's Q2 GDP data"""
68;"""2022 Q3"; Nominal; 600; 0.2; C; South Korea; KOR; 51705000; Statistics Korea;" South Korea's Q3 GDP data"""
69;"""2022 Q1"; Nominal; 500; 0.1; C; Turkey; TUR; 84339000; Turkish Statistical Institute;" Turkey's Q1 GDP data""</s>"
70;" ""2022 Q4"; Nominal; 550; 0.2; C; Canada; CAN; 38074000; Statistics Canada;" Canada's Q4 GDP data"""
71;"""2022 Q2"; Real; 380; 0.1; D; France; FRA; 67022000; National Institute of Statistics and Economic Studies (France);" France's Q2 GDP data"""
72;"""2022 Q3"; Nominal; 2500; 0.3; C; China; CHN; 1411010000; National Bureau of Statistics (China);" China's Q3 GDP data"""
73;"""2022 Q1"; Real; 18000; 0.4; D; Germany; DEU; 83149000; Federal Statistical Office of Germany;" Germany's Q1 GDP data"""
74;"""2022 Q2"; Nominal; 22000; 0.5; C; Japan; JPN; 125836000; Cabinet Office (Japan);" Japan's Q2 GDP data"""
75;"""2022 Q4"; Nominal; 2400; 0.1; C; Australia; AUS; 25672000; Australian Bureau of Statistics;" Australia's Q4 GDP data"""
76;"""2022 Q3"; Real; 150; 0.1; D; Italy; ITA; 59231000; National Institute of Statistics (Italy);" Italy's Q3 GDP data"""
77;"""2022 Q1"; Nominal, 300; 0.1; C; India; IND; 1380004385; Ministry of Statistics and Programme Implementation (India);" India's Q1 GDP data""";
78;"""2022 Q2"; Real; 900; 0.2; D; United Kingdom; GBR; 67886011; Office for National Statistics (United Kingdom);" United Kingdom's Q2 GDP data"""
79;"""2022 Q4"; Nominal; 1800; 0.2; C; Brazil; BRA; 212559417; Brazilian Institute of Geography and Statistics;" Brazil's Q4 GDP data""</s>"
80;" ""2023 Q1"; Nominal; 2200; 0.3; C; Russia; RUS; 145934462; Federal State Statistics Service (Russia);" Russia's Q1 GDP data"""
81;"""2022 Q3"; Real; 1500; 0.2; D; Germany; DEU; 83166711; Federal Statistical Office of Germany;" Germany's Q3 GDP data"""
82;"""2023 Q2"; Nominal; 2800; 0.4; C; Japan; JPN; 126317000; Cabinet Office (Japan);" Japan's Q2 GDP data"""
83;"""2022 Q1"; Real; 600; 0.1; D; France; FRA; 67022000; National Institute of Statistics and Economic Studies (France);" France's Q1 GDP data"""
84;"""2023 Q4"; Nominal; 3500; 0.5; C; Italy; ITA; 59554024; National Institute of Statistics (Italy);" Italy's Q4 GDP data"""
85;"""2022 Q3"; Real; 1200; 0.2; D; Canada; CAN; 37410003; Statistics Canada;" Canada's Q3 GDP data"""
86;"""2023 Q1"; Nominal; 2500; 0.3; C; South Korea; KOR; 51780579; Bank of Korea;" South Korea's Q1 GDP data"""
87;"""2022 Q4"; Real; 2000; 0.2; D; Spain; ESP; 47351961; National Statistics Institute (Spain);" Spain's Q4 GDP data"""
88;"""2023 Q2"; Nominal; 3000; 0.4; C; Australia; AUS; 25687041; Australian Bureau of Statistics;" Australia's Q2 GDP data"""
89;"""2022 Q1"; Real; 400; 0.1; D; Mexico; MEX; 128932753; National Institute of Statistics and Geography (Mexico);" Mexico's Q1 GDP data""</s>"
90;" ""2023 Q1"; Nominal; 2500; 0.3; E; Canada; CAN; 38003249; Statistics Canada;" Canada's Q1 GDP data"""
91;"""2022 Q3"; Real; 1500; 0.2; B; France; FRA; 67022000; National Institute of Statistics and Economic Studies (France);" France's Q3 GDP data"""
92;"""2023 Q2"; Real; 6000; 0.5; A; United States; US; 334868234; Bureau of Economic Analysis (United States);" US Q2 GDP data"""
93;"""2022 Q4"; Nominal; 800; 0.1; D; Italy; ITA; 59032327; National Institute of Statistics (Italy);" Italy's Q4 GDP data"""
94;"""2023 Q1"; Nominal, 700; 0.2; F; United Kingdom; UK; 67886011; Office for National Statistics (United Kingdom);" UK's Q1 GDP data""";
95;"""2022 Q2"; Real; 500; 0.1; C; Brazil; BRA; 214095153; Brazilian Institute of Geography and Statistics;" Brazil's Q2 GDP data"""
96;"""2023 Q3"; Nominal; 1200; 0.3; D; Russia; RUS; 145934462; Federal State Statistics Service (Russia);" Russia's Q3 GDP data"""
97;"""2022 Q1"; Nominal; 300; 0.1; B; India; IND; 1380004385; Ministry of Statistics and Programme Implementation (India);" India's Q1 GDP data"""
98;"""2023 Q4"; Real; 2000; 0.4; A; Germany; DEU; 83166711; Federal Statistical Office (Germany);" Germany's Q4 GDP data"""
99;"""2023 Q1"; Real, 900; 0.2; E; Japan; JPN; 126476468; Cabinet Office (Japan);" Japan's Q1 GDP data""</s>";
100;" ""2023 Q2"; Nominal; 3500; 0.5; A; United States; USA; 331002651; Bureau of Economic Analysis (US);" US Q2 GDP data"""
101;"""2022 Q3"; Real; 6000; 0.7; A; China; CHN; 1411076228; National Bureau of Statistics of China;" China's Q3 GDP data"""
102;"""2023 Q2"; Real; 2500; 0.6; B; United Kingdom; UK; 67886011; Office for National Statistics (UK);" UK's Q2 GDP data"""
103;"""2022 Q4"; Nominal; 1200; 0.3; E; France; FRA; 67060000; Institut national de la statistique et des études économiques (France);" France's Q4 GDP data"""
104;"""2023 Q1"; Nominal, 400; 0.2; D; Italy; ITA; 59554024; Istituto Nazionale di Statistica (Italy);" Italy's Q1 GDP data""";
105;"""2022 Q3"; Real, 700; 0.1; C; Canada; CAN; 38005234; Statistics Canada;" Canada's Q3 GDP data""";
106;"""2023 Q4"; Nominal, 2200; 0.4; A; Korea, South; KOR; 51780571; Bank of Korea;" Korea, South's Q4 GDP data""";
107;"""2022 Q2"; Real; 500; 0.2; B; Australia; AUS; 25632305; Australian Bureau of Statistics;" Australia's Q2 GDP data"""
108;"""2023 Q3"; Nominal, 3000; 0.5; A; Spain; ESP; 47351964; Instituto Nacional de Estadística (Spain);" Spain's Q3 GDP data""";
109;"""2022 Q4"; Real, 1000; 0.3; E; Russia; RUS; 145934462; Federal State Statistics Service (Russia);" Russia's Q4 GDP data""</s>";
