;Title; Artist(s); Genre; Release Date; Language; Label; Format; Playtime; Producer(s); Album; Publisher
31;"""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI Records; Vinyl, Cassette, CD; 5:55; Roy Thomas Baker; A Night at the Opera; EMI Records
32;"""My Way"""; Frank Sinatra; Pop; 1969-03-11; English; Reprise Records; Vinyl, Cassette, CD; 4:35; Don Costa; My Way; Reprise Records
33;"""Killing Me Softly with His Song"""; Roberta Flack; R&B; 1973-01-15; English; Atlantic Records; Vinyl, Cassette, CD; 4:32; Joel Dorn; Killing Me Softly; Atlantic Records
34;"""Billie Jean"""; Michael Jackson; Pop; 1982-12-01; English; Epic Records; Vinyl, Cassette, CD; 4:54; Quincy Jones; Thriller; Epic Records
35;"""Light My Fire"""; The Doors; Rock; 1967-01-29; English; Elektra Records; Vinyl, Cassette, CD; 7:08; Paul Rothchild; The Doors; Elektra Records</s>
36;" ""Imagine"""; John Lennon; Pop; 1971-09-08; English; Apple Records; Vinyl, Cassette, CD; 3:03; Phil Spector; Imagine; Apple Records
37;"""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI; Vinyl, Cassette, CD; 5:55; Roy Thomas Baker; A Night at the Opera; EMI
38;"""Hotel California"""; The Eagles; Rock; 1976-12-08; English; Asylum Records; Vinyl, Cassette, CD; 6:32; Bill Szymczyk; Hotel California; Asylum Records
39;"""Comfortably Numb"""; Pink Floyd; Rock; 1979-03-31; English; Columbia; Vinyl, Cassette, CD; 7:26; David Gilmour, Bob Ezrin; The Wall; Columbia
40;"""Smells Like Teen Spirit"""; Nirvana; Alternative Rock; 1991-09-10; English; DGC; Vinyl, Cassette, CD; 5:01; Butch Vig; Nevermind; DGC
41;"""November Rain"""; Guns N' Roses; Hard Rock; 1992-06-06; English; Geffen; Vinyl, Cassette, CD; 8:57; Bob Ezrin; Use Your Illusion I; Geffen
42;"""Black Hole Sun"""; Soundgarden; Alternative Rock; 1994-06-29; English; A&M Records; Vinyl, Cassette, CD; 5:18; Michael Beinhorn; Superunknown; A&M Records
43;"""Basket Case"""; Green Day; Punk Rock; 1994-10-11; English; Reprise; Vinyl, Cassette, CD; 3:04; Rob Cavallo, Green Day; Dookie; Reprise
44;"""Creep"""; Radiohead; Alternative Rock; 1993-01-20; English; Capitol; Vinyl, Cassette, CD; 4:15; Paul Kolderie, Sean Slade; Pablo Honey; Capitol</s>
45;" ""Stairway to Heaven"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-Track, CD; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic
46;"""Hotel California"""; Eagles; Rock; 1976-12-08; English; Asylum; Vinyl, Cassette, 8-Track, CD; 6:30; Bill Szymczyk; Hotel California; Asylum
47;"""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI; Vinyl, Cassette, 8-Track, CD; 5:55; Roy Thomas Baker; A Night at the Opera; EMI
48;"""Imagine"""; John Lennon; Rock; 1971-09-09; English; Apple; Vinyl, Cassette, 8-Track, CD; 3:03; Phil Spector; Imagine; Apple
49;"""Comfortably Numb"""; Pink Floyd; Rock; 1979-11-30; English; Columbia; Vinyl, Cassette, 8-Track, CD; 6:28; David Gilmour, Bob Ezrin; The Wall; Columbia
50;"""Smells Like Teen Spirit"""; Nirvana; Alternative Rock; 1991-09-10; English; DGC; Vinyl, Cassette, CD; 5:02; Butch Vig; Nevermind; DGC
51;"""November Rain"""; Guns N' Roses; Rock; 1992-06-18; English; Geffen; Vinyl, Cassette, CD; 8:57; Bob Ezrin; Use Your Illusion I; Geffen
52;"""Sweet Child O' Mine"""; Guns N' Roses; Rock; 1988-08-16; English; Geffen; Vinyl, Cassette, CD; 5:55; Mike Clink; Appetite for Destruction; Geffen
53;"""Hey Jude"""; The Beatles; Rock; 1968-08-26; English; Apple; Vinyl, Cassette, 8-Track, CD; 7:11; George Martin; The Beatles (White Album); Apple
54;"""Sorry seems to be the hardest word"""; Elton John; Pop; 1976-10-27; English; Rocket; Vinyl, Cassette, 8-Track, CD; 3:45; Gus Dudgeon; Blue Moves; Rocket</s>
55;" ""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI; Vinyl, Cassette, 8-Track, CD; 5:55; Roy Thomas Baker; A Night at the Opera; EMI
56;"""Stairway to Heaven"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-Track, CD; 8:03; Jimmy Page; Led Zeppelin IV; Atlantic
57;"""Imagine"""; John Lennon; Pop; 1971-09-09; English; Apple; Vinyl, Cassette, 8-Track, CD; 3:03; Phil Spector; Imagine; Apple
58;"""Hotel California"""; The Eagles; Rock; 1976-12-08; English; Asylum; Vinyl, Cassette, 8-Track, CD; 6:32; Bill Szymczyk; Hotel California; Asylum
59;"""Black Dog"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-Track, CD; 4:57; Led Zeppelin, Eddie Kramer; Led Zeppelin IV; Atlantic
60;"""Comfortably Numb"""; Pink Floyd; Rock; 1979-11-30; English; Harvest; Vinyl, Cassette, CD; 7:26; David Gilmour, Bob Ezrin; The Wall; Harvest
61;"""My Way"""; Frank Sinatra; Pop; 1969-03-11; English; Reprise; Vinyl, Cassette, 8-Track, CD; 4:35; Don Costa; Watertown; Reprise
62;"""Smells Like Teen Spirit"""; Nirvana; Grunge; 1991-09-10; English; DGC; Vinyl, Cassette, CD; 5:02; Butch Vig; Nevermind; DGC
63;"""Hey Ya!"""; OutKast; Hip Hop; 2003-09-09; English; Arista; Vinyl, CD; 3:55; André 3000, Mr. DJ; Speakerboxxx/The Love Below; Arista
64;"""Creep"""; Radiohead; Alternative Rock; 1992-09-21; English; EMI; Vinyl, CD; 3:58; Paul Q. Kolderie, Sean Slade; Pablo Honey; EMI</s>
65;" ""Viva la Vida"""; Coldplay; Alternative Rock; 2008-06-12; English; Parlophone; Vinyl, CD; 4:02; Brian Eno, Markus Dravs; Viva la Vida or Death and All His Friends; Parlophone
66;"""Bad Guy"""; Billie Eilish; Pop; 2019-03-29; English; Darkroom, Interscope; Vinyl, CD; 3:13; Finneas O'Connell; When We All Fall Asleep, Where Do We Go?; Interscope
67;"""Hotline Bling"""; Drake; Hip Hop; 2015-07-31; English; Cash Money, Young Money, Republic; Vinyl, CD; 4:28; Nineteen85, Drake; If You're Reading This It's Too Late; Republic
68;"""Shape of You"""; Ed Sheeran; Pop; 2017-01-06; English; Asylum, Atlantic; Vinyl, CD; 3:54; Ed Sheeran, Steve Mac; ÷ (Divide); Atlantic
69;"""I Will Always Love You"""; Whitney Houston; R&B; 1992-11-03; English; Arista; Vinyl, CD; 4:30; David Foster, Narada Michael Walden; The Bodyguard; Arista
70;"""Baba O'Riley"""; The Who; Rock; 1971-08-14; English; Track; Vinyl, Cassette, 8-track; 5:09; Kit Lambert, Glyn Johns; Who's Next; Track
71;"""Sultans of Swing"""; Dire Straits; Rock; 1978-10-06; English; Vertigo; Vinyl, Cassette, 8-track; 5:48; Muff Winwood, Dire Straits; Dire Straits (US version); Warner Bros.
72;"""November Rain"""; Guns N' Roses; Hard Rock; 1991-06-18; English; Geffen; Vinyl, CD; 8:57; Axl Rose, Bob Ezrin; Use Your Illusion I; Geffen
73;"""The Sound of Silence"""; Simon & Garfunkel; Folk Rock; 1964-10-19; English; Columbia; Vinyl, Cassette, 8-track; 3:08; Tom Wilson; Wednesday Morning, 3 A.M. (US version); Columbia
74;"""Light My Fire"""; The Doors; Rock; 1967-01-29; English; Elektra; Vinyl, Cassette, 8-track; 7:06; Paul A. Rothchild; The Doors; Elektra</s>
75;" ""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI; Vinyl, Cassette, 8-track; 5:55; Roy Thomas Baker; A Night at the Opera; EMI
76;"""Stairway to Heaven"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-track; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic
77;"""Imagine"""; John Lennon; Rock; 1971-09-09; English; Apple; Vinyl, Cassette, 8-track; 3:03; Phil Spector; Imagine; Apple
78;"""Hotel California"""; Eagles; Rock; 1976-12-08; English; Asylum; Vinyl, Cassette, 8-track; 6:30; Bill Szymczyk; Hotel California; Asylum
79;"""Hey Jude"""; The Beatles; Rock; 1968-08-30; English; Apple; Vinyl, Cassette, 8-track; 7:11; George Martin; Hey Jude; Apple
80;"""Smells Like Teen Spirit"""; Nirvana; Grunge; 1991-09-10; English; DGC; Vinyl, CD, Cassette; 5:01; Butch Vig; Nevermind; DGC
81;"""Like a Rolling Stone"""; Bob Dylan; Rock; 1965-07-20; English; Columbia; Vinyl, Cassette, 8-track; 6:11; Tom Wilson; Highway 61 Revisited; Columbia
82;"""Black Dog"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-track; 4:54; Jimmy Page; Led Zeppelin IV; Atlantic
83;"""Comfortably Numb"""; Pink Floyd; Rock; 1979-03-30; English; Harvest; Vinyl, Cassette, 8-track; 6:25; David Gilmour, Bob Ezrin; The Wall; Harvest
84;"""Sweet Child o' Mine"""; Guns N' Roses; Hard Rock; 1988-06-15; English; Geffen; Vinyl, CD, Cassette; 5:55; Mike Clink; Appetite for Destruction; Geffen</s>
85;" ""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI; Vinyl, Cassette; 5:55; Roy Thomas Baker; A Night at the Opera; EMI
86;"""Stairway to Heaven"""; Led Zeppelin; Folk Rock; 1971-11-08; English; Atlantic; Vinyl, Cassette, 8-track; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic
87;"""Another Brick in the Wall, Pt. 2"""; Pink Floyd; Progressive Rock; 1979-11-30; English; Harvest; Vinyl, Cassette, 8-track; 4:02; Roger Waters, Bob Ezrin; The Wall; Harvest
88;"""November Rain"""; Guns N' Roses; Hard Rock; 1991-09-17; English; Geffen; CD, Cassette; 8:55; Bob Ezrin; Use Your Illusion I; Geffen
89;"""Smells Like Teen Spirit"""; Nirvana; Alternative Rock; 1991-09-10; English; DGC; Vinyl, CD, Cassette; 5:01; Butch Vig; Nevermind; DGC
90;"""My Own Summer (Shove It)"""; Deftones; Nu Metal; 1997-10-28; English; Maverick; CD, Cassette; 3:33; Terry Date; Around the Fur; Maverick
91;"""Paranoid Android"""; Radiohead; Alternative Rock; 1997-06-16; English; Capitol; Vinyl, CD, Cassette; 6:23; Nigel Godrich; OK Computer; Capitol
92;"""B.Y.O.B."""; System of a Down; Nu Metal; 2005-05-17; English; Columbia; CD, LP; 4:16; Rick Rubin, Daron Malakian; Mesmerize; Columbia
93;"""Icky Thump"""; The White Stripes; Garage Rock; 2007-06-18; English; Warner Bros.; Vinyl, CD, Cassette; 4:17; Jack White; Icky Thump; Warner Bros.
94;"""No One Knows"""; Queens of the Stone Age; Alternative Rock; 2002-06-10; English; Interscope; Vinyl, CD, Cassette; 4:37; Josh Homme, Nick Oliveri, Chris Goss; Songs for the Deaf; Interscope</s>
95;" ""Hey Ya!"""; OutKast; Hip Hop; 2003-07-22; English; Arista; CD, Vinyl; 4:11; André 3000, Mr. DJ; Speakerboxxx/The Love Below; Arista
96;"""Where Is the Love?"""; The Black Eyed Peas; Hip Hop, Soul; 2003-06-10; English; A&M; CD, LP, Cassette; 4:31; will.i.am, Ron Fair, George Pajon Jr.; Elephunk; A&M
97;"""Crazy"""; Gnarls Barkley; Alternative, Soul; 2006-03-12; English; Downtown; CD, Vinyl; 2:58; Danger Mouse, CeeLo Green; St. Elsewhere; Downtown
98;"""Seven Nation Army"""; The White Stripes; Garage Rock; 2003-04-14; English; V2; CD, Vinyl, Cassette; 3:52; Jack White; Elephant; V2
99;"""Chasing Cars"""; Snow Patrol; Alternative Rock; 2006-06-05; English; Fiction; CD, Vinyl; 4:28;" Jacknife Lee, Garrett ""Jacknife"" Lee"; Eyes Open; Fiction
100;"""Rehab"""; Amy Winehouse; R&B, Soul; 2006-10-22; English; Island;" CD, 12"""; 3:35; Mark Ronson, Amy Winehouse; Back to Black; Island
101;"""Paper Planes"""; M.I.A.; Alternative, Hip Hop; 2007-08-12; English; XL; CD, Vinyl, Download; 3:23; Diplo, M.I.A.; Kala; XL
102;"""The Weight of Live"""; Travis; Rock; 2003-09-08; English; Independiente; CD, Vinyl; 4:13; Steve Orchard, Travis; 12 Memories; Independiente
103;"""B.S."""; Bette Midler; Pop; 1983-11-08; English; Atlantic; CD, LP; 4:26; Arif Mardin, Greg Mathieson; No Frills; Atlantic
104;"""Time After Time"""; Cyndi Lauper; Pop; 1984-02-08; English; Portrait; CD, LP; 4:01; Rick Chertoff, Rob Hyman, Cyndi Lauper; She's So Unusual; Portrait</s>
