;SiteName; SiteType; Period; Location; Discoverer; DiscoveryYear; ArtifactsCount; ArtifactType1; ArtifactType2; ArtifactType3; ArtifactDescription; PreservationStatus; Researcher1; Researcher2; ResearchBudget
57;"""Troy""";"""Ancient city""";"""3000 BC to 500 AD""";"""Turkey""";"""Heinrich Schliemann""";1870;"""Thousands""";"""Temples""";"""Houses""";"""City walls""";"""Ancient city in Western Anatolia.""";"""Preservation, excavation.""";"""Francesca R settlement""";"""Juan Carlos Simal""";"""$1.05 billion"""
58;"""Memphis""";"""Egyptian city""";"""3100 BC to 641 AD""";"""Egypt""";"""Abbot Giovanni""";1820;"""Tens of thousands""";"""Temples""";"""Tombs""";"""Houses""";"""Ancient Egyptian capital.""";"""Preservation, excavation.""";"""Dietrich Raue""";"""Ramadan Hussein""";"""$1.1 billion"""
59;"""Angkor Wat""";"""Temple city""";"""12th century AD to 15th century AD""";"""Cambodia""";"""French naturalist Henri Mouhot""";1860;"""Thousands""";"""Temples""";"""Statues""";"""Houses""";"""Ancient Khmer temple city.""";"""Preservation, excavation.""";"""Ratha Visal""";"""Sophal Ear""";"""$1.15 billion""</s>"
60;" ""Pompeii""";"""Roman city""";"""8th century BC to 1st century AD""";"""Italy""";"""Rocque Joaquin de Alcubierre""";1748;"""Tens of thousands""";"""Houses""";"""Temples""";"""Public buildings""";"""Ancient Roman city near Naples, buried by volcanic eruption.""";"""Preservation, excavation.""";"""Gabriella Caponi""";"""Giorgio Pirrem""";"""$1.2 billion"""
61;"""Machu Picchu""";"""Inca city""";"""15th century AD""";"""Peru""";"""Hiram Bingham""";1911;"""Hundreds""";"""Temples""";"""Houses""";"""Terraces""";"""Inca citadel located in the Andes.""";"""Preservation, excavation.""";"""María Soledad""";"""José Antonio""";"""$1.3 billion"""
62;"""Palmyra""";"""Ancient city""";"""2nd millennium BC to 16th century AD""";"""Syria""";"""British archaeologist Robert Wood""";1751;"""Thousands""";"""Temples""";"""Tombs""";"""Palaces""";"""Ancient Semitic city in present-day Syria.""";"""Preservation, excavation.""";"""Ziyad Bagdadi""";"""Samael Naboulsi""";"""$1.4 billion"""
63;"""Petra""";"""Ancient city""";"""4th century BC to 2nd century AD""";"""Jordan""";"""Swiss explorer Johann Ludwig Burckhardt""";1812;"""Thousands""";"""Temples""";"""Tombs""";"""Houses""";"""Ancient city famous for its rock-cut architecture and water conduits.""";"""Preservation, excavation.""";"""Khaled Al-Jbour""";"""Firas Al-Khawaldeh""";"""$1.5 billion"""
64;"""Tikal""";"""Ancient city""";"""6th century BC to 10th century AD""";"""Guatemala""";"""Modesto Méndez and Ambrosio Tut""";1848;"""Thousands""";"""Temples""";"""Palaces""";"""Pyramids""";"""Ancient Mayan city in present-day Guatemala.""";"""Preservation, excavation.""";"""Eduardo Enrique""";"""Carmen Ramos""";"""$1.6 billion"""
65;"""Persepolis""";"""Ancient city""";"""518 BC to 330 BC""";"""Iran""";"""European travelers like Jean Chardin and Jean-Baptiste Tavernier""";1620;"""Hundreds""";"""Palaces""";"""Temples""";"""Tombs""";"""Ancient capital of the Achaemenid Empire.""";"""Preservation, excavation.""";"""Ahmad Ali""";"""Mohammad Beheshti""";"""$1.7 billion"""
66;"""Teotihuacan""";"""Ancient city""";"""1st century BC to 7th century AD""";"""Mexico""";"""Manuel Gamio""";1905;"""Tens of thousands""";"""Pyramids""";"""Houses""";"""Temples""";"""Ancient Mesoamerican city.""";"""Preservation, excavation.""";"""María Eugenia""";"""Marco Antonio""";"""$1.8 billion"""
67;"""Göbekli Tepe""";"""Temple complex""";"""9600 BC to 8000 BC""";"""Turkey""";"""German archaeologist Klaus Schmidt""";1994;"""Hundreds""";"""Temples""";"""Statues""";"""Megaliths""";"""One of the world's oldest known megaliths.""";"""Preservation.""";"""Nesrin Çelik""";"""Onur Emre""";"""$1.9 billion"""
68;"""Babylon""";"""Ancient city""";"""1894 BC to 689 BC""";"""Iraq""";"""German archaeologist Robert Koldewey""";1899;"""Thousands""";"""Temples""";"""Palaces""";"""Houses""";"""Ancient city in present-day Iraq.""";"""Preservation, excavation.""";"""Laith Humadi""";"""Mahdi Bashir""";"""$2 billion"""
69;"""Ephesus""";"""Ancient city""";"""10th century BC to 7th century AD""";"""Turkey""";"""Austrian archaeologist Johann Bernhard von Kellersperg""";1895;"""Thousands""";"""Temples""";"""Theater""";"""Houses""";"""Ancient Greek city on the coast of Ionia.""";"""Preservation, excavation.""";"""Nilgün Özgül""";"""Mustafa Karamanoğlu""";"""$2.1 billion""</s>"
70;" ""Pompeii";Ancient city;8th century BC to 79 AD;Italy;Italian archaeologist Giuseppe Fiorelli;1860;Tens of thousands;Houses;Temples;Public buildings;Ancient Roman city near Naples, preserved under volcanic ash.;Preservation, excavation.;Serena Gualberti;Carlotta Sorrentino;"$2.2 billion"""
71;"""Machu Picchu";Inca city;1450 to 1540;Peru;American historian Hiram Bingham;1911;Hundreds;Temples;Houses;Terraces;Inca citadel situated on a mountain ridge of the Andes.;Preservation.;Alicia Abanto;José Luis Luna;"$2.5 billion"""
72;"""Troy";Ancient city;3000 BC to 500 AD;Turkey;German archaeologist Heinrich Schliemann;1870;Thousands;Temples;Houses;Fortifications;Site of the ancient city of Troy, subject of the Trojan War in Greek mythology.;Preservation, excavation.;Doğa Cindemir;Elif Koparal;"$1.8 billion"""
73;"""Palmyra";Ancient city;2000 BC to 1500 AD;Syria;French archaeologist Louis-François Sebastián;1907;Hundreds;Temples;Tombs;Columns;Ancient Semitic city in present-day Syria.;Preservation, excavation.;Khaled al-As'ad;Mohammad Najjar;"$2 billion"""
74;"""Petra";Ancient city;4th century BC to 2nd century AD;Jordan;Swiss explorer Johann Ludwig Burckhardt;1812;Hundreds;Temples;Tombs;Houses;Ancient city famed for its rock-cut architecture and water conduits.;Preservation.;Suleiman Farajat;Mohammad Waheeb;"$1.5 billion"""
75;"""Sanchi";Buddhist complex;3rd century BC to 12th century AD;India;British archaeologist Alexander Cunningham;1851;Hundreds;Stupas;Temples;Monasteries;"Buddhist complex on a hill in central India.""";Preservation, excavation.;Alka Patel;Ashvini Chhatre;"$1.7 billion"""
76;"""Teotihuacan";Ancient city;200 BC to 600 AD;Mexico;Mexican archaeologist José García Payón;1960;Thousands;Temples;Palaces;Pyramids;Ancient Mesoamerican city;Preservation, excavation.;Verónica Ortega;Lourdes Alducin;"$2.3 billion"""
77;"""Mesa Verde";Ancient city;650 AD to 1300 AD;United States;American archaeologist Gustav Nordenskiöld;1891;Hundreds;Houses;Temples;Kivas;Ancestral Puebloan city in southwestern Colorado.;Preservation.;Patricia Lericos;Linda Naeser;"$2.1 billion"""
78;"""Angkor Wat";Buddhist temple;12th century;Cambodia;French architect and explorer Henri Mouhot;1860;Hundreds;Temples;Ponds;Libraries;Ancient city in present-day Cambodia.;Preservation, excavation.;Im Sokrithy;Chhay Rachna;"$2.4 billion"""
79;"""Catal Höyük";Ancient city;7500 BC to 5700 BC;Turkey;British archaeologist James Mellaart;1958;Hundreds;Houses;Shrines;Statues;Ancient Neolithic settlement in present-day Turkey.;Preservation, excavation.;Aslıhan Yazıcıoğlu;Neriman Eröz;"$2 billion""</s>"
80;" ""Pompeii";Ancient city;8th century BC to 79 AD;Italy;Italian engineer Rocque Joaquin de Alcubierre;1748;Thousands;Houses;Shops;Public buildings;Ancient Roman city near Naples, Italy.;Preservation, excavation.;Maria Adelaide Sada;Valeria Amoretti;"$2.5 billion"""
81;"""Machu Picchu";Inca city;1450 AD to 1572 AD;Peru;American historian Hiram Bingham;1911;Hundreds;Temples;Houses;Terraces;Inca citadel in the Andes of Peru.;Preservation.;Johan Reinhard;Marta Adriana de Osma;"$2.2 billion"""
82;"""Petra";Ancient city;4th century BC to 2nd century AD;Jordan;Swiss explorer Johann Ludwig Burckhardt;1812;Hundreds;Temples;Tombs;Houses;Ancient city carved into the cliffs in Jordan.;Preservation.;Peter M. Fischer;Sarah A. Parcak;"$2.3 billion"""
83;"""Palmyra";Ancient city;2000 BC to 17th century AD;Syria;French traveler Jean-Baptiste Lorrain;1751;Hundreds;Temples;Tombs;Houses;Ancient city in present-day Syria.;Preservation, excavation.;Andrea Berlin;Michael D Anti;"$2 billion"""
84;"""Stonehenge";Henge monument;3000 BC to 2000 BC;United Kingdom;English archaeologist William Hawley;1919;Hundreds;Stones;Earthworks;Debris;Ancient monument in England.;Preservation.;Timothy Darvill;Geoff Wainwright;"$1.9 billion"""
85;"""Teotihuacan";Ancient city;200 BC to 700 AD;Mexico;Mexican archaeologist Manuel Gamio;1905;Thousands;Temples;Pyramids;Houses;Ancient city in Mexico.;Preservation.;Clara García;María Teresa Uriarte;"$2.2 billion"""
86;"""Tiwanaku";Ancient city;1500 BC to 1200 AD;Bolivia;Bolivian archaeologist Carlos Ponce Sanginés;1960;Hundreds;Temples;Statues;Houses;Ancient city in Bolivia.;Preservation.;John W. Janusek;Antonieta Jeria;"$2 billion"""
