;Mythological Creature;Origin;Description;Powers;Weaknesses;Symbolism;Importance;Culture;Physical Appearance;Life Span;Habitat;Behavior;Significance in Myths and Legends;Modern Depictions;Related Mythologies
20;  Manticore; Persian; Lion-like creature with a human head and scorpion tail, known for its ferocity; Strength, speed, venomous sting; Vulnerable to arrows, brave heroes; Fear, destruction; Royalty, war; Lion-like, human-faced, scorpion-tailed; Immortal; Deserts, forests; Territorial, aggressive; Man-eater; Key figure in Persian mythology; Modern depictions in fantasy; Similar to Griffins and Sphinxes.
21; Kitsune; Japanese; Fox-like spirits known for their intelligence and mischief; Shape-shifting, illusion, magic; Vulnerable to fox-repelling charms, purification; Wisdom, magic; Trickery, loyalty; Fox-like, often with multiple tails; Centuries; Forests, mountains, towns; Solitary, sometimes adopt human families; Messengers of the Shinto deity Inari; Shape-shifting companions in Japanese mythology; Modern depictions in anime and manga; Similar to Fenrir and other fox-like creatures.
22; Jormungandr; Norse; Giant serpent encircling the world, son of Loki and Angrboda; Size, strength, venom; Vulnerable to Odin's spear, Ragnarok; Chaos, destruction; Fear, respect; Serpent-like, colossal; Immortal; Ocean; Aggressive, bound to the ocean; Prophecy of Ragnarok; Major character in Norse mythology; Modern depictions in comics, movies, video games; Similar to Python and other giant serpents.
23; Banshee; Irish; Female spirit who wails to foretell a death in the family; Wailing, clairvoyance; Vulnerable to holy items, protection spells; Death, misfortune; Fear, mourning; Woman-like, ghostly; Unknown; Anywhere in Ireland; Roams the land, seeks her victims; Prophecy of death; Significant character in Irish mythology; Modern depictions in horror movies, TV series; Similar to La Llorona and other female ghosts.
24; Zmey Gorynych; Russian; Three-headed dragon with flaming breath, terrorizes the countryside; Fire breathing, size, strength; Vulnerable to swords, magic; Destruction, fear; Danger, evil; Dragon-like, giant; Immortal; Mountains, forests; Rampages the countryside, abducts women; Major character in Russian mythology; Modern depictions in video games, animation; Similar to Chinese dragons and European dragons.;
25; Nøkken; Scandinavian; Water spirit that takes the form of a man or beast to lure victims into its watery lair; Shape-shifting, illusion; Vulnerable to silver, spiritual protection; Deception, lust; Temptation, fear; Varied, amphibious; Unknown; Lakes, rivers, streams; Solitary, aggressive; Seduces its prey; Key character in Scandinavian folklore; Modern depictions in fantasy literature, games; Similar to the Greek Nereus.
26; Valkyrie; Norse; Female warrior spirits who select fallen warriors and transport them to Valhalla; Flight, combat, magic; Vulnerable to physical weapons, magic; War, honor; Battle, strength; Woman-like, armored; Unknown; Anywhere in the world; Escort souls, assist Odin in Asgard; Major characters in Norse mythology; Modern depictions in comic books, movies, TV series; Similar to the Greek Keres.;
27; Rakshasa; Hindu; Demons capable of shape-shifting, associated with death and destruction; Shape-shifting, illusion, magic; Vulnerable to mantras, weapons made of sacred materials; Violence, chaos; Fear, danger; Varied, humanoid; Unknown; Woods, villages, homes; Shape-shifts into various forms, deceives humans; Significant characters in Hindu mythology; Modern depictions in books, movies, TV series; Similar to Middle Eastern Jinn.;
28; Kappa; Japanese; Aquatic, reptilian creature with a water-filled dish on its head; Water control, strength, intelligence; Vulnerable to loss of water, defeating them at sumo wrestling; Drowning, medical practice; Wisdom, water; Monkey-like, turtle-like; Decades; Rivers, streams, ponds; Solitary, curious; Skilled in medicine, mischievous; Key creatures in Japanese folklore; Modern depictions in animation, comics, video games; Similar to the Chinese Kappa.
29; Minotaur; Greek; Half-man, half-bull creature guarding the labyrinth of Crete; Strength, ferocity; Vulnerable to physical weapons, navigating mazes; Labyrinths, murder; Fear, death; Bull-like, humanoid; Unknown; Crete; Guards the labyrinth, terrorizes intruders; Key character in Greek mythology; Modern depictions in fiction, movies, TV series; Similar to the Egyptian Ammit and Indian Gandabherunda.</s>;
30;  Fenrir; Norse; Gigantic wolf, son of Loki and Angrboda; Super strength, invulnerability; Vulnerable to restraint by Gleipnir, killed by Vidarr during Ragnarok; Chaos, destruction; Danger, deceit; Wolf-like, monstrous; Unknown; Norse realms; Roams free, terrorizes gods and men; Key figure in Norse mythology; Modern depictions in comics, movies, video games; Similar to the Greek Hound of Hades.;
31; Jormungandr; Norse; Giant serpent encircling Midgard, son of Loki and Angrboda; Constriction, venom; Vulnerable to Ragnarok; Chaos, doom; Danger, poison; Serpent-like, colossal; Unknown; Seas surrounding Midgard; Swims around the world, holds tail in mouth; Key figure in Norse mythology; Modern depictions in comics, movies, video games; Similar to the Middle Eastern Leviathan.;
32; Gorgon; Greek; Three sisters, Medusa, Stheno, and Euryale, with serpentine hair; Petrification, snake hair; Vulnerable to beheading, vulnerable while sleeping; Terror, fear; Danger, monstrous appearance; Serpentine hair, monstrous; Immortal for Gorgons, unknown for Medusa; Underworld; Guards the underworld, roams the land; Key figures in Greek mythology; Modern depictions in movies, TV series, video games; Similar to the Mesopotamian Lamassu.;
33; Harpy; Greek; Winged humanoid creatures with the faces of beautiful women and the bodies of birds; Flight, speed; Vulnerable to human weapons, easily distracted by food; Vengeance, theft; Danger, monstrous nature; Bird-like, humanoid; Centuries; Sky and coasts; Steal food and abduct people, associated with storms; Key figures in Greek mythology; Modern depictions in movies, TV series, comics; Similar to the Egyptian Sphinx.;
34; Chupacabra; Puerto Rican; Legendary creature that sucks the blood of livestock; Bloodsucking, stealth; Vulnerable to ordinary weapons; Disease, death; Danger, mysterious nature; Dog-like, unknown; Years; Forests and rural areas; Sucks the blood of animals, remains elusive; Key figure in Latin American folklore; Modern depictions in movies, TV series, comics; Similar to the Scottish Kelpie.;
35; Naga; Hindu; Semi-divine beings, half-human and half-serpent; Snake handling, illusion, prophecy; Vulnerable to weapons made of brahmadatta, defeated by mantras; Knowledge, wisdom, protection; Power, danger; Serpentine, humanoid; Centuries; Waters and ground; Guards treasures, imparts wisdom; Key figures in Hindu and Buddhist mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Hydra.;
36; Valkyrie; Norse; Female warriors who choose who lives and dies in battle and escort the dead to Valhalla; Flight, warfare; Vulnerable to ordinary weapons; Brave, honorable; Courage, death; Warrior-like, heavenly; Immortal; Asgard; Chooses who lives and dies, escorts the souls of warriors; Key figures in Norse mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Moirai.;
37; Tengu; Japanese; Winged beings, half-human and half-crow or bird; Flight, martial arts; Vulnerable to weapons and exorcism; Wisdom, protection; Wise, fierce; Bird-like, humanoid; Centuries; Mountains and forests; Practices martial arts, protects forests; Key figures in Japanese folklore; Modern depictions in movies, TV series, comics; Similar to the Greek Harpy but with positive connotations.;
38; Merrow; Irish; Aquatic creatures with the upper bodies of humans and lower bodies of fish; Swimming, seduction; Vulnerable to weapons, vulnerable when separated from their magical caps; Love, guidance; Danger, deception; Fish-like lower body, humanoid upper body; Centuries; Ocean; Mariners, enchanting seafarers; Key figures in Irish folklore; Modern depictions in movies, TV series, comics; Similar to the European Mermaid.;
39; Nøkken; Scandinavian; Water spirit that appears in many different forms, often as a handsome man; Shape-shifting, seduction; Vulnerable to silver and iron; Deception, water; Dangerous, mysterious; Varied; Immortal; Rivers, streams, lakes; Seducing humans, drowning victims; Key figure in Scandinavian folklore; Modern depictions in movies, TV series, comics; Similar to the Celtic Kelpie and the Greek Nereid.</s>;
40; Chupacabra; Puerto Rican; Legendary creature known for sucking the blood of livestock; Stealth, strength; Vulnerable to physical attacks and bright lights; Mystery, unknown; Dangerous, aggressive; Small, bipedal; Unknown; Varied; Ambushing animals, nocturnal behavior; Key figure in Latin American folklore; Modern depictions in movies, TV series, comics; Similar to the European vampire legends but with a distinct appearance.;
41; Kitsune; Japanese; Mythical fox spirit with multiple tails, associated with the Shinto deity Inari; Shape-shifting, illusion; Vulnerable to spiritual charms and fox masks; Intelligence, magic; Mischief, benevolence; Fox-like; Centuries; Forests, mountains, towns; Pranking humans, serving as guardian spirits; Key figure in Japanese folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the European werefox legends but with a stronger connection to spirituality and Shintoism.;
42; Banshee; Irish; Supernatural being that wails to foretell death; Wailing, prophecy; Vulnerable to spiritual protection charms; Death, misfortune; Sadness, grief; Humanoid; Immortal; Near haunted homes, rivers, woods; Wailing, prophesying death; Key figure in Irish folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Fates but with a focus on individual death instead of fate.;
43; Púca; Celtic; Shape-shifting creature of Irish and Scottish folklore, can bring both good and bad fortune; Shape-shifting, illusion; Vulnerable to spiritual charms and protection symbols; Mischief, guidance; Trickery, wisdom; Varied; Immortal; Fields, woods, bodies of water; Playing tricks, granting wishes; Key figure in Celtic folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the European trickster spirits but with a more ambiguous nature.;
44; Leshy; Slavic; Forest deity that guides woodland spirits, can shape-shift into various animals and plants; Shape-shifting, illusion; Vulnerable to spiritual charms and iron; Nature, growth; Trickery, protection; Varied; Immortal; Forests; Guiding woodland spirits, playing tricks on humans; Key figure in Slavic folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Roman god Silvanus but with a more mischievous nature.;
45; Zmey Gorynych; Slavic; Three-headed dragon with serpentine bodies, immune to conventional weapons; Fire-breathing, strength; Vulnerable to magic and spiritual charms; Chaos, destruction; Fearlessness, power; Dragon-like; Immortal; Mountains, rivers; Ravaging villages, fighting heroes; Key figure in Slavic folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Hydra but with a more powerful and destructive nature.;
46; Jormungandr; Norse; Giant serpent that encircles the world, son of Loki and the giantess Angrboda; Poisonous breath, strength; Vulnerable to sacred weapons and divine intervention; Chaos, destruction; Fearlessness, power; Serpent-like; Immortal; Ocean; Ragnarok, world serpent; Key figure in Norse mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Typhon but with a greater connection to the sea and the underworld.;
47; Wendigo; Algonquian; Cannibalistic monster from the folklore of the First Nations Algonquian tribes, associated with gluttony, greed, and starvation; Consuming human flesh, superhuman strength; Vulnerable to fire, dismemberment, and being struck by lightning; Winter, starvation; Greed, cannibalism; Tall, gaunt, with glowing eyes and antlers; Immortal; Forests, tundra, lakes; Hunting humans, terrorizing communities; Key figure in Algonquian folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the European werewolves but with a greater connection to winter and starvation.;
48; Thunderbird; Native American; Mythical creature that governs the weather and earthquakes, can create thunderstorms and whirlwinds; Flight, elemental control; Vulnerable to spiritual charms and curses; Sky, thunderstorms; Storms, protection; Eagle-like, enormous; Immortal; Sky, mountains; Controlling weather, hunting game; Key figure in Native American folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Pegasus but with a focus on elemental control and weather.;
49; Qilin; Chinese; Mythical hooved chimerical creature with a dragon's head, a tail of an ox, and a body covered in scales, represents righteousness and serenity, symbol of prosperity; Elemental control, clairvoyance; Vulnerable to sacred weapons and divine intervention; Justice, prosperity; Serenity, wisdom; Dragon-like, hooved; Immortal; Forests, mountains, temples; Granting wishes, blessing households; Key figure in Chinese folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Chimera but with a more benevolent and peaceful nature.</s>;
50; Manticore; Persian; Mythical creature with the body of a lion, the face of a human, and a tail of venomous spikes; Powerful jaws, venomous tail; Vulnerable to carnivorous animals and archers; Deserts, forests; Cruelty, destruction; Lion-like, human face; Immortal; Mountains, caves; Hunting humans, terrorizing communities; Key figure in Persian folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Sphinx but with a more aggressive and deadly nature.;
51; Fenrir; Norse; Giant wolf, son of Loki and the giantess Angrboda, destined to kill Odin during Ragnarok; Superhuman strength, invulnerability; Vulnerable to dwarf-made bindings and a magical sword; Ice, forests; Chaos, destruction; Gigantic wolf; Immortal; Forests, underworld; Escaping bonds, killing deities; Key figure in Norse folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Cerberus but with a greater significance during the apocalypse.;
52; Chupacabra; Puerto Rican; Legendary creature that feeds on the blood of livestock, known for its hopping gait and spiky back; Draining the blood of animals, stealth; Vulnerable to bullets and fire; Forests, rural areas; Bloodthirst, mystery; Quadrupedal, spiky back; Short lifespan; Forests, abandoned buildings; Sucking the blood of livestock; Key figure in Latin American folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the European vampires but with a focus on livestock as prey.;
53; Kitsune; Japanese; Supernatural fox-like creature, often depicted as messengers of the Shinto deity Inari; Elemental control, illusion casting; Vulnerable to fox charms and sacred objects; Forests, mountains; Shapeshifting, trickery; Fox-like, multiple tails; Immortal; Forests, temples; Messenger, trickster; Key figure in Japanese folklore and mythology; Modern depictions in anime, manga, movies; Similar to the Greek nymphs but with a more supernatural and trickster-like nature.;
54; Nøkken; Scandinavian; Supernatural creature that appears as a handsome man or a beautiful woman, lures victims into the water and drowns them; Shapeshifting, seduction; Vulnerable to iron, fire, and consecrated objects; Rivers, lakes; Seduction, deception; Human-like, water-based; Immortal; Rivers, lakes; Drowning victims, playing musical instruments; Key figure in Scandinavian folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Sirens but with a more shapeshifting and deceptive nature.;
55; Jormungandr; Norse; Giant serpent that encircles Midgard, the world of humans, and is destined to battle Thor during Ragnarok; Venomous breath, superhuman strength; Vulnerable to Thor's hammer; Ocean, sea; Chaos, destruction; Giant serpent; Immortal; Ocean, sea bottom; Escaping bonds, poisoning the water; Key figure in Norse folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Typhon but with a focus on marine environments.;
56; Tengu; Japanese; Supernatural bird-like creatures with magical powers, often depicted as mountain-dwellers; Flight, elemental control; Vulnerable to sacred objects and exorcism; Mountains, forests; Wisdom, martial arts; Bird-like, mystical; Immortal; Mountains, forests; Teaching martial arts, possessing humans; Key figure in Japanese folklore and mythology; Modern depictions in anime, manga, movies; Similar to the Greek Harpies but with a greater focus on martial arts and wisdom.;
57; Kappa; Japanese; Supernatural turtle-like creatures that inhabit rivers and ponds, known for their love of cucumbers; Water manipulation, strength; Vulnerable to piercing objects and being turned upside down; Rivers, ponds; Water manipulation, mischief; Turtle-like, water-based; Long lifespan; Rivers, ponds; Drowning humans, playing pranks; Key figure in Japanese folklore and mythology; Modern depictions in anime, manga, movies; Similar to the European water spirits but with a more mischievous and cucumber-loving nature.;
58; Baba Yaga; Slavic; Witch-like creature who lives in a hut on chicken legs, tests the courage of those who seek her help; Magic, shapeshifting; Vulnerable to fire, holy objects, and bravery; Forests, countryside; Witchcraft, deception; Hag-like, mystical; Immortal; Forests, huts; Granting boons, testing courage; Key figure in Slavic folklore and mythology; Modern depictions in books, movies, comics; Similar to the European witches but with a more mystical and riddle-like nature.;
59; Nāga; Indian; Serpent-like beings from Hindu and Buddhist mythology, associated with wisdom and protection; Elemental control, immortality; Vulnerable to sacred weapons and divine intervention; Rivers, forests; Protection, wisdom; Snake-like, mystical; Immortal; Forests, temples; Guardians of treasures, protectors of the innocent; Key figure in Indian and Southeast Asian folklore and mythology; Modern depictions in movies, TV series, comics; Similar to the Greek Hydra but with a more benevolent and protective nature.</s>;
60;  Fenrir; Norse; Gigantic wolf originating from the frost giant Loki, destined to kill the god Odin during Ragnarok; Super strength, invulnerability; Vulnerable to magical binding; Forests, mountains; Chaos, destruction; Wolf-like, monstrous; Immortal; Forests, chains; Prophetic figure in Norse mythology, associated with the apocalypse; Modern depictions in movies, TV shows, comics; Similar to the Greek wolf Lycaon but with a more destructive role.;;
61; Jormungandr; Norse; Serpent-like creature, child of Loki and Angrboda, encircles the world and will fight Thor during Ragnarok; Venomous bite, size; Vulnerable to Odin's spear; Ocean, sea; Tempests, danger; Serpent-like, colossal; Immortal; Oceans, underwater; Foreshadows the apocalypse, portends destruction; Modern depictions in movies, TV shows, comics; Similar to the Greek sea monster Leviathan but with a more direct role in the apocalypse.;;
62; Chupacabra; Latin American; Legendary creature that sucks the blood of animals, originating from Puerto Rico; Strength; Vulnerable to bullets; Forests, countryside; Blood, fear; Mysterious, monstrous; Unknown; Forests, countryside; Bloodsucking creature, source of mystery; Modern depictions in folklore, movies, TV shows; Similar to the European vampire but with a more animalistic focus.;;
63; Wendigo; Algonquian; Cannibalistic monster that brings famine and death to those who encounter it; Supernatural speed, strength, and stealth; Vulnerable to fire and starvation; Forests, frozen wastelands; Hunger, death; Monstrous, mysterious; Immortal; Forests, frozen wastelands; Symbol of starvation, curse to those who commit cannibalism; Modern depictions in horror literature and movies; Similar to the Greek ghoul empusa but with a more supernatural origin.;;
64; Nuckelavee; Scottish; Sea monster from Orcadian folklore, resembles a centaur but with no skin, eyes, nostrils, or mouth; Fire breathing, super strength; Vulnerable to separation of its body parts; Sea, beach; Destruction, terror; Horse-like, monstrous; Immortal; Sea, beach; Brings famine, wrecks fishing boats; Modern depictions in horror literature and movies; Similar to the Greek sea monster Scylla but with a more monstrous appearance.;;
65; Tikbalang; Filipino; Supernatural creatures that mislead travelers using their powers of disguise and enchantment; Illusion, enchantment; Vulnerable to being exposed to its true self; Forests, countryside; Trickery, confusion; Horse-like, mystical; Unknown; Forests, countryside; Misleads travelers, plays pranks; Modern depictions in movies, TV shows, comics; Similar to the European trickster spirits but with a more malevolent focus.;;
66; Bakunawa; Filipino; Gigantic sea serpent from Philippine folklore that causes eclipses and earthquakes by swallowing the moon; Fire breath, size, strength; Vulnerable to the sound of gongs; Ocean, sky; Natural disasters, darkness; Serpent-like, colossal; Immortal; Ocean, sky; Causes eclipses, threatens the world; Modern depictions in movies, TV shows, comics; Similar to the Greek sea monster Typhon but with a more cosmic role.;;
67; Leshy; Slavic; Forest spirits that protect the plants, animals, and people living in the forest; Shapeshifting, invisibility, control over animals and plants; Vulnerable to iron and fire; Forests; Nature, protection; Mysterious, mystical; Immortal; Forests; Protects the wildlife, enforces unwritten rules; Modern depictions in fantasy literature, movies, TV shows; Similar to the Greek nymphs but with a more protective role.;;
68; La Llorona; Mexican; Ghostly woman who cries for her lost children, drowns unsuspecting children at night; Weeping, seduction; Vulnerable to religious symbols and rituals; River, countryside; Sorcery, destruction; Ghost-like, mysterious; Immortal; River, countryside; Lures children to the water, causes sorrow; Modern depictions in folklore, movies, TV shows; Similar to the Greek banshee but with a more sinister motivation.</s>;;
69;  Mothman; American; Winged, humanoid creature sighted in the Point Pleasant area of West Virginia, believed to portend disaster; Flight, telepathy; Vulnerable to bright lights; West Virginia, sky; Omen, disaster; Man-like, large wings; Unknown; Causes fear and chaos, predicts tragedy; Modern depictions in movies, TV shows, books; Similar to the Greek harpy but with a more modern origin.;;;
70; Chupacabra; Puerto Rican; Legendary creature that sucks the blood of livestock; Shape-shifting, invisibility; Vulnerable to loud noises; Caribbean, South America; Bloodsucking, death; Small, agile; Unknown; Kills animals, causes panic; Modern depictions in movies, TV shows, books; Similar to the European vampire but with a different geographical origin.;;;
71; Kappa; Japanese; Water spirit that inhabits rivers and ponds, known for its love of cucumbers and ability to heal sickness; Strength, medical knowledge; Vulnerable to loss of water in its head; Rivers, ponds; Water, healing; Humanoid, green skin; Unknown; Abducts people, teaches them skills; Modern depictions in anime, video games, manga; Similar to the Greek river god but with a more whimsical personality.;;;
72; Phoenix; Ancient Greek/Egyptian; Mythical bird that is cyclically regenerated or reborn, associated with fire and the sun; Fire-related abilities, resurrection; Vulnerable to cold and water; Deserts, sun; Fire, sun; Majestic, colorful plumage; Immortal; Deserts, sun; Dies in flames, reborn from ashes; Modern depictions in movies, TV shows, books; Similar to the Egyptian Bennu bird, symbolizing rebirth.;;
73; Jormungandr; Norse; Gigantic sea serpent that encircles the world and is destined to battle Thor at Ragnarok; Size, strength; Vulnerable to Thor's hammer; Ocean, sea; Chaos, destruction; Serpent-like, colossal; Immortal; Ocean, sea; Will cause the end of the world; Modern depictions in movies, TV shows, comics; Similar to the Midgard Serpent of Norse mythology.;;
74; Banshee; Irish; Female spirit who wails to foretell death and destruction; Wailing, seduction; Vulnerable to religious symbols and rituals; Ancestral homes, cemeteries; Death, sorcery; Ghost-like, mysterious; Immortal; Ancestral homes, cemeteries; Foretells death and destruction; Modern depictions in folklore, movies, TV shows; Similar to the La Llorona, but with a more supernatural prediction role.;;
75; Kitsune; Japanese; A mythical fox spirit with multiple tails that is associated with magic and shapeshifting; Shapeshifting, magical abilities; Vulnerable to fox-repelling charms; Forests, mountains; Trickery, shapeshifting; Fox-like, multiple tails; Immortal; Forests, mountains; Can shape-shift or grant wishes, associated with Inari Okami; Modern depictions in anime, video games, manga; Similar to the European werewolf but with a more magical personality.;;
76; Thunderbird; Native American; A supernatural bird of power and strength associated with thunder and lightning; Flight, elemental control; Vulnerable to iron; Sky, North America; Storms, lightning; Majestic, bird-like; Immortal; Sky, North America; Controls weather, brings rain; Modern depictions in indigenous art, literature, comics; Similar to the Greek Pegasus but with a more cosmic role.;;
77; Tikbalang; Filipino; A shape-shifting creature that leads travelers astray, often taking the form of a man with backwards feet; Shapeshifting, confusion; Vulnerable to Christian symbols; Forests, mountains; Disorientation, confusion; Horse-like, man-like, backwards feet; Immortal; Forests, mountains; Disorients travelers, causes mischief; Modern depictions in folklore, movies, TV shows; Similar to the Greek satyr but with a more mischievous personality.;;
