;Religions & Beliefs; Languages Spoken; Global Events Impacting History; Travel and Exploration; Archaeologically Significant Sites; Cuisine in Various Civilizations; Climate and Environmental Factors; International Relationships in World History; Migration of People Across Borders during Wartimes or Migration Waves; Artistic Expressions in World History
14; Religions & Beliefs: Shinto in Japan; Japanese - national language; World War I, 1914-1918; Japanese economic miracle, 1950-1960; Kyoto in Japan, ancient city; Japanese cuisine's seafood and rice; Temperate climate in Japan; Post-WWII Japanese migration; Japanese manga and anime culture; Japanese Zen gardens and rock gardens
15; Religions & Beliefs: Sikhism in India; Punjabi - native language; Mexican War of Independence, 1810-1821; Gulf War, 1990-1991; Golden Temple in India, Sikh holy site; Indian cuisine's spices and naan bread; Varied climate zones in India; India-Pakistan conflict and migration; Sikh turbans and kirpans; Sikh miniature paintings
16; Religions & Beliefs: Confucianism in China; Mandarin - national language; American Revolution, 1775-1783; Rise of China, 2000-present; Great Wall of China, ancient defense structure; Chinese cuisine's stir-fries and dumplings; Varied climate zones in China; Hong Kong handover, 1997; Chinese diaspora migration; Chinese calligraphy and ink wash painting
17; Religions & Beliefs: Taoism in China; Wu - literary language; Russian Revolution, 1917; Digital Revolution, 1980-present; Terracotta Warriors in China, ancient sculptures; Chinese cuisine's noodles and rice; Temperate and tropical climate zones in China; Sino-Soviet split, 1960-1989; Chinese migration for economic opportunities; Chinese landscape paintings</s>
18;  Religions & Beliefs: Christianity in Europe; English - global language; Cold War, 1947-1991; COVID-19 Pandemic, 2020-present; Vatican City, headquarters of the Roman Catholic Church; British pub food and Italian pasta; Varied climate zones in Europe; Brexit, 2016; European migration to the Americas; Renaissance art and Christian iconography
19; Religions & Beliefs: Shinto in Japan; Japanese - native language; World War II, 1939-1945; Economic Miracle, 1950-1960; Mount Fuji, a sacred site in Shinto; Sushi and ramen, Japanese staples; Temperate and subtropical climate zones in Japan; Occupation of Japan by Allied Forces, 1945-1952; Japanese diaspora migration; Ukiyo-e and anime
20; Religions & Beliefs: Buddhism in Tibet; Tibetan - native language; Tibetan Uprising, 1959; Environmental changes in Tibetan plateau; Potala Palace, former residence of the Dalai Lama; Tsampa, Tibetan barley flour; High-altitude climate in Tibet; Tibetan diaspora migration; Buddhist thangkas and mandalas;
21; Religions & Beliefs: Hinduism in Nepal; Nepali - national language; Nepalese Civil War, 1996-2006; Economic liberalization in Nepal, 1990s; Pashupatinath Temple, a UNESCO World Heritage Site; Dal-bhat and momos, Nepali staples; Varied climate zones in Nepal; Nepalese migration for labor and education; Hindu mandirs and tantric art;
22; Religions & Beliefs: Judaism in Israel; Hebrew - official language; Israeli-Palestinian conflict, 1948-present; Yom Kippur War, 1973; Western Wall, a holy site in Judaism; Falafel and hummus, Israeli staples; Mediterranean and desert climate zones in Israel; Aliyah, Jewish immigration to Israel; Hebrew calligraphy and Jewish manuscript illustration;
23; Religions & Beliefs: Islam in Saudi Arabia; Arabic - official language; Gulf War, 1990-1991; Saudi Arabia's modernization, 1932-present; Kaaba, a holy site in Islam; Kabsa and shawarma, Saudi staples; Desert climate in Saudi Arabia; Hajj pilgrimage and migration; Islamic calligraphy and geometric patterns</s>;
24;  Religions & Beliefs: Christianity in Italy; Italian - official language; European Union formation, 1993; Italian unification, 1861-1871; Vatican City, the smallest country; Pasta and pizza, Italian staples; Mediterranean climate in Italy; European migration during Roman Empire; Renaissance art and architecture;
25; Religions & Beliefs: Buddhism in Thailand; Thai - national language; Asian financial crisis, 1997; Thai military coups, 20th & 21st centuries; Ayutthaya Historical Park, a UNESCO World Heritage Site; Pad Thai and Tom Yum Goong, Thai staples; Tropical savanna climate in Thailand; Thai diaspora; Traditional Thai art and Temple murals;
26; Religions & Beliefs: Shinto in Japan; Japanese - official language; World War II in the Pacific, 1941-1945; Post-war economic miracle in Japan, 1950-1960s; Izumo Taisha, an ancient Shinto shrine; Sushi and ramen, Japanese staples; Temperate climate zones in Japan; Japanese immigration to Latin America; Traditional Japanese art, Ukiyo-e, and Kabuki theatre;
27; Religions & Beliefs: Sikhism in India; Punjabi, Hindi, and English languages; Partition of India, 1947; Green Revolution in India, 1960s; Golden Temple, a key site in Sikhism; Sarso da saag and masala chai, North Indian staples; Monsoon climate and Himalayan mountain ranges; Punjabi migration to other countries; Sikh art and architecture;
28; Religions & Beliefs: Animism in South Africa; Zulu, Xhosa, and Afrikaans languages; Apartheid era, 1948-1994; South African Truth and Reconciliation Commission, 1990s; Cradle of Humankind, a UNESCO World Heritage Site; Bobotie and pap, South African staples; Varied climate zones in South Africa; South African migration during apartheid; Rock art and contemporary African art;
29; Religions & Beliefs: Baha'i Faith in Iran; Persian - official language; Iranian Revolution, 1979; Iran-Iraq War, 1980-1988; Baha'i Gardens, a UNESCO World Heritage Site; Chelo kebab and tahdig, Iranian staples; Desert climate and Caspian Sea coastline; Baha'i migration from Iran; Persian calligraphy and Islamic geometric patterns</s>;
30;  Religions & Beliefs: Shinto in Japan; Japanese, English languages; Hiroshima and Nagasaki atomic bombings, 1945; Post-WWII Japanese economic miracle; Meiji Shrine, significant Shinto site; Sushi and ramen, Japanese staples; Rainy and snowy winters in Japan; Japanese immigration to Brazil and Peru; Japanese calligraphy and Ukiyo-e art;
31; Religions & Beliefs: Cao Dai in Vietnam; Vietnamese, French languages; Vietnam War, 1955-1975; Doi Moi, Vietnamese economic reform; Cao Dai Temple, a unique architectural site; Pho and Banh mi, Vietnamese staples; Monsoon climate and coastal regions; Vietnamese boat people migration; Vietnamese folk art and French colonial architecture;
32; Religions & Beliefs: Rastafarianism in Jamaica; English, Jamaican Patois languages; Independence of Jamaica, 1962; Impact of Bob Marley's music; Bob Marley Museum, cultural site; Jerk chicken and Ackee and saltfish, Jamaican staples; Tropical climate with hurricane risks; Jamaican migration to UK; Reggae music and Rastafarian art;
33; Religions & Beliefs: Hinduism in Nepal; Nepali, English languages; Nepalese Civil War, 1996-2006; Federal Democratic Republic of Nepal established; Pashupatinath Temple, important Hindu site; Dal Bhat and Momo, Nepalese staples; Mountainous climate and diverse landscapes; Bhutanese-Nepali migration; Hindu and Buddhist Thangka art;
34; Religions & Beliefs: Judaism in Israel; Hebrew, Arabic, and English languages; Israeli-Palestinian conflict; Oslo Accords, 1993; Western Wall, a significant Jewish site; Falafel and Hummus, Israeli staples; Mediterranean and desert climates; Jewish migration from Arab countries; Hebrew Calligraphy and Israeli modern art;
35; Religions & Beliefs: Christianity in Mexico; Spanish, indigenous languages; Mexican Revolution, 1910-1920; NAFTA, 1994; Basilica of Our Lady of Guadalupe, significant Christian site; Tacos and Mole, Mexican staples; Diverse climate zones and geography; Mexican immigration to USA; Mexican colonial architecture and folk art;
36; Religions & Beliefs: Buddhism in China; Mandarin Chinese, Tibetan languages; Cultural Revolution, 1966-1976; One Child Policy, 1979-2015; Great Wall of China, a global landmark; Hot pot and Dumplings, Chinese staples; Varying climates from tropical to subarctic; Chinese migration globally; Chinese calligraphy and traditional painting</s>;
37;  Religions & Beliefs: Islam in Indonesia; Indonesian and local languages; Asian Financial Crisis, 1</s>;;;;;;;
38;  Religions & Beliefs: Hinduism in India; Hindi, English, and regional languages; Partition of India, 1947; Globalization and IT Outsourcing; Taj Mahal and Hindu Temples; Indian curry and biryani; Monsoon climate and Himalayan range; Indian diaspora worldwide; Indian classical dance and music;
39; Religions & Beliefs: Judaism in Israel; Hebrew and Arabic languages; Israel-Palestine Conflict; Middle East Peace Process; Western Wall and Dome of the Rock; Falafel and Hummus, Israeli staples; Mediterranean and desert climates; Jewish immigration to Israel; Israeli art and cinema;
40; Religions & Beliefs: Animism in Africa; African languages and dialects; African Independence Movement; African Union; Great Zimbabwe and Egyptian Pyramids; Jollof Rice and Injera, African staples; Varying climates from tropical rainforests to deserts; African migration and diaspora; African art and masks;
41; Religions & Beliefs: Shinto in Japan; Japanese, Ryukyuan, and Ainu languages; Post-WWII Japan and Economic Miracle; World War II and Hiroshima/Nagasaki; Shrines and Temples; Sushi and Ramen, Japanese staples; Four seasons and mountainous landscape; Japanese immigration worldwide; Japanese anime and calligraphy;
42; Religions & Beliefs: Sikhism in Punjab, India; Punjabi, Hindi, and English languages; Partition of India, 1947; Khalistan Movement; Golden Temple and Sikh Gurudwaras; Dal Roti and Sarso ka Saag, Punjabi staples; Monsoon and subtropical climates; Sikh migration and diaspora; Sikh martial arts and music;
43; Religions & Beliefs: Christianity in Philippines; Filipino and English languages; Philippine Independence, 1946; OFW migration and remittances; Churches and Monasteries; Adobo and Lechon, Filipino staples; Tropical climate and archipelagic geography; Filipino migration worldwide; Filipino visual arts and films;
44; Religions & Beliefs: Buddhism in Thailand; Thai, Isan, and minority languages; Thai Coup d'etat, 2014; ASEAN and Regional Cooperation; Temples and Palaces; Pad Thai and Curries, Thai staples; Tropical monsoon climate; Thai migration worldwide; Thai classical dance and puppetry;
45; Religions & Beliefs: Christianity in Ethiopia; Amharic, Oromo, and Tigrinya languages; Ethiopian Civil War, 1974-1991; African Union and Regional Integration; Rock-hewn Churches at Lalibela; Injera and Kitfo, Ethiopian staples; Varying climates from tropical to arid; Ethiopian migration worldwide; Ethiopian music and dances.</s>;
