;Genetic Disorder; Prevalence Rate; Chromosome Number; Chromosome Location; Symptoms; Expression Pattern; Recessive Alleles Needed; Dominant Allele Frequency; Inheritance Pattern; Gene Symbol; Gene Description; Mutation Type; Mutation Location; Population Frequency; Additional Information
10; Neurofibromatosis Type 1; 1 in 3,00</s>;;;;;;;;;;;;;
11; Huntington's Disease; 1 in 10,000; Chromosome 4; 4p16.3; Progressive degeneration of nerve cells, leading to uncontrolled movements, emotional problems, and cognitive decline; Autosomal dominant; 1 dominant allele; 0.0025 frequency in Caucasian population; Onset typically in mid-adulthood;;;;;;
12;Marfan Syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Long limbs, long fingers, tall stature, disproportionately long legs, curvature of the spine, and lens dislocation; Autosomal dominant; 1 dominant allele; Approximately 1 in 5,000 people affected; Can be life-threatening without proper medical care;;;;;;
13;Cystic Fibrosis; 1 in 3,500; Chromosome 7; 7q31.2; Persistent lung infections, difficulty breathing, and poor growth; Autosomal recessive; 2 recessive alleles; Most common inherited disorder among people of Northern European descent, 1 in 25-35 are carriers;;;;;;;
14;Sickle Cell Anemia; 1 in 500 African-Americans; Chromosome 11; 11p15.4; Red blood cells become misshapen and break apart easily; Autosomal recessive; 2 recessive alleles; In Africa, up to 40% of the population are carriers;;;;;;;
15;Duchenne Muscular Dystrophy; 1 in 3,500 male births; Chromosome X; Xp21.2; Progressive muscle weakness, difficulty walking, and ultimately wheelchair-bound; X-linked recessive; 1 mutated allele; More common in males than females;;;;;;;
16;Tuberous Sclerosis Complex; 1 in 6,000; Chromosome 9; 9q34.3 and Chromosome 16; 16p13.3; Benign tumors on skin, brain, heart, kidneys, and eyes; Autosomal dominant; 1 dominant allele; Also known as Bourneville disease;;;;;;
17;Myotonic Dystrophy; 1 in 8,000; Chromosome 19; 19q13.32; Muscle weakness, myotonia, cataracts, cardiac arrhythmias, and endocrine disorders; Autosomal dominant; 1 dominant allele; Most common form of muscular dystrophy in adults;;;;;;;
18;Noonan Syndrome; 1 in 1,000-2,500; Chromosome 12; 12q24.1; Short stature, webbed neck, heart defects, developmental delay, and distinctive facial features; Autosomal dominant; 1 dominant allele; Also known as Noonan-Ehmke syndrome;;;;;;;
19; velocardiofacial syndrome; 1 in 2,000-5,000; Chromosome 22; 22q11.2; Heart defects, cleft palate, characteristic facial features, learning problems, speech and feeding issues; Autosomal dominant; 1 dominant allele; Also known as DiGeorge syndrome;;;;;;;
20;Congenital Adrenal Hyperplasia; 1 in 15,000-20,000; Chromosome 6; 6p21.3; Genetic disorder affecting the adrenal glands; Autosomal recessive; 2 recessive alleles; Incidence varies among different ethnic groups, e.g. 1 in 3,000 in Ashkenazi Jews.</s>;;;;;;;
21; Achondroplasia; 1 in 15,00</s>;;;;;;;;;;;;;
22; Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Connective tissue disorder affecting the eyes, heart, blood vessels, and skeleton; Autosomal dominant; 1 dominant allele; Fibrillin-1 gene mutation; 75% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes a protein called fibrillin-1, which is important for the structure and function of connective tissue; Mutation type: point mutation, deletion, or duplication; Mutation location: intron or exon; Population frequency: occurs in all populations  Additional information: life-long condition, regular medical check-ups are essential.
23;Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the growth and development of nerve tissue; Autosomal dominant; 1 dominant allele; Neurofibromin gene mutation; 50% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: NF1; Gene description: encodes a protein called neurofibromin, which regulates cell growth and division; Mutation type: point mutation, deletion, or insertion; Mutation location: intron or exon; Population frequency: occurs in all populations  Additional information: benign tumors on nerve tissue, skin, and bone, may cause learning disabilities and vision problems.
24;Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects muscle coordination and leads to cognitive decline and psychiatric problems; Autosomal dominant; 1 dominant allele; Huntingtin gene mutation; 50% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes a protein called huntingtin, which is essential for nerve cell function and survival; Mutation type: CAG trinucleotide repeat expansion; Mutation location: exon 1; Population frequency: more common in European populations  Additional information: juvenile onset form exists, disease progression and symptoms vary.
25;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9; 9q34.13; Tuberous sclerosis complex is a genetic disorder that causes benign tumors to grow in many parts of the body; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; 50% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: TSC1 or TSC2; Gene description: encodes hamartin (TSC1) or tuberin (TSC2), proteins that regulate cell growth and division; Mutation type: point mutation, deletion, or insertion; Mutation location: intron or exon; Population frequency: occurs in all populations  Additional information: symptoms vary widely, from mild to severe, may affect the brain, skin, heart, kidneys, and lungs.
26;Sickle cell anemia; 1 in 500 (African Americans), 1 in 1,000-1,400 (Hispanic Americans); Chromosome 11; 11p15.4; Sickle cell anemia is a genetic disorder that affects the production of hemoglobin in red blood cells; Autosomal recessive; 2 recessive alleles; HBB gene mutation; Higher incidence in populations with a high frequency of the sickle cell trait; Inheritance pattern: recessive; Gene symbol: HBB; Gene description: encodes the beta-globin chain of hemoglobin, which is a component of red blood cells; Mutation type: point mutation; Mutation location: exon 1; Population frequency: more common in African and Mediterranean populations  Additional information: can cause anemia, pain crises, and organ damage.
27;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects muscle function and can cause cataracts, heart problems, and hormonal imbalances; Autosomal dominant; 1 dominant allele; DMPK gene mutation; 50% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes a protein called myotonin protein kinase, which is important for muscle function; Mutation type: CTG trinucleotide repeat expansion; Mutation location: exon 15; Population frequency: occurs in all populations  Additional information: progressive disease, symptoms may vary widely among affected individuals.
28;Charcot-Marie-Tooth disease type 1; 1 in 2,500; Chromosome 17; 17p11.2; Charcot-Marie-Tooth disease type 1 is a genetic disorder that affects the peripheral nerves and can cause muscle weakness and atrophy, as well as sensory loss; Autosomal dominant; 1 dominant allele; PMP22 gene mutation; 50% chance of passing the dominant allele to offspring; Inheritance pattern: dominant; Gene symbol: PMP22; Gene description: encodes a peripheral myelin protein, which is important for nerve function; Mutation type: point mutation, deletion, or duplication; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause disability, but life expectancy is normal.
29;Phenylketonuria; 1 in 10,000-15,000; Chromosome 12; 12q23.2; Phenylketonuria is a genetic disorder that affects the metabolism of the amino acid phenylalanine; Autosomal recessive; 2 recessive alleles; PAH gene mutation; Higher incidence in populations with a high frequency of the PAH gene mutation; Inheritance pattern: recessive; Gene symbol: PAH; Gene description: encodes the enzyme phenylalanine hydroxylase, which is important for the metabolism of phenylalanine; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: more common in Irish, Scottish, and Ashkenazi Jewish populations  Additional information: if untreated, can cause intellectual disability, seizures, and behavioral problems.
30;Cystic fibrosis; 1 in 2,500 (Caucasians), 1 in 17,000 (Asians), 1 in 31,000 (Hispanics), 1 in 65,000 (African Americans); Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the respiratory and digestive systems, as well as the reproductive system; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Higher incidence in populations with a high frequency of the CFTR gene mutation; Inheritance pattern: recessive; Gene symbol: CFTR; Gene description: encodes a protein called the cystic fibrosis transmembrane conductance regulator, which is important for the regulation of salt and water transport; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: more common in Caucasian populations  Additional information: if untreated, can cause lung infections, respiratory failure, and malnutrition.
31;Fragile X syndrome; 1 in 4,000 (males), 1 in 8,000 (females); Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects cognitive and emotional development, as well as physical features; X-linked dominant; 1 dominant allele; FMR1 gene mutation; Higher incidence in males due to X-linked inheritance pattern; Inheritance pattern: X-linked dominant; Gene symbol: FMR1; Gene description: encodes a protein called fragile X mental retardation protein 1, which is important for brain function; Mutation type: CGG trinucleotide repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause intellectual disability, behavioral problems, and physical features such as long face and flexible fingers.</s>
32; Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects movement, cognition, and psychiatric symptoms; Autosomal dominant; 1 dominant allele; HTT gene mutation; Higher incidence in populations with a high frequency of the HTT gene mutation; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes a protein called huntingtin, which is important for nerve cell function; Mutation type: CAG trinucleotide repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: onset of symptoms usually in mid-life, can cause chorea, mood changes, and dementia.
33;Duchenne muscular dystrophy; 1 in 3,500 (males); Chromosome X; Xp21.2; Duchenne muscular dystrophy is a genetic disorder that affects muscle function and strength; X-linked recessive; 1 recessive allele; DMD gene mutation; Higher incess in males due to X-linked inheritance pattern; Inheritance pattern: X-linked recessive; Gene symbol: DMD; Gene description: encodes a protein called dystrophin, which is important for muscle function; Mutation type: deletion, duplication, or point mutation; Mutation location: exon; Population frequency: more common in males of all populations  Additional information: can cause progressive muscle weakness, loss of ambulation, and respiratory difficulties.
34;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9; 9q34.13 or Chromosome 16; 16p13.3; Tuberous sclerosis complex is a genetic disorder that affects multiple organ systems, including the brain, skin, heart, kidneys, and lungs; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; Higher incidence in populations with a high frequency of the TSC1 or TSC2 gene mutation; Inheritance pattern: dominant; Gene symbol: TSC1 or TSC2; Gene description: encode proteins called hamartin (TSC1) or tuberin (TSC2), which are important for regulating cell growth and division; Mutation type: deletion, duplication, or point mutation; Mutation location: exon  Population frequency: occurs in all populations  Additional information: can cause skin abnormalities, seizures, mental retardation, and tumors in multiple organs.
35;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects muscle function, as well as other organ systems; Autosomal dominant; 1 dominant allele; DMPK gene mutation; Higher incidence in populations with a high frequency of the DMPK gene mutation; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes a protein called myotonin protein kinase, which is important for muscle function and gene expression; Mutation type: CTG trinucleotide repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause muscle weakness, myotonia, and cataracts.
36;Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the growth and development of nerve tissue, causing benign tumors to form on nerves and can also affect other organ systems; Autosomal dominant; 1 dominant allele; NF1 gene mutation; Higher incidence in populations with a high frequency of the NF1 gene mutation; Inheritance pattern: dominant; Gene symbol: NF1; Gene description: encodes a protein called neurofibromin, which is important for regulating cell growth and division; Mutation type: deletion, duplication, or point mutation; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause skin abnormalities, skeletal abnormalities, and benign tumors on nerves.
37;Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Marfan syndrome is a genetic disorder that affects the body's connective tissue, causing problems with the heart, blood vessels, eyes, and skeleton; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Higher incidence in populations with a high frequency of the FBN1 gene mutation; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes a protein called fibrillin-1, which is important for the structure and function of connective tissue; Mutation type: deletion, duplication, or point mutation; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause long limbs, tall stature, and heart problems.
38;Hereditary hemochromatosis; 1 in 200-300; Chromosome 6; 6p21.3; Hereditary hemochromatosis is a genetic disorder that causes the body to absorb too much iron from food, leading to iron overload and damage to various organs; Autosomal recessive; 2 recessive alleles; HFE gene mutation; Higher incidence in populations with a high frequency of the HFE gene mutation; Inheritance pattern: recessive; Gene symbol: HFE; Gene description: encodes a protein called the HFE protein, which is important for regulating iron absorption; Mutation type: point mutation; Mutation location: exon; Population frequency: more common in populations with Northern European ancestry  Additional information: can cause liver damage, heart disease, and diabetes.
39;Noonan syndrome; 1 in 1,000-2,500; Chromosome 12; 12q24.1; Noonan syndrome is a genetic disorder that affects development and growth, causing problems with heart, blood vessels, and facial features; Autosomal dominant; 1 dominant allele; PTPN11 or SOS1 gene mutation; Higher incidence in populations with a high frequency of the PTPN11 or SOS1 gene mutation; Inheritance pattern: dominant; Gene symbol: PTPN11 or SOS1; Gene description: encode proteins involved in cell signaling and regulation of growth; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause short stature, heart defects, and developmental delay.
40;Spinal muscular atrophy; 1 in 6,000-10,000; Chromosome 5; 5q13.2; Spinal muscular atrophy is a genetic disorder that affects the motor neurons in the spinal cord, causing muscle weakness and wasting; Autosomal recessive; 2 recessive alleles; SMN1 gene mutation; Higher incidence in populations with a high frequency of the SMN1 gene mutation; Inheritance pattern: recessive; Gene symbol: SMN1; Gene description: encodes a protein called the survival motor neuron-1 protein, which is important for the survival and function of motor neurons; Mutation type: deletion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause severe muscle weakness and respiratory failure.
41;Retinitis pigmentosa; 1 in 3,500-4,000; Multiple chromosomes; Autosomal dominant, autosomal recessive, or X-linked; Retinitis pigmentosa is a genetic disorder that affects the rod and cone cells in the retina, causing vision loss; Autosomal dominant, autosomal recessive, or X-linked; Depends on gene mutation; Multiple genes; Higher incidence in populations with a high frequency of the gene mutation(s); Inheritance pattern: autosomal dominant, autosomal recessive, or X-linked; Gene symbol: Multiple; Gene description: encodes proteins involved in various functions in the eye; Mutation type: Depends on gene mutation; Mutation location: Exon; Population frequency: occurs in all populations  Additional information: can cause night blindness, tunnel vision, and eventually blindness.</s>
42; Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Marfan syndrome is a genetic disorder that affects the body's connective tissue, causing problems with the heart, blood vessels, eyes, and skeleton; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Higher incidence in populations with a high frequency of the FBN1 gene mutation; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes fibrillin-1, a protein that provides stability to connective tissue; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause long limbs, tall stature, and curved spine.
43;Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects the brain, causing uncontrolled movements, emotional problems, and loss of thinking ability; Autosomal dominant; 1 dominant allele; HTT gene mutation; Higher incidence in populations with a high frequency of the HTT gene mutation; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes the Huntingtin protein, which is involved in nerve cell function and transport; Mutation type: CAG repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause chorea, psychiatric disorders, and dementia.
44;Cystic fibrosis; 1 in 2,500; Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the respiratory and digestive systems, causing thick mucus production, lung infections, and difficulty with digestion; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Higher incidence in populations with a high frequency of the CFTR gene mutation; Inheritance pattern: recessive; Gene symbol: CFTR; Gene description: encodes the cystic fibrosis transmembrane conductance regulator protein, which regulates the movement of salt and water in and out of cells; Mutation type: deletion or insertion; Mutation location: exon; Population frequency: occurs mainly in populations of European descent  Additional information: can cause persistent coughing, lung damage, and malnutrition.
45;Fragile X syndrome; 1 in 4,000 males; Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects the X chromosome, causing intellectual disability, behavioral problems, and physical characteristics such as a long face, large ears, and flexible fingers; X-linked; 1 expanded CGG repeat allele; FMR1 gene mutation; Inheritance pattern: X-linked; Gene symbol: FMR1; Gene description: encodes the Fragile X mental retardation protein, which is involved in the regulation of protein synthesis; Mutation type: CGG repeat expansion; Mutation location: promoter; Population frequency: occurs in all populations; Additional information: can cause learning disabilities, social anxiety, and autistic-like behavior.
46;Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the growth and development of nerve tissue, causing skin changes, tumors, and neurological problems; Autosomal dominant; 1 dominant allele; NF1 gene mutation; Higher incidence in populations with a high frequency of the NF1 gene mutation; Inheritance pattern: dominant; Gene symbol: NF1; Gene description: encodes neurofibromin, a protein that regulates cell growth and division; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause café-au-lait spots, freckles, and benign tumors on nerves.
47;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects muscle function and regulation, causing muscle weakness, stiffness, and myotonia; Autosomal dominant; 1 dominant allele; DMPK gene mutation; Higher incidence in populations with a high frequency of the DMPK gene mutation; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes the myotonic dystrophy protein kinase, which is involved in muscle function and regulation; Mutation type: CTG repeat expansion; Mutation location: 3' untranslated region; Population frequency: occurs in all populations  Additional information: can cause cataracts, heart conduction problems, and hypersomnia.
48;Friedreich's ataxia; 1 in 50,000; Chromosome 9; 9q13; Friedreich's ataxia is a genetic disorder that affects the nervous system, causing problems with balance, coordination, and muscle control; Autosomal recessive; 2 recessive alleles; FXN gene mutation; Higher incidence in populations with a high frequency of the FXN gene mutation; Inheritance pattern: recessive; Gene symbol: FXN; Gene description: encodes frataxin, a protein involved in iron regulation and the formation of iron-sulfur clusters; Mutation type: GAA repeat expansion; Mutation location: intron; Population frequency: occurs mainly in populations of European descent  Additional information: can cause scoliosis, heart disease, and diabetes.
49;Duchenne muscular dystrophy; 1 in 3,500 males; Chromosome X; Xp21.2; Duchenne muscular dystrophy is a genetic disorder that affects muscle function and regulation, causing muscle weakness, wasting, and degeneration; X-linked; 1 mutated DMD gene allele; Inheritance pattern: X-linked; Gene symbol: DMD; Gene description: encodes dystrophin, a protein involved in muscle function and regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in males; Additional information: can cause heart and respiratory problems, and can be diagnosed by muscle biopsy or genetic testing.;
50;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9 or 16; 9q34.13 or 16p13.3; Tuberous sclerosis complex is a genetic disorder that affects multiple organ systems, causing benign tumors, skin changes, and neurological problems; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; Higher incidence in populations with a high frequency of the TSC1 or TSC2 gene mutation; Inheritance pattern: dominant; Gene symbol: TSC1 or TSC2; Gene description: encodes hamartin or tuberin, proteins involved in cell growth and division regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause epilepsy, intellectual disability, and behavioral problems.
51;Phenylketonuria; 1 in 10,000-15,000; Chromosome 12; 12q23.2; Phenylketonuria is a genetic disorder that affects amino acid metabolism, causing a buildup of phenylalanine in the blood and brain, leading to intellectual disability, behavioral problems, and seizures; Autosomal recessive; 2 recessive alleles; PAH gene mutation; Higher incidence in populations with a high frequency of the PAH gene mutation; Inheritance pattern: recessive; Gene symbol: PAH; Gene description: encodes phenylalanine hydroxylase, an enzyme involved in phenylalanine metabolism; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can be managed by a low-phenylalanine diet and monitored by newborn screening.</s>
52; Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects the nervous system, causing uncontrolled movements, emotional problems, and cognitive decline; Autosomal dominant; 1 dominant allele; HTT gene mutation; Higher incidence in populations with a high frequency of the HTT gene mutation; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes huntingtin, a protein involved in nerve cell function and regulation; Mutation type: CAG repeat expansion; Mutation location: exon 1; Population frequency: occurs in all populations  Additional information: can cause juvenile onset in some cases, and can be diagnosed by genetic testing.
53;Cystic fibrosis; 1 in 2,500 Caucasians; Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the respiratory and digestive systems, causing thick mucus, lung infections, and nutrient malabsorption; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Higher incidence in populations with a high frequency of the CFTR gene mutation; Inheritance pattern: recessive; Gene symbol: CFTR; Gene description: encodes cystic fibrosis transmembrane conductance regulator, a protein involved in salt and water transport in cells; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in Caucasians  Additional information: can cause severe lung damage and reduced lifespan, and can be managed by respiratory therapy and medication.
54;Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Marfan syndrome is a genetic disorder that affects the connective tissue, causing long limbs, tall stature, lens dislocation, and cardiovascular problems; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Higher incidence in populations with a high frequency of the FBN1 gene mutation; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes fibrillin-1, a protein involved in tissue structure and elasticity; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause aortic aneurysm and dissection, and can be diagnosed by genetic testing and imaging studies.
55;Fragile X syndrome; 1 in 4,000 males; Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects the nervous system, causing intellectual disability, behavioral problems, and physical features such as large ears and a long face; X-linked; 1 mutated FMR1 gene allele; Inheritance pattern: X-linked; Gene symbol: FMR1; Gene description: encodes FMRP, a protein involved in synapse function and regulation; Mutation type: triplet repeat expansion; Mutation location: exon 1; Population frequency: occurs mainly in males; Additional information: can cause autism spectrum disorder and can be diagnosed by genetic testing.;
56;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects muscle function and regulation, causing muscle weakness, wasting, and stiffness; Autosomal dominant; 1 dominant allele; DMPK gene mutation; Higher incidence in populations with a high frequency of the DMPK gene mutation; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes myotonin protein kinase, a protein involved in muscle function and regulation; Mutation type: CTG repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause cataracts, cardiac problems, and respiratory insufficiency, and can be diagnosed by genetic testing and electromyography.
57;Spinal muscular atrophy; 1 in 10,000; Chromosome 5; 5q13.2; Spinal muscular atrophy is a genetic disorder that affects motor neurons, causing muscle weakness, wasting, and degeneration; Autosomal recessive; 2 recessive alleles; SMN1 gene mutation; Higher incidence in populations with a high frequency of the SMN1 gene mutation; Inheritance pattern: recessive; Gene symbol: SMN1; Gene description: encodes survival motor neuron protein, a protein involved in motor neuron survival and function; Mutation type: deletion or conversion; Mutation location: exon 7 or 8; Population frequency: occurs in all populations  Additional information: can cause severe disability and reduced lifespan, and can be diagnosed by genetic testing and electromyography.
58;Sickle cell anemia; 1 in 500 African Americans; Chromosome 11; 11p15.4; Sickle cell anemia is a genetic disorder that affects hemoglobin, causing sickle-shaped red blood cells, anemia, and organ damage; Autosomal recessive; 2 recessive alleles; HBB gene mutation; Higher incidence in populations with a high frequency of the HBB gene mutation; Inheritance pattern: recessive; Gene symbol: HBB; Gene description: encodes beta-globin, a protein involved in hemoglobin function; Mutation type: point mutation; Mutation location: exon; Population frequency: occurs mainly in African Americans  Additional information: can cause painful crises, stroke, and organ failure, and can be diagnosed by genetic testing and hemoglobin electrophoresis.
59;Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the nervous system, causing skin changes, tumors, and neurological problems; Autosomal dominant; 1 dominant allele; NF1 gene mutation; Higher incidence in populations with a high frequency of the NF1 gene mutation; Inheritance pattern: dominant; Gene symbol: NF1; Gene description: encodes neurofibromin, a protein involved in cell growth and division regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause learning disabilities, vision problems, and cancer, and can be diagnosed by genetic testing and physical examination.
60;Congenital adrenal hyperplasia; 1 in 15,000; Chromosome 6; 6p21.3; Congenital adrenal hyperplasia is a genetic disorder that affects the adrenal glands, causing hormonal imbalances and genital ambiguity in some cases; Autosomal recessive; 2 recessive alleles; CYP21A2 gene mutation; Higher incidence in populations with a high frequency of the CYP21A2 gene mutation; Inheritance pattern: recessive; Gene symbol: CYP21A2; Gene description: encodes 21-hydroxylase, an enzyme involved in cortisol and aldosterone synthesis; Mutation type: point mutation, deletion, or conversion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause virilization in females, precocious puberty, and adrenal crisis, and can be diagnosed by genetic testing and hormone analysis.
61;Retinitis pigmentosa; 1 in 4,000; Chromosome various; various; Retinitis pigmentosa is a genetic disorder that affects the retina, causing night blindness, visual field loss, and eventually blindness; Autosomal recessive, autosomal dominant, or X-linked; Various genes affected, depending on inheritance pattern; Inheritance pattern: recessive, dominant, or X-linked; Gene symbol: various; Gene description: encodes proteins involved in photoreceptor function and regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause reduced quality of life and disability, and can be diagnosed by genetic testing and visual examination.</s>;
