;time\_period; GDP\_growth; $ annual\_revenue; $ billion; industry\_code; company\_name; state\_abbreviation; employee\_count; market\_value; data\_source; sample\_description
53;2068; 12.9%; $1184; 45000; I5454; Facebook; CA; 52000; $803.5 billion; World Bank; Social media company
54;2069; 13.1%; $1243; 46000; I5555; Tesla; CA; 90000; $800.2 billion; World Bank; Electric vehicle company
55;2070; 13.3%; $1304; 47000; I5656; ExxonMobil; TX; 71000; $286.5 billion; World Bank; Oil company
56;2071; 13.5%; $1368; 48000; I5757; General Electric; NY; 235000; $269.5 billion; World Bank; Conglomerate
57;2072; 13.7%; $1435; 49000; I5858; Johnson & Johnson; NJ; 135000; $429.4 billion; World Bank; Pharmaceutical company
58;2073; 13.9%; $1505; 50000; I5959; Visa; CA; 21000; $484.6 billion; World Bank; Financial services company
59;2074; 14.1%; $1578; 51000; I6060; Procter & Gamble; OH; 100000; $259.4 billion; World Bank; Consumer goods company</s>
60; 2075; 14.3%; $1653; 52000; I6161; Ford; MI; 180000; $272.1 billion; World Bank; Automotive manufacturer
61;2076; 14.5%; $1730; 53000; I6262; Bank of America; NC; 205000; $323.4 billion; World Bank; Financial services company
62;2077; 14.7%; $1809; 54000; I6363; Amazon; WA; 840000; $942.5 billion; World Bank; E-commerce company
63;2078; 14.9%; $1889; 55000; I6464; General Electric; NY; 304000; $370.5 billion; World Bank; Diversified industrial company
64;2079; 15.1%; $1972; 56000; I6565; Walmart; AR; 2300000; $398.3 billion; World Bank; Retail corporation
65;2080; 15.3%; $2056; 57000; I6666; Microsoft; WA; 163000; $2098.2 billion; World Bank; Technology company
66;2081; 15.5%; $2143; 58000; I6767; JPMorgan Chase; NY; 266000; $429.8 billion; World Bank; Financial services company
67;2082; 15.7%; $2231; 59000; I6868; Alphabet; CA; 135000; $1674.5 billion; World Bank; Technology company
68;2083; 15.9%; $2322; 60000; I6969; Facebook; CA; 52000; $826.2 billion; World Bank; Social media company
69;2084; 16.1%; $2414; 61000; I7070; Berkshire Hathaway; NE; 391000; $544.9 billion; World Bank; Diversified holding company</s>
70; 2085; 16.3%; $2507; 62000; I7171; Amazon; WA; 1400000; $1745.1 billion; World Bank; E-commerce company
71;2086; 16.4%; $2599; 63000; I7272; Microsoft; WA; 221000; $2130.4 billion; World Bank; Software company
72;2087; 16.6%; $2693; 64000; I7373; Johnson & Johnson; NJ; 134000; $439.4 billion; World Bank; Pharmaceutical company
73;2088; 16.8%; $2788; 65000; I7474; Visa; CA; 20900; $456.6 billion; World Bank; Financial services company
74;2089; 17%; $2884; 66000; I7575; Procter & Gamble; OH; 99000; $240.8 billion; World Bank; Consumer goods company
75;2090; 17.1%; $2981; 67000; I7676; Walmart; AR; 2300000; $389.2 billion; World Bank; Retail company
76;2091; 17.3%; $3080; 68000; I7777; JPMorgan Chase; NY; 266000; $444.7 billion; World Bank; Financial services company
77;2092; 17.4%; $3180; 69000; I7878; ExxonMobil; TX; 71000; $283.8 billion; World Bank; Oil and gas company
78;2093; 17.6%; $3282; 70000; I7979; General Electric; NY; 283000; $209.7 billion; World Bank; Diversified industrial company
79;2094; 17.7%; $3385; 71000; I8080; Oracle; CA; 136000; $207.9 billion; World Bank; Software company</s>
80; 2095; 17.8%; $3488; 72000; I8181; Microsoft; WA; 161000; $212.3 billion; World Bank; Software company
81;2096; 17.9%; $3592; 73000; I8282; Amazon; WA; 1298000; $195.6 billion; World Bank; Online retail company
82;2097; 18%; $3696; 74000; I8383; Johnson & Johnson; NJ; 132000; $379.3 billion; World Bank; Pharmaceutical company
83;2098; 18.1%; $3801; 75000; I8484; Facebook; CA; 52000; $525.5 billion; World Bank; Social media company
84;2099; 18.2%; $3906; 76000; I8585; Visa; CA; 19000; $443.9 billion; World Bank; Financial services company
85;2100; 18.3%; $4012; 77000; I8686; Alibaba; NY; 101000; $572.6 billion; World Bank; E-commerce company
86;2101; 18.4%; $4118; 78000; I8787; Procter & Gamble; OH; 99000; $256.2 billion; World Bank; Consumer goods company
87;2102; 18.5%; $4225; 79000; I8888; JPMorgan Chase; NY; 266000; $452.1 billion; World Bank; Financial services company
88;2103; 18.6%; $4333; 80000; I8989; Chevron; TX; 46000; $259.5 billion; World Bank; Oil and gas company
89;2104; 18.7%; $4441; 81000; I9090; IBM; NY; 366000; $174.6 billion; World Bank; Technology company</s>
90; 2105; 18.8%; $4558; 82000; I9191; ExxonMobil; TX; 72000; $239.5 billion; World Bank; Oil and gas company
91;2106; 18.9%; $4676; 83000; I9292; Microsoft; WA; 181000; $2192.2 billion; World Bank; Technology company
92;2107; 19%; $4795; 84000; I9393; Visa; CA; 205000; $464.9 billion; World Bank; Financial services company
93;2108; 19.1%; $4915; 85000; I9494; Procter & Gamble; OH; 104000; $254.2 billion; World Bank; Consumer goods company
94;2109; 19.2%; $5036; 86000; I9595; Verizon; NY; 132000; $241.4 billion; World Bank; Telecommunications company
95;2110; 19.3%; $5158; 87000; I9696; Johnson & Johnson; NJ; 135000; $417.7 billion; World Bank; Healthcare company
96;2111; 19.4%; $5281; 88000; I9797; Pfizer; NY; 88000; $238.6 billion; World Bank; Pharmaceutical company
97;2112; 19.5%; $5406; 89000; I9898; General Electric; NY; 303000; $205.3 billion; World Bank; Conglomerate company
98;2113; 19.6%; $5533; 90000; I9999;Amazon; WA; 1335000; $1719.3 billion; World Bank; Retail company
99;2114; 19.7%; $5661; 91000; J0001; Facebook; CA; 84000; $694.4 billion; World Bank; Social media company</s>
100; 2115; 19.8%; $5789; 92000; J0002; Google; CA; 170000; $1369.2 billion; World Bank; Technology company
101;2116; 19.9%; $5920; 93000; J0003; Microsoft; WA; 221000; $2170.8 billion; World Bank; Technology company
102;2117; 20.0%; $6051; 94000; I9899; Johnson & Johnson; NJ; 134000; $427.6 billion; World Bank; Healthcare company
103;2118; 20.1%; $6184; 95000; I9900; Walmart; AR; 2300000; $387.1 billion; World Bank; Retail company
104;2119; 20.2%; $6318; 96000; J0004; Apple; CA; 166000; $2398.2 billion; World Bank; Technology company
105;2120; 20.3%; $6454; 97000; J0005; ExxonMobil; TX; 88000; $285.1 billion; World Bank; Energy company
106;2121; 20.4%; $6591; 98000; J0006; JPMorgan Chase; NY; 274000; $391.4 billion; World Bank; Financial services company
107;2122; 20.5%; $6729; 99000; J0007; Johnson Controls; WI; 120000; $46.5 billion; World Bank; Manufacturing company
108;2123; 20.6%; $6869; 100000; J0008; Procter & Gamble; OH; 100000; $253.6 billion; World Bank; Consumer goods company
109;2124; 20.7%; $7011; 101000; J0009; Visa; CA; 20800; $444.1 billion; World Bank; Financial services company</s>
