9; Lumber $500/1,000 board feet; Italy 10-year yield 1.3%; BoE expected to hold rates; Derivatives in demand; Consumer debt relief; Q1 earnings meet predictions; PMI reading stable; CapEx investment rises; Real estate funds outperform; Low-risk options; Call for clearer guidelines; Retail sales up 1%; Strong performance in utilities and financials; Increase in shadow banking assets; High demand for longer-term commercial paper.
10; Zinc $40/lb; Spain 10-year yield 0.5%; ECB raises rates; Increased interest in futures and swaps; Consumer credit stabilizes; Q2 earnings fall short; Jobless claims rise; Industrial production drops; Mixed results in mutual funds; High volatility in index options; Call for regulatory clarity; Retail sales down 1%; Utilities sector sees decline; Rise in non-bank financial institutions; Increase in demand for short-term commercial paper.</s>
11;  Aluminum $90/lb; Greece 10-year yield 1.5%; BoJ maintains rates; Strong demand for options and futures; Subprime auto loans worry investors; Q3 earnings beat estimates; Inflation rises slightly; Business sentiment improves; REITs see growth; High-risk options; Proposal to tighten regulations; Retail sales up 2%; Consumer staples sector weakens; Expansion in private equity; Steady demand for medium-term commercial paper.
12; Nickel $50/lb; Portugal 10-year yield 1.7%; RBA cuts rates; Derivatives market volatile; Consumer confidence improves; Q4 earnings mixed; Interest rates steady; Consumer spending grows; Bond funds gain popularity; Low-strike options; Regulators push for transparency; Retail sales up 1%; Healthcare sector performs well; Shadow banking on the rise; Short-term commercial paper rates drop.
13; Lead $05/lb; Ireland 10-year yield 0.2%; Fed hikes rates; Increase in futures and swaps trading; Consumer lending increases; Q1 earnings exceed expectations; Unemployment remains low; Manufacturing activity slows; Sector rotation affects fund performance; Index options with higher premiums; Calls for updated regulatory framework; Retail sales down 0.5%; Energy sector declines; Spike in private lending; Commercial paper rates stable.
14; Tin $20/lb; Austria 10-year yield 0.6%; BOC expected to raise rates; Derivatives used to hedge risks; Consumer debt steady; Q2 earnings miss targets; Jobless claims rise; Service sector growth slows; Bond funds see outflows; High-risk options; Lobbying for better regulation; Retail sales up 2%; Technology sector recovers; Increase in fintech investments; Medium-term commercial paper rates rise.
15; Copper $25/lb; Netherlands 10-year yield 0.4%; BOE raises rates; Futures and options trading robust; Consumer savings rate rises; Q3 earnings meet expectations; GDP growth slows; Business investment falls; Hedge funds outperform; Low-risk options; Regulatory bodies seek better oversight; Retail sales up 0.5%; Mixed performance in consumer discretionary; Surge in peer-to-peer lending; Fluctuation in short-term commercial paper rates.
16; Gold $1,300/oz; Sweden 10-year yield 0.1%; RBNZ holds rates; Demand for gold futures; Consumer spending normalizes; Q4 earnings meet estimates; Inflation rises; Export growth slows; ETFs see growth; Low-strike options; Calls for tighter regulations; Retail sales down 0.5%; Materials sector gains ground; Boom in alternative financing; Steady demand for long-term commercial paper.
17; Silver $50/oz; Denmark 10-year yield -0.5%; ECB holds rates; Silver futures gain value; Consumer debt decreases; Q1 earnings below forecasts; Interest rates drop; Consumer sentiment weakens; Mixed results in equities; Index options with lower premiums; Calls for regulatory reform; Retail sales up 1%; Real estate sector strengthens; Increase in private equity investments; Commercial paper rates edge up.
18; Steel $650/ton; Belgium 10-year yield 0.4%; BoJ expected to hike rates; Increase in steel futures; Consumer lending rises; Q2 earnings mixed; Unemployment rate ticks up; Industrial output drops; Mutual funds see moderate growth; High-risk options; Demand for financial reform; Retail sales down 2%; Basic materials sector struggles; Surge in fintech lending; Demand for short-term commercial paper grows.
19; Palladium $1,100/oz; Norway 10-year yield 1.0%; SNB raises rates; Futures and options trading on palladium; Consumer credit increases; Q3 earnings exceed expectations; Wages rise; Consumer confidence improves; Hedge funds post gains; Low-strike options; Call for tougher regulations; Retail sales up 1%; Automotive sector performs well; Expansion in shadow banking; Commercial paper rates increase.
20; Platinum $950/oz; Finland 10-year yield 0.2%; RBA expected to cut rates; Platinum futures gain popularity; Consumer debt decreases; Q4 earnings meet estimates; Interest rates steady; Business sentiment weakens; REITs see decline; High-risk options; Regulatory authorities demand more oversight; Retail sales down 1%; Mixed performance in utilities; Rise in private debt; Short-term commercial paper rates rise.</s>
21;  Copper $00/lb; Sweden 10-year yield 0.0%; BoE holds rates; Increase in copper futures; Consumer borrowing up; Q1 earnings below estimates; Inflation rises; Consumer sentiment weakens; Equity funds post losses; High-strike options; Banks push for laxer rules; Retail sales flat; Energy sector underperforms; Uptick in non-bank lending; Prime commercial paper rates unchanged.
22; Aluminum $1,900/ton; Denmark 10-year yield -0.5%; Fed signals rate hike; Aluminum futures surge; Consumer debt steady; Q2 earnings disappoint; GDP growth slows; Labor market tightens; Bond funds see inflows; Low-risk options; Regulatory reform advances; Retail sales up 0.5%; Technology sector soars; Growth in peer-to-peer lending; Corporate paper rates decline.
23; Zinc $2,400/ton; Ireland 10-year yield 0.1%; BoJ keeps rates steady; Strong demand for zinc futures; Consumer credit expands; Q3 earnings surprise; Housing market booms; Consumer confidence improves; Real estate funds post gains; High-strike options; Calls for international cooperation; Retail sales up 1.5%; Materials sector recovers; Increase in securitized loans; Short-term commercial paper rates steady.
24; Gold $1,300/oz; Netherlands 10-year yield 0.2%; ECB holds rates; Gold futures steady; Consumer lending rises; Q4 earnings mixed; Deflation concerns remain; Unemployment rate falls; Sector rotation; Low-risk options; New regulations passed; Retail sales up 2%; Healthcare sector leads; Rise in bank lending; Demand for medium-term commercial paper grows.
25; Nickel $14,000/ton; Portugal 10-year yield 0.4%; RBA expected to cut rates; Nickel futures jump; Consumer debt increases; Earnings season begins; Interest rates drop; Trade tensions escalate; Index funds see outflows; High-strike options; Regulatory bodies clash; Retail sales flat; Industrials sector lags; Shadow banking activity decreases; Prime commercial paper rates rise.
26; Lead $2,300/ton; Spain 10-year yield 0.5%; BoC expected to hike rates; Lead futures rise; Consumer borrowing up; Q2 earnings ahead; Inflation spikes; Business investment declines; Infrastructure funds post gains; Low-risk options; Demand for regulation reform; Retail sales up 0.5%; Energy sector recovers; Supply chain finance gains popularity; Short-term commercial paper rates steady.
27; Tin $21,000/ton; Italy 10-year yield 1.5%; Norges Bank hikes rates; Tin futures rally; Consumer debt stable; Q3 earnings in line; Oil prices rise; Consumer sentiment wanes; Bond yields increase; High-strike options; Regulation updates; Retail sales up 1%; Consumer discretionary sector soars; Consumer finance companies expand; Commercial paper rates rise modestly.
28; Cobalt $50,000/ton; Greece 10-year yield 1.3%; BoJ holds rates; Cobalt futures rise; Consumer borrowing stagnant; Q4 earnings below estimates; Political uncertainty; Unemployment rate ticks up; Emerging markets funds see outflows; Low-risk options; Call for oversight; Retail sales down 1%; Industrials sector struggles; Invoice financing becomes popular; Commercial paper rates unchanged.
29; Iron Ore $120/ton; Austria 10-year yield 0.3%; RBA keeps rates steady; Iron ore futures gain; Consumer lending steady; Q1 earnings surprise; Inflation remains low; Consumer confidence improves; Private equity funds post gains; High-strike options; Regulatory authorities seek cooperation; Retail sales up 1%; Basic materials sector leads; Growth in real estate debt; Short-term commercial paper rates climb.</s>
30;  Aluminum $1,800/ton; Portugal 10-year yield 0.7%; ECB maintains course; Aluminum futures volatile; Consumer debt grows 0.5%; Q2 earnings exceed expectations; Strong job market; Housing starts increase; Tech funds report growth; Low-strike options; Global financial regulatory body proposed; Retail sales flat; Utilities sector declines; Consumer staples companies' revenue up; Commercial paper rates steady.
31; Copper $6,000/ton; Ireland 10-year yield 0.6%; BoE cautious on rates; Copper futures drop; Consumer credit grows 1%; Q3 earnings meet expectations; Corporate tax debate; Consumer price index rises; Hedge funds lose ground; High-strike options; Regulatory focus on cryptocurrencies; Retail sales down 0.5%; Energy sector weak; Capital markets firm performance stagnant; Commercial paper rates inch up.
32; Zinc $2,700/ton; Finland 10-year yield 0.2%; SNB maintains rates; Zinc futures steady; Consumer debt falls 0.2%; Q4 earnings mixed; Midterm elections; Consumer confidence wanes slightly; Bond markets gain; Low-risk options; Regional banks demand scrutiny; Retail sales down 0.7%; Metals and mining sector gains; Commodity index funds advance; Commercial paper rates rise.
33; Nickel $15,000/ton; Denmark 10-year yield 0.4%; RBA lowers rates; Nickel futures rise; Consumer debt rises 1.5%; Q1 earnings above estimates; Trade war tensions; Consumer sentiment improves; Equity markets fluctuate; High-strike options; Federal regulatory crackdown; Retail sales up 0.5%; Steel sector booms; Infrastructure investment expands; Commercial paper rates dip.
34; Lead $2,200/ton; Hungary 10-year yield 1.1%; BOJ negative rates; Lead futures drop; Consumer credit steady; Q2 earnings in line; GDP growth estimate; Consumer prices rise; Real estate funds up; Low-risk options; Regulatory compliance cost; Retail sales up 1.5%; Construction sector gains; REITs struggle; Short-term commercial paper rates climb.
35; Gold $1,300/oz; Sweden 10-year yield 0.3%; BoC holds rates; Gold futures stable; Consumer debt remains constant; Q3 earnings underperform; Oil price volatility; Consumer sentiment rises; Diversified funds down; High-strike options; European regulatory authorities cooperate; Retail sales flat; Precious metals sector recedes; Jewelry sales slip; Commercial paper rates steady.
36; Silver $50/oz; Slovakia 10-year yield 0.9%; Turkish Central Bank hikes rates; Silver futures fluctuate; Consumer debt up 0.5%; Q4 earnings miss; Political uncertainty; Consumer confidence ticks down; Bond funds report gains; Low-strike options; Regulatory changes; Retail sales down 1%; Industrial metals sector declines; Silver coin demand down; Commercial paper rates inch up.
37; Palladium $1,750/oz; Slovenia 10-year yield 0.6%; RBNZ lowers rates; Palladium futures dip; Consumer debt grows 1%; Q1 earnings above forecast; Geopolitical tensions; Consumer sentiment stable; Emerging markets up; High-strike options; Regulatory fines; Retail sales rise 0.5%; Automotive sector gains; Electric vehicles demand increases; Commercial paper rates steady.
38; Platinum $950/oz; Iceland 10-year yield 2.2%; Norges Bank maintains rates; Platinum futures fall; Consumer debt decreases 0.5%; Q4 earnings meet expectations; Central bank independence debate; Consumer confidence steady; International stocks up; Low-premium options; Regulatory reform; Retail sales decline 0.5%; Chemicals sector up; Raw materials costs dip; Commercial paper rates rise modestly.
39; Rhodium $3,000/oz; Israel 10-year yield 0.7%; BoK holds rates; Rhodium futures drop; Consumer debt slips 1%; Q1 earnings beat estimates; Interest rates hikes; Consumer prices stable; Sector rotation; High-yield options; Call for regulatory oversight; Retail sales up 1%; Mining sector gains; Precious metals exploration down; Commercial paper rates inch up.</s>
40;  Steel $450/ton; Italy 10-year yield 1.1%; BoJ keeps rates low; Steel futures rise; Consumer debt flat; Q2 earnings disappoint; Discussion on negative interest rates; Consumer optimism improves; Developed markets down; Low-strike options; Regulatory scrutiny; Retail sales increase 0.7%; Basic materials sector steady; Rise in commodity prices; Commercial paper rates drop.
41; Copper $60/lb; France 10-year yield 0.4%; ECB maintains rates; Copper futures surge; Consumer debt rises 0.5%; Q3 earnings surprise; Call for monetary policy easing; Consumer expectations soar; Emerging market equities up; At-the-money options; Regulatory easing; Retail sales dip 0.3%; Industrial sector up; Copper mine production up; Commercial paper rates steady.
42; Aluminum $1,800/ton; Spain 10-year yield 0.5%; RBA leaves cash rate unchanged; Aluminum futures jump; Consumer debt falls 0.5%; Q4 earnings below forecast; Pressure on central banks to act; Consumer pessimism grows; Asian stocks up; In-the-money options; Regulatory pressure; Retail sales decline 0.5%; Metal sector down; Aluminum smelting costs down; Commercial paper rates inch up.
43; Gold $1,300/oz; Portugal 10-year yield 1.2%; SNB keeps rates steady; Gold futures decline; Consumer debt shrinks 0.5%; Q1 earnings match estimates; Call for rate cuts; Consumer prices slip; Rotation into defensive stocks; European options; Regulatory tightening; Retail sales grow 0.4%; Precious metals sector steady; Gold supply increases; Commercial paper rates fall.
44; Silver $50/oz; Netherlands 10-year yield 0.3%; BoE holds rates; Silver futures climb; Consumer debt steady; Q2 earnings above projections; Debate on quantitative easing; Consumer sentiment sags; Institutional investment up; Out-of-the-money options; Calls for regulatory clarity; Retail sales up 0.7%; Silver mining sector gains; Silver coin demand rises; Commercial paper rates rise modestly.
45; Nickel $50/lb; Ireland 10-year yield 0.3%; Riksbank raises rates; Nickel futures steady; Consumer debt jumps 1%; Q3 earnings miss; Speculation on monetary policy; Consumer prices rise; Energy sector gains; Higher-premium options; Regulatory uncertainty; Retail sales down 0.5%; Nickel mining sector steady; Nickel demand from battery sector up; Commercial paper rates steady.
46; Zinc $1,150/ton; Greece 10-year yield 1.2%; BoC raises rates; Zinc futures edge up; Consumer debt falls 0.5%; Q4 earnings exceed expectations; Demand for rate hikes; Consumer confidence slides; Commodity currencies up; Long-dated options; Regulatory concerns; Retail sales down 0.3%; Construction sector steady; Zinc demand up; Commercial paper rates rise.
47; Lead $1,800/ton; Austria 10-year yield 0.3%; NBU raises rates; Lead futures slide; Consumer debt increases 0.5%; Q1 earnings meet estimates; Central bank independence; Consumer prices stable; Healthcare sector up; Low-premium options; Regulatory oversight; Retail sales flat; Lead mining sector gains; Lead demand rises; Commercial paper rates steady.
48; Tin $19,000/ton; Finland 10-year yield 0.3%; Fed maintains rates; Tin futures drop; Consumer debt jumps 1%; Q2 earnings below forecast; Fear of recession; Consumer optimism declines; Defensive stocks up; At-the-money options; Regulatory reform; Retail sales grow 0.5%; Tin mining sector flat; Tin demand rises; Commercial paper rates steady.
49; Cobalt $30,000/ton; Belgium 10-year yield 0.3%; ECB raises rates; Cobalt futures steady; Consumer debt shrinks 0.5%; Q3 earnings match estimates; Call for interest rate cuts; Consumer prices inch up; Financial sector gains; High-strike options; Regulatory pressure; Retail sales climb 0.4%; Cobalt mining sector steady; Cobalt demand up; Commercial paper rates fall.</s>
50;  Copper $7,500/ton; Greece 10-year yield 1.2%; BoJ keeps rates low; Copper futures rise; Consumer debt stable; Q4 earnings beat expectations; Focus on inflation; Consumer prices steady; Technology sector up; Long-term options; Regulatory guidance; Retail sales decline 0.2%; Copper mining sector up; Copper demand rises; Commercial paper rates unchanged.
51; Nickel $14,000/ton; Ireland 10-year yield 0.5%; RBA hikes rates; Nickel futures steady; Consumer debt decreases 0.7%; Q1 earnings below forecast; Call for monetary policy review; Consumer prices inch down; Industrial sector up; Low-premium options; Regulatory scrutiny; Retail sales climb 0.8%; Nickel mining sector up; Nickel demand stalls; Commercial paper rates rise.
52; Aluminum $1,900/ton; Israel 10-year yield 0.7%; BoE raises rates; Aluminum futures drop; Consumer debt rises 1.2%; Q2 earnings match expectations; Fear of economic slowdown; Consumer sentiment improves; Growth stocks up; At-the-money options; Regulatory tightening; Retail sales flat; Aluminum mining sector down; Aluminum demand up; Commercial paper rates unchanged.
53; Zinc $2,900/ton; Italy 10-year yield 1.5%; BoC maintains rates; Zinc futures steady; Consumer debt stable; Q3 earnings exceed forecast; Call for stimulus measures; Consumer prices edge up; Basic materials sector up; High-strike options; Regulatory reform; Retail sales decline 0.3%; Zinc mining sector steady; Zinc demand up; Commercial paper rates steady.
54; Lead $1,900/ton; Spain 10-year yield 1.2%; Riksbank hikes rates; Lead futures rise; Consumer debt decreases 0.3%; Q1 earnings below expectations; Fear of global economic downturn; Consumer confidence weakens; Defensive stocks up; Low-premium options; Regulatory oversight; Retail sales climb 0.5%; Lead mining sector up; Lead demand stagnant; Commercial paper rates steady.
55; Tin $19,200/ton; Sweden 10-year yield 0.6%; SNB lowers rates; Tin futures jump; Consumer debt rises 0.7%; Q2 earnings exceed expectations; Call for pro-growth policies; Consumer prices inch up; Consumer durables up; At-the-money options; Regulatory pressure; Retail sales flat; Tin mining sector down; Tin demand up; Commercial paper rates steady.
56; Cobalt $30,500/ton; Portugal 10-year yield 1.8%; Norges Bank maintains rates; Cobalt futures slide; Consumer debt stable; Q3 earnings meet forecast; Fear of inflation; Consumer prices increase; Technology sector down; High-strike options; Regulatory guidance; Retail sales climb 0.4%; Cobalt mining sector up; Cobalt demand stable; Commercial paper rates steady.
57; Copper $7,600/ton; Netherlands 10-year yield 0.6%; BoJ maintains rates; Copper futures unchanged; Consumer debt rises 1.2%; Q4 earnings match forecast; Call for rate cuts; Consumer prices steady; Basic materials sector down; Long-term options; Regulatory scrutiny; Retail sales grow 0.3%; Copper mining sector steady; Copper demand rises; Commercial paper rates steady.
58; Nickel $14,200/ton; France 10-year yield 0.9%; RBA maintains rates; Nickel futures steady; Consumer debt decreases 0.8%; Q1 earnings below expectations; Fear of economic slowdown; Consumer confidence declines; Growth stocks down; Low-premium options; Regulatory pressure; Retail sales fall 0.2%; Nickel mining sector down; Nickel demand up; Commercial paper rates steady.
59; Aluminum $1,850/ton; Germany 10-year yield 0.6%; BoE keeps rates low; Aluminum futures drop; Consumer debt rises 0.7%; Q2 earnings exceed expectations; Call for monetary policy review; Consumer prices edge up; Industrial sector down; At-the-money options; Regulatory tightening; Retail sales rise 0.3%; Aluminum mining sector up; Aluminum demand stagnant; Commercial paper rates steady.</s>
60;  Zinc $2,900/ton; Italy 10-year yield 1.2%; ECB maintains rates; Zinc futures rise; Consumer debt rises 1.1%; Q3 earnings meet expectations; Call for fiscal reforms; Consumer prices inch up; Utilities sector up; In-the-money options; Regulatory reforms; Retail sales steady; Zinc mining sector steady; Zinc demand rises; Commercial paper rates drop.
61; Lead $2,100/ton; Spain 10-year yield 1.4%; Bank of Canada maintains rates; Lead futures steady; Consumer debt decreases 0.6%; Q4 earnings exceed expectations; Fear of trade tensions; Consumer sentiment improves; Tech sector up; Out-of-the-money options; Regulatory changes; Retail sales grow 0.5%; Lead mining sector steady; Lead demand up; Commercial paper rates steady.
62; Tin $18,500/ton; Sweden 10-year yield 0.5%; BOJ maintains rates; Tin futures steady; Consumer debt rises 1.5%; Q1 earnings match forecast; Call for rate cuts; Consumer prices edge up; Financials sector up; At-the-money options; Regulatory easing; Retail sales drop 0.4%; Tin mining sector steady; Tin demand rises; Commercial paper rates steady.
63; Gold $1,300/oz; Switzerland 10-year yield -0.7%; Fed maintains rates; Gold futures steady; Consumer debt decreases 0.4%; Q2 earnings below expectations; Fear of market correction; Consumer confidence steady; Defensive sector up; Low-premium options; Regulatory uncertainty; Retail sales rise 0.6%; Gold mining sector up; Gold demand rises; Commercial paper rates steady.
64; Silver $50/oz; Austria 10-year yield 0.2%; BoE keeps rates low; Silver futures drop; Consumer debt rises 0.9%; Q3 earnings exceed expectations; Call for monetary policy review; Consumer prices steady; Cyclicals sector up; At-the-money options; Regulatory tightening; Retail sales fall 0.2%; Silver mining sector steady; Silver demand rises; Commercial paper rates steady.
65; Platinum $850/oz; Portugal 10-year yield 1.3%; RBA maintains rates; Platinum futures rise; Consumer debt decreases 1%; Q4 earnings meet forecast; Fear of economic slowdown; Consumer confidence declines; Commodities sector down; Low-premium options; Regulatory pressure; Retail sales grow 0.4%; Platinum mining sector steady; Platinum demand rises; Commercial paper rates steady.
66; Palladium $1,500/oz; Ireland 10-year yield 0.7%; Norges Bank maintains rates; Palladium futures steady; Consumer debt rises 1.4%; Q1 earnings below expectations; Call for rate cuts; Consumer prices edge up; Precious metals sector down; In-the-money options; Regulatory scrutiny; Retail sales drop 0.3%; Palladium mining sector steady; Palladium demand up; Commercial paper rates steady.
67; Steel $550/ton; Belgium 10-year yield 0.4%; BoJ maintains rates; Steel futures drop; Consumer debt rises 0.8%; Q2 earnings exceed expectations; Call for fiscal reforms; Consumer prices steady; Materials sector up; At-the-money options; Regulatory easing; Retail sales rise 0.5%; Steel mining sector stable; Steel demand rises; Commercial paper rates steady.
68; Iron Ore $80/ton; Denmark 10-year yield 0.2%; ECB maintains rates; Iron Ore futures steady; Consumer debt decreases 0.7%; Q3 earnings meet expectations; Fear of trade tensions; Consumer sentiment improves; Basic materials sector up; Low-premium options; Regulatory reforms; Retail sales steady; Iron Ore mining sector steady; Iron Ore demand rises; Commercial paper rates steady.
69; Copper $7,900/ton; Netherlands 10-year yield 0.8%; BoJ maintains rates; Copper futures edge up; Consumer debt rises 1%; Q4 earnings below forecast; Call for monetary policy review; Consumer prices rise; Basic materials sector down; In-the-money options; Regulatory tightening; Retail sales rise 0.6%; Copper mining sector up; Copper demand up; Commercial paper rates steady.</s>
70;  Gold $1,300/ounce; Sweden 10-year yield 0.6%; Fed maintains rates; Gold futures rise; Consumer debt rises 0.9%; Q1 earnings exceed expectations; Call for financial stability; Consumer prices steady; Precious metals sector up; Out-of-the-money options; Regulatory easing; Retail sales rise 0.7%; Gold mining sector up; Gold demand up; Commercial paper rates steady.
71; Corn $70/bushel; Switzerland 10-year yield -0.2%; ECB maintains rates; Corn futures steady; Consumer debt decreases 0.6%; Q2 earnings meet expectations; Fear of agricultural overproduction; Consumer sentiment improves; Agriculture sector up; Low-premium options; Regulatory reforms; Retail sales steady; Corn farming sector steady; Corn demand rises; Commercial paper rates steady.
72; Crude Oil $55/barrel; UK 10-year yield 1.1%; BoE raises rates; Crude futures fall; Consumer debt rises 1.2%; Q3 earnings below forecast; Call for energy policy reforms; Consumer prices rise; Energy sector down; In-the-money options; Regulatory tightening; Retail sales rise 0.5%; Crude oil production sector steady; Crude oil demand rises; Commercial paper rates steady.
73; Lumber $350/1,000 board feet; Germany 10-year yield 0.3%; ECB maintains rates; Lumber futures edge up; Consumer debt decreases 0.7%; Q4 earnings exceed expectations; Call for housing market reforms; Consumer prices steady; Construction sector up; At-the-money options; Regulatory easing; Retail sales rise 0.6%; Lumber production sector steady; Lumber demand rises; Commercial paper rates steady.
74; Soybeans $50/bushel; France 10-year yield 0.7%; ECB maintains rates; Soybean futures steady; Consumer debt rises 1%; Q1 earnings meet expectations; Fear of trade tensions; Consumer sentiment improves; Agriculture sector steady; Low-premium options; Regulatory reforms; Retail sales steady; Soybean farming sector steady; Soybean demand rises; Commercial paper rates steady.
75; Natural Gas $20/MMBtu; Spain 10-year yield 1.3%; ECB maintains rates; Natural gas futures steady; Consumer debt decreases 0.8%; Q2 earnings exceed expectations; Call for energy policy reforms; Consumer prices rise; Energy sector down; In-the-money options; Regulatory tightening; Retail sales rise 0.6%; Natural gas production sector steady; Natural gas demand rises; Commercial paper rates steady.
76; Sugar $13/pound; Italy 10-year yield 2.5%; ECB maintains rates; Sugar futures steady; Consumer debt rises 1.1%; Q3 earnings below forecast; Call for fiscal reforms; Consumer prices steady; Food sector up; At-the-money options; Regulatory easing; Retail sales rise 0.7%; Sugar production sector up; Sugar demand rises; Commercial paper rates steady.
77; Wheat $20/bushel; Portugal 10-year yield 1.7%; ECB maintains rates; Wheat futures edge up; Consumer debt decreases 0.6%; Q4 earnings exceed expectations; Call for agricultural policy reforms; Consumer prices steady; Agriculture sector up; Low-premium options; Regulatory reforms; Retail sales steady; Wheat farming sector steady; Wheat demand rises; Commercial paper rates steady.
78; Platinum $950/ounce; Finland 10-year yield 0.8%; ECB maintains rates; Platinum futures rise; Consumer debt rises 0.9%; Q1 earnings meet expectations; Fear of supply disruptions; Consumer sentiment improves; Precious metals sector up; Out-of-the-money options; Regulatory easing; Retail sales rise 0.7%; Platinum mining sector up; Platinum demand up; Commercial paper rates steady.
79; Palladium $1,700/ounce; Ireland 10-year yield 0.6%; ECB maintains rates; Palladium futures steady; Consumer debt decreases 0.7%; Q2 earnings exceed expectations; Call for supply chain reforms; Consumer prices rise; Precious metals sector up; In-the-money options; Regulatory tightening; Retail sales rise 0.5%; Palladium mining sector steady; Palladium demand rises; Commercial paper rates steady.</s>
80;  Nickel $50/pound; Belgium 10-year yield 0.2%; ECB maintains rates; Nickel futures rise; Consumer debt increases 1%; Q3 earnings meet expectations; Concerns over inventory levels; Consumer sentiment steady; Base metals sector up; At-the-money options; Regulatory reforms; Retail sales rise 0.4%; Nickel mining sector up; Nickel demand rises; Commercial paper rates steady.
81; Steel $600/ton; Netherlands 10-year yield 0.1%; ECB maintains rates; Steel futures steady; Consumer debt decreases 0.5%; Q4 earnings exceed expectations; Call for fair trade policies; Consumer prices steady; Industrial metals sector up; Out-of-the-money options; Regulatory easing; Retail sales steady; Steel production sector steady; Steel demand rises; Commercial paper rates steady.
82; Aluminum $1,800/ton; Austria 10-year yield 0.3%; ECB maintains rates; Aluminum futures edge down; Consumer debt increases 0.8%; Q1 earnings meet expectations; Fear of oversupply; Consumer sentiment improves; Light metals sector up; In-the-money options; Regulatory tightening; Retail sales rise 0.6%; Aluminum mining sector up; Aluminum demand up; Commercial paper rates steady.
83; Copper $00/pound; Luxembourg 10-year yield 0.4%; ECB maintains rates; Copper futures rise; Consumer debt decreases 0.6%; Q2 earnings exceed expectations; Call for sustainable mining practices; Consumer prices rise; Base metals sector up; Low-premium options; Regulatory reforms; Retail sales rise 0.5%; Copper mining sector steady; Copper demand rises; Commercial paper rates steady.
84; Zinc $2,700/ton; Denmark 10-year yield 0.0%; ECB maintains rates; Zinc futures steady; Consumer debt increases 0.9%; Q3 earnings meet expectations; Fear of export restrictions; Consumer sentiment steady; Base metals sector up; At-the-money options; Regulatory easing; Retail sales rise 0.4%; Zinc mining sector up; Zinc demand rises; Commercial paper rates steady.
