;Island Nation; Island Size (km2); Coastline Length (km); Number of Islands; Percentage of Land Cover by Forest; Percentage of Land Cover by Urban Areas; Average Temperature; Average Precipitation; Furthest Point from Continental Land; Population; Internet TLD
19; Borneo; 748,168; 5,390; 3; 50.7; 1; 26.2; 28.5; 1,300; 23,032,400; my
20;  Madagascar; 587,041; 4,828; 1; 60.9; 25.6; 22.3; 1,663; 3,100; 29,110,000; mg
21; Baffin Island, Canada; 507,451; 15,843; 1; 55.1; 0.1; -7.9; 45.5; 2,039; 13,569; ca
22; Greenland; 2,166,086; 44,087; 1; 85.1; 0.4; -9.6; 69.7; 4,212; 56,452; gl
23; Sumatra, Indonesia; 443,066; 14,643; 2; 47.3; 13.7; 25.6; 27.7; 1,806; 59,584,000; id
24; honour-mention: New Zealand; 268,680; 15,134; 2; 30.2; 2.5; 10.7; 1,171; 2,460; 5,121,000; nz
25; Cuba; 110,860; 3,735; 1; 27.3; 2.9; 24.5; 1,635; 214; 11,326,616; cu
26; Iceland; 103,001; 4,970; 1; 49.3; 0.9; 5.3; 1,163; 1,511; 368,525; is
27; Luzon, Philippines; 109,965; 3,670; 1; 53.2; 3.4; 26.6; 2,320; 500; 60,020,000; ph
28; Java, Indonesia; 132,137; 6,020; 1; 48.1; 18.7; 25.1; 2,778; 210; 141,701,000; id
29; Svalbard, Norway; 62,049; 3,587; 1; 62.6; 0.1; -6.7; 855; 1,050; 2,625; sj</s>
30;  Sumatra, Indonesia; 443,066; 17,820; 1; 59.6; 14.9; 25.8; 2,932; 110; 50,795,000; id
31; Honshu, Japan; 227,963; 5,450; 1; 67.5; 8.2; 13.2; 1,673; 1,000; 103,493,000; jp
32; Grande Terre, New Caledonia; 16,372; 2,254; 1; 30.7; 38.9; 21.1; 1,594; 1,500; 288,800; nc
33; Zealandia, New Zealand; 268,021; 15,134; 2; 65.1; 1.6; 11.3; 9.4; 2,200; 4,699,000; nz
34; Ellesmere Island, Canada; 196,236; 4,106; 1; 10; 0.1; -17.6; 223; 2,173; 143; ca
35; South Island, New Zealand; 145,836; 2,984; 1; 53.2; 2.2; 9.7; 8.4; 2,200; 1,096,000; nz
36; Sulawesi, Indonesia; 189,556; 7,036; 1; 56.9; 21.6; 26.3; 2,637; 1,500; 19,908,000; id
37; Greenland, Denmark; 2,166,086; 44,087; 1; 85; 0.1; -9.5; 753; 3,970; 56,452; gl
38; Borneo, Indonesia/Malaysia/Brunei; 748,168; 10,940; 1; 50.5; 34.3; 26.9; 3,163; 1,780; 21,351,000; id, my, bn
39; Iceland, Iceland; 102,775; 4,970; 1; 49.7; 0.9; 4.2; 1,140; 2,870; 327,000; is</s>
40; Madagascar, Madagascar; 587,041; 4,828; 1; 61.3; 23.2; 20.2; 1,671; 4,650; 25,010,000; mg
41; Baffin, Canada; 507,451; 2,984; 1; 54; 0.1; -10.4; 692; 1,130; 11,354; ca
42; Sumatra, Indonesia; 443,062; 7,859; 1; 47.3; 48.6; 26.5; 2,832; 1,840; 50,000,000; id
43; New Guinea, Indonesia/Papua New Guinea; 785,753; 5,420; 1; 62.4; 12.8; 23.3; 3,114; 80; 13,048,000; id, pg
44; Great Britain, United Kingdom; 209,331; 17,820; 1; 71.9; 79.1; 8.9; 883; 838; 64,819,000; uk
45; Honshu, Japan; 227,962; 5,450; 1; 68.6; 66.5; 12.3; 1,410; 1,900; 103,000,000; jp
46; Victoria, Canada; 217,291; 10,135; 1; 51.6; 0.1; -0.6; 843; 4,680; 511,000; ca
47; Ellesmere, Canada; 196,236; 4,365; 1; 81.8; 0.2; -15.9; 256; 2,530; 146; ca
48; Sakhalin, Russia; 72,410; 15,134; 1; 61.7; 21.4; -1.1; 712; 950; 512,000; ru
49; Luzon, Philippines; 109,965; 4,255; 1; 54.4; 52.4; 26.6; 2,414; 380; 53,730,000; ph</s>
50;  Zealand, New Zealand; 268,021; 15,134; 1; 31.4; 53.1; 12.5; 1,485; 3,600; 4,832,000; nz
51; Hokkaido, Japan; 83,450; 9,982; 1; 66.3; 30.4; 5.8; 1,150; 1,900; 5,434,000; jp
52; Sumatra, Indonesia; 443,062; 15,982; 1; 47.2; 16.2; 26.5; 2,926; 3,200; 59,545,000; id
53; Madagascar, Madagascar; 587,041; 4,828; 1; 61.3; 31.5; 25; 1,880; 6,600; 28,153,000; mg
54; Great Britain, United Kingdom; 229,850; 19,816; 1; 71.8; 63.2; 9.6; 1,154; 1,570; 66,650,000; uk
55; Honshu, Japan; 227,960; 13,045; 1; 68.5; 48.1; 13.4; 1,830; 1,200; 104,130,000; jp
56; Victoria, Canada; 217,291; 10,783; 1; 61; 0.4; -5; 1,151; 1,700; 514,500; ca
57; New Guinea, Indonesia; 785,753; 5,420; 1; 55.3; 2.1; 24.9; 3,247; 5,400; 14,511,000; id
58; South Island, New Zealand; 150,437; 6,155; 1; 53.8; 20.2; 10.5; 9.9; 3,600; 1,089,000; nz
59; Borneo, Malaysia; 748,168; 11,265; 1; 50.2; 1.9; 25.6; 3,336; 3,950; 22,165,000; my</s>
60;  Iceland, Iceland; 100,250; 4,970; 1; 49.6; 0.8; 4.6; 1,132; 2,175; 354,324; is
61; Sri Lanka, Sri Lanka; 65,610; 1,340; 1; 45.4; 14.6; 26.5; 2,327; 2,500; 21,836,000; lk
62; Cuba, Cuba; 109,884; 3,735; 1; 27.1; 61.3; 25.4; 1,749; 180; 11,342,000; cu
63; Greenland, Greenland; 2,130,800; 44,087; 1; 85.1; 0.4; -9.4; 669; 3,960; 55,958; gl
64; Luzon, Philippines; 109,965; 3,382; 1; 65.4; 17; 26.6; 27.9; 610; 52,603,000; ph
65; Honshu, Japan; 227,962; 5,450; 1; 68.5; 64.7; 13.5; 1,800; 1,900; 103,400,000; jp
66; Hokkaido, Japan; 83,424; 3,675; 1; 72.2; 45; 5.8; 1,291; 55; 5,438,000; jp
67; Sumatra, Indonesia; 473,481; 8,079; 1; 47.3; 18; 27.4; 2,916; 1,690; 55,463,000; id
69; Madagascar, Madagascar; 587,041; 4,828; 1; 48.9; 22.5; 25; 1,534; 4,330; 25,605,000; mg</s>
70;  Iceland, Iceland; 100,250; 4,970; 1; 49.7; 0.4; 6.9; 1,189; 2,178; 338,341; is
71; Cuba, Cuba; 110,860; 3,735; 1; 27.2; 1.9; 24.9; 1,324; 180; 11,326,616; cu
72; British Isles, UK; 315,134; 19,492; 2; 32.7; 14.5; 9.6; 9.5; 3,370; 72,364,000; uk
73; Honshu, Japan; 227,960; 5,450; 1; 68.5; 8; 12.1; 1,913; 1,080; 104,100,000; jp
74; Zealandia, New Zealand; 438,340; 15,134; 2; 34.2; 1.8; 10.8; 9.9; 2,235; 4,606,000; nz
75; Hokkaido, Japan; 83,457; 3,730; 1; 65.6; 2.7; 5.2; 5.6; 1,450; 5,437,000; jp
76; Sulawesi, Indonesia; 189,216; 5,095; 1; 52.1; 5.5; 25.7; 2,926; 1,860; 19,018,000; id
77; Greenland, Greenland; 2,166,086; 44,087; 1; 85; 0.1; -6.4; 695; 3,340; 56,370; gl
78; Ireland, Ireland; 84,421; 3,171; 1; 10.4; 71.1; 10.1; 1,165; 710; 6,697,000; ie
79; Borneo, Malaysia, Indonesia, Brunei; 748,168; 5,390; 3; 50.4; 2.9; 26.8; 2,569; 1,590; 20,861,000; my, id, bn</s>
80;  Cuba, Cuba; 110,860; 3,735; 1; 27.3; 69.9; 25.8; 1,504; 180; 11,326,000; cu
81; Iceland, Iceland; 103,000; 4,970; 1; 49.7; 0.5; 5; 1,286; 2,090; 348,500; is
82; Java, Indonesia; 138,794; 6,020; 1; 59.9; 19.2; 26.5; 2,359; 1,790; 147,700,000; id
83; Luzon, Philippines; 109,965; 5,269; 1; 64.1; 13.8; 26.6; 3,443; 355; 54,582,000; ph
84; Honshu, Japan; 227,962; 5,450; 1; 67.2; 8.1; 13.8; 13.3; 1,900; 104,283,000; jp
85; Sumatra, Indonesia; 443,066; 9,065; 1; 47.3; 12.2; 27.1; 3,149; 1,300; 55,468,000; id
86; Madagascar, Madagascar; 587,041; 4,828; 1; 41.6; 17.5; 25.5; 2,285; 4,650; 26,916,000; mg
87; New Guinea, Indonesia, Papua New Guinea; 785,753; 5,405; 2; 50.4; 2.4; 24.2; 3,270; 1,600; 11,828,000; pg, id
88; Great Britain, United Kingdom; 209,331; 12,429; 1; 12.6; 77.4; 10.3; 1,242; 990; 67,554,000; uk
89; Ellesmere Island, Canada; 196,235; 3,287; 1; 85; 0.1; -18.4; 272; 2,540; 193; ca</s>
