;"""City Names""";" ""_type=city_name"" ";" ""*Location*"": ""Continent""";" ""CountryName"" ";" ""_relationalop=(eq)""";" ""PopulationRanking"" ";" ""*Additional Info*"": ""Area\_Code""";" ""Timezone""";" ""CityType"" ";" ""*semantic_modifiers*"": ""City Size""";" ""Population""";" ""MajorAttractions""";" ""Latitude""";" ""Longitude"""
10;" ""Beijing""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""China""";"""_relationalop=(eq)""";"""7th"" ";"""*Additional Info*"": ""86""";"""CST ( China Standard Time )""";"""Capital""";"""*semantic\_modifiers*"": ""Very Large""";" ""21,516,000""";"""Forbidden City, Great Wall of China, Summer Palace""";" ""39.9042""";" ""116.4074""  "
11;"""Mumbai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""India""";"""_relationalop=(eq)""";"""6th"" ";"""*Additional Info*"": ""91""";"""IST ( India Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Very Large""";" ""20,712,000""";"""Gateway of India, Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya""";" ""19.0760""";" ""72.8777""  "
12;"""Shanghai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""China""";"""_relationalop=(eq)""";"""3rd"" ";"""*Additional Info*"": ""86""";"""CST ( China Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Very Large""";" ""24,183,000""";"""The Bund, Yu Garden, Shanghai Tower""";" ""31.2304""";" ""121.4737""  "
13;"""Cairo""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Egypt""";"""_relationalop=(eq)""";"""15th"" ";"""*Additional Info*"": ""20""";"""EET ( Eastern European Time )""";"""Capital""";"""*semantic\_modifiers*"": ""Large""";" ""20,500,000""";"""Pyramids of Giza, Egyptian Museum, Nile River""";" ""30.0444""";" ""31.2357""  "
14;"""Dhaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Bangladesh""";"""_relationalop=(eq)""";"""10th"" ";"""*Additional Info*"": ""88""";"""BST ( Bangladesh Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Very Large""";" ""20,283,000""";"""Ahsan Manzil, Lalbagh Fort, Sadarghat""";" ""23.7104""";" ""90.4125""  "
15;"""Mexico City""";"""_type=city\_name""";"""*Location*"": ""North America""";"""Mexico""";"""_relationalop=(eq)""";"""1st"" ";"""*Additional Info*"": ""52""";"""CST ( Central Standard Time )""";"""Capital""";"""*semantic\_modifiers*"": ""Very Large""";" ""21,782,000""";"""Zócalo, Palacio de Bellas Artes, Chapultepec""";" ""19.4326""";" ""-99.1332""  "
16;"""Tehran""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Iran""";"""_relationalop=(eq)""";"""29th"" ";"""*Additional Info*"": ""98""";"""IRST ( Iran Standard Time )""";"""Capital""";"""*semantic\_modifiers*"": ""Large""";" ""13,120,000""";"""Golestan Palace, Azadi Tower, Milad Tower""";" ""35.6895""";" ""51.3892""  "
17;"""Istanbul""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Turkey""";"""_relationalop=(eq)""";"""19th"" ";"""*Additional Info*"": ""90""";"""TRT ( Turkey Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""14,804,000""";"""Hagia Sophia, Blue Mosque, Topkapi Palace""";" ""41.0082""";" ""28.9784""  "
18;"""Karachi""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Pakistan""";"""_relationalop=(eq)""";"""7th"" ";"""*Additional Info*"": ""92""";"""PKT ( Pakistan Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""14,910,000""";"""Mazar-e-Quaid, Clifton Beach, Chaukhandi Tombs""";" ""24.8615""";" ""67.0099""  "
19;"""Paris""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""France""";"""_relationalop=(eq)""";"""26th"" ";"""*Additional Info*"": ""33""";"""CET ( Central European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""10,858,000""";"""Eiffel Tower, Louvre Museum, Notre-Dame""";" ""48.8566""";" ""2.3522""  </s>"
20;" ""Seoul""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""South Korea""";"""_relationalop=(eq)""";"""4th"" ";"""*Additional Info*"": ""9""";"""KST ( Korea Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""10,349,000""";"""Gyeongbokgung Palace, N Seoul Tower, Myeongdong""";" ""37.5665""";" ""126.9778""  "
21;"""Tokyo""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""1st"" ";"""*Additional Info*"": ""9""";"""JST ( Japan Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Very Large""";" ""37,400,000""";"""Tokyo Skytree, Imperial Palace, Shinjuku Gyoen""";" ""35.6895""";" ""139.6917""  "
22;"""Mumbai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""India""";"""_relationalop=(eq)""";"""5th"" ";"""*Additional Info*"": ""5.5""";"""IST ( Indian Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Large""";" ""20,712,000""";"""Gateway of India, Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya""";" ""19.0760""";" ""72.8777""  "
23;"""Cairo""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Egypt""";"""_relationalop=(eq)""";"""15th"" ";"""*Additional Info*"": ""2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Large""";" ""20,500,000""";"""Pyramids of Giza, Egyptian Museum, Nile River""";" ""30.0444""";" ""31.2357""  "
24;"""Lahore""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Pakistan""";"""_relationalop=(eq)""";"""28th"" ";"""*Additional Info*"": ""5""";"""PKT ( Pakistan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""11,126,000""";"""Badshahi Mosque, Lahore Fort, Shalimar Gardens""";" ""31.5204""";" ""74.3587""  "
25;"""Shanghai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""China""";"""_relationalop=(eq)""";"""2nd"" ";"""*Additional Info*"": ""8""";"""CTT ( China Standard Time )""";"""Metropolis""";"""*semantic\_modifiers*"": ""Very Large""";" ""27,058,000""";"""The Bund, Yuyuan Garden, Oriental Pearl Tower""";" ""31.2304""";" ""121.4737""  "
26;"""Osaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""10th"" ";"""*Additional Info*"": ""9""";"""JST ( Japan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large""";" ""19,281,000""";"""Osaka Castle, Universal Studios Japan, Dotonbori""";" ""34.6937""";" ""135.5021""  "
27;"""Izmir""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Turkey""";"""_relationalop=(eq)""";"""20th"" ";"""*Additional Info*"": ""3""";"""TRT ( Turkey Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""4,250,000""";"""Kadifekale, Konak Square, Izmir Clock Tower""";" ""38.4192""";" ""27.1286""  "
28;"""Beirut""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Lebanon""";"""_relationalop=(eq)""";"""30th"" ";"""*Additional Info*"": ""2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""2,200,000""";"""National Museum of Beirut, Pigeon Rocks, Beirut Souks""";" ""33.8547""";" ""35.4957""  "
29;"""Athens""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Greece""";"""_relationalop=(eq)""";"""76th"" ";"""*Additional Info*"": ""2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""3,090,000""";"""Acropolis, Parthenon, National Archaeological Museum""";" ""37.9795""";" ""23.7162""  </s>"
30;" ""Lisbon""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Portugal""";"""_relationalop=(eq)""";"""8th"" ";"""*Additional Info*"": ""0""";"""WET ( Western European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""2,821,000""";"""Jeronimos Monastery, Belem Tower, Alfama District""";" ""38.7072""";" ""-9.1355""  "
31;"""Dublin""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Ireland""";"""_relationalop=(eq)""";"""45th"" ";"""*Additional Info*"": ""0""";"""IST ( Irish Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium""";" ""1,173,000""";"""Trinity College, Temple Bar, Dublin Castle""";" ""53.3498""";" ""-6.2603""  "
32;"""Oslo""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Norway""";"""_relationalop=(eq)""";"""103rd"" ";"""*Additional Info*"": ""1""";"""CET ( Central European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium"""; 975,619 ;"""Vigeland Park, Viking Ship Museum, Royal Palace""";" ""59.9500""";" ""10.7167""  "
33;"""Helsinki""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Finland""";"""_relationalop=(eq)""";"""127th"" ";"""*Additional Info*"": ""2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Medium"""; 650,089 ;"""Suomenlinna, Helsinki Cathedral, Temppeliaukio Church""";" ""60.1699""";" ""24.9384""  "
34;"""Sydney""";"""_type=city\_name""";"""*Location*"": ""Australia""";"""Australia""";"""_relationalop=(eq)""";"""2nd"" ";"""*Additional Info*"": ""10""";"""AEDT ( Australian Eastern Daylight Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 4,627,300 ;"""Sydney Opera House, Harbour Bridge, Bondi Beach""";" ""-33.8679""";" ""151.2078""  "
35;"""Melbourne""";"""_type=city\_name""";"""*Location*"": ""Australia""";"""Australia""";"""_relationalop=(eq)""";"""5th"" ";"""*Additional Info*"": ""11""";"""AEDT ( Australian Eastern Daylight Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 4,132,900 ;"""Flinders Street Station, Federation Square, Royal Botanic Gardens""";" ""-37.8140""";" ""144.9634""  "
36;"""Toronto""";"""_type=city\_name""";"""*Location*"": ""North America""";"""Canada""";"""_relationalop=(eq)""";"""4th"" ";"""*Additional Info*"": ""-5""";"""EST ( Eastern Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 2,615,060 ;"""CN Tower, Toronto Islands, Royal Ontario Museum""";" ""43.6532""";" ""-79.3832""  "
37;"""Montreal""";"""_type=city\_name""";"""*Location*"": ""North America""";"""Canada""";"""_relationalop=(eq)""";"""9th"" ";"""*Additional Info*"": ""-5""";"""EST ( Eastern Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 1,649,519 ;"""Mount Royal, Old Montreal, Montreal Botanical Garden""";" ""45.5017""";" ""-73.5675""  "
38;"""Vancouver""";"""_type=city\_name""";"""*Location*"": ""North America""";"""Canada""";"""_relationalop=(eq)""";"""52nd"" ";"""*Additional Info*"": ""-8""";"""PST ( Pacific Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 631,486 ;"""Stanley Park, Granville Island, Capilano Suspension Bridge""";" ""49.2515""";" ""-123.1004""  "
39;"""Bogota""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Colombia""";"""_relationalop=(eq)""";"""25th"" ";"""*Additional Info*"": ""-5""";"""COT ( Colombia Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 7,042,058 ;"""Monserrate, La Candelaria, Bogota Botanical Garden""";" ""4.6097""";" ""-74.0818""  </s>"
40;" ""Sydney""";"""_type=city\_name""";"""*Location*"": ""Oceania""";"""Australia""";"""_relationalop=(eq)""";"""2nd"" ";"""*Additional Info*"": ""+10""";"""AEST ( Australian Eastern Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 4,627,345 ;"""Sydney Opera House, Bondi Beach, Taronga Zoo""";" ""-33.8679""";" ""151.2071""  "
41;"""Ekaterinburg""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Russia""";"""_relationalop=(eq)""";"""5th"" ";"""*Additional Info*"": ""+5""";"""YEKT ( Yekaterinburg Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 1,450,902 ;"""Church on the Blood, Museum of Fine Arts, River Iset""";" ""56.8346""";" ""60.6031""  "
42;"""Lagos""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Nigeria""";"""_relationalop=(eq)""";"""1st"" ";"""*Additional Info*"": ""+1""";"""WAT ( West Africa Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 13,451,051 ;"""Lekki Conservation Centre, National Museum Lagos, Nike Art Gallery""";" ""6.4532""";" ""3.4308""  "
43;"""Dhaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Bangladesh""";"""_relationalop=(eq)""";"""10th"" ";"""*Additional Info*"": ""+6""";"""BST ( Bangladesh Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 20,283,553 ;"""Ahsan Manzil, Lalbagh Fort, National Parliament House""";" ""23.7104""";" ""90.4121""  "
44;"""Buenos Aires""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Argentina""";"""_relationalop=(eq)""";"""27th"" ";"""*Additional Info*"": ""-3""";"""ART ( Argentina Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 15,130,683 ;"""Teatro Colón, Obelisk of Buenos Aires, Recoleta Cemetery""";" ""-34.6037""";" ""-58.3816""  "
45;"""Paris""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""France""";"""_relationalop=(eq)""";"""3rd"" ";"""*Additional Info*"": ""+1""";"""CET ( Central European Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 10,858,123 ;"""Eiffel Tower, Louvre Museum, Notre-Dame""";" ""48.8566""";" ""2.3522""  "
46;"""Osaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""12th"" ";"""*Additional Info*"": ""+9""";"""JST ( Japan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 19,281,000 ;"""Osaka Castle, Universal Studios Japan, Dōtonbori""";" ""34.6937""";" ""135.5022""  "
47;"""Chicago""";"""_type=city\_name""";"""*Location*"": ""North America""";"""USA""";"""_relationalop=(eq)""";"""30th"" ";"""*Additional Info*"": ""-6""";"""CST ( Central Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 2,746,388 ;"""Willis Tower, Millennium Park, Art Institute of Chicago""";" ""41.8781""";" ""-87.6298""  "
48;"""Cairo""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Egypt""";"""_relationalop=(eq)""";"""15th"" ";"""*Additional Info*"": ""+2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 20,139,016 ;"""Pyramids of Giza, Egyptian Museum, Nile River""";" ""30.0444""";" ""31.2357""  "
49;"""Mumbai""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""India""";"""_relationalop=(eq)""";"""6th"" ";"""*Additional Info*"": ""+5.5""";"""IST ( India Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 20,667,368 ;"""Gateway of India, Elephanta Caves, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya""";" ""19.0760""";" ""72.8777""  </s>"
50;" ""Lahore""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Pakistan""";"""_relationalop=(eq)""";"""27th"" ";"""*Additional Info*"": ""+5""";"""PKT ( Pakistan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 11,126,285 ;"""Badshahi Mosque, Lahore Fort, Shalimar Gardens""";" ""31.5204""";" ""74.3587""  "
51;"""Rio de Janeiro""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Brazil""";"""_relationalop=(eq)""";"""26th"" ";"""*Additional Info*"": ""-3""";"""BRT ( Brasilia Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 6,743,117 ;"""Statue of Christ Redeemer, Copacabana Beach, Sugarloaf Mountain""";" ""-22.9068""";" ""-43.1729""  "
52;"""Istanbul""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Turkey""";"""_relationalop=(eq)""";"""19th"" ";"""*Additional Info*"": ""+2""";"""TRT ( Turkey Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 15,519,267 ;"""Hagia Sophia, Blue Mosque, Topkapi Palace""";" ""41.0053""";" ""28.9784""  "
53;"""Osaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""16th"" ";"""*Additional Info*"": ""+9""";"""JST ( Japan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 19,281,000 ;"""Osaka Castle, Universal Studios Japan, Dotonbori""";" ""34.6937""";" ""135.5022""  "
54;"""New York""";"""_type=city\_name""";"""*Location*"": ""North America""";"""USA""";"""_relationalop=(eq)""";"""14th"" ";"""*Additional Info*"": ""-5""";"""EST ( Eastern Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 8,622,698 ;"""Statue of Liberty, Central Park, Times Square""";" ""40.7128""";" ""-74.0060""  "
55;"""Buenos Aires""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Argentina""";"""_relationalop=(eq)""";"""25th"" ";"""*Additional Info*"": ""-3""";"""ART ( Argentina Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 15,180,000 ;"""Obelisk, Teatro Colón, Recoleta Cemetery""";" ""-34.6037""";" ""-58.3816""  "
56;"""Paris""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""France""";"""_relationalop=(eq)""";"""31st"" ";"""*Additional Info*"": ""+1""";"""CET ( Central European Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 10,858,251 ;"""Eiffel Tower, Louvre Museum, Notre-Dame""";" ""48.8566""";" ""2.3522""  "
57;"""London""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""UK""";"""_relationalop=(eq)""";"""33rd"" ";"""*Additional Info*"": ""+0""";"""GMT ( Greenwich Mean Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 8,908,081 ;"""Big Ben, Tower of London, British Museum""";" ""51.5074""";" ""-0.1278""  "
58;"""Moscow""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Russia""";"""_relationalop=(eq)""";"""11th"" ";"""*Additional Info*"": ""+3""";"""MSK ( Moscow Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 12,506,468 ;"""Red Square, Kremlin, Saint Basil's Cathedral""";" ""55.7558""";" ""37.6176""  "
59;"""Seoul""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""South Korea""";"""_relationalop=(eq)""";"""9th"" ";"""*Additional Info*"": ""+9""";"""KST ( Korea Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 9,981,710 ;"""Gyeongbokgung Palace, N Seoul Tower, Bukchon Hanok Village""";" ""37.5665""";" ""126.9778""  </s>"
60;" ""Santiago""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Chile""";"""_relationalop=(eq)""";"""37th"" ";"""*Additional Info*"": ""-3""";"""CLT ( Chile Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 6,864,298 ;"""Plaza de Armas, Santa Lucia Hill, San Cristobal Hill""";" ""-33.4489""";" ""-70.6693""  "
61;"""Buenos Aires""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Argentina""";"""_relationalop=(eq)""";"""45th"" ";"""*Additional Info*"": ""-3""";"""ART ( Argentina Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 2,890,151 ;"""9 de Julio Avenue, Teatro Colon, Obelisco""";" ""-34.6037""";" ""-58.3816""  "
62;"""Cairo""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Egypt""";"""_relationalop=(eq)""";"""20th"" ";"""*Additional Info*"": ""+2""";"""EET ( Eastern European Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 20,437,104 ;"""Pyramids of Giza, Sphinx, Egyptian Museum""";" ""30.0444""";" ""31.2357""  "
63;"""Dar es Salaam""";"""_type=city\_name""";"""*Location*"": ""Africa""";"""Tanzania""";"""_relationalop=(eq)""";"""66th"" ";"""*Additional Info*"": ""+3""";"""EAT ( Eastern Africa Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 2,698,652 ;"""National Museum, Village Museum, Coco Beach""";" ""-6.8203""";" ""39.2699""  "
64;"""Osaka""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""15th"" ";"""*Additional Info*"": ""+9""";"""JST ( Japan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 19,281,000 ;"""Osaka Castle, Universal Studios Japan, Dotonbori""";" ""34.6937""";" ""135.5022""  "
65;"""Tokyo""";"""_type=city\_name""";"""*Location*"": ""Asia""";"""Japan""";"""_relationalop=(eq)""";"""11th"" ";"""*Additional Info*"": ""+9""";"""JST ( Japan Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 37,400,068 ;"""Tsukiji Fish Market, Meiji Shrine, Shibuya Crossing""";" ""35.6895""";" ""139.6917""  "
66;"""Istanbul""";"""_type=city\_name""";"""*Location*"": ""Europe""";"""Turkey""";"""_relationalop=(eq)""";"""19th"" ";"""*Additional Info*"": ""+3""";"""TRT ( Turkey Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 14,804,116 ;"""Hagia Sophia, Topkapi Palace, Blue Mosque""";" ""41.0082""";" ""28.9784""  "
67;"""Rio de Janeiro""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Brazil""";"""_relationalop=(eq)""";"""23rd"" ";"""*Additional Info*"": ""-3""";"""BRST ( Brazil Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 6,323,164 ;"""Christ the Redeemer, Copacabana Beach, Sugarloaf Mountain""";" ""-22.9068""";" ""-43.1729""  "
68;"""Sao Paulo""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Brazil""";"""_relationalop=(eq)""";"""7th"" ";"""*Additional Info*"": ""-3""";"""BRST ( Brazil Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 11,841,792 ;"""Paulista Avenue, Ibirapuera Park, Municipal Theatre""";" ""-23.5505""";" ""-46.6333""  "
69;"""Lima""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Peru""";"""_relationalop=(eq)""";"""26th"" ";"""*Additional Info*"": ""-5""";"""PET ( Peru Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 8,907,247 ;"""Plaza de Armas, San Francisco Church, Miraflores""";" ""-12.0464""";" ""-77.0428""  </s>"
70;" ""Buenos Aires""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Argentina""";"""_relationalop=(eq)""";"""18th"" ";"""*Additional Info*"": ""-3""";"""ART ( Argentina Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 14,993,240 ;"""Obelisk, Teatro Colon, Plaza de Mayo""";" ""-34.6037""";" ""-58.3816""  "
71;"""Santiago""";"""_type=city\_name""";"""*Location*"": ""South America""";"""Chile""";"""_relationalop=(eq)""";"""21st"" ";"""*Additional Info*"": ""-4""";"""CLST ( Chile Standard Time )""";"""City""";"""*semantic\_modifiers*"": ""Large"""; 6,664,983 ;"""San Cristobal Hill, La Moneda Palace, Santa Lucia Hill""";" ""-33.4489""";" ""-70.6693""  "
