;BusinessAnalyticsDossier;Company Name;Census Classification Code (e.g., NAICS);Annual Revenue;Quarterly Revenue;Marketing Expense (%);Sales Expense (%);Employee Count;Geographic Location;Industry Division;Growth Momentum;Demographics;Market Situational Awareness;Projections & Forecasts;Profitability Ratios %
11; BusinessAnalyticsDossier;Johnson & Johnson;325412 - Medicinal and Botanical Manufacturing;$81.6 billion;$21.0 billion;4.0%;3.5%;134,000;New Jersey, USA;Manufacturing;High;Baby Boomers;Stable;Healthcare providers;Positive 45%
12; BusinessAnalyticsDossier;Cisco Systems Inc.;334111 - Electronic Computer Manufacturing;$51.7 billion;$13.1 billion;6.0%;5.2%;74,000;California, USA;Manufacturing;Very High;Gen X;Stable;Businesses with networking needs;Neutral 55%
13; BusinessAnalyticsDossier;Amazon.com Inc.;454111 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$99.2 billion;8.0%;6.5%;1,300,000;Washington, USA;Retail Trade;Very High;Millennials & Gen Z;Expanding;Online shoppers;Positive 65%
14; BusinessAnalyticsDossier;General Electric Company;335999 - All Other Miscellaneous Electrical Equipment and Component Manufacturing;$76.2 billion;$19.5 billion;4.5%;4.0%;295,000;New York, USA;Manufacturing;High;Baby Boomers;Stable;Businesses with industrial equipment needs;Positive 42%
15; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$155.5 billion;$40.4 billion;4.5%;4.0%;201,000;Michigan, USA;Manufacturing;Very High;Gen X & Baby Boomers;Stable;Automotive retailers;Neutral 30%
16; BusinessAnalyticsDossier;Boeing Company;336411 - Aircraft Manufacturing;$76.6 billion;$20.1 billion;3.0%;2.5%;160,000;Washington, USA;Manufacturing;Very High;Gen X & Baby Boomers;Stable;Airlines;Positive 50%
17; BusinessAnalyticsDossier;Chevron Corporation;211111 - Crude Petroleum and Natural Gas Extraction;$135.0 billion;$33.0 billion;3.5%;3.0%;46,000;California, USA;Mining;Very High;Baby Boomers;Stable;Energy companies;Positive 48%
18; BusinessAnalyticsDossier;Walmart Inc.;452910 - Warehouse Clubs and Superstores;$559.0 billion;$143.1 billion;1.5%;1.2%;2,200,000;Arkansas, USA;Retail Trade;Very High;Millennials & Gen X;Stable;Retailers;Positive 25%
19; BusinessAnalyticsDossier;Alphabet Inc. (Google);511210 - Software Publishers;$182.5 billion;$46.7 billion;8.0%;7.0%;135,000;California, USA;Professional, Scientific, & Technical Services;Very High;Millennials & Gen X;Expanding;Online advertisers;Positive 58%</s>
20;  BusinessAnalyticsDossier;Exxon Mobil Corporation;211111 - Crude Petroleum and Natural Gas Extraction;$279.0 billion;$70.9 billion;2.5%;2.2%;34,000;Texas, USA;Mining;High;Baby Boomers;Stable;Energy companies;Positive 42%
21; BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping and Mail-Order Houses;$386.0 billion;$100.7 billion;12.0%;10.0%;1,300,000;Washington, USA;Retail Trade;Expanding;Millennials;Expanding;Online retailers;Positive 55%
22; BusinessAnalyticsDossier;Apple Inc.;334111 - Electronic Computer Manufacturing;$274.5 billion;$69.9 billion;6.0%;5.5%;154,000;California, USA;Manufacturing;Very High;Millennials;Stable;Technology companies;Positive 65%
23; BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$36.4 billion;14.0%;12.0%;175,000;Washington, USA;Professional, Scientific, & Technical Services;Very High;Gen X;Stable;Software companies;Positive 62%
24; BusinessAnalyticsDossier;Berkshire Hathaway Inc.;551112 - Offices of Other Holding Companies;$255.0 billion;$64.5 billion;1.5%;1.0%;391,000;Nebraska, USA;Finance and Insurance;High;Baby Boomers;Stable;Diversified investments;Positive 40%
25; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$155.5 billion;$39.4 billion;4.5%;4.0%;202,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automotive industry;Positive 38%
26; BusinessAnalyticsDossier;General Motors Company;336111 - Automobile Manufacturing;$137.2 billion;$34.6 billion;3.5%;3.0%;164,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automotive industry;Positive 36%
27; BusinessAnalyticsDossier;CVS Health Corporation;446110 - Pharmacies and Drug Stores;$256.7 billion;$65.2 billion;3.0%;2.5%;295,000;Rhode Island, USA;Health Care and Social Assistance;High;Baby Boomers;Stable;Healthcare providers;Positive 34%
28; BusinessAnalyticsDossier;UnitedHealth Group Incorporated;524114 - Medical Insurance;$262.9 billion;$66.6 billion;2.5%;2.0%;325,000;Minnesota, USA;Health Care and Social Assistance;High;Baby Boomers;Stable;Health insurance;Positive 32%
29; BusinessAnalyticsDossier;The Home Depot, Inc.;444130 - Home Centers;$142.5 billion;$36.2 billion;3.0%;2.5%;430,000;Georgia, USA;Retail Trade;High;Millennials;Stable;Home improvement retailers;Positive 30%</s>
30;  BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$97.3 billion;4.0%;3.0%;1,340,000;Washington, USA;Retail Trade;High;Millennials;Stable;E-commerce;Positive 45%
31; BusinessAnalyticsDossier;Exxon Mobil Corporation;331111 - Crude Petroleum and Natural Gas Extraction;$290.2 billion;$72.9 billion;6.0%;5.0%;71,000;Texas, USA;Mining, Quarrying, and Oil and Gas Extraction;High;Gen X;Stable;Energy;Positive 38%
32; BusinessAnalyticsDossier;Walmart Inc.;452910 - Warehouse Clubs and Superstores;$548.7 billion;$139.6 billion;1.5%;1.5%;2,300,000;Arkansas, USA;Retail Trade;High;Gen X;Stable;General merchandise retailers;Positive 40%
33; BusinessAnalyticsDossier;Alphabet Inc.;511210 - Software Publishers;$257.6 billion;$64.9 billion;7.0%;6.0%;174,000;California, USA;Information;High;Millennials;Stable;Internet and Digital Services;Positive 52%
34; BusinessAnalyticsDossier;Apple Inc.;334111 - Computers and Peripheral Equipment Manufacturing;$375.3 billion;$94.9 billion;5.0%;4.5%;164,000;California, USA;Manufacturing;High;Millennials;Stable;Electronics;Positive 48%
35; BusinessAnalyticsDossier;Microsoft Corporation;541511 - Custom Computer Programming Services;$168.1 billion;$42.6 billion;9.0%;8.0%;175,000;Washington, USA;Information;High;Millennials;Stable;Enterprise Software;Positive 50%
36; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$160.3 billion;$40.5 billion;7.0%;6.0%;203,000;Michigan, USA;Manufacturing;High;Gen X;Stable;Automotive;Positive 32%
37; BusinessAnalyticsDossier;General Motors Company;336111 - Automobile Manufacturing;$158.4 billion;$40.5 billion;7.5%;6.5%;180,000;Michigan, USA;Manufacturing;High;Gen X;Stable;Automotive;Positive 35%
38; BusinessAnalyticsDossier;CVS Health Corporation;446110 - Pharmacies and Drug Stores;$258.3 billion;$65 billion;3.5%;2.5%;298,000;Rhode Island, USA;Health Care and Social Assistance;High;Baby Boomers;Stable;Healthcare providers;Positive 36%
39; BusinessAnalyticsDossier;UnitedHealth Group Incorporated;524114 - Medical Insurance;$263.4 billion;$67 billion;2.5%;2.0%;327,000;Minnesota, USA;Health Care and Social Assistance;High;Baby Boomers;Stable;Health insurance;Positive 33%</s>
40;  BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$146.3 billion;$37.5 billion;6.8%;6.0%;168,00</s>;;;;;;;
41;  BusinessAnalyticsDossier;General Motors Company;336111 - Automobile Manufacturing;$142.5 billion;$35.9 billion;6.3%;5.8%;164,000;Michigan, USA;Manufacturing;High;Millennials;Stable;Auto industry;Positive 29%
42; BusinessAnalyticsDossier;Berkshire Hathaway Inc.;524126 - Reinsurance;$247.8 billion;$62.8 billion;1.5%;1.2%;386,000;Nebraska, USA;Finance and Insurance;Medium;Senior Citizens;Stable;Insurance;Positive 31%
43; BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping;$386.1 billion;$97.3 billion;12.5%;10.0%;1,608,000;Washington, USA;Retail Trade;Very High;Millennials;Expanding;E-commerce;Positive 42%
44; BusinessAnalyticsDossier;Alphabet Inc.;541511 - Custom Computer Programming;$182.5 billion;$46.4 billion;8.5%;7.0%;156,000;California, USA;Information;Very High;Millennials;Expanding;Technology;Positive 48%
45; BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$36.2 billion;7.5%;6.5%;170,000;Washington, USA;Information;High;Millennials;Stable;Technology;Positive 50%
46; BusinessAnalyticsDossier;Exxon Mobil Corporation;333112 - Oil and Gas Exploration;$235.5 billion;$59.4 billion;4.9%;4.5%;69,000;Texas, USA;Mining, Quarrying, and Oil and Gas Extraction;High;Baby Boomers;Stable;Energy;Positive 25%
47; BusinessAnalyticsDossier;The Home Depot, Inc.;444110 - Home Centers;$141.2 billion;$36.1 billion;5.6%;5.0%;433,000;Georgia, USA;Retail Trade;High;Generation X;Stable;Home Improvement;Positive 30%
48; BusinessAnalyticsDossier;Procter & Gamble Company;311111 - Soap and Cleaning Preparations;$70.7 billion;$18.2 billion;5.2%;4.6%;97,000;Ohio, USA;Manufacturing;Medium;Baby Boomers;Stable;Consumer Goods;Positive 28%
49; BusinessAnalyticsDossier;Walmart Inc.;452910 - Warehouse Clubs and Superstores;$559.2 billion;$142.7 billion;2.0%;1.5%;2,300,000;Arkansas, USA;Retail Trade;Very High;Generation X;Expanding;Retail;Positive 24%</s>
50;  BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$97.7 billion;6.5%;5.8%;1,345,000;Washington, USA;Retail Trade;Very High;Millennials;Expanding;E-commerce;Positive 35%
51; BusinessAnalyticsDossier;Exxon Mobil Corporation;3395 - Oil & Gas Exploration & Production;$268.9 billion;$67.2 billion;3.8%;3.4%;71,000;Texas, USA;Mining;High;Baby Boomers;Stable;Energy;Positive 22%
52; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$151.8 billion;$38.5 billion;4.2%;3.6%;202,000;Michigan, USA;Manufacturing;High;Generation X;Stable;Automotive;Positive 25%
53; BusinessAnalyticsDossier;General Electric Company;3333 - Electrical Equipment, Appliance & Component Manufacturing;$95.2 billion;$24.2 billion;6.1%;5.7%;294,000;New York, USA;Manufacturing;Medium;Baby Boomers;Stable;Industrial;Positive 29%
54; BusinessAnalyticsDossier;CVS Health Corporation;446110 - Pharmacies & Drug Stores;$204.8 billion;$51.9 billion;4.9%;4.3%;246,000;Rhode Island, USA;Retail Trade;High;Baby Boomers;Stable;Healthcare;Positive 26%
55; BusinessAnalyticsDossier;AT&T Inc.;517210 - Telecommunications;$181.2 billion;$45.6 billion;8.6%;7.8%;243,000;Texas, USA;Information;High;Baby Boomers;Stable;Telecommunications;Positive 27%
56; BusinessAnalyticsDossier;Chevron Corporation;3395 - Oil & Gas Exploration & Production;$135.6 billion;$34.5 billion;2.9%;2.5%;45,000;California, USA;Mining;High;Baby Boomers;Stable;Energy;Positive 23%
57; BusinessAnalyticsDossier;The Coca-Cola Company;312111 - Soft Drink Manufacturing;$37.3 billion;$9.4 billion;6.9%;6.1%;86,000;Georgia, USA;Manufacturing;Medium;Millennials;Stable;Beverages;Positive 31%
58; BusinessAnalyticsDossier;IBM Corporation;541511 - Custom Computer Programming Services;$79.6 billion;$20.1 billion;13.6%;12.9%;382,000;New York, USA;Professional, Scientific & Technical Services;Medium;Baby Boomers;Stable;Technology;Positive 33%
59; BusinessAnalyticsDossier;The Home Depot, Inc.;444110 - Home Centers;$141.2 billion;$36.1 billion;5.6%;5.0%;433,000;Georgia, USA;Retail Trade;High;Generation X;Stable;Home Improvement;Positive 30%</s>
60;  BusinessAnalyticsDossier;General Electric Company;334413 - Electrical Apparatus Manufacturing;$75.9 billion;$19.3 billion;4.2%;3.8%;295,000;New York, USA;Manufacturing;High;Baby Boomers;Stable;Industrial Equipment;Positive 28%
61; BusinessAnalyticsDossier;Microsoft Corporation;541512 - Computer Systems Design Services;$143.0 billion;$36.2 billion;11.3%;10.9%;175,000;Washington, USA;Professional, Scientific & Technical Services;High;Generation X;Stable;Software;Positive 35%
62; BusinessAnalyticsDossier;Ford Motor Company;336111 - Motor Vehicle Manufacturing;$156.8 billion;$40.4 billion;5.2%;4.8%;201,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automotive;Positive 27%
63; BusinessAnalyticsDossier;The Procter & Gamble Company;311110 - Soap and Cleaning Preparations Manufacturing;$67.7 billion;$17.2 billion;7.3%;6.8%;95,000;Ohio, USA;Manufacturing;High;Millennials;Stable;Consumer Goods;Positive 32%
64; BusinessAnalyticsDossier;Walmart Inc.;452910 - Warehouse Clubs and Superstores;$524.0 billion;$133.0 billion;2.4%;2.1%;2.3 million;Arkansas, USA;Retail Trade;Very High;Generation X;Stable;Retail;Positive 25%
65; BusinessAnalyticsDossier;Exxon Mobil Corporation;333130 - Oil & Gas Field Exploration Services;$226.1 billion;$57.6 billion;3.7%;3.3%;71,000;Texas, USA;Mining;Very High;Baby Boomers;Stable;Energy;Positive 24%
66; BusinessAnalyticsDossier;Berkshire Hathaway Inc.;524114 - Insurance Agencies and Brokerages;$248.0 billion;$62.7 billion;9.8%;9.4%;367,000;Nebraska, USA;Finance and Insurance;Very High;Millennials;Stable;Finance;Positive 26%
67; BusinessAnalyticsDossier;Apple Inc.;334111 - Computer and Peripheral Equipment Manufacturing;$274.5 billion;$70.6 billion;5.6%;5.1%;137,000;California, USA;Manufacturing;High;Millennials;Stable;Electronics;Positive 28%
68; BusinessAnalyticsDossier;Chevron Corporation;333110 - Oil & Gas Extraction;$155.8 billion;$39.4 billion;2.2%;1.8%;45,000;California, USA;Mining;Very High;Baby Boomers;Stable;Energy;Positive 23%
69; BusinessAnalyticsDossier;Amazon.com, Inc.;454110 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$99.2 billion;10.0%;9.6%;1.3 million;Washington, USA;Retail Trade;Very High;Millennials;Increasing;E-commerce;Positive 36%</s>
70;  BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$36.7 billion;14.3%;12.5%;163,000;Washington, USA;Information;Very High;Gen X;Stable;Technology;Positive 29%
71; BusinessAnalyticsDossier;Exxon Mobil Corporation;211111 - Crude Petroleum and Natural Gas Extraction;$290.2 billion;$73.3 billion;1.9%;1.5%;71,000;Texas, USA;Mining;Very High;Baby Boomers;Stable;Energy;Positive 25%
72; BusinessAnalyticsDossier;Berkshire Hathaway Inc.;551112 - Office Administrative Services;$248.0 billion;$63.5 billion;6.4%;5.9%;389,000;Nebraska, USA;Professional, Scientific, and Technical Services;High;Baby Boomers;Stable;Finance;Positive 27%
73; BusinessAnalyticsDossier;Alphabet Inc.;519130 - Internet Publishing and Broadcasting and Web Search Portals;$182.5 billion;$46.8 billion;11.1%;10.4%;135,000;California, USA;Information;Very High;Millennials;Increasing;Technology;Positive 33%
74; BusinessAnalyticsDossier;Facebook, Inc.;519130 - Internet Publishing and Broadcasting and Web Search Portals;$85.9 billion;$22.4 billion;16.2%;15.3%;45,000;California, USA;Information;Very High;Millennials;Increasing;Technology;Positive 31%
75; BusinessAnalyticsDossier;General Motors Company;336111 - Automobile Manufacturing;$157.4 billion;$40.4 billion;3.1%;2.7%;164,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automotive;Positive 24%
76; BusinessAnalyticsDossier;Johnson & Johnson;339113 - Medical Equipment and Supplies Manufacturing;$82.1 billion;$21.2 billion;4.5%;4.1%;134,000;New Jersey, USA;Manufacturing;High;Baby Boomers;Stable;Healthcare;Positive 26%
77; BusinessAnalyticsDossier;Visa Inc.;522210 - Credit Card Issuing;$23.1 billion;$5.9 billion;9.3%;8.4%;19,000;California, USA;Finance and Insurance;High;Gen X;Stable;Finance;Positive 30%
78; BusinessAnalyticsDossier;Procter & Gamble Company;311211 - Soap and Other Detergent Manufacturing;$70.7 billion;$18.1 billion;4.1%;3.7%;95,000;Ohio, USA;Manufacturing;Medium;Baby Boomers;Stable;Consumer Goods;Positive 25%
79; BusinessAnalyticsDossier;AT&T Inc.;517311 - Wired Telecommunications Carriers;$184.0 billion;$46.8 billion;7.8%;6.9%;246,000;Texas, USA;Information;High;Gen X;Stable;Telecommunications;Positive 29%</s>
80;  BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$36.4 billion;13.8%;11.2%;163,000;Washington, USA;Information;High;Baby Boomers;Stable;Technology;Positive 35%
81; BusinessAnalyticsDossier;Amazon.com, Inc.;454111 - Electronic Shopping and Mail-Order Houses;$386.1 billion;$91.9 billion;5.8%;4.9%;1,370,000;Washington, USA;Retail Trade;High;Millennials;Growing;E-commerce;Positive 45%
82; BusinessAnalyticsDossier;Alphabet Inc.;519130 - Internet Publishing and Broadcasting and Web Search Portals;$257.6 billion;$64.7 billion;18.6%;15.9%;156,000;California, USA;Information;High;Gen X;Stable;Technology;Positive 32%
83; BusinessAnalyticsDossier;General Motors Company;336111 - Automobile Manufacturing;$137.2 billion;$33.9 billion;4.2%;3.9%;180,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automobiles;Positive 20%
84; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$155.5 billion;$39.3 billion;4.7%;4.4%;203,000;Michigan, USA;Manufacturing;High;Baby Boomers;Stable;Automobiles;Neutral 22%
85; BusinessAnalyticsDossier;Johnson & Johnson;339112 - Medical Equipment and Supplies Manufacturing;$89.9 billion;$22.8 billion;7.1%;6.3%;137,000;New Jersey, USA;Manufacturing;Medium;Baby Boomers;Stable;Healthcare;Positive 28%
86; BusinessAnalyticsDossier;Walmart Inc.;452111 - Supermarkets and Other Grocery (except Convenience) Stores;$559.2 billion;$138.9 billion;1.8%;1.6%;2,200,000;Arkansas, USA;Retail Trade;High;Baby Boomers;Stable;Retail;Positive 21%
87; BusinessAnalyticsDossier;IBM Corporation;511210 - Software Publishers;$78.5 billion;$19.3 billion;13.2%;11.8%;340,000;New York, USA;Information;High;Baby Boomers;Stable;Technology;Positive 31%
88; BusinessAnalyticsDossier;Home Depot Inc.;444110 - Home Centers;$132.1 billion;$33.1 billion;5.3%;4.9%;430,000;Georgia, USA;Retail Trade;High;Baby Boomers;Stable;Retail;Positive 24%
89; BusinessAnalyticsDossier;Chevron Corporation;333112 - Oil and Gas Exploration and Production;$40.7 billion;$10.4 billion;14.6%;12.9%;27,000;California, USA;Mining;High;Baby Boomers;Stable;Energy;Positive 37%</s>
90;  BusinessAnalyticsDossier;Microsoft Corporation;511210 - Software Publishers;$143.0 billion;$35.5 billion;15.6%;13.4%;181,000;Washington, USA;Information;High;Gen X;Stable;Technology;Positive 33%
91; BusinessAnalyticsDossier;Walmart Inc.;452910 - Warehouse Clubs and Superstores;$572.8 billion;$142.0 billion;2.1%;1.8%;2.3 million;Arkansas, USA;Retail Trade;Very High;Baby Boomers;Stable;Retail;Positive 28%
92; BusinessAnalyticsDossier;Exxon Mobil Corporation;333111 - Oil and Gas Production;$263.9 billion;$64.9 billion;11.3%;10.5%;71,000;Texas, USA;Mining;Very High;Baby Boomers;Stable;Energy;Positive 38%
93; BusinessAnalyticsDossier;Amazon.com, Inc.;518110 - Internet Retailing;$469.8 billion;$116.5 billion;14.0%;12.1%;1.6 million;Washington, USA;Retail Trade;High;Millennials;Growing;Retail;Positive 35%
94; BusinessAnalyticsDossier;Alphabet Inc. (Google);519130 - Internet Publishing and Broadcasting and Web Search Portals;$220.3 billion;$55.7 billion;19.2%;17.4%;156,000;California, USA;Information;High;Millennials;Stable;Technology;Positive 41%
95; BusinessAnalyticsDossier;Berkshire Hathaway Inc.;524113 - Insurance Agencies and Brokerages;$276.1 billion;$68.0 billion;9.1%;8.4%;409,000;Nebraska, USA;Finance and Insurance;High;Baby Boomers;Stable;Insurance;Positive 29%
96; BusinessAnalyticsDossier;Ford Motor Company;336111 - Automobile Manufacturing;$160.3 billion;$39.5 billion;10.8%;9.5%;202,000;Michigan, USA;Manufacturing;Very High;Baby Boomers;Stable;Automotive;Stable 27%
97; BusinessAnalyticsDossier;Apple Inc.;334111 - Computer and Peripheral Equipment Manufacturing;$378.3 billion;$94.1 billion;7.2%;6.5%;165,000;California, USA;Manufacturing;High;Gen X;Stable;Technology;Positive 36%
98; BusinessAnalyticsDossier;CVS Health Corporation;446110 - Pharmacies and Drug Stores;$204.4 billion;$50.2 billion;3.8%;3.3%;295,000;Connecticut, USA;Health Care and Social Assistance;High;Baby Boomers;Stable;Healthcare;Positive 26%
99; BusinessAnalyticsDossier;General Electric Company;333411 - Electrical Equipment and Component Manufacturing;$123.7 billion;$29.9 billion;6.1%;5.7%;291,000;New York, USA;Manufacturing;High;Baby Boomers;Stable;Electrical;Stable 24%</s>
