;Stock Market Index;Stock Market Sector;Interest Rates;Commodity Prices;Consumer Price Index;Producer Price Index;Trade Balance;Current Account;Political Stability;Public Debt;Central Bank Policy;Gross Domestic Product;Inflation Rate;Foreign Exchange Rate;Fiscal Policy
38; Taiwan Capitalization Weighted Stock Index;HHealthcare;2.0%;Copper -$0.10/pound;3.0%;1.5%;+$5 billion;+$3 billion;Politically Stable;65% GDP;Tightening;2.0%;+$0.02/$;Contractionary;
39; New Zealand NZX 50;Financials;1.75%;Steel -$10/ton;2.5%;1.5%;+$4 billion;+$2 billion;Politically Stable;70% GDP;Neutral;1.75%;+$0.03/$;Neutral;</s>
40;  Hang Seng Index;Information Technology;2.25%;Gold -$25/ounce;2.75%;1.75%;+$6 billion;+$4 billion;Politically Stable;75% GDP;Easing;2.25%;+$0.01/$;Neutral;
41; CAC 40;Industrials;1.75%;Aluminum -$0.05/pound;2.25%;1.25%;+$5 billion;+$3 billion;Politically Stable;60% GDP;Tightening;1.75%;+$0.02/$;Contractionary;
42; S&P/TSX;Energy;2.5%;Oil -$5/barrel;3.25%;2.0%;+$7 billion;+$5 billion;Politically Stable;85% GDP;Neutral;2.5%;+$0.01/$;Expansionary;
43; Ibovespa;Consumer Discretionary;1.5%;Sugar -$0.05/pound;2.5%;1.75%;+$8 billion;+$6 billion;Politically Stable;70% GDP;Easing;1.5%;+$0.03/$;Neutral;
44; Swiss Market Index;Consumer Staples;1.25%;Coffee -$0.10/pound;2.0%;1.5%;+$4 billion;+$2 billion;Politically Stable;55% GDP;Neutral;1.25%;+$0.02/$;Contractionary;
45; BSE SENSEX;Healthcare;2.0%;Cotton -$0.05/pound;2.75%;1.75%;+$9 billion;+$7 billion;Politically Stable;80% GDP;Tightening;2.0%;+$0.01/$;Neutral;
46; ASX 200;Real Estate;1.75%;Iron Ore -$10/ton;2.25%;1.25%;+$6 billion;+$4 billion;Politically Stable;65% GDP;Neutral;1.75%;+$0.02/$;Expansionary;
47; Nikkei 225;Utilities;1.5%;Natural Gas -$0.10/MMBtu;2.0%;1.25%;+$5 billion;+$3 billion;Politically Stable;85% GDP;Easing;1.5%;+$0.03/$;Contractionary;
48; IPC Index;Communication Services;2.5%;Silver -$0.25/ounce;3.0%;2.0%;+$10 billion;+$8 billion;Politically Stable;75% GDP;Tightening;2.5%;+$0.01/$;Neutral;
49; STRATE India Nifty;Financials;1.75%;Copper -$0.10/pound;2.25%;1.5%;+$7 billion;+$5 billion;Politically Stable;60% GDP;Neutral;1.75%;+$0.02/$;Expansionary;</s>
50;  Hang Seng Index;Real Estate;2.0%;Gold -$50/ounce;2.5%;2.0%;+$12 billion;+$10 billion;Politically Stable;70% GDP;Tightening;2.0%;+$0.05/$;Neutral;
51; S&P/TSX Composite;Energy;1.25%;Crude Oil -$2.00/barrel;1.75%;1.2%;+$8 billion;+$6 billion;Politically Stable;65% GDP;Easing;1.25%;+$0.01/$;Contractionary;
52; Swiss Market Index;Health Care;1.5%;Brent Crude -$1.50/barrel;2.0%;1.5%;+$6 billion;+$4 billion;Politically Stable;80% GDP;Neutral;1.5%;+$0.03/$;Expansionary;
53; CAC 40;Industrials;1.75%;Iron Ore -$10/ton;2.25%;1.7%;+$9 billion;+$7 billion;Politically Stable;75% GDP;Tightening;1.75%;+$0.04/$;Contractionary;
54; FTSE 100;Consumer Discretionary;1.25%;Sugar -$0.05/pound;1.75%;1.2%;+$11 billion;+$9 billion;Politically Stable;60% GDP;Easing;1.25%;+$0.02/$;Neutral;
55; IBEX 35;Information Technology;2.0%;Aluminum -$0.05/pound;2.5%;2.0%;+$15 billion;+$13 billion;Politically Stable;85% GDP;Neutral;2.0%;+$0.03/$;Expansionary;
56; KOSPI;Consumer Staples;1.5%;Cotton -$0.05/pound;2.0%;1.5%;+$10 billion;+$8 billion;Politically Stable;65% GDP;Tightening;1.5%;+$0.05/$;Contractionary;
57; BSE SENSEX;Materials;1.75%;Wheat -$0.20/bushel;2.25%;1.7%;+$12 billion;+$10 billion;Politically Stable;70% GDP;Easing;1.75%;+$0.06/$;Neutral;
58; ASX 200;Utilities;2.25%;Natural Gas +$0.05/MMBtu;2.5%;2.2%;+$7 billion;+$5 billion;Politically Stable;80% GDP;Neutral;2.25%;+$0.02/$;Expansionary;
59; MERVAL;Financials;1.5%;Copper +$0.05/pound;2.0%;1.5%;+$14 billion;+$12 billion;Politically Stable;75% GDP;Tightening;1.5%;+$0.04/$;Contractionary;
60;  NASDAQ Composite;Information Technology;1.25%;Silicon +$0.10/ounce;1.75%;1.25%;+$20 billion;+$18 billion;Politically Stable;65% GDP;Easing;1.25%;+$0.03/$;Neutral;
61; CAC 40;Industrials;2%;Steel +$10/ton;2.5%;2%;+$15 billion;+$13 billion;Politically Stable;70% GDP;Neutral;2%;+$0.05/$;Expansionary;
62; SMI;Healthcare;1.5%;Gold -$10/ounce;2%;1.5%;+$8 billion;+$6 billion;Politically Stable;60% GDP;Tightening;1.5%;+$0.02/$;Contractionary;
63; HSI;Consumer Discretionary;2.25%;Sugar -$0.05/pound;3%;2.25%;+$10 billion;+$8 billion;Politically Stable;75% GDP;Easing;2.25%;+$0.04/$;Neutral;
64; S&P/TSX;Energy;1.75%;Oil +$1/barrel;2.5%;1.75%;+$12 billion;+$10 billion;Politically Stable;80% GDP;Neutral;1.75%;+$0.03/$;Expansionary;
65; IBEX 35;Real Estate;2%;Lumber +$20/1000 board feet;2.5%;2%;+$9 billion;+$7 billion;Politically Stable;65% GDP;Tightening;2%;+$0.03/$;Contractionary;
66; FTSE 100;Communication Services;1.5%;Cotton -$0.02/pound;2%;1.5%;+$11 billion;+$9 billion;Politically Stable;70% GDP;Easing;1.5%;+$0.02/$;Neutral;
67; Nikkei 225;Consumer Staples;1.75%;Rice -$0.10/pound;2.5%;1.75%;+$13 billion;+$11 billion;Politically Stable;80% GDP;Neutral;1.75%;+$0.03/$;Expansionary;
68; Borsa Italiana;Financials;1.25%;Copper +$0.05/pound;1.5%;1.25%;+$10 billion;+$8 billion;Politically Stable;75% GDP;Tightening;1.25%;+$0.01/$;Contractionary;
69; KOSPI;Utilities;1.5%;Natural Gas +$0.03/MMBtu;2%;1.5%;+$6 billion;+$4 billion;Politically Stable;85% GDP;Easing;1.5%;+$0.01/$;Neutral;</s>
70;  Hang Seng Index;Industrials;2%;Iron Ore +$2.00/tonne;3%;2%;+$15 billion;+$12 billion;Politically Stable;90% GDP;Neutral;2%;+$0.02/;Expansionary;
71; Ibovespa Brasil;Energy;2.25%;Crude Oil +$1.50/barrel;4%;2.25%;+$18 billion;+$14 billion;Politically Stable;70% GDP;Tightening;2.25%;+$0.04/;Contractionary;
72; Shanghai Composite;Real Estate;1.75%;Gold +$25/ounce;2.25%;1.75%;+$20 billion;+$17 billion;Politically Stable;80% GDP;Easing;1.75%;+$0.02/;Neutral;
73; FTSE 100;Healthcare;1.5%;Sugar +$0.03/pound;2%;1.5%;+$12 billion;+$10 billion;Politically Stable;95% GDP;Neutral;1.5%;+$0.01/;Expansionary;
74; CAC 40;Technology;1.25%;Cobalt +$0.50/pound;1.75%;1.25%;+$14 billion;+$11 billion;Politically Stable;85% GDP;Tightening;1.25%;+$0.02/;Contractionary;
75; DAX;Consumer Discretionary;1.75%;Wheat +$0.07/bushel;2.5%;1.75%;+$25 billion;+$22 billion;Politically Stable;90% GDP;Easing;1.75%;+$0.02/;Neutral;
76; S&P 500;Communication Services;2%;Lumber +$10/1000 board feet;3%;2%;+$30 billion;+$25 billion;Politically Stable;80% GDP;Neutral;2%;+$0.01/;Expansionary;
77; NASDAQ;Materials;1.5%;Platinum +$50/ounce;2.25%;1.5%;+$18 billion;+$15 billion;Politically Stable;75% GDP;Tightening;1.5%;+$0.02/;Contractionary;
78; Nikkei 225;Information Technology;1.25%;Silver +$1/ounce;1.75%;1.25%;+$16 billion;+$13 billion;Politically Stable;85% GDP;Easing;1.25%;+$0.01/;Neutral;
79; ASX 200;Energy;2%;Aluminum +$0.05/pound;3%;2%;+$22 billion;+$19 billion;Politically Stable;90% GDP;Neutral;2%;+$0.03/;Expansionary;</s>
80;  S&P 500;Health Care;0.75%;Gold +$25/ounce;2%;0.75%;+$30 billion;+$27 billion;Politically Stable;65% GDP;Tightening;0.75%;+$0.01/;Contractionary;
81; FTSE 100;Financials;1%;Copper +$0.10/pound;2.5%;1%;+$12 billion;+$9 billion;Politically Stable;50% GDP;Easing;1%;+$0.02/;Neutral;
82; CAC 40;Consumer Discretionary;0.5%;Palladium +$75/ounce;1.75%;0.5%;+$10 billion;+$7 billion;Slightly Stable;70% GDP;Neutral;0.5%;+$0.01/;Expansionary;
83; DAX;Industrials;1.25%;Zinc +$0.03/pound;2.25%;1.25%;+$20 billion;+$17 billion;Politically Stable;80% GDP;Tightening;1.25%;+$0.03/;Contractionary;
84; Hang Seng;Real Estate;1.75%;Lead +$0.02/pound;3%;1.75%;+$28 billion;+$25 billion;Politically Stable;95% GDP;Easing;1.75%;+$0.04/;Neutral;
85; Swiss Market;Utilities;0.25%;Nickel +$0.08/pound;1.25%;0.25%;+$8 billion;+$5 billion;Politically Stable;45% GDP;Neutral;0.25%;+$0.01/;Expansionary;
86; BSE SENSEX;Communication Services;1.5%;Cobalt +$0.50/pound;2.5%;1.5%;+$15 billion;+$12 billion;Politically Stable;60% GDP;Tightening;1.5%;+$0.03/;Contractionary;
87; IBEX 35;Consumer Staples;1%;Iron Ore +$1.50/ton;2%;1%;+$14 billion;+$11 billion;Politically Stable;75% GDP;Easing;1%;+$0.02/;Neutral;
88; TSX Composite;Energy;1.25%;Oil +$3/barrel;3%;1.25%;+$30 billion;+$27 billion;Politically Stable;85% GDP;Neutral;1.25%;+$0.04/;Expansionary;
89; KOSPI;Information Technology;0.75%;Rubber +$0.02/pound;1.5%;0.75%;+$25 billion;+$22 billion;Politically Stable;90% GDP;Tightening;0.75%;+$0.03/;Contractionary;</s>
90;  NASDAQ Composite;Healthcare;0.5%;Gold +$50/ounce;2.5%;0.5%;+$40 billion;+$35 billion;Politically Stable;80% GDP;Easing;0.5%;+$0.01/;Neutral;
91; CAC 40;Financials;1.5%;Sugar +$0.05/pound;2%;1.5%;+$35 billion;+$30 billion;Politically Stable;70% GDP;Neutral;1.5%;+$0.03/;Expansionary;
92; S&P/TSX 60;Industrials;0.75%;Copper +$0.10/pound;1%;0.75%;+$20 billion;+$18 billion;Politically Stable;95% GDP;Tightening;0.75%;+$0.02/;Contractionary;
93; Nikkei 225;Consumer Discretionary;1%;Silver +$1/ounce;1.5%;1%;+$50 billion;+$45 billion;Politically Stable;60% GDP;Easing;1%;+$0.04/;Neutral;
94; ASX 200;Materials;0.5%;Platinum +$25/ounce;2%;0.5%;+$45 billion;+$40 billion;Politically Stable;75% GDP;Neutral;0.5%;+$0.02/;Expansionary;
95; Hang Seng Index;Real Estate;1.25%;Cotton +$0.05/pound;1%;1.25%;+$60 billion;+$55 billion;Politically Stable;85% GDP;Tightening;1.25%;+$0.03/;Contractionary;
96; Borsa Italiana;Utilities;0.75%;Palladium +$20/ounce;1.5%;0.75%;+$30 billion;+$25 billion;Politically Stable;65% GDP;Easing;0.75%;+$0.02/;Neutral;
97; Ibovespa;Communication Services;1%;Aluminum +$0.05/pound;2%;1%;+$70 billion;+$65 billion;Politically Stable;80% GDP;Neutral;1%;+$0.04/;Expansionary;
98; Swiss Market Index;Healthcare;1.5%;Zinc +$0.10/pound;1%;1.5%;+$55 billion;+$50 billion;Politically Stable;90% GDP;Tightening;1.5%;+$0.03/;Contractionary;
99; FTSE 100;Financials;0.75%;Lead +$0.05/pound;1.5%;0.75%;+$60 billion;+$55 billion;Politically Stable;70% GDP;Easing;0.75%;+$0.02/;Neutral;</s>
100;  NASDAQ;Technology;0.5%;Copper +$0.15/pound;2.5%;0.5%;+$80 billion;+$75 billion;Politically Stable;60% GDP;Neutral;1%;+$0.05/;Expansionary;
101; CAC 40;Industrials;1.25%;Nickel +$0.08/pound;1.5%;1.25%;+$65 billion;+$60 billion;Politically Stable;85% GDP;Tightening;1.25%;+$0.03/;Contractionary;
102; Hang Seng;Consumer Discretionary;2%;Iron +$0.10/pound;2%;2%;+$75 billion;+$70 billion;Politically Stable;95% GDP;Easing;2%;+$0.06/;Neutral;
103; Nikkei 225;Consumer Staples;0.25%;Gold -$0.05/ounce;0.5%;0.25%;+$50 billion;+$45 billion;Politically Stable;75% GDP;Neutral;0.25%;+$0.01/;Expansionary;
104; ASX 200;Utilities;1.75%;Palladium +$0.20/ounce;1%;1.75%;+$80 billion;+$75 billion;Politically Stable;65% GDP;Tightening;1.75%;+$0.05/;Contractionary;
105; Shanghai Composite;Real Estate;1%;Platinum +$0.15/ounce;1.5%;1%;+$100 billion;+$95 billion;Politically Stable;80% GDP;Easing;1%;+$0.04/;Neutral;
106; IBEX 35;Healthcare;1.25%;Silver +$0.20/ounce;2%;1.25%;+$65 billion;+$60 billion;Politically Stable;90% GDP;Neutral;1.25%;+$0.04/;Expansionary;
107; KOSPI;Financials;0.75%;Steel +$10/ton;1.5%;0.75%;+$80 billion;+$75 billion;Politically Stable;70% GDP;Tightening;0.75%;+$0.03/;Contractionary;
108; BSE SENSEX;Information Technology;1%;Cotton +$0.10/pound;0.5%;1%;+$75 billion;+$70 billion;Politically Stable;85% GDP;Easing;1%;+$0.06/;Neutral;
109; TADAWUL;Materials;2%;Corn +$0.10/bushel;1%;2%;+$90 billion;+$85 billion;Politically Stable;95% GDP;Neutral;2%;+$0.07/;Expansionary;</s>
