;Religions and Beliefs; Philosophical Thoughts; Historiography; Major Battles; Influential Leaders; Languages & Writing Systems; Legal Systems; Trade Networks; Currencies; Agricultural Practices
16; Religions and Beliefs: Zoroastrianism, Manichaeism, and Islam in medieval Persia; Philosophical Thoughts: Illuminationist philosophy, Falasifa; Historiography: Tarikh-i Bayhaqi; Major Battles: Battle of Qadisiyah (636); Influential Leaders: Umar ibn al-Khattab, Ismail I; Languages & Writing Systems: Pahlavi scripts; Legal Systems: Sharia law; Trade Networks: Silk Road, Spice trade; Currencies: Islamic dinar, dirham; Agricultural Practices: Qanat irrigation, saffron cultivation.
17; Religions and Beliefs: Bön, Buddhism, and Chinese Traditional Religions in Tibet; Philosophical Thoughts: Dzokchen; Historiography: Old Tibetan Annals; Major Battles: Battle of Nánjùn (696); Influential Leaders: Songtsän Gampo, Song Dynasty Emperor Taizong; Languages & Writing Systems: Tibetan script; Legal Systems: Tibetan law codes; Trade Networks: Southern Silk Route, Tea Horse Road; Currencies: Tibetan silver coins, tea bricks; Agricultural Practices: Barley cultivation, yak herding.
18; Religions and Beliefs: Ancestor worship, Confucianism, and Taoism in Ancient China; Philosophical Thoughts: Mohism, Yin and Yang theories; Historiography: Records of the Grand Historian; Major Battles: Battle of Banquan (circa 2500 BCE); Influential Leaders: Emperor Qin Shi Huang, Cao Cao; Languages & Writing Systems: Oracle bone script, seal script; Legal Systems: Legalist thought, Qin Dynasty law; Trade Networks: Silk Road; Currencies: Spade and knife coins, Ban Liang coins; Agricultural Practices: Extensive agriculture, hydraulic engineering.
19; Religions and Beliefs: Animist, Norse paganism, and Christianity in Viking Age Scandinavia; Philosophical Thoughts: Skaldic poetry, sagas; Historiography: Icelandic sagas; Major Battles: Battle of Stamford Bridge (1066); Influential Leaders: Charlemagne, Canute the Great; Languages & Writing Systems: Runic alphabet; Legal Systems: Icelandic Commonwealth, Thing law; Trade Networks: Hanseatic League, Viking trade network; Currencies: Silver coins, Arabic silver dirhams; Agricultural Practices: Open-field farming, longship seafaring.</s>
20;  Religions and Beliefs: Judaism, Hellenistic religions, and Early Christianity in the Roman Empire; Philosophical Thoughts: Neoplatonism, Epicureanism; Historiography: Roman histories by Livy and Tacitus; Major Battles: Battle of Actium (31 BCE); Influential Leaders: Julius Caesar, Augustus; Languages & Writing Systems: Latin, Greek; Legal Systems: Roman law, Corpus Juris Civilis; Trade Networks: Roman roads, Incense Route; Currencies: Aureus, Denarius; Agricultural Practices: Viticulture, olive cultivation.
21;  Religions and Beliefs: Zoroastrianism, Manichaeism, and Nestorian Christianity in Sassanian Persia; Philosophical Thoughts: Middle Platonism, Peripateticism; Historiography: Sassanid historical texts; Major Battles: Battle of Ctesiphon (363); Influential Leaders: Shapur I, Khosrau I; Languages & Writing Systems: Pahlavi script, Book Pahlavi; Legal Systems: Sassanian law, Mazdaism; Trade Networks: Silk Road, Persian Royal Road; Currencies: Sassanian silver drachms, Arabic gold dinars; Agricultural Practices: Qanat system, fruit orchards.
22; Religions and Beliefs: Islam, Christianity, and local religions in the Caliphate; Philosophical Thoughts: Mu'tazila, Ash'arism; Historiography: Kitab al-Tarikh wa al-Maghazi; Major Battles: Battle of Talas (751); Influential Leaders: Umar ibn al-Khattab, Harun al-Rashid; Languages & Writing Systems: Kufic script, Arabic; Legal Systems: Sharia law, Maliki school; Trade Networks: Muslim trade networks, Radhanites; Currencies: Dirham, Dinar; Agricultural Practices: Nahal irrigation, camel caravans.
23; Religions and Beliefs: Buddhism, Shinto, and Confucianism in Heian Japan; Philosophical Thoughts: Kukai's Shingon, Saicho's Tendai; Historiography: Rikkokushi; Major Battles: Battle of Dazjo-ji (919); Influential Leaders: Sugawara no Michizane, Fujiwara no Michinaga; Languages & Writing Systems: Manyogana, Hiragana; Legal Systems: Ritsuryo legal codes, Feudal law; Trade Networks: Silk Road, Japanese trade network; Currencies: Wado Kaichin, Keicho Tsusoho; Agricultural Practices: Terraced rice fields, traditional Japanese agriculture.
24; Religions and Beliefs: Hinduism, Islam, and animism in the Delhi Sultanate; Philosophical Thoughts: Nyaya, Advaita Vedanta; Historiography: Tarikh-i-Firishta; Major Battles: Battle of Tarain (1192); Influential Leaders: Qutb-ud-din Aibak, Muhammad bin Tughluq; Languages & Writing Systems: Perso-Arabic script, Sanskrit; Legal Systems: Sharia law, Fatawa-i-Jahandari; Trade Networks: Indian Ocean trade, Eurasian steppe trade; Currencies: Tanka, Jital; Agricultural Practices: Persian wheel, tank irrigation.
25; Religions and Beliefs: Christianity, Tengrism, and Judaism in the Mongol Empire; Philosophical Thoughts: Confucianism, Buddhism; Historiography: Secret History of the Mongols; Major Battles: Battle of Mohi (1241); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Uighur script, Mongolian script; Legal Systems: Yassa code, Great Yassa; Trade Networks: Silk Road, Mongol trade networks; Currencies: Silver ingots, paper money; Agricultural Practices: Nomadic pastoralism, oasis agriculture.
26; Religions and Beliefs: Shamanism, Taoism, and Buddhism in Ming Dynasty China; Philosophical Thoughts: Wang Yangming's Neo-Confucianism, Lu Jiuyuan's Neo-Confucianism; Historiography: Ming Shilu; Major Battles: Battle of Lake Poyang (1363); Influential Leaders: Hongwu Emperor, Yongle Emperor; Languages & Writing Systems: Chinese script, Clerical script; Legal Systems: Great Ming Code, Ming legal system; Trade Networks: Maritime Silk Road, Tea horse road; Currencies: Ming coins, Copper coins; Agricultural Practices: Champa rice cultivation, agroforestry.
27; Religions and Beliefs: Roman Catholicism, Protestantism, and Indigenous beliefs in Colonial Latin America; Philosophical Thoughts: School of Salamanca, Enlightenment thinking; Historiography: Historia verdadera de la conquista de la Nueva España; Major Battles: Battle of Cajamarca (1532); Influential Leaders: Hernán Cortés, Francisco Pizarro; Languages & Writing Systems: Latin, Spanish; Legal Systems: Spanish colonial law, Encomienda system; Trade Networks: Atlantic slave trade, Manila-Acapulco galleon; Currencies: Spanish real, Pieces of eight; Agricultural Practices: Hacienda system, encomienda system.
28; Religions and Beliefs: Islam, Christianity, and Traditional African religions in the Songhai Empire; Philosophical Thoughts: Sufism, Maliki law; Historiography: Tarikh al-Sudan; Major Battles: Battle of Tondibi (1591); Influential Leaders: Askia Muhammad, Askia Daoud; Languages & Writing Systems: Arabic script, Songhay language; Legal Systems: Songhai law, Maliki law; Trade Networks: Trans-Saharan trade, Niger River trade; Currencies: Mitqal, Dinar; Agricultural Practices: Niger river irrigation, Sahelian agriculture.
29; Religions and Beliefs: Shinto, Buddhism, and Confucianism in Edo Japan; Philosophical Thoughts: Kokugaku, National learning; Historiography: Tokugawa jikki; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Tokugawa Ieyasu, Tokugawa Hidetada; Languages & Writing Systems: Hiragana, Katakana; Legal Systems: Buke shohatto, Edo legal system; Trade Networks: Tokaido, Nakasendo; Currencies: Gold leaf, Silver coin; Agricultural Practices: Satoyama agriculture, rice paddies.</s>
30;  Religions and Beliefs: Christianity, Tengrism, and Animism in Mongol Empire; Philosophical Thoughts: Confucianism, Mongol traditional philosophy; Historiography: Altan Tobchi; Major Battles: Battle of Kulikovo (1380); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Mongolian script, Uighur script; Legal Systems: Yassa law, Great Yasa; Trade Networks: Mongol road system, Silk Road; Currencies: Silver ingots, Paper money; Agricultural Practices: Pastoral nomadism, Mongolian steppe farming.
31; Religions and Beliefs: Sikhism, Hinduism, and Islam in Mughal Empire; Philosophical Thoughts: Mughal philosophy, Sufi thought; Historiography: Badshahnama; Major Battles: Battle of Plassey (1757); Influential Leaders: Akbar, Aurangzeb; Languages & Writing Systems: Persian, Urdu; Legal Systems: Fatawa-e-Alamgiri, Mughal law; Trade Networks: Indian Ocean trade, Silk Road; Currencies: Mohur, Rupee; Agricultural Practices: Indus valley irrigation, Multiple cropping.
32; Religions and Beliefs: Ancestor worship, Christianity, and Animism in Imperial China; Philosophical Thoughts: Neo-Confucianism, Taoism; Historiography: Hanshu; Major Battles: Battle of Red Cliffs (208-209); Influential Leaders: Cao Cao, Liu Bei; Languages & Writing Systems: Classical Chinese, Seal script; Legal Systems: Tang code, Qing code; Trade Networks: Silk Road, Maritime Silk Road; Currencies: Cash coin, Silver sycee; Agricultural Practices: Terrace farming, Intensive farming.
33; Religions and Beliefs: Judaism, Christianity, and Islam in Ottoman Empire; Philosophical Thoughts: Ottoman philosophy, Islamic scholasticism; Historiography: Tarih-i Osmani; Major Battles: Battle of Kosovo (1389); Influential Leaders: Mehmed II, Suleiman the Magnificent; Languages & Writing Systems: Ottoman Turkish, Arabic script; Legal Systems: Mejelle, Kanun; Trade Networks: Silk Road, Spice trade; Currencies: Akçe, Kuruş; Agricultural Practices: Timar system, Large-scale irrigation.
34; Religions and Beliefs: Animism, Christianity, and Islam in the Kingdom of Kongo; Philosophical Thoughts: Kongo philosophy, Bakongo traditions; Historiography: Kinkanga a Mvidi; Major Battles: Battle of Mbwila (1665); Influential Leaders: Afonso I, Garcia II; Languages & Writing Systems: Kikongo, Latin script; Legal Systems: Customary law, Kongo law; Trade Networks: Atlantic slave trade, Trans-Saharan trade; Currencies: Nzimbu shell, Zinc; Agricultural Practices: Slash-and-burn, Crop rotation.
35; Religions and Beliefs: Shinto, Buddhism, and Confucianism in Tokugawa Shogunate; Philosophical Thoughts: Mitogaku, Confucianism; Historiography: Montoku jitsuroku; Major Battles: Siege of Osaka (1614-1615); Influential Leaders: Tokugawa Iemitsu, Tokugawa Tsunayoshi; Languages & Writing Systems: Japanese, Chinese characters; Legal Systems: Buke shohatto, Kyōhō reforms; Trade Networks: Tokaido, Nagasaki; Currencies: Gold coin, Silver coin; Agricultural Practices: Satoyama agriculture, Multicropping.
36; Religions and Beliefs: Hinduism, Buddhism, and Jainism in Mauryan Empire; Philosophical Thoughts: Ajivika, Charvaka; Historiography: Ashokavadana; Major Battles: Battle of Kalinga (261 BCE); Influential Leaders: Chandragupta Maurya, Ashoka; Languages & Writing Systems: Prakrit, Brahmi script; Legal Systems: Arthashastra, Dhammashastra; Trade Networks: Silk Road, Spice route; Currencies: Pana, Karshapana; Agricultural Practices: Irrigation, Cultivation of rice, wheat, and barley.
37; Religions and Beliefs: Tengrism, Islam, and Christianity in Golden Horde; Philosophical Thoughts: Steppe philosophy, Sufi thought; Historiography: Jami al-Tawarikh; Major Battles: Battle of Kulikovo (1380); Influential Leaders: Batu Khan, Uzbeg Khan; Languages & Writing Systems: Old Turkic script, Arabic script; Legal Systems: Yassa, Islamic law; Trade Networks: Silk Road, Volga trade route; Currencies: Silver coin, Copper coin; Agricultural Practices: Pastoral nomadism, Cereal cultivation.
38; Religions and Beliefs: Ancestor worship, Confucianism, and Taoism in Qin Dynasty; Philosophical Thoughts: Legalist philosophy, Mohism; Historiography: Shiji; Major Battles: Battle of Changping (262-261 BCE); Influential Leaders: Qin Shi Huang, Li Si; Languages & Writing Systems: Classical Chinese, Seal script; Legal Systems: Qin legal code, Legalism; Trade Networks: Silk Road, Maritime Silk Road; Currencies: Banliang, Spade money; Agricultural Practices: Terrace farming, State-controlled agriculture.
39; Religions and Beliefs: Christianity, Islam, and Judaism in the Byzantine Empire; Philosophical Thoughts: Neoplatonism, Christian philosophy; Historiography: Theophanes the Confessor; Major Battles: Battle of Yarmouk (636); Influential Leaders: Justinian I, Heraclius; Languages & Writing Systems: Greek, Latin; Legal Systems: Corpus Juris Civilis, Basilika; Trade Networks: Silk Road, Mediterranean trade; Currencies: Solidus, Nomisma; Agricultural Practices: Three-field crop rotation, Large-scale irrigation.</s>
40;  Religions and Beliefs: Shintoism and Buddhism in Japan; Philosophical Thoughts: Bushido, Zen Buddhism; Historiography: Rikkokushi; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Tokugawa Ieyasu, Oda Nobunaga; Languages & Writing Systems: Japanese, Chinese characters; Legal Systems: Buke shohatto, Laws for the Military Houses; Trade Networks: Silk Road, Tokaido; Currencies: Gold gutter, Silver gutter; Agricultural Practices: Rice paddy cultivation, Multicropping.
41; Religions and Beliefs: Animism, Hinduism, and Jainism in Maurya Empire; Philosophical Thoughts: Ajivika, Cārvāka; Historiography: Indika; Major Battles: Battle of Alexander the Great and Porus (326 BCE); Influential Leaders: Chandragupta Maurya, Ashoka the Great; Languages & Writing Systems: Prakrit, Brahmi script; Legal Systems: Arthashastra, Dharmaśāstra; Trade Networks: Silk Road, Indian Ocean trade; Currencies: Punch-marked coin, Copper coin; Agricultural Practices: State-sponsored irrigation, Cotton cultivation.
42; Religions and Beliefs: Zoroastrianism and Manichaeism in Sassanid Empire; Philosophical Thoughts: Middle Platonism, Peripatetic; Historiography: Khuzistan Chronicle; Major Battles: Battle of al-Qadisiyyah (636); Influential Leaders: Shapur I, Khosrau II; Languages & Writing Systems: Pahlavi, Parthian; Legal Systems: Mixed legal system, Manu's law code; Trade Networks: Silk Road, Persian Royal Road; Currencies: Drachm, Siglos; Agricultural Practices: Qanat system, Extensive agriculture.
43; Religions and Beliefs: Christianity in the Holy Roman Empire; Philosophical Thoughts: Scholasticism, Humanism; Historiography: Germania; Major Battles: Battle of Tours (732); Influential Leaders: Charlemagne, Otto the Great; Languages & Writing Systems: Latin, Old High German; Legal Systems: Roman law, Germanic law; Trade Networks: Hanseatic League, North European trade; Currencies: Denarius, Pfennig; Agricultural Practices: Open-field farming, Three-field crop rotation.
44; Religions and Beliefs: Shamanism, Buddhism, and Tengriism in Mongol Empire; Philosophical Thoughts: Stoicism, Cynicism; Historiography: Secret History of the Mongols; Major Battles: Battle of Mohi (1241); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Mongolian, Uighur; Legal Systems: Yassa, Code of Kublai Khan; Trade Networks: Silk Road, Mongol trade routes; Currencies: Silver ingot, Paper money; Agricultural Practices: Pastoral nomadism, Intensive agriculture.
45; Religions and Beliefs: Protestantism, Catholicism in Dutch Republic; Philosophical Thoughts: Rationalism, Empiricism; Historiography: Annales and Descriptiones; Major Battles: Eighty Years' War (1568-1648); Influential Leaders: William the Silent, Maurice of Nassau; Languages & Writing Systems: Dutch, Latin; Legal Systems: Roman-Dutch law, Placaat; Trade Networks: Dutch East India Company, Dutch West India Company; Currencies: Daalders, Stuiver; Agricultural Practices: Market gardening, Dike reclamation.
46; Religions and Beliefs: Ancestor veneration, Buddhism, and Taoism in Ming Dynasty; Philosophical Thoughts: Neo-Confucianism, Wang Yangming; Historiography: Mingshi; Major Battles: Battle of Lake Poyang (1363); Influential Leaders: Hongwu Emperor, Yongle Emperor; Languages & Writing Systems: Classical Chinese, Chinese characters; Legal Systems: Great Ming Code, Ming legal code; Trade Networks: Maritime Silk Road, Indian Ocean trade; Currencies: Ming cash, Silver sycee; Agricultural Practices: Terrace farming, Intensive farming.
47; Religions and Beliefs: Sunni Islam, Shia Islam, Christianity in Ottoman Empire; Philosophical Thoughts: Ottoman rationalism, Sufi mysticism; Historiography: Tarih-i Üngürüs; Major Battles: Siege of Constantinople (1453); Influential Leaders: Mehmed II, Suleiman the Magnificent; Languages & Writing Systems: Ottoman Turkish, Arabic script; Legal Systems: Mejelle, Kanunname; Trade Networks: Mediterranean trade, Silk Road; Currencies: Akçe, Kuruş; Agricultural Practices: Olive cultivation, Silviculture.
48; Religions and Beliefs: Santería, Vodun, Christianity in Atlantic Slave Trade; Philosophical Thoughts: Transcendentalism, Existentialism; Historiography: General History of Africa; Major Battles: Battle of Kimba (1622); Influential Leaders: Queen Njinga, Henry the Navigator; Languages & Writing Systems: Yoruba, Fon; Legal Systems: Indigenous African laws, European laws; Trade Networks: Atlantic slave trade, Triangular trade; Currencies: Manilla, Cowries; Agricultural Practices: Slash-and-burn, Cassava cultivation.
49; Religions and Beliefs: Hinduism, Jainism, Buddhism in Gupta Empire; Philosophical Thoughts: Nyaya, Vaisheshika; Historiography: Puranas; Major Battles: Battle of Plassey (1757); Influential Leaders: Chandragupta I, Samudragupta; Languages & Writing Systems: Sanskrit, Brahmi script; Legal Systems: Dharmaśāstra, Hindu law; Trade Networks: Silk Road, Indian Ocean trade; Currencies: Silver punch-marked coin, Gold dinar; Agricultural Practices: Sustainable agriculture, Multiple cropping.</s>
50;  Religions and Beliefs: Animism, Shinto, Confucianism in Ancient Japan; Philosophical Thoughts: Taoism, Legalism; Historiography: Records of the Grand Historian; Major Battles: Battle of Red Cliffs (208-209 AD); Influential Leaders: Liu Bang, Cao Cao; Languages & Writing Systems: Classical Chinese, Kanji; Legal Systems: Chinese legalism, Japanese feudal law; Trade Networks: Silk Road, Maritime Silk Road; Currencies: Banliang, Wuzhu; Agricultural Practices: Rice paddy farming, Terrace agriculture.
51;  Religions and Beliefs: Tengrism, Zoroastrianism, Christianity in Mongol Empire; Philosophical Thoughts: Stoicism, Epicureanism; Historiography: The Secret History of the Mongols; Major Battles: Battle of Mohi (1241); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Mongolian script, Uighur script; Legal Systems: Yassa, Great Yassa; Trade Networks: Silk Road, Eurasian steppe trade; Currencies: Silver ingots, Paper money; Agricultural Practices: Nomadic pastoralism, Mixed farming.
52; Religions and Beliefs: Islam, Judaism, Christianity in Umayyad Caliphate; Philosophical Thoughts: Mu'tazila, Ash'ari; Historiography: Tarikh al-rusul wa al-muluk; Major Battles: Battle of Tours (732); Influential Leaders: Umar ibn al-Khattab, Abd al-Rahman I; Languages & Writing Systems: Arabic, Kufic script; Legal Systems: Sharia, Fiqh; Trade Networks: Muslim trade networks, Trans-Saharan trade; Currencies: Gold dinar, Silver dirham; Agricultural Practices: Olive cultivation, Irrigation.
53; Religions and Beliefs: Roman paganism, Mystery religions, Early Christianity in Roman Empire; Philosophical Thoughts: Neoplatonism, Cynicism; Historiography: Annales; Major Battles: Battle of Actium (31 BC); Influential Leaders: Julius Caesar, Augustus; Languages & Writing Systems: Latin, Greek; Legal Systems: Roman law, Lex; Trade Networks: Roman trade networks, Incense route; Currencies: Aureus, Denarius; Agricultural Practices: Viticulture, Crop rotation.
54; Religions and Beliefs: Shamanism, Ancestor worship, Buddhism in Chinese dynasties; Philosophical Thoughts: Mohism, Confucianism; Historiography: Book of Han; Major Battles: Battle of Red Cliffs (208-209 AD); Influential Leaders: Emperor Wu of Han, Cao Cao; Languages & Writing Systems: Classical Chinese, Seal script; Legal Systems: Chinese law, Legalist law; Trade Networks: Silk Road, Maritime Silk Road; Currencies: Banliang, Spade money; Agricultural Practices: Rice paddy farming, Intensive farming.
55; Religions and Beliefs: Mayan pantheon, Aztec religion, Christianity in Mesoamerica; Philosophical Thoughts: Mayan philosophy, Aztec philosophy; Historiography: Maya codices, Aztec codices; Major Battles: Battle of Centla (1521); Influential Leaders: Moctezuma II, Hernán Cortés; Languages & Writing Systems: Mayan scripts, Nahuatl; Legal Systems: Mayan law, Aztec law; Trade Networks: Mesoamerican trade networks, Columbian Exchange; Currencies: Cacao beans, Copper panes; Agricultural Practices: Slash-and-burn, Terrace agriculture.
56; Religions and Beliefs: Norse paganism, Celtic polytheism, Christianity in Viking Age; Philosophical Thoughts: Icelandic sagas, Celtic philosophy; Historiography: Anglo-Saxon Chronicle; Major Battles: Battle of Stamford Bridge (1066); Influential Leaders: Eric Bloodaxe, Harold Godwinson; Languages & Writing Systems: Old Norse, Ogham script; Legal Systems: Germanic law, Anglo-Saxon law; Trade Networks: Hanseatic League, Viking trade networks; Currencies: Silver coins, Animal hides; Agricultural Practices: Norse agriculture, Open-field farming.
57; Religions and Beliefs: Sikhism, Hinduism, Islam in Indian subcontinent; Philosophical Thoughts: Sufism, Bhakti; Historiography: Tarikh-i-Pakistan; Major Battles: Battle of Panipat (1526); Influential Leaders: Babur, Akbar; Languages & Writing Systems: Persian, Gurmukhi; Legal Systems: Anglo-Indian law, Islamic law; Trade Networks: Indian Ocean trade, Indo-Iranian trade; Currencies: Silver rupee, Gold mohur; Agricultural Practices: Wheat cultivation, Cotton cultivation.
58; Religions and Beliefs: Christianity, African traditional religions, Islam in Sub-Saharan Africa; Philosophical Thoughts: Ethiopian philosophy, African philosophy; Historiography: Kebra Nagast; Major Battles: Battle of Adwa (1896); Influential Leaders: Menelik II, Haile Selassie; Languages & Writing Systems: Amharic, Ge'ez; Legal Systems: Fetha Nagast, Sharia law; Trade Networks: Horn of Africa trade networks, Swahili coast trade; Currencies: Maria Theresa thaler, Salt; Agricultural Practices: Enset cultivation, Sorghum cultivation.
59; Religions and Beliefs: Judaism, Christianity, Islam in medieval Iberia; Philosophical Thoughts: Maimonides, Averroes; Historiography: Historia Arabum; Major Battles: Battle of Las Navas de Tolosa (1212); Influential Leaders: Ferdinand III of Castile, Alfonso X of Castile; Languages & Writing Systems: Judeo-Spanish, Arabic script; Legal Systems: Visigothic law, Al-Andalus law; Trade Networks: Mediterranean trade, Atlantic trade; Currencies: Maravedí, Gold dinar; Agricultural Practices: Irrigation, Olive cultivation.</s>
