;Artist Birthplace;Intellectual Movement;Influential Work(s);Key Concept/Theme;Major Exhibitions;Curatorial Approach;"""Conservation & Restoration"" Challenges*";Public Response*;Socio-Political Climate Impact;Artwork Title;Artist Name;Date Created;Medium
34;"""Amsterdam, Netherlands""";Conceptual Art;Broken Circle/Spiral Hill;Space, Time;Stedelijk Museum;Preservation of land art;Environmental impact;Questioning traditional art forms;1960s counterculture;Robert Smithson;1971;Earth, rocks, and concrete;
35;"""Paris, France""";Postmodernism;The Physical Impossibility of Death in the Mind of Someone Living;Appropriation, Fragmentation;Centre Pompidou;Preservation of taxidermy;Deterioration of skin;Deconstruction of reality;Late 20th-century art;Damien Hirst;1991;Tiger shark, glass, steel, formaldehyde;
36;"""Beijing, China""";Cynical Realism;Riverbank Sketch; Social critique, Everyday life;National Art Museum of China;Preservation of ink;Paper aging;Re-examination of Chinese culture;Post-Tiananmen Square;Liu Xiaodong;1993;Ink on paper;
37;"""Berlin, Germany""";Street Art;The Kiss; Political statements, Urban context;Urban Nation Museum;Preservation of spray paint;Color fading;Integration of urban art into museums;Contemporary political discourse;"Kai ""Remeier"" Imhof";2014;Spray paint on wall;
38;"""Los Angeles, USA""";Multimedia Installation;The Weather Project; Perception of reality, Interactivity;Los Angeles County Museum of Art;Preservation of various materials;Weather-related deterioration;Engagement with art;Global climate change;Olafur Eliasson;2003;Mixed media installation;
39;"""Sydney, Australia""";Contemporary Indigenous;Edge of Trees; Connection to land, Ancestral stories;Museum of Contemporary Art;Preservation of natural materials;Decay from elements;Recognition of Indigenous Australian art;Reconciliation;Judy Watson;2015;Natural pigments on canvas.</s>;
40;" ""New York, USA""";Conceptual Art;One and Three Chairs; Representation and reality;Tate Modern;Preservation of found objects;Damage from use;Conceptual art appreciation;Postmodern philosophy;Joseph Kosuth;1965;Wood, metal, paper;
41;"""Paris, France""";Cubism;Les Demoiselles d'Avignon; Deconstruction of form, African art influence;Museum of Modern Art;Protection from light;Cracking and discoloration;Cubism analysis;Early 20th-century cultural shifts;Pablo Picasso;1907;Oil on canvas;
42;"""Milan, Italy""";Renaissance;The Last Supper; Religious iconography, Linear perspective;Refectory of the Convent of Santa Maria delle Grazie;Protection from humidity;Flaking and deterioration;Religious and artistic significance;Political and religious turmoil;Leonardo da Vinci;1498;Tempera on gesso, pitch, and mastic;
43;"""Amsterdam, Netherlands""";Baroque;The Night Watch; Dramatic lighting, Group portraiture;Rijksmuseum;Preventing canvas tears;Darkening of varnish;Military history appreciation;Golden Age of Dutch power;Rembrandt van Rijn;1642;Oil on canvas;
44;"""Mexico City, Mexico""";Muralism;The History of Mexico; Political narrative, National identity;Palacio Nacional;Preventing water damage;Fading and peeling;Mexican history exploration;Revolutionary fervor;Diego Rivera;1930;Fresco;
45;"""Tokyo, Japan""";Ukiyo-e;The Great Wave off Kanagawa; Natural landscape, Asymmetrical composition;Tokyo National Museum;Preventing woodblock decay;Discoloration and fading;Appreciation of traditional Japanese art;Edo period culture;Katsushika Hokusai;1831;Woodblock print;
46;"""Vienna, Austria""";Art Nouveau;The Kiss; Love and desire, Organic forms;Belvedere Palace;Preventing surface damage;Brittleness of paint;Symbolism interpretation;Fin-de-siècle cultural changes;Gustav Klimt;1907-1908;Oil and gold leaf on canvas;
47;"""Cairo, Egypt""";Ancient Egyptian Art;Tutankhamun's Death Mask; Royal iconography, Religious symbolism;Egyptian Museum;Preventing metal oxidation;Deterioration of facial features;Egyptological significance;Ancient Egyptian culture;Unknown;1323-1322 BCE;Gold, semi-precious stones, and glass;
48;"""Athens, Greece""";Classical Greek Art;Diskobolos; Athleticism, Idealized human form;National Archaeological Museum;Preventing marble decay;Erosion and weathering;Appreciation of historical sculpture;Ancient Greek society;Myron;5th century BCE;Bronze;
49;"""Rio de Janeiro, Brazil""";Modernism;Black Woman; Racial identity, Femininity;Museum of Modern Art;Preservation of paint;Color fade;Exploration of Brazilian culture;Early 20th-century cultural changes;Ademir de Barros;1963;Acrylic on canvas.</s>;
50;" ""Florence, Italy""";Renaissance;Mona Lisa; Depth of field, Layering of glazes;Louvre Museum;Mold mitigation;Yellowing of varnish;Renaissance ideals;Italian city-states;Leonardo da Vinci;1503-1506, 1517;Oil on poplar panel.;
51;"""Barcelona, Spain""";Surrealism;Persistence of Memory; Time, Memory;Museum of Modern Art;Preventing paint discoloration;Brittleness of paint;Interpretation of dreams;Spanish Civil War;Salvador Dalí;1931;Oil on canvas.;
52;"""New York, USA""";Abstract Expressionism;No. 61 (Rust and Blue); Color fields, Non-representational forms;Museum of Modern Art;Preserving paint integrity;Color shift;Post-WWII art movement;Cold War era;Mark Rothko;1953;Oil on canvas.;
53;"""Los Angeles, USA""";Contemporary Art;Bird on Money; Consumerism, Cultural identity;Broad Museum;Preventing paper decay;Discoloration of paper;Exploration of currency;Neoliberal economies;John Bankston;2009;Ink and graphite on currency.;
54;"""Amsterdam, Netherlands""";Golden Age Art;The Night Watch; Group portraiture, Militia;Rijksmuseum;Preventing canvas decay;Yellowing of varnish;Dutch history;Colonialism, Mercantilism;Rembrandt van Rijn;1642;Oil on canvas.;
55;"""London, UK""";Romanticism;The Hay Wain; Landscape, Nostalgia;National Gallery;Mold mitigation;Fading of colors;National identity;19th century industrialization;John Constable;1821;Oil on canvas.;
56;"""Moscow, Russia""";Socialist Realism;The Iron Flood; Industrialization, Heroism;State Tretyakov Gallery;Preventing paint discoloration;Brittleness of paint;Soviet ideology;Russian Revolution;Gerásim Égorov;1928;Oil on canvas.;
57;"""Xi'an, China""";Tang Dynasty Art;Buddhist Cave Art; Religious art, Spirituality;Longmen Grottoes;Preventing stone decay;Fading colors;Chinese Buddhism;Tang dynasty;Anonymous;660-780 CE;Color pigment, stone.;
58;"""Tokyo, Japan""";Ukiyo-e;The Great Wave off Kanagawa; Nature, Landscape;Tokyo National Museum;Preventing woodblock decay;Color fade;Japanese woodblock printing;Edo period;Hokusai;1831;Woodblock print.;
59;"""Cuzco, Peru""";Andean Baroque;The Last Supper; Christian symbolism, Andean culture;Cathedral of Cuzco;Preventing mold growth;Paint deterioration;Syncretism of cultures;Colonialism, Religious conversion;Marcos Zapata;1753;Oil on canvas.</s>;
60;" ""Leonardo da Vinci"; Renaissance; The Last Supper; Humanism, Naturalism; The Louvre; Temperature, Humidity; Fading; Cultural and Artistic Renaissance; Italian Renaissance; Leonardo da Vinci;1498;" Tempera on gesso, pitch, and mastic.""";
61;"""Michelangelo Buonarroti"; High Renaissance; The Sistine Chapel Ceiling; Humanism, Naturalism; Vatican City; Light exposure, Dust; Cracking; Italian Renaissance; High Renaissance; Michelangelo;1512; Fresco.;""""
62;"""Pablo Picasso"; Cubism; Les Demoiselles d'Avignon; African Art, Analytical Cubism; Museum of Modern Art; Light exposure, Fragile paint; Brittleness; Spanish Avant-garde; Cubism; Pablo Picasso;1907;" Oil on canvas.""";
63;"""Claude Monet"; Impressionism; Water Lilies; Naturalism, Optical Perception; Musée de l'Orangerie; Algae growth, Water damage; N/A; French Impressionism; Impressionism; Claude Monet;1914-1926;" Oil on canvas.""";
64;"""Francisco Goya"; Romanticism; The Third of May 1808; War, Revolution; Prado Museum; Light exposure, Acidic canvas; Yellowing; Spanish Enlightenment; Romanticism; Francisco Goya;1814;" Oil on canvas.""";
65;"""Jackson Pollock"; Abstract Expressionism; No. 5, 1948; Action painting, Drip painting; The Metropolitan Museum of Art; Fragility, Dust accumulation; Physical damage; American Abstract Art; Abstract Expressionism; Jackson Pollock;1948;" Oil and enamel on canvas.""";
66;"""Edvard Munch"; Expressionism; The Scream; Emotion, Existential anxiety; National Museum of Art, Architecture and Design; Oxidation, Light exposure; Framing; Norwegian Symbolism; Expressionism; Edvard Munch;1893;" Pastel on cardboard.""";
67;"""Gustav Klimt"; Art Nouveau; The Kiss; Love, Eroticism; Belvedere palace; Dust, Deterioration; N/A; Austrian Art Nouveau; Art Nouveau; Gustav Klimt;1907-1908;" Oil on canvas and gold leaf.""";
68;"""Jean-Michel Basquiat"; Neo-Expressionism; Boy and Dog in a Johnnypump; Inner-city life, Social issues; The Broad; Mold, Fragile paint layers; N/A; American Neo-Expressionism; Neo-Expressionism; Jean-Michel Basquiat;1982;" Acrylic, spray paint, and oil stick on canvas.""";
69;"""Georgia O'Keeffe"; American Modernism; Black Iris III; Abstracted Floral; Crystal Bridges Museum of American Art; Fading, Fragility; N/A; American Modernism; American Modernism; Georgia O'Keeffe;1926;" Oil on canvas.""</s>";
70;" ""Claude Monet"; Impressionism; Water Lilies; Naturalism, Impressionistic style; Musee de l'Orangerie; Discoloration, Fading; Light sensitivity; French Impressionism; Impressionism; Claude Monet;1906;" Oil on canvas.""";
71;"""Vincent van Gogh"; Post-Impressionism; Starry Night; Swirling emotion, Dynamic landscapes; Museum of Modern Art (MoMA); Brittleness, Flaking; Visitor congestion; Dutch Post-Impressionism; Post-Impressionism; Vincent van Gogh;1889;" Oil on canvas.""";
72;"""Frida Kahlo"; Mexican Modernism; The Two Fridas; Identity, Postcolonialism; Museo de Arte Moderno; Chemical degradation, Fragile canvas; Overexposure to light; Mexican Modernism; Mexican Modernism; Frida Kahlo;1939;" Oil on canvas.""";
73;"""Pablo Picasso"; Cubism; Guernica; Anti-war, Fear; Reina Sofia Museum; Tearing, Yellowing; Political controversy; Spanish Cubism; Cubism; Pablo Picasso;1937;" Oil on canvas.""";
74;"""Jackson Pollock"; Abstract Expressionism; No. 5, 1948; Action painting, Abstract art; Metropolitan Museum of Art; Dust, Yellowing; Overcrowding; American Abstract Expressionism; Abstract Expressionism; Jackson Pollock;1948;" Oil on fiberboard.""";
75;"""Grant Wood"; American Regionalism; American Gothic; Regionalism, Critique of modernity; Art Institute of Chicago; Cracking, Discoloration; Interpretation controversy; American Regionalism; American Regionalism; Grant Wood;1930;" Oil on Beaverboard.""";
76;"""Edgar Degas"; Impressionism; The Dance Class; Ballet, Everyday life; Metropolitan Museum of Art; Dirt accumulation, Fragile paper supports; Light sensitivity; French Impressionism; Impressionism; Edgar Degas;1871;" Pastel on paper.""";
77;"""Mark Rothko"; Abstract Expressionism; Orange, Red, Yellow; Emotion, Color field painting; Tate Modern; Color fading, Brittleness; Interpretation controversy; American Abstract Expressionism; Abstract Expressionism; Mark Rothko;1961;" Oil on canvas.""";
78;"""Henri Matisse"; Fauvism; The Woman with a Hat; Color, Emotion; Baltimore Museum of Art; Deterioration of pigments; Restricted access; French Fauvism; Fauvism; Henri Matisse;1905;" Oil on canvas.""";
79;"""Winslow Homer"; American Realism; The Gulf Stream; Peril at sea, Man versus nature; National Gallery of Art; Water damage; Interpretation controversy; American Realism; American Realism; Winslow Homer;1899;" Oil on canvas.""</s>";
