;`Nebula Name; Nebula Category; Galactic Coordinates (longitude, latitude); Nebula Radius (light years); Gas Composition Percentage; Temperature Range (Kelvin); Stellar Association Count; Supernova Remnant Indicator; Dark Matter Distribution (Energy Density Mass %)^3; Cosmic Microwave Background Signal Level (ppm)*`
11;"""Bubble Nebula"; Planetary Nebula; (176.58°, 1.08°); 0.007; 71% Hydrogen, 28% Helium, 1% Other; 8000 - 15000; 0; No; 0.00016;" 18""  "
12;"""Cartwheel Galaxy"; Emission Nebula; (334.11°, 20.44°); 5.5; 73% Hydrogen, 26% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00020;" 8""  "
13;"""Crab Nebula"; Supernova Remnant; (83.63°, 22.01°); 0.004; 75% Hydrogen, 24% Helium, 1% Other; 15 - 30000; 1; Yes; 0.00019;" 25""  "
14;"""Eagle Nebula"; Emission/Reflection Nebula; (20.71°, -13.86°); 1.5; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 2; No; 0.00017;" 14""  "
15;"""Eta Carinae Nebula"; Emission Nebula; (103.28°, -59.93°); 2.3; 73% Hydrogen, 26% Helium, 1% Other; 20 - 80000; 0; No; 0.00021;" 30""  "
16;"""Helix Nebula"; Planetary Nebula; (312.72°, -20.81°); 0.0006; 76% Hydrogen, 23% Helium, 1% Other; 5000 - 15000; 0; No; 0.00014;" 7""  "
17;"""Iris Nebula"; Emission/Reflection Nebula; (150.84°, -2.29°); 0.003; 74% Hydrogen, 25% Helium, 1% Other; 10 - 25000; 0; No; 0.00016;" 28""  "
18;"""Lagoon Nebula"; Emission Nebula; (265.16°, -36.40°); 1.3; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 1; No; 0.00017;" 20""  "
19;"""Messier 17"; Emission/Reflection Nebula; 16.01°, -32.01°; 0.8; 71% Hydrogen, 28% Helium, 1% Other; 10 - 20000; 2; No; 0.00016;" 19"".</s>"
20;" ""Trifid Nebula"; Emission/Reflection Nebula; (359.47°, -2.93°); 0.6; 70% Hydrogen, 29% Helium, 1% Other; 10 - 25000; 1; No; 0.00015;" 31""  "
21;"""Omega Nebula"; Emission/Reflection Nebula; 6.83°, -14.35°; 1.3; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00018;" 25""  "
22;"""Carina Nebula"; Emission Nebula; (100.24°, -2.22°); 3.4; 73% Hydrogen, 26% Helium, 1% Other; 10 - 40000; 3; Yes; 0.00021;" 39""  "
23;"""Eagle Nebula"; Emission/Reflection Nebula; 18.89°, -13.46°; 0.4; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20000; 0; No; 0.00012;" 45""  "
24;"""Orion Nebula"; Emission/Reflection Nebula; 83.66°, -5.34°; 0.2; 75% Hydrogen, 24% Helium, 1% Other; 10 - 25000; 0; Yes; 0.00014;" 50""  "
25;"""Antares Nebula"; Emission Nebula; (37.96°, -20.71°); 0.5; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 1; No; 0.00013;" 55""  "
26;"""Boyle's Nebula"; Dark Nebula; (73.69°, 0.22°); 0.1; N/A; N/A; 0; No; 0.00023;" 15""  "
27;"""Calabash Nebula"; Emission/Reflection Nebula; 304.73°, 0.13°; 1.8; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 2; No; 0.00019;" 23""  "
28;"""Cat's Paw Nebula"; Emission Nebula; 282.95°, 0.45°; 2.5; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00020;" 36""  "
29;"""Crescent Nebula"; Emission Nebula; 35.60°, 31.97°; 1.2; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00017;" 27"".</s>"
30;" ""Flame Nebula"; Emission Nebula; 20.86°, -14.89°; 1.3; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00018;" 29""  "
31;"""Helix Nebula"; Planetary Nebula; 293.43°, -20.67°; 0.5; 95% Hydrogen, 5% Helium; 1000 - 10000; 0; No; 0.00015;" 45""  "
32;"""Orion Nebula"; Emission/Reflection Nebula; 209.92°, -0.52°; 3; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 4; Yes; 0.00021;" 51""  "
33;"""Red Square Nebula"; Emission Nebula; 43.16°, 58.58°; 0.8; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00016;" 32""  "
34;"""Rosette Nebula"; Emission Nebula; 206.23°, 2.88°; 2.3; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 3; Yes; 0.00020;" 48""  "
35;"""Swan Nebula"; Emission Nebula; 6.45°, -3.25°; 3.5; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00022;" 59""  "
36;"""Trifid Nebula"; Emission/Reflection Nebula; 6.31°, -9.89°; 1.8; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00019;" 30""  "
37;"""Veil Nebula"; Supernova Remnant; 52.42°, 13.12°; 5; 71% Hydrogen, 28% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00025;" 81""  "
38;"""Wizard Nebula"; Emission Nebula; 331.95°, 1.28°; 2.1; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00020;" 49""  "
39;"""Bubble Nebula"; Emission/Reflection Nebula; 330.97°, 5.66°; 1.3; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00018;" 39""  </s>"
40;" ""Carina Nebula"; Emission/Reflection Nebula; 10.58°, -59.99°; 100; 72% Hydrogen, 27% Helium, 1% Other; 10 - 8000; 3; Yes; 0.00032;" 61"" "
41;"""Cat's Eye Nebula"; Planetary Nebula; 68.46°, -5.12°; 0.1; 76% Hydrogen, 23% Helium, 1% Other; 10 - 20000; 0; No; 0.00001;" 15"" "
42;"""Orion Nebula"; Emission/Reflection Nebula; 209.91°, -5.41°; 3; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 5; Yes; 0.00012;" 29"" "
43;"""Tarantula Nebula"; Emission/Supernova Remnant/Reflection Nebula; 280.43°, -18.90°; 300; 71% Hydrogen, 28% Helium, 1% Other; 10 - 20000; 4; Yes; 0.00050;" 87"" "
44;"""Eagle Nebula"; Emission/Reflection Nebula; 20.78°, -13.93°; 2.5; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00015;" 33"" "
45;"""Helix Nebula"; Planetary Nebula; 299.65°, -20.80°; 0.3; 76% Hydrogen, 23% Helium, 1% Other; 10 - 20000; 0; No; 0.00002;" 7"" "
46;"""Swan Nebula"; Emission/Reflection Nebula; 10.01°, -14.08°; 7; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00011;" 23"" "
47;"""Trifid Nebula"; Emission/Reflection/Dark Nebula; 6.32°, -23.15°; 1.3; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00014;" 27"" "
48;"""Butterfly Nebula"; Planetary Nebula; 88.62°, -43.17°; 0.2; 78% Hydrogen, 22% Helium, 0% Other; 10 - 20000; 0; No; 0.00001;" 4"" "
49;"""Crab Nebula"; Supernova Remnant; 83.63°, 22.04°; 3; 70% Hydrogen, 29% Helium, 1% Other; 10 - 20000; 1; Yes; 0.00029;" 93"".</s>"
50;" ""Orion Nebula"; Emission/Reflection Nebula; 89.14°, 0.52°; 5; 68% Hydrogen, 30% Helium, 2% Other; 10 - 20000; 3; Yes; 0.00018;" 56"" "
51;"""Tarantula Nebula"; Emission Nebula; 27.78°, -18.14°; 200; 72% Hydrogen, 26% Helium, 2% Other; 10 - 20000; 5; Yes; 0.00041;" 127"" "
52;"""Eagle Nebula"; Emission/Reflection Nebula; 20.85°, -13.88°; 2.5; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00025;" 84"" "
53;"""Ring Nebula"; Planetary Nebula; 53.12°, -4.06°; 0.3; 77% Hydrogen, 23% Helium, 0% Other; 10 - 20000; 0; No; 0.00003;" 6"" "
54;"""Helix Nebula"; Planetary Nebula; 293.45°, -21.87°; 0.5; 76% Hydrogen, 24% Helium, 0% Other; 10 - 20000; 0; No; 0.00004;" 10"" "
55;"""Cat's Eye Nebula"; Planetary Nebula; 176.78°, 29.86°; 0.2; 75% Hydrogen, 25% Helium, 0% Other; 10 - 20000; 0; No; 0.00002;" 3"" "
56;"""Bubble Nebula"; Emission/Supernova Remnant; 97.52°, 2.23°; 3.5; 70% Hydrogen, 28% Helium, 2% Other; 10 - 20000; 1; Yes; 0.00022;" 62"" "
57;"""Gum Nebula"; Emission/Supernova Remnant; 263.98°, -1.45°; 150; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 2; Yes; 0.00087;" 256"" "
58;"""Red Spider Nebula"; Planetary Nebula; 6.27°, 0.98°; 0.4; 73% Hydrogen, 26% Helium, 1% Other; 10 - 20000; 0; No; 0.00003;" 5"" "
59;"""Saturn Nebula"; Planetary Nebula; 315.64°, -38.47°; 0.3; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 0; No; 0.00003;" 4"".</s>"
60;" ""Eagle Nebula"; Emission/Reflection; 26.25°, -1.94°; 2.2; 73% Hydrogen, 26% Helium, 1% Other; 10 - 50000; 1; No; 0.00034;" 12"" "
61;"""Orion Nebula"; Emission/Reflection; 81.25°, -1.54°; 7.5; 72% Hydrogen, 27% Helium, 1% Other; 10 - 20000; 3; No; 0.00115;" 33"" "
62;"""Trifid Nebula"; Emission/Reflection; 6.29°, -6.32°; 1.3; 71% Hydrogen, 28% Helium, 1% Other; 10 - 20000; 1; No; 0.00045;" 21"" "
63;"""Carina Nebula"; Emission/Reflection; 10.51°, -1.24°; 100; 71% Hydrogen, 28% Helium, 1% Other; 10 - 50000; 3; Yes; 0.00201;" 65"" "
64;"""Helix Nebula"; Planetary Nebula; 349.63°, -5.64°; 0.5; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 0; No; 0.00005;" 7"" "
65;"""Bubble Nebula"; Emission/Supernova Remnant; 97.68°, 2.75°; 4.5; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00081;" 18"" "
66;"""Cat's Eye Nebula"; Planetary Nebula; 174.58°, -61.04°; 0.2; 76% Hydrogen, 23% Helium, 1% Other; 10 - 20000; 0; No; 0.00002;" 3"" "
67;"""Lagoon Nebula"; Emission/Reflection; 21.49°, -23.34°; 2.8; 73% Hydrogen, 26% Helium, 1% Other; 10 - 50000; 1; No; 0.00073;" 26"" "
68;"""Swan Nebula"; Emission/Reflection; 4.56°, -14.45°; 3.5; 73% Hydrogen, 26% Helium, 1% Other; 10 - 50000; 1; No; 0.00062;" 24"" "
69;"""Butterfly Nebula"; Planetary Nebula; 326.02°, -19.23°; 0.5; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20000; 0; No; 0.00008;" 9"" </s>"
70;" ""Orion Nebula"; Emission/Reflection; 83.87°, -0.56°; 6; 74% Hydrogen, 25% Helium, 1% Other; 10 - 50000; 3; No; 0.00089; 52 
71;Trifid Nebula; Emission/Reflection; 6.32°, -8.78°; 1.2; 72% Hydrogen, 27% Helium, 1% Other; 10 - 50000; 2; No; 0.00048; 33 
72;Carina Nebula; Emission/Reflection; 10.77°, -0.99°; 12; 73% Hydrogen, 26% Helium, 1% Other; 10 - 50000; 4; Yes; 0.00105; 61 
73;Crab Nebula; Supernova Remnant; 83.63°, 22.01°; 3; 66% Hydrogen, 33% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00082; 46 
74;Veil Nebula; Supernova Remnant; 63.21°, 8.64°; 4; 70% Hydrogen, 29% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00065; 38 
75;Horsehead Nebula; Dark Nebula; 268.40°, -2.28°; 1; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20; 0; Yes; 0.00007; 8 
76;Cat's Eye Nebula; Planetary Nebula; 141.99°, -59.60°; 0.3; 80% Hydrogen, 19% Helium, 1% Other; 10 - 20000; 0; No; 0.00004; 6 
77;Ring Nebula; Planetary Nebula; 55.21°, 16.86°; 0.2; 85% Hydrogen, 14% Helium, 1% Other; 10 - 20000; 0; No; 0.00002; 5 
78;Eagle Nebula; Emission/Reflection; 22.02°, -18.48°; 2.2; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 2; No; 0.00056; 36 
79;Tarantula Nebula; Emission/Reflection; 305.12°, -27.84°; 24; 74% Hydrogen, 25% Helium, 1% Other; 10 - 50000; 5; Yes; 0.00224;" 92 ""</s>"
80; Orion Nebula; Emission Nebula; 209.74°, -05.45°; 5; 90% Hydrogen, 9% Helium, 1% Other; 10 - 5000; 2; No; 0.00112; 67 
81;Andromeda Nebula; Diffuse Nebula; 14.67°, 40.42°; 100; 95% Hydrogen, 5% Helium; 10 - 2000; 0; No; 0.00005; 12 
82;Cat's Eye Nebula; Planetary Nebula; 168.89°, 26.90°; 0.1; 90% Hydrogen, 10% Helium; 10 - 20000; 0; Yes; 0.00007; 28 
83;Helix Nebula; Planetary Nebula; 349.65°, -20.82°; 0.5; 75% Hydrogen, 25% Helium; 10 - 20000; 0; Yes; 0.00003; 45 
84;Bubble Nebula; Emission/Reflection; 173.25°, 59.11°; 2; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; No; 0.00045; 33 
85;Crab Nebula; Supernova Remnant; 184.57°, 22.01°; 3; 70% Hydrogen, 29% Helium, 1% Other; 10 - 50000; Yes; No; 0.00028; 55 
86;Pelican Nebula; Emission Nebula; 3.02°, -16.88°; 2.5; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; No; 0.00062; 49 
87;Trifid Nebula; Emission/Reflection; 6.31°, -23.04°; 1.2; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; No; 0.00084; 58 
88;Whirlpool Galaxy; Diffuse Nebula; 168.99°, 15.79°; 110; 95% Hydrogen, 5% Helium; 10 - 2000; 0; No; 0.00011; 21 
89;Butterfly Nebula; Planetary Nebula; 318.54°, -15.63°; 0.3; 85% Hydrogen, 15% Helium; 10 - 20000; 0; Yes; 0.00006; 31 </s>
90; Orion Nebula; Emission Nebula; 83.85°, -5.46°; 2.5; 70% Hydrogen, 28% Helium, 2% Other; 10 - 5000; 1; No; 0.00103; 42 
91;Andromeda Galaxy; Diffuse Nebula; 12.94°, 41.27°; 150; 90% Hydrogen, 10% Helium; 10 - 3000; 1; No; 0.00211; 15 
92;Crab Nebula; Supernova Remnant; 83.63°, 22.01°; 3; 75% Hydrogen, 25% Helium; 10 - 20000; 1; Yes; 0.00345; 29 
93;Eagle Nebula; Emission/Reflection; 20.71°, -13.35°; 2.8; 78% Hydrogen, 21% Helium, 1% Other; 10 - 40000; 2; No; 0.00241; 36 
94;Cat's Eye Nebula; Planetary Nebula; 175.36°, -5.94°; 0.8; 80% Hydrogen, 19% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00027; 45 
95;Crescent Nebula; Emission/Reflection; 35.60°, 22.21°; 1.3; 72% Hydrogen, 27% Helium, 1% Other; 10 - 50000; 1; No; 0.00098; 33 
96;Ring Nebula; Planetary Nebula; 53.12°, -5.78°; 0.35; 82% Hydrogen, 17% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00015; 39 
97;Tarantula Nebula; Emission/Supernova Remnant; 273.45°, -18.27°; 300; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 5; Yes; 0.00456; 27 
98;Helix Nebula; Planetary Nebula; 345.87°, -20.36°; 0.5; 77% Hydrogen, 22% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00008; 37 
99;Eta Carinae Nebula; Emission/Reflection/Supernova Remnant; 90.23°, -5.81°; 10; 73% Hydrogen, 26% Helium, 1% Other; 10 - 80000; 1; Yes; 0.00654; 32 </s>
100; Orion Nebula; Emission/Reflection Nebula; 81.59°, -1.14°; 24; 76% Hydrogen, 23% Helium, 1% Other; 10 - 20000; 3; No; 0.00345; 43 
101;Trifid Nebula; Emission/Reflection/Dark Nebula; 6.37°, -2.69°; 9; 72% Hydrogen, 27% Helium, 1% Other; 10 - 15000; 0; Yes; 0.00213; 51 
102;Carina Nebula; Emission/Reflection/Supernova Remnant; 90.23°, -5.81°; 150; 74% Hydrogen, 25% Helium, 1% Other; 10 - 80000; 2; Yes; 0.00689; 30 
103;Crab Nebula; Supernova Remnant; 184.56°, 22.01°; 6; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00125; 67 
104;Veil Nebula; Supernova Remnant; 196.59°, 3.84°; 30; 76% Hydrogen, 23% Helium, 1% Other; 10 - 50000; 2; Yes; 0.00547; 48 
105;Horsehead Nebula; Dark Nebula; 6.11°, -2.28°; 5; 75% Hydrogen, 24% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00784; 20 
106;Pelican Nebula; Emission/Dark Nebula; 6.43°, -1.32°; 25; 74% Hydrogen, 25% Helium, 1% Other; 10 - 20000; 0; Yes; 0.00296; 58 
107;Cat's Eye Nebula; Planetary Nebula; 222.54°, 58.23°; 1; 77% Hydrogen, 22% Helium, 1% Other; 10 - 20000; 0; No; 0.00045; 71 
108;Bubble Nebula; Emission/Supernova Remnant; 195.26°, 3.27°; 12; 75% Hydrogen, 24% Helium, 1% Other; 10 - 50000; 1; Yes; 0.00398; 62 
109;Butterfly Nebula; Planetary Nebula; 346.59°, -0.12°; 0.3; 78% Hydrogen, 21% Helium, 1% Other; 10 - 20000; 0; No; 0.00089; 83 </s>
