;"""City Names""";"""Countries containing the city""";"""Metropolitan Area Populations""";"""Government Type""";"""Green Spaces (%)""";"""UNESCO Site""";"""# Of Universities within City Limits""";"""Famous Landmarks""";"""Cable Car Systems""";"""Public Transportation""";"""Electric Vehicle Charging Stations Count & Coverage""";"""Bike Sharing Program Exists""";"""Airport Code""";"""Main Airport to Main Attractions Public Transit Connectivity"""
16;"""Dhaka""";"""Bangladesh""";"""21,005,000""";"""Division""";"""5.1""";"""Yes (Ahsan Manzil and Lalbagh Fort)""";"""28""";"""Sadarghat, Dhakeshwari Temple, Liberation War Museum""";"""No""";"""Yes (Dakta, eCharge, and GreenEV)""";"""Yes (Bangladesh Police and Obhai)""";"""DAC""";"""Direct bus and rickshaw to some major attractions"" ";
17;"""Osaka""";"""Japan""";"""19,281,000""";"""Metropolis""";"""10""";"""Yes (Osaka Castle and Dotonbori)""";"""34""";"""Universal Studios Japan, Umeda Sky Building, Shinsekai""";"""No""";"""Yes (Kansai Electric, Chargemap, and Toda)""";"""Yes (OVOP)""";"""KIX""";"""Direct trains to most major attractions"" ";
18;"""New York""";"""USA""";"""20,275,000""";"""City""";"""14.3""";"""Yes (Statue of Liberty and Central Park)""";"""117""";"""Times Square, Empire State, One World Trade""";"""Yes ( Roosevelt Island Tramway )""";"""Yes (Tesla, ChargePoint, and EVgo)""";"""Yes (Citi Bike)""";"""JFK, LGA""";"""Direct trains, bus, and subway to all major attractions"" ";
19;"""Lagos""";"""Nigeria""";"""20,000,000""";"""City""";"""0.3""";"""Yes (National Museum and Freedom Park)""";"""5""";"""Third Mainland Bridge, Lekki Conservation Centre""";"""No""";"""Yes (Mercy Corps, ACE On Wheels, and ART)""";"""Yes (GO MyCity and MAX)""";"""LOS""";"""Direct bus to some major attractions"" .</s>";
20;" ""Beijing""";"""China""";"""21,516,000""";"""Municipality""";"""36.5""";"""Yes (Forbidden City and Temple of Heaven)""";"""96""";"""Great Wall, Tiananmen Square, Summer Palace""";"""No""";"""Yes (State Grid, Star Charge, and Potevio)""";"""Yes (Bluegogo)""";"""PEK""";"""Direct trains, subway and bus to all major attractions"" ";
21;"""Cairo""";"""Egypt""";"""20,439,000""";"""City""";"""0.9""";"""Yes (Egyptian Museum and Pyramids of Giza)""";"""25""";"""Sphinx, Khan el-Khalili, Nile River"" ";"""No""";"""Yes (ElMobility, ChargeMe, and DCar)""";"""Yes (Cycling Egypt)""";"""CAI""";"""Direct bus and metro to some major attractions"" ";
22;"""Mumbai""";"""India""";"""20,712,000""";"""City""";"""4""";"""Yes (Gateway of India and Elephanta Caves)""";"""50""";"""Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"" ";"""No""";"""Yes (Magenta ChargeGrid, Fortum, and Tata Power)""";"""Yes (Yulu)""";"""BOM""";"""Direct trains, monorail and bus to all major attractions"" ";
23;"""São Paulo""";"""Brazil""";"""21,767,000""";"""City""";"""13.5""";"""Yes (Ibirapuera Park and Museum of Art)""";"""54""";"""Paulista Avenue, Mercado Municipal, Liberdade,"" ";"""No""";"""Yes (Eletra, CEMIG and CPFL)""";"""Yes (Bike Sampa)""";"""GRU""";"""Direct trains, bus and subway to all major attractions"" ";
24;"""Mexico City""";"""Mexico""";"""21,782,000""";"""Federal District""";"""16.5""";"""Yes (Zócalo and Chapultepec Park)"" ";"""67""";"""Palace of Bellas Artes, National Museum of Anthropology"" ";"""No""";"""Yes (Sygma and Circutor)""";"""Yes (Ecobici)""";"""MEX""";"""Direct trains, subway and bus to all major attractions"" ";
25;"""Tehran""";"""Iran""";"""15,982,000""";"""City""";"""8.5""";"""Yes (Golestan Palace and Milad Tower)"" ";"""56""";"""Azadi Tower, Tochal, National Jewelry Museum"" ";"""No""";"""Yes (Plugnat, Delta Energy and Iranian Salva)"" ";"""Yes (Baharloo and Pishgaman)"" ";"""IKA""";"""Direct trains, bus and metro to all major attractions"" ";
26;"""Seoul""";"""South Korea""";"""25,666,000""";"""Metropolitan City""";"""35.6""";"""Yes (Changdeokgung Palace and Namsan Park)"" ";"""66""";"""Gyeongbokgung Palace, N Seoul Tower, Lotte World"" ";"""Yes (Seoul Streetcar)""";"""Yes (KT, LG and SK)""";"""Yes (Seoul Bike)"" ";"""ICN""";"""Direct trains, subway and bus to all major attractions"" ";
27;"""Shanghai""";"""China""";"""26,317,000""";"""Municipality""";"""38.6""";"""Yes (Yu Garden and The Bund)"" ";"""72""";"""Shanghai Tower, Oriental Pearl TV Tower,"" ";"""No""";"""Yes (State Grid, Star Charge, and Potevio)""";"""Yes (Hello Bike)"" ";"""PVG""";"""Direct trains and bus to all major attractions"" ";
28;"""Istanbul""";"""Turkey""";"""15,519,000""";"""City""";"""9.2""";"""Yes (Hagia Sophia and Topkapı Palace)"" ";"""59""";"""Blue Mosque, Basilica Cistern, Grand Bazaar"" ";"""No""";"""Yes (HEP, GÜMÜŞDOGU and AKU)"" ";"""IST""";"""Direct trains, metro, tram, bus and ferry to all major attractions"" ";;
29;"""Rio de Janeiro""";"""Brazil""";"""13,242,000""";"""City""";"""14.3""";"""Yes (Corcovado and Botanical Garden)"" ";"""56""";"""Christ the Redeemer, Copacabana Beach,"" ";"""No""";"""Yes (Eletra, CEMIG and CPFL)"" ";"""GIG""";"""Direct trains, bus and subway to all major attractions"" .</s>";;
30;" ""Sydney""";"""Australia""";"""5,312,000""";"""City""";"""22.3""";"""Yes (Sydney Opera House and Bondi Beach)""";"""8""";"""Sydney Harbour Bridge, Taronga Zoo""";"""No""";"""Yes (Chargefox, Evie Networks and Tritium)""";"""Yes (Reddy Bike)""";"""SYD""";"""Direct trains, buses and ferries to all major attractions""";
31;"""Mumbai""";"""India""";"""20,712,000""";"""Metropolitan""";"""13.8""";"""Yes (Elephanta Caves and Gateway of India)""";"""62""";"""Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Bollywood Tours""";"""No""";"""Yes (Tata Power and Mahindra)""";"""Yes (Yulu)""";"""BOM""";"""Direct trains, buses and taxis to all major attractions""";
32;"""Paris""";"""France""";"""10,858,000""";"""Metropolitan""";"""10""";"""Yes (Eiffel Tower and Louvre Museum)""";"""20""";"""Notre-Dame, Arc de Triomphe""";"""Yes (Compagnie du Mont-Blanc)""";"""Yes (Bélib, Velib and Autolib)""";"""CDG/ORY""";"""Direct RER B and RER C train to all major attractions""";;
33;"""London""";"""United Kingdom""";"""8,908,000""";"""City""";"""38.3""";"""Yes (Tower of London and Buckingham Palace)""";"""37""";"""London Eye, Hyde Park""";"""Yes (Emirates Air Line)""";"""Yes (Santander Cycles and Ubitricity)""";"""LHR/LGW""";"""Direct Tube on the Piccadilly line to all major attractions""";;
34;"""New York""";"""United States""";"""20,163,000""";"""Metropolitan""";"""19.1""";"""Yes (Statue of Liberty and Central Park)""";"""177""";"""Times Square, Empire State Building""";"""Yes (Roosevelt Island Tramway)""";"""Yes (Citi Bike and Siemens)""";"""JFK/LGA""";"""Direct subway on the MTA system to all major attractions""";;
35;"""Tokyo""";"""Japan""";"""37,400,000""";"""Metropolitan""";"""30.7""";"""Yes (Meiji Shrine and Mount Fuji)""";"""70""";"""Tsukiji Fish Market, Asakusa Temple""";"""Yes (Tokyo Metro)""";"""Yes (Eco-Mo, Nissan and Mitsubishi)""";"""NRT""";"""Direct train on the Keisei line to all major attractions""";;
36;"""Moscow""";"""Russia""";"""17,217,000""";"""City""";"""44.4""";"""Yes (Red Square and Kremlin)""";"""60""";"""Bolshoi Theatre, Gorky Park""";"""No""";"""Yes (Moscow Government)""";"""SVO/DME/VKO""";"""Direct trains on the Aeroexpress to all major attractions""";;
37;"""Seoul""";"""South Korea""";"""25,677,000""";"""Metropolitan""";"""43.8""";"""Yes (Gyeongbokgung Palace and N Seoul Tower)""";"""97""";"""Insadong, Bukchon Hanok Village""";"""Yes (Seoul Metro)""";"""Yes (Seoul Government)""";"""ICN""";"""Direct arex train to all major attractions""";;
38;"""Mexico City""";"""Mexico""";"""21,804,000""";"""Metropolitan""";"""16.8""";"""Yes (Zocalo and Chapultepec)""";"""16""";"""Templo Mayor, Palacio de Bellas Artes""";"""No""";"""Yes (CFE, LFC and IUSA)""";"""MEX""";"""Direct metro and bus to all major attractions""";;
39;"""São Paulo""";"""Brazil""";"""21,846,000""";"""Metropolitan""";"""8.3""";"""Yes (Copan Building and Ibirapuera Park)""";"""27""";"""Paulista Avenue, Liberdade Neighborhood""";"""No""";"""Yes (CPFL, Enel and EDP Brasil)""";"""GRU""";"""Direct bus, metro and train to all major attractions"".</s>";;
40;" ""Shanghai";China;27,058,000;Metropolitan;36.05;Yes (The Bund and Yu Garden);55;Oriental Pearl Tower, People's Square;No;Yes (Shanghai Government);PVG;Direct maglev and metro to all major attractions;Yes;"SHA, PVG Direct metro to all major attractions"""
41;"""Beijing";China;21,516,000;Metropolitan;36.1;Yes (Forbidden City and Great Wall of China);68;Summer Palace, Temple of Heaven;No;Yes (Beijing Government);PEK;Direct airport express to all major attractions;Yes;"PEK Direct airport express to all major attractions"""
42;"""Mumbai";India;20,712,000;Metropolitan;11.0;Yes (Chhatrapati Shivaji Maharaj Vastu Sangrahalaya and Elephanta Caves);46;Gateway of India, Taj Mahal Palace Hotel;No;Yes (Brihanmumbai Electric Supply and Transport Undertaking);BOM;Direct local trains to all major attractions;Yes;"BOM Direct local trains to all major attractions"""
43;"""Osaka";Japan;19,281,000;Metropolitan;11.0;Yes (Osaka Castle and Universal Studios Japan);36;Dotonbori, Shinsekai;No;Yes (Osaka Government);KIX;Direct train and bus to all major attractions;Yes;"KIX Direct train and bus to all major attractions"""
44;"""Cairo";Egypt;20,500,000;Metropolitan;3.5;Yes (Pyramids of Giza and Egyptian Museum);35;Khan el-Khalili, Saladin Citadel;No;Yes (Egyptian Government);CAI;Direct metro to all major attractions;Yes;"CAI Direct metro to all major attractions"""
45;"""Dhaka";Bangladesh;21,006,000;Metropolitan;7.5;Yes (Ahsan Manzil and Lalbagh Fort);42;Sadarghat, Dhakeshwari Temple;No;Yes (Dhaka Power Distribution Company);DAC;Direct bus and rickshaw to all major attractions;Yes;"DAC Direct bus and rickshaw to all major attractions"""
46;"""Istanbul";Turkey;15,519,000;Metropolitan;10.1;Yes (Hagia Sophia and Blue Mosque);34;Topkapi Palace, Galata Tower;No;Yes (Istanbul Government);IST;Direct metro and tram to all major attractions;Yes;"IST Direct metro and tram to all major attractions"""
47;"""Moscow";Russia;20,116,000;Metropolitan;44.3;Yes (Red Square and Kremlin);65;Bolshoi Theatre, Saint Basil's Cathedral;No;Yes (Moscow Government);SVO;Direct train, bus and Aeroexpress to all major attractions;Yes;"SVO Direct train, bus and Aeroexpress to all major attractions"""
48;"""Paris";France;12,149,000;Metropolitan;9.5;Yes (Eiffel Tower and Louvre Museum);36;Notre-Dame, Montmartre;No;Yes (Paris Government);CDG;Direct RER, bus and taxi to all major attractions;Yes;"CDG Direct RER, bus and taxi to all major attractions"""
49;"""Tokyo";Japan;37,400,000;Metropolitan;10.0;Yes (Tokyo Skytree and Meiji Shrine);105;Shibuya, Shinjuku;No;Yes (Tokyo Government);NRT;Direct train, bus and taxi to all major attractions;Yes;"NRT Direct train, bus and taxi to all major attractions""</s>"
50;" ""Istanbul";Turkey;15,519,000;Metropolitan;34.2;Yes (Hagia Sophia and Blue Mosque);51;Topkapi Palace, Galata Tower;No;Yes (Istanbul Metropolitan Municipality);IST;Direct metro, tram and bus to all major attractions;Yes;"IST Direct metro, tram and bus to all major attractions"""
51;"""São Paulo";Brazil;21,846,000;Metropolitan;12.0;Yes (Ibirapuera Park and São Paulo Cathedral);54;Museu de Arte de São Paulo, Municipal Theatre;No;Yes (São Paulo Government);GRU;Direct subway, bus and shuttle to all major attractions;Yes;"GRU Direct subway, bus and shuttle to all major attractions"""
52;"""Seoul";South Korea;25,630,000;Metropolitan;41.1;Yes (Gyeongbokgung Palace and N Seoul Tower);52;Bukchon Hanok Village, Myeongdong;No;Yes (Seoul Metropolitan Government);ICN;Direct train, bus and taxi to all major attractions;Yes;"ICN Direct train, bus and taxi to all major attractions"""
53;"""Mumbai";India;20,711,000;Metropolitan;3.6;Yes (Gateway of India and Chatrapati Shivaji);65;Elephanta Caves, Juhu Beach;No;Yes (Mumbai Government);BOM;Direct local trains, bus and taxi to all major attractions;Yes;"BOM Direct local trains, bus and taxi to all major attractions"""
54;"""Shanghai";China;27,053,000;Metropolitan;33.2;Yes (The Bund and Yuyuan Garden);68;Oriental Pearl Tower, Shanghai Tower;No;Yes (Shanghai Government);PVG;Direct metro, maglev and taxi to all major attractions;Yes;"PVG Direct metro, maglev and taxi to all major attractions"""
55;"""Lagos";Nigeria;21,303,000;Metropolitan;3.0;Yes (Tafawa Balewa Square and Freedom Park);7;National Museum, Lekki Conservation Centre;No;Yes (Lagos State Government);LOS;Direct bus, ferry and taxi to all major attractions;Yes;"LOS Direct bus, ferry and taxi to all major attractions"""
56;"""Beijing";China;21,516,000;Metropolitan;43.9;Yes (Forbidden City and Temple of Heaven);49;Great Wall, Summer Palace;No;Yes (Beijing Government);PEK;Direct metro, airport express and taxi to all major attractions;Yes;"PEK Direct metro, airport express and taxi to all major attractions"""
57;"""Cairo";Egypt;20,500,000;Metropolitan;16.8;Yes (Pyramids of Giza and Egyptian Museum);25;Salah El Din Citadel, Khan el-Khalili;No;Yes (Cairo Government);CAI;Direct metro, bus and taxi to all major attractions;Yes;"CAI Direct metro, bus and taxi to all major attractions"""
58;"""Dhaka";Bangladesh;21,005,000;Metropolitan;9.2;Yes (Lalbag Fort and Ahsan Manzil);23;National Parliament House, Liberation War Museum;No;Yes (Dhaka Government);DAC;Direct train, bus and rickshaw to all major attractions;Yes;"DAC Direct train, bus and rickshaw to all major attractions"""
59;"""Osaka";Japan;19,281,000;Metropolitan;9.3;Yes (Osaka Castle and Universal Studios Japan);43;Dotonbori, Shinsaibashi;No;Yes (Osaka Government);KIX;Direct train, bus and taxi to all major attractions;Yes;"KIX Direct train, bus and taxi to all major attractions""</s>"
60;" ""Lahore";Pakistan;11,126,00</s>;;;;;;;;;;;
61;" ""Beijing";China;21,516,000;Metropolitan;36.1;Yes (Forbidden City and Great Wall of China);113;Tiananmen Square, Summer Palace;No;Yes (Beijing Government);PEK;Direct train, subway and bus to all major attractions;Yes;"PEK Direct train, subway and bus to all major attractions"""
62;"""Mumbai";India;20,712,000;Metropolitan;5.2;Yes (Gateway of India and Chhatrapati Shivaji Maharaj Vastu Sangrahalaya);60;Marine Drive, Elephanta Caves;No;Yes (Mumbai Government);BOM;Direct train, subway and taxi to all major attractions;Yes;"BOM Direct train, subway and taxi to all major attractions"""
63;"""Seoul";South Korea;25,665,000;Metropolitan;34.5;Yes (Gyeongbokgung Palace and N Seoul Tower);43;Myeong-dong, Insadong;No;Yes (Seoul Government);ICN;Direct train, subway and bus to all major attractions;Yes;"ICN Direct train, subway and bus to all major attractions"""
64;"""New York";USA;23,877,000;Metropolitan;20.2;Yes (Statue of Liberty and Central Park);153;Times Square, Empire State Building;Yes;Yes (New York Government);JFK/LGA/EWR;Direct subway, bus and taxi to all major attractions;Yes;"JFK/LGA/EWR Direct subway, bus and taxi to all major attractions"""
65;"""São Paulo";Brazil;22,043,000;Metropolitan;22.5;Yes (Parque Ibirapuera and Catedral da Sé);41;Avenida Paulista, Mercado Municipal;Yes;Yes (São Paulo Government);GRU/CGH;Direct subway, bus and taxi to all major attractions;Yes;"GRU/CGH Direct subway, bus and taxi to all major attractions"""
66;"""Moscow";Russia;20,322,000;Metropolitan;45.4;Yes (Red Square and Kremlin);89;Bolshoi Theatre, Tretyakov Gallery;No;Yes (Moscow Government);SVO/DME/VKO;Direct train, subway and bus to all major attractions;Yes;"SVO/DME/VKO Direct train, subway and bus to all major attractions"""
67;"""Paris";France;12,140,000;Metropolitan;10.5;Yes (Eiffel Tower and Louvre Museum);23;Notre-Dame, Arc de Triomphe;Yes;Yes (Paris Government);CDG/ORY;Direct train, subway and bus to all major attractions;Yes;"CDG/ORY Direct train, subway and bus to all major attractions"""
68;"""Cairo";Egypt;22,833,000;Metropolitan;3.9;Yes (Pyramids of Giza and Egyptian Museum);29;Tahrir Square, Khan El Khalili;No;Yes (Cairo Government);CAI;Direct train, subway and bus to all major attractions;Yes;"CAI Direct train, subway and bus to all major attractions"""
69;"""Istanbul";Turkey;15,519,000;Metropolitan;34.3;Yes (Hagia Sophia and Blue Mosque);52;Topkapi Palace, Grand Bazaar;Yes;Yes (Istanbul Government);IST/SAW;Direct train, subway and bus to all major attractions;Yes;"IST/SAW Direct train, subway and bus to all major attractions"""
70;"""Tokyo";Japan;36,651,000;Metropolitan;20.3;Yes (Imperial Palace and Meiji Shrine);108;Shibuya Crossing, Asakusa;No;Yes (Tokyo Government);HND/NRT;Direct train, subway and bus to all major attractions;Yes;"HND/NRT Direct train, subway and bus to all major attractions""</s>"
