;Godheads;Domain;Family;Spouse & Children;Birthplace;Reincarnations;Abilities;Rituals;Symbols;Festivals;Modern Influence
39; Aphrodite;Love, Beauty, and Fertility;Greek;Hephaestus & Many;Cyprus;None;Love, Beauty, Fertility;Dove, Myrtle, Rose;Various Greek festivals;Significant deity in Greek mythology, associated with love, beauty, and fertility.;</s>
40;  Apollo;Sun, Light, Knowledge, Music, Poetry, Prophecy, Healing, Plague, Archery, Art, Oracles;Greek;Leto & Zeus;Delphi, Delos;Music, Archery, Prophecy, Healing, Sun;Lyre, Laurel tree, Bow;Various Greek festivals;Important deity in Greek mythology, associated with the sun, light, knowledge, music, poetry, prophecy, healing, plague, archery, art, and oracles.;;
41; Apollo (Egyptian form - Horus);Sky, War;Egyptian;Isis, Osiris & Geb;Buto;None;Sky, War, Hunting, Protection;Falcon;None;Significant deity in Egyptian mythology, associated with the sky, war, hunting, and protection.;
42; Artemis;Hunting, Wilderness, Wild Animals, the Moon;Greek;Zeus;None;Hunting, Wilderness, Wild Animals, the Moon;Bow, Arrows, Stag, Moon;Various Greek festivals;Major deity in Greek mythology, associated with hunting, wilderness, wild animals, and the moon.;;
43; Athena (Roman form - Minerva);Wisdom, Courage, Inspiration, Civilization, Warfare, Mathematics, Strength, Strategy, the City;Roman;None;None;Wisdom, Courage, Inspiration, Civilization, Warfare, Mathematics, Strength, Strategy, City planning;Owl, Olive tree, Spear;Various Roman festivals;Principal deity in Roman mythology, associated with wisdom, courage, inspiration, civilization, warfare, mathematics, strength, strategy, and the city.;;
44; Ares (Roman form - Mars);War, Violence, and Bloodshed;Roman;None;None;War, Violence, Bloodshed;Helmet, Spear, Shield;Various Roman festivals;Important deity in Roman mythology, associated with war, violence, and bloodshed.;;
45; Aphrodite (Roman form - Venus);Love, Beauty, and Fertility;Roman;Vulcan & Many;None;Love, Beauty, Fertility;Dove, Myrtle, Rose;Various Roman festivals;Significant deity in Roman mythology, associated with love, beauty, and fertility.;;
46; Poseidon;Sea, Earthquakes, Storms, Horses;Greek;Rhea & Cronus;Atlantic Ocean;Sea, Earthquakes, Storms, Horses;Trident;Various Greek festivals;Principal deity in Greek mythology, associated with the sea, earthquakes, storms, and horses.;;
47; Poseidon (Roman form - Neptune);Sea, Earthquakes, Storms, Horses;Roman;None;Sea, Earthquakes, Storms, Horses;Trident;Various Roman festivals;Principal deity in Roman mythology, associated with the sea, earthquakes, storms, and horses.;;;
48; Hades;Underworld, Wealth, Riches, Gems, Minerals;Greek;Persephone & Demeter;Underworld;Helm of Darkness, Cerberus;Various Greek festivals;Major deity in Greek mythology, associated with the underworld, wealth, riches, gems, and minerals.;;;
49; Hades (Roman form - Pluto);Underworld, Wealth, Riches, Gems, Minerals;Roman;None;Underworld;Helm of Darkness, Cerberus;Various Roman festivals;Major deity in Roman mythology, associated with the underworld, wealth, riches, gems, and minerals.</s>;;;
50; Zeus (Roman form - Jupiter);Sky, Thunder, Lightning, Storms;Greek;Hera & various;Mount Olympus;Thunderbolt;Various Greek festivals;King of the gods in Greek mythology, associated with the sky, thunder, lightning, and storms.;;;
51; Odin (Norse);War, Wisdom, Runes, Poetry;Norse;Frigg & many;Asgard;Spear (Gungnir), two ravens (Huginn and Muninn);Blot;Chief god in Norse mythology, associated with war, wisdom, runes, poetry, and death.;;;
52; Athena (Roman form - Minerva);Wisdom, Courage, Inspiration, Warfare, Justive;Greek;None;Born from Zeus' forehead;Owl, Olive tree, Gorgoneion;Panathenaia;Goddess of wisdom, courage, inspiration, warfare, and justice in Greek mythology.;;;
53; Loki (Norse);Mischief, Trickery;Giant;Sigyn & various;Jotunheim;Magic;Blot;God of mischief and trickery in Norse mythology, associated with fire and deceit.;;;
54; Thor (Roman form - Jupiter);Thunder, Lightning, Storms, Strength;Norse;Sif & various;Asgard;Mjolnir (hammer), iron gloves, belt of strength.;Various Norse festivals;God of thunder, lightning, storms, and strength in Norse mythology.;;;
55; Freyja (Roman form - Venus);Fertility, Love, Beauty, War;Norse;Od & Freyr;Folkvangr;Necklace (Brisingamen), cats;Various Norse festivals;Goddess of fertility, love, beauty, and war in Norse mythology.;;;
56; Apollo (Roman form - Apollo);Sun, Light, Music, Prophecy;Greek;None;Born from Leto and Zeus;Lyre, bow and arrows, laurel tree;Various Greek festivals;God of the sun, light, music, and prophecy in Greek mythology.;;;
57; Artemis (Roman form - Diana);Moon, Hunting, Wilderness, Childbirth;Greek;None;Bow and arrows, hunting dogs, moon;Various Greek festivals;Goddess of the moon, hunting, wilderness, and childbirth in Greek mythology.;;;;
58; Hephaestus (Roman form - Vulcan);Fire, Metals, Crafts;Greek;Aphrodite;Mount Olympus;Hammer, tongs, anvil;Various Greek festivals;God of fire, metals, and crafts in Greek mythology.;;;
59; Ares (Roman form - Mars);War, Violence, Bloodshed;Greek;Aphrodite;Mount Olympus;Spear, helmet, shield;Various Greek festivals;God of war, violence, and bloodshed in Greek mythology.;;;</s>
60;  Hestia (Roman form - Vesta);Home, Hearth, Family;Greek;None;Mount Olympus;Hearth, flame;Various Greek festivals;Goddess of home, hearth, and family in Greek mythology.;;;
61; Athena (Roman form - Minerva);Wisdom, Courage, Strategic War;Greek;None;Mount Olympus;Owl, spear, shield;Various Greek festivals;Goddess of wisdom, courage, and strategic war in Greek mythology.;;;
62; Apollo (Roman form - Apollo);Sun, Prophecies, Music, Poetry, Healing;Greek;None;Delphi;Bow and arrows, lyre, laurel tree;Various Greek festivals;God of sun, prophecies, music, poetry, and healing in Greek mythology.;;;
63; Dionysus (Roman form - Bacchus);Wine, Revelry, Drama;Greek;Ariadne;Mount Olympus;Grapes, ivy, tiger;Various Greek festivals;God of wine, revelry, and drama in Greek mythology.;;;
64; Demeter (Roman form - Ceres);Agriculture, Harvest, Sacred Law;Greek;None;Mount Olympus;Grain, torch, poppy;Various Greek festivals;Goddess of agriculture, harvest, and sacred law in Greek mythology.;;;
65; Poseidon (Roman form - Neptune);Sea, Earthquakes, Horses;Greek;None;Mount Olympus;Trident, horse, dolphin;Various Greek festivals;God of sea, earthquakes, and horses in Greek mythology.;;;
66; Hera (Roman form - Juno);Marriage, Women, Childbirth;Greek;None;Mount Olympus;Cow, pomegranate, peacock;Various Greek festivals;Goddess of marriage, women, and childbirth in Greek mythology.;;;
67; Hermes (Roman form - Mercury);Messenger of the Gods, Commerce, Thieves, Border Crossings, Guide to the Underworld;Greek;None;Caduceus, winged sandals, helmet;Various Greek festivals;God of messenger of the gods, commerce, thieves, border crossings, and guide to the underworld in Greek mythology.;;;;
68; Zeus (Roman form - Jupiter);Sky, Thunder, Lightning, King of the Gods;Greek;None;Mount Olympus;Lightning bolt, scepter, eagle;Various Greek festivals;God of sky, thunder, lightning, and king of the gods in Greek mythology.;;;
69; Persephone (Roman form - Proserpina);Underworld, Spring Growth;Greek;Hades;Mount Olympus;Pomegranate, narcissus, torch;Various Greek festivals;Goddess of underworld and spring growth in Greek mythology.;;;</s>
70;  Apollo (Roman form - Apollo);Sun, Music, Archery, Prophecy, Healing;Greek;None;Lyre, bow and arrows, laurel wreath;Various Greek festivals;God of sun, music, archery, prophecy, and healing in Greek mythology.;;;;
71; Artemis (Roman form - Diana);Hunting, Wilderness, the Moon;Greek;None;Mount Olympus;Moon, bow and arrows, hunting dogs;Various Greek festivals;Goddess of hunting, wilderness, and the moon in Greek mythology.;;;
72; Athena (Roman form - Minerva);Wisdom, Courage, Inspiration, Civilization, Strategic Warfare;Greek;None;Mount Olympus;Owl, olive branch, helmet, shield (Gorgoneion);Various Greek festivals;Goddess of wisdom, courage, inspiration, civilization, and strategic warfare in Greek mythology.;;;
73; Ares (Roman form - Mars);War, Violence, Bloodshed;Greek;None;Mount Olympus;Spear, helmet, armor, chariot;Various Greek festivals;God of war, violence, and bloodshed in Greek mythology.;;;
74; Aphrodite (Roman form - Venus);Love, Beauty, Pleasure, Procreation;Greek;None;Cyprus, sea foam;Magic girdle, mirror, apple, scallop shell;Various Greek festivals;Goddess of love, beauty, pleasure, and procreation in Greek mythology.;;;
75; Hephaestus (Roman form - Vulcan);Fire, Metalworking, Stone Masonry;Greek;None;Mount Olympus;Hammer, anvil, tongs;Various Greek festivals;God of fire, metalworking, and stone masonry in Greek mythology.;;;
76; Hera (Roman form - Juno);Marriage, Women, Childbirth, Family;Greek;None;Crown, scepter, throne, peacock;Various Greek festivals;Goddess of marriage, women, childbirth, and family in Greek mythology.;;;;
77; Poseidon (Roman form - Neptune);Sea, Earthquakes, Horses;Greek;None;Trident, horse, dolphin, fish;Various Greek festivals;God of sea, earthquakes, and horses in Greek mythology.;;;;
78; Dionysus (Roman form - Bacchus);Wine, Revelry, Parties, Madness;Greek;None;Grapes, ivy, drinking cup, tiger;Various Greek festivals;God of wine, revelry, parties, and madness in Greek mythology.;;;;
79; Demeter (Roman form - Ceres);Agriculture, Harvest, Sacred Law;Greek;None;Torch, corn, pigs;Various Greek festivals;Goddess of agriculture, harvest, and sacred law in Greek mythology.;;;</s>;
80; Hestia (Roman form - Vesta);Home, Hearth, Family;Greek;None;Hearth, flame;Various Greek festivals;Goddess of home, hearth, and family in Greek mythology.;;;;
81; Hades (Roman form - Pluto);Underworld, Wealth, Gems;Greek;None;Helmet of invisibility, scepter, key;Various Greek festivals;God of the underworld, wealth, and gems in Greek mythology.;;;;
82; Ares (Roman form - Mars);War;Greek;None;Spear, shield, dog;Various Greek festivals;God of war in Greek mythology.;;;;
83; Aphrodite (Roman form - Venus);Love, Beauty;Greek;None;Scallop shell, dove, mirror;Various Greek festivals;Goddess of love and beauty in Greek mythology.;;;;
84; Hephaestus (Roman form - Vulcan);Fire, Metalworking;Greek;Aglaea;Hammer, anvil;Various Greek festivals;God of fire and metalworking in Greek mythology.;Married to Aglaea, one of the Graces.;;;
85; Athena (Roman form - Minerva);Wisdom, Courage;Greek;None;Owl, olive tree, helmet, spear;Various Greek festivals;Goddess of wisdom and courage in Greek mythology.;;;;
86; Artemis (Roman form - Diana);Hunting, Wilderness, the Moon;Greek;None;Bow and arrow, hunting dogs, deer;Various Greek festivals;Goddess of hunting, wilderness, and the moon in Greek mythology.;;;;
87; Apollo (Roman form - Apollo);Sun, Music, Prophecy;Greek;None;Lyre, bow and arrow, laurel wreath;Various Greek festivals;God of sun, music, and prophecy in Greek mythology.;;;;
88; Hermes (Roman form - Mercury);Trade, Travelers, Thieves;Greek;None;Caduceus, winged sandals;Various Greek festivals;God of trade, travelers, and thieves in Greek mythology.;;;;
89; Zeus (Roman form - Jupiter);Sky, Thunder, Law and Order;Greek;Hera;Thunderbolt, scepter, eagle;Various Greek festivals;God of sky, thunder, law and order in Greek mythology.;Married to Hera, queen of the gods.;</s>;;
90;  Hera (Roman form - Juno);Marriage, Women, Family;Greek;Zeus;Pomegranate, crown, peacock feathers;Various Greek festivals;Goddess of marriage, women, and family in Greek mythology.;Married to Zeus, king of the gods.;;;
91; Poseidon (Roman form - Neptune);Sea, Earthquakes, Horses;Greek;Amphitrite;Trident, horse, dolphin;Various Greek festivals;God of sea, earthquakes, and horses in Greek mythology.;;;;
92; Athena (Roman form - Minerva);Wisdom, War, Crafts;Greek;None;Owl, shield, spear;Various Greek festivals;Goddess of wisdom, war, and crafts in Greek mythology.;;;;
93; Ares (Roman form - Mars);War, Violence, Bloodshed;Greek;Aphrodite;Spear, helmet, dog;Various Greek festivals;God of war, violence, and bloodshed in Greek mythology.;Married to Aphrodite, goddess of love.;;;
94; Aphrodite (Roman form - Venus);Love, Beauty, Desire;Greek;Hephaestus;Scallop shell, mirror, dove;Various Greek festivals;Goddess of love, beauty, and desire in Greek mythology.;Married to Hephaestus, god of fire.;;;
95; Hephaestus (Roman form - Vulcan);Fire, Metalworking, Volcanoes;Greek;Aphrodite;Hammer, anvil, tongs;Various Greek festivals;God of fire, metalworking, and volcanoes in Greek mythology.;Married to Aphrodite, goddess of love.;;;
96; Dionysus (Roman form - Bacchus);Wine, Parties, Theater;Greek;Semele;Grapes, ivy, drinking cup;Various Greek festivals;God of wine, parties, and theater in Greek mythology.;;;;
97; Demeter (Roman form - Ceres);Agriculture, Harvest, Sacred Law;Greek;None;Sheaf of wheat, poppy, pig;Various Greek festivals;Goddess of agriculture, harvest, and sacred law in Greek mythology.;;;;
98; Artemis (Roman form - Diana);Hunting, Wilderness, Childbirth;Greek;None;Bow, quiver, deer;Various Greek festivals;Goddess of hunting, wilderness, and childbirth in Greek mythology.;;;;
99; Hestia (Roman form - Vesta);Home, Hearth, Domesticity;Greek;None;Hearth, kettle, flame;Various Greek festivals;Goddess of home, hearth, and domesticity in Greek mythology.;None;.</s>;;
