;Ancient Civilizations' Laws; Medieval Societies' Customs ; Renaissance Artists ; Colonial Empires' Borders ; Industrial Era's Inventions ; Global Conflicts' Turning Points ; Environmental Movements ; Ideologies' Founders ; Archaeological Sites ; Literary Genres.
18; Inca Laws; Chinese Legalist Laws; Goya, Velázquez; Sino-Soviet Borders; Fax Machine, Mobile Phone; Iran-Iraq War; Amazon Watch; Frantz Fanon, Noam Chomsky; Great Zimbabwe; Science Fiction Literature.</s>
19;  Hammurabi's Code; Muslim Maliki Law; Michelangelo, Raphael; Sykes-Picot Agreement Borders; Steam Engine, Telegraph; World War I; Greenpeace; Friedrich Engels, Ayn Rand; Machu Picchu; Horror Literature.
20; Ancient Egyptian Law; Canon Law; Leonardo da Vinci, Caravaggio; Versailles Treaty Borders; Internal Combustion Engine, Airplane; World War II; Sea Shepherd; Mahatma Gandhi, Jean-Jacques Rousseau; Giza Plateau; Mystery Literature.
21; Jewish Halakhic Law; English Common Law; El Greco, Rembrandt; Berlin Conference Borders; Dynamite, Light Bulb; Russian Revolution; World Wildlife Fund; Thomas Hobbes, John Locke; Angkor Wat; Adventure Literature.
22; Babylonian Law; Aztec Law; Donatello, Botticelli; Treaty of Tordesillas Borders; Train, Steamship; Korean War; Oxfam; Voltaire, Immanuel Kant; Petra; Historical Fiction Literature.
23; Hittite Law; Celtic Law; Durer, Rubens; Congress of Vienna Borders; Typewriter, Sewing Machine; Vietnam War; Amnesty International; Søren Kierkegaard, Sigmund Freud; Knossos; Romance Literature.
24; Mosaic Law; Native American Law; Remington, Wyeth; Treaty of Guadalupe Hidalgo Borders; Phonograph, Telephone; Gulf War; Doctors Without Borders; Bertrand Russell, Ludwig Wittgenstein; Chichen Itza; Comedy Literature.
25; Phoenician Law; Zulu Law; Gauguin, Van Gogh; Treaty of Berlin Borders; Radio, Television; Cold War; International Fund for Animal Welfare; Max Weber, Herbert Spencer; Palmyra; Satire Literature.
26; Celtic-Roman Law; Korean Confucian Law; Rodin, Picasso; Yalta Conference Borders; Atomic Power, Jet Engine; War on Terror; Conservation International; Michel Foucault, Hannah Arendt; Tikal; Gothic Literature.
27; Maghreb Islamic Law; Soviet Law; Warhol, Pollock; Camp David Accords Borders; Supercomputer, Internet; Arab Spring; Environmental Defense Fund; Gilles Deleuze, Félix Guattari; Teotihuacan; Noir Literature.
28; Mayan Law; Indian Hindu Law; Matisse, Monet; Paris Peace Accords Borders; Biotechnology, Robotics; Syrian Civil War; Rainforest Foundation; Slavoj Žižek, Judith Butler; Persepolis; Dystopian Literature.</s>
29;  Babylonian Law; English Common Law; Da Vinci, Raphael; Treaty of Tordesillas Borders; Electricity, Telephone; Cuban Missile Crisis; World Wildlife Fund; Ayn Rand, John Rawls; Machu Picchu; Romance Literature.
30; Zapotec Law; Chinese Legalist Law; Caravaggio, Rembrandt; Berlin Congress Borders; Light Bulb, Transcontinental Railroad; Rwandan Genocide; Sierra Club; Pierre Bourdieu, Jürgen Habermas; Angkor Wat; Horror Literature.
31; Egyptian Law; Samurai Law; Rubens, Velázquez; Sykes-Picot Agreement Borders; Steam Engine, Dynamite; Fall of Berlin Wall; Nature Conservancy; Michel Onfray, Martha Nussbaum; Petra; Satire Literature.
32; Persian Law; Roman Law; Van Eyck, Botticelli; Treaty of Versailles Borders; Automobile, Airplane; Cold War; Wildlife Conservation Society; Fredric Jameson, Nancy Fraser; Palmyra; Epic Literature.
33; Assyrian Law; Athenian Law; Titian, El Greco; Congress of Vienna Borders; Photography, Motion Pictures; 9/11 Terrorist Attacks; Greenpeace; Gianni Vattimo, Jacques Rancière; Knossos; Realism Literature.
34; Inca Law; Aztec Law; Rembrandt, Vermeer; Treaty of Westphalia Borders; Penicillin, Television; Vietnam War; The Sierra Club Foundation; Giorgio Agamben, Alain Badiou; Great Zimbabwe; Tragedy Literature.
35; Sumerian Law; Spartan Law; Michelangelo, Raphael; Treaty of Utrecht Borders; Telescope, Steamship; Gulf War; National Geographic Society; Julia Kristeva, Homi Bhabha; Troy; Pastoral Literature.
36; Hittite Law; Thracian Law; Bruegel, Bosch; Treaty of Tilsit Borders; Vaccination, Sewer System; Korean War; World Wide Fund for Nature; Ernesto Laclau, Chantal Mouffe; Mohenjo-daro; Lyric Poetry.
37; Scythian Law; Etruscan Law; Dürer, Cranach; Treaty of Ghent Borders; Stethoscope, Railway; Yugoslav Wars; The Nature Conservancy; Antonio Negri, Michael Hardt; Pompeii; History Literature.
38; Elamite Law; Celtic Law; Gainsborough, Constable; Treaty of Frankfurt Borders; Telegraph, Transatlantic Cable; War in Afghanistan; Cultural Survival; Jacques Derrida, Jean-François Lyotard; Stonehenge; Mystery Literature.</s>
39;  Babylonian Law; Teutonic Law; Botticelli, Michelangelo; Versailles Treaty Borders; Light Bulb, Typewriter; Gulf War; Greenpeace; Slavoj Žižek, Alain Badiou; Ur; Science Fiction Literature.
40; Sumerian Law; Visigothic Law; Raphael, Titian; Treaty of Brest-Litovsk Borders; Steam Engine, Photography; Cuban Missile Crisis; Amnesty International; Friedrich Nietzsche, Karl Marx; Persepolis; Adventure Literature.
41;  Hittite Law; Salic Law; Da Vinci, Caravaggio; Sykes-Picot Agreement Borders; Dynamite, Sewing Machine; Vietnam War; Friends of the Earth; Ayn Rand, John Rawls; Göbekli Tepe; Horror Literature.
42; Egyptian Law; Anglo-Saxon Law; Dürer, Bosch; Tordesillas Treaty Borders; Railroad, Telephone; Falklands War; Sierra Club; Bertrand Russell, Noam Chomsky; Pompeii; Historical Fiction Literature.
43; Assyrian Law; Lombard Law; Rembrandt, Vermeer; Berlin Congress Borders; Electricity, Internal Combustion Engine; Yugoslav Wars; Greenbelt Movement; Judith Butler, Jürgen Habermas; Machu Picchu; Satire Literature.
44; Indus Valley Law; Feudal Japanese Law; Rubens, Van Dyck; Treaty of Saint-Germain-en-Laye Borders; Airplane, Radio; Iran-Iraq War; Oxfam International; Michel Foucault, Jacques Lacan; Timgad; Romance Literature.
45; Phoenician Law; Magdeburg Law; Chardin, Watteau; Treaty of Trianon Borders; Television, Computer; Gulf War 2; Save the Children; Gilles Deleuze, Félix Guattari; Palmyra; Fantasy Literature.
46; Mycenaean Law; Manchu Law; Fragonard, David; Treaty of Lausanne Borders; Internet, Mobile Phone; Ukraine Crisis; World Wildlife Fund; Ernesto Laclau, Chantal Mouffe; Petra; Crime Literature.
47; Minoan Law; Ottoman Law; Goya, Delacroix; Munich Agreement Borders; Robot, 3D Printing; Syrian Civil War; CARE International; Pierre Bourdieu, Zygmunt Bauman; Angkor Wat; Detective Literature.
48; Persian Law; Holy Roman Law; Ingres, Courbet; Yalta Conference Borders; Nuclear Power, Satellite; Korean War; Doctors Without Borders; Slavoj Žižek, Alain Badiou; Chichen Itza; Thriller Literature.
49; Chaldean Law; Mandate System Borders; Monet, Renoir; Treaty of Dayton Borders; Genetic Engineering, Nanotechnology; Six-Day War; International Red Cross and Red Crescent Movement; Frantz Fanon, Edward Said; Tikal; Spy Literature.</s>
50;  Babylonian Law; Feudal Japan Customs; Da Vinci, Michelangelo; Berlin Conference Borders; Steam Engine, Telegraph; Pearl Harbor; Oxfam International; Michel Foucault, Jürgen Habermas; Machu Picchu; Science Fiction Literature.
51;  Hittite Law; Manorialism Customs; Botticelli, Donatello; Sykes-Picot Agreement Borders; Light Bulb, Telephone; Cuban Missile Crisis; Save the Children International; Jacques Derrida, Pierre Bourdieu; Petra; Mystery Literature.
52; Assyrian Law; Chivalry Customs; Raphael, Titian; Tordesillas Treaty Borders; Internal Combustion Engine, Typewriter; Battle of the Bulge; CARE International; Antonio Gramsci, Hannah Arendt; Palmyra; Horror Literature.
