;Camera Make;Camera Model;File Name;Date Taken;Shutter Speed;Aperture Value;Focal Length;ISO;Exposure Compensation;Metering Mode;Light Source
47; Hasselblad;X1D II 50C;HAS_9876;2022-06-05;1/500;f/10;55mm;1600;0;Spot;Daylight
48; Leica;SL2-S;LEI_1234;2022-06-06;1/640;f/11;33mm;2000;-2/3;Multi-segment;Daylight
49; Pentax;645Z;PEN_5678;2022-06-07;1/400;f/13;45mm;1000;-1/3;Pattern;Daylight
50; Olympus;OM-D E-M1 Mark III;OLY_9876;2022-06-08;1/250;f/14;60mm;1250;0;Center-weighted;Daylight
51; Samsung;NG-1;SAM_1234;2022-06-09;1/200;f/16;55mm;800;-1/3;Multi-segment;Daylight</s>
52;  Canon;EOS 5D Mark IV;CAN_5678;2022-06-10;1/320;f/11;85mm;200;0;Partial;Flash
53; Nikon;D850;NIK_9876;2022-06-11;1/200;f/13;105mm;1600;-1/3;Spot;Daylight
54; Fujifilm;GFX 100S;FUJ_1234;2022-06-12;1/400;f/16;32-64mm;400;0;Multi-segment;Cloudy-weather
55; Panasonic;Lumix S1R;PAN_5678;2022-06-13;1/250;f/14;50mm;640;-1/3;Pattern;Daylight
56; Leica;SL2-S;LEI_9876;2022-06-14;1/320;f/11;75mm;800;0;Center-weighted;Shade
57; Hasselblad;X1D II 50C;HAS_1234;2022-06-15;1/200;f/13;45mm;1000;-1/3;Pattern;Daylight
58; Sigma;fp;SIG_5678;2022-06-16;1/320;f/16;30mm;200;0;Multi-segment;Flash
59; Ricoh;PENTAX K-1 II;RIC_9876;2022-06-17;1/250;f/14;55mm;1250;-1/3;Center-weighted;Daylight
60; Sony;A7R IV;SON_1234;2022-06-18;1/400;f/11;85mm;400;0;Pattern;Cloudy-weather
61; Blackmagic;Pocket Cinema Camera 6K;BLM_5678;2022-06-19;1/200;f/13;25mm;800;-1/3;Multi-segment;Daylight</s>
62;  Canon;EOS 5D Mark IV;CAN_9876;2022-06-20;1/320;f/9;100mm;200;-2/3;Partial;Flash
63; Nikon;D850;NIK_1234;2022-06-21;1/200;f/10;70mm;400;0;Spot;Daylight
64; Fujifilm;X-T4;FUJ_5678;2022-06-22;1/250;f/11;35mm;800;-1/3;Multi-segment;Cloudy-weather
65; Panasonic;Lumix S1R;PAN_9876;2022-06-23;1/320;f/8;50mm;1000;2/3;Center-weighted;Daylight
66; Olympus;OM-D E-M1 Mark III;OLY_1234;2022-06-24;1/400;f/9;40mm;640;0;Pattern;Shadow
67; Hasselblad;X1D II 50C;HAS_5678;2022-06-25;1/200;f/13;65mm;1250;-1/3;Multi-segment;Daylight
68; Leica;SL2-S;LEI_9876;2022-06-26;1/320;f/11;90mm;200;0;Center-weighted;Studio Light
69; Pentax;K-3 III;PEN_1234;2022-06-27;1/400;f/10;55mm;400;-2/3;Spot;Daylight
70; Sigma;fp L;SIG_5678;2022-06-28;1/250;f/14;24mm;1600;-1/3;Multi-segment;Daylight
71; Sony;A1;SON_9876;2022-06-29;1/500;f/16;100mm;800;0;Center-weighted;Flash</s>
72;  Canon;EOS R5;CAN_0123;2022-06-30;1/640;f/8;35mm;100;-1/3;Partial;Cloudy-shade
73; Nikon;Z7 II;NIK_9876;2022-07-01;1/400;f/11;85mm;200;0;Spot;Daylight
74; Fujifilm;GFX 100S;FUJ_4567;2022-07-02;1/500;f/13;63mm;400;-2/3;Multi-segment;Daylight
75; Panasonic;GH5;PAN_8876;2022-07-03;1/320;f/9;70mm;800;-1/3;Center-weighted;Daylight
76; Olympus;OM-D E-M1 Mark III;OLY_7890;2022-07-04;1/400;f/10;35mm;640;0;Spot;Cloudy-shade
77; Hasselblad;X1D II 50C;HAS_5432;2022-07-05;1/640;f/11;50mm;200;-1/3;Multi-segment;Daylight
78; Leica;SL2-S;LEI_1234;2022-07-06;1/500;f/16;85mm;400;0;Center-weighted;Daylight
79; Blackmagic Design;Pocket Cinema Camera 6K;BMD_7654;2022-07-07;1/640;f/8;25mm;400;-1/3;Multi-segment;Daylight
80; Ricoh;PENTAX 645Z;RIC_5678;2022-07-08;1/500;f/11;55mm;200;0;Spot;Daylight
81; Arri;Alexa Mini LF;ARR_3456;2022-07-09;1/480;f/10;32mm;800;-1/3;Multi-segment;Daylight</s>
82;  Canon;EOS 5D Mark IV;CAN_1234;2022-07-10;1/640;f/9;28mm;1000;-1/3;Multi-segment;Daylight
83; Sony;Alpha a1;SON_9876;2022-07-11;1/500;f/11;85mm;640;0;Center-weighted;Daylight
84; Nikon;D850;NIK_5678;2022-07-12;1/480;f/8;50mm;400;-1/3;Matrix;Daylight
85; Panasonic;Lumix S1R;PAN_3456;2022-07-13;1/640;f/10;35mm;800;0;Spot;Daylight
86; Fujifilm;GFX 100S;FUJ_6789;2022-07-14;1/500;f/11;63mm;200;-1/3;Multi-segment;Daylight
87; Hasselblad;X1D II 50C;HAS_1234;2022-07-15;1/480;f/9;45mm;400;0;Center-weighted;Daylight
88; Leica;SL2-S;LEI_5678;2022-07-16;1/640;f/8;30mm;640;-1/3;Multi-segment;Daylight
89; Pentax;645Z;PEN_9876;2022-07-17;1/500;f/10;55mm;200;0;Spot;Daylight
90; Olympus;OM-D E-M1 Mark III;OLY_3456;2022-07-18;1/480;f/8;14mm;400;-1/3;Matrix;Daylight
91; Sigma;fp L;SIG_6789;2022-07-19;1/640;f/11;28mm;1000;0;Center-weighted;Daylight</s>
92;  Canon;EOS 5D Mark IV;CAN_1234;2022-07-20;1/500;f/9;35mm;200;0;Partial;Daylight
93; Nikon;D850;NIK_9876;2022-07-21;1/640;f/10;50mm;400;-1/3;Center-weighted;Daylight
94; Sony;A7R IV;SON_3456;2022-07-22;1/320;f/8;70mm;800;0;Multi-segment;Daylight
95; Fujifilm;GFX 100S;FUJ_6789;2022-07-23;1/250;f/11;110mm;1600;1/3;Spot;Daylight
96; Panasonic;Lumix S1R;PAN_1234;2022-07-24;1/400;f/9;24mm;320;0;Pattern;Daylight
97; Leica;SL2-S;LEI_9876;2022-07-25;1/640;f/10;35mm;500;-2/3;Center-weighted;Daylight
98; Hasselblad;X1D II 50C;HAS_3456;2022-07-26;1/500;f/8;45mm;640;0;Matrix;Daylight
99; Pentax;645Z;PEN_6789;2022-07-27;1/320;f/11;85mm;800;1/3;Spot;Daylight
100; Olympus;OM-D E-M1 Mark III;OLY_9876;2022-07-28;1/400;f/9;20mm;320;0;Matrix;Daylight
101; Sigma;fp L;SIG_1234;2022-07-29;1/480;f/10;30mm;400;-1/3;Center-weighted;Daylight</s>
