;Title; Author; Metaphor Usage; Rhyme Scheme; Stanza Count; Word Choice; Emotional Appeal; Literary Devices Used; Theme Development; Imagery and Symbolism; Tone Variation; Rhetorical Questions; Allusions; Syntax Play; Genre Classification; Free Verse?
19;"""Pied Beauty"""; Gerard Manley Hopkins; High; CDEDCE; 4; Appreciative, Awe-struck; Joyful, Blessed; Alliteration, Assonance; Nature, God; Diversity, Spirituality; No; Nature, God; End-stopped; Descriptive; N/A; No</s>
20;" ""When I Have Fears"""; John Keats; High; ABAB; 4; Passionate, Melancholic; Loving, Mortal; Metaphor, Alliteration, Personification; Love, Mortality; Longing, Separation; Yes; Love, Fear; Enjambment; Sonnet; Romantic; No
21;"""The Raven"""; Edgar Allan Poe; High; AA BB A; 18; Haunting, Despair; Mysterious, Supernatural; Alliteration, Onomatopoeia, Personification; Loss, Madness; Grief, Haunting; Yes; Loss, Mystery; End-stopped; Gothic; N/A; No
22;"""The Road Not Taken"""; Robert Frost; High; N/A; 4; Contemplative, Reflective; Choices, Regret; Metaphor, Alliteration; Life, Choices; Paths, Destiny; No; Life, Regret; Enjambment; Narrative; Realism; No
23;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Low; Free Verse; 32; Introspective, Alienated; Fragments, Time; Allusion, Fragmented Syntax, Tone Variation; Existence, Identity; N/A; Yes; Existence, Isolation; Stream of Consciousness; Modernist; Yes;
24;"""Ode to Nightingale"""; John Keats; High; ABAB CDCD EFEF; 8; Melancholic, Rapturous; Mortal, Beauty; Metaphor, Alliteration, Personification; Nature, Mortality; Desire, Sorrow; Yes; Nature, Mortality; Enjambment; Lyric; Romantic; No
25;"""The Tyger"""; William Blake; High; AABB; 6; Awe, Wonder; Power, Creation; Alliteration, Rhyme, Question; Nature, Creator; Power, Creation; Yes; Nature, Divinity; End-stopped; Descriptive; N/A; No
26;"""Annabel Lee"""; Edgar Allan Poe; High; ABCB; 6; Devoted, Melancholic; Love, Loss; Metaphor, Rhyme, Repetition; Love, Death; Sorrow, Memory; Yes; Love, Loss; End-stopped; Narrative; Romantic; No
27;"""Do Not Go Gentle into That Good Night"""; Dylan Thomas; High; ABAB CDCD; 5; Impassioned, Urgent; Life, Death; Metaphor, Alliteration, Consonance; Mortality, Defiance; Action, Resistance; Yes; Mortality, Defiance; End-stopped; Lyric; N/A; No
28;"""Kubla Khan"""; Samuel Taylor Coleridge; High; AABBBCCDDEEFFGG; 5; Ecstatic, Visionary; Creation, Paradise; Metaphor, Alliteration, Assonance; Creation, Dream; Power, Surrealism; Yes; Creation, Dream; Enjambment; Descriptive; Romantic; No
29;"""My Heart Leaps Up"""; William Wordsworth; High; AA BA; 3; Joyful, Reflective; Nature, Memory; Metaphor, Alliteration; Nature, Childhood; Wonder, Simplicity; No; Nature, Memory; End-stopped; Descriptive; N/A; No</s>
30;" ""The Road Not Taken"""; Robert Frost; High; ABAABB; 4; Wistful, Reflective; Life, Choice; Metaphor, Alliteration; Life, Journey; Contemplation, Regret; Yes; Life, Choice; End-stopped; Descriptive; N/A; No
31;"""Ode to a Nightingale"""; John Keats; High; ABCDBCDEFEFGG; 10; Wistful, Melancholic; Nature, Mortality; Metaphor, Alliteration, Assonance; Nature, Sensory Experience; Beauty, Transience; Yes; Nature, Mortality; Enjambment; Descriptive; Romantic; No
32;"""When I Have Fears"""; John Keats; High; ABABCDCDEFEF; 8; Melancholic, Intense; Love, Mortality; Metaphor, Alliteration, Assonance; Love, Mortality; Longing, Despair; Yes; Love, Mortality; Enjambment; Descriptive; Romantic; No
33;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Varies; 26; Contemplative, Fragmented; Self, Society; Metaphor, Alliteration, Internal Rhyme; Modernity, Alienation; Doubt, Insecurity; Yes; Self, Society; Enjambment; Descriptive; Modernist; Yes
34;"""Ode to the West Wind"""; Percy Bysshe Shelley; High; ABABCDECDEFEF; 6; Passionate, Dramatic; Nature, Change; Metaphor, Alliteration, Assonance; Nature, Power; Liberation, Transformation; Yes; Nature, Change; Enjambment; Descriptive; Romantic; No
35;"""I Wandered Lonely as a Cloud"""; William Wordsworth; High; ABCB; 4; Joyful, Meditative; Nature, Memory; Metaphor, Alliteration; Nature, Beauty; Solitude, Inspiration; No; Nature, Memory; End-stopped; Descriptive; N/A; No
36;"""The Tyger"""; William Blake; High; AABBCCDDEEFFGG; 6; Awe-struck, Mysterious; Nature, Creator; Metaphor, Alliteration, Assonance; Creation, Divinity; Power, Mystery; Yes; Nature, Creator; Enjambment; Descriptive; N/A; No
37;"""Stopping by Woods on a Snowy Evening"""; Robert Frost; High; AABA; 4; Contemplative, Peaceful; Nature, Life; Metaphor, Alliteration; Nature, Solitude; Calm, Contemplation; No; Nature, Life; End-stopped; Descriptive; N/A; No
38;"""Ode to Grecian Urn"""; John Keats; High; ABABAABAABAABAAB; 10; Reflective, Contemplative; Art, Beauty; Metaphor, Alliteration, Assonance; Art, Time; Longing, Idealization; Yes; Art, Beauty; Enjambment; Descriptive; Romantic; No
39;"""Pied Beauty"""; Gerard Manley Hopkins; High; AA BB AA BB CC; 3; Joyful, Celebratory; Nature, Aesthetics; Metaphor, Alliteration, Assonance; Nature, Variety; Aesthetics, Praise; No; Nature, Aesthetics; End-stopped; Descriptive; N/A; No</s>
40;" ""The Road Not Taken"""; Robert Frost; High; ABAABAABA; 5; Reflective, Contemplative; Life, Choice; Metaphor, Alliteration; Life, Journey; Regret, Reflection; No; Life, Choice; End-stopped; Descriptive; N/A; No
41;"""Ode to a Nightingale"""; John Keats; High; ABABCDCEDEFEFGG; 11; Melancholic, Reflective; Nature, Mortality; Metaphor, Alliteration, Assonance; Nature, Beauty; Longing, Melancholy; Yes; Nature, Mortality; Enjambment; Descriptive; Romantic; No
42;"""When I Have Fears"""; John Keats; High; ABAABCCA; 4; Melancholic, Reflective; Love, Mortality; Metaphor, Alliteration; Love, Mortality; Fear, Regret; No; Love, Mortality; End-stopped; Descriptive; N/A; No
43;"""To Autumn"""; John Keats; High; AABBA; 5; Celebratory, Reflective; Nature, Seasons; Metaphor, Alliteration; Nature, Change; Celebration, Melancholy; No; Nature, Seasons; End-stopped; Descriptive; N/A; No
44;"""The Windhover"""; Gerard Manley Hopkins; High; ABCBBBAAABABBAB; 6; Celebratory, Aesthetic; Nature, Spirituality; Metaphor, Alliteration, Assonance; Nature, Flight; Aesthetics, Praise; No; Nature, Spirituality; Enjambment; Descriptive; N/A; No
45;"""God's Grandeur"""; Gerard Manley Hopkins; High; AAAAAABBBBB; 5; Celebratory, Aesthetic; Nature, Spirituality; Metaphor, Alliteration, Assonance; Nature, Divine; Aesthetics, Praise; No; Nature, Spirituality; End-stopped; Descriptive; N/A; No
46;"""Spring and Fall"""; Gerard Manley Hopkins; High; ABCBDB; 4; Reflective, Melancholic; Nature, Mortality; Metaphor, Alliteration; Nature, Change; Melancholy, Mortality; No; Nature, Mortality; End-stopped; Descriptive; N/A; No
47;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Variable; 15; Introspective, Fragmented; Urban, Self; Metaphor, Alliteration; Urban, Life; Alienation, Isolation; Yes; Urban, Self; Enjambment; Descriptive; Modernist; No
48;"""The Waste Land"""; T.S. Eliot; High; Variable; 30; Introspective, Fragmented; Society, Culture; Metaphor, Alliteration; Society, Wasteland; Critique, Disillusionment; Yes; Society, Culture; Enjambment; Descriptive; Modernist; No
49;"""Prufrock's Pervigilium"""; T.S. Eliot; High; Variable; 5; Introspective, Fragmented; Urban, Self; Metaphor, Alliteration; Urban, Life; Alienation, Isolation; Yes; Urban, Self; Enjambment; Descriptive; Modernist; Yes</s>
50;" ""The Hollow Men"""; T.S. Eliot; High; Absent; 12; Despairing, Desolate; Society, Existence; Metaphor, Alliteration; Wasteland, Humanity; Hopelessness, Void; No; Society, Existence; Caesura; Desolate; Modernist; No
51;"""Ash Wednesday"""; T.S. Eliot; High; Irregular; 10; Spiritual, Inward; Religion, Self; Metaphor, Alliteration; Faith, Journey; Redemption, Renewal; Yes; Religion, Self; Enjambment; Introspective; Modernist; No
52;"""Gerontion"""; T.S. Eliot; High; Irregular; 5; Aging, Memory; Self, History; Metaphor, Alliteration; Age, Time; Regret, Nostalgia; Yes; Self, History; Enjambment; Reflective; Modernist; No
53;"""Journey of the Magi"""; T.S. Eliot; High; Absent; 4; Spiritual, Quest; Religion, Experience; Metaphor, Alliteration; Religion, Life; Transformation, Disillusionment; No; Religion, Experience; Caesura; Spiritual; Modernist; No
54;"""Animula"""; T.S. Eliot; High; Absent; 2; Death, Soul; Existence, Transition; Metaphor; Mortality, Life; Contemplation; No; Existence, Transition; Caesura; Philosophical; Modernist; No
55;"""Coriolan"""; T.S. Eliot; High; Irregular; 8; Power, Pride; Politics, Character; Metaphor, Alliteration; Ambition, Corruption; Critique; Yes; Politics, Character; Enjambment; Critical; Modernist; No
56;"""Murder in the Cathedral"""; T.S. Eliot; High; Absent; 15; Betrayal, Redemption; History, Morality; Metaphor, Alliteration; Murder, Faith; Forgiveness, Martyrdom; No; History, Morality; Caesura; Dramatic; Modernist; No
57;"""A Song for Simeon"""; T.S. Eliot; High; Absent; 3; Death, Sacrifice; Faith, Redemption; Metaphor, Alliteration; Age, Salvation; Acceptance; No; Faith, Redemption; Caesura; Spiritual; Modernist; No
58;"""Triumphal March"""; T.S. Eliot; High; Irregular; 6; Victory, Corruption; Politics, Power; Metaphor, Alliteration; Triumph, Decay; Critique; Yes; Politics, Power; Enjambment; Critical; Modernist; No
59;"""Doris's Dream Songs"""; T.S. Eliot; High; Variable; 7; Memory, Loss; Childhood, Nostalgia; Metaphor, Alliteration; Dreams, Innocence; Longing, Narrative; Yes; Childhood, Nostalgia; Enjambment; Introspective; Modernist; No</s>
60;" ""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Absent; 12; Love, Isolation; Modernity, Alienation; Metaphor, Alliteration; Self, Society; Contemplation; No; Modernity, Alienation; Caesura; Stream-of-consciousness; Modernist; No
61;"""The Waste Land"""; T.S. Eliot; High; Variable; 52; Waste, Despair; Civilization, Culture; Metaphor, Alliteration; Barrenness, Renewal; Critique; Yes; Waste, Despair; Enjambment; Fragmented; Modernist; No
62;"""Preludes"""; T.S. Eliot; High; Irregular; 4; City, Decay; Perception, Illusion; Metaphor, Alliteration; Morning, Night; Sensory; No; City, Decay; Caesura; Fragmented; Modernist; No
63;"""The Hollow Men"""; T.S. Eliot; High; Absent; 5; Life, Death; Hope, Despair; Metaphor, Alliteration; Hollow, Fate; Critique; No; Life, Death; Caesura; Fragmented; Modernist; No
64;"""Gerontion"""; T.S. Eliot; High; Absent; 7; Age, Regret; History, Memory; Metaphor, Alliteration; Self, Time; Narrative; No; Age, Regret; Caesura; Stream-of-consciousness; Modernist; No
65;"""Ash-Wednesday"""; T.S. Eliot; High; Absent; 9; Faith, Transition; Redemption, Humility; Metaphor, Alliteration; Spiritual, Renewal; Prayer; No; Faith, Redemption; Caesura; Spiritual; Modernist; No
66;"""Animula"""; T.S. Eliot; High; Absent; 2; Soul, Mortality; Memory, Identity; Metaphor, Alliteration; Self, Death; Reflection; No; Soul, Mortality; Caesura; Stream-of-consciousness; Modernist; No
67;"""East Coker"""; T.S. Eliot; High; Absent; 5; Time, Change; Tradition, Experience; Metaphor, Alliteration; History, Death; Narrative; No; Time, Change; Caesura; Fragmented; Modernist; No
68;"""The Dry Salvages"""; T.S. Eliot; High; Absent; 4; Water, Time; Connection, Loss; Metaphor, Alliteration; Nature, History; Reflection; No; Water, Time; Caesura; Spiritual; Modernist; No
69;"""Little Gidding"""; T.S. Eliot; High; Absent; 5; Fire, Purification; History, Unity; Metaphor, Alliteration; War, Spirituality; Narrative; No; Fire, Purification; Caesura; Spiritual; Modernist; No</s>
70;" ""The Waste Land"""; T.S. Eliot; High; Absent; 9; Civilization, Despair; Culture, Death; Metaphor, Alliteration; Society, History; Narrative; No; Civilization, Despair; Caesura; Fragmented; Modernist; No
71;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Present; 12; Existence, Loneliness; Modernity, Alienation; Metaphor, Alliteration; Relationships, Self; Stream of Consciousness; Yes; Existence, Loneliness; Caesura; Doubt; Modernist; No
72;"""Ash Wednesday"""; T.S. Eliot; High; Absent; 6; Faith, Renewal; Religion, Transition; Metaphor, Alliteration; Spirituality, Hope; Narrative; No; Faith, Renewal; Caesura; Spiritual; Modernist; No
73;"""Journey of the Magi"""; T.S. Eliot; High; Absent; 4; Religion, Quest; Experience, Change; Metaphor, Alliteration; Spirituality, Reflection; Narrative; No; Religion, Quest; Caesura; Reflection; Modernist; No
74;"""Preludes"""; T.S. Eliot; High; Absent; 4; City, Decay; Perception, Change; Metaphor, Alliteration; Society, Human Condition; Reflection; No; City, Decay; Caesura; Fragmented; Modernist; No
75;"""Mr. Apollinax"""; T.S. Eliot; High; Absent; 3; Civilization, Humor; Society, Satire; Metaphor, Alliteration; Relationships, Human Nature; Wit; No; Civilization, Humor; Caesura; Satire; Modernist; No
76;"""Gerontion"""; T.S. Eliot; High; Absent; 4; Age, Memory; Identity, Isolation; Metaphor, Alliteration; History, Human Condition; Reflection; No; Age, Memory; Caesura; Doubt; Modernist; No
77;"""A Cooking Egg"""; T.S. Eliot; High; Absent; 3; Relationships, Alienation; Society, Modernity; Metaphor, Alliteration; Human Condition, Reflection; Wit; No; Relationships, Alienation; Caesura; Fragmented; Modernist; No
78;"""Morning at the Window"""; T.S. Eliot; High; Present; 2; Society, Loneliness; Perception, Change; Metaphor, Alliteration; Human Condition, Reflection; Melancholy; Yes; Society, Loneliness; Caesura; Fragmented; Modernist; No
79;"""Prufrock's Pervigilation"""; T.S. Eliot; High; Absent; 5; Society, Alienation; Perception, Reflection; Metaphor, Alliteration; Human Condition, Existence; Narrative; No; Society, Alienation; Caesura; Doubt; Modernist; No</s>
80;" ""The Waste Land"""; T.S. Eliot; High; Absent; 9; Desolation, Hope; Civilization, Culture; Metaphor, Alliteration; Human Condition, Reflection; Disillusionment; No; Civilization, Culture; Caesura; Fragmented; Modernist; No
81;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Absent; 10; Society, Alienation; Perception, Reflection; Metaphor, Alliteration; Human Condition, Existence; Longing; No; Society, Alienation; Caesura; Doubt; Modernist; No
82;"""La Figlia Che Piange"""; T.S. Eliot; High; Present; 3; Love, Loss; Memory, Time; Metaphor, Alliteration; Human Condition, Reflection; Melancholy; Yes; Love, Loss; Caesura; Fragmented; Modernist; No
83;"""Gerontion"""; T.S. Eliot; High; Absent; 4; Aging, Memory; Identity, Reflection; Metaphor, Alliteration; Human Condition, Existence; Regret; No; Aging, Memory; Caesura; Doubt; Modernist; No
84;"""Ash Wednesday"""; T.S. Eliot; High; Absent; 6; Faith, Spirituality; Self, Redemption; Metaphor, Alliteration; Human Condition, Reflection; Prayer; No; Faith, Spirituality; Caesura; Surrender; Modernist; No
85;"""The Hollow Men"""; T.S. Eliot; High; Absent; 7; Hope, Despair; Society, Fragmentation; Metaphor, Alliteration; Human Condition, Existence; Wasteland; No; Hope, Despair; Caesura; Fragmented; Modernist; No
86;"""Sweeney Among the Nightingales"""; T.S. Eliot; High; Absent; 4; Violence, Alienation; Society, Mythology; Metaphor, Alliteration; Human Condition, Existence; Grotesque; No; Violence, Alienation; Caesura; Fragmented; Modernist; No
87;"""Animula"""; T.S. Eliot; High; Absent; 1; Soul, Mortality; Memory, Death; Metaphor, Alliteration; Human Condition, Reflection; Elegy; No; Soul, Mortality; Caesura; Surrender; Modernist; No
88;"""Journey of the Magi"""; T.S. Eliot; High; Absent; 3; Faith, Quest; Time, Transformation; Metaphor, Alliteration; Human Condition, Reflection; Spirituality; No; Faith, Quest; Caesura; Surrender; Modernist; No
89;"""Mr. Eliot's Sunday Morning Service"""; T.S. Eliot; High; Present; 2; Church, Society; Belief, Ritual; Metaphor, Alliteration; Human Condition, Reflection; Irony; Yes; Church, Society; Caesura; Fragmented; Modernist; No</s>
90;" ""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Absent; 4; Love, Time; Isolation, Self; Metaphor, Alliteration; Human Condition, Reflection; Melancholy; No; Love, Time; Caesura; Fragmented; Modernist; No
91;"""The Waste Land"""; T.S. Eliot; High; Absent; Irregular; Loss, Civilization; Despair, Redemption; Metaphor, Alliteration; Human Condition, Reflection; Fragmentation; No; Loss, Civilization; Caesura; Surrender; Modernist; Yes
92;"""Preludes"""; T.S. Eliot; High; Present; 4; City, Perception; Dawn, Decay; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; City, Perception; Caesura; Fragmented; Modernist; No
93;"""Ash Wednesday"""; T.S. Eliot; High; Absent; 6; Prayer, Renunciation; Faith, Doubt; Metaphor, Alliteration; Spirituality, Penitence; Redemption; No; Prayer, Renunciation; Caesura; Surrender; Modernist; No
94;"""The Hollow Men"""; T.S. Eliot; High; Absent; 5; Hope, Despair; Wasteland, Afterlife; Metaphor, Alliteration; Human Condition, Reflection; Loss; No; Hope, Despair; Caesura; Fragmented; Modernist; No
95;"""Gerontion"""; T.S. Eliot; High; Absent; 1; Age, Identity; Memory, Loss; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Age, Identity; Caesura; Fragmented; Modernist; No
96;"""Triumphal March"""; T.S. Eliot; High; Absent; 2; War, Ruin; Power, Futility; Metaphor, Alliteration; Human Condition, Reflection; Aftermath; No; War, Ruin; Caesura; Surrender; Modernist; No
97;"""Animula Vagula Blandula"""; T.S. Eliot; High; Absent; 1; Soul, Childhood; Mortality, Memory; Metaphor, Alliteration; Human Condition, Reflection; Elegy; No; Soul, Childhood; Caesura; Surrender; Modernist; No
98;"""Sweeney Among the Nightingales"""; T.S. Eliot; High; Absent; 3; Violence, Civilization; Isolation, Carnality; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Violence, Civilization; Caesura; Fragmented; Modernist; No
99;"""Morning at the Window"""; T.S. Eliot; High; Present; 1; City, Perception; Loneliness, Routine; Metaphor, Alliteration; Human Condition, Reflection; Modernity; Yes; City, Perception; Caesura; Fragmented; Modernist; No</s>
100;" ""Whispers of Immortality"""; T.S. Eliot; High; Present; 3; Death, Beauty; Transience, Desire; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Death, Beauty; Caesura; Longing; Modernist; No
101;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; High; Present; Variable; Time, Self; Indecision, Alienation; Metaphor, Alliteration; Human Condition, Reflection; Modernity; Yes; Time, Self; Caesura; Fragmented; Modernist; No
102;"""Preludes"""; T.S. Eliot; High; Present; 4; City, Perception; Dusk, Decay; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; City, Perception; Caesura; Fragmented; Modernist; No
103;"""Rhapsody on a Windy Night"""; T.S. Eliot; High; Present; 6; Time, Perception; Decay, Memory; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Time, Perception; Caesura; Fragmented; Modernist; No
104;"""Portrait of a Lady"""; T.S. Eliot; High; Present; 4; Society, Desire; Regret, Loneliness; Metaphor, Alliteration; Human Condition, Reflection; Modernity; Yes; Society, Desire; Caesura; Longing; Modernist; No
105;"""The Waste Land"""; T.S. Eliot; High; Absent; Variable; Civilization, Death; Despair, Redemption; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Civilization, Death; Caesura; Fragmented; Modernist; Yes
106;"""A Cooking Egg"""; T.S. Eliot; High; Present; 3; Society, Perception; Alienation, Despair; Metaphor, Alliteration; Human Condition, Reflection; Modernity; Yes; Society, Perception; Caesura; Longing; Modernist; No
107;"""Sweeney Erect"""; T.S. Eliot; High; Absent; 4; Violence, Civilization; Sexuality, Alienation; Metaphor, Alliteration; Human Condition, Reflection; Modernity; No; Violence, Civilization; Caesura; Fragmented; Modernist; No
108;"""Ash Wednesday"""; T.S. Eliot; High; Present; Variable; Faith, Mortality; Redemption, Penitence; Metaphor, Alliteration; Spirituality; Modernist; No; Faith, Mortality; Caesura; Longing; Modernist; No
109;"""Mr. Apollinax"""; T.S. Eliot; High; Absent; 3; Society, Perception; Absurdity, Alienation; Metaphor, Alliteration; Human Condition, Reflection; Modernity; Yes; Society, Perception; Caesura; Fragmented; Modernist; No</s>
