;Artist Name;Art Form;Year of Birth;Place of Birth;Known For;Started Career;Popular Works;Awards;Total Awards;Active
36;Frida Kahlo;Painter;1907;Coyoacán, Mexico;Mexican Art, Surrealism;1922;The Two Fridas, Self-Portrait with Thorn Necklace and Hummingbird, Diego on My Mind;No formal awards;0;No
37;Frank Lloyd Wright;Architect, Interior Designer;1867;Richland Center, Wisconsin, USA;Organic Architecture;1887;Fallingwater, Taliesin West, Solomon R. Guggenheim Museum;American Institute of Architects Gold Medal;9;No
38;Leonardo da Vinci;Polymath;1452;Vinci, Italy;Painting, Sculpture, Architecture, Science, Music, Mathematics, Engineering, Literature, Anatomy;1460s;The Last Supper, Mona Lisa;No formal awards;0;No
39;Wolfgang Amadeus Mozart;Composer, Pianist;1756;Salzburg, Austria;Classical Music;1761;Symphony No. 40, The Marriage of Figaro, Eine kleine Nachtmusik;No formal awards;0;No
40; Vincent Van Gogh;Post-Impressionist Painter;1853;Zundert, Netherlands;Painting;1869;Starry Night, Sunflowers, The Yellow House;None;0;No
41;Pablo Picasso;Painter, Sculptor, Printmaker;1881;Malaga, Spain;Cubism;1895;Guernica, Les Demoiselles d'Avignon;None;0;No
42;Georg Friedrich Handel;Composer;1685;Halle, Germany;Opera, Oratorio, Concerto Grosso;1703;Messiah, Water Music, Music for the Royal Fireworks;None;0;No
43;Michelangelo Buonarroti;Sculptor, Painter, Architect;1475;Caprese, Italy;Renaissance Art;1488;David, Sistine Chapel Ceiling;None;0;No
44;Johann Sebastian Bach;Composer, Organist;1685;Eisenach, Germany;Baroque Music;1703;Brandenburg Concertos, Mass in B Minor;None;0;No
45;Ludwig van Beethoven;Composer, Pianist;1770;Bonn, Germany;Symphony, Sonata, String Quartet;1787;Symphony No. 9, Moonlight Sonata, Für Elise;None;0;No
46;Jane Austen;Novelist;1775;Steventon, England;Romance, Realism;1800s;Pride and Prejudice, Sense and Sensibility;None;0;No
47;William Shakespeare;Playwright, Poet;1564;Stratford-upon-Avon, England;Drama, Poetry;1580s;Romeo and Juliet, Hamlet, Macbeth;None;0;No
48;Marie Curie;Physicist, Chemist;1867;Warsaw, Poland;Radioactivity;1891;Discovery of Polonium and Radium, Nobel Prizes in Physics and Chemistry;Two Nobel Prizes;2;No
49;Albert Einstein;Theoretical Physicist;1879;Ulm, Germany;Theory of Relativity;1901;Special and General Theory of Relativity, Nobel Prize in Physics;Nobel Prize;1;No</s>
50; Molly Bloom;Novelist, Literary Personage;1880;Dublin, Ireland;Ulysses Character;1904;James Joyce's Ulysses;None;0;No
51;Virginia Woolf;Novelist, Essayist;1882;London, England;Modernist Literature;1900;Mrs Dalloway, To the Lighthouse;Three Literary Prizes;3;No
52;Zora Neale Hurston;Anthropologist, Novelist;1891;Notasulga, Alabama, USA;African-American Culture;1920s;Their Eyes Were Watching God;Anisfield-Wolf Book Award;1;Yes
53;Diego Rivera;Muralist, Painter;1886;Guanajuato, Mexico;Frescoes;1907;Detroit Industry Murals, Mexican Culture Murals;National Prize of Arts;1;Yes
54;Katherine Dunham;Dancer, Choreographer;1909;Chicago, Illinois, USA;African-American Dance;1930s;Bal Negre, Capezio Dance Award;Numerous Awards;10+;Yes
55;Langston Hughes;Poet, Playwright;1902;Joplin, Missouri, USA;Jazz Poetry;1920s;The Weary Blues, Montage of a Dream Deferred;NAACP Image Award;1;Yes
56;Frida Kahlo;Painter, Political Activist;1907;Coyoacán, Mexico;Self-Portraits;1920s;The Two Fridas, Long Live Life;Honorary Degrees;2;Yes
57;Miles Davis;Jazz Musician, Bandleader;1926;Alton, Illinois, USA;Jazz Trumpet, Cool Jazz;1940s;Birth of the Cool, Sketches of Spain;Grammy Awards;9;Yes
58;Anaïs Nin;Diarist, Essayist;1903;Neuilly-sur-Seine, France;Erotic Literature;1930s;Delta of Venus, Little Birds;No;0;Yes
59;Pablo Picasso;Painter, Sculptor;1881;Málaga, Spain;Cubism;1890s;Guernica, Three Musicians;Honorary Degrees;6;No</s>
60; Maria Callas;Opera Singer;1923;New York City, New York, USA;Opera, Classical Music;1941;Norma, Madama Butterfly;Grammy Awards, Italian Government Award;5;Yes
61;Toni Morrison;Novelist, Professor;1931;Lorain, Ohio, USA;African-American Literature;1950s;Beloved, Song of Solomon;Nobel Prize in Literature, Pulitzer Prize for Fiction;12;Yes
62;Frank Lloyd Wright;Architect, Writer;1867;Richland Center, Wisconsin, USA;Organic Architecture;1880s;Fallingwater, Guggenheim Museum;American Institute of Architects Gold Medal, Presidential Medal of Freedom;7;No
63;David Bowie;Singer-songwriter, Actor;1947;Brixton, London, England;Glam Rock, Art Rock;1960s;Ziggy Stardust, Blackstar;Grammy Awards, Brit Awards;11;No
64;Martha Graham;Dancer, Choreographer;1894;Allegheny County, Pennsylvania, USA;Modern Dance;1910s;Appalachian Spring, Clytemnestra;Dance Magazine Award, National Medal of Arts;14;No
65;George Balanchine;Choreographer, Co-founder of New York City Ballet;1904;Saint Petersburg, Russia;Ballet;1920s;Jewels, Serenade;Kennedy Center Honors, Order of Saint Andrew;15;No
66;J.R.R. Tolkien;Writer, Philologist;1892;Bloemfontein, South Africa;High Fantasy, Linguistics;1910s;The Lord of the Rings, The Hobbit;Commander of the Order of the British Empire, Bodley Medal;4;No
67;Yo-Yo Ma;Cellist;1955;Paris, France;Classical Music;1960;Silk Road Project, The Goat Rodeo Sessions;Grammy Awards, National Medal of Arts;18;Yes
68;Pelé;Footballer, Actor;1940;Três Corações, Minas Gerais, Brazil;Football (Soccer);1950s;Santos, New York Cosmos;FIFA Player of the Century, Ballon d'Or;5;No
69;Agatha Christie;Writer;1890;Torquay, Devon, England;Crime Fiction;1920s;Murder on the Orient Express, Miss Marple;Dame Commander of the Order of the British Empire, Edgar Award;7;No</s>
70; Mstislav Rostropovich;Cellist;1927;Baku, Azerbaijan SSR;Classical Music;1940;Bach Cello Suites;Grammy Lifetime Achievement Award, Presidential Medal of Freedom;6;No
71;Maria Callas;Opera Singer;1923;New York City, New York, USA;Opera;1941;Norma, Tosca;Grammy Lifetime Achievement Award, Kennedy Center Honors;5;No
72;Charlie Parker;Jazz Musician;1920;Kansas City, Kansas, USA;Jazz;1930s;Ornithology, Anthropology;Grammy Lifetime Achievement Award, NEA Jazz Masters Award;6;No
73;Virginia Woolf;Writer;1882;South Kensington, London, England;Modernist Literature;1900;Mrs. Dalloway, To the Lighthouse;Dame Commander of the Order of the British Empire, Feminine PEN Award;4;No
74;Pablo Picasso;Painter, Sculptor;1881;Málaga, Spain;Cubism;1887;Guernica, Les Demoiselles d'Avignon;Medal of Freedom, Lenin Peace Prize;8;No
75;George Balanchine;Choreographer;1904;Saint Petersburg, Russia;Ballet;1920s;Serenade, Jewels;Kennedy Center Honors, Order of Merit of the Italian Republic;7;No
76;Katharine Hepburn;Actress;1907;Hartford, Connecticut, USA;Theatre, Film;1920s;The Philadelphia Story, Guess Who's Coming to Dinner;Academy Award for Best Actress, Cecil B. DeMille Award;4;No
77;Igor Stravinsky;Composer;1882;Oranienbaum, Russia;Classical Music;1900;The Rite of Spring, The Firebird;Gold Medal of the Royal Philharmonic Society, Order of Saint Michael and Saint George;9;No
78;Luciano Pavarotti;Opera Singer;1935;Modena, Italy;Opera;1961;Nessun Dorma, La Bohème;Kennedy Center Honors, Grammy Legend Award;6;No
79;Simone de Beauvoir;Philosopher, Writer;1908;Paris, France;Existentialism;1929;The Second Sex, Memoirs of a Dutiful Daughter;Grand Officer of the Légion d'honneur, Médaille de la Ville de Paris;7;No</s>
80; Maria Callas;Opera Singer;1923;New York City, USA;Opera;1941;Norma, Madama Butterfly;Grammy Lifetime Achievement Award, National Medal of Arts;5;No
81;Twyla Tharp;Choreographer;1941;Portland, Indiana, USA;Dance;1963;Movin' Out, In the Upper Room;John F. Kennedy Center Honors, Tony Award for Best Choreography;19;Yes
82;Philip Glass;Composer;1937;Baltimore, Maryland, USA;Opera, Film Scores;1964;Einstein on the Beach, Koyaanisqatsi;Nixon Award, Golden Globe Award for Best Original Score;4;Yes
83;Pina Bausch;Dancer, Choreographer;1940;Solingen, Germany; Dance;1958;Café Müller, The Rite of Spring;German Dance Prize, Europe Theatre Prize;11;Yes
84;Jessye Norman;Opera Singer;1945;Augusta, Georgia, USA;Opera, Spirituals;1968;La Wally, Porgy and Bess;National Medal of Arts, Grammy Lifetime Achievement Award;5;No
85;Samuel Beckett;Playwright, Novelist;1906;Dublin, Ireland;Theatre of the Absurd;1929;Waiting for Godot, Endgame;Nobel Prize in Literature, Croix de guerre;2;No
86;George Balanchine;Choreographer;1904;Saint Petersburg, Russia;Ballet;1919;Serenade, Jewels;Kennedy Center Honors, Order of Merit of the Italian Republic;9;No
87;Coco Chanel;Fashion Designer, Businesswoman;1883;Saumur, France;Fashion;1910;Chanel Suit, Chanel No. 5;Chevalier of the Légion d'honneur, Ordre des Arts et des Lettres;3;No
88;Jean-Paul Sartre;Philosopher, Playwright, Novelist;1905;Paris, France;Existentialism;1924;No Exit, Being and Nothingness;Nobel Prize in Literature, The International Publishers Prize;4;No
89;Truman Capote;Author, Screenwriter;1924;New Orleans, Louisiana, USA;Literary Journalism;1939;Breakfast at Tiffany's, In Cold Blood;O. Henry Award, Edgar Allan Poe Award;3;No</s>
90; Twyla Tharp;Choreographer, Dancer;1941;Portland, Indiana, USA;Dance;1963;Deuce Coupe, Movin' Out;Emmy Award, Tony Award;5;Yes
91;Pina Bausch;Dancer, Choreographer;1940;Solingen, Germany;Contemporary Dance;1962;The Rite of Spring, Café Müller;Bessie Award, International Theater Institute Award;6;Yes
92;Yayoi Kusama;Artist, Writer;1929;Matsumoto, Japan;Contemporary Art;1957;Infinity Nets, Accumulation;P praemium Imperiale, National Medal of Arts;9;Yes
93;Merce Cunningham;Dancer, Choreographer;1919;Centralia, Washington, USA;Modern Dance;1939;Summerspace, RainForest;MacArthur Fellowship, Kennedy Center Honors;8;No
94;Pablo Picasso;Painter, Sculptor;1881;Málaga, Spain;Fine Art;1894;Guernica, Les Demoiselles d'Avignon;Nobel Prize in Literature nomination, Order of Cultural Merit;35;No
95;T.S. Eliot;Poet, Playwright;1888;St. Louis, Missouri, USA;Literature;1915;The Waste Land, Murder in the Cathedral;Nobel Prize in Literature, Companion of Honour;9;No
96;Frida Kahlo;Painter;1907;Coyoacán, Mexico;Fine Art;1925;The Two Fridas, Self-Portrait with Thorn Necklace and Hummingbird;Mexican Order of the Aztec Eagle, National Prize for Arts and Sciences;9;No
97;Orson Welles;Actor, Director;1915;Kenosha, Wisconsin, USA;Theater, Film;1931;Citizen Kane, War of the Worlds;Academy Award, Golden Globe;4;No
98;Philip Glass;Composer;1937;Baltimore, Maryland, USA;Classical Music;1956;Einstein on the Beach, Akhnaten;Nixon Goodman Award, National Medal of Arts;14;Yes
99;Martha Graham;Dancer, Choreographer;1894;Allegheny County, Pennsylvania, USA;Modern Dance;1916;Appalachian Spring, Clytemnestra;Kennedy Center Honors, National Medal of Arts;21;No</s>
100; Pina Bausch;Dancer, Choreographer;1940;Solingen, Germany;Tanztheater;1962;Café Müller, The Rite of Spring;German Dance Prize, Europe Theatre Prize;25;Yes
101;Alvin Ailey;Dancer, Choreographer;1931;Rogers, Texas, USA;Modern Dance;1954;Revelations, Blues Suite;Spingarn Medal, Kennedy Center Honors;12;No
102;Louise Bourgeois;Sculptor, Performance Artist;1911;Paris, France;Installation Art, Sculpture;1938;Maman, The Spider;National Medal of Arts, Golden Lion;19;No
103;Merce Cunningham;Dancer, Choreographer;1919;Centralia, Washington, USA;Modern Dance;1942;Summerspace, RainForest;MacArthur Fellowship, Distinguished Artist Award;13;No
104;Yvonne Rainer;Dancer, Choreographer;1934;San Francisco, California, USA;Postmodern Dance;1960;Trio A, Continuous Project Altered Daily;Bessie Award, Yoko Ono Lennon Prize;15;No
105;Trisha Brown;Dancer, Choreographer;1936;Aberdeen, Washington, USA;Postmodern Dance;1960;Glacial Decoy, Set and Reset;Bessie Award, MacArthur Fellowship;16;No
106;Bob Fosse;Dancer, Choreographer;1927;Chicago, Illinois, USA;Theater, Film;1940;Chicago, Cabaret;Emmy Award, Tony Award;6;No
107;Laurie Anderson;Experimental Performance Artist;1947;Chicago, Illinois, USA;Multimedia Performance;1969;United States, Homeland;MacArthur Fellowship, Dorothy and Lillian Gish Prize;8;Yes
108;Kazuo Ohno;Butoh Dancer;1906;Hokkaido, Japan;Butoh;1929;Admiring La Argentina, Water Lilies;Konrad Adenauer Cultural Prize, Praemium Imperiale;10;No
109;Meredith Monk;Experimental Composer, Performance Artist;1942;New York, New York, USA;Extended Vocal Technique, Multimedia Performance;1964;Dolmen Music, Book of Days;MacArthur Fellowship, Dorothy and Lillian Gish Prize;12;Yes</s>
