;"""Country Name""";"""Continent""";"""Area (km2)""";"""Population""";"""Population Density""";"""Capital""";"""Latitude""";"""Longitude""";"""Climate""";"""Terrain""";"""Highest Point""";"""Major Rivers""";"""Major Lakes""";"""Official Language(s)""";"""Internet TLD"""
16;"""Mexico""";"""North America""";"""1964375""";"""128932753""";"""65.72""";"""Mexico City""";"""19.4326""";"""-99.1332""";"""Tropical";" Temperate""";"""Plains";" Mountains""";"""Citlaltépetl (5636 m)""";"""Rio Grande";" Bravo"" ""Chapala  Lake Catemaco"" ""Spanish"" "".mx"""
17;"""Saudi Arabia""";"""Asia""";"""2149690""";"""33503298""";"""15.62""";"""Riyadh""";"""24.6367""";"""46.7101""";"""Desert";" Arid""";"""Plains""";"""Jabal Sawda (3133 m)""";"""Tigris";" Euphrates""";"""None"" ""Arabic"" "".sa"""
18;"""South Africa""";"""Africa""";"""1221037""";"""57725302""";"""47.25""";"""Pretoria""";"""-25.7464""";"""28.1876""";"""Desert";" Mediterranean""";"""Plains";" Mountains""";"""Njesuthi (3408 m)""";"""Limpopo";" Orange"" ""Lake Malawi  Lake Tanganyika"" ""Afrikaans  English  Zulu"" "".za"""
19;"""Kazakhstan""";"""Asia""";"""2724900""";"""18549799""";"""6.81""";"""Nur-Sultan""";"""51.1657""";"""71.4167""";"""Continental";" Arid""";"""Plains";" Mountains""";"""Khan Tengri (7010 m)""";"""Ural";" Syr Darya"" ""Lake Balkhash  Aral"" ""Kazakh"" "".kz""</s>"
20;" ""South Africa""";"""Africa""";"""1221037""";"""59308692""";"""48.56""";"""Pretoria""";"""-25.7464""";"""28.1876""";"""Desert";" Mediterranean""";"""Plateaus";" Mountains""";"""Njesutta (3408 m)""";"""Limpopo";" Orange"" ""None"" ""Afrikaans, English, Zulu, Xhosa, Southern Sotho, Tswana, Tsonga, Swazi, Venda, Ndebele, Southern Sotho, Swiss German, German"" "".za"""
22;"""Indonesia""";"""Asia""";"""1904569""";"""267026324""";"""140.22""";"""Jakarta""";"""-6.2146""";"""106.8452""";"""Tropical""";"""Archipelago""";"""Puncak Jaya (4884 m)""";"""Borneo";" Amazon""";"""Lake Toba";" Lake Cowan"" ""Indonesian"" "".id"""
23;"""Bangladesh""";"""Asia""";"""147570""";"""161376708""";"""1092.54""";"""Dhaka""";"""23.6850""";"""90.3563""";"""Tropical""";"""Plains";" Delta""";"""Trekhan (3177 m)""";"""Ganges";" Brahmaputra""";"""None"" ""Bengali"" "".bd"""
24;"""Pakistan""";"""Asia""";"""881913""";"""212218818""";"""241.03""";"""Islamabad""";"""33.6844""";"""73.0479""";"""Arid";" Continental""";"""Mountains";" Plains""";"""K2 (8611 m)""";"""Indus""";"""Manchar  Keenjhar"" ""Urdu, English"" "".pk"""
27;"""Philippines""";"""Asia""";"""300000""";"""106513029""";"""355.02""";"""Manila""";"""14.5995""";"""120.9842""";"""Tropical";" Marine""";"""Archipelago""";"""Apo (2954 m)""";"""Pasig";" Agno""";"""Lake Lanao"" ""Filipino, English"" "".ph"""
29;"""Germany""";"""Europe""";"""357022""";"""82111329""";"""230.26""";"""Berlin""";"""52.5200""";"""13.3889""";"""Temperate";" Marine""";"""Plains";" Mountains""";"""Zugspitze (2962 m)""";"""Rhine""";"""Bodensee"" ""German"" "".de"""
31;"""Iran""";"""Asia""";"""1648195""";"""83992403""";"""50.95""";"""Tehran""";"""35.6892""";"""51.3889""";"""Arid";" Semi-arid""";"""Desert";" Mountains""";"""Damavand (5610 m)""";"""Karun";" Aras"" ""Urmia"" ""Persian"" "".ir"""
32;"""Turkey""";"""Europe/Asia""";"""780580""";"""81311471""";"""103.93""";"""Ankara""";"""39.9272""";"""32.8642""";"""Mediterranean";" Continental""";"""Plains";" Mountains""";"""Ararat (5165 m)""";"""Euphrates";" Tigris"" ""Van  Tuz"" ""Turkish"" "".tr"""
33;"""Thailand""";"""Asia""";"""513120""";"""69484442""";"""135.47""";"""Bangkok""";"""13.7642""";"""100.4982""";"""Tropical""";"""Plains";" Mountains""";"""Doi Inthanon (2565 m)""";"""Chao Phraya";" Mekong""";"""Songkhla"" ""Thai"" "".th"""
34;"""Congo""";"""Africa""";"""3420000""";"""85037079""";"""25.15""";"""Brazzaville""";"""4.2579""";"""15.2880""";"""Tropical""";"""Plains";" Mountains""";"""Chamarica (3470 m)""";"""Congo";" Ubangi""";"""Tumba  Malebo"" ""French, Lingala"" "".cg"""
35;"""South Korea""";"""Asia""";"""99720""";"""51269185""";"""513.94""";"""Seoul""";"""37.5703""";"""126.9778""";"""Temperate""";"""Mountains";" Hills""";"""Hallasan (1950 m)""";"""Han""";"""None""";"""Korean"" "".kr"""
36;"""Colombia""";"""South America""";"""1141748""";"""50165244""";"""43.97""";"""Bogota""";"""4.5709""";"""-74.2973""";"""Tropical""";"""Mountains";" Plains""";"""Cristobal Colon (5775 m)""";"""Magdelena";" Cauca""";"""Tota  Herrera"" ""Spanish"" "".co"""
37;"""Italy""";"""Europe""";"""301340""";"""60309756""";"""200.16""";"""Rome""";"""41.8955""";"""12.4828""";"""Mediterranean";" Alpine""";"""Plains";" Mountains""";"""Monte Bianco (4808 m)""";"""Po""";"""Garda  Como"" ""Italian"" "".it"""
38;"""Spain""";"""Europe""";"""504782""";"""46754778""";"""92.63""";"""Madrid""";"""40.4167""";"""-3.6834""";"""Mediterranean";" Continental""";"""Plains";" Mountains""";"""Teide (3715 m)""";"""Ebro""";"""Lake Sanabria"" ""Spanish"" "".es""</s>"
39;" ""Japan""";"""Asia""";"""377973""";"""126261992""";"""334.44""";"""Tokyo""";"""35.6895""";"""139.6917""";"""Humid Continental";" Humid Subtropical""";"""Mountains";" Plains""";"""Fuji (3776 m)""";"""Shinano";" Tone"" ""Biwa  Saroma"" ""Japanese"" "".jp"""
40;"""Italy""";"""Europe""";"""301340""";"""60319373""";"""200.19""";"""Rome""";"""41.9028""";"""12.4522""";"""Mediterranean""";"""Mountains";" Plains""";"""Etna (3357 m)""";"""Po";" Tiber""";"""Lake Garda  Lake Como"" ""Italian"" "".it"""
41;"""Spain""";"""Europe""";"""505992""";"""47190474""";"""93.22""";"""Madrid""";"""40.4168""";"""-3.7038""";"""Mediterranean";" Oceanic""";"""Mountains";" Plains""";"""Teide (3718 m)""";"""Ebro";" Tagus"" ""Lake Sanabria  Lake Victoria"" ""Spanish"" "".es"""
42;"""Nigeria""";"""Africa""";"""923768""";"""200963453""";"""215.96""";"""Abuja""";"""9.0819""";"""7.4974""";"""Tropical";" Sahel""";"""Plains";" Mountains""";"""Chappal Waddi (2419 m)""";"""Niger";" Benue"" ""Chad  Lagos"" ""English, Hausa, Yoruba, Igbo"" "".ng"""
43;"""Colombia""";"""South America""";"""1141748""";"""49605589""";"""43.44""";"""Bogota""";"""4.6097""";"""-74.0818""";"""Tropical""";"""Mountains";" Plains""";"""Pico Cristobal Colon (5775 m)""";"""Magdalena";" Cauca""";"""Titicaca  Herrera"" ""Spanish"" "".co"""
44;"""Argentina""";"""South America""";"""2780400""";"""44688599""";"""16.09""";"""Buenos Aires""";"""-34.6037""";"""-58.3816""";"""Temperate";" Subantarctic""";"""Plains";" Mountains""";"""Aconcagua (6960 m)""";"""Parana";" Uruguay"" ""Argentino  Viedma"" ""Spanish"" "".ar"""
45;"""Morocco""";"""Africa""";"""446550""";"""35740219""";"""79.08""";"""Rabat""";"""33.9854""";"""-6.8653""";"""Mediterranean";" Arid""";"""Mountains";" Plains""";"""Jebel Toubkal (4165 m)""";"""Sebou";" Moulouya"" ""None"" ""Arabic"" "".ma"""
46;"""Peru""";"""South America""";"""1285216""";"""32209450""";"""25.00""";"""Lima""";"""-12.0464""";"""-77.0428""";"""Desert";" Tropical""";"""Mountains";" Plains""";"""Huascaran (6768 m)""";"""Amazon";" Maranon"" ""Titicaca"" ""Spanish"" "".pe"""
47;"""Iraq""";"""Asia""";"""437072""";"""40222503""";"""92.04""";"""Baghdad""";"""33.3161""";"""44.3854""";"""Arid";" Semi-arid""";"""Mountains";" Plains""";"""Kurdistan (3312 m)""";"""Tigris";" Euphrates"" ""None"" ""Arabic"" "".iq"""
48;"""Sudan""";"""Africa""";"""1861484""";"""41679971""";"""22.40""";"""Khartoum""";"""15.5937""";"""32.5328""";"""Desert";" Tropical""";"""Plains";" Mountains""";"""Kinyeti (3187 m)""";"""Nile""";"""None"" ""Arabic"" "".sd""</s>"
49;" ""Mexico""";"""North America""";"""1964375""";"""128932753""";"""65.72""";"""Mexico City""";"""19.4326""";"""-99.1332""";"""Temperate"; Arid;" Tropical""";"""Plains";" Mountains""";"""Citlaltépetl (5636 m)""";"""Rio Grande  Bravo  Grijalva"" ""Chapala  Cuitzeo"" ""Spanish"" "".mx"""
50;"""Peru""";"""South America""";"""1285216""";"""32971846""";"""25.68""";"""Lima""";"""-12.0464""";"""-77.0428""";"""Desert";" Tropical""";"""Plains";" Mountains""";"""Huascarán (6768 m)""";"""Amazon";" Ucayali  Mantaro"" ""Titicaca  Junín"" ""Spanish"" "".pe"""
51;"""Iraq""";"""Asia""";"""438317""";"""40222503""";"""91.80""";"""Baghdad""";"""33.3161""";"""44.3874""";"""Arid";" Semi-arid""";"""Plains";" Mountains""";"""Cheekha Dar (3611 m)""";"""Tigris";" Euphrates  Diyala"" ""None"" ""Arabic"" "".iq"""
52;"""Myanmar""";"""Asia""";"""676578""";"""53717000""";"""79.34""";"""Naypyidaw""";"""19.7535""";"""96.0839""";"""Tropical";" Subtropical""";"""Plains";" Mountains""";"""Hkakabo Razi (5881 m)""";"""Irrawaddy";" Salween  Chindwin"" ""Indawgyi  Inle"" ""Burmese"" "".mm"""
53;"""Ukraine""";"""Europe""";"""603628""";"""43733762""";"""72.40""";"""Kyiv""";"""50.4500""";"""30.5234""";"""Temperate";" Continental""";"""Plains";" Mountains""";"""Hoverla (2061 m)""";"""Dnieper";" Southern Buh  Danube"" ""None"" ""Ukrainian"" "".ua"""
54;"""South Sudan""";"""Africa""";"""644329""";"""11193729""";"""17.38""";"""Juba""";"""4.8409""";"""31.5567""";"""Tropical""";"""Plains";" Mountains""";"""Kinyeti (3187 m)""";"""Nile""";"""None""";"""English"" "".ss"""
55;"""Sudan""";"""Africa""";"""1861484""";"""41567683""";"""22.35""";"""Khartoum""";"""15.5903""";"""32.5331""";"""Tropical";" Semi-arid""";"""Plains";" Mountains""";"""Kinyeti (3187 m)""";"""Nile";" Atbara  Blue Nile"" ""None"" ""Arabic"" "".sd"""
56;"""Afghanistan""";"""Asia""";"""652230""";"""37905218""";"""58.13""";"""Kabul""";"""34.5228""";"""69.1761""";"""Arid";" Semi-arid""";"""Mountainous";" Plains""";"""Nowshak (7492 m)""";"""Amu Darya";" Helmand"" ""None"" ""Pashto, Uzbek,Turkmen"" "".af"""
57;"""Việt Nam""";"""Asia""";"""331212""";"""96491147""";"""289.42""";"""Hanoi""";"""21.0284""";"""105.8341""";"""Tropical""";"""Plains";" Mountains""";"""Fan Si Pan (3143 m)""";"""Mekong"; Red;" Ma"" ""Tonlé Sap  Ho Tay"" ""Vietnamese"" "".vn"""
58;"""Philippines""";"""Asia""";"""300000""";"""106215142""";"""355.02""";"""Manila""";"""14.5995""";"""120.9842""";"""Tropical";" Marine""";"""Archipelago""";"""Apo (2954 m)""";"""Pasig";" Agno""";"""Lake Lanao"" ""Filipino, English"" "".ph""</s>"
59;" ""Venezuela""";"""South America""";"""912050""";"""28435943""";"""31.14""";"""Caracas""";"""10.4804""";"""-66.8793""";"""Tropical"; Arid;" Savanna""";"""Plains";" Mountains""";"""Pico Bolivar (4978 m)""";"""Orinoco  Amazon"" ""Maracaibo  Valencia"" ""Spanish"" "".ve"""
60;"""Chile""";"""South America""";"""756950""";"""18579093""";"""24.57""";"""Santiago""";"""-33.4489""";"""-70.6693""";"""Desert"; Mediterranean;" Alpine""";"""Plains";" Mountains""";"""Ojos del Salado (6891 m)""";"""Loa  Bio Bio"" ""Chungaro  Llanquihue"" ""Spanish"" "".cl"""
61;"""Somalia""";"""Africa""";"""637657""";"""15423142""";"""24.23""";"""Mogadishu""";"""2.0242""";"""45.3235""";"""Arid";" Semi-arid""";"""Plains";" Desert""";"""Surud Ad (2416 m)""";"""Juba";" Shebelle"" ""None"" ""Somali, Arabic"" "".so"""
62;"""Ethiopia""";"""Africa""";"""1127127""";"""110118644""";"""97.39""";"""Addis Ababa""";"""8.9649""";"""38.7469""";"""Tropical";" Semi-arid""";"""Plains";" Mountains""";"""Ras Dashen (4533 m)""";"""Blue Nile";" Tekeze  Awash"" ""Turkana  Tana"" ""Amharic"" "".et"""
63;"""Australia""";"""Australia""";"""7692024""";"""24879374""";"""3.23""";"""Canberra""";"""-35.2809""";"""149.1300""";"""Desert"; Mediterranean;" Temperate""";"""Plains";" Mountains""";"""Mount Kosciuszko (2228 m)""";"""Murray  Darling"" ""Eyre  Torrens"" ""English"" "".au"""
64;"""Tanzania""";"""Africa""";"""947303""";"""60449949""";"""63.73""";"""Dodoma""";"""-6.1625""";"""35.7383""";"""Tropical";" Savanna""";"""Plains";" Mountains""";"""Kilimanjaro (5895 m)""";"""Nile";" Congo"" ""Victoria  Tanganyika"" ""Swahili, English"" "".tz"""
65;"""Kenya""";"""Africa""";"""580367""";"""49696922""";"""85.45""";"""Nairobi""";"""-1.2833""";"""36.8167""";"""Tropical";" Arid""";"""Plains";" Mountains""";"""Kilimanjaro (5895 m)""";"""Nile";" Tana"" ""Victoria  Turkana"" ""Swahili, English"" "".ke"""
66;"""Libya""";"""Africa""";"""1759540""";"""68707887""";"""38.99""";"""Tripoli""";"""32.8954""";"""13.1815""";"""Arid";" Semi-arid""";"""Plains";" Desert""";"""Bikku Bitti (2267 m)""";"""None""";"""None"" ""Arabic"" "".ly"""
67;"""Algeria""";"""Africa""";"""2381741""";"""43254456""";"""18.14""";"""Algiers""";"""36.7529""";"""3.0612""";"""Arid";" Mediterranean""";"""Plains";" Atlas Mountains""";"""Tahat (3003 m)""";"""Chelif";" Tinherhir"" ""None"" ""Arabic"" "".dz"""
68;"""Nepal""";"""Asia""";"""147181""";"""29132707""";"""197.54""";"""Kathmandu""";"""27.7172""";"""85.3240""";"""Subtropical";" Alpine""";"""Mountains";" Plains""";"""Everest (8848 m)""";"""Ganges""";"""Rara  Tilicho"" ""Nepali"" "".np""</s>"
69;" ""Yemen""";"""Asia""";"""527968""";"""28254136""";"""53.51""";"""Sana'a""";"""15.3602""";"""44.1938""";"""Arid";" Semi-arid""";"""Mountains";" Plains""";"""Jabal an Nabi Shu'ayb (3666 m)""";"""Nile";" Red Sea"" ""None"" ""Arabic"" "".ye"""
70;"""Algeria""";"""Africa""";"""2381741""";"""43210497""";"""18.14""";"""Algiers""";"""36.7529""";"""3.0612""";"""Arid";" Mediterranean""";"""Plains";" Atlas Mountains""";"""Tahat (3003 m)""";"""Chelif";" Tinherhir"" ""None"" ""Arabic"" "".dz"""
71;"""Argentina""";"""South America""";"""2780400""";"""44665423""";"""16.05""";"""Buenos Aires""";"""-34.6037""";"""-58.3816""";"""Temperate";" Subantarctic""";"""Plains";" Mountains""";"""Aconcagua (6960 m)""";"""Parana";" Uruguay"" ""Argentino  Viedma"" ""Spanish"" "".ar"""
72;"""Australia""";"""Australia""";"""7692024""";"""25281417""";"""3.29""";"""Canberra""";"""-35.2809""";"""149.1300""";"""Desert"; Mediterranean;" Temperate""";"""Plains";" Mountains""";"""Mount Kosciuszko (2228 m)""";"""Murray  Darling"" ""Eyre  Torrens"" ""English"" "".au"""
73;"""Brazil""";"""South America""";"""8515767""";"""212559417""";"""25.01""";"""Brasilia""";"""-15.7801""";"""-47.9292""";"""Tropical";" Subtropical""";"""Mixed";" Amazon""";"""Pico da Neblina (3014 m)""";"""Amazon";" Parana"" ""Superior  Maracaibo"" ""Portuguese"" "".br"""
74;"""Canada""";"""North America""";"""9984670""";"""37050221""";"""3.72""";"""Ottawa""";"""51.5085""";"""-104.9700""";"""Arctic";" Continental""";"""Plains";" Mountains""";"""Mount Logan (5959 m)""";"""St. Lawrence";" Mackenzie"" ""Great Bear  Great Slave"" ""English, French"" "".ca"""
75;"""China""";"""Asia""";"""9596961""";"""1433588375""";"""149.62""";"""Beijing""";"""40.0582""";"""116.3883""";"""Temperate";" Tropical""";"""Plateaus";" Mountains""";"""Everest (8848 m)""";"""Yangtze";" Yellow"" ""Poyang  Qinghai"" ""Chinese"" "".cn"""
76;"""Egypt""";"""Africa""";"""1001450""";"""99043298""";"""98.94""";"""Cairo""";"""30.0444""";"""31.2357""";"""Desert";" Mediterranean""";"""Plains";" Delta""";"""Mount Catherine (2629 m)""";"""Nile""";"""None"" ""Arabic"" "".eg"""
77;"""France""";"""Europe""";"""643801""";"""65195052""";"""101.34""";"""Paris""";"""48.8566""";"""2.3522""";"""Temperate""";"""Plains";" Mountains""";"""Mont Blanc (4809 m)""";"""Loire";" Seine""";"""Lac Leman  Lac d'Annecy"" ""French"" "".fr"""
78;"""Germany""";"""Europe""";"""357022""";"""82852229""";"""233.23""";"""Berlin""";"""52.5200""";"""13.3889""";"""Temperate";" Marine""";"""Plains";" Mountains""";"""Zugspitze (2962 m)""";"""Rhine";" Elbe  Danube"" ""Bodensee"" ""German"" "".de"""
79;"""India""";"""Asia""";"""3287263""";"""1366417754""";"""415.91""";"""New Delhi""";"""28.6139""";"""77.2090""";"""Tropical";" Alpine""";"""Plains";" Mountains""";"""Kanchenjunga (8586 m)""";"""Ganges";" Indus"" ""Wular  Dal"" ""Hindi, English"" "".in"""
80;"""Indonesia""";"""Asia""";"""1904569""";"""269603400""";"""141.47""";"""Jakarta""";"""-6.2146""";"""106.8452""";"""Tropical""";"""Archipelago""";"""Puncak Jaya (4884 m)""";"""Borneo";" Amazon""";"""Lake Toba";" Lake Cowan"" ""Indonesian"" "".id"""
81;"""Italy""";"""Europe""";"""301340""";"""59232541""";"""194.09""";"""Rome""";"""41.9028""";"""12.4522""";"""Mediterranean""";"""Plains";" Mountains""";"""Etna (3357 m)""";"""Po";" Tiber""";"""Lake Garda  Lake Como"" ""Italian"" "".it"""
82;"""Japan""";"""Asia""";"""377973""";"""126690304""";"""339.87""";"""Tokyo""";"""35.6895""";"""139.6917""";"""Humid Continental";" Humid Subtropical""";"""Mountains";" Plains""";"""Fuji (3776 m)""";"""Shinano";" Tone"" ""Biwa  Saroma"" ""Japanese"" "".jp"""
83;"""Mexico""";"""North America""";"""1964375""";"""130759074""";"""66.34""";"""Mexico City""";"""19.4326""";"""-99.1332""";"""Temperate"; Arid;" Tropical""";"""Plains";" Mountains""";"""Citlaltépetl (5636 m)""";"""Rio Grande  Bravo  Grijalva"" ""Chapala  Cuitzeo"" ""Spanish"" "".mx"""
84;"""Nigeria""";"""Africa""";"""923768""";"""195874816""";"""211.72""";"""Abuja""";"""9.0819""";"""7.4974""";"""Tropical";" Sahel""";"""Plains";" Mountains""";"""Chappal Waddi (2419 m)""";"""Niger";" Benue"" ""Tumba  Lagos"" ""English, Hausa, Yoruba, Igbo"" "".ng"""
85;"""Peru""";"""South America""";"""1285216""";"""32958428""";"""25.58""";"""Lima""";"""-12.0464""";"""-77.0428""";"""Desert";" Tropical""";"""Plains";" Mountains""";"""Huascaran (6768 m)""";"""Amazon";" Ucayali  Mantaro"" ""Titicaca  Junín"" ""Spanish"" "".pe"""
86;"""Russia""";"""Europe/Asia""";"""17098242""";"""145663610""";"""8.52""";"""Moscow""";"""55.7558""";"""37.6176""";"""Arctic";" Continental""";"""Plains";" Mountains""";"""Elbrus (5642 m)""";"""Volga";" Ob"" ""Lake Baikal Caspian"" ""Russian"" "".ru"""
87;"""United States""";"""North America""";"""9629091""";"""331856466""";"""34.67""";"""Washington D.C.""";"""38.8951""";"""-77.0364""";"""Continental";" Arctic""";"""Plains";" Mountains""";"""Denali (6190 m)""";"""Mississippi";" Colorado"" ""Superior  Michigan"" ""English"" "".us""</s>"
88;" ""Afghanistan""";"""Asia""";"""652230""";"""37905218""";"""58.13""";"""Kabul""";"""34.5228""";"""69.1761""";"""Arid";" Semi-arid""";"""Mountainous";" Plains""";"""Nowshak (7492 m)""";"""Amu Darya";" Helmand"" ""None"" ""Pashto, Uzbek,Turkmen"" "".af"""
89;"""Russia""";"""Europe/Asia""";"""17098242""";"""145934462""";"""8.53""";"""Moscow""";"""55.7558""";"""37.6176""";"""Continental";" Arctic""";"""Plains";" Mountains""";"""Elbrus (5642 m)""";"""Volga";" Ob"" ""Lake Baikal  Caspian"" ""Russian"" "".ru"""
90;"""Japan""";"""Asia""";"""377973""";"""126261992""";"""334.44""";"""Tokyo""";"""35.6895""";"""139.6917""";"""Humid Continental";" Humid Subtropical""";"""Mountains";" Plains""";"""Fuji (3776 m)""";"""Shinano";" Tone"" ""Biwa  Saroma"" ""Japanese"" "".jp"""
91;"""Mexico""";"""North America""";"""1964375""";"""128932753""";"""65.72""";"""Mexico City""";"""19.4326""";"""-99.1332""";"""Temperate"; Arid;" Tropical""";"""Plains";" Mountains""";"""Citlaltépetl (5636 m)""";"""Rio Grande  Bravo  Grijalva"" ""Chapala  Cuitzeo"" ""Spanish"" "".mx"""
92;"""Nigeria""";"""Africa""";"""923768""";"""200963453""";"""215.96""";"""Abuja""";"""9.0819""";"""7.4974""";"""Tropical";" Sahel""";"""Plains";" Mountains""";"""Chappal Waddi (2419 m)""";"""Niger";" Benue"" ""Tumba  Lagos"" ""English, Hausa, Yoruba, Igbo"" "".ng"""
93;"""South Africa""";"""Africa""";"""1221037""";"""59308692""";"""48.56""";"""Pretoria""";"""-25.7464""";"""28.1876""";"""Desert";" Mediterranean""";"""Plateaus";" Mountains""";"""Njesutta (3408 m)""";"""Limpopo";" Orange"" ""None"" ""Afrikaans, English, Zulu, Xhosa, Southern Sotho, Tswana, Tsonga, Swazi, Venda, Ndebele, Southern Sotho, Swiss German, German"" "".za"""
94;"""Spain""";"""Europe""";"""504782""";"""46754778""";"""92.63""";"""Madrid""";"""40.4167""";"""-3.6834""";"""Mediterranean";" Oceanic""";"""Mountains";" Plains""";"""Teide (3718 m)""";"""Ebro""";"""Lake Sanabria"" ""Spanish"" "".es"".</s>"
95;" ""Argentina"; South America; 2780400; 44271041; 15.92; Buenos Aires; -34.6037; -58.3816; Temperate; Plains; Mountains; Aconcagua (6962 m); Rio de la Plata; None;" Spanish  .ar"""
96;"""Australia"; Australia; 7692024; 25499858; 3.32; Canberra; -35.2809; 149.1287; Desert; Plains; Hills; Mount Kosciuszko (2228 m); Murray; Lake Eyre;" English  .au"""
97;"""Brazil"; South America; 8515767; 210147125; 24.68; Brasília; -15.7797; -47.9297; Equatorial; Amazonia; Mountains; Pico da Neblina (2994 m); Amazon; None;" Portuguese  .br"""
98;"""Canada"; North America; 9984670; 37410003; 3.75; Ottawa; 45.4215; -75.6972; Arctic; Plains; Mountains; Mount Logan (5959 m); None; Great Bear;" English, French  .ca"""
