;Language Name; Language Family; Origin; Script; Speakers; Native Speakers; Official Language; Writing System; Grammar; Vocabulary; Syntax; Semantics; Pragmatics; Language Code
26;Telugu; Dravidian; India; Telugu script; 82 million; 75 million; Yes, in India; Abugida, morphological; Inflected; Rich, Dravidian roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
27;Marathi; Indo-European, Indo-Iranian, Western; India; Devanagari script; 83 million; 72 million; Yes, in India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
28;Turkish; Turkic, Oghuz, Southwestern; Turkey; Turkish script; 85 million; 77 million; Yes, in Turkey, Cyprus, and other countries with Turkish-speaking populations; Alphabetical; Agglutinative; Rich, Turkic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
29;Tamil; Dravidian, Southern; India, Sri Lanka, Singapore, Malaysia; Tamil script; 74 million; 67 million; Yes, in India, Sri Lanka, Singapore, and Malaysia; Abugida, morphological; Inflected; Rich, Dravidian roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;</s>
30; Gujarati; Indo-European, Indo-Iranian, Western; India; Gujarati script; 56 million; 49 million; Yes, in India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
31;Japanese; Japonic, Ryukyuan; Japan; Hiragana, Katakana, Kanji scripts; 128 million; 123 million; Yes, in Japan; Moraic, logographic, syllabic; Agglutinative; Rich, Japonic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
32;Korean; Koreanic, isolation; North and South Korea, China, Central Asia; Hangul script; 72 million; 48 million; Yes, in North Korea, South Korea, and China; Alphabetic; Agglutinative; Rich, Koreanic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
33;Welsh; Indo-European, Celtic, Brittonic; United Kingdom; Latin script; 0.6 million; 0.5 million; Yes, in United Kingdom; Alphabetic; Inflected; Rich, Celtic roots; Verb-Subject-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
34;Punjabi; Indo-European, Indo-Iranian, Central; Pakistan, India; Gurmukhi script (in India), Shahmukhi script (in Pakistan); 118 million; 102 million; Yes, in Pakistan and India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
35;Hausa; Afro-Asiatic, Chadic, West Chadic; Nigeria, Niger, Cameroon, Ghana, Togo; Latin script; 54 million; 31 million; Yes, in Nigeria, Niger; Alphabetic; Inflected; Rich, Chadic roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
36;Malay; Austronesian, Malayo-Polynesian, Western Malayo-Polynesian; Malaysia, Indonesia, Singapore, Brunei; Jawi script, Latin script; 29 million; 22 million; Yes, in Malaysia, Brunei, Indonesia; Abjad, alphabetic; Agglutinative; Rich, Malayic roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
37;Maltese; Afro-Asiatic, Semitic, Central; Malta; Latin script; 0.4 million; 0.3 million; Yes, in Malta; Alphabetic; Inflected; Rich, Semitic roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
38;Bengali; Indo-European, Indo-Iranian, Eastern; Bangladesh, India; Bengali script; 230 million; 211 million; Yes, in Bangladesh, India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
39;Persian; Indo-European, Indo-Iranian, Iranian; Iran, Afghanistan, Tajikistan; Persian script; 110 million; 63 million; Yes, in Iran, Afghanistan; Abjad; Inflected, VSO word order; Rich, Iranian roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;</s>
40; Hausa; Afro-Asiatic, Semitic, West; Nigeria, Niger, Ghana, Cameroon, etc.; Latin, Arabic, Ajami scripts; 73 million; 51 million; Yes, in Nigeria; Alphabetic, Abjad, Abugida; Inflected; Rich, Chadic roots; Subject-Verb-Object; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation. 
41;Punjabi; Indo-European, Indo-Iranian, Western; Pakistan, India; Gurmukhi, Shahmukhi, Devanagari scripts; 130 million; 102 million; Yes, in Pakistan, India; Alphasyllabary, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Verb-Object; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation. 
42;Japanese; Japanese; Japan, Korea; Hiragana, Katakana, Kanji scripts; 128 million; 128 million; Yes, in Japan; Syllabic, morphosyllabic, logographic; Agglutinative; Rich, Japonic roots; Subject-Object-Verb; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation. 
43;Javanese; Austronesian, Malayo-Polynesian, Java; Javanese script, Latin script; 84 million; 76 million; No; Abugida, morphological; Agglutinative; Rich, Austronesian roots; Verb-Object-Subject; Subject-Verb-Object; Context-dependent; Pragmatics, politeness, honorifics.;
44;Telugu; Dravidian; India; Telugu script; 82 million; 75 million; Yes, in India; Abugida, morphological; Inflected; Rich, Dravidian roots; Subject-Verb-Object; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation. 
45;Thai; Tai-Kadai; Thailand, Laos; Thai script; 65 million; 65 million; Yes, in Thailand; Abugida, morphological; Isolating; Rich, Tai roots; Subject-Verb-Object; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation. 
46;Turkish; Turkic; Turkey, Cyprus, Germany, Bulgaria, etc.; Latin, Turkish scripts; 85 million; 76 million; Yes, in Turkey; Alphabetic; Agglutinative; Rich, Turkic roots; Subject-Verb-Object; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation. 
47;Yue (Cantonese); Sino-Tibetan, Chinese; China, Hong Kong, Macau; Chinese characters, Latin script; 76 million; 76 million; No; Logographic, morphosyllabic; Agglutinative; Rich, Sino-Tibetan roots; Subject-Verb-Object; Subject-Verb-Object; Context-dependent; Rule-based, meaning negotiation. 
48;Urdu; Indo-European, Indo-Iranian, Western; Pakistan, India; Perso-Arabic script; 70 million; 60 million; Yes, in Pakistan; Abjad; Inflected, VSO word order; Rich, Indo-Aryan roots; Subject-Object-Verb; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation. 
49;French; Indo-European, Romance; France, Canada, Switzerland, Belgium, etc.; Latin script; 79 million; 67 million; Yes, in France; Alphabetic; Inflected; Rich, Romance roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics. </s>
50; Latin; Indo-European, Italic; Italy, widespread in the past; Latin script; N/A; N/A; No; Abjad; Inflected, flexible word order; Rich, Italic roots; Highly inflected; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar  Predicate logic, semantics  `lat`
51;Swahili; Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, West-Central, Central Lacustrine, Interlacustrine, Nyanza, Kirundi-Rundi, Rundi-Shi, Rwanda-Rundi, Rundi; Tanzania, Kenya, Uganda, DR Congo, Rwanda, Burundi; Latin script; 15 million; 5 million; Yes, in Tanzania; Alphabetic; Inflected, flexible word order; Rich, Bantu roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `swa`
52;German; Indo-European, Germanic; Germany, Austria, Switzerland, Liechtenstein, Luxembourg, Belgium; Latin script; 100 million; 75 million; Yes, in Germany; Alphabetic; Inflected, flexible word order; Rich, Germanic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `deu`
53;Dutch; Indo-European, Germanic; Netherlands, Belgium, Suriname; Latin script; 24 million; 16 million; Yes, in the Netherlands; Alphabetic; Inflected, flexible word order; Rich, Germanic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `nld`
54;Russian; Indo-European, Slavic; Russia, Belarus, Kazakhstan, Ukraine, Uzbekistan; Cyrillic script; 150 million; 110 million; Yes, in Russia; Abjad; Inflected, flexible word order; Rich, Slavic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `rus`
55;Czech; Indo-European, Slavic; Czech Republic; Latin script; 10 million; 10 million; Yes, in the Czech Republic; Alphabetic; Inflected, flexible word order; Rich, Slavic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `ces`
56;Polish; Indo-European, Slavic; Poland; Latin script; 46 million; 39 million; Yes, in Poland; Alphabetic; Inflected, flexible word order; Rich, Slavic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `pol`
57;Italian; Indo-European, Romance; Italy, Switzerland, San Marino, Vatican City, Slovenia; Latin script; 65 million; 55 million; Yes, in Italy; Alphabetic; Inflected, flexible word order; Rich, Romance roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `ita`
58;Romanian; Indo-European, Romance; Romania, Moldova, Hungary, Serbia, Ukraine; Latin script; 24 million; 19 million; Yes, in Romania; Alphabetic; Inflected, flexible word order; Rich, Romance roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `ron`
59;Icelandic; Indo-European, Germanic; Iceland; Latin script; 340,000; 340,000; Yes, in Iceland; Alphabetic; Inflected, flexible word order; Rich, Germanic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `isl`
60; Swahili; Afro-Asiatic, Semitic-Hamitic; Tanzania, Kenya, Uganda, Rwanda, DR Congo, Mozambique, Burundi, Oman, Saudi Arabia, Yemen, Zimbabwe, Comoros, Somalia; Latin script, Arabic script; 100 million; 15 million; Yes, in Tanzania; Alphabetic, Abjad; Inflected, Subject-Verb-Object; Rich, Bantu and Arabic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `swa`
61;Greek; Indo-European, Greek; Greece, Cyprus, Albania; Greek script; 13 million; 11 million; Yes, in Greece; Alphabetic; Inflected, flexible word order; Rich, Hellenic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `ell`
62;Malay; Austronesian, Malayo-Polynesian; Malaysia, Indonesia, Brunei, Singapore, Thailand, Philippines; Latin script, Arabic script, Pallava script; 230 million; 77 million; Yes, in Malaysia; Alphabetic, Abjad; Inflected, Verb-Subject-Object; Rich, Austronesian roots; Verb-Subject-Object; Verb-Subject-Object; Rule-based, context-independent grammar; Predicate logic, semantics  `msa`
63;Tamil; Dravidian; India, Sri Lanka, Malaysia, Singapore; Tamil script; 78 million; 75 million; Yes, in Sri Lanka; Syllabic; Inflected, flexible word order; Rich, Dravidian roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `tam`
64;Vietnamese; Austroasiatic, Vietic; Vietnam, China, Cambodia, Laos, Thailand; Latin script, Chu nom script; 98 million; 98 million; Yes, in Vietnam; Alphabetic; Analytic, Subject-Verb-Object; Rich, Mon-Khmer roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `vie`
65;Korean; Koreanic; Korea, China, Japan; Hangul script, Hanja script; 80 million; 50 million; Yes, in South Korea; Alphabetic, Logographic; Agglutinative, Subject-Object-Verb; Rich, Koreanic roots; Subject-Object-Verb; Subject-Object-Verb; Morpheme-based, context-dependent grammar; Combinatorial logic, semantics  `kor`
66;Arabic; Afro-Asiatic, Semitic; Saudi Arabia, Egypt, Algeria, Iraq, Morocco, Yemen, Syria, Tunisia, Jordan, Oman, Kuwait, Lebanon, UAE, Libya, Palestine, Mauritania, Qatar, Bahrain, Djibouti, Sudan, Comoros, Somalia, Eritrea; Arabic script; 422 million; 315 million; Yes, in Saudi Arabia; Abjad; Inflected, flexible word order; Rich, Semitic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `ara`
67;Turkish; Turkic; Turkey, Cyprus, Germany, Bulgaria, Macedonia, Greece; Latin script, Ottoman Turkish script; 85 million; 63 million; Yes, in Turkey; Alphabetic; Agglutinative, Subject-Object-Verb; Rich, Turkic roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics  `tur`
68;Hebrew; Afro-Asiatic, Semitic; Israel, Palestine, Jordan, Iraq, Syria, Lebanon, Egypt; Hebrew script; 9 million; 9 million; Yes, in Israel; Abjad; Inflected, flexible word order; Rich, Semitic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `hew`
69;Japanese; Japonic; Japan, China, Taiwan, Korea, Brazil, Peru, Argentina, Australia, Canada, United States; Kanji script, Hiragana script, Katakana script; 128 million; 128 million; No; Morphemic; Agglutinative, Subject-Object-Verb; Rich, Japanese roots; Subject-Object-Verb; Subject-Object-Verb; Morpheme-based, context-dependent grammar; Combinatorial logic, semantics  `jpn`</s>
70; Zulu; Niger-Congo, Atlantic-Congo, Bantoid, Southern, Nguni; South Africa, Lesotho, Swaziland, Zimbabwe, Mozambique, Botswana, Zambia, Malawi; Latin script; 12 million; 12 million; No; Alphabetic; Agglutinative, Subject-Verb-Object; Rich, Bantu roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `zul`
71;Chinese, Mandarin; Sino-Tibetan, Sinitic, Mandarin; China, Taiwan, Thailand, Indonesia, Malaysia, Singapore, Philippines, Mongolia, Nepal, India, Russia, United States; Han script; 1.3 billion; 1.1 billion; No; Logographic; Analytic, Subject-Verb-Object; Rich, Chinese roots; Subject-Verb-Object; Subject-Verb-Object; Character-based, context-dependent grammar; Compositional logic, semantics  `cmn`
72;Spanish; Indo-European, Romance; Spain, Mexico, Colombia, Argentina, Peru, Venezuela, Chile, Ecuador, Guatemala, Cuba, Dominican Republic, Bolivia, Honduras, El Salvador, Nicaragua, Costa Rica, Panama, Paraguay, Uruguay, Equatorial Guinea, Puerto Rico, United States; Latin script; 460 million; 417 million; Yes, in Spain, Equatorial Guinea, and many Latin American countries; Alphabetic; Inflected, flexible word order; Rich, Latin roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `spa`
73;Arabic; Afro-Asiatic, Semitic; Egypt, Algeria, Sudan, Iraq, Morocco, Saudi Arabia, Yemen, Syria, Tunisia, Jordan, Libya, Lebanon, Mauritania, Kuwait, Qatar, Bahrain, United Arab Emirates, Oman, Palestine, Comoros, Djibouti, Somalia, Eritrea, Ethiopia, Chad, Mali, Niger, Nigeria, Senegal, Gambia, Guinea, Guinea-Bissau, Sierra Leone, Liberia, Burkina Faso, Ghana, Togo, Benin, Ivory Coast, Niger, Chad, Central African Republic, Cameroon, Mali, Mauritania; Arabic script; 315 million; 295 million; Yes, in most of the Middle East and North Africa; Abjad; Inflected, Subject-Verb-Object; Rich, Semitic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `ara`
74;Hindi; Indo-European, Indo-Iranian, Indo-Aryan, Central Zone; India, Nepal, Fiji, Guyana, Suriname, Trinidad and Tobago, Mauritius, South Africa; Devanagari script; 615 million; 341 million; No; Abugida; Inflected, Subject-Object-Verb; Rich, Indo-Aryan roots; Subject-Object-Verb; Subject-Object-Verb; Morpheme-based, context-dependent grammar; Combinatorial logic, semantics  `hin`
75;Bengali; Indo-European, Indo-Iranian, Indo-Aryan, Eastern; Bangladesh, India; Bengali script; 228 million; 221 million; Yes, in Bangladesh; Alphabetic; Inflected, Subject-Object-Verb; Rich, Indo-Aryan roots; Subject-Object-Verb; Subject-Object-Verb; Morpheme-based, context-dependent grammar; Compositional logic, semantics  `ben`
76;Portuguese; Indo-European, Romance; Portugal, Brazil, Angola, Mozambique, Cape Verde, Guinea-Bissau, Sao Tome and Principe, Equatorial Guinea, East Timor, Macau, Goa (India); Latin script; 266 million; 234 million; Yes, in Portugal, Brazil, and many African countries; Alphabetic; Inflected, flexible word order; Rich, Latin roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `por`
77;Russian; Indo-European, Slavic, East; Russia, Ukraine, Belarus, Kazakhstan, Kyrgyzstan, Uzbekistan, Tajikistan, Turkmenistan, Moldova, Latvia, Lithuania, Estonia, Georgia, Azerbaijan, Armenia, Mongolia, China, United States; Cyrillic script; 154 million; 110 million; Yes, in Russia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, and some other countries; Alphabet; Inflected, flexible word order; Rich, Slavic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `rus`
78;French; Indo-European, Romance; France, Canada, Belgium, Switzerland, Haiti, Martinique, Guadeloupe, French Guiana, Réunion, Senegal, Côte d'Ivoire, Burkina Faso, Mali, Niger, Cameroon, Congo, Djibouti, Gabon, Guinea, Madagascar, Comoros, Seychelles, Mauritius, Burundi, Togo, Rwanda, Central African Republic, Chad, Haiti, Vanuatu, French Polynesia, Luxembourg, Monaco, Andorra, Congo, Djibouti, Algeria, Tunisia, Morocco, Mauritania, Guinea, Togo, Benin, and many other countries; Latin script; 80 million; 72 million; Yes, in France, Canada, Belgium, Switzerland, Haiti, Vanuatu, and several African countries; Alphabetic; Inflected, flexible word order; Rich, Latin roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics  `fra`
79;German; Indo-European, Germanic; Germany, Austria, Switzerland, Belgium, Liechtenstein, Luxembourg, Italy (South Tyrol), Denmark, Hungary (Burgenland), Slovakia (Bratislava), Namibia, Brazil, Russia, Kazakhstan, Poland, Romania, Ukraine, Moldova, Italy, Czech Republic, Albania, Hungary, Russia, Slovakia, Australia, United States, Canada, and many other countries; Latin, Gothic, and other scripts; 95 million; 78 million; Yes, in Germany, Austria, Switzerland, Liechtenstein, Luxembourg, Italy (South Tyrol), Denmark, Namibia, and several other countries; Alphabetic; Inflected, flexible word order; Rich, Germanic roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics  `deu`</s>
80; Chinese, Sino-Tibetan, Sinitic, China, Taiwan, Singapore, Malaysia, Indonesia; Chinese characters, Latin script (in Singapore and Malaysia); 1.3 billion; 1.3 billion; Yes, in China, Taiwan, Singapore, and many other countries; Logographic, Morphemes; Analytic, fixed word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `zho`;
81;Spanish, Indo-European, Romance; Spain, Mexico, Colombia, Argentina, Peru, Venezuela, Chile, Ecuador, Guatemala, Cuba, Dominican Republic, Honduras, El Salvador, Nicaragua, Costa Rica, Panama, Bolivia, Paraguay, Uruguay, Equatorial Guinea, Puerto Rico, and many other countries; Latin script; 460 million; 420 million; Yes, in Spain, Mexico, Colombia, Argentina, Peru, Venezuela, Chile, Ecuador, Guatemala, Cuba, Dominican Republic, Honduras, El Salvador, Nicaragua, Costa Rica, Panama, Bolivia, Paraguay, Uruguay, Equatorial Guinea, and several other countries; Alphabetic; Inflected, flexible word order; Rich, Latin roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `spa`
82;Arabic, Afro-Asiatic, Semitic; Saudi Arabia, Egypt, Algeria, Sudan, Iraq, Morocco, Yemen, Syria, Tunisia, Jordan, Libya, Lebanon, Mauritania, Oman, Kuwait, Qatar, Bahrain, United Arab Emirates, Uzbekistan, Chad, Mali, Somalia, Eritrea, Ethiopia, Djibouti; Arabic script; 315 million; 221 million; Yes, in 27 countries; Abjad; Inflected, flexible word order; Rich, Semitic roots; Verb-Subject-Object; Verb-Subject-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `ara`
