;Study Area ID; Date & Time Stamp; Weather Condition; Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Solar Radiation (W/m²); Soil Moisture (%)
85;086; 2022-03-22 12:00:00; Partly Cloudy; 12; 50; 1018; 15; 5; 0; 420
86;087; 2022-03-22 18:00:00; Clear Skies; 16; 35; 1022; 20; 25; 0; 630
87;088; 2022-03-23 00:00:00; Heavy Rain; 15; 80; 1015; 18; 28; 33; 210
88;089; 2022-03-23 06:00:00; Light Rain; 12; 70; 1020; 14; 11; 15; 305
89;090; 2022-03-23 12:00:00; Partly Cloudy; 16; 55; 1022; 15; 7; 0; 500</s>
90; 091; 2022-03-23 18:00:00; Clear Skies; 18; 40; 1025; 20; 0; 800; 15
91;092; 2022-03-24 00:00:00; Light Rain; 14; 75; 1018; 12; 15; 35; 220
92;093; 2022-03-24 06:00:00; Heavy Rain; 12; 88; 1015; 9; 29; 50; 120
93;094; 2022-03-24 12:00:00; Partly Cloudy; 15; 62; 1020; 16; 5; 0; 550
94;095; 2022-03-24 18:00:00; Clear Skies; 17; 35; 1023; 22; 0; 850; 10
95;096; 2022-03-25 00:00:00; Light Rain; 13; 72; 1017; 10; 13; 38; 235
96;097; 2022-03-25 06:00:00; Heavy Rain; 11; 90; 1014; 7; 30; 60; 115
97;098; 2022-03-25 12:00:00; Partly Cloudy; 14; 58; 1019; 14; 4; 0; 520
98;099; 2022-03-25 18:00:00; Clear Skies; 16; 38; 1024; 21; 0; 880; 5
99;100; 2022-03-26 00:00:00; Light Rain; 12; 78; 1016; 8; 16; 40; 240</s>
100; 101; 2022-03-26 06:00:00; Heavy Rain; 10; 89; 1015; 5; 25; 120; 290
101;102; 2022-03-26 12:00:00; Overcast; 13; 63; 1018; 12; 0; 600; 540
102;103; 2022-03-26 18:00:00; Clear Skies; 17; 35; 1022; 20; 0; 900; 6
103;104; 2022-03-27 00:00:00; Light Rain; 11; 74; 1019; 7; 13; 30; 255
104;105; 2022-03-27 06:00:00; Partly Cloudy; 13; 56; 1017; 10; 2; 185; 490
105;106; 2022-03-27 12:00:00; Clear Skies; 18; 32; 1021; 22; 0; 1010; 7
106;107; 2022-03-27 18:00:00; Overcast; 16; 48; 1020; 15; 0; 710; 560
107;108; 2022-03-28 00:00:00; Light Rain; 13; 71; 1018; 9; 11; 20; 265
108;109; 2022-03-28 06:00:00; Partly Cloudy; 15; 54; 1016; 13; 5; 230; 475
109;110; 2022-03-28 12:00:00; Clear Skies; 20; 30; 1023; 24; 0; 1100; 8</s>
