;TypeOfPlant; ScientificName; PlantedOn; SoilPh; WateringFrequency; LightRequirement; PruningInstructions; GrowthHabit; PestsAndDiseases; YieldPerPlant; SunExposure; HardinessZone; CommonName
65; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea; PlantedOn: 04/15/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove yellowing leaves; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Downy mildew; YieldPerPlant: 2-3 kg; SunExposure: Full Sun; HardinessZone: 1-12; CommonName: Cabbage
66; TypeOfPlant: Flower; ScientificName: Helianthus annuus; PlantedOn: 07/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove dead flower heads; GrowthHabit: Annual; PestsAndDiseases: Downy mildew, Stem rot; YieldPerPlant: 50-60 flowers; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Sunflower
67; TypeOfPlant: Fruit; ScientificName: Citrus × sinensis; PlantedOn: 01/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove dead branches; GrowthHabit: Evergreen tree; PestsAndDiseases: Citrus greening, Root rot; YieldPerPlant: 20-30 kg; SunExposure: Full Sun; HardinessZone: 9-11; CommonName: Orange
68; TypeOfPlant: Vegetable; ScientificName: Cucumis sativus; PlantedOn: 05/15/2022; SoilPh: 6.0-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove male flowers after fruit set; GrowthHabit: Annual; PestsAndDiseases: Bacterial wilt, Cucumber beetle; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Cucumber
69; TypeOfPlant: Flower; ScientificName: Dianthus caryophyllus; PlantedOn: 08/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Perennial; PestsAndDiseases: Botrytis, Powdery mildew; YieldPerPlant: 20-30 flowers; SunExposure: Full Sun; HardinessZone: 5-9; CommonName: Carnation</s>
70;  TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 03/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shape and size control; GrowthHabit: Deciduous tree; PestsAndDiseases: Apple scab, Codling moth; YieldPerPlant: 15-20 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple
71; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea var. italica; PlantedOn: 06/15/2022; SoilPh: 6.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Downy mildew; YieldPerPlant: 2-4 kg; SunExposure: Full Sun; HardinessZone: 1-12; CommonName: Broccoli
72; TypeOfPlant: Flower; ScientificName: Iris germanica; PlantedOn: 09/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Perennial; PestsAndDiseases: Bunny ears, Iris borers; YieldPerPlant: 10-15 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: German Iris
73; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 04/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Prune for shape and size control; GrowthHabit: Deciduous vine; PestsAndDiseases: Black rot, Grape phylloxera; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 7-10; CommonName: Grapes
74; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 05/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Annual; PestsAndDiseases: Blight, Spider mites; YieldPerPlant: 5-8 kg; SunExposure: Full Sun; HardinessZone: 5-11; CommonName: Tomatoes
75; TypeOfPlant: Flower; ScientificName: Paeonia lactiflora; PlantedOn: 10/01/2022; SoilPh: 6.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Perennial; PestsAndDiseases: Botrytis, Phytophthora; YieldPerPlant: 5-10 flowers; SunExposure: Full Sun; HardinessZone: 2-8; CommonName: Peony
76; TypeOfPlant: Fruit; ScientificName: Fragaria × ananassa; PlantedOn: 02/01/2022; SoilPh: 5.5-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove old leaves; GrowthHabit: Perennial; PestsAndDiseases: Gray mold, Spider mites; YieldPerPlant: 0.5-1 kg; SunExposure: Full Sun; HardinessZone: 3-10; CommonName: Strawberries
77; TypeOfPlant: Vegetable; ScientificName: Beta vulgaris; PlantedOn: 04/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Annual; PestsAndDiseases: Leaf spot, Cercospora; YieldPerPlant: 2-3 kg; SunExposure: Full Sun;;
78;</s>	HardinessZone: 2-11; CommonName: Beetroot;;;;;;;;;;;
79; TypeOfPlant: Flower; ScientificName: Narcissus pseudonarcissus; PlantedOn: 10/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Perennial; PestsAndDiseases: Narcissus bulb fly, Basal rot; YieldPerPlant: 5-10 flowers; SunExposure: Full Sun; HardinessZone: 3-9; CommonName: Daffodil
80; TypeOfPlant: Fruit; ScientificName: Ribes uva-crispa; PlantedOn: 01/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shape and size control; GrowthHabit: Deciduous shrub; PestsAndDiseases: American gooseberry mildew, Anthracnose; YieldPerPlant: 2-3 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Gooseberries</s>
81;  TypeOfPlant: Vegetable; ScientificName: Brassica oleracea var. capitata; PlantedOn: 04/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Regularly, keeping soil moist; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worms, clubroot; YieldPerPlant: 3-4 kg; SunExposure: Full Sun; HardinessZone: 1-12; CommonName: Cabbage
82; TypeOfPlant: Herb; ScientificName: Origanum vulgare; PlantedOn: 05/15/2022; SoilPh: 6.0-8.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in early spring; GrowthHabit: Perennial; PestsAndDiseases: Root rot, powdery mildew; YieldPerPlant: 400 grams; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: Oregano
83; TypeOfPlant: Flower; ScientificName: Aquilegia vulgaris; PlantedOn: 09/15/2022; SoilPh: 5.5-8.0; WateringFrequency: Once or twice a week; LightRequirement: Partial Shade; PruningInstructions: Deadhead for more blooms; GrowthHabit: Perennial; PestsAndDiseases: Aphids, leaf miners; YieldPerPlant: 15-30 flowers; SunExposure: Partial Shade; HardinessZone: 3-9; CommonName: Columbine
84; TypeOfPlant: Fruit; ScientificName: Malus domestica 'Granny Smith'; PlantedOn: 02/15/2022; SoilPh: 6.0-6.5; WateringFrequency: Regularly, moist but not wet; LightRequirement: Full Sun; PruningInstructions: Prune annually for good structure; GrowthHabit: Deciduous; PestsAndDiseases: Codling moth, apple scab; YieldPerPlant: 12-14 kg; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Granny Smith Apple
85; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 05/01/2022; SoilPh: 5.9-7.0; WateringFrequency: Regular watering, 2-3 times a week; LightRequirement: Full Sun; PruningInstructions: Pinch out laterals for staking; GrowthHabit: Annual; PestsAndDiseases: Whiteflies, tomato blight; YieldPerPlant: 3-5 kg; SunExposure: Full Sun; HardinessZone: 5-15; CommonName: Roma Tomato
86; TypeOfPlant: Herb; ScientificName: Salvia officinalis; PlantedOn: 06/15/2022; SoilPh: 6.0-8.0; WateringFrequency: Once or twice a week; LightRequirement: Full Sun; PruningInstructions: In spring, trim to encourage growth; GrowthHabit: Perennial; PestsAndDiseases: Root rot, powdery mildew; YieldPerPlant: 300 grams; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: Sage
87; TypeOfPlant: Flower; ScientificName: Hemerocallis; PlantedOn: 06/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Once or twice a week; LightRequirement: Full Sun; PruningInstructions: Deadhead for more flowers; GrowthHabit: Perennial; PestsAndDiseases: Nematodes, daylily rust; YieldPerPlant: 30-50 flowers; SunExposure: Full Sun; HardinessZone: 3-11; CommonName: Daylily
88; TypeOfPlant: Fruit; ScientificName: Prunus persica; PlantedOn: 12/15/2021; SoilPh: 6.0-6.5; WateringFrequency: Regular watering, moist but not wet; LightRequirement: Full Sun; PruningInstructions: Prune at planting, and after every year; GrowthHabit: Deciduous bush; PestsAndDiseases: Bacterial spot, brown rot; YieldPerPlant: 1-2 kg; SunExposure: Full Sun; HardinessZone: 5-8; CommonName: Peach Tree
89; TypeOfPlant: Vegetable; ScientificName: Zea mays; PlantedOn: 05/01/2022; SoilPh: 5.8-6.5; WateringFrequency: Regular watering, 3-4 times a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Annual; PestsAndDiseases: Corn earworm, corn smut; YieldPerPlant: 0.7-1 kg; SunExposure: Full Sun; HardinessZone: 6-11; CommonName: Sweet Corn
90; TypeOfPlant: Herb; ScientificName: Mentha × piperita; PlantedOn: 05/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Regular watering; LightRequirement: Partial Shade; PruningInstructions: Cut back by half after flowering; GrowthHabit: Perennial; PestsAndDiseases: Aphids, rust; YieldPerPlant: 400 grams; SunExposure: Partial Shade; HardinessZone: 4-11; CommonName: Peppermint</s>
91;  TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 04/15/2022; SoilPh: 6.0-6.5; WateringFrequency: Regular watering, moist but not wet; LightRequirement: Full Sun; PruningInstructions: Prune in late winter or early spring; GrowthHabit: Deciduous tree; PestsAndDiseases: Apple scab, cedar apple rust; YieldPerPlant: 10-30 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple Tree
92; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 06/01/2022; SoilPh: 6.0-6.8; WateringFrequency: Regular watering, twice a week; LightRequirement: Full Sun; PruningInstructions: Pinch out growing tips for bush varieties; GrowthHabit: Annual; PestsAndDiseases: Tomato hornworm, early blight; YieldPerPlant: 5-15 kg; SunExposure: Full Sun; HardinessZone: 5-15; CommonName: Tomato Plant
93; TypeOfPlant: Herb; ScientificName: Salvia rosmarinus; PlantedOn: 03/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Regular watering, allow soil to dry out between; LightRequirement: Full Sun; PruningInstructions: Prune lightly to shape after flowering; GrowthHabit: Perennial shrub; PestsAndDiseases: Spider mites, powdery mildew; YieldPerPlant: N/A; SunExposure: Full Sun; HardinessZone: 8-10; CommonName: Rosemary
94; TypeOfPlant: Fruit; ScientificName: Citrus sinensis; PlantedOn: 09/15/2021; SoilPh: 6.0-7.5; WateringFrequency: Regular watering, but allow to dry out between; LightRequirement: Full Sun; PruningInstructions: Prune to shape in early spring; GrowthHabit: Evergreen tree; PestsAndDiseases: Citrus greening, citrus canker; YieldPerPlant: 20-50 kg; SunExposure: Full Sun; HardinessZone: 9-11; CommonName: Orange Tree
95; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea; PlantedOn: 08/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Regular watering, keep soil consistently moist; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, clubroot; YieldPerPlant: 3-6 kg; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Cabbage
96; TypeOfPlant: Herb; ScientificName: Origanum vulgare; PlantedOn: 04/15/2022; SoilPh: 6.0-8.0; WateringFrequency: Regular watering, allow soil to dry between; LightRequirement: Full Sun; PruningInstructions: Prune back to encourage new growth; GrowthHabit: Perennial; PestsAndDiseases: Aphids, leaf spot; YieldPerPlant: 200 grams; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Oregano
97; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 03/01/2022; SoilPh: 5.0-7.0; WateringFrequency: Regular watering, but allow to dry out between; LightRequirement: Full Sun; PruningInstructions: Prune in late winter or early spring; GrowthHabit: Woody vine; PestsAndDiseases: Grape phylloxera, black rot; YieldPerPlant: 5-50 kg; SunExposure: Full Sun; HardinessZone: 3-10; CommonName: Grape Vine
98; TypeOfPlant: Vegetable; ScientificName: Cucumis sativus; PlantedOn: 05/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Regular watering, moist but not wet; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Annual; PestsAndDiseases: Cucumber beetle, powdery mildew; YieldPerPlant: 4-10 kg; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Cucumber
99; TypeOfPlant: Herb; ScientificName: Thymus vulgaris; PlantedOn: 05/15/2022; SoilPh: 6.0-8.0; WateringFrequency: Regular watering, allow soil to dry between; LightRequirement: Full Sun; PruningInstructions: Prune lightly to shape after flowering; GrowthHabit: Perennial; PestsAndDiseases: Aphids, spider mites; YieldPerPlant: 20 grams; SunExposure: Full Sun; HardinessZone: 5-9; CommonName: Thyme
100; TypeOfPlant: Fruit; ScientificName: Pyrus communis; PlantedOn: 11/15/2021; SoilPh: 6.0-8.0; WateringFrequency: Regular watering, moist but not wet; LightRequirement: Full Sun; PruningInstructions: Prune in late winter or early spring; GrowthHabit: Deciduous tree; PestsAndDiseases: Fire blight, pear scab; YieldPerPlant: 10-50 kg; SunExposure: Full Sun; HardinessZone: 3-10; CommonName: Pear Tree</s>
