;Air\_Quality;Water\_Cleanliness;Species\_Count;Forest\_Area\_km2;Biodiversity\_Index;Avg\_Temperature_C;Avg\_Rainfall\_mm;Soil\_Health\_Index;Pollution\_Level;Population\_Density;Legislation\_Status;Public\_Engagement\_Score
10; Air_Quality: Moderate; Water_Cleanliness: Excellent; Species_Count: 6000; Forest_Area_km2: 3000; Biodiversity_Index: 8.6; Avg_Temperature_C: 15; Avg_Rainfall_mm: 1500; Soil_Health_Index: 8.2; Pollution_Level: Medium; Population_Density: 800; Legislation_Status: Proposed; Public_Engagement_Score: 85.
11;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4500; Forest_Area_km2: 2200; Biodiversity_Index: 7.4; Avg_Temperature_C: 25; Avg_Rainfall_mm: 1100; Soil_Health_Index: 7.1; Pollution_Level: High; Population_Density: 1200; Legislation_Status: Under Review; Public_Engagement_Score: 72.
12;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 5500; Forest_Area_km2: 2700; Biodiversity_Index: 8.4; Avg_Temperature_C: 18; Avg_Rainfall_mm: 1300; Soil_Health_Index: 7.9; Pollution_Level: Medium; Population_Density: 700; Legislation_Status: Pending; Public_Engagement_Score: 78.
13;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7500; Forest_Area_km2: 3500; Biodiversity_Index: 9.0; Avg_Temperature_C: 12; Avg_Rainfall_mm: 2800; Soil_Health_Index: 8.8; Pollution_Level: Low; Population_Density: 200; Legislation_Status: Active; Public_Engagement_Score: 92.
14;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 3500; Forest_Area_km2: 1500; Biodiversity_Index: 6.8; Avg_Temperature_C: 35; Avg_Rainfall_mm: 900; Soil_Health_Index: 6.5; Pollution_Level: Very High; Population_Density: 2000; Legislation_Status: Draft; Public_Engagement_Score: 70.
15;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6500; Forest_Area_km2: 3200; Biodiversity_Index: 8.7; Avg_Temperature_C: 16; Avg_Rainfall_mm: 1400; Soil_Health_Index: 8.3; Pollution_Level: Medium; Population_Density: 900; Legislation_Status: Proposed; Public_Engagement_Score: 88.
16;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8500; Forest_Area_km2: 4200; Biodiversity_Index: 9.6; Avg_Temperature_C: 11; Avg_Rainfall_mm: 3200; Soil_Health_Index: 9.2; Pollution_Level: Low; Population_Density: 180; Legislation_Status: Active; Public_Engagement_Score: 97.
17;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4800; Forest_Area_km2: 2300; Biodiversity_Index: 7.5; Avg_Temperature_C: 28; Avg_Rainfall_mm: 1200; Soil_Health_Index: 6.9; Pollution_Level: High; Population_Density: 1500; Legislation_Status: Under Review; Public_Engagement_Score: 73.
18;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 5800; Forest_Area_km2: 2900; Biodiversity_Index: 8.5; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1200; Soil_Health_Index: 8.1; Pollution_Level: Medium; Population_Density: 650; Legislation_Status: Pending; Public_Engagement_Score: 76.
19;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7000; Forest_Area_km2: 3800; Biodiversity_Index: 9.2; Avg_Temperature_C: 14; Avg_Rainfall_mm: 2500; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 250; Legislation_Status: Active; Public_Engagement_Score: 94.</s>
20; Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6200; Forest_Area_km2: 3000; Biodiversity_Index: 8.2; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1300; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 700; Legislation_Status: Pending; Public_Engagement_Score: 78.
21;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4200; Forest_Area_km2: 2100; Biodiversity_Index: 7.2; Avg_Temperature_C: 30; Avg_Rainfall_mm: 1100; Soil_Health_Index: 6.6; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Under Review; Public_Engagement_Score: 70.
22;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7300; Forest_Area_km2: 4000; Biodiversity_Index: 9.5; Avg_Temperature_C: 12; Avg_Rainfall_mm: 2600; Soil_Health_Index: 8.8; Pollution_Level: Low; Population_Density: 200; Legislation_Status: Active; Public_Engagement_Score: 92.
23;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 5900; Forest_Area_km2: 2800; Biodiversity_Index: 8.4; Avg_Temperature_C: 21; Avg_Rainfall_mm: 1400; Soil_Health_Index: 7.9; Pollution_Level: Medium; Population_Density: 800; Legislation_Status: Pending; Public_Engagement_Score: 74.
24;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4500; Forest_Area_km2: 2400; Biodiversity_Index: 7.8; Avg_Temperature_C: 29; Avg_Rainfall_mm: 1000; Soil_Health_Index: 6.4; Pollution_Level: High; Population_Density: 1600; Legislation_Status: Under Review; Public_Engagement_Score: 68.
25;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7100; Forest_Area_km2: 3900; Biodiversity_Index: 9.3; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2400; Soil_Health_Index: 8.4; Pollution_Level: Low; Population_Density: 300; Legislation_Status: Active; Public_Engagement_Score: 91.
26;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6100; Forest_Area_km2: 2900; Biodiversity_Index: 8.1; Avg_Temperature_C: 23; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.7; Pollution_Level: Medium; Population_Density: 650; Legislation_Status: Pending; Public_Engagement_Score: 77.
27;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4700; Forest_Area_km2: 2200; Biodiversity_Index: 7.6; Avg_Temperature_C: 27; Avg_Rainfall_mm: 1100; Soil_Health_Index: 6.7; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Under Review; Public_Engagement_Score: 72.
28;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7400; Forest_Area_km2: 4100; Biodiversity_Index: 9.6; Avg_Temperature_C: 10; Avg_Rainfall_mm: 2700; Soil_Health_Index: 8.7; Pollution_Level: Low; Population_Density: 150; Legislation_Status: Active; Public_Engagement_Score: 93.
29;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6000; Forest_Area_km2: 2800; Biodiversity_Index: 8.3; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1300; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 750; Legislation_Status: Pending; Public_Engagement_Score: 75.</s>
30; Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5200; Forest_Area_km2: 2600; Biodiversity_Index: 7.9; Avg_Temperature_C: 25; Avg_Rainfall_mm: 1000; Soil_Health_Index: 6.8; Pollution_Level: High; Population_Density: 1900; Legislation_Status: Under Review; Public_Engagement_Score: 74.
31;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6500; Forest_Area_km2: 3000; Biodiversity_Index: 8.1; Avg_Temperature_C: 23; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 800; Legislation_Status: Pending; Public_Engagement_Score: 76.
32;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4900; Forest_Area_km2: 2300; Biodiversity_Index: 7.3; Avg_Temperature_C: 28; Avg_Rainfall_mm: 1150; Soil_Health_Index: 6.6; Pollution_Level: High; Population_Density: 1700; Legislation_Status: Under Review; Public_Engagement_Score: 71.
33;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7700; Forest_Area_km2: 4200; Biodiversity_Index: 9.2; Avg_Temperature_C: 11; Avg_Rainfall_mm: 2600; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 140; Legislation_Status: Active; Public_Engagement_Score: 91.
34;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6300; Forest_Area_km2: 2900; Biodiversity_Index: 8.5; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1400; Soil_Health_Index: 7.7; Pollution_Level: Medium; Population_Density: 700; Legislation_Status: Pending; Public_Engagement_Score: 77.
35;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5100; Forest_Area_km2: 2500; Biodiversity_Index: 7.7; Avg_Temperature_C: 26; Avg_Rainfall_mm: 1050; Soil_Health_Index: 6.5; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Under Review; Public_Engagement_Score: 73.
36;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7600; Forest_Area_km2: 4300; Biodiversity_Index: 9.4; Avg_Temperature_C: 12; Avg_Rainfall_mm: 2800; Soil_Health_Index: 8.6; Pollution_Level: Low; Population_Density: 130; Legislation_Status: Active; Public_Engagement_Score: 92.
37;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6600; Forest_Area_km2: 3100; Biodiversity_Index: 8.4; Avg_Temperature_C: 21; Avg_Rainfall_mm: 1300; Soil_Health_Index: 7.6; Pollution_Level: Medium; Population_Density: 650; Legislation_Status: Pending; Public_Engagement_Score: 78.
38;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4800; Forest_Area_km2: 2400; Biodiversity_Index: 7.1; Avg_Temperature_C: 29; Avg_Rainfall_mm: 1200; Soil_Health_Index: 6.4; Pollution_Level: High; Population_Density: 1600; Legislation_Status: Under Review; Public_Engagement_Score: 70.
39;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7800; Forest_Area_km2: 4400; Biodiversity_Index: 9.5; Avg_Temperature_C: 13; Avg_Rainfall_mm: 2500; Soil_Health_Index: 8.4; Pollution_Level: Low; Population_Density: 120; Legislation_Status: Active; Public_Engagement_Score: 94.</s>
40; Air_Quality: Moderate; Water_Cleanliness: Excellent; Species_Count: 6000; Forest_Area_km2: 3500; Biodiversity_Index: 8.8; Avg_Temperature_C: 19; Avg_Rainfall_mm: 1100; Soil_Health_Index: 7.3; Pollution_Level: Medium; Population_Density: 580; Legislation_Status: Passed; Public_Engagement_Score: 86.
41;Air_Quality: Poor; Water_Cleanliness: Poor; Species_Count: 4000; Forest_Area_km2: 2000; Biodiversity_Index: 6.2; Avg_Temperature_C: 31; Avg_Rainfall_mm: 900; Soil_Health_Index: 5.9; Pollution_Level: Very High; Population_Density: 2200; Legislation_Status: Failed; Public_Engagement_Score: 63.
42;Air_Quality: Good; Water_Cleanliness: Good; Species_Count: 7200; Forest_Area_km2: 4200; Biodiversity_Index: 9.2; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2300; Soil_Health_Index: 7.9; Pollution_Level: Low; Population_Density: 100; Legislation_Status: Under Review; Public_Engagement_Score: 91.
43;Air_Quality: Moderate; Water_Cleanliness: Fair; Species_Count: 5600; Forest_Area_km2: 2800; Biodiversity_Index: 7.8; Avg_Temperature_C: 25; Avg_Rainfall_mm: 1400; Soil_Health_Index: 6.8; Pollution_Level: Medium; Population_Density: 850; Legislation_Status: Pending; Public_Engagement_Score: 75.
44;Air_Quality: Poor; Water_Cleanliness: Excellent; Species_Count: 5000; Forest_Area_km2: 3700; Biodiversity_Index: 8.1; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1000; Soil_Health_Index: 7.1; Pollution_Level: High; Population_Density: 520; Legislation_Status: Failed; Public_Engagement_Score: 69.
45;Air_Quality: Good; Water_Cleanliness: Poor; Species_Count: 8200; Forest_Area_km2: 4600; Biodiversity_Index: 9.8; Avg_Temperature_C: 10; Avg_Rainfall_mm: 2800; Soil_Health_Index: 8.8; Pollution_Level: Low; Population_Density: 80; Legislation_Status: Passed; Public_Engagement_Score: 96.
46;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 6300; Forest_Area_km2: 3300; Biodiversity_Index: 8.6; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 600; Legislation_Status: Under Review; Public_Engagement_Score: 84.
47;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4400; Forest_Area_km2: 2200; Biodiversity_Index: 7.3; Avg_Temperature_C: 28; Avg_Rainfall_mm: 1500; Soil_Health_Index: 6.6; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Pending; Public_Engagement_Score: 72.
48;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7500; Forest_Area_km2: 4100; Biodiversity_Index: 9.1; Avg_Temperature_C: 17; Avg_Rainfall_mm: 2200; Soil_Health_Index: 8.2; Pollution_Level: Low; Population_Density: 140; Legislation_Status: Active; Public_Engagement_Score: 93.
49;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6100; Forest_Area_km2: 3200; Biodiversity_Index: 8.5; Avg_Temperature_C: 23; Avg_Rainfall_mm: 1600; Soil_Health_Index: 7.7; Pollution_Level: Medium; Population_Density: 700; Legislation_Status: Failed; Public_Engagement_Score: 82.</s>
50; Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4600; Forest_Area_km2: 2400; Biodiversity_Index: 7.4; Avg_Temperature_C: 29; Avg_Rainfall_mm: 1400; Soil_Health_Index: 6.8; Pollution_Level: High; Population_Density: 1900; Legislation_Status: Pending; Public_Engagement_Score: 75.
51;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7800; Forest_Area_km2: 4300; Biodiversity_Index: 9.2; Avg_Temperature_C: 16; Avg_Rainfall_mm: 2300; Soil_Health_Index: 8.3; Pollution_Level: Low; Population_Density: 130; Legislation_Status: Active; Public_Engagement_Score: 94.
52;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6300; Forest_Area_km2: 3300; Biodiversity_Index: 8.6; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1700; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 720; Legislation_Status: Failed; Public_Engagement_Score: 83.
53;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4500; Forest_Area_km2: 2300; Biodiversity_Index: 7.5; Avg_Temperature_C: 30; Avg_Rainfall_mm: 1300; Soil_Health_Index: 6.9; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Pending; Public_Engagement_Score: 78.
54;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7600; Forest_Area_km2: 4200; Biodiversity_Index: 9.0; Avg_Temperature_C: 18; Avg_Rainfall_mm: 2100; Soil_Health_Index: 8.1; Pollution_Level: Low; Population_Density: 150; Legislation_Status: Active; Public_Engagement_Score: 91.
55;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6200; Forest_Area_km2: 3400; Biodiversity_Index: 8.4; Avg_Temperature_C: 24; Avg_Rainfall_mm: 1800; Soil_Health_Index: 7.6; Pollution_Level: Medium; Population_Density: 740; Legislation_Status: Failed; Public_Engagement_Score: 85.
56;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4700; Forest_Area_km2: 2500; Biodiversity_Index: 7.6; Avg_Temperature_C: 27; Avg_Rainfall_mm: 1200; Soil_Health_Index: 6.7; Pollution_Level: High; Population_Density: 1600; Legislation_Status: Pending; Public_Engagement_Score: 79.
57;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7700; Forest_Area_km2: 4400; Biodiversity_Index: 9.3; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2400; Soil_Health_Index: 8.4; Pollution_Level: Low; Population_Density: 110; Legislation_Status: Active; Public_Engagement_Score: 96.
58;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6400; Forest_Area_km2: 3500; Biodiversity_Index: 8.7; Avg_Temperature_C: 21; Avg_Rainfall_mm: 1900; Soil_Health_Index: 7.9; Pollution_Level: Medium; Population_Density: 800; Legislation_Status: Failed; Public_Engagement_Score: 86.
59;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4800; Forest_Area_km2: 2600; Biodiversity_Index: 7.7; Avg_Temperature_C: 31; Avg_Rainfall_mm: 1100; Soil_Health_Index: 6.5; Pollution_Level: High; Population_Density: 1500; Legislation_Status: Pending; Public_Engagement_Score: 73.</s>
60; Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8300; Forest_Area_km2: 4900; Biodiversity_Index: 9.1; Avg_Temperature_C: 14; Avg_Rainfall_mm: 2500; Soil_Health_Index: 8.6; Pollution_Level: Low; Population_Density: 120; Legislation_Status: Active; Public_Engagement_Score: 95.
61;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6700; Forest_Area_km2: 3700; Biodiversity_Index: 8.4; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1950; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 850; Legislation_Status: Failed; Public_Engagement_Score: 83.
62;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5100; Forest_Area_km2: 2800; Biodiversity_Index: 7.3; Avg_Temperature_C: 32; Avg_Rainfall_mm: 1050; Soil_Health_Index: 6.1; Pollution_Level: High; Population_Density: 1600; Legislation_Status: Pending; Public_Engagement_Score: 70.
63;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8600; Forest_Area_km2: 5100; Biodiversity_Index: 9.4; Avg_Temperature_C: 13; Avg_Rainfall_mm: 2600; Soil_Health_Index: 8.8; Pollution_Level: Low; Population_Density: 100; Legislation_Status: Active; Public_Engagement_Score: 97.
64;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6600; Forest_Area_km2: 3600; Biodiversity_Index: 8.3; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1850; Soil_Health_Index: 7.3; Pollution_Level: Medium; Population_Density: 900; Legislation_Status: Failed; Public_Engagement_Score: 88.
65;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4900; Forest_Area_km2: 2700; Biodiversity_Index: 7.5; Avg_Temperature_C: 33; Avg_Rainfall_mm: 1000; Soil_Health_Index: 5.9; Pollution_Level: High; Population_Density: 1700; Legislation_Status: Pending; Public_Engagement_Score: 75.
66;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8400; Forest_Area_km2: 4800; Biodiversity_Index: 9.2; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2450; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 130; Legislation_Status: Active; Public_Engagement_Score: 96.
67;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6800; Forest_Area_km2: 3800; Biodiversity_Index: 8.6; Avg_Temperature_C: 19; Avg_Rainfall_mm: 1800; Soil_Health_Index: 7.7; Pollution_Level: Medium; Population_Density: 820; Legislation_Status: Failed; Public_Engagement_Score: 85.
68;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5000; Forest_Area_km2: 2900; Biodiversity_Index: 7.1; Avg_Temperature_C: 34; Avg_Rainfall_mm: 950; Soil_Health_Index: 5.7; Pollution_Level: High; Population_Density: 1800; Legislation_Status: Pending; Public_Engagement_Score: 69.
69;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8500; Forest_Area_km2: 5000; Biodiversity_Index: 9.5; Avg_Temperature_C: 12; Avg_Rainfall_mm: 2700; Soil_Health_Index: 8.9; Pollution_Level: Low; Population_Density: 90; Legislation_Status: Active; Public_Engagement_Score: 98.</s>
70; Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7200; Forest_Area_km2: 4100; Biodiversity_Index: 8.2; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1850; Soil_Health_Index: 7.3; Pollution_Level: Medium; Population_Density: 850; Legislation_Status: Failed; Public_Engagement_Score: 82.
71;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5400; Forest_Area_km2: 3200; Biodiversity_Index: 7.5; Avg_Temperature_C: 33; Avg_Rainfall_mm: 980; Soil_Health_Index: 6.1; Pollution_Level: High; Population_Density: 1900; Legislation_Status: Pending; Public_Engagement_Score: 64.
72;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8900; Forest_Area_km2: 5300; Biodiversity_Index: 9.8; Avg_Temperature_C: 11; Avg_Rainfall_mm: 2650; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 80; Legislation_Status: Active; Public_Engagement_Score: 94.
73;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6700; Forest_Area_km2: 3600; Biodiversity_Index: 8.8; Avg_Temperature_C: 21; Avg_Rainfall_mm: 1750; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 880; Legislation_Status: Failed; Public_Engagement_Score: 79.
74;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5700; Forest_Area_km2: 3500; Biodiversity_Index: 7.8; Avg_Temperature_C: 32; Avg_Rainfall_mm: 850; Soil_Health_Index: 6.4; Pollution_Level: High; Population_Density: 2000; Legislation_Status: Pending; Public_Engagement_Score: 67.
75;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 9200; Forest_Area_km2: 5600; Biodiversity_Index: 9.3; Avg_Temperature_C: 14; Avg_Rainfall_mm: 2500; Soil_Health_Index: 8.2; Pollution_Level: Low; Population_Density: 100; Legislation_Status: Active; Public_Engagement_Score: 92.
76;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7000; Forest_Area_km2: 3900; Biodiversity_Index: 9.1; Avg_Temperature_C: 19; Avg_Rainfall_mm: 1900; Soil_Health_Index: 7.6; Pollution_Level: Medium; Population_Density: 830; Legislation_Status: Failed; Public_Engagement_Score: 76.
77;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5200; Forest_Area_km2: 3100; Biodiversity_Index: 7.3; Avg_Temperature_C: 35; Avg_Rainfall_mm: 800; Soil_Health_Index: 5.9; Pollution_Level: High; Population_Density: 1950; Legislation_Status: Pending; Public_Engagement_Score: 62.
78;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8600; Forest_Area_km2: 5200; Biodiversity_Index: 9.7; Avg_Temperature_C: 13; Avg_Rainfall_mm: 2800; Soil_Health_Index: 9.0; Pollution_Level: Low; Population_Density: 95; Legislation_Status: Active; Public_Engagement_Score: 96.
79;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6900; Forest_Area_km2: 3700; Biodiversity_Index: 8.4; Avg_Temperature_C: 18; Avg_Rainfall_mm: 1800; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 860; Legislation_Status: Failed; Public_Engagement_Score: 83.</s>
80; Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4800; Forest_Area_km2: 2900; Biodiversity_Index: 6.9; Avg_Temperature_C: 33; Avg_Rainfall_mm: 900; Soil_Health_Index: 5.5; Pollution_Level: High; Population_Density: 2050; Legislation_Status: Pending; Public_Engagement_Score: 68.
81;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 9100; Forest_Area_km2: 5600; Biodiversity_Index: 10.1; Avg_Temperature_C: 11; Avg_Rainfall_mm: 2600; Soil_Health_Index: 8.8; Pollution_Level: Low; Population_Density: 75; Legislation_Status: Active; Public_Engagement_Score: 99.
82;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7200; Forest_Area_km2: 3900; Biodiversity_Index: 8.1; Avg_Temperature_C: 19; Avg_Rainfall_mm: 1600; Soil_Health_Index: 7.2; Pollution_Level: Medium; Population_Density: 910; Legislation_Status: Failed; Public_Engagement_Score: 85.
83;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5500; Forest_Area_km2: 3300; Biodiversity_Index: 7.8; Avg_Temperature_C: 32; Avg_Rainfall_mm: 850; Soil_Health_Index: 5.3; Pollution_Level: High; Population_Density: 2150; Legislation_Status: Pending; Public_Engagement_Score: 64.
84;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8800; Forest_Area_km2: 5300; Biodiversity_Index: 9.4; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2700; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 105; Legislation_Status: Active; Public_Engagement_Score: 93.
85;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7000; Forest_Area_km2: 3800; Biodiversity_Index: 8.6; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1500; Soil_Health_Index: 7.7; Pollution_Level: Medium; Population_Density: 970; Legislation_Status: Failed; Public_Engagement_Score: 87.
