;Player Name;Player ID;Match ID;Sport;Goals Scored;Assists;Rebounds;Steals;Turnovers;Fouls
50; Johnson, 33399, 051, Basketball, 22, 10, 5, 2, 3, 4;;;;;;;;;
51;Williams, 22277, 052, Basketball, 15, 11, 7, 4, 2, 1;;;;;;;;;
52;Thomas, 66611, 053, Basketball, 30, 5, 2, 6, 6, 3;;;;;;;;;
53;Miller, 99922, 054, Basketball, 18, 9, 6, 5, 1, 2;;;;;;;;;
54;Davis, 88888, 055, Basketball, 25, 7, 3, 7, 4, 3;;;;;;;;;
55;Wilson, 11199, 056, Basketball, 29, 4, 4, 8, 5, 2;;;;;;;;;
56;Anderson, 77733, 057, Basketball, 14, 12, 8, 3, 1, 1;;;;;;;;;
57;Martin, 55511, 058, Basketball, 32, 3, 1, 9, 6, 4;;;;;;;;;
58;Taylor, 22299, 059, Basketball, 20, 8, 5, 5, 3, 2;;;;;;;;;
59; Johnson, 88877, 060, Basketball, 24, 5, 7, 2, 4, 3;;;;;;;;;
60;Williams, 11122, 061, Basketball, 18, 10, 4, 6, 2, 1;;;;;;;;;
61;Brown, 33344, 062, Basketball, 29, 7, 3, 8, 5, 3;;;;;;;;;
62;Davis, 99966, 063, Basketball, 30, 4, 9, 9, 6, 5;;;;;;;;;
63;Miller, 66611, 064, Basketball, 21, 12, 6, 4, 3, 2;;;;;;;;;
64;Wilson, 77799, 065, Basketball, 15, 9, 8, 7, 4, 3;;;;;;;;;
65;Thomas, 44422, 066, Basketball, 25, 6, 5, 10, 7, 4;;;;;;;;;
66;Moore, 55577, 067, Basketball, 35, 3, 10, 8, 5, 3;;;;;;;;;
67;Anderson, 77700, 068, Basketball, 19, 8, 7, 6, 2, 1;;;;;;;;;
68; Johnson, 11190, 069, Basketball, 22, 9, 8, 9, 4, 2;;;;;;;;;
69;Williams, 22233, 070, Basketball, 30, 5, 12, 7, 6, 3;;;;;;;;;
70;Davis, 33366, 071, Basketball, 15, 11, 6, 5, 3, 1;;;;;;;;;
71;Brown, 44488, 072, Basketball, 28, 4, 9, 11, 5, 2;;;;;;;;;
72;Miller, 55511, 073, Basketball, 33, 7, 11, 6, 4, 3;;;;;;;;;
73;Wilson, 66622, 074, Basketball, 20, 8, 8, 8, 2, 1;;;;;;;;;
74;Taylor, 77755, 075, Basketball, 25, 6, 7, 10, 5, 3;;;;;;;;;
75;Washington, 88880, 076, Basketball, 30, 5, 10, 8, 6, 4;;;;;;;;;
76;Jefferson, 99911, 077, Basketball, 22, 9, 9, 8, 3, 1;;;;;;;;;
77;Thomas, 44422, 078, Basketball, 27, 5, 6, 10, 6, 3;</s>;;;;;;;;
78; Johnson, 77733, 079, Basketball, 25, 8, 7, 6, 5, 2;;;;;;;;;
79;Williams, 22211, 080, Basketball, 32, 4, 12, 5, 7, 3;;;;;;;;;
80;Jones, 11199, 081, Basketball, 29, 6, 8, 9, 4, 1;;;;;;;;;
81;Miller, 66660, 082, Basketball, 20, 10, 11, 7, 6, 2;;;;;;;;;
82;Davis, 55544, 083, Basketball, 27, 7, 9, 8, 5, 3;;;;;;;;;
83;Brown, 33322, 084, Basketball, 35, 4, 6, 10, 6, 4;;;;;;;;;
84;Wilson, 00088, 085, Basketball, 24, 9, 7, 8, 4, 2;;;;;;;;;
85;Taylor, 99977, 086, Basketball, 30, 5, 10, 8, 6, 4;;;;;;;;;
86;Anderson, 88855, 087, Basketball, 22, 9, 9, 8, 3, 1;;;;;;;;;
87; Johnson, 33322, 088, Basketball, 26, 7, 5, 10, 5, 3;;;;;;;;;
88;Lee, 77799, 089, Basketball, 20, 11, 12, 6, 4, 2;;;;;;;;;
89;Martin, 66611, 090, Basketball, 28, 8, 7, 9, 3, 1;;;;;;;;;
90;White, 55577, 091, Basketball, 32, 6, 8, 11, 7, 3;;;;;;;;;
91;Green, 44400, 092, Basketball, 24, 10, 9, 7, 5, 4;;;;;;;;;
92;Campbell, 22299, 093, Basketball, 29, 7, 10, 8, 6, 2;;;;;;;;;
93;Clark, 11188, 094, Basketball, 27, 8, 6, 9, 4, 3;;;;;;;;;
94;Hill, 99900, 095, Basketball, 31, 9, 11, 7, 5, 4;;;;;;;;;
95;Young, 88811, 096, Basketball, 25, 10, 8, 8, 3, 1;;;;;;;;;
96; Johnson, 77722, 097, Basketball, 28, 7, 5, 10, 5, 3;;;;;;;;;
97;Williams, 66633, 098, Basketball, 35, 12, 10, 6, 6, 2;;;;;;;;;
98;Davis, 55544, 099, Basketball, 30, 5, 12, 9, 7, 4;;;;;;;;;
99;Miller, 44455, 100, Basketball, 24, 11, 7, 8, 4, 2;;;;;;;;;
100;Thomas, 33366, 101, Basketball, 29, 6, 9, 11, 3, 1;;;;;;;;;
101;Jackson, 22277, 102, Basketball, 32, 8, 6, 7, 5, 3;;;;;;;;;
102;Anderson, 11199, 103, Basketball, 27, 9, 8, 10, 6, 4;;;;;;;;;
103;Wilson, 09911, 104, Basketball, 26, 7, 11, 6, 4, 2;;;;;;;;;
104;Martin, 08822, 105, Basketball, 31, 10, 7, 9, 5, 3;;;;;;;;;
