;Recipe Name;Cuisine;Prep Time;Cook Time;Servings;Ingredient 1;Ingredient 2;Ingredient 3;Instructions;Difficulty;Prep Tools;Ingredient Source
29; Recipe Name: Spicy Black Bean Tacos;Cuisine: Mexican;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 1 can black beans;Ingredient 2: 1 bell pepper, diced;Ingredient 3: 1 onion, chopped;Instructions: Sauté bell pepper and onion, add black beans and spices;Difficulty: Easy;Prep Tools: Pan;Ingredient Source: Grocery Store
30;Recipe Name: Creamy Mushroom Pasta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 6;Ingredient 1: 1 pound pasta;Ingredient 2: 2 cups mushrooms, sliced;Ingredient 3: 2 cloves garlic, minced;Instructions: Cook pasta, make creamy mushroom sauce, combine;Difficulty: Medium;Prep Tools: Pot, pan;Ingredient Source: Grocery Store
31;Recipe Name: Chickpea Curry;Cuisine: Indian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 2 cans chickpeas;Ingredient 2: 1 onion, chopped;Ingredient 3: 2 cloves garlic, minced;Instructions: Sauté onion and garlic, add spices and chickpeas;Difficulty: Medium;Prep Tools: Pan;Ingredient Source: Grocery Store
32;Recipe Name: Roasted Vegetable Quinoa Bowl;Cuisine: American;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 2 cups quinoa;Ingredient 2: 2 cups mixed vegetables;Ingredient 3: 1 tablespoon olive oil;Instructions: Roast vegetables, cook quinoa, mix;Difficulty: Medium;Prep Tools: Baking sheet, pot;Ingredient Source: Local Farmer's Market
33;Recipe Name: Summer Caprese Salad;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups fresh mozzarella;Ingredient 2: 2 cups tomatoes;Ingredient 3: 1/4 cup basil;Instructions: Layer tomatoes, mozzarella, and basil;Difficulty: Easy;Prep Tools: Cutting board, knife;Ingredient Source: Local Farmer's Market
34;Recipe Name: Baked Sweet Potato Fries;Cuisine: American;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 2 sweet potatoes;Ingredient 2: 1 tablespoon olive oil;Ingredient 3: 1/2 teaspoon salt;Instructions: Cut sweet potatoes, toss with oil and salt, bake;Difficulty: Easy;Prep Tools: Baking sheet, knife;Ingredient Source: Local Farmer's Market
35;Recipe Name: Vegetarian Chili;Cuisine: American;Prep Time: 15 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 1 can black beans;Ingredient 2: 1 can kidney beans;Ingredient 3: 1 can diced tomatoes;Instructions: Sauté onion and garlic, add beans, tomatoes, and spices;Difficulty: Easy;Prep Tools: Pan;Ingredient Source: Grocery Store
36;Recipe Name: Quinoa Stuffed Bell Peppers;Cuisine: American;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 1 cup quinoa;Ingredient 2: 2 cups bell peppers;Ingredient 3: 1/2 cup cheddar cheese;Instructions: Cook quinoa, prep bell peppers, combine ingredients;Difficulty: Medium;Prep Tools: Pan, baking sheet;Ingredient Source: Local Farmer's Market
37;Recipe Name: Greek Salad;Cuisine: Greek;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups mixed greens;Ingredient 2: 1 cucumber;Ingredient 3: 1/2 cup feta cheese;Instructions: Combine all ingredients in a bowl;Difficulty: Easy;Prep Tools: Cutting board, knife;Ingredient Source: Local Farmer's Market</s>
38; Recipe Name: Lentil Soup;Cuisine: French;Prep Time: 20 minutes;Cook Time: 60 minutes;Servings: 8;Ingredient 1: 2 cups lentils;Ingredient 2: 1 onion;Ingredient 3: 2 carrots;Ingredient 4: 2 celery stalks;Instructions: Sauté vegetables, add lentils, water, and spices;Difficulty: Easy;Prep Tools: Pan, soup pot Ingredient Source: Organic Grocery Store
39;Recipe Name: Ratatouille;Cuisine: French;Prep Time: 25 minutes;Cook Time: 90 minutes;Servings: 6;Ingredient 1: 1 eggplant;Ingredient 2: 2 zucchinis;Ingredient 3: 2 tomatoes;Ingredient 4: 1 onion;Instructions: Roast sliced vegetables, combine with garlic and herbs;Difficulty: Medium;Prep Tools: Baking sheet, sauté pan Ingredient Source: Local Farmer's Market
40;Recipe Name: Chicken Alfredo Pasta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 2 cups fettuccine;Ingredient 2: 1 chicken breast;Ingredient 3: 1 cup heavy cream;Ingredient 4: 1 cup parmesan cheese;Instructions: Cook pasta, sauté chicken, add cream, cheese, and spices;Difficulty: Easy;Prep Tools: Pan, pot Ingredient Source: Grocery Store
41;Recipe Name: Spaghetti Bolognese;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 45 minutes;Servings: 6;Ingredient 1: 1 lb ground beef;Ingredient 2: 1 onion;Ingredient 3: 2 carrots;Ingredient 4: 2 celery stalks;Instructions: Sauté vegetables, add beef, tomatoes, and spices;Difficulty: Easy;Prep Tools: Pan, pot Ingredient Source: Grocery Store
42;Recipe Name: Mushroom Risotto;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 1 cup arborio rice;Ingredient 2: 2 cups mushrooms;Ingredient 3: 2 cups vegetable broth;Ingredient 4: 1/2 cup parmesan cheese;Instructions: Sauté mushrooms, add rice, broth, and parmesan;Difficulty: Medium;Prep Tools: Pan, pot Ingredient Source: Local Farmer's Market
43;Recipe Name: Pesto Pasta;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 2 cups pasta;Ingredient 2: 1 cup basil leaves;Ingredient 3: 1/2 cup pine nuts;Ingredient 4: 1/2 cup parmesan cheese;Instructions: Cook pasta, blend basil, pine nuts, parmesan with olive oil;Difficulty: Easy;Prep Tools: Blender, pot Ingredient Source: Local Farmer's Market
44;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups tomatoes;Ingredient 2: 1 garlic clove;Ingredient 3: 1/4 cup basil leaves;Ingredient 4: 1 baguette;Instructions: Dice tomatoes, add garlic, basil, and olive oil; Difficulty: Easy;Prep Tools: Cutting board, knife Ingredient Source: Local Farmer's Market
45;Recipe Name: Minestrone Soup;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 60 minutes;Servings: 8;Ingredient 1: 2 cups mixed vegetables;Ingredient 2: 1 can white beans;Ingredient 3: 2 cups vegetable broth;Ingredient 4: 1 cup small pasta;Instructions: Sauté vegetables, add broth, beans, and pasta;Difficulty: Easy;Prep Tools: Pan, soup pot Ingredient Source: Grocery Store
46;Recipe Name: Margherita Pizza;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 10 minutes;Servings: 2;Ingredient 1: 1 pizza dough;Ingredient 2: 1 cup tomatoes;Ingredient 3: 1/2 cup mozzarella cheese;Ingredient 4: 1/4 cup basil leaves;Instructions: Roll out dough, add tomato sauce and toppings;Difficulty: Easy;Prep Tools: Baking sheet, cutting board, knife Ingredient Source: Grocery Store
47;Recipe Name: Tomato and Mozzarella Salad;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups tomatoes;Ingredient 2: 1/2 cup mozzarella.</s>;;;;;
48; Recipe Name: Spaghetti Bolognese;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 1 lb ground beef;Ingredient 2: 1 onion, chopped;Ingredient 3: 2 cloves garlic, minced;Ingredient 4: 1 can (28 oz) crushed tomatoes;Ingredient 5: 1 cup beef broth;Ingredient 6: 1 lb spaghetti;Instructions: Brown beef, add onion and garlic, stir in tomatoes and broth, simmer, cook spaghetti Difficulty: Moderate Prep Tools: Skillet, large pot Ingredient Source: Grocery Store
49;Recipe Name: Tiramisu;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 8;Ingredient 1: 1 cup strong coffee;Ingredient 2: 1/4 cup coffee liqueur;Ingredient 3: 24 ladyfingers;Ingredient 4: 1 cup mascarpone cheese;Ingredient 5: 1/2 cup granulated sugar;Ingredient 6: 1/4 cup cocoa powder;Instructions: Combine coffee and coffee liqueur, dip ladyfingers, layer in dish with mascarpone mixture, dust with cocoa powder Difficulty: Moderate Prep Tools: Large dish, mixing bowls Ingredient Source: Grocery Store
50;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 1 baguette, sliced;Ingredient 2: 2 cups tomatoes, diced;Ingredient 3: 1/2 cup fresh basil, chopped;Ingredient 4: 2 cloves garlic, minced;Ingredient 5: 1/4 cup olive oil;Ingredient 6: 1/2 teaspoon salt;Instructions: Combine tomatoes, basil, garlic, oil, and salt, toast baguette slices, top with tomato mixture Difficulty: Easy Prep Tools: Baking sheet, knife, mixing bowl Ingredient Source: Grocery Store
51;Recipe Name: Chicken Alfredo;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 2 boneless, skinless chicken breasts;Ingredient 2: 1 lb fettuccine;Ingredient 3: 1/2 cup butter;Ingredient 4: 1 cup heavy cream;Ingredient 5: 2 cups parmesan cheese;Ingredient 6: 1/2 teaspoon salt;Instructions: Cook chicken, cook pasta, make sauce with butter, cream, cheese, and salt, toss pasta and chicken in sauce Difficulty: Moderate Prep Tools: Skillet, large pot Ingredient Source: Grocery Store
52;Recipe Name: Focaccia Bread;Cuisine: Italian;Prep Time: 2 hours;Cook Time: 20 minutes;Servings: 12;Ingredient 1: 4 cups all-purpose flour;Ingredient 2: 2 teaspoons active dry yeast;Ingredient 3: 2 teaspoons salt;Ingredient 4: 2 tablespoons olive oil;Ingredient 5: 1 1/2 cups water;Ingredient 6: 1/4 cup rosemary;Instructions: Mix flour, yeast, salt, oil, and water, knead, let rise, top with rosemary, bake at 425°F (220°C) Difficulty: Challenging Prep Tools: Mixer, baking sheet Ingredient Source: Grocery Store
53;Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups tomatoes, sliced;Ingredient 2: 1/2 cup fresh mozzarella cheese, sliced;Ingredient 3: 1/4 cup fresh basil, torn;Ingredient 4: 2 tablespoons olive oil;Ingredient 5: 1/2 teaspoon salt;Ingredient 6: 1/2 teaspoon ground black pepper;Instructions: Arrange tomato slices, mozzarella, and basil on a plate, drizzle with oil, season with salt and pepper Difficulty: Easy Prep Tools: Plate, knife Ingredient Source: Grocery Store
54;Recipe Name: Lasagna;Cuisine: Italian;Prep Time: 40 minutes;Cook Time: 45 minutes;Servings: 8;Ingredient 1: 9 lasagna noodles;Ingredient 2: 1 lb ground beef;Ingredient 3: 1 onion, chopped;Ingredient 4: 2 cloves garlic, minced;Ingredient 5: 1 can (28 oz) crushed tomatoes;Ingredient 6: 1 cup ricotta cheese;Ingredient 7: 2 cups mozzarella cheese Ingredient 8: 1/2 cup parmesan cheese Instructions: Cook noodles, brown beef, add onion and garlic, stir in tomatoes, assemble lasagna with ricotta, mozzarella, and parmesan, bake Difficulty: Moderate Prep Tools: Skillet, large pot, baking dish Ingredient Source: Grocery Store
55;Recipe Name: Panzanella Salad;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 1/2 French baguette, cut into cubes;Ingredient 2: 2 cups tomatoes, diced;Ingredient 3: 1/2 cup cucumber, sliced;Ingredient 4: 1/2 cup red onion, sliced;Ingredient 5: 1/4 cup fresh basil, torn;Ingredient 6: 1/4 cup red wine vinegar;Ingredient 7: 1/2 cup olive oil Ingredient 8: 1/2 teaspoon salt Instructions: Combine bread, tomatoes, cucumber, onion, and basil, whisk vinegar, oil, and salt, toss to coat, serve immediately Difficulty: Easy Prep Tools: Mixing bowls Ingredient Source: Grocery Store
56;Recipe Name: Cannoli;Cuisine: Italian;Prep Time: 60 minutes;Cook Time: 0 minutes;Servings: 12;Ingredient 1: 1 lb ricotta cheese;Ingredient 2: 3/4 cup powdered sugar;Ingredient 3: 1 teaspoon vanilla extract;Ingredient 4: 1 cup semi-sweet chocolate chips;Ingredient 5: 12 cannoli shells;Instructions: Mix cheese, sugar, and vanilla, transfer to a piping bag, pipe into shells, chill, dip ends in chocolate chips;Difficulty: Moderate Prep Tools: Mixing bowls, piping bag Ingredient Source: Grocery Store
57;Recipe Name: Italian Herb Bread;Cuisine: Italian;Prep Time: 2 hours;Cook Time: 30 minutes;Servings: 12;Ingredient 1: 3 cups all-purpose flour;Ingredient 2: 1 tablespoon sugar;Ingredient 3: 2 teaspoons active dry yeast;Ingredient 4: 1 teaspoon salt;Ingredient 5: 1 tablespoon dried basil;Ingredient 6: 1 tablespoon dried oregano;Ingredient 7: 1 tablespoon dried rosemary Ingredient 8: 1 cup warm water Ingredient 9: 2 tablespoons olive oil Ingredients 10: 1/4 cup grated parmesan cheese Instructions: Mix flour, sugar, yeast, salt, herbs, water, oil, knead, let rise, top with parmesan, bake at 375°F (190°C) Difficulty: Moderate Prep Tools: Mixer, baking sheet Ingredient Source: Grocery Store</s>
58; Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups fresh mozzarella, sliced;Ingredient 2: 2 cups tomatoes, sliced;Ingredient 3: 1/2 cup fresh basil leaves;Ingredient 4: 1/4 cup balsamic glaze;Ingredient 5: 1/4 cup olive oil;Ingredient 6: 1/2 teaspoon salt;Instructions: Layer cheese, tomatoes, and basil, drizzle glaze and oil, sprinkle salt, serve immediately Difficulty: Easy Prep Tools: Platter, measuring spoons Ingredient Source: Grocery Store
59;Recipe Name: Italian Tiramisu;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 6 egg yolks;Ingredient 2: 1 cup sugar;Ingredient 3: 1 1/2 cups mascarpone cheese;Ingredient 4: 2 cups strong brewed coffee, cooled;Ingredient 5: 1/2 cup coffee liqueur;Ingredient 6: 40 ladyfinger biscuits;Ingredient 7: 1/4 cup unsweetened cocoa powder Instructions: Whisk yolks and sugar, fold in mascarpone, combine coffee and liqueur, dip ladyfingers, layer in dish, repeat, chill, dust cocoa Difficulty: Moderate Prep Tools: Bowls, whisk, 9x9 inch dish Ingredient Source: Grocery Store
60;Recipe Name: Spaghetti Aglio e Olio;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 12 oz spaghetti;Ingredient 2: 1/2 cup extra virgin olive oil;Ingredient 3: 6-8 garlic cloves, thinly sliced;Ingredient 4: 1/2 teaspoon red pepper flakes;Ingredient 5: 1/2 cup fresh parsley, chopped;Ingredient 6: 1/2 cup Parmesan cheese, grated;Ingredient 7: Salt to taste Instructions: Cook spaghetti, drain, reserve pasta water  Heat oil, cook garlic until golden, add pepper flakes, remove from heat, toss in spaghetti, parsley, cheese, and pasta water if needed Difficulty: Easy Prep Tools: Pot, pan, colander Ingredient Source: Grocery Store
61;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 10 minutes;Servings: 6;Ingredient 1: 1 baguette, sliced;Ingredient 2: 1/2 cup extra virgin olive oil;Ingredient 3: 4 garlic cloves, minced;Ingredient 4: 4 cups tomatoes, diced;Ingredient 5: 1/2 cup fresh basil, chopped;Ingredient 6: 1/2 teaspoon salt;Ingredient 7: 1/4 teaspoon black pepper Instructions: Toast baguette slices, combine oil and garlic, brush on toasts, combine tomatoes, basil, salt, and pepper, top toasts with mixture, serve immediately Difficulty: Easy Prep Tools: Baking sheet, brush Ingredient Source: Grocery Store
