;`Star; Star Type; Right Ascension; Declination; Apparent Magnitude; Absolute Magnitude; Distance from Earth (ly); Diameter; Mass; Star System Formation Date; Black Hole Presence; Spiral Arm Structure; Number of Planets; Number of Moons`
93;Beta Crucis (Mimosa); B1 III-IV star; 12h 53m 45.0s; -60°47'13''; 1.25; -3.9; 270; 12; 12; 11; 12 Ma; No; Carina Arm; 0  None 
94;Alpha Arae (Choo); K3 II star; 16h 57m 54.1s; -52°20'25''; 2.82; -3.8; 330; 18; 7; 8; 11 Ma; No; Scutum-Crux Arm; 0  None 
95;Sigma Sagittarii (Nunki); K0-4 II-III star; 19h 25m 26.5s; -26°02'15''; 2.05; -4.1; 220; 14; 10; 10; 33 Ma; No; Sagittarius Arm; 0  None 
96;Delta Centauri (Alhakim); B2 IV star; 13h 59m 44.7s; -60°20'39''; 2.56; -2.6; 400; 5.5; 9; 11; 17 Ma; No; Carina Arm; 0  None 
97;Gamma Velorum (Regor) ; WC8 + O8 V star; 08h 09m 25.6s; -47°28'00''; 1.64; -5.8; 820; 12; 25; 11; 5 Ma; No; Carina Arm; 0  None 
98;Kappa Centauri (Idi); O6 III star; 13h 09m 02.7s; -57°46'35''; 2.42; -4.8; 400; 7.5; 20; 11; 11 Ma; No; Carina Arm; 0  None 
99;Omicron Scorpii (Lesath); O6.5 V star; 16h 37m 46.6s; -26°11'28''; 2.72; -4.9; 800; 7; 20; 11; 11 Ma; No; Sagittarius Arm; 0  None 
100; Epsilon Canis Majoris (Adhara); B2 II star; 06h 27m 45.3s; -20°46'19''; 1.51; -6.2; 430; 14; 16; 9; 6 Ma; No; Orion Arm; 0  None
101; Delta Orionis (Mintaka); O9 II star; 05h 32m 00.2s; -00°18'51''; 2.23; -5.6; 915; 13; 20; 9; 4 Ma; No; Orion Arm; 0  None
102; Zeta Orionis (Alnitak); O9.5 Ib star; 05h 40m 57.3s; -01°56'33''; 1.72; -6.1; 800; 20; 35; 9; 4 Ma; No; Orion Arm; 0  None
103; Eta Carinae; LBV star; 10h 45m 03.6s; -59°41'04''; 4.5; -9.0; 7500; 1200; 100; 8; 2-3 Ma; Yes; Carina Arm; 0  None
104; Sigma Orionis; O9.5 V star; 05h 38m 44.1s; -02°36'00''; 4.21; -3.6; 1150; 4; 15; 3; 1 Ma; No; Orion Arm; 0  None
105; Beta Crucis (Mimosa); B0.5 IV star; 12h 50m 46.0s; -60°11'59''; 1.29; -5.4; 278; 12; 13; 11; 7 Ma; No; Crux Arm; 0  None
106; Alpha Arae (Choo); B2 III star; 16h 52m 30.0s; -52°35'28''; 2.88; -3.9; 220; 5.5; 13; 10; 7 Ma; No; Scutum-Centaurus Arm; 0  None
107; Gamma Muscae; O7 V star; 12h 24m 03.6s; -64°33'54''; 3.84; -4.8; 325; 7; 20; 12; 10 Ma; No; Carina Arm; 0  None
108; Delta Muscae; O8 V star; 12h 24m 19.5s; -64°27'20''; 4.01; -4.2; 960; 7; 20; 11; 11 Ma; No; Carina Arm; 0  None
109; Epsilon Muscae; B3 IV star; 12h 25m 56.1s; -63°49'40''; 3.41; -3.5; 110; 4.5; 10; 8; 11 Ma; No; Carina Arm; 0  None</s>
